در	porte
پیوستن	adhérer
پیوستن	attacher
پیچ	pêcher
پیچ	pêches
پیچ	dédale
پیچ	labyrinthe
پیچ	baise
پیچ	pêche
پیچ	vis
پیچ	baiser
افقی	horizontales
افقی	horizontalement
افقی	horizontale
افقی	horizontaux
مفهومی	conceptuelle
مفهومی	conceptuel
قطعی	déterministe
قطعی	définitif
قطعی	définitive
قطعی	définitifs
قطعی	définitives
چطور	comment
ترویج	promoteur
ترویج	promouvoir
الکل	alcool
الکل	alcools
تبادل	échangeur
تبادل	échanger
تبادل	echange
تبادل	échange
کور	aveugles
کور	aveugle
زاپاس	épargner
زاپاس	rechange
خطای	erreurs
خطای	erreur
برپا	établir
بازرگان	commerçants
بازرگان	marchands
بازرگان	négociant
بازرگان	commerçant
بازرگان	marchand
تروریسم	terrorisme
گلوله	balle
موسسات	dispensaires
موسسات	cliniques
مستقیماً	directement
رابط	coordination
رابط	connecteurs
رابط	connecteur
رابط	coordonner
برخوردی	incidence
طاق	voûte
طاق	caveau
طاق	coffre
طاق	arche
مأمور	mandataire
راسل	russel
بنت	courbé
بنت	plié
بنت	bennet
آلوده	contaminés
آلوده	polluée
آلوده	pollués
آلوده	infectés
آلوده	infecter
آلوده	infecté
آلوده	contaminé
آلوده	polluées
آلوده	infectée
آلوده	pollué
لاس	flirter
لاس	flirt
لاس	flirte
جناح	flanc
احتمالا	surement
احتمالا	sûrement
احتمالا	probablement
پینک	rose
پینک	rosé
بخوانید	appel
بخوانید	appelez
بخوانید	appelle
بخوانید	lis
بخوانید	appeler
بخوانید	lecture
بخوانید	lire
بخوانید	lisez
شیب	pente
شیب	tremper
بوش	odeurs
بوش	buissons
بوش	odorat
بوش	odeur
بوش	buisson
بوش	brousse
مقر	trimestres
مقر	quarts
همسایه	voisines
همسایه	voisinage
همسایه	voisins
همسایه	voisin
همسایه	voisine
همسایه	quartier
کلیساهای	eglises
کلیساهای	églises
قربانیان	victimes
رازی	secrète
رازی	secrets
شعری	poèmes
شعری	poème
ویتامین	vitamines
ویتامین	vitamine
زیرزمینی	souterraine
زیرزمینی	souterrain
زیرزمینی	souterrains
تایمز	fois
مذاکرات	négociations
مذاکرات	négociation
کریستوفر	christophe
بیلبورد	panneau
استانی	provinciales
استانی	provinciale
استانی	provinciaux
حامی	parrains
حامی	parrainer
حامی	promoteur
حامی	patronne
حامی	commanditaires
حامی	mécène
حامی	commanditaire
حامی	parrain
گرمسیری	tropiques
گرمسیری	tropicaux
گرمسیری	tropicale
گرمسیری	tropicales
مقدونیه	macédoniens
مقدونیه	macédonien
مقدونیه	macédoine
مقدونیه	macédonienne
ماندگار	persistant
ماندگار	persistante
ماندگار	persistants
ماندگار	endurer
ماندگار	persistantes
ابریشم	soies
ابریشم	soie
کارها	emplois
کارها	emploi
تعطیل	arrêt
گرافیکی	graphique
گرافیکی	graphiques
گرافیکی	infographie
گرافیکی	graphismes
گرافیکی	graphisme
ختم	funéraire
ختم	funérailles
ختم	enterrement
ختم	obsèques
دانلود	télécharge
دانلود	télécharger
دانلود	téléchargements
دانلود	téléchargement
روانشناسی	psychologique
روانشناسی	psychologie
سازگار	adaptable
سازگار	cohérentes
سازگار	adaptatif
سازگار	cohérents
سازگار	cohérente
سازگار	compatibles
سازگار	cohérent
رباط	robots
رباط	robotique
شبانه	nuit
شبانه	nocturnes
شبانه	soirée
شبانه	soir
نقص	défaut
شانزدهم	xvie
فراری	fugitifs
فراری	fugitif
فراری	fugue
عصب	nerveuses
عصب	nerf
عصب	nerfs
مداوم	continus
مداوم	constante
مداوم	continue
مداوم	constantes
مداوم	continu
مداوم	continuellement
مداوم	constants
مداوم	ininterrompu
بایر	arides
بایر	aride
گردآوری	rassemblement
گردآوری	cueillette
بازاریابی	personnalisée
بازاریابی	commercialisation
بازاریابی	personnalisés
بازاریابی	personnalisé
بازاریابی	personnalisées
میزبانی	hébergeur
میزبانی	hébergement
خشکی	terre
خشکی	terrain
خشکی	terres
دنباله	piste
دنباله	séquence
دنباله	séquences
دنباله	sentier
گارد	gardien
گارد	gardes
گارد	gardiens
گارد	garde
مسیرهای	itinéraires
دشمنان	ennemis
دشمنان	ennemies
فهم	comprendre
فهم	réalisation
فهم	comprenez
فهم	comprends
افسر	officier
بگیرید	prendre
بگیرید	prend
بگیرید	prenez
بگیرید	prends
رمزنگاری	cryptage
رمزنگاری	cryptographie
رمزنگاری	cryptographiques
رمزنگاری	chiffrer
رمزنگاری	chiffrage
رمزنگاری	chiffrement
سانسور	censurer
سانسور	censure
گرمایی	thermale
گرمایی	thermique
گرمایی	thermiques
سالگرد	anniversaire
پان	casserole
ریه	pulmonaire
ریه	poumons
ریه	poumon
جابجایی	délocalisation
جابجایی	déplacement
جابجایی	relocalisation
جابجایی	relogement
جابجایی	réinstallation
جابجایی	cylindrée
جابجایی	déménagement
کمان	noeuds
کمان	arc
کمان	arcs
کمان	sagittaire
تب	onglets
تب	tabulation
تب	onglet
تب	fièvre
دیوارهای	murs
قبلا	déja
قبلا	deja
قبلا	déjà
قبلا	dejà
آبیاری	arroser
آبیاری	arrosage
آبیاری	irriguer
اندرو	andré
برقی	électrique
برقی	barça
برقی	electrique
گنج	trésors
گنج	trésor
سوسیالیست	socialiste
سوسیالیست	socialistes
غول	géante
غول	géant
غول	géants
خمیر	pâte
خمیر	colle
خمیر	coller
خمیر	oseille
خاوری	orientale
خاوری	orientaux
خاوری	orientales
نیوز	nouveautés
نیوز	actualité
نیوز	nouvelles
نیوز	actualités
مادری	maman
مادری	mère
مادری	maternité
مادری	mere
آنالیز	analyses
آنالیز	analyse
کالاهای	marchandise
کالاهای	marchandises
کالاهای	biens
تقریبی	rapprochement
تقریبی	approximatif
تقریبی	approximative
تقریبی	approximativement
ماجراهای	aventures
کوتوله	nain
کوتوله	pygmée
کوتوله	nains
کوتوله	pygmées
کوتوله	naine
کارآفرین	entrepreneurs
رانندگی	lecteur
رانندگی	conduite
رانندگی	conduire
کارگاه	inspectrice
کارگاه	inspecteur
کارگاه	ateliers
کارگاه	atelier
کارگاه	détective
بالینی	clinique
بالینی	cliniques
خنثی	neutralité
خنثی	neutres
خنثی	neutre
هجوم	raids
هجوم	envahir
هجوم	invasions
ناشناخته	inconnues
ناشناخته	inconnu
ناشناخته	inconnue
ناشناخته	inconnus
سل	tuberculose
حامیان	soutiens
حامیان	partisans
امریکن	américain
امریکن	américaines
امریکن	américaine
امریکن	américains
مانگا	mangas
تنش	magnifique
تنش	éblouissant
تنش	étourdissement
تنش	époustouflante
تنش	superbe
تنش	stressé
تنش	tensions
تنش	contrainte
تورم	enflure
تورم	œdème
تورم	gonflement
کانتی	comté
بنیانگذاران	fondateurs
روشهای	méthodes
روشهای	façons
شوهر	mari
شوهر	époux
اجتماع	communaute
اجتماع	rallyes
اجتماع	rassemblement
اجتماع	société
اجتماع	rallye
اجتماع	communauté
اجتماع	communautaire
اجتماع	collectivité
ترسیم	tirage
ترسیم	dessiner
ترسیم	dessin
ترسیم	dessine
مثلث	triangulaire
مثلث	triangles
بهروز	actualiser
بهروز	actualisation
روحانیون	clergé
دانه	semence
دانه	grains
دانه	semences
دانه	graines
دانه	graine
بیانیه	manifeste
بیانیه	déclaration
بیانیه	énoncé
ناظر	observateur
ناظر	superviser
ناظر	témoins
ناظر	témoin
ناظر	observateurs
ناظر	observatrice
ناو	croiseur
تخلیه	évacuation
تخلیه	évacuations
شورا	conseil
ماهنامه	mensuels
ماهنامه	mensuelle
ماهنامه	mensuellement
ماهنامه	mensuel
مارول	émerveillement
مارول	merveille
پرجمعیت	peuplé
اعطای	subvention
احسان	gentillesse
احسان	bonté
احسان	amabilité
استراتژی	stratégie
لذت	délices
لذت	délice
لذت	plaisir
لذت	plaisirs
رطوبت	humidité
رطوبت	hydratation
انگشت	doigts
انگشت	doigt
انگشت	orteils
انگشت	orteil
انگشت	tep
کبوتر	colombe
کبوتر	pigeons
احساسات	émotion
احساسات	sentiments
احساسات	émotions
دنده	côte
دنده	engins
دنده	côtes
دنده	engrenage
دنده	côtelettes
پیکسل	pixels
بنویسید	rédiger
بنویسید	écrivez
بنویسید	ecrire
بنویسید	écrire
شمشیر	épée
شمشیر	sabre
شمشیر	glaive
فرانکفورت	francfort
جونیور	juniors
دروس	enseignements
دروس	leçons
قفل	cadenas
قفل	écluses
قفل	verrou
قفل	écluse
قفل	serrures
قفل	verrouillé
قفل	verrouiller
قفل	enfermé
قفل	verrouillée
قفل	serrure
کیک	galette
کیک	gâteau
کیک	gâteaux
کیک	gateau
کیک	tourteaux
تفنگ	arme
تفنگ	fusil
تفنگ	pistolet
تفنگ	revolver
تفنگ	carabine
ستایش	éloges
ستایش	louange
ستایش	louanges
ستایش	éloge
درمیان	creux
درمیان	parmis
درمیان	parmi
تخصص	compétences
تخصص	expertises
تخصص	spécialités
تخصص	spécialité
نژادی	raciale
نژادی	ethnique
نژادی	ethniques
سول	âmes
سول	âme
سول	ame
اموال	propriété
اموال	biens
کمیک	bd
کمیک	comique
رقیب	rivaux
رقیب	rivale
رقیب	compétiteurs
رقیب	opposant
رقیب	concurrents
رقیب	concurrent
رقیب	adversaire
یکپارچه	intégrées
یکپارچه	intégrés
یکپارچه	unifiés
یکپارچه	unifiées
یکپارچه	unifié
یکپارچه	intégrée
یکپارچه	intégré
یکپارچه	unifiée
زیستگاه	habitats
کارمندان	salariés
کارمندان	personnel
کارمندان	collaborateurs
کارمندان	employés
پارچه	textiles
پارچه	toiles
پارچه	tissu
پارچه	tissus
خاتمه	bouclage
خاتمه	clôture
خاتمه	fermeture
لهستانی	polonaises
لهستانی	polonais
لهستانی	polonaise
نامهای	noms
نامهای	lettre
فیل	éléphants
فیل	éléphant
تیپ	taper
تیپ	tapez
جنگنده	chasseur
جنگنده	combattant
جنگنده	boxeur
عاشقانه	romantiques
عاشقانه	romantique
عاشقانه	idylle
عاشقانه	romantisme
دمشق	damas
خیابانی	rue
خیابانی	rues
کش	liquidités
کش	comptant
کش	argent
ابو	abou
گواهی	certificat
گواهی	certificats
گواهی	accréditation
گواهی	attestation
پوسته	croûte
پوسته	coquille
پوسته	coquillage
کانتری	pays
اسرائیلی	israélien
اسرائیلی	israélienne
اسرائیلی	israéliennes
اسرائیلی	israéliens
ژنتیک	génétique
ژنتیک	génétiques
تعلیم	entraînement
تعلیم	formation
ارگ	citadelle
ارگ	orgue
ارگ	organe
پویا	dynamique
پویا	dynamisme
پویا	dynamiques
تابعیت	citoyenneté
تابعیت	nationalités
تابعیت	allégeance
تابعیت	nationalité
پوشاک	habillement
پوشاک	vêtement
پوشاک	vêtements
مسئولان	autorités
بانوی	madame
بانوی	dame
شاگرد	étudiants
شاگرد	apprentis
شاگرد	étudiante
شاگرد	apprentie
شاگرد	etudiant
شاگرد	apprenti
شاگرد	étudiant
قدرتمند	puissantes
قدرتمند	puissant
قدرتمند	puissante
قدرتمند	puissants
بوستان	jardins
تقاضا	exiger
تقاضا	exigences
مساوی	égale
مساوی	égal
مساوی	égaux
مساوی	égales
خسته	épuisé
خسته	épuisée
خسته	fatigué
خسته	fatiguée
خسته	marre
خسته	fatigués
خسته	épuisés
نامناسب	inapte
نامناسب	inapproprié
نامناسب	inadéquat
نامناسب	impropre
نامناسب	inappropriés
نامناسب	inappropriée
نامناسب	inconvenant
نامناسب	incorrect
نامناسب	inadapté
نداشتن	manque
گوی	orbe
اختلافات	contentieux
اختلافات	désaccords
اختلافات	écarts
اختلافات	conflits
اختلافات	litiges
اختلافات	divergences
اختلافات	incohérences
اختلافات	différends
لیزر	lasers
قایق	bateau
قایق	canot
گچ	plâtre
گچ	craie
گچ	jeté
گچ	coulé
گچ	coulée
خدمه	équipages
خدمه	équipage
یان	yann
سوراخ	trou
هندسی	géométrique
هندسی	géométriques
پروس	prussienne
پروس	prusse
اسپرانتو	espéranto
تضمین	garantis
تضمین	garanti
تضمین	garantir
تضمین	garantie
تضمین	garanties
رسد	frappes
رسد	grèves
تانک	citerne
تانک	chars
تانک	citernes
تانک	réservoirs
تانک	réservoir
تانک	cuves
تانک	cuve
فروشگاه	boutique
فروشگاه	magasin
فروشگاه	stocker
آدولف	adolphe
حصار	enclos
حصار	clôtures
حصار	barrière
حصار	clôture
ریتم	rythme
ریتم	rythmes
ریتم	rythmique
حامل	transporteur
حامل	porteur
غیرقانونی	illégalement
غیرقانونی	illégale
غیرقانونی	illégaux
غیرقانونی	illégal
غیرقانونی	illicite
غیرقانونی	illégales
مشتریان	clients
مشتریان	clientèle
شی	karité
محتوا	contenus
محتوا	contenu
امن	sécurisé
امن	sécurité
امن	securite
امن	sûreté
امن	sécurisée
امن	sécuritaire
امن	coffre
امن	sûr
امن	sécurisés
قرقیزستان	kirghizstan
قرقیزستان	kirghizistan
منشأ	origines
منشأ	origine
آنزیم	enzymatique
وضوح	clarté
وضوح	clairement
وضوح	résolution
وضوح	manifestement
فروپاشی	krach
فروپاشی	effondrement
فروپاشی	plantage
فروپاشی	accident
کناره	retirées
کناره	retiré
کناره	retirée
جانشینی	successions
جانشینی	successeur
جانشینی	substitutions
جانشینی	successeurs
طرفدار	ventilateur
طرفدار	adepte
طرفدار	éventail
طرفدار	ventilateurs
حماسی	épopée
حماسی	épique
طوفان	ouragans
طوفان	orage
طوفان	ouragan
طوفان	tempête
اسیر	capturée
اسیر	détenu
اسیر	captives
اسیر	capturé
اسیر	capturés
اسیر	captifs
اسیر	capturées
اسیر	captif
اسیر	prisonnier
اسیر	prisonnière
خنک	refroidie
خنک	refroidi
خنک	refroidis
بلندی	hauteur
بلندی	altitude
بلندی	taille
بلندی	élévation
انجیل	évangile
انجیل	biblique
انجیل	evangile
انجیل	évangélique
مبدل	convertisseur
مبدل	transducteur
سفارش	commande
سفارش	commander
سفارش	ordre
کنفدراسیون	confédération
شتاب	accélérations
شتاب	hâter
شتاب	accélération
بردار	vecteur
توطئه	conspiration
توطئه	complots
توطئه	complot
دوری	doris
پمپ	pompe
پمپ	pompes
پمپ	pomper
پمپ	pompage
فلزات	métaux
تولیدکنندگان	constructeurs
تولیدکنندگان	fabricants
ماتریس	matrice
ثانویه	secondaires
ثانویه	secondaire
ماکس	maxime
ماکس	maximum
ماکس	maxi
رویال	royaux
رویال	royales
رویال	royale
تله	pièges
تله	piège
غیرنظامی	civiles
غیرنظامی	civils
غیرنظامی	civile
غیرنظامی	civil
معتدل	tempérées
معتدل	tempérée
معتدل	tempéré
یون	yun
یون	ions
یون	ionique
ترافیک	circulation
ترافیک	trafic
قمر	lunaire
قمر	lune
عناوین	titres
آپولو	apollon
سازماندهی	organisent
سازماندهی	organiser
سازماندهی	organisatrice
سازماندهی	organisation
تقدیم	dédier
تقدیم	consacrer
تقدیم	offre
تقدیم	offrir
تقدیم	dédie
سرو	servez
سرو	cyprès
سرو	sers
سرو	servir
تعبیر	interprétation
تعبیر	interpréter
ایرلندی	irlandaise
ایرلندی	irlandais
مرسوم	conventionnel
مرسوم	conventionnels
مرسوم	conventionnelle
جنرال	généraux
جنرال	générale
جنرال	généralités
جنرال	général
ران	cuisses
ران	cuisse
سرا	sérums
راحت	facilité
راحت	confortables
راحت	facile
راحت	confortable
راحت	faciles
وفات	passer
وفات	passant
گستره	gamme
گستره	portée
بارش	précipitation
بارش	précipitations
بلو	bleue
بلو	bleues
بلو	bleu
بلو	bleus
تند	rapide
تند	vite
تند	rapidement
تند	rapidité
تند	rapides
افزود	augmenté
افزود	augmentées
افزود	augmentation
افزود	augmentée
ساختاری	structurel
ساختاری	structurels
ساختاری	structurelle
شکر	sucre
شکر	sucres
مذاکره	négocier
مذاکره	négociateurs
مذاکره	négociations
مذاکره	pourparlers
مذاکره	négocie
مذاکره	négociation
روده	intestin
روده	côlon
روده	boyaux
روده	intestins
باکتری	bactérienne
باکتری	bactéries
باکتری	bactérie
باکتری	bactériennes
انبوه	vrac
ویرایشگر	rédacteur
ویرایشگر	rédactrice
ویرایشگر	éditeur
ویرایشگر	editeur
متنوع	variée
متنوع	variés
متنوع	variées
متنوع	varié
فیزیولوژی	physiologie
شکم	estomac
شکم	ventre
شکم	abdominale
مغولستان	mongolie
نسبیت	relativité
سیزده	treize
دهمین	dixième
دنی	dany
رخداد	évènement
رخداد	événement
رخداد	evénement
توقیف	arrestation
توقیف	arrestations
آئین	procédural
آئین	aïn
روشنایی	éclairage
روشنایی	eclairage
روشنایی	luminaires
روشنایی	luminosité
روشنایی	légèreté
روشنایی	lumière
روشنایی	brillance
روشنایی	légère
روشنایی	léger
روشنایی	lumiere
لیلی	lys
قند	sucre
قند	sucres
وام	prêt
وام	emprunt
وزرای	ministres
ناگهانی	soudain
ناگهانی	subite
ناگهانی	soudaine
تعامل	interactions
تعامل	fiançailles
پسوند	suffixe
پسوند	prolongation
پسوند	vulgarisation
پسوند	prolongement
آتشفشان	volcans
آتشفشان	volcan
آناتولی	anatolie
گناه	pêché
گناه	péchés
گناه	péché
گناه	coupables
گناه	pécher
گناه	culpabilité
گناه	coupable
بیگانه	extraterrestre
بیگانه	étranger
آتشفشانی	volcaniques
آتشفشانی	volcanique
عروسی	mariages
عروسی	mariage
عروسی	noces
بانوان	mesdames
بانوان	mesdemoiselles
بانوان	dames
برابری	egalité
برابری	égalité
طبقات	planchers
طبقات	sols
طبقات	étages
اتوبوس	autobus
باتری	pile
باتری	accumulateurs
باتری	piles
باتری	accumulateur
باتری	batterie
قائل	affirmer
قائل	affirment
سوزان	sylvie
اصیل	originale
اصیل	nobles
اصیل	noblesse
اصیل	originaux
مؤلف	auteure
مؤلف	compositeur
مؤلف	auteur
مؤلف	compositrice
نقدی	liquidités
نقدی	comptant
نقدی	argent
جلسات	rencontres
جلسات	réunions
جلسات	séances
جوش	éruptions
جوش	érythème
جوش	bouillant
جوش	bouillir
جوش	éruption
جوش	bouillante
جوش	ébullition
مزایای	avantages
مزایای	atouts
علل	cause
کوره	four
کوره	chaudière
کوره	fourneau
کوره	fournaise
رضایت	satisfaisants
رضایت	satisfaisant
رضایت	satisfaisante
رضایت	satisfaites
رضایت	contenus
رضایت	satisfait
رضایت	consentement
رضایت	satisfaits
رضایت	satisfaisantes
رضایت	contenu
رضایت	satisfaite
گرانش	gravité
گرانش	pesanteur
گرانش	gravitation
محروم	privant
محروم	priver
رساندن	livrer
نشانگر	marqueur
چراغ	lumière
چراغ	lampe
چراغ	lumières
چراغ	luminaires
دومی	deuxieme
دومی	seconde
دومی	deuxième
بسیج	mobiliser
بسیج	mobilisent
بسیج	mobilisation
چربی	gros
چربی	grasse
چربی	gras
چربی	graisse
چربی	graisses
مقاوم	résistante
مقاوم	résistant
مقاوم	résistantes
مقاوم	résistants
تزئینی	décorative
تزئینی	décoratives
تزئینی	décoratif
تزئینی	décoratifs
ارتقاء	améliorer
ارتقاء	promouvoir
برهان	preuves
برهان	argumentation
برهان	preuve
برهان	arguments
برهان	justificatif
برهان	dispute
رفتاری	comportementaux
رفتاری	comportemental
رفتاری	comportement
رفتاری	comportements
رفتاری	comportementale
کاپ	capuchon
کاپ	pac
کاپ	tasse
کاپ	gobelet
کاپ	coupe
کاپ	casquette
نکات	trucs
نکات	pourboires
نکات	conseils
نکات	astuces
ناوهای	porteurs
ناوهای	transporteurs
جملات	phrases
مسافران	passagers
مسافران	voyageurs
میلر	meunier
کارکرد	fonction
کارکرد	fonctions
حریف	opposant
حریف	adversaire
مردگان	mort
مردگان	morts
مردگان	morte
تروریستی	terroriste
تروریستی	terroristes
کبد	foies
کبد	hépatiques
کبد	hépatique
کبد	foie
متناسب	abordable
متناسب	proportionné
متناسب	abordables
متناسب	ajuster
متناسب	proportionnelle
متناسب	proportionnel
متناسب	proportionnels
شخصیتی	personnalité
بمباران	attentat
بمباران	bombardé
بمباران	bombardés
بمباران	bombardée
بمباران	bombardements
بمباران	bombardement
ژانر	genres
مشکوک	suspecte
مشکوک	suspect
مشکوک	méfiant
مشکوک	suspicieux
مشکوک	suspectes
آلت	alat
آلت	pénis
اتریشی	autrichienne
اتریشی	autrichien
اتریشی	autrichiennes
تنفسی	respiratoires
تنفسی	respiratoire
سرقت	cambriolage
سرقت	cambriolages
سرقت	braquage
سرقت	vol
سرقت	casse
آفرینش	création
مرمت	restauration
وزیری	ministre
پوستی	peau
آجر	brique
آجر	briques
فانتزی	fantasme
فانتزی	fantaisie
فانتزی	imaginaire
امضاء	panneau
امضاء	signer
امضاء	signez
امضاء	signe
ناوگان	flotte
نوبت	tourner
نوبت	tourne
نوبت	tournez
پیچیدگی	complications
پیچیدگی	complexité
افزون	excédent
افزون	excédents
افزون	excédentaires
مهار	confinement
مهار	contrôler
مهار	endiguement
مهار	contrôle
نحو	syntaxe
لژیون	légions
لژیون	légion
وحشت	horreur
شادی	joie
شادی	bonheur
چهارده	quatorze
اعتباری	crédit
ناپلئون	napoléon
عسل	miel
عسل	cherie
عسل	chérie
عسل	chéri
قید	contrainte
رفاه	prospérité
همکاران	collègues
پناهگاه	sanctuaire
پناهگاه	abris
پناهگاه	sanctuaires
پناهگاه	abri
صفت	attribuer
صفت	attribut
صفت	attributs
صفت	applique
صفت	adjectif
جنین	fœtus
جنین	embryon
جنین	foetus
جنین	embryons
نازک	minces
نازک	maigre
نازک	mince
بیابان	désert
بیابان	désertique
حفاری	perçage
حفاری	forage
حفاری	creuser
حفاری	forages
حفاری	creusement
حفاری	excavation
حفاری	foret
حفاری	perceuse
حفاری	foreuse
کناری	latéraux
کناری	latéral
کناری	latérale
کناری	latérales
ارزشمند	précieux
ارزشمند	précieuse
هدیه	présents
هدیه	présenter
هدیه	cadeaux
هدیه	présente
هدیه	cadeau
هدیه	présent
هدیه	actuel
تحولات	développements
اندروید	androïde
تاکستان	vigne
تاکستان	vignobles
تاکستان	vignoble
تاکستان	vignes
ذره	particules
ذره	bits
ذره	particule
شوالیه	chevaliers
شوالیه	chevalier
رویه	procédure
کانن	canon
کانن	canons
کانن	canonique
قصه	récit
مختصر	brèves
مختصر	brève
مختصر	bref
مخاطب	auditoire
مخاطب	auditoires
حکایت	recomptage
قورباغه	grenouille
بومیان	autochtones
بومیان	aborigène
بومیان	aborigènes
بومیان	autochtone
اجسام	objets
ساوت	méridional
ساوت	sud
صاف	lisser
صاف	lisse
صاف	lisses
مرطوب	moite
مرطوب	humide
مرطوب	humides
مرطوب	moelleux
مرطوب	mouillés
مرطوب	mouillé
مرطوب	mouillée
پردازنده	transformateur
پردازنده	processeurs
پردازنده	processeur
ادرار	urines
ادرار	pisser
ادرار	pisse
فقر	pauvreté
رزیدنت	résidents
رزیدنت	résident
رزیدنت	résidant
رزیدنت	résidente
بیروت	beyrouth
ابهام	obscur
ابهام	obscurs
ابهام	ambiguïté
ابهام	ambiguïtés
ابهام	obscures
دری	porte
مهمان	invités
مهمان	visiteur
مهمان	invité
مهمان	invitée
فارست	forestier
فارست	foret
فارست	forêt
فارست	forêts
استعفا	démission
استعفا	démissionner
استعفا	abandonner
استعفا	arrêter
استعفا	quitter
استعفا	résignation
شراب	vins
شراب	vin
مناطقی	motifs
دراماتیک	dramatique
دراماتیک	spectaculaire
دراماتیک	dramatiques
کاروان	caravane
کاروان	roulotte
کاروان	convoi
کاروان	convois
نفوس	âmes
تکه	morceau
شهاب	météorite
شهاب	météore
امپراطوری	impérial
امپراطوری	impériale
امپراطوری	impérialiste
بادن	bade
شهروند	citoyen
شهروند	citoyenne
تثبیت	stabilisateurs
تثبیت	stabiliser
تثبیت	stabilisation
تثبیت	stabilisateur
تثبیت	stabilisant
پاناما	panamá
حیاتی	vitale
حیاتی	critique
حیاتی	vitales
حیاتی	critiques
حیاتی	vitaux
آرامی	araméen
پترزبورگ	pétersbourg
پترزبورگ	petersbourg
کرتاسه	crétacé
صادقی	honnêtes
صادقی	honnête
چالش	contestation
چالش	gageure
چالش	défis
چالش	défi
تازگی	récent
تازگی	récemment
فان	fourgon
فان	fourgonnette
فان	camionnette
شو	obtenir
شو	obtenez
الیاف	fibres
الیاف	fibre
فضانورد	cosmonaute
فضانورد	astronaute
فضانورد	astronautes
جرمی	jérémy
جرمی	jérémie
عضوی	membres
عضوی	membre
دائم	permanentes
دائم	constante
دائم	constantes
دائم	constants
دائم	permanente
دائم	permanents
مکرر	récurrents
مکرر	fréquent
مکرر	fréquentes
مکرر	fréquents
مکرر	récurrente
مکرر	fréquente
مکرر	récurrent
مکرر	enquêtes
ریخته	renversé
عاج	ivoire
مرورگر	navigateur
گرمای	chauffer
گرمای	thermique
گرمای	chaleur
پرتغالی	portugaise
پرتغالی	portugais
کروز	croisière
کروز	croisières
سرب	plomb
تعمیر	réparer
تعمیر	réparés
تعمیر	réparateur
تعمیر	réparé
تعمیر	réparations
تعمیر	réparation
تعمیر	réparées
تعمیر	réparée
گنجایش	capacités
گنجایش	capacité
حدس	devinette
حدس	devinettes
حدس	deviner
قریب	imminentes
قریب	imminente
کویر	désert
کویر	désertique
تحسین	admirer
تحسین	admiré
رپ	rappeurs
رپ	rappeur
اردوگاه	campements
اردوگاه	camps
اردوگاه	campement
موبایل	portable
امان	sûr
امان	coffre
امان	sécuritaire
دوشنبه	douchanbé
دوشنبه	lundi
متوالی	consécutive
متوالی	série
متوالی	consécutif
متوالی	consécutifs
متوالی	consécutives
گالری	gallerie
گالری	galeries
گالری	galerie
معنایی	sémantique
مسلم	musulmane
مسلم	musulmans
مسلم	musulman
معده	estomac
معده	ventre
زنجیره	enchaîner
زنجیره	chaine
زنجیره	chaîne
روحی	esprit
دقیقا	exactement
اخیراً	récent
اخیراً	récemment
خوشنویسی	calligraphie
تالیف	recueil
جنایت	délit
جنایت	criminalité
جنایت	délinquance
تشدید	résonance
موثر	impressionnantes
موثر	impressionnants
موثر	impressionnant
موثر	efficace
موثر	efficaces
موثر	efficacement
موثر	impressionnante
تلسکوپ	télescopes
تلسکوپ	télescope
گران	coûteux
گران	chères
گران	coûteuses
گران	onéreux
گران	coûteuse
فرمانروایان	souverains
فرمانروایان	dirigeants
هیپ	hanche
هیپ	hanches
هیپ	branché
غرق	noyade
غرق	noyer
التهاب	inflammations
التهاب	inflammatoire
جنسیت	sexe
جنسیت	genre
جنسیت	sexes
کارمند	travailleur
کارمند	greffier
کارمند	employé
کارمند	employés
کارمند	salarié
کارمند	collaborateurs
کارمند	salariés
کارمند	commis
کارمند	clerc
کاشی	tuile
کاشی	carreau
کاشی	carrelage
کاشی	carreaux
کاشی	tuiles
مدیا	médée
طناب	corde
دکترا	médecins
دکترا	docteurs
بتا	bêta
بتا	béta
شانس	hasard
شانس	chance
زغال	houille
زغال	charbon
لوک	luc
نامدار	nommés
نامدار	nommé
نامدار	nommée
کارگری	travailleur
کارگری	ouvrier
کارگری	travailleuse
همشهری	citoyen
همشهری	citoyenne
سومالی	somaliens
سومالی	somalien
سومالی	somalienne
سومالی	somalie
عزل	congédié
عزل	rejeté
عزل	licencié
کریسمس	noël
کریسمس	noel
دوستانه	convivial
دوستانه	amicale
دوستانه	amical
دوستانه	sympathique
نصف	demi
نصف	moitié
زین	selle
استعداد	talentueux
استعداد	talentueuse
استعداد	douée
استعداد	talents
شکارچی	chasseur
مولکول	molécules
مولکول	molécule
ساکنین	habitants
ساکنین	résidants
ساکنین	résidents
ناگهان	soudain
ناگهان	subitement
ناگهان	soudainement
اسیدهای	acides
آبشارهای	chutes
آبشارهای	cascades
بامداد	matinée
بامداد	matinale
بامداد	matin
دایناسورهای	raptor
دایناسورهای	rapaces
تشریح	anatomie
سحابی	nébuleuse
رانش	dériver
رانش	dérive
رانش	hanches
هجدهم	xviiie
شنیدن	entendre
شنیدن	entendez
دلخواه	arbitraires
دلخواه	envies
دلخواه	arbitraire
هندو	hindou
هندو	hindoue
هندو	hindous
نشسته	assise
نشسته	assis
نبردهای	batailles
درهم	hachage
نادیده	ignorer
نادیده	ignorant
نوا	noé
همکار	associée
