और	et
डिजाइन	conception
कंप्यूटर	ordinateurs
कंप्यूटर	ordinateur
कंप्यूटर	informatique
मंत्री	ministres
मंत्री	ministre
आबादी	peuplée
आबादी	populations
आबादी	peuplés
आबादी	peuplé
आबादी	peuplées
तत्व	élément
तत्व	éléments
तत्व	eléments
दस	dix
दस	rte
भौतिक	physique
भौतिक	physiques
आपको	toi
आपको	tu
आपको	vous
सहयोग	coopérations
सहयोग	coopération
सहयोग	collaboratif
गैस	gaz
राय	avis
व्यक्तियों	personnes
विश्लेषण	pannes
विश्लेषण	analystes
विश्लेषण	analyse
विश्लेषण	décomposition
विश्लेषण	analyses
विश्लेषण	répartitions
विश्लेषण	ventilation
विश्लेषण	répartition
लक्ष्य	cibles
लक्ष्य	buts
लक्ष्य	cible
लक्ष्य	but
लक्ष्य	objectifs
लक्ष्य	objectif
लक्ष्य	cibler
शासक	souverain
शासक	règle
शासक	dirigeant
न्यायालय	cour
न्यायालय	tribunal
तमिल	tamouls
तमिल	tamoul
अधिकतर	principalement
अधिकतर	essentiellement
अधिकतर	surtout
मीडिया	média
मीडिया	médias
जूलियन	julien
पार्क	parc
पार्क	parcs
अधिकारी	fonctionnaire
अधिकारी	officier
अधिकारी	officiel
अधिकारी	officiers
अधिकारी	officielle
अधिकारी	officiels
अधिकारी	officielles
मिट्टी	boue
मिट्टी	argile
मिट्टी	argileux
तंत्र	système
सितम्बर	septembre
सप्ताह	semaines
सप्ताह	semaine
निकट	imminentes
निकट	près
निकट	imminente
निकट	proche
क्रम	commande
क्रम	commander
क्रम	séquences
क्रम	ordre
क्रम	séquence
बनने	devenir
बनने	devenant
भवन	bâtiments
भवन	immeubles
भवन	bâtiment
भवन	édifices
भवन	immeuble
भवन	batiment
मिली	trouvées
मिली	trouvé
मिली	trouvés
मिली	trouvée
मिली	retrouvé
ग्राम	grammes
ग्राम	gramme
ग्राम	mamy
शायद	surement
शायद	sûrement
शायद	probablement
देख	vois
देख	voyez
देख	consultez
देख	voir
लिंक	liens
लिंक	lien
पाँच	cinq
निर्देशक	réalisateur
निर्देशक	directeur
निर्देशक	directrice
लक्षण	signes
लक्षण	symptômes
लक्षण	panneaux
लक्षण	symptôme
संपर्क	contacter
संपर्क	contacte
संपर्क	contactez
वित्तीय	financière
वित्तीय	financier
गंगा	gange
महीने	mois
सुरक्षित	protégés
सुरक्षित	sécurisé
सुरक्षित	protégée
सुरक्षित	réservés
सुरक्षित	réservée
सुरक्षित	protégées
सुरक्षित	réservé
सुरक्षित	sécurisée
सुरक्षित	sécuritaire
सुरक्षित	protégé
सुरक्षित	coffre
सुरक्षित	sûr
सुरक्षित	sécurisés
पर्यावरण	environnement
लगातार	continus
लगातार	consécutive
लगातार	continue
लगातार	consécutif
लगातार	continu
लगातार	continuellement
लगातार	consécutifs
लगातार	consécutives
लगातार	ininterrompu
अत्यधिक	hautement
अत्यधिक	extrêmement
भूगोल	géographie
भूगोल	géométrique
भूगोल	géométrie
बेहतर	meilleures
बेहतर	mieux
बेहतर	meilleure
बेहतर	meilleur
बेहतर	meilleurs
मुख्यालय	siège
लिपि	scénario
धन	monnaie
धन	argent
सॉफ्टवेयर	logiciels
सॉफ्टवेयर	logiciel
योग	somme
योग	totaux
शीर्ष	haut
औद्योगिक	industrielles
औद्योगिक	industriels
औद्योगिक	industrielle
औद्योगिक	industriel
प्रधान	chef
नेता	meneurs
नेता	dirigeants
नेता	meneur
अनुमान	devis
अनुमान	estimation
अनुमान	estimations
शीर्षक	manchette
शीर्षक	titre
शीर्षक	légende
शीर्षक	entête
शीर्षक	titres
अवसर	hasard
अवसर	possibilités
अवसर	opportunité
अवसर	opportunités
अवसर	occasions
अंक	marquer
अंक	partition
अंक	partitions
शोध	recherches
शोध	recherche
स्पेन	espagne
हमेशा	tjrs
हमेशा	toujours
हमेशा	toujour
जोखिम	aléa
जोखिम	danger
जोखिम	risque
जोखिम	risques
तापमान	température
तापमान	thermomètre
तापमान	températures
शाखा	branche
शाखा	embranchement
शाखा	succursale
शाखा	ramification
शाखा	succursales
प्रतीक	symboles
प्रतीक	icônes
प्रतीक	icône
प्रतीक	emblèmes
प्रतीक	symbole
संदर्भ	référence
संदर्भ	contexte
संदर्भ	réf
संदर्भ	arbitre
संदर्भ	références
आयोजन	organiser
आयोजन	organisatrice
करीब	fermer
करीब	proche
चक्र	roues
चक्र	roue
प्राथमिक	préliminaires
प्राथमिक	primaire
प्राथमिक	préliminaire
प्राथमिक	primaires
गुण	attribuer
गुण	attribut
गुण	attributs
गुण	biens
गुण	propriété
गुण	propriétés
ग्रह	planètes
ग्रह	planète
ग्रह	planete
महल	palais
महल	forteresses
सिद्ध	prouvées
सिद्ध	prouvés
सिद्ध	éprouvé
सिद्ध	prouvée
सिद्ध	prouvé
सिद्ध	démontré
बजाय	plutôt
निधन	mort
निधन	décès
बराबर	égale
बराबर	égales
बराबर	égal
बराबर	égaux
मिनट	mn
फिल्मों	films
फिल्मों	cinéma
फिल्मों	ciné
व्यवसाय	entreprises
व्यवसाय	métier
व्यवसाय	affaires
व्यवसाय	entreprise
बनाई	recréé
संरक्षण	préservation
संरक्षण	conservation
शो	afficher
शो	spectacle
शो	montrer
शो	montre
प्रस्ताव	propositions
प्रस्ताव	proposition
प्रस्ताव	offre
प्रस्ताव	offrir
रिपोर्ट	rapports
रिपोर्ट	signaler
रिपोर्ट	rapport
रिपोर्ट	reportages
रिपोर्ट	reportage
अंग	orgue
अंग	organe
हिस्से	partie
मुस्लिम	musulmane
मुस्लिम	musulmans
मुस्लिम	musulman
रिकॉर्ड	enregistrer
रिकॉर्ड	enregistrements
रिकॉर्ड	enregistre
सरल	simples
धातु	métalliques
धातु	métallique
धातु	métal
धातु	métaux
परिषद	conseil
परिषद	confédération
शारीरिक	physique
शारीरिक	somatiques
शारीरिक	physiques
संघर्ष	conflits
संघर्ष	antagonisme
संघर्ष	lutte
संघर्ष	conflit
तकनीक	technologies
तकनीक	technologie
तकनीक	technologique
फल	fruitières
फल	fruits
कैसे	comment
प्रकट	dévoiler
प्रकट	révèlent
प्रकट	révéler
कार्बनिक	biologiques
कार्बनिक	bio
कार्बनिक	organique
कार्बनिक	biologique
कार्बनिक	organiques
विवरण	détail
विवरण	détails
विवरण	descriptif
शादी	mariages
शादी	mariage
शादी	noces
पात्र	conteneur
पात्र	récipient
वेब	enchaînement
संसद	parlement
सन्दर्भ	références
सन्दर्भ	référence
सन्दर्भ	contexte
परमाणु	atomiques
परमाणु	nucléaire
परमाणु	molécule
परमाणु	atome
परमाणु	atomique
परमाणु	nucléaires
आक्रमण	attentat
आक्रमण	envahir
आक्रमण	attaque
आक्रमण	attaquer
आक्रमण	attaquez
आक्रमण	invasions
कार	voitures
कार	voiture
जांच	tester
जांच	épreuve
जांच	examiner
जांच	enquête
जांच	sondes
जांच	sonde
जांच	essai
पत्थर	pierre
पत्थर	pierres
आठ	huit
विषयों	thèmes
विषयों	sujets
पारंपरिक	traditionnel
पारंपरिक	traditionnelle
पारंपरिक	traditionnelles
पारंपरिक	traditionnels
अकादमी	académie
अभियान	campagne
अभियान	campagnes
घोषित	déclare
घोषित	déclarés
घोषित	déclarent
घोषित	annoncées
घोषित	déclaré
घोषित	déclarer
घोषित	annoncée
घोषित	annoncé
घोषित	annoncés
घोषित	déclarée
घोषित	déclarons
घोषित	déclarées
लिखी	ecrit
लिखी	écrites
लिखी	écrit
लिखी	écrite
लिखी	écrits
सिस्टम	systèmes
सिस्टम	système
किनारे	arêtes
किनारे	coins
किनारे	bord
किनारे	angles
किनारे	bords
किनारे	bordure
किनारे	arête
कार्बन	carbone
प्रतिक्रिया	réagis
प्रतिक्रिया	réaction
प्रतिक्रिया	rétroaction
प्रतिक्रिया	réactives
प्रतिक्रिया	réagir
प्रतिक्रिया	réactif
प्रतिक्रिया	réactive
प्रतिक्रिया	réponse
प्रतिक्रिया	réactifs
प्रतिक्रिया	commentaires
गणित	arithmétique
गणित	mathématique
गणित	mathématiques
गणित	mathématicien
गणित	maths
मौत	mort
मौत	décès
विवाद	polémique
विवाद	contentieux
विवाद	litige
विवाद	controverses
विवाद	controverse
विवाद	contestation
विवाद	conflit
विवाद	conflits
विवाद	litiges
विवाद	différends
ग्रहण	éclipse
ग्रहण	éclipsé
तकनीकी	technique
तकनीकी	techniques
माँ	maman
माँ	mères
माँ	mere
माँ	mamans
माँ	mère
मैदान	maïdan
मैदान	plaines
मैदान	plaine
मैदान	moulu
विमान	avions
विमान	aéronautique
विमान	avion
विमान	aéronefs
सक्षम	activé
सक्षम	activés
सक्षम	activée
सक्षम	capables
सक्षम	activées
वातावरण	atmosphère
वातावरण	ambiance
वातावरण	environnement
लागत	coûts
लागत	coût
सीधे	directement
सीधे	hétéro
प्रेस	presse
प्रेस	appuyez
रोमन	romain
रोमन	romains
रोमन	romaine
रोमन	romaines
मील	milles
मील	kilomètres
लोकसभा	parlement
अज्ञात	inconnues
अज्ञात	inconnus
अज्ञात	inconnu
अज्ञात	anonyme
अज्ञात	inconnue
रेखा	ligne
पार	croix
पार	croisée
पार	croisé
पार	traverser
लेखन	rédaction
लेखन	écriture
लेखन	ecrire
लेखन	écrire
लेखन	écritures
लेखन	écrits
सेंट	centimes
बोली	soumissions
बोली	enchère
नष्ट	détruisez
नष्ट	détruire
नष्ट	anéantir
नष्ट	détruit
नष्ट	détruites
नष्ट	détruits
नष्ट	détruite
परंपरा	traditions
राशि	montant
दृष्टिकोण	démarche
दृष्टिकोण	approche
भाव	émotion
भाव	émotions
भाव	geste
भाव	sens
हवा	vent
हवा	vents
हवा	éolien
हवा	éolienne
हवा	brise
पाठ	récitation
पाठ	texte
पाठ	textes
गठन	cadres
गठन	cadre
गठन	ossature
गठन	montures
नागरिक	civisme
नागरिक	citoyen
नागरिक	citoyenne
नागरिक	civiques
नागरिक	civique
अस्तित्व	existentielle
अस्तित्व	survivre
अस्तित्व	survie
गंभीर	grave
गंभीर	sérieux
गंभीर	critique
गंभीर	serieux
गंभीर	critiques
गंभीर	sérieuse
गंभीर	graves
समझ	comprends
समझ	comprenez
समझ	compréhension
समझ	compréhensif
समझ	comprendre
समझ	compréhensive
किस	baiser
किस	bisou
आदेश	commande
आदेश	commander
आदेश	ordre
आदेश	commandes
आदेश	mandat
आदेश	ordonnances
आदेश	ordres
आदेश	injonction
सैन्य	militaire
सैन्य	militaires
सैन्य	armée
अंदर	intérieure
अंदर	intérieur
अंदर	interieur
ग्रन्थ	textes
भाषाएँ	langues
भुगतान	paiement
भुगतान	payement
भुगतान	paiements
उनसे	eux
ध्वनि	son
ध्वनि	bruits
ध्वनि	sons
ध्वनि	sonore
निवास	résidences
निवास	résidence
अरबी	arabes
अरबी	arabe
हत्या	tuerie
हत्या	massacrer
हत्या	assassiner
हत्या	assassinats
हत्या	meurtres
हत्या	assassinat
हत्या	tuer
हत्या	meurtre
दिखाया	montré
पवित्र	saint
पवित्र	sacrées
पवित्र	saintes
पवित्र	sacrés
पवित्र	sacré
पवित्र	sacrée
पवित्र	sainte
विभाजित	divisé
विभाजित	scinder
विभाजित	divisée
विभाजित	scission
विभाजित	divisés
विभाजित	diviser
विभाजित	divisées
इकाई	unités
इकाई	unite
इकाई	unité
अम्ल	acidité
अम्ल	acide
अम्ल	acides
आए	vint
प्रबंधक	gestionnaire
प्रबंधक	directeurs
प्रबंधक	directeur
प्रबंधक	dirigeants
प्रबंधक	gestionnaires
प्रबंधक	gérant
प्रबंधक	directrice
वही	même
वही	mêmes
वही	identique
वही	meme
वही	pareil
संग्रहालय	musées
संग्रहालय	musée
जीता	gagne
जीता	gagnés
जीता	gagnée
जीता	gagnées
जीता	gagné
जीता	victoires
मुद्रा	devises
मुद्रा	poser
मुद्रा	argent
मुद्रा	monnaies
मुद्रा	monnaie
मुद्रा	poses
मुद्रा	posent
मुद्रा	devise
मतलब	moyens
मतलब	signifie
युवा	jeunes
युवा	jeunesse
युवा	jeune
शहरों	villes
अंतरिक्ष	espace
प्रसारण	diffuser
प्रसारण	diffusions
प्रसारण	émissions
प्रसारण	radiodiffusion
प्रसारण	diffusion
नियमित	ordinaire
नियमित	régulières
नियमित	régulière
नियमित	régulier
व्याख्या	explications
व्याख्या	notez
व्याख्या	interprétation
व्याख्या	explication
व्याख्या	remarque
शेष	restant
शेष	gauche
शेष	restantes
शेष	restants
दावा	allégations
दावा	revendication
दावा	revendications
दावा	réclamation
दावा	réclamations
दावा	revendiquer
दावा	créances
दावा	réclamer
मोबाइल	portable
संभावना	probablement
संभावना	probabilité
संभावना	probabilités
संभावना	vraisemblance
संभावना	probable
दिवस	journée
दिवस	journee
दिवस	jour
विधायक	législateurs
विधायक	législateur
तर्क	argumentation
तर्क	logique
तर्क	arguments
तर्क	raisonnements
तर्क	logiques
तर्क	dispute
तर्क	raisonnement
आपके	votre
आपके	vos
विरुद्ध	contre
परीक्षा	tester
परीक्षा	épreuve
परीक्षा	essai
परीक्षा	examens
परीक्षा	examen
पाई	tartes
पाई	tarte
खाद्य	comestibles
खाद्य	comestible
भविष्य	avenir
भविष्य	futures
भविष्य	futurs
भविष्य	futur
बिक्री	vente
बिक्री	soldes
बिक्री	ventes
सम्मेलन	conférences
सम्मेलन	conférence
रानी	reine
सिटी	villes
सिटी	ville
अच्छे	bien
अच्छे	bons
अच्छे	bonnes
अच्छे	bon
अच्छे	bonne
तुम	toi
तुम	tu
तुम	vous
सिर	tête
सिर	têtes
दबाव	pressions
दबाव	pression
बोर्ड	planche
बोर्ड	planches
नियुक्त	désignés
नियुक्त	nommés
नियुक्त	embauché
नियुक्त	nommé
नियुक्त	nommer
नियुक्त	embauchés
नियुक्त	engagés
नियुक्त	engagée
नियुक्त	engagé
नियुक्त	désigné
फरवरी	fevrier
फरवरी	février
फरवरी	fév
नेशनल	nationaux
नेशनल	nationales
नेशनल	nationale
उर्दू	ourdou
संसार	mondial
संसार	mondes
संसार	monde
संसार	mondiale
कोलकाता	calcutta
प्रतिनिधित्व	déléguées
प्रतिनिधित्व	déléguée
प्रतिनिधित्व	représentation
प्रतिनिधित्व	délégués
प्रतिनिधित्व	délégué
विचारों	idées
प्रेरित	inspirée
प्रेरित	motivée
प्रेरित	inspirées
प्रेरित	motivées
प्रेरित	inspiré
प्रेरित	motivé
प्रेरित	inspirés
प्रेरित	motivés
समारोह	cérémonie
मस्तिष्क	cerveau
मस्तिष्क	cerveaux
मस्तिष्क	cérébrale
मस्तिष्क	cervelle
घरेलू	domestiques
घरेलू	domestique
प्रायः	habituellement
प्रायः	généralement
प्रायः	souvent
मौसम	saison
मौसम	temps
मौसम	météorologie
मौसम	saisons
मौसम	climat
मौसम	intempéries
मौसम	météo
अर्थात्	moyens
अर्थात्	signifie
भावना	esprit
भावना	émotions
भावना	sensation
भावना	émotion
भावना	sentiment
गुणवत्ता	qualité
गुणवत्ता	qualite
छात्र	étudiants
छात्र	etudiant
छात्र	étudiant
छात्र	étudiante
खाना	alimentation
खाना	nourriture
खाना	alimentaire
मिले	rencontrée
मिले	trouvées
मिले	trouvé
मिले	rencontré
मिले	trouvés
मिले	rencontrées
मिले	rencontrés
मिले	trouvée
मिले	retrouvé
निर्वाचित	élu
निर्वाचित	élue
निर्वाचित	élus
निर्वाचित	élues
इटली	italie
सिद्धान्त	théorie
सिद्धान्त	théories
सिद्धान्त	principes
विरोधी	opposées
विरोधी	hostilité
विरोधी	hostiles
विरोधी	opposés
विरोधी	contraires
विरोधी	antagoniste
राजवंश	dynastie
संक्रमण	infections
घाटी	vallée
नियंत्रित	modéré
नियंत्रित	contrôlés
नियंत्रित	modérer
नियंत्रित	modérés
नियंत्रित	contrôlée
नियंत्रित	contrôlées
नियंत्रित	contrôlé
विलियम	guillaume
विविध	diversifié
विविध	diverses
विविध	divers
विविध	varié
उद्यान	parc
होगी	fera
होगी	sera
होगी	volonté
पशु	animale
पशु	animaux
ज्यादातर	principalement
ज्यादातर	essentiellement
ज्यादातर	surtout
ईसाई	chrétienne
ईसाई	chrétiens
ईसाई	chrétien
ईसाई	christianisme
प्रमाण	preuves
प्रमाण	justificatif
प्रमाण	preuve
याद	souviens
याद	mémoriser
कंपनियों	entreprises
कंपनियों	compagnies
कंपनियों	sociétés
मानसिक	mentale
मानसिक	psychique
मानसिक	psychiques
मानसिक	médium
मानसिक	mentalement
मानसिक	voyante
रसायन	chimiques
रसायन	chimie
रसायन	chimique
क्षेत्रफल	zone
क्षेत्रफल	région
क्षेत्रफल	domaine
प्रभावी	efficace
प्रभावी	efficaces
विज्ञापन	publicités
विज्ञापन	annoncer
विज्ञापन	annonces
विज्ञापन	annonce
विज्ञापन	publicité
विज्ञापन	publicitaire
ईश्वर	dieu
आसानी	aisance
आसानी	facilité
अमरीका	amérique
अमरीका	amerique
शिकार	chasse
शिकार	proie
शिकार	victime
शिकार	chasser
शिकार	proies
रोगी	patients
रोगी	patiente
रूसी	russes
रूसी	russe
क्रांति	révolution
अधीन	sous
गुप्त	secrète
गुप्त	chiffré
गुप्त	secrets
गुप्त	chiffrée
गुप्त	cryptée
गुप्त	crypté
माने	crinière
हृदय	cœur
हृदय	cardiaque
हृदय	coeur
हृदय	cardiaques
हिंदू	hindou
हिंदू	hindoue
हिंदू	hindous
शुद्ध	pur
शुद्ध	pures
शुद्ध	purs
तीसरे	tiers
तीसरे	troisieme
तीसरे	troisièmement
तीसरे	troisième
चर्च	eglises
चर्च	église
चर्च	églises
चर्च	eglise
अपेक्षा	attentes
कार्यालय	travailler
कार्यालय	bureaux
कार्यालय	bureau
कार्यालय	travaux
कार्यालय	travail
परिवहन	transports
परिवहन	transport
स्टार	vedette
स्टार	étoiles
स्टार	étoile
स्टार	etoiles
वर्षा	pluies
वर्षा	pluviométrie
वर्षा	pluie
वर्षा	précipitations
जनरल	généraux
जनरल	générale
जनरल	généralités
जनरल	général
मार	tue
मार	massacrer
मार	assassiner
मार	tuez
मार	tuer
परिचय	introduction
उत्पत्ति	origines
उत्पत्ति	bouée
उत्पत्ति	genèse
उत्पत्ति	bouées
उत्पत्ति	origine
मांग	exiger
देवता	divinité
सोवियत	soviétiques
सोवियत	soviétique
दौर	rond
दौर	rondes
दौर	ronds
दौर	ronde
दौर	arrondi
संचालन	opérations
संचालन	fonctionnement
संचालन	opération
भौगोलिक	géographiques
भौगोलिक	géographique
उपस्थित	présents
उपस्थित	présenter
उपस्थित	participants
उपस्थित	présente
उपस्थित	présent
उपस्थित	actuel
अस्पताल	hôpitaux
अस्पताल	hôpital
अस्पताल	hopital
अस्पताल	hospitalisation
परिवर्तित	modifiées
परिवर्तित	convertis
परिवर्तित	modifiés
परिवर्तित	changé
परिवर्तित	modifié
परिवर्तित	modifiée
परिवर्तित	changée
परिवर्तित	converti
परिवर्तित	convertie
पेश	présentant
स्वर	chant
स्वर	voyelles
स्वर	voyelle
स्वर	vocale
स्वर	vocaux
लघु	succincte
लघु	mineures
लघु	mineur
लघु	logarithme
लघु	mineure
लाइन	ligne
प्रश्न	requête
आलोचना	critique
आलोचना	critiques
पहाड़ी	colline
जालस्थल	site
पुरानी	âgées
पुरानी	ancienne
पुरानी	ancien
पुरानी	vieille
पुरानी	vieux
पुरानी	anciens
पुरानी	aîné
पसंद	aime
पसंद	signet
पसंद	choix
पसंद	signets
सुझाव	recommandations
सुझाव	pourboires
सुझाव	trucs
सुझाव	astuces
सुझाव	agrégation
सुझाव	conseils
खेती	moisson
खेती	récoltes
खेती	labour
खेती	récolte
खेती	vendanges
लिखने	rédaction
लिखने	ecrire
लिखने	écriture
लिखने	écrire
वर्णित	décrits
वर्णित	décrites
वर्णित	décrit
वर्णित	décrite
विभाजन	circonscription
विभाजन	cloisons
विभाजन	cloison
प्रशासनिक	administratifs
प्रशासनिक	administratives
प्रशासनिक	administratif
विशेषता	attribuer
विशेषता	attribut
विशेषता	attributs
विशेषता	fonctionnalité
विशेषता	qualite
विशेषता	qualité
विशेषता	caractéristique
कठिन	difficile
कठिन	ardu
कठिन	difficiles
कठिन	dur
कठिन	dure
कठिन	ardue
कठिन	coriace
कड़ी	lien
कड़ी	chaine
कड़ी	liens
कड़ी	chaîne
कड़ी	enchaîner
एकमात्र	semelle
ईरान	iranienne
क्षेत्रीय	régionaux
क्षेत्रीय	régionales
क्षेत्रीय	régional
जान	savoir
जान	connaitre
जान	connaître
जान	chéries
जान	sais
जान	sachez
लड़ाई	bataille
लड़ाई	lutte
लड़ाई	combat
लड़ाई	bagarre
लड़ाई	combattre
परिभाषित	définis
परिभाषित	défini
परिभाषित	définies
परिभाषित	définie
ग्रामीण	rurale
ग्रामीण	rurales
ग्रामीण	ruraux
रोड	routier
रोड	route
रोड	chemin
प्रस्तावित	proposée
प्रस्तावित	proposé
प्रस्तावित	proposées
प्रस्तावित	proposés
गायक	chanteuse
गायक	chanteur
इस्लाम	islamisme
समुद्री	marin
समुद्री	marins
समझा	compris
उनको	eux
उपयोगी	utilité
उपयोगी	utile
उपयोगी	serviable
उपयोगी	utilitaire
उपयोगी	utiles
कोशिका	cellules
कोशिका	cellule
केंद्रीय	centrale
सत्र	séance
सत्र	séances
मिश्र	égyptien
मिश्र	égyptienne
मिश्र	égyptiens
मिश्र	egypte
मिश्र	égypte
पहुँच	portée
पहुँच	accessibilité
पहुँच	atteindre
पहुँच	accès
पहुँच	accéder
मेरा	miens
मेरा	mien
मेरा	mienne
मिस्र	égyptien
मिस्र	égyptienne
मिस्र	égyptiens
मिस्र	egypte
मिस्र	égypte
गणराज्य	république
छात्रों	étudiants
छात्रों	etudiants
छात्रों	élèves
पुराना	âgées
पुराना	ancienne
पुराना	ancien
पुराना	vieille
पुराना	vieux
पुराना	anciens
पुराना	aîné
तेज	rapide
तेज	vite
तेज	rapidement
तेज	rapidité
तेज	rapides
सम्राट	empereur
सम्राट	empereurs
नवंबर	novembre
कारणों	raisons
सर	monsieur
सर	messire
प्रवाह	flux
प्रवाह	écoulement
प्रवाह	débit
अपराध	criminalité
अपराध	aveux
अपराध	infraction
अपराध	délit
अपराध	confesser
अपराध	aveu
अपराध	délinquance
अपराध	offense
अमेरिकन	américain
अमेरिकन	américaines
अमेरिकन	américaine
अमेरिकन	américains
व्यक्तित्व	personnalité
जन	yann
यूनाइटेड	unis
यूनाइटेड	unies
यूनाइटेड	unie
जापानी	japonais
जापानी	japonaises
जापानी	japon
जापानी	japonaise
रॉक	rocheux
लंबी	longtemps
लंबी	longs
लंबी	longues
लंबी	longue
गेम	gibier
गेम	jeux
गेम	match
गेम	jeu
अन्दर	intérieur
अन्दर	interieur
संपत्ति	propriété
संपत्ति	actifs
संपत्ति	biens
संपत्ति	actif
संक्षिप्त	concision
संक्षिप्त	brève
संक्षिप्त	brèves
संक्षिप्त	concis
संक्षिप्त	abréviation
संक्षिप्त	concises
संक्षिप्त	bref
क्यों	pourquoi
गलत	fausse
गलत	incorrecte
गलत	faux
गलत	mal
गलत	erroné
गलत	tort
गलत	fausses
गलत	inexacte
सर्वोच्च	suprême
सर्वोच्च	suprêmes
भौतिकी	physique
वाहन	véhicules
वाहन	véhicule
फ़िल्में	films
फ़िल्में	cinéma
फ़िल्में	ciné
सैनिक	militaires
सैनिक	soldat
सैनिक	militaire
सैनिक	armée
डेटा	données
स्थिर	statique
स्थिर	statiques
स्थिर	stable
दूध	lait
मानना	crois
मानना	croient
मानना	croyez
मानना	croire
रखना	garder
रखना	maintenir
रखना	conserver
बाह्य	extérieur
बाह्य	extérieurs
बाह्य	externe
बाह्य	extérieure
बाह्य	externes
उपस्थिति	présence
उपस्थिति	participation
उपस्थिति	fréquentation
उपस्थिति	assiduité
समूहों	groupes
आये	vint
चूंकि	puisque
चूंकि	depuis
होटल	hôtel
होटल	hôtels
उच्चारण	prononciation
साहित्यिक	littéraire
साहित्यिक	littéraires
पुरुषों	hommes
पुरुषों	homme
पुरुषों	masculins
वृक्ष	sapin
वृक्ष	arbres
वृक्ष	arbre
वृक्ष	arborescence
निवेश	investissements
निवेश	investisseur
निवेश	investissement
निवेश	investisseurs
निवेश	investir
तत्वों	éléments
तत्वों	eléments
सत्य	verite
सत्य	vérité
दार्शनिक	philosophe
दार्शनिक	philosophes
सौ	centaine
सौ	cent
आंतरिक	internes
आंतरिक	intérieur
आंतरिक	interieur
आंतरिक	intérieurs
आंतरिक	interne
प्रत्यक्ष	évident
प्रत्यक्ष	évidente
प्रत्यक्ष	évidence
प्रत्यक्ष	directement
प्रत्यक्ष	directs
प्रत्यक्ष	directe
मित्र	ami
मित्र	amie
मित्र	amis
मित्र	amies
दर्द	souffrance
दर्द	douleurs
दर्द	douleur
दर्द	peine
बिजली	éclairs
बिजली	electricité
बिजली	électricité
बिजली	foudre
बिजली	éclair
बिजली	allégement
कार्ड	accord
कार्ड	cartes
कार्ड	corde
बुद्ध	bouddha
स्टेडियम	stade
स्टेडियम	stades
हजार	milliers
हजार	millier
हजार	mille
रिलीज़	communiqués
रिलीज़	libération
रिलीज़	rejets
रिलीज़	libèrent
शांति	paix
वितरण	livraison
वितरण	accouchement
वितरण	livraisons
वितरण	répartition
आय	salaire
आय	revenus
आय	gains
आय	recettes
आय	revenu
फाइनल	définitif
फाइनल	définitive
फाइनल	finale
फाइनल	finales
टेलीविजन	téléviseur
टेलीविजन	télévision
टेलीविजन	télé
दैनिक	quotidienne
दैनिक	quotidien
दैनिक	quotidiens
दैनिक	journalier
फूल	fleurs
फूल	fleur
कल्पना	visualisation
कल्पना	visualiser
प्रसार	propagation
प्रसार	répandre
दिल	cœur
दिल	coeurs
दिल	cœurs
दिल	coeur
गाने	chanson
गाने	chansons
सुंदर	magnifiques
सुंदर	magnifique
सुंदर	jolies
सुंदर	belle
सुंदर	jolie
सुंदर	superbe
सुंदर	joli
सुंदर	séduisant
सुंदर	beau
यानि	moyens
यानि	signifie
हाउस	maison
अफ़्रीका	afrique
इच्छा	désir
इच्छा	désirer
इच्छा	envies
इच्छा	désirs
भार	poids
खंड	bloc
खंड	bloquer
खंड	blocage
मिश्रण	mélange
मिश्रण	mixage
मिश्रण	mélanger
समर्पित	dédié
समर्पित	dévouée
समर्पित	dédiée
समर्पित	dédiés
समर्पित	dévoué
पहुंच	accès
पहुंच	accéder
व्यास	diamètre
व्यास	diamètres
प्यार	aimant
प्यार	affectueux
प्यार	aime
प्यार	aimer
प्यार	amour
आन्दोलन	mouvement
आन्दोलन	mouvements
मंत्रालय	ministère
आत्मा	esprit
आत्मा	âmes
आत्मा	âme
आत्मा	ame
हे	hé
हे	salut
पक्षी	oiseau
पक्षी	oiseaux
निवासी	résidente
निवासी	habitants
निवासी	résident
निवासी	résidants
निवासी	résidant
निवासी	résidents
अंततः	finalement
अंततः	éventuellement
डेविड	laurent
डेविड	alain
डेविड	sylvie
कह	dis
कह	dire
कह	dites
जंक्शन	jonction
खास	spéciaux
खास	spéciale
खास	spéciales
खास	spécial
जलवायु	climat
तय	corrigé
तय	fixes
तय	réparé
तय	fixe
तय	fixé
धारावाहिक	série
धारावाहिक	épisodes
तारे	étoiles
तारे	etoiles
तारे	vedette
तारे	vedettes
तारे	étoile
बनाना	créer
पौराणिक	mythologique
बाकी	repose
बाकी	résiduelle
बाकी	restant
बाकी	résiduel
बाकी	restantes
बाकी	résiduelles
बाकी	repos
बाकी	restants
संत	saintes
संत	sainte
ऊंचाई	hauteur
ऊंचाई	altitude
ऊंचाई	taille
ऊंचाई	élévation
तुर्की	turc
तुर्की	dinde
तुर्की	turque
तुर्की	turquie
तुर्की	turcs
तुर्की	turques
संस्कार	rituels
संस्कार	funéraire
संस्कार	funérailles
संस्कार	enterrement
संस्कार	obsèques
अर्थव्यवस्था	economique
अर्थव्यवस्था	économie
अर्थव्यवस्था	economie
बीमारी	maladie
बीमारी	maladies
वार्षिक	annuelle
वार्षिक	annuel
वार्षिक	annuels
