con	함께
infraestructura	인프라
dispositivo	장치
dispositivo	기기
dispositivo	단말기
frutos	과일
frutos	열매
frutos	과일과
solicitud	어플리케이션
solicitud	애플리케이션
solicitud	요청하기
solicitud	요청
solicitud	프로그램
silla	의자
silla	안장
informática	컴퓨터
informática	정보학
informática	컴퓨팅
fronteras	프론티어
fronteras	경계
fronteras	경계선
fronteras	국경
fronteras	테두리
construcciones	건설
construcciones	빌딩
construcciones	건물들
construcciones	건축물
construcciones	공사
construcciones	건축
construcciones	건물
maíz	옥수수
gato	고양이
azúcar	슈가
azúcar	슈슈
azúcar	설탕
sueco	스웨덴어
sueco	스웨덴
sueco	스웨덴인
millón	백만명
millón	백만
defunción	사망
defunción	데스
defunción	죽음
lesión	부상
sonidos	소리
sonidos	소음
salvar	저장하기
salvar	저장
composiciones	작곡
individuo	개인
individuo	개별
siente	느낌
siente	기분
dividido	나눈
giro	트위스트
crimen	범죄
correcto	정답
correcto	올바른
correcto	오른쪽
esclavos	노예
esclavos	노예제
vuelos	항공편
vuelos	비행
abrir	열기
abrir	오픈
abrir	오프닝
abrir	개봉
inmediato	즉시
inmediato	즉각
procedimiento	시술
procedimiento	절차
automóviles	차량
automóviles	자동차
periodismo	저널리즘
sábado	토요일
cuartel	본부
cuartel	본사
héroes	히어로즈
héroes	히어로
héroes	영웅
perspectiva	아웃룩
perspectiva	전망
perspectiva	관점
cuevas	동굴
suprema	슈프림
decoración	장식
hijas	딸들
julián	율리아누스
julián	율리우스
julián	율리안
gama	감마
gama	범위
foro	포럼
copia	복사
copia	사본
copia	카피
copia	복사본
muros	성벽
articulo	기사
retorno	반환
retorno	반납
retorno	복귀
retorno	리턴
retorno	귀환
lógica	논리학
lógica	논리적
lógica	논리
segura	무사히
segura	보안
segura	안전한
segura	안전
cuarenta	마흔
costo	비용
extinción	대멸종
extinción	대량절멸
extinción	멸종
típico	전형적
típico	전형
típico	전형적인
nativos	원주민
nativos	네이티브
conferencias	컨퍼런스
conferencias	회의
conferencias	강연
conferencias	강의
ajedrez	체스
habitación	객실
señales	신호
tensión	전압
tensión	긴장감
tensión	긴장
tensión	텐션
cesar	카이사르
cesar	시저
conciencia	양심
conciencia	의식
conciencia	인식
conciencia	인지도
conciencia	양심적
seminario	세미나
seminario	신학교
técnicos	기술
técnicos	기술적
técnicos	기술자
técnicos	테크니컬
palmas	손바닥
vidas	생명
órganos	오르간
órganos	장기
entradas	항목
entradas	티켓
pelo	머리카락
pelo	머리
pelo	머리카락이
estatus	상태
contemporáneo	현대
turístico	관광객
seco	드라이
seco	건조
huracán	허리케인
cumbre	회담
cumbre	정상회담
cumbre	정상회의
mexicanos	멕시코
mexicanos	멕시코인
residentes	상주
residentes	레지던트
residentes	주민들
residentes	주민
conservador	보수
conservador	토리
conservador	보수주의
conservador	큐레이터
rueda	바퀴
valles	골짜기
completar	완료
completar	완성
pacto	컴팩트
pacto	규약
pacto	콤팩트
llamar	호출
llamar	통화
llamar	전화
opiniones	리뷰
opiniones	의견
brazos	무기
consejero	충고
cámaras	사진기
cámaras	챔버스
cámaras	카메라
documentación	문서
documentación	설명서
autopista	고속도로
autopista	자동차도
autopista	하이웨이
circunstancias	상황
parcial	부분
parcial	편향
parcial	부분적
incluidos	포함됨
incluidos	포함
séptimo	일곱번째
historial	역사
historial	기록
historial	히스토리
historial	내역
impuestos	세금
impuestos	납세
reloj	시계
reloj	클럭
intensidad	강조
intensidad	강도
definir	정의
definir	정의하기
gabinete	내각
equilibrio	균형
equilibrio	잔액
equilibrio	평형
equilibrio	밸런스
esquina	구석
esquina	코너
esquina	모퉁이
recuerdo	기억력
recuerdo	메모리
recuerdo	기념품
recuerdo	추억
recuerdo	기억
japoneses	일본어
japoneses	일본
japoneses	일본인
inmigrantes	이민
inmigrantes	이민자
órbita	궤도
tropicales	열대
gótico	고딕
cima	회담
cima	정상회담
cima	정상회의
cima	인기
vázquez	바스케스
soviético	소련
rubén	루벤
atletismo	추적
atletismo	트랙
atletismo	육상
silencio	침묵
silencio	사일런스
silencio	조용히
silencio	조용한
trofeo	트로피
ocupado	바쁘다
ocupado	바빠
ocupado	점령
ocupado	바쁜
arqueológico	고고학
pobres	불쌍한
reconstrucción	재건
reconstrucción	재구성
tratados	조약
particulares	개인
presa	먹이
oportunidades	기회
usados	사용함
usados	사용됨
usados	사용
calderón	칼데론
monarquía	군주제
monarquía	군주
percusión	타악기
lobo	볼프
lobo	울프
lobo	늑대
biología	생물학
móvil	모바일
dividida	스플릿
dividida	나눈
dividida	스플리트
dividida	나누기
dividida	분할
víctima	희생자
víctima	피해자
incremento	증가
teología	신학
ambiental	환경
nobleza	귀족
cultivos	자르기
cultivos	농작물이
cultivos	문화
cultivos	곡물
cultivos	농작물
cultivos	잘라내기
corporación	코퍼레이션
corporación	주식회사
gimnasia	체육관
gimnasia	헬스
gimnasia	체조
refugio	쉼터
automóvil	차량
automóvil	자동차
renuncia	사직
renuncia	사임
borbón	부르봉
borbón	버번
filósofo	철학자
filósofo	철학
rasgos	기능
rasgos	특징
cantar	노래
pino	파인
pino	소나무
usualmente	보통
sofía	소피아
lucía	루시
lucía	루시아
absoluto	절대적
absoluto	절대
herramienta	도구
herramienta	공구
águila	이글
águila	독수리
camiseta	셔츠
camiseta	저지
registrado	기록함
registrado	녹음
registrado	등록
registrado	등기
registrado	녹화
cabello	머리카락
cabello	머리
cabello	머리카락이
permiso	권한
permiso	허용
permiso	허락
permiso	허가
musulmanes	무슬림
musulmanes	이슬람교
diversidad	다양성
sudeste	남동부
sudeste	남동
sudeste	동남아
cortos	짧은
cortos	쇼트
cortos	짧게
cortos	반바지
fracaso	실패
superar	극복
drogas	의약품
drogas	마약
drogas	약물
drogas	약품
cantidades	수량
persecución	추구
persecución	박해
persecución	추적
persecución	체이스
cuerdas	문자열
cuerdas	로프
cuerdas	밧줄
nominaciones	후보
villanueva	밸러리
muestras	샘플링
muestras	샘플
muestras	표본
muestras	견본
obrero	노동자
obrero	근로자
demócrata	민주당
traducido	번역
cerebro	두뇌
cerebro	브레인
sombra	섀도
sombra	섀도우
sombra	그림자
sombra	그늘
mercados	시장
indican	나타냅니다
cambiado	변경되었습니다
cambiado	바꿨다
cambiado	변경됨
ganadería	가축
deuda	채무
deuda	부채
chilenos	칠레
fuertemente	강력하게
secundarios	중등
vientos	바람
bancos	은행
bancos	벤치
bancos	뱅크스
bancos	뱅킹
bancos	뱅크
indio	인도
indio	인도인
indio	인디언
dudas	의심
vieron	쏘우
partículas	입자
parcialmente	부분적으로
dirigir	연출
específico	구체
específico	구체적
específico	특정
pastor	셰퍼드
pastor	장관
pastor	설교자
pastor	설교
pastor	양치기
iván	이반
traje	수트
traje	의상
traje	양복
traje	슈트
monarca	군주
monarca	모나크
cifra	그림
escuadra	스쿼드
escuadra	분대
profesora	선생님
profesora	교수
profesora	교사
profesora	스승
profesora	교수님
certamen	대회
certamen	콘테스트
circulación	순환
gobernación	거버넌스
cerrado	잠겨
cerrado	닫힌
cerrado	비공개
detalle	자세히
detalle	세부사항
detalle	상세
desaparecido	누락
desaparecido	실종
sucede	발생
citado	인용
citado	인용된
pekín	베이징
jamás	절대로
jamás	절대
meta	목표
ampliación	확대
ampliación	확장자
ampliación	급팽창
ampliación	팽창
ampliación	연장
ampliación	확장
ampliación	전개
académica	학업
académica	학문
académica	학술
doctrina	교리
cobre	구리
separado	분리됨
separado	따로
separado	별거
separado	별도로
separado	별도
separado	분리
separado	따로따로
habitualmente	보통
créditos	신용
créditos	학점
créditos	신용카드
créditos	크레딧
creados	만들었습니다
creados	생성
posibilidades	가능성
paciente	환자
memorias	추억
memorias	회상록
memorias	회고록
tailandia	방콕
tailandia	타이
tailandia	태국어
tailandia	태국
pobre	불쌍한
calcio	칼슘
precios	가격
precios	프라이스
precios	가격결정
talento	재능있는
talento	탤런트
talento	재능
frecuentes	잦은
frecuentes	자주
captura	캐치
captura	캡쳐
captura	캡처
próxima	넥스트
próxima	다음
antena	공중
antena	안테나
antena	항공기
parada	멈추기
parada	중단
parada	정지
parada	중지
dientes	치아
dientes	이빨
básica	베이직
básica	기초
básica	기본
retirarse	은퇴
retirarse	인출
temática	테마
republicana	공화당
marcado	표시됨
puentes	브리지스
puentes	브릿지
puentes	다리
puentes	브리지
previo	이전
volcán	화산
beneficios	특전
beneficios	이익
beneficios	수익
beneficios	이득
beneficios	혜택
rodolfo	루돌프
rodolfo	랠프
rodolfo	랄프
reproducción	사육
reproducción	재생
reproducción	번식
canaria	카나리아
platino	플래티넘
platino	백금
fósiles	화석
presentaciones	발표
presentaciones	프레젠테이션
tablas	테이블
tablas	보드
representaciones	표현
representaciones	묘사
representaciones	공연
coches	차량
coches	자동차
designación	명명
designación	약속
designación	예약
designación	명명법
alicia	앨리스
abogados	변호사
esperar	기다림
esperar	기다린다
esperar	기다렸다
rumbo	코스
rumbo	과정
cruces	건널목
negras	검정색
negras	블랙
negras	검은색
negras	검정
rumania	루마니아
rumania	루마니아어
rumania	루마니아인
exactamente	정확히
mira	시계
mira	표정
opciones	옵션
cortés	예의
legislativo	입법
legislativo	입법부
fortuna	포춘
legislación	입법
legislación	법학
legislación	법률
legislación	법칙
ramal	지점
ramal	분기
privadas	비공개
rené	르네
instrucción	명령어
lanzar	출시
lanzar	실행
lanzar	런칭
lanzar	발사
modalidad	모드
accidentes	사고
accidentes	교통사고
adecuado	어울리는
plena	가득
emitido	발급
emitido	발행
venezolana	베네수엘라
delegación	위임
restantes	남음
electorales	선거
sugiere	제안
conforme	호환
casada	결혼
misa	미사
misa	매스
misa	메사
misa	질량
misa	대량
reconoce	인식
marrón	브라운
marrón	갈색
relevantes	관련성
relevantes	관련
magia	매직
magia	마법
magia	마술
núcleos	코어
núcleos	커널
vender	판매하기
vender	팔아
vender	판매
simples	간단한
simples	간단하다
simples	단순한
simples	단순
simples	심플
simples	간단
manejo	취급
manejo	처리
manejo	다루기
campamento	캠프
campamento	캠핑
dorado	황금
dorado	골든
dorado	골드
celular	세포
celular	셀룰러
celular	모바일
celular	셀프
armando	아르놀트
armando	무장
diarios	일간
diarios	신문
diarios	일상
diarios	데일리
diarios	일일
diarios	다이어리
pisos	아파트
pisos	바닥
directiva	지시
armenia	아르메니아인
armenia	아르메니아어
armenia	아르메니아
mina	광산
gráfico	그래픽
gráfico	차트
gráfico	그래픽스
gráfico	그래프
cuál	어느
gracia	그레이스
gracia	은혜
evidente	명백하다
rescate	구출
rescate	구조
aceptar	수락
relieve	강조
organizar	편곡
infante	영아
fundamentalmente	근본적
fundamentalmente	근본적으로
fundamentalmente	본질적으로
sobrino	조카
come	먹기
come	먹어
perros	개들
perros	개그
cliente	클라이언트
cliente	고객
profundo	깊게
profundo	깊은
ruedas	바퀴
modificaciones	변경
modificaciones	변화
inmigración	이민
inmigración	이민호
arqueológicos	고고학
gallego	갈리시아어
asociados	파트너는
asociados	파트너
mariscal	쿼터백
mariscal	마셜
mariscal	마샬
naranja	오렌지
naranja	오렌지색
autobuses	버스
embalse	저수지
americanos	미국인
americanos	아메리칸
rayos	번개
rayos	레이
rayos	라이트닝
ducado	공국
ducado	듀크
ducado	공작
aficionados	아마추어
aficionados	팬들
multitud	다중
multitud	군중
heredero	상속인
heredero	상속
heredero	상속자
generar	생성
generar	생성하기
orilla	해변
orilla	해안
cátedra	의자
cátedra	강연
cátedra	강의
licenciado	졸업
espiritual	정신적
violín	바이올린
carnaval	카니발
carnaval	사육제
seno	유방
seno	가슴
playas	바닷가
playas	비치
playas	해변
síntesis	요약
síntesis	합성
docente	교사
docente	스승
docente	선생님
piragüismo	카누
sacerdotes	사제들
dirigentes	리더
dirigentes	지도자
evaluación	평가
modos	방법
modos	모드
inscripción	등록
inscripción	비문
descubrir	찾기
descubrir	찾아보기
descubrir	발견
enfoque	집중
enfoque	접근
enfoque	초점
enfoque	집중하기
enfoque	접근법
enfoque	포커스
industrias	업종
industrias	산업
mejoras	개선
mejoras	향상
mejoras	업그레이드
agrícolas	농업
agrícolas	농지
publicar	포스트
publicar	게시글
publicar	게시물
publicar	게시
publicar	포스팅
publicar	발행
publicar	출판
judío	유대인
judío	유대교
abadía	수도원
crédito	신용
crédito	신용카드
crédito	크레딧
irak	이라크
visitante	방문자
visitante	방문객
operador	연산자
operador	작용소
operador	운영자
investigador	연구자
investigador	탐정
investigador	연구원
negociaciones	협상
inclinación	기울여
inclinación	틸트
inclinación	기울기
físicas	물리적
físicas	물리학
físicas	물리
federales	연방
judía	유대인
judía	유대교
escritas	서면
amante	애인
amante	연인
holanda	네덜란드령
holanda	네덜란드인
holanda	네덜란드
holanda	홀랜드
arroz	라이스
dificultad	곤란
dificultad	난이도
dificultad	어려움
sicilia	시칠리아
secundario	중등
hilo	대화
hilo	스레드
belga	벨기에
operativo	운영
épocas	타임즈
épocas	타임스
terminado	완료
terminado	완료되었습니다
dragón	드래곤
dragón	드래곤볼
armamento	무기
profunda	깊게
profunda	깊은
napoleón	나폴레옹
recepción	영수증
recepción	접수
destacada	추천
destacada	대표
igualdad	평등주의
igualdad	평등
conductor	운전사
conductor	드라이버
síntomas	증세
síntomas	증상
detenido	체포
legión	레지옹
alcanzado	도달
alcanzado	달성
licenciatura	총각
licenciatura	학위
licenciatura	학사
festivales	페스티발
festivales	축제
festivales	페스티벌
elegidos	선출
elegidos	선정
vale	좋아요
vale	알겠습니다
pabellón	워드
pabellón	파빌리온
túnel	터널
baviera	바이에른
soberanía	주권
expertos	전문가
expertos	전문가들
alaska	알래스카
asesino	살인자
asesino	암살
asesino	살인범
asesino	킬러
asesino	암살자
tecnológico	기술
prima	사촌동생
prima	프리미엄
prima	사촌
manifestaciones	시위
bolsa	지갑
bolsa	가방
bolsa	봉지
elegida	선출
elegida	선정
masas	미사
masas	매스
masas	덩어리
masas	질량
masas	대량
paralelo	평행
paralelo	병렬
empezar	시작하기
empezar	시작
demostrar	증명
demostrado	표시된
demostrado	표시됨
demostrado	입증
fragmentos	단편
acuerdos	협정
acuerdos	협약
viajar	여행
toros	투우
escenarios	시나리오
crece	자라
anuales	매년
lema	좌우명
diplomático	외교관
malasia	말레이시아
malasia	말레이시아어
marinos	선원
marinos	해병대
marinos	마린
socio	파트너
lingüística	언어학
mencionar	언급하기
mencionar	언급
jerónimo	제롬
jerónimo	제로니모
cumple	생일
identificación	증명
identificación	식별
identificación	신분증
electricidad	전력
electricidad	전기
sesiones	세션
tránsito	교통량
tránsito	트래픽
tránsito	환승
tránsito	트랜싯
tránsito	교통
típica	전형적
típica	전형
típica	전형적인
filial	자회사
atmósfera	분위기
atmósfera	대기
explicar	설명하기
explicar	설명
explicar	설명해
explicar	설명해주세요
colectivo	집단
vacío	무효
vacío	진공
vacío	비어
vacío	공허
requisitos	요구사항
únicos	독특한
únicos	고유
elevada	하이
elevada	높음
nieve	스노우
pares	피어
pares	켤레
pares	동료
comunistas	공산주의자
colina	언덕
cuerda	문자열
cuerda	줄넘기
cuerda	로프
cuerda	밧줄
espectáculos	오락
espectáculos	엔터테인먼트
espectáculos	안경
señores	신사
aplica	구현
aplica	적용
aplica	적용하기
aplica	적용된다
aplica	적용됩니다
aplica	신청
promocional	프로모션
chicas	걸스
chicas	소녀
chicas	소녀들
sentimientos	감정
relacionada	관련
aparato	어플
variables	변광성
variables	변수
poderoso	강력한
poderoso	강력
poderoso	강력하다
nacionalista	국민주의
combates	컴뱃
combates	전투
combates	파이팅
funda	설립
venganza	복수
venganza	회수
sajonia	작센
exitosa	성공적
exitosa	성공
exitosa	성공적인
exitosa	성공함
clínica	임상
clínica	클리닉
clínica	진료소
observación	관찰
observación	관측
bajista	베이시스트
explosión	폭발
armado	무장
acusado	피고인
acusado	피고
mínima	최소
renovación	갱신
diosa	여신
acepta	수락
metropolitano	메트로폴리탄
ventana	윈도우
ventana	창문
rusos	러시아어
rusos	러시아인
reservas	예매
reservas	예약
variaciones	변수
ventanas	윈도우
rojos	레즈
beneficio	이익
beneficio	혜택
descarga	다운로드
visitar	방문
visitar	방문하기
herencia	상속
herencia	문화유산
herencia	레거시
juntas	함께
juntas	같이
aeronaves	항공기
extremos	극한
extremos	극단
extremos	익스트림
extremos	종료
plato	요리
plato	접시
añade	추가하기
añade	추가
gravedad	중력
competir	경쟁
ferrocarriles	철도
planos	비행기
planos	플랜
planos	계획
líquido	수액
líquido	액체
líquido	리퀴드
líquido	수분
plataformas	플랫폼
pecho	유방
pecho	가슴
pecho	가슴이
pecho	흉부
constelación	별자리
explicación	설명
conclusión	결론
conclusión	완성
prestigio	명문
prestigio	프레스티지
campesinos	농부
campesinos	농민
aumenta	증가
biblia	성경
seria	심각하게
seria	심각한
seria	심각하다
seria	심각해
inspiración	영감
inspiración	영감을
negativa	부정적
negativa	음성
negativa	거절
negativa	음수
impresión	인쇄
impresión	프린터
impresión	프린트
impresión	인상
impresión	노출
impresión	프린팅
fría	감기
fría	추위
fría	춥다
fría	차가운
diseños	설계
diseños	디자인
teléfono	전화기
teléfono	휴대폰
teléfono	전화
teléfono	전화번호
pío	트윗
ideología	이데올로기
costumbre	맞춤
costumbre	커스텀
básicos	베이직
básicos	기초
básicos	기본
cómic	코믹
cómic	만화가
cómic	코믹스
cómic	만화
logros	달성
logros	성취
logros	업적
logros	기록
comprar	구매
comprar	구입
comprar	구매하기
comprar	사기
herido	부상
herido	부상당한
cubierto	덮여
cubierto	커버
mental	정신적
polémica	논쟁
polémica	논란이
polémica	논란
crónicas	연대기
crónicas	만성적인
crónicas	만성
principado	공국
relativa	상대
relativa	친척
relativa	상대적
suelos	바닥
suelos	토양
unida	유나이티드
recurso	리소스
recurso	자원
rubio	금발이
rubio	금발
financiera	재무
financiera	금융
vela	양초
vela	항해
vela	촛불
vela	요트
chávez	차베스
voleibol	배구
conjuntos	세트
competencias	솜씨
competencias	대회
competencias	스킬
competencias	능력
talla	크기
talla	사이즈
vistas	조회
vistas	견해
vistas	조회수
vistas	보기
personalidades	성격
experiencias	경험
experiencias	체험
giras	투어
giras	투르
litoral	코스트
litoral	연안
litoral	해안
fases	단계
orgánica	유기적
piensa	생각하기
piensa	생각
carbón	탄소
carbón	목탄
carbón	석탄
sufre	고통받고
vocales	보컬
vocales	모음
perdidos	로스트
perdidos	분실
perdidos	잃어버린
pesado	무거운
pesado	무거움
pesado	무겁게
pesado	무거워
sorpresa	서프라이즈
cruce	교차로
cruce	크로스
cruce	십자가
cruce	크로스로드
cruce	건널목
cruce	교차점
cruce	십자
cruce	건널
cruce	건너
cruce	교차
descendencia	후예
infantiles	아동
yacimientos	예금
bárbara	바바라
escuadrón	스쿼드
escuadrón	분대
brasileña	브라질
oxígeno	산소
distinto	다르다
distinto	달라
distinto	다름
jueves	목요일
cráter	충돌구
distinción	구별
abandonado	버림
instancia	인스턴스
reuniones	모임
reuniones	만남
reuniones	미팅
reuniones	회의
mármol	대리석
instrucciones	안내
instrucciones	방향
instrucciones	지침
instrucciones	지시
matemática	수학
cura	치료
cura	신부
cura	성직자
disolución	솔루션
disolución	해결책
disolución	해체
disolución	해산
vivía	살았던
hispano	히스패닉
milenio	밀레니엄
ligero	라이트
ligero	가벼움
ligero	가볍게
ligero	가벼운
empresarios	사업가
empresarios	고용주
empresarios	기업가
húngaro	헝가리
húngaro	헝가리어
matriz	매트릭스
matriz	어레이
matriz	배열
matriz	행렬
sara	세라
sara	새라
sara	사라
pase	패스
caliente	뜨거운
caliente	뜨겁다
caliente	덥다
caliente	따뜻하다
represión	억압
represión	억제
represión	단속
deciden	결정
deciden	결정하기
hembras	암컷
hembras	여성
corredor	중개인
corredor	코리더
corredor	브로커
corredor	달리기
radiación	방사능
radiación	방사선
radiación	방사
radiación	방사성
rostro	얼굴이
rostro	얼굴
tito	티투스
tito	타이터스
estética	미학
estética	성형
estética	화장품
visitas	방문자
visitas	방문
visitas	방문객
condes	카운트
configuración	설정
configuración	구성
configuración	설정하기
boda	웨딩
boda	결혼식
ganados	획득
ganados	획득한
mecanismos	메커니즘
entrantes	선발
entrantes	수신
renunció	사직
renunció	사임
trasladado	감동
gen	유전자
lleno	채워진
lleno	가득
sentencia	심판
sentencia	판단력
sentencia	판결
sentencia	문장
sentencia	판단
varones	남성
varones	수컷
abandono	방치
trazado	배치
trazado	레이아웃
financiero	재무
financiero	금융
comentó	댓글
bóveda	볼트
sueños	드림
anualmente	매년
lector	리더
básicamente	기본적으로
básicamente	본질적으로
puntuación	구두점
puntuación	득점권
puntuación	득점
puntuación	점수
conducta	동작
conducta	행위
conducta	행동
ángulo	앵글
ángulo	각도
básico	베이직
básico	기초
básico	기본
precisión	정확성
precisión	정밀도
precisión	정밀
precisión	정확도
protegido	보호
recomienda	추천
recomienda	추천합니다
recomienda	권장
postura	자세
socios	파트너는
socios	파트너
oración	기도
arteria	동맥
protegidas	보호
amazonas	아마존
templos	신전
templos	사원
templos	템플
anfibios	양서류
adyacentes	인접한
adyacentes	인접
misiles	유도탄
misiles	미사일
tejido	조직
aprobado	승인
establecida	설립
apodo	닉네임
apodo	별명
emergencia	응급
emergencia	비상사태
intérprete	인터프리터
intérprete	연주자
intérprete	통역
intérprete	공연자
intérprete	연기자
canta	노래
constantemente	꾸준히
constantemente	지속적으로
constantemente	끊임없이
limitado	제한된
limitado	한정
enviar	보내기
enviar	전송
enviar	제출합니다
enviar	보냅니다
enviar	제출
enviar	송금
intendente	시장
preguntas	질문
oscura	어두운
oscura	어둡게
oscura	어둠
oscura	다크
humanas	인간
humanas	인간인
humanas	인체
estadios	경기장
vigilancia	모니터링
vigilancia	감시
planificación	계획
planificación	플래닝
planificación	기획
barrera	장벽
aprender	학습
aprender	배운다
aprender	배워
actualización	업데이트
actualización	갱신
actualización	업그레이드
estatura	높이
estatura	키는
tarjetas	카드
pakistán	파키스탄
catalunya	카탈루냐
imprenta	인쇄
imprenta	프린터
imprenta	프린팅
tesoro	보물
tesoro	재무부
macedonia	마케도니아
pianista	피아니스트
bits	비트
patrona	수호
patrona	집주인
maestra	교사
maestra	스승
maestra	선생님
continuo	연속
continuo	지속
continuo	연속체
vecino	이웃
vecino	이웃집
exploración	탐험
exploración	탐사
exploración	스카우트
consejos	조언
consejos	충고
parámetros	매개변수
parámetros	파라미터
legado	레거시
chicos	소년
chicos	소년들
chicos	보이즈
chicos	보이스
componente	컴포넌트
componente	구성요소
corrupción	부정부패
corrupción	부패
externa	외부
vegetales	야채
vegetales	채소
séptima	일곱번째
signo	기호
signo	사인
signo	서명
espejo	미러
espejo	거울
finalidad	목적
sinfonía	교향곡
teclado	키보드
matemático	수학자
matemático	수학
feliz	행복하다
feliz	해피
feliz	행복
feliz	행복해
feliz	행복한
mapas	지도
ciudadano	시티즌
ciudadano	시민
concretamente	구체적으로
cónsul	영사
existir	존재
existir	존재함
protocolo	프로토콜
malvinas	포클랜드
capturado	캡쳐
capturado	캡처
cerrada	잠겨
cerrada	닫힌
cerrada	비공개
continuidad	연속
continuidad	연속성
hablando	말하기
asesor	컨설턴트
asesor	충고
restaurante	식당
restaurante	음식점
restaurante	레스토랑
tanques	탱크
tanques	전차
informes	신고
informes	보고
informes	보고서
misterio	미스테리
misterio	미스터리
expresa	익스프레스
planetas	행성
proteína	단백질
sexuales	성별
sexuales	성교
sexuales	섹스
sexuales	성관계
espalda	뒤로
espalda	다시
postal	엽서
administrador	매니저
administrador	운영자
administrador	관리자
noches	나이트
noches	밤에
estrecha	좁아
estrecha	좁은
estrecha	좁다
extraño	미스
extraño	이방인
extraño	이상한
extraño	이상하다
extraño	그리워
escaños	자리
escaños	좌석
cirugía	수술과
cirugía	수술
cirugía	외과
chinos	중국어
chinos	중국인
segmento	세그먼트
destruido	파괴됨
ayudante	보조
ayudante	조수
ayudante	도우미
ayudante	부관
ayudante	구원자
ayudante	조교
servidor	서버
portero	수위
portero	포터
portero	골키퍼
característico	특징
característico	특성
aplicar	신청
aplicar	적용
aplicar	적용하기
perfectamente	완벽하게
diablo	악마
viviendo	생활
transferencia	전송
reconocer	인식
intérpretes	공연자
intérpretes	연기자
intérpretes	통역
intérpretes	인터프리터
internos	인턴
llena	가득
llena	채워
llena	채우기
jueces	판사
alcohol	알코올
cubano	쿠바
beatriz	베아트리스
beatriz	베아트릭스
destacadas	추천
destacadas	하이라이트
destacadas	대표
estable	안정
estable	안정환
estable	안정화
estable	안정적
inspirado	영감
entera	정수형
entera	정수
subir	업로드
subir	오르기
urbanos	도시
concesión	양보
arqueología	고고학
iniciales	초기
iniciales	이니셜
alimento	푸드
alimento	음식
alimento	식품
alimento	식량
alimento	피드
corre	실행
corre	런닝
corre	러닝
corre	달려
corre	달리기
praga	프라하
tigre	호랑이
tigre	타이거
protesta	시위
protesta	항의
educativo	교육
detener	멈추기
detener	중단
detener	정지
detener	중지
genética	유전자
responde	응답
responde	응답하라
palo	스틱
palo	막대기
varía	다양함
ondas	파도
protestas	시위
protestas	항의
contratado	고용
abundante	풍부한
digitales	디지털
conservatorio	음악원
correcta	올바른
correcta	정답
patricio	파트리크
patricio	패트릭
colonización	식민지화
islandia	아이슬란드
islandia	아이슬란드어
controversia	논쟁
controversia	분쟁
controversia	논란
diseñador	디자이너는
diseñador	설계자
diseñador	디자이너가
diseñador	디자이너
tarjeta	카드
anillos	고리
anillos	반지
leyendas	레전드
leyendas	자막
leyendas	전설
arenas	샌즈
arenas	샌드
banderas	배너
banderas	깃발
banderas	플래그
voluntarios	자원봉사
voluntarios	자원봉사자
voluntarios	봉사자
germán	생제르맹
germán	제르맹
vegetal	공장
vegetal	야채
vegetal	채소
vegetal	식물학
vegetal	식물
indicar	나타냅니다
transportes	교통수단
transportes	수송
transportes	운송
transportes	교통
compró	샀다
sustitución	교체
horacio	호러스
distinciones	구별
distinciones	명예
literalmente	말그대로
gráfica	그래픽
gráfica	차트
gráfica	그래픽스
gráfica	그래프
emisiones	방출
emisiones	배출량
emisiones	배출권
emisiones	배기가스
emisiones	배출
bosnia	보스니아어
bosnia	보스니아인
bosnia	보스니아
químico	화학
químico	화학자
químico	화학물질
destinos	목적지
destinos	목적지는
partidarios	지지자들
partidarios	후원자
partidarios	지지자
reacciones	반응
reacciones	공감
queso	치즈
leopoldo	레오폴드
leopoldo	레오폴트
externo	외부
silvestre	야생
silvestre	와일드
identificar	식별하기
identificar	식별
concilio	협의회
concilio	평의회
escuchar	청취
escuchar	듣기
legales	합법적인
legales	법률
gráficos	그래픽
gráficos	차트
gráficos	그래픽스
gráficos	그래프
taiwán	타이완
taiwán	타이완어
taiwán	대만
natación	수영
frases	따옴표
frases	문구
frases	문장
frases	어구
anuncio	발표
anuncio	공지
anuncio	상업용
anuncio	상용
anuncio	상업
anuncio	공지사항
anuncio	광고
azules	블루
azules	청색
azules	파랑
azules	푸른
azules	파란색
azules	블루스
azules	푸른색
tubo	파이프
tubo	튜브
flamenco	플랑드르
cálculo	계산법
cálculo	계산
cifras	피규어
cifras	수치
lorena	로레인
lorena	로렌
entrevistas	면접
entrevistas	인터뷰
futura	미래
futura	퓨처
conduce	드라이브
bibliotecas	라이브러리
bibliotecas	도서관
propietarios	소유자
propietarios	주인
hierba	허브
hierba	잔디
responsables	책임감
responsables	책임
convenciones	조약
convenciones	컨벤션
convenciones	협약
extremadamente	극도로
toca	누르기
toca	누르면
toca	누르세요
cubana	쿠바
hablan	말하기
amarilla	노랑
amarilla	노랑색
amarilla	노란색
amarilla	황색
químicos	화학
químicos	화학물질
químicos	화학품
publicadas	출판
publicadas	게시
publicadas	출판됨
iniciado	시작되었습니다
iniciado	시작했습니다
iniciado	시작됨
manifiesto	성명서
manifiesto	매니페스토
manifiesto	선언
fantasma	고스트
fantasma	유령
fantasma	귀신
fantasma	팬텀
centímetros	센티미터
centímetros	인치
soluciones	솔루션
soluciones	해결책
revuelta	폭동
revuelta	봉기
revuelta	반란
