در	門
تجارت	商業
تجارت	業務
تجارت	交易
تجارت	商務
تجارت	貿易
تجارت	企業
تجارت	買賣
ذخیره	儲存
ذخیره	節省
ذخیره	商店
ذخیره	儲蓄
ذخیره	店
ذخیره	貯存
ذخیره	儲備
ذخیره	準備金
دودمان	朝代
دودمان	王朝
پوست	肌膚
برچسب	標籤
برچسب	標記
رقص	舞
رقص	舞動
رقص	舞蹈
رقص	跳舞
دانشگاهی	大學
دانشگاهی	學術
دانشگاهی	書院
دانشگاهی	學院
روسی	俄語
روسی	俄文
جرج	喬治
علاقه	感興趣
علاقه	利息
علاقه	興趣
آشنا	熟悉
آشنا	接觸
آشنا	聯絡
فنلاند	芬蘭
جلو	向前
جلو	陣線
جلو	前面
جبهه	陣線
جبهه	前面
تابستان	夏日
تابستان	夏天
تابستان	暑假
تابستان	夏季
معدنی	無機
معدنی	礦產
معدنی	礦物質
معدنی	礦物
سد	水庫
سد	水電站
سد	大壩
سد	水壩
سد	壩
مدرک	證據
مدرک	證明
اختصاص	單打
اختصاص	單曲
نفوذ	影響
نفوذ	滲入
نفوذ	影響力
نفوذ	滲透
عقب	後方
عقب	回
عقب	背
سرباز	士兵
سرباز	隱私
سرباز	軍人
سرباز	戰士
سرباز	私人
سرباز	兵
سرباز	私營
خشک	乾
خشک	乾燥
فراوان	豐富
تاثیر	影響
تاثیر	影響力
اگرچه	雖然
اگرچه	儘管
احساس	感情
احساس	感受
احساس	感覺
برنز	燒傷
برنز	青銅
برنز	銅
خرید	買
خرید	商店
خرید	店鋪
خرید	購物
خرید	買東西
خرید	店
خرید	購買
قاره	大洲
قاره	大陸
هشتم	第八
شاخه	分支
شاخه	樹枝
شاخه	分行
ساحلی	沿海
دیوار	城牆
دیوار	牆
دیوار	圍牆
دیوار	牆壁
دیوار	壁
مترجم	口譯
مترجم	口譯員
روایت	敘述
روایت	敘事
اعدام	處決
اعدام	執行
روح	鬼魂
روح	幽靈
روح	精神
روح	鬼
درگاه	埠
درگاه	港
درگاه	港口
رساند	完善
امتیاز	得分
امتیاز	積分
امتیاز	比分
امتیاز	點數
امتیاز	分數
پیشرفت	進度
پیشرفت	進步
روحانی	靈性
روحانی	精神
گذاری	轟炸
مخصوص	特別
منفی	否定
منفی	負面
منفی	負
منفی	消極
منفی	陰性
نکته	角
نکته	提示
نکته	點
نکته	小費
گیاهی	植物
گیاهی	工廠
گیاهی	廠
سهام	股票
سهام	股份
سهام	共享
سهام	分享
سهام	庫存
سهام	存貨
پرنده	鳥
پرنده	伯德
برلین	柏林
تفسیر	口譯
تفسیر	詮釋
درود	祝福
درود	問候
جزئی	部分
جزئی	局部
ولز	威爾斯
کانال	運河
کانال	頻道
کانال	通道
کانال	海峽
هرچند	然而
هرچند	雖然
هرچند	儘管
اسناد	論文
توضیحات	評論
توضیحات	意見
دقت	精確度
دقت	精度
دقت	準確性
دقت	決議
دقت	準確度
دقت	精准
دقت	精確
دقت	精密
روزهای	天數
روزهای	日子
دامنه	藩
دامنه	振幅
دامنه	網域
دامنه	域
نجات	節省
نجات	拯救
نجات	儲蓄
نجات	營救
نجات	救援
مفید	實用
مفید	有用
مارتین	馬丁
میسیسیپی	密西西比
میسیسیپی	密西西比州
مهاجم	前鋒
رکوردز	記錄
رکوردز	紀錄
نماد	圖示
نماد	象徵
نماد	符號
تصویری	視覺
تکمیل	竣工
تکمیل	完成
تکمیل	完整
قهرمانان	英雄
قهرمانان	冠軍
وظیفه	職責
آهنگسازان	作曲家
زادروز	生日
آکادمی	學院
ارسال	送出
دیدار	偶遇
دیدار	邂逅
دیدار	會議
فضا	空間
فضا	太空
عکاسی	攝影
توماس	托馬斯
صادق	誠實
انگلیس	英格蘭
انگلیس	英國
پیوست	附件
پیوست	附加
پیوست	附上
موسی	摩西
پای	餡餅
پای	腿
پای	腳
پای	英尺
پای	派
پیکچرز	圖畫
پیکچرز	像片
پیکچرز	照片
پیکچرز	圖片
مثبت	陽性
مثبت	積極
مثبت	正面
ارتباطات	溝通
ارتباطات	人脈
ارتباطات	通訊
سلطنت	統治
فراوانی	豐富
جراحی	手術
جراحی	外科手術
سابقه	空前
سابقه	先例
سابقه	前所未有
سابقه	史無前例
مدافع	後衛
مس	黃銅
مس	銅礦
مس	銅
قرارداد	合同
قرارداد	協定
قرارداد	協議
قرارداد	合約
قلب	心臟
قلب	心
دارایی	財產
دارایی	屬性
دارایی	物業
دارایی	資產
دارایی	地產
رهبران	領導人
رهبران	領導者
بهداشت	衛生
بهداشت	健康
شبه	偽
نشست	週六
ظرفیت	能力
ظرفیت	容量
مسیحیت	基督教
تاجیکستان	塔吉克
پیتر	彼得
متال	金屬
مسکو	莫斯科
سرویس	服務
شاهزاده	太子
شاهزاده	王子
شاهزاده	親王
یو	柳
یو	劉
معمول	平時
ملک	財產
ملک	產業
ملک	邨
ملک	屬性
ملک	物業
ملک	地產
سرمایه	資本
سرمایه	首都
احترام	尊敬
احترام	尊重
الکترونیک	電子
رقابت	競賽
رقابت	對立
رقابت	競爭
رقابت	競爭力
کلید	按鍵
کلید	鑰匙
کلید	關鍵
کلید	鍵
کهن	古老
کهن	古代
نیم	一半
نیم	半
نیم	半數
شیرین	甜蜜
شیرین	甜
بد	邪惡
بد	壞
بد	惡
صرف	花費
سان	孫
سان	珊
سان	太陽
سان	陽光
شاخص	指數
شاخص	指標
شاخص	索引
خواندن	讀書
خواندن	讀取
خواندن	閱讀
خواندن	讀
اسب	馬匹
اسب	馬
زیبایی	美容
زیبایی	美女
زیبایی	美
زیبایی	美人
حافظه	記憶
حافظه	回憶
حافظه	記憶力
حافظه	記憶體
مقیاس	規模
مقیاس	比例尺
نهم	第九
فیلسوفان	哲學家
مکتب	上學
مکتب	學校
مارک	馬克
مارک	標記
مارک	標示
معمولی	共同
معمولی	正常
معمولی	常態
معمولی	普通
معمولی	通用
معمولی	常見
معمولی	平凡
اهداف	目標
درد	疼痛
درد	痛苦
درد	痛
درد	傷痛
کارکنان	人事
کارکنان	僱員
کارکنان	員工
کارکنان	人員
فتح	征服
فتح	勝利
هواپیمای	飛機
هواپیمای	平面
اعتماد	信任
اعتماد	信託
الان	現在
ریز	小
ریز	小小
ریز	微小
درمانی	醫治
درمانی	治癒
درمانی	療傷
درمانی	康復
درمانی	治療
درمانی	療法
حالا	現在
خودکار	自動
مغز	大腦
مغز	腦袋
مغز	腦
مغز	腦子
نشریه	日刊
نشریه	日記
نشریه	期刊
نشریه	日誌
ظاهری	向外
ظاهری	外向
خانم	小姐
کتابی	書
کتابی	圖書
کتابی	書籍
خارجه	外籍
خارجه	外國
سنگی	搖滾
سنگی	石
سنگی	斯通
سنگی	岩
سنگی	石頭
سنگی	岩石
پیمان	條約
سلیمان	所羅門
انتظار	等待
انتظار	等候
یافتن	尋找
یافتن	找到
پیر	老了
پیر	舊的
پیر	舊
پیر	老
کمپانی	公司
ناصر	納賽爾
بتن	混凝土
بتن	具體
بتن	水泥
پستی	張貼
پستی	郵寄
پستی	郵政
تاج	冠
تاج	皇冠
تاج	王冠
افتخار	榮譽
افتخار	名譽
افتخار	驕傲
افتخار	自豪
فلسطین	巴勒斯坦
بازسازی	整修
بازسازی	重建
بازسازی	裝修
بازسازی	修繕
بازسازی	翻新
بازسازی	翻修
غار	洞
غار	山洞
غار	洞穴
تخریب	毀滅
تخریب	拆毀
تخریب	毀壞
تخریب	破壞
تخریب	拆除
تخریب	銷毀
هرگز	從不
هرگز	從來沒有
هرگز	從未
فیزیکی	物理
موسسه	機構
موسسه	建立
موسسه	體制
موسسه	研究所
موافقت	商定
موافقت	議定
موافقت	同意
گرجستان	喬治亞
پاک	純
پاک	純純
پاک	純潔
پاک	乾淨
پاک	純粹
پاک	清潔
نیروگاه	植物
نیروگاه	工廠
نیروگاه	廠
لایه	層次
لایه	各層
لایه	層層
لایه	層
لایه	多層
پردازش	加工
پردازش	處理
اعتقاد	信仰
کامپیوتر	計算機
کامپیوتر	電子計算機
کامپیوتر	電腦
ویژگی	財產
ویژگی	屬性
ویژگی	物業
ویژگی	地產
ویژگی	特徵
ویژگی	特色
ویژگی	功能
وسایل	裝備
کارخانه	工廠
کارخانه	廠
قرضی	債務
ساختن	構造
ساختن	建築
ساختن	建立
ساختن	建築物
ساختن	建
ساختن	建構
ساختن	大樓
غیره	其他
قوی	強
قوی	強烈
قوی	強大
قوی	強壯
قوی	堅強
خالی	空
خالی	空白
گنبد	穹
گنبد	圓頂
اعتراض	反對
اعتراض	異議
اعتراض	抗議
رسانه	媒體
رسانه	媒介
میلان	米蘭
صربستان	塞爾維亞
تکرار	重復
پرو	秘魯
اعتبار	名譽
اعتبار	名聲
اعتبار	信用
اعتبار	聲譽
اعتبار	信譽
اعتبار	聲望
اعتبار	有效性
اعتبار	信貸
مسئول	負責
خودکشی	自殺
امروزی	現代
امروزی	摩登
امروزی	近代
امروزی	現代化
اکشن	動作
اکشن	行動
مرغ	雞肉
مرغ	母雞
مرغ	山雞
مرغ	雞
خوش	開心
خوش	幸福
خوش	高興
خوش	快樂
بخار	蒸汽
بخار	蒸氣
برداشت	收割
برداشت	收穫
برداشت	收成
برداشت	豐收
سنی	年齡
سنی	年紀
پژوهش	研究
زمستان	冬季
زمستان	冬
زمستان	冬天
مین	閔
مین	敏
مین	緬因州
محاسبه	計算
ویتنام	越南
سپاس	稱贊
سپاس	表揚
سپاس	感恩
سپاس	贊美
بازداشت	被捕
بازداشت	拘留
بازداشت	逮捕
بازداشت	拘捕
بازداشت	拘留所
بازداشت	拘禁
بایرن	拜倫
آسمان	天國
آسمان	天堂
آسمان	天空
جنگل	叢林
جنگل	森林
عادی	正常
عادی	常態
منتقدان	評論家
منتقدان	批評家
حاوی	包含
حاوی	含有
انبار	倉庫
انبار	儲存
انبار	倉儲
انبار	貯存
انبار	穀倉
وین	維也納
تأیید	核定
تأیید	批准
تأیید	證實
تأیید	核准
تأیید	確認
تأیید	驗證
گری	灰色
گری	灰
جکسون	傑克遜
جواب	答
جواب	答案
جواب	回答
خودم	自己
توپ	球
احداث	情景
احداث	設想
احداث	編隊
دیدن	見
دیدن	來訪
دیدن	造訪
دیدن	拜訪
دوربین	攝影機
دوربین	相機
دوربین	照相機
دوربین	鏡頭
کلیه	腎臟
کلیه	腎
فیلیپین	菲律賓
کیلوگرم	千克
کیلوگرم	公斤
مردمان	人民
مردمان	人
مردمان	人們
محکوم	定罪
خالص	純
خالص	真誠
خالص	純純
خالص	純潔
خالص	專屬
خالص	獨家
خالص	純粹
خالص	排他性
خالص	排他
میزبان	主機
میزبان	主持人
هنگ	兵團
هنگ	虹
هنگ	團
هنگ	恆
هنگ	洪
وسط	中間
متغیر	變數
متغیر	可變
مدرس	教員
مدرس	教師
مراکش	摩洛哥
کودکی	童年
خواهر	妹妹
خواهر	姊妹
خواهر	姊姊
خواهر	姐姐
خواهر	姐妹
جستجوی	搜尋
آهنگساز	作曲家
رأی	選票
بودجه	預算
شنای	游泳
شنای	游
نگارش	作曲
پرتاب	擲
پرتاب	發射
پرتاب	扔
پرتاب	丟
قطب	竿
قطب	鋼管
دستگیر	被捕
دستگیر	捕捉
دستگیر	擷取
دستگیر	被俘
دستگیر	逮捕
دستگیر	拘捕
دستگیر	捕獲
قلبی	心臟
قلبی	心
مؤثر	有效
تشکر	升值
نیو	新
نیو	新的
خروجی	輸出
خروجی	產出
جدی	嚴重
جدی	嚴肅
جدی	認真
الکساندر	亞歷山大
ترکیبی	組合
مولی	茉莉
غذا	糧食
غذا	食品
غذا	食物
آیین	信條
آیین	教義
آیین	儀式
آیین	教條
موشک	火箭
موشک	導彈
جستجو	搜尋
تماس	呼叫
تماس	聯絡
تماس	接觸
تماس	打電話
تماس	致電
تماس	通話
تماس	電話
پنجمین	第五
پنجمین	第五次
اقیانوسیه	大洋洲
نقض	違規
نقض	違約
نقض	違反
اتصال	連線
اتصال	連結
سنگین	重
سنگین	重型
سنگین	沈重
اشغال	佔領
اشغال	忙碌
اشغال	忙
اشغال	忙著
اشغال	繁忙
اشغال	職業
رودهای	河流
پروانه	蝴蝶
واژگان	詞彙
واژگان	字彙
موضوعات	題目
موضوعات	專題
موضوعات	主題
موضوعات	議題
ریاضیات	數學
عنصر	元件
عنصر	元素
عنصر	要件
گینه	幾內亞
شعبه	分支
شعبه	樹枝
شعبه	分行
امکانات	設施
امکانات	可能性
اجماع	共識
تصرف	擁有
تصرف	佔有
تصرف	持有
سالن	沙龍
ترسناک	恐怖
ترسناک	嚇人
ترسناک	可怕
تمدن	文明
تمدن	文化
رییس	老大
رییس	老闆
سفارت	使館
سفارت	大使館
کمونیست	共產主義
بهشت	園
بهشت	樂園
بهشت	花園
بهشت	天堂
بهشت	園林
بهشت	園藝
سناتور	議員
سناتور	參議員
دیجیتال	數位
دیجیتال	數碼
بیمار	病
بیمار	病患
بیمار	病人
بیمار	生病
بیمار	患者
بینی	鼻子
بینی	鼻
حوالی	周圍
حوالی	圍繞著
حوالی	圍繞
هسته	核
هسته	核心
هسته	核子
نمایشگاه	展覽
نمایشگاه	展覽會
نمایشگاه	展
یوسف	約瑟夫
یوسف	約瑟
حمام	洗手間
حمام	浴室
حمام	廁所
حمام	浴
حمام	浴場
حمام	洗澡
عصبی	緊張
عصبی	歇斯底里
حیوانات	動物
مایع	流體
مایع	液體
مایع	液態
مایع	液
اشکال	瑕疵
اشکال	臭蟲
میز	辦公桌
میز	書桌
میز	服務台
میز	表
مکانیک	技工
مکانیک	機械
مکانیک	力學
خواست	通緝
بالغ	成年人
بالغ	成人
بالغ	成熟
بالغ	成年
دانشمند	科學家
جالب	有趣
چوب	木頭
چوب	棍子
چوب	木
چوب	木材
مالزی	馬來西亞
تکثیر	複製
تکثیر	倍增
تکثیر	重複
میانگین	平均值
میانگین	平均
ظهور	湧現
ظهور	興起
قطعات	零件
قطعات	元件
قطعات	部件
تابلوی	小組
تابلوی	面板
حملات	襲擊
حملات	攻擊
نرخ	利率
نرخ	率
نرخ	速率
نرخ	評分
رمانتیک	浪漫
قول	許諾
قول	承諾
اتمی	原子
مکمل	補充
مکمل	相輔相成
مکمل	輔助
مکمل	互補
گرایش	趨向
گرایش	態度
گرایش	趨勢
گرایش	傾向
حداکثر	最大限度
حداکثر	最大值
گویش	方言
گویش	話
سوخت	燒死
سوخت	燒錄
سوخت	燃燒
سوخت	燃油
سوخت	燃料
سوخت	燒傷
سوخت	燒
حلقه	響鈴
حلقه	迴圈
حلقه	環
حلقه	戒指
یوتا	猶他州
یوتا	猶他
جمعی	集體
سیمرغ	鳳
سیمرغ	鳳凰
مربی	教練
هری	哈利
پیوسته	連續
پیوسته	持續
اندکی	小
حادثه	意外
حادثه	災害
حادثه	事變
حادثه	事故
حادثه	災難
حادثه	事件
مراحل	階段
اطلس	大西洋
سوره	篇章
نامگذاری	命名
ابتدایی	初級
ابتدایی	初等
پیامبر	信使
پیامبر	先知
مهندس	工程師
مجوز	許可證
مجوز	許可
مجوز	執照
مجوز	駕照
مجوز	允許
محتوای	內容
ستون	支柱
ستون	柱
ستون	專欄
ستون	欄
ستون	列
درگیری	參與
درگیری	衝突
مایل	英里
مایل	萬里
مادرید	馬德里
جورج	喬治
اختلال	失調
قضیه	定理
مسیحیان	基督教徒
مسیحیان	基督徒
طراح	設計師
خروج	退出
خروج	出境
خروج	出口
سربازان	部隊
سربازان	士兵
آشپزی	料理
آشپزی	烹飪
آشپزی	做飯
آشپزی	美食
آشپزی	廚師
آشپزی	煮
آشپزی	飲食
آشپزی	菜
آشپزی	煮飯
آشپزی	烹調
خواجه	太監
رفع	修
رفع	解決
رفع	決心
رفع	修復
رفع	決斷
سوپر	超
سوپر	超級
مقامات	官員
مقامات	當局
جوانی	青少年
جوانی	青春
جوانی	青年
الکترونیکی	電子
مصاحبه	訪談
مصاحبه	面試
مصاحبه	採訪
مصاحبه	約談
مصاحبه	面談
لوله	管管
لوله	管子
لوله	管道
لوله	管
روزی	一天
روزی	日
روزی	提供
روزی	白天
پایدار	穩定
پایدار	持久
پایدار	馬廄
پایدار	永久
گرچه	雖然
گرچه	儘管
حوادث	活動
حوادث	災害
حوادث	事故
حوادث	災難
حوادث	事件
عهد	協約
عهد	約定
ادعا	債權
ادعا	認領
ادعا	索賠
ادعا	聲稱
دربار	法院
دربار	法庭
ارزیابی	評價
ارزیابی	評估
ارزیابی	評比
ارزیابی	評分
زنی	女
زنی	女人
زنی	女子
مسئولیت	責任
مسئولیت	負責
خواب	夢境
خواب	夢
خواب	睡眠
خواب	睡
خواب	夢想
خواب	做夢
خواب	夢幻
خواب	睡覺
قلم	筆
قلم	鋼筆
مشاهیر	名人
قاضی	法官
دم	水庫
دم	水電站
دم	尾
دم	大壩
دم	水壩
دم	壩
دم	尾巴
روغن	石油
روغن	機油
روغن	油
نر	男
نر	男性
برگ	葉子
برگ	樹葉
برگ	葉
ملکه	王后
ملکه	女王
ملکه	皇后
کابل	有線
کابل	喀布爾
کابل	纜繩
کابل	電線
کابل	電纜
کابل	鐵絲
کابل	鋼絲
پذیرش	接待
پذیرش	錄取
پذیرش	招待會
پذیرش	接納
پذیرش	招生
پذیرش	入學
پذیرش	接受
پذیرش	接收
پذیرش	驗收
مد	時裝
مد	時尚
فینال	決賽
خرابکاری	破壞
رویداد	活動
رویداد	事件
لینک	連結
آرتور	阿瑟
گوش	耳
گوش	耳朵
شصت	六十
پایانی	決賽
پایانی	結局
پایانی	結尾
چهره	專題
چهره	臉
چهره	主題
چهره	面孔
چهره	臉部
یادبود	碑
یادبود	紀念碑
یادبود	紀念
یادبود	紀念館
تکنولوژی	技術
تکنولوژی	科技
جمعه	週五
جمعه	星期五
وسطی	中間
دارو	藥品
دارو	藥物
دارو	醫藥
دارو	醫學
دارو	藥
کوچکی	小
کوچکی	未成年
کوچکی	小型
مدارس	學校
نوار	膠帶
نوار	磁帶
نوار	帶子
سخنرانی	演說
سخنرانی	演講
سخنرانی	講座
سخنرانی	講話
سخنرانی	語音
سخنرانی	講課
کربن	碳
کربن	炭
نقاش	畫師
نقاش	畫家
بغداد	巴格達
نمای	檢視
نمای	瀏覽
ذهن	心靈
ذهن	頭腦
ماری	瑪麗
ماری	瑪莉
کوچه	小巷
کوچه	巷子
کوچه	巷
دروازه	門
دروازه	大門
دروازه	門戶
بازرگانی	商業
بازرگانی	商家
بازرگانی	商人
بازرگانی	商務
نادر	稀有
نادر	罕見
نادر	難得
تجزیه	分解
تجزیه	解析
تهدید	威脅
انتقاد	批評
انتقاد	批判
کپی	副本
کپی	複製
سلامت	和平
سلامت	平安
سلامت	健康
طایفه	部族
طایفه	氏族
طایفه	氏
ابزارهای	工具
مبتلا	感染
باران	雨
باران	雨水
باران	下雨
صبح	上午
صبح	早上
صبح	早晨
ذرات	顆粒
ذرات	微粒
ذرات	粒子
عملی	實用
خداوند	神
حروف	信件
حروف	信
حروف	字母
شاهد	見證
شاهد	證人
تور	網
تور	遊覽
تور	導覽
تور	淨
تور	旅遊
تور	游
هفتاد	七十
کشتار	屠宰
کشتار	屠殺
کشتار	大屠殺
خانوادگی	家人
خانوادگی	家庭
خانوادگی	家屬
سیاستمدار	政治家
سیاستمدار	政客
تلفظ	發音
تلفظ	讀音
گذر	通過
گذر	傳球
گذر	通行證
گذر	過境
نهادهای	機構
مالکیت	擁有權
مالکیت	所有權
مالکیت	財產
مالکیت	屬性
مالکیت	物業
مالکیت	持有
مالکیت	地產
مالکیت	擁有
مالکیت	佔有
معین	固定
تایلند	泰國
شکار	獵
شکار	打獵
شکار	狩獵
راهنمایی	提示
بایگانی	備案
بایگانی	檔案
بایگانی	歸檔
گره	領結
گره	領帶
گره	平局
گره	結
گره	被綁
گره	捆綁
گره	節點
سختی	難度
سختی	困難
سختی	難
سختی	艱難
تغذیه	餵食
تغذیه	飼料
تغذیه	進食
تغذیه	動態
تغذیه	營養
تغذیه	餵養
هویت	身份
هویت	身分
شورش	反叛
شورش	叛亂
شورش	騷亂
شورش	暴動
شورش	暴亂
شورش	叛逆
ششمین	第六
خاطرات	記憶
خاطرات	回憶
جانشین	替代
جانشین	繼任
جانشین	替代品
جانشین	繼任者
سالانه	每年
مشکلی	問題
شغل	工作
شغل	職業
شغل	專業
بزرگتر	年長
بزرگتر	老年
بزرگتر	較大
بزرگتر	更大
لشکر	集團軍
لشکر	軍隊
لشکر	軍
لشکر	陸軍
اکثریت	多數
اساطیر	神話
ابعاد	尺寸
منطقی	邏輯
متهم	被告
متهم	被告人
میل	磨坊
میل	慾望
میل	願望
زلزله	地震
اندیشه	反映
گراف	圖表
گراف	圖
گراف	圖形
صامت	無聲
صامت	沈默
فولاد	鋼
فولاد	鋼鐵
ارتباطی	通訊
ارتباطی	溝通
کلمات	詞語
کلمات	字
کلمات	詞
کلمات	言語
زندانی	犯人
زندانی	囚犯
زندانی	囚徒
زندانی	俘虜
پنهان	隱藏
تایید	證實
تایید	確認
پذیرفته	接受
استخراج	抽取
استخراج	萃取
استخراج	提取
استخراج	摘錄
استودیو	錄音室
استودیو	工作室
رژیم	減肥
رژیم	節食
رژیم	制度
رژیم	飲食
رژیم	政權
سند	砂
سند	沙
سند	沙子
هتل	賓館
هتل	飯店
هتل	旅館
هتل	酒店
کانون	聚焦
کانون	專注
کانون	重點
کانون	焦點
بیرونی	外部
بیرونی	外表
شیکاگو	芝加哥
رها	離開
رها	休假
کمیسیون	委員會
مرجع	參考
نیازی	要求
بازیگری	演戲
بازیگری	演技
بازیگری	代理
ارجاع	轉發
ارجاع	參考
ارجاع	轉送
نسبتاً	適度
سلول	牢房
سلول	細胞
پلی	橋梁
پلی	艦橋
پلی	橋
پلی	大橋
پلی	橋牌
دکتری	醫師
دکتری	博士
دکتری	醫生
ناوبری	導航
ناوبری	航行
معلوم	已知
موزیکال	音樂劇
موزیکال	音樂
دختران	女孩
دختران	女童
دختران	女生
ضعیف	薄弱
ضعیف	弱者
ضعیف	弱
ضعیف	虛弱
ضعیف	軟弱
حاشیه	比值
کویت	科威特
روانی	通靈
روانی	靈媒
فن	風扇
فن	樊
فن	粉絲
فن	範
درس	教訓
درس	課
کنگ	徑
کنگ	孔
کنگ	康
کنگ	姜
تمشک	覆盆子
تامین	供應
تامین	供給
اعراب	沙漠
اعراب	荒漠
اعراب	阿拉伯人
حرارت	熱量
حرارت	加熱
حرارت	熱火
حرارت	熱
حرارت	熱力
ممنوع	禁止
ممنوع	禁
ممنوع	違禁
ممنوع	受限
ممنوع	禁忌
تقویت	增強
تقویت	加強
کوهستانی	山
کوهستانی	山區
کوهستانی	山地
مشاور	參贊
مشاور	輔導員
مشاور	顧問
نوازنده	樂手
معیار	標準
نرم	光滑
نرم	軟
نرم	溫柔
نرم	平穩
نرم	柔和
نرم	軟軟
نرم	順利
نرم	柔軟
نرم	平滑
نرم	溫和
سقف	天花板
سقف	上限
سقف	屋頂
مصنوعی	人造
مصنوعی	人工
مصنوعی	合成
فکری	智力
توصیه	推薦
توصیه	建議
کلیسا	教堂
کلیسا	教會
لیبی	利比亞
هوانوردی	航空
دوازده	十二
بزرگراه	高速公路
بزرگراه	公路
اخبار	新聞
کنفرانس	會議
آلی	有機
مغناطیسی	磁
مغناطیسی	磁力
مغناطیسی	磁性
مشروطه	憲政
هاروارد	哈佛
سو	秀
سو	蘇
ترور	恐怖
ترور	刺殺
ترور	恐
ترور	暗殺
معدن	採礦
معدن	礦業
معدن	採礦業
شکایت	抱怨
شکایت	控訴
شکایت	投訴
شکایت	申訴
خشونت	暴力
افتتاح	開幕
افتتاح	開局
طلای	金
طلای	金子
طلای	黃金
طلای	金色
تألیف	作曲
میانی	中間
میانی	中級
محیطی	外圍
محیطی	周邊
پزشک	內科醫生
توهین	污辱
توهین	侮辱
هفتمین	第七
سازنده	製造商
سازنده	廠商
سازنده	製造廠商
آزمون	測驗
آزمون	檢驗
آزمون	考試
آزمون	測試
آزمون	試驗
موقت	暫時
موقت	溫度
تبلیغات	廣告
تبلیغات	推廣
تبلیغات	促銷
تبلیغات	晉升
تبلیغات	宣傳
درستی	正確性
ضرب	商品
ضرب	倍增
ضرب	產品
ضرب	節奏
ضرب	乘法
ضرب	拍子
ضرب	產物
کوتاهی	短
کوتاهی	矮
کوتاهی	簡短
کوتاهی	短期
ملاقات	參觀
ملاقات	會議
ملاقات	訪問
زادگاه	家鄉
زادگاه	故鄉
برسد	訪問
افزودن	加
افزودن	加上
کمال	完美
کمال	完善
وان	浴缸
وان	浴盆
وان	範
وان	貨車
وان	梵
مجازی	虛擬
اقامت	居住
اقامت	居所
اقامت	住宅
اقامت	住所
چمن	草坪
چمن	草地
چمن	草叢
چمن	草
مایکروسافت	微軟
پیاده	腳
پیاده	英尺
نیجریه	奈及利亞
علامت	簽
علامت	簽名
علامت	訊號
علامت	簽字
تونس	突尼西亞
دشمن	敵軍
دشمن	敵
دشمن	敵方
دشمن	敵人
توافق	商定
توافق	折衷
توافق	定居
توافق	定居點
توافق	議定
توافق	協議
توافق	妥協
توافق	安排
توافق	協定
توافق	同意
صعود	登山
مریم	瑪麗
مریم	瑪莉
استخوان	骨頭
استخوان	骨
استخوان	骨骼
رادیویی	無線電廣播
رادیویی	無線電
رادیویی	廣播
رادیویی	廣播電台
رادیویی	電台
رادیویی	收音機
متروی	捷運
متروی	地鐵
بیل	法案
معبد	寺
معبد	寺廟
معبد	神廟
معبد	廟
معبد	聖殿
معبد	神社
ارکستر	樂團
ارکستر	管弦樂隊
نازی	納粹
ون	範
ون	溫
ون	貨車
ون	文
ون	梵
مسلح	武裝
مخالفان	抵抗
مخالفان	對手
مخالفان	抵制
مخالفان	電阻
مخالفان	阻力
پیانو	鋼琴
مانع	屏障
مانع	障礙
عمان	阿曼
سلاح	武器
سلاح	兵器
مدنی	民事
مدنی	公民
رئال	真實
سیاره	星球
سیاره	行星
آزمایشی	實驗
فاکس	狐狸
فاکس	狐
رنگی	裝潢
رنگی	裝飾
رنگی	色彩繽紛
راحتی	舒適
راحتی	舒服
ساختمانی	建築物
ساختمانی	建築
ساختمانی	大樓
دبیر	秘書
آگاهی	知識
آگاهی	知覺
آگاهی	意識
مقابله	對抗
مقابله	對峙
مقابله	對立
مقابله	作戰
اتفاقات	活動
اتفاقات	事件
اسمیت	史密斯
مفاهیم	概念
مفاهیم	理念
کاملا	完全
یوگسلاوی	南斯拉夫
مصالح	材質
مصالح	物料
مصالح	材料
تأکید	連貫性
تأکید	一致性
تأکید	一貫性
شرط	條件
شرط	賭注
شرط	狀況
بزرگان	長輩
بزرگان	長老
بزرگان	長者
روزانه	每日
تنگ	唐
واقعیت	真相
واقعیت	現實
واقعیت	事實
واقعیت	真理
بالاترین	最高
تمرکز	聚焦
تمرکز	專注
تمرکز	重點
تمرکز	焦點
گوشت	血肉
گوشت	肉
گوشت	肉體
گوشت	肉食
گوشت	肉類
حقیقی	真實
تئوری	論
تئوری	理論
اردن	約旦
فاز	階段
الف	精靈
پیچیده	扭曲
پیچیده	複雜
بیماران	病患
بیماران	病人
بیماران	患者
گیر	齒輪
گیر	裝備
تکیه	瘦
تکیه	枕頭
جسم	血肉
جسم	體
جسم	肉體
جسم	身體
جسم	屍體
پرانتز	括號
ماریا	瑪麗亞
ماریا	瑪利亞
سوال	提問
سوال	問題
احزاب	派系
احزاب	各派
احزاب	公司
زاویه	角度
زاویه	角
روس	俄語
روس	俄文
فرستاده	信使
جانبی	橫向
جانبی	側
عام	通用
آفتاب	孫
آفتاب	珊
آفتاب	太陽
آفتاب	陽光
اتهام	充電
اتهام	收費
اتهام	指控
اتهام	電荷
پدیده	現象
کوبا	古巴
نمایی	指數
فرصت	機會
فرصت	機遇
مربیگری	輔導
مربیگری	教練
کندی	肯尼迪
کندی	糖果
کندی	糖
زیبای	美容
زیبای	美女
زیبای	美
زیبای	美人
بعداً	後來
بعداً	稍後
