ve	और
karakterler	अक्षर
holding	संगुटिका
küba	क्यूबा
küba	क्यूबन
küba	घन
alanlar	फील्ड्स
alanlar	क्षेत्र
alanlar	एटलस
alanlar	फ़ील्ड्स
alanlar	क्षेत्रों
alanlar	फ़ील्ड
jüri	जूरी
kalın	घनी
kalın	रहें
kalın	रहो
kalın	मोटा
kalın	मोटी
bayram	छुट्टी
bayram	छुट्टियाँ
bayram	छुट्टियों
bayram	ईद
bayram	छुट्टियां
bayram	अवकाश
keskin	टंगी
keskin	शार्प
oyunculuk	एक्टिंग
oyunculuk	अभिनय
sorunları	समस्याएँ
sorunları	मुद्दे
değişen	परिवर्तित
değişen	बदलना
değişen	बदला
gelişme	प्रगति
gelişme	विकास
gelişme	सुधार
eve	होम
eve	मुखपृष्ठ
eve	घर
eve	गृह
porto	प्यूर्टो
demokrasi	लोकतंत्र
lübnan	लेबनान
erdem	सदाचार
erdem	पुण्य
erdem	नैतिकता
uşak	सेवक
uşak	बटलर
uşak	नौकर
uşak	बन्दा
seyahat	यात्रा
seyahat	यात्राएं
seyahat	सफर
seyahat	सफ़र
kod	कोड
kod	संहिता
görülebilir	दृष्टिगोचर
görülebilir	दृश्यमान
görülebilir	दृश्य
bahşı	ज़िला
bahşı	जिलाध्यक्ष
bahşı	जिला
bahşı	डिस्ट्रिक्ट
özgürlük	आज़ादी
özgürlük	आजादी
özgürlük	लिबर्टी
özgürlük	स्वाधीनता
özgürlük	स्वतंत्रता
müzikal	संगीतमय
kadir	कादिर
kadir	समर्थ
kazakistan	क़ाज़ाक़स्तान
hizmetleri	सेवाएं
hizmetleri	सेवाएँ
küre	गोला
küre	ग्लोब
küre	भूगोल
kapısı	गेट
kapısı	द्वार
kapısı	फाटक
ton	टन
ton	टोन
kaç	चलेगी
kaç	चलाएं
kaç	चलाएँ
kaç	चला
şikayet	शिकायत
şikayet	रपट
şikayet	रिपोर्टिंग
şikayet	रिपोर्ट
şikayet	शिकायतें
karşılıklı	परस्पर
karşılıklı	आपसी
karşılıklı	पारस्परिक
öğrenciler	छात्रों
öğrenciler	विद्यार्थी
ruh	मिजाज़
ruh	आत्माओं
ruh	मूड
ruh	रूह
ruh	आत्मा
ruh	मनोदशा
ruh	भावना
ruh	मिज़ाज
ruh	स्पिरिट
suç	अपराधी
suç	आपराधिक
suç	जुर्म
suç	क्राइम
suç	अपराधों
suç	क्रिमिनल
suç	अपराध
suç	मुजरिम
suç	दण्ड
kaydetti	सूचीबद्ध
kaydetti	विख्यात
caddesi	एवेन्यू
tepki	प्रतिक्रिया
tepki	अभिक्रिया
galibiyet	विन
galibiyet	जीत
galibiyet	विन्स
galibiyet	जीता
elektron	इलेक्ट्रॉनिक
elektron	इलेक्ट्रॉन
elektron	इलेक्ट्रानिक
planı	प्लान
planı	योजना
küme	क्लस्टर
küme	गुच्छ
müze	संग्रहालय
kökeni	मूल
kökeni	उद्गम
kökeni	उत्पत्ति
bağ	कनेक्शन
bağ	बंधन
bağ	बंध
bağ	बॉन्ड
bağ	कड़ी
bağ	लिंक
fabrikası	फ़ैक्टरी
fabrikası	फैक्टरी
fabrikası	कारखाना
fabrikası	फैक्ट्री
kullanmak	उपयोग
ümit	उम्मीद
ümit	आशा
ümit	होप
yazarlar	लेखक
yazarlar	लेखकों
yazarlar	रचयिता
açılış	ओपनिंग
açılış	खोलने
numarası	संख्या
numarası	क्रमांक
numarası	नंबर
yunus	डॉल्फ़िन
yunus	यूनुस
yunus	डॉल्फिन
kalabalık	भीड
kalabalık	भीड़
kadro	स्टाफ
kadro	दस्ते
kadro	स्टाफ़
kadro	स्क्वाड
kadro	दस्ता
kablo	तार
kablo	केबल
beyin	दिमाग़
beyin	दिमाग
beyin	मस्तिष्क
hikmet	बुद्धिमत्ता
hikmet	अक्ल
hikmet	अकल
kuzeyde	उत्तर
manuel	मैनुअल
manuel	मैन्युअल
manuel	हस्तचालित
farkı	अंतर
farkı	फर्क
farkı	भिन्नता
bağdat	बगदाद
işık	हल्का
işık	प्रकाश
işık	लाइट
işık	बत्ती
işık	लाइट्स
işık	रोशनी
suudi	सऊदी
korumak	रक्षा
meydan	वर्ग
meydan	स्क्वायर
meydan	वर्गाकार
meydan	चुनौती
makale	लेख
makale	आलेख
politikası	पॉलिसी
politikası	नीति
maliye	वित्त
maliye	राजकोष
terimi	पद
örneği	उदाहरण
yöntem	विधि
bulunmuş	पाये
bulunmuş	पाया
bulunmuş	मिले
bulunmuş	mile
bulunmuş	मिली
bulunmuş	मिला
kapsamlı	व्यापक
tarafsız	निष्पक्ष
tarafsız	न्यूट्रल
tarafsız	तटस्थ
yedinci	सातवीं
yedinci	सातवाँ
bulmak	ढूंढें
bulmak	ढूँढें
bulmak	ढूंढना
yazıları	कृतियाँ
yazıları	लेखन
sınırı	सीमा
malzeme	आपूर्ति
malzeme	वस्तु
malzeme	आपूर्तियाँ
malzeme	सामग्री
malzeme	संघटक
malzeme	पदार्थ
isyan	विद्रोही
isyan	विद्रोह
galip	विक्टर
galip	विजयी
galip	विजेता
belirtilen	उल्लेखित
belirtilen	निर्दिष्ट
değişim	परिवर्तन
değişim	बदलें
değişim	बदलाव
hayvanlar	पशु
hayvanlar	जानवर
hayvanlar	जानवरों
hayvanlar	पालतू
hayvanlar	पालतु
üstü	टॉप
üstü	शीर्ष
üstü	उपर
üstü	ऊपर
üstü	अरदास
mesafe	दूरी
mesafe	दायरा
mesafe	अलहदा
mesafe	सीमा
acı	कटु
acı	कड़वी
acı	दर्द
acı	कड़वा
acı	पीड़ा
portekizce	पुर्तगाली
kıyı	तटीय
mezarlığı	कब्रिस्तान
iptal	रद्दीकरण
iptal	छोड़ें
iptal	रद्द
iptal	निरस्त
ülkeleri	देशो
ülkeleri	देश
ülkeleri	देशों
yasa	कानून
yasa	विधि
bireysel	व्यक्ति
bireysel	व्यक्तिगत
umut	होप
umut	आशाओं
umut	उम्मीद
umut	आशा
umut	उम्मीदें
umut	आशाएं
ikna	अनुनय
ikna	मनाना
tabanlı	आधारित
kurban	पीड़ित
kurban	बलिदान
kurban	शिकार
kurban	पीडित
dava	मामला
dava	मुकदमा
dava	सू
dava	केस
önemlidir	महत्वपूर्ण
gelin	बहू
gelin	दुल्हन
gelin	आईये
gelin	आइये
mekanik	मैकेनिक
mekanik	यांत्रिक
mekanik	यांत्रिकी
köpek	कुत्तों
köpek	कुत्ते
köpek	श्वान
köpek	कुत्तो
köpek	कुत्ता
köpek	डॉग
gözden	पुनर्विलोकन
gözden	समीक्षा
litvanya	लिथुआनिया
merhaba	नमस्कार
merhaba	हेलो
şiddetli	कठोर
şiddetli	तीव्र
şiddetli	हिंसक
yazın	लिखें
yazın	लिखे
parçaları	टुकड़े
parçaları	पार्ट्स
parçaları	टुकड़ो
parçaları	बिट्स
parçaları	भाग
dişi	महिला
dişi	महिलाएं
dişi	महिलाएँ
dişi	मादा
dişi	बेटियाँ
dişi	महिलाओं
dişi	स्त्री
pilot	एविएटर
amaç	ध्येय
amaç	गोल
amaç	लक्ष्य
amaç	उद्देश्य
kurulması	स्थापना
inceleme	परिक्षा
inceleme	परीक्षा
inceleme	पुनर्विलोकन
inceleme	निरीक्षण
inceleme	समीक्षा
intihar	आत्महत्या
tablo	सारणी
tablo	तालिका
tablo	टेबल
tablo	मेज़
tablo	चित्रकारों
tablo	चित्रकारी
tablo	पेंटिंग
tablo	चित्रकला
korku	ख़ौफ़
korku	डर
korku	डरावना
korku	हॉरर
korku	डरते
korku	भय
içişleri	आंतरिक
kredi	ऋण
kredi	क्रेडिट
kredi	श्रेय
kredi	साभार
nesil	पीढी
nesil	जेनरेशन
nesil	पीढ़ी
kapı	दरवाजे
kapı	दरवाजा
kapı	दरवाजों
kapı	दरवाज़ा
kapı	द्वार
kapı	गेट
kapı	फाटक
rengi	रंग
güven	विश्वास
güven	आत्मविश्वास
güven	ट्रस्ट
güven	भरोसा
ikincisi	द्वितीय
ikincisi	सेकंड
ikincisi	दूसरी
ikincisi	सेकेंड
ikincisi	सेकण्ड
ikincisi	दूसरा
çıkarılan	निकाली
ağırlığı	वज़न
ağırlığı	तौल
ağırlığı	वजन
ağırlığı	भार
kuralları	दिशानिर्देशों
kuralları	नियम
kuralları	दिशानिर्देश
sahil	बीच
sahil	समुद्रतट
diller	भाषाएँ
diller	भाषाएं
diller	भाषा
kafkasya	काकेशस
optik	प्रकाशिकी
optik	ऑप्टिक
optik	ऑप्टिकल
köken	मूल
köken	उद्गम
köken	उत्पत्ति
koyun	भेड़
koyun	शीप
karadağ	मोंटेनेग्रो
sadık	वफादार
sadık	ईमानवालों
sadık	वफ़ादार
channel	चैनल
vücut	देह
vücut	शरीर
vücut	जिस्म
vücut	बॉडी
deri	त्वचा
deri	चमड़ी
deri	चमड़े
deri	चमड़ा
deri	स्किन
önemi	महत्ता
önemi	अहमियत
önemi	महत्व
düzenlendi	संपादित
engin	विशाल
sandalye	कुर्सियों
sandalye	कुर्सियां
sandalye	कुर्सी
liman	बंदरगाह
liman	तट
liman	बंदरगाहों
liman	पोर्ट
liman	हार्बर
sağlam	सुदृढ़
sağlam	ठोस
sağlam	मजबूत
diğeri	अन्य
pınar	फव्वारे
pınar	स्रोतों
pınar	फव्वारा
pınar	स्प्रिंग्स
anonim	अज्ञात
anonim	गुमनाम
anonim	बेनाम
anonim	अनाम
tunus	ट्यूनिस
tunus	ट्यूनीशिया
toplanan	एकत्रित
taraflı	पक्षपातपूर्ण
taraflı	पक्षपाती
taraflı	तरफा
süvari	सवार
süvari	प्यादे
süvari	राइडर
sürüm	संशोधन
sürüm	रिलीज़
sürüm	वर्जन
sürüm	संस्करण
sürüm	रिलीज
moğol	मंगोलियाई
enerjisi	उर्जा
enerjisi	ऊर्जा
sokak	गलियां
sokak	गली
sokak	सड़क
sokak	सड़कें
sokak	गलियों
biçimi	फार्मेट
biçimi	स्वरूप
biçimi	फॉर्मेट
biçimi	फ़ॉर्मेट
biçimi	प्रारूप
salih	सालेह
klibi	काटें
klibi	क्लिप
karayolu	हाईवे
karayolu	रोड
karayolu	राजमार्ग
karayolu	सड़क
sezar	सीज़र
kraliçe	महारानी
kraliçe	रानी
yahudiler	यहूदी
yahudiler	यहूदियों
parlamento	संसदीय
parlamento	लोकसभा
parlamento	संसद
parlamento	पार्लियामेंट
yetersiz	अपर्याप्त
seni	आप
seni	तुम
seni	आपको
heykel	मूर्तिकला
heykel	प्रतिमा
konular	विषय
konular	थ्रेड
konular	लड़ियाँ
konular	प्रजा
konular	विषयों
süreç	प्रक्रियाएँ
süreç	प्रक्रिया
süreç	प्रक्रियाओं
süreç	प्रक्रम
kongre	कन्वेंशन
kongre	कांग्रेस
kongre	सम्मेलन
kongre	कॉंग्रेस
matematiksel	गणितीय
kalite	गुणवत्ता
kalite	क्वालिटी
kalite	विशेषता
disk	डिस्क
yarımadası	प्रायद्वीप
yakıt	ईंधन
fikri	विचार
fikri	आईडिया
karışık	मिश्रित
karışık	जटिल
karışık	मिश्रण
karışık	उलझन
karışık	मिक्स
karışık	भ्रमित
karışık	मिक्सर
karışık	परिसर
atletizm	एथलेटिक्स
taşı	चाल
taşı	मूव
philadelphia	फिली
basınç	दाब
basınç	दबाव
sinir	गुस्से
sinir	क्रोध
sinir	गुस्सा
sorunlar	समस्याएं
sorunlar	समस्याएँ
sorunlar	मुद्दे
sorunlar	परेशानियों
arkasında	पीछे
referans	सन्दर्भ
referans	संदर्भ
programları	कार्यक्रम
programları	प्रोग्राम
ulus	राष्ट्र
ulus	स्वदेश
ulus	देश
karşıya	पार
karşıya	क्रॉस
karşıya	क्रास
karşıya	आरपार
kitaplar	किताबें
kitaplar	किताबे
kitaplar	पुस्तकें
kitaplar	पुस्तकों
alınır	लिया
stratejik	रणनीतिक
stratejik	सामरिक
askerler	सैनिको
askerler	सैनिकों
fonksiyonu	फ़ंक्शन
fonksiyonu	फंक्शन
fonksiyonu	प्रकार्य
fonksiyonu	फलन
düşer	जलप्रपात
düşer	झरना
düşer	प्रपात
belgrad	बेलग्रेड
daire	अपार्टमेंट
daire	वृत्त
daire	चपटा
daire	वृत
daire	फ्लैट
daire	सर्किल
daire	सपाट
daire	समतल
daire	घेरा
ilişkisi	संबंध
ilişkisi	रिश्ता
ilişkisi	संबन्ध
ilişkisi	रिश्ते
taşıma	यातायात
taşıma	हस्तांतरण
taşıma	परिवहन
taşıma	ट्रांसपोर्ट
animasyon	एनिमेटेड
animasyon	एनीमेशन
animasyon	एनिमेशन
cam	काच
cam	गिलास
cam	कांच
cam	काँच
cam	ग्लास
görünür	दृष्टिगोचर
görünür	दृश्यमान
görünür	दृश्य
sicilya	सिसिली
haritası	मानचित्र
haritası	नक्शा
haritası	मैप
makine	मशीनें
makine	यंत्र
makine	मशीनों
makine	मशीन
makine	मशीनरी
makine	मशीने
sonsuz	असीमित
sonsuz	सनातन
sonsuz	अनगिनत
sonsuz	असीम
sonsuz	अनंत
sonsuz	अनन्त
sonsuz	अंतहीन
napoli	नेपल्स
boğazı	जलसन्धि
yağış	वर्षण
yağış	वर्षा
milano	मिलन
milano	मिलाने
milano	मिलान
milano	मिलियन
yazma	लिखकर
yazma	लेखन
yazma	लिखे
yazma	टाइपिंग
yazma	लिखें
yazma	लिखना
yazma	लिखने
yazma	टंकण
gereksiz	व्यर्थ
gereksiz	बेकार
gereksiz	अनावश्यक
icin	लिये
fas	मोरक्को
fas	मोरक्कन
hâlâ	स्टिल
görmek	देख
görmek	देखें
görmek	देखिए
görmek	देखकर
evde	होम
evde	मुखपृष्ठ
evde	घर
evde	गृह
yumurta	अंडे
yumurta	अंडा
sessiz	ख़ामोशी
sessiz	खामोश
sessiz	मूक
sessiz	खामोशी
sessiz	सन्नाटा
sessiz	शांत
sessiz	मौन
sessiz	चुप
antrenör	ट्रेनर
antrenör	कोच
antrenör	प्रशिक्षक
batıda	पश्चिम
batıda	वेस्ट
kare	फ़्रेम
kare	ढांचा
kare	वर्गाकार
kare	फ्रेम
kare	गठन
kare	वर्ग
kare	स्क्वायर
eğlence	मस्ती
eğlence	मनोरंजक
eğlence	मज़ेदार
eğlence	मनोरंजन
eğlence	मजा
eğlence	मज़ा
hidrojen	हाइड्रोजन
yapay	सिंथेटिक
yapay	कृत्रिम
sporcu	खिलाड़ी
sporcu	एथलीट
veda	विदाई
bakır	ताँबा
bakır	तांबे
bakır	ताम्र
bakır	तांबा
bakır	कॉपर
teksas	टेक्स
teksas	टेक्सास
hapis	कारावास
hapis	थाना
hapis	जेल
bağlantılı	संबंधित
bağlantılı	कनेक्टेड
bağlantılı	कनेक्ट
bağlantılı	सम्बन्धित
volkan	ज्वालामुखी
sunucu	मेजबान
sunucu	मेज़बान
sunucu	सर्वर
sunucu	प्रस्तुतकर्ता
sunucu	होस्ट
gönüllü	स्वयंसेवक
gönüllü	स्वयंसेवा
gönüllü	स्वयंसेवकों
gönüllü	स्वैच्छिक
gönüllü	स्वयंसेवी
miktarı	राशि
miktarı	मात्रा
ekip	दस्ते
ekip	टोली
ekip	दल
ekip	क्रू
ekip	टीम
ekip	स्क्वाड
ekip	दस्ता
maçlar	गेम्स
maçlar	गेम
maçlar	खेल
maçlar	मिलान
brezilyalı	ब्राज़ीलियाई
topçu	गनर
topçu	तोपखाने
mahkeme	न्यायालयों
mahkeme	कोर्ट
mahkeme	अदालत
mahkeme	न्यायालय
mahkeme	अदालतों
parçalar	पार्ट्स
parçalar	भाग
yoğunluğu	तीव्रता
yoğunluğu	घनत्व
tuna	डेन्यूब
görüldü	देखा
görüldü	देखी
hoca	टीचर
hoca	अध्यापक
hoca	शिक्षक
hıristiyan	ईसाई
hıristiyan	क्रिश्चियन
hıristiyan	क्रिस्चियन
hıristiyan	ईसाइयों
vize	वीज़ा
vize	वीजा
vize	वीसा
müdür	प्रधानाचार्य
müdür	निर्देशक
müdür	निदेशक
müdür	प्रिंसिपल
müdür	मैनेजर
müdür	प्रबंधक
müdür	वार्डन
müdür	हेडमास्टर
doğuda	पूर्वी
doğuda	ईस्ट
doğuda	पूर्व
günleri	दिन
günleri	दिनों
kahire	कैरो
kahire	काहिरा
kahire	कायरो
gaga	चोंच
kart	कार्ड
kart	ताश
sayıları	क्रमांकन
mükemmel	बेहतरीन
mükemmel	सही
mükemmel	पूर्ण
mükemmel	परफेक्ट
mükemmel	परिपूर्ण
mükemmel	उत्कृष्ट
karşıtı	एंटी
varlık	संपत्ति
varlık	एसेट
varlık	एंटिटी
varlık	उपस्थिति
varlık	मौजूदगी
çoban	गड़रिये
çoban	शेफर्ड
arkadaş	मित्रो
arkadaş	दोस्तो
arkadaş	दोस्त
arkadaş	dost
arkadaş	मित्रों
arkadaş	दोस्तों
arkadaş	मित्र
kural	शासन
kural	नियम
gürcü	जॉर्जियाई
ansiklopedi	ज्ञानकोष
felsefesi	दर्शन
felsefesi	दर्शनशास्त्र
görünümü	प्रकटन
görünümü	देखें
görünümü	रूप
görünümü	दृश्य
gerilim	सस्पेंस
gerilim	थ्रिलर
gerilim	टेंशन
gerilim	वोल्टेज
trafik	यातायात
trafik	ट्रैफ़िक
trafik	ट्रैफिक
hikâye	कहानी
hikâye	स्टोरी
konuşan	बोलना
bebek	बेब
bebek	बेबे
bebek	गुड़िया
bebek	गुडिया
radikal	रेडिकल
radikal	कट्टरपंथी
ipek	सिल्क
ipek	रेशम
ipek	रेशों
ipek	रेशा
ipek	रेशे
dinamo	डायनेमो
ittifak	गठबंधन
günler	दिन
günler	दिनों
bölgeler	एटलस
bölgeler	जिले
bölgeler	क्षेत्र
bölgeler	क्षेत्रों
muharebe	कॉम्बैट
muharebe	बैटल
muharebe	लड़ाई
muharebe	युद्ध
dere	स्ट्रीम
dere	धारा
dere	क्रीक
deneysel	प्रायोगिक
deneysel	प्रयोगात्मक
rahatsız	असहज
rahatsız	नाराजगी
rahatsız	खिन्न
rahatsız	अशांत
rahatsız	परेशान
haftalık	साप्ताहिक
haftalık	हफ्ते
haftalık	सप्ताह
halife	खलीफा
halife	ख़लीफ़ा
grafik	ग्राफिक्स
grafik	ग्राफ़
grafik	चार्ट
grafik	ग्राफिक
grafik	ग्राफ
grafik	ग्राफ़िक
grafik	आलेख
turnuvası	टूर्नामेंट
bit	जूँ
hayal	सपने
hayal	सपना
hayal	ख्वाब
hayal	कल्पना
hayal	स्वप्न
hayal	ड्रीम
inci	पर्ल
inci	मोती
negatif	ऋणात्मक
negatif	नकारात्मक
yıldızlar	तारें
yıldızlar	सितारों
yıldızlar	सितारे
yıldızlar	तारों
yıldızlar	तारे
turnuva	टूर्नामेंट
okudu	पढ़ाई
hasta	रोगियों
hasta	रोगी
hasta	बीमार
hasta	मरीजों
hasta	मरीज
takma	उपनाम
evrensel	सार्वभौमिक
evrensel	यूनिवर्सल
evrensel	ब्रह्माण्ड
evrensel	लौकिक
evrensel	वैश्विक
taarruz	उत्पीड़न
sıfır	नल
sıfır	रिक्त
sıfır	निरर्थक
sıfır	शून्य
sıfır	शुन्य
emek	मज़दूर
emek	प्रयास
emek	श्रम
emek	श्रमिक
emek	मजदूर
emek	प्रयत्न
yazılar	लेख
yazılar	कृतियाँ
yazılar	लेखन
yazılar	आलेख
sulama	सिंचाई
açan	खिल
açan	अंकुरित
klavye	कुंजीपटल
klavye	कीबोर्ड
cuma	शुक्रवार
usta	निपुण
usta	मास्टर
sanal	आभासी
ilham	चिंतन
ilham	प्रेरित
ilham	प्रेरणा
kukla	कठपुतली
kukla	डमी
bahar	स्प्रिंग
bahar	मसाला
bahar	वसन्त
bahar	वसंत
bahar	बसंत
bahar	स्पाइस
düzeni	ख़ाका
düzeni	लेआउट
düzeni	गठन
düzeni	खाका
düzeni	अभिन्यास
sıkı	कस
sıkı	टाइट
sıkı	तंग
sıkı	कड़ा
hürriyet	आज़ादी
hürriyet	आजादी
hürriyet	लिबर्टी
hürriyet	स्वाधीनता
hürriyet	स्वतंत्रता
yarısı	आधा
yarısı	हाफ़
yarısı	हाफ
yarısı	आधी
yerleşik	निवासी
yerleşik	स्थापित
görevlisi	सेवक
vatan	मातृभूमि
vatan	देश
sergi	प्रदर्शनी
faydalı	सहायक
faydalı	उपयोगी
kazan	बॉयलर
kazan	विन
kazan	जीत
uygulamaları	अनुप्रयोग
uygulamaları	आवेदन
uygulamaları	ऐप्स
uygulamaları	एप्लिकेशन
gri	धूसर
gri	ग्रे
gri	सलेटी
yedek	अतिरिक्त
yedek	आरक्षित
yedek	बैकअप
ilaç	दवाएँ
ilaç	फार्मास्युटिकल
ilaç	औषधि
ilaç	दवा
ilaç	दवाइयाँ
ilaç	दवाई
ilaç	ड्रग
ilaç	आयुर्विज्ञान
ürünler	उत्पाद
ürünler	आइटम
ürünler	वस्तुएँ
ürünler	वस्तुएं
ürünler	मद
olağanüstü	उत्कृष्ट
olağanüstü	बकाया
olağanüstü	असाधारण
olağanüstü	अभूतपूर्व
yaralı	घायल
sözcük	शब्द
sözcük	वर्ड
yay	स्प्रिंग
yay	स्प्रेड
yay	प्रसार
yay	आर्क
yay	फैला
yay	चाप
yay	वसन्त
yay	वसंत
yay	बसंत
yay	फैल
yay	धनुष
yay	धनु
geliştirilmiş	विकसित
geliştirilmiş	उन्नत
kardeşler	ब्रदर्स
kardeşler	बहनें
kardeşler	बहनो
kardeşler	सहोदर
kardeşler	भाइयो
kardeşler	भाइयों
kardeşler	भाईयो
kardeşler	बहनों
evren	ब्रह्मांड
evren	ब्रह्माण्ड
ücretsiz	फ़्री
ücretsiz	मुक्त
ücretsiz	फ्री
ücretsiz	मुफ्त
ücretsiz	निशुल्क
ücretsiz	आजाद
muhtar	मुख्तार
oluşturmak	बनाएं
oluşturmak	बनाएँ
hasar	क्षति
hasar	नुकसान
hasar	नुक्सान
hasar	क्षतिपूर्ति
hasar	क्षतिग्रस्त
bisiklet	साइकिल
bisiklet	सायकिल
bisiklet	बाइक
bisiklet	साइकिलिंग
bisiklet	बाईक
özellik	गुण
özellik	संपत्ति
özellik	सम्पत्ति
özellik	विशेषता
özellik	सुविधा
özellik	प्रॉपर्टी
organik	सशुल्क
organik	जैविक
organik	कार्बनिक
kriterleri	मापदंड
kriterleri	मापदण्ड
kriterleri	बेंचमार्क
deli	उन्मादी
deli	पागल
deli	क्रेजी
bilinmeyen	अज्ञात
bilinmeyen	अनजान
güreş	कुश्ती
mezar	मज़ार
mezar	मकबरा
mezar	क़ब्रों
mezar	संगीन
mezar	कब्र
said	सईद
faaliyetleri	उपक्रम
faaliyetleri	क्रियाएँ
faaliyetleri	गतिविधियाँ
ok	बाणों
ok	तीर
ok	बाण
av	हंट
av	शिकार
koca	पति
bank	बेंच
yayıncılık	प्रकाशन
kopya	नक़ल
kopya	कॉपी
keşif	खोजी
keşif	खोज
keşif	अन्वेषण
keşif	छानबीन
keşif	डिस्कवरी
araba	गाड़ी
araba	कार्ट
araba	कारें
araba	गाडी
araba	कार
araba	कारों
araba	गाड़ियाँ
tenis	टेनिस
müdahale	इंटरफेस
müdahale	हस्तक्षेप
politikacı	राजनीतिज्ञ
politikacı	राजनेता
elbette	यकीनन
elbette	पक्का
elbette	ज़रूर
elbette	निश्चित
protein	प्रोटीन
mutlak	निरपेक्ष
değiştirme	बदलें
değiştirme	बदला
değiştirme	बदलाव
değiştirme	प्रतिस्थापन
değiştirme	परिवर्तन
değiştirme	बदलना
kuramı	सिद्धांत
kuramı	सिद्धान्त
soru	सवाल
soru	प्रश्न
sözleşmesi	संविदा
sözleşmesi	अनुबंध
ren	राइन
açıklandı	घोषित
yararlı	सहायक
yararlı	उपयोगी
gönderdi	भेजा
gönderdi	भेजी
gönderdi	प्रेषित
veli	जनक
veli	अभिभावक
saadet	परमानंद
cezası	सजा
cezası	दंड
cezası	पेनल्टी
sayfaları	पेज
sayfaları	पृष्ठों
sayfaları	पृष्ठ
sayfaları	पन्ने
sudan	सूडानी
konum	स्थिति
konum	लोकेशन
konum	पद
konum	अवस्थिति
konum	स्थान
akıl	मन
akıl	दिमाग
yön	दिशा
tavsiye	सलाह
tavsiye	अनुशंसित
tavsiye	सुझाएँ
tavsiye	अनुशंसा
örnekler	उदाहरण
örnekler	नमूने
yöneticisi	व्यवस्थापक
yöneticisi	एडमिन
yöneticisi	मैनेजर
yöneticisi	प्रबंधक
görünüm	प्रकटन
görünüm	प्रदर्शक
görünüm	देखें
görünüm	रूप
görünüm	आउटलुक
görünüm	दृश्य
görünüm	प्रदर्शन
görünüm	प्रदर्शित
detaylı	विवरण
detaylı	विस्तृत
ahşap	वुड
ahşap	काश्तकारी
ahşap	लकडी
ahşap	लकड़ी
köşe	कॉलम
köşe	कॉर्नर
köşe	स्तंभ
köşe	कोने
köşe	कालम
köşe	किनारे
köşe	कोना
köşe	स्तम्भ
motoru	इंजन
oğulları	बेटे
emniyet	सुरक्षा
perde	घूंघट
perde	ओट
perde	पर्दे
perde	पर्दा
vandalizm	बर्बरता
caz	जैज़
yeraltı	अंडरवर्ल्ड
yeraltı	भूमिगत
resimler	छवि
resimler	छवियां
resimler	बिंब
resimler	पिक्चर्स
resimler	छवियाँ
resimler	तस्वीरें
resimler	चित्र
resimler	फ़ोटो
resimler	फोटो
teorik	सैद्धांतिक
müttefik	अलाइड
yakınında	निकटवर्ती
yakınında	आसपास
yakınında	निकट
yüzü	चेहरे
yüzü	फेस
yüzü	चेहरा
gelişim	प्रगति
gelişim	विकास
gelişim	सुधार
şiddet	हिंसा
şiddet	हिंसक
rica	निवेदन
rica	आग्रह
rica	अनुरोध
endonezya	इंडोनेशियाई
endonezya	इंडोनेशिया
bulut	मेघ
bulut	बादल
bulut	बादलों
horasan	ख़ोरासान
çoklu	बहु
çoklu	मल्टी
çoklu	मल्टीपल
çoklu	अनेक
çoklu	बहुमुखी
sürgün	वनवास
sürgün	प्रत्यर्पण
sürgün	निर्वासन
ekmek	रोटी
ekmek	ब्रैड
yüzlerce	सैंकड़ों
yüzlerce	सैकड़ों
devamlı	निरन्तर
devamlı	निरंतर
devamlı	लगातार
devamlı	सतत
yayınlanmış	प्रकाशित
yazları	ग्रीष्म
personel	स्टाफ
personel	कार्मिक
personel	कर्मियों
personel	स्टाफ़
tehlikeli	खतरनाक
ortam	माध्यम
ortam	मीडियम
ortam	मिडिया
ortam	वायुमंडल
ortam	मीडिया
ortam	पर्यावरण
ortam	परिवेश
ortam	वायुमण्डल
ortam	एनवायरनमेंट
ortam	मध्यम
ortam	वातावरण
ortam	माहौल
sayılır	थोडा
saf	भोली
saf	शुद्ध
saf	प्योर
saf	सरासर
saf	भोले
elemeleri	योग्यता
kaza	क्रेश
kaza	क्रैश
kaza	दुर्घटनाओं
kaza	आकस्मिक
kaza	दुर्घटना
kalıcı	स्थायी
kalıcı	स्थाई
kimlik	पहचान
paulo	पाउलो
görevleri	भूमिकाएँ
görevleri	कर्तव्य
şube	शाखा
rap	रैपर
rap	रैप
isyanı	विद्रोह
eleştiriler	आलोचकों
eleştiriler	आलोचना
eleştiriler	आलोचनाओं
ikincil	माध्यमिक
ikincil	द्वितीयक
duvar	वॉल
duvar	दीवारें
duvar	दीवार
duvar	दीवारों
tuz	नमक
ayrılmış	अलग
ayrılmış	सुरक्षित
ayrılmış	आरक्षित
ayrılmış	जुदा
kolombiya	कोलंबिया
kolombiya	कोलम्बिया
sayılar	अंक
sayılar	आंकड़े
sayılar	संख्या
sayılar	संख्याएँ
deprem	भूकंप
deprem	भूकम्प
kullanılmış	प्रयुक्त
filozof	दार्शनिक
filozof	पारस
çekim	शूटिंग
çekim	गोलीबारी
çekim	फिल्मांकन
çekim	आकर्षण
kavram	ख़्याल
kavram	अवधारणा
kuvvetler	शक्तियां
kuvvetler	बलों
yelken	पाल
divan	दीवान
gönderilen	सुपुर्द
gönderilen	भेजी
gönderilen	प्रेषित
gönderilen	भेजा
zemin	जमीन
