les	เดอะ
peint	วาด
peint	ทาสี
littéraires	วรรณคดี
littéraires	วรรณกรรม
froid	เย็นๆ
froid	เย็น
froid	ชิล
froid	หนาว
syrie	ซีเรีย
fréquemment	บ่อยๆ
fréquemment	บ่อย
ronde	รอบ
ronde	กลม
ronde	กลมๆ
riches	รวย
riches	ร่ำรวย
riches	มั่งคั่ง
riches	ริช
riches	คนรวย
pékin	ปักกิ่ง
apparence	ลักษณะ
retrouvé	เจอ
retrouvé	พบ
changé	เปลี่ยน
châteaux	ปราสาท
dizaine	โหล
dragons	มังกร
numéros	ตัวเลข
numéros	หมายเลข
provisoire	ชั่วคราว
veuve	หม้าย
veuve	แม่หม้าย
apporter	นำ
soins	แคร์
soins	สน
soins	สนใจ
linguistique	ภาษาศาสตร์
héritier	ทายาท
amoureux	คู่รัก
amélioration	ปรับปรุง
spécifiques	เจาะจง
vouloir	ต้องการ
vouloir	อยาก
virus	ไวรัส
fermeture	รูด
fermeture	ซิป
fermeture	ซิบ
poursuivre	ต่อ
spécialisé	เชี่ยวชาญ
soutenu	สนับสนุน
marchand	พ่อค้า
remarquable	ค้าง
universelle	สากล
hugues	ฮิว
abandonné	ร้าง
tribu	เผ่า
belges	เบลเยียม
belges	เบลเยี่ยม
rotation	หมุน
apporte	นำ
transféré	โอน
jugement	ตัดสิน
rayon	รัศมี
rayon	คาน
rayon	ลำแสง
rayon	บีม
civils	พลเรือน
nécessité	ต้องการ
têtes	เฮด
têtes	หัว
têtes	head
immeuble	ตึก
immeuble	อาคาร
métal	เหล็ก
métal	โลหะ
facteur	ตัวประกอบ
facteur	ปัจจัย
épée	ดาบ
salut	สวัสดี
salut	เฮ
salut	เฮ้
banlieue	ชานเมือง
courts	สั้น
courts	เตี้ย
courts	สั้นๆ
pic	พีค
jouant	เล่น
devoir	หน้าที่
bleue	สีน้ำเงิน
bleue	บลู
bleue	น้ำเงิน
irak	อิรัก
tonnes	ตัน
poche	ถุง
copie	สำเนา
surnommé	ฉายา
chimique	เคมี
chimique	เคมีภัณฑ์
carbone	คาร์บอน
modifié	แก้ไข
mâle	ตัวผู้
ouvrir	เปิด
pétrole	น้ำมัน
attaché	แนบ
gras	อ้วน
gras	หนา
gras	อ้วนๆ
cible	เป้า
africaine	แอฟริกา
morceau	พีซ
morceau	แทร็ค
morceau	พีซี
morceau	แทร็ก
morceau	ชิ้น
pyramide	พีรามิด
pyramide	พีระมิด
pasteur	หลวง
apprentissage	ฝึกงาน
actifs	สินทรัพย์
actifs	ทรัพย์สิน
volontaires	อาสา
arrête	หยุด
plaisir	เพลิดเพลิน
plaisir	สนุกสนาน
plaisir	สนุก
époux	สามี
époux	ผัว
bateaux	เรือ
soutient	สนับสนุน
soutient	รองรับ
croire	ศรัทธา
croire	เชื่อ
moto	มอเตอร์ไซค์
curé	นักบวช
échapper	หนี
équilibre	สมดุล
statistique	สถิติ
paramètre	พารามิเตอร์
psychologie	จิตวิทยา
diplômé	บัณฑิต
sel	เค็ม
sel	เกลือ
examen	รีวิว
examen	ข้อสอบ
examen	วิจารณ์
examen	สอบ
héritage	มรดก
commencer	เริ่ม
candidature	แอพพลิเคชัน
théorème	ทฤษฎีบท
télé	โทรทัศน์
télé	ทีวี
expériences	ทดลอง
expériences	ประสบการณ์
étudié	ศึกษา
potentiel	ศักยภาพ
présidente	ประธาน
présidente	ประธานาธิบดี
grotte	ถ้ำ
pain	ขนมปัง
toit	ดาดฟ้า
toit	หลังคา
entraineur	โค้ช
entraineur	โค๊ช
suivie	ตาม
réduction	ส่วนลด
chaînes	ช่อง
chaînes	โซ่
soviétiques	โซเวียต
secrets	ลับๆ
secrets	ลับ
rythme	จังหวะ
voulait	ต้องการ
écart	แปรผัน
rupture	พัก
vague	เวฟ
vague	โบก
vague	โบกมือ
vague	คลื่น
décor	ตกแต่ง
accords	คอร์ด
hollande	เนเธอร์แลนด์
hollande	ฮอลแลนด์
crédit	เครดิต
librairie	ไลบรารี
fuite	หนี
fuite	รั่ว
dôme	โดม
associée	คู่หู
christianisme	คริสเตียน
parcs	สวน
hasard	โอกาส
hasard	มั่ว
hasard	กาศ
hasard	สุ่ม
hasard	บังเอิญ
dispositif	อุปกรณ์
acier	เหล็ก
traditions	ประเพณี
traditions	ธรรมเนียม
générique	ทั่วไป
générique	เครดิต
civilisation	อารยธรรม
réellement	จริงๆ
réellement	จริง
verts	เขียว
détruite	ทำลาย
définit	นิยาม
définit	กำหนด
publier	โพสต์
publier	โพส
lait	น้ำนม
lait	นม
charbon	ถ่านหิน
charbon	ถ่าน
maxi	แม็ก
maxi	แม็กซ์
maxi	แม๊กซ์
archéologie	โบราณคดี
agir	ทำตัว
agir	ทำท่า
financement	ทุน
financement	เงินผ่อน
financement	ไฟแนนซ์
soutenir	สนับสนุน
traducteur	ล่าม
dur	หนัก
dur	โหด
dur	แรง
dur	ร้าย
dur	ฮาร์ด
dur	ยาก
dur	โหม
dur	ลำบาก
dénomination	ชื่อ
constante	คงที่
inclus	รวม
montant	จำนวน
légère	สว่าง
légère	เบา
légère	ไลท์
légère	อ่อน
légère	แสง
clients	ลูกค้า
insectes	แมลง
prisonnier	นักโทษ
prisonnier	เชลย
interdiction	แบน
durable	ยั่งยืน
mar	อังคาร
photographies	รูปภาพ
photographies	ภาพถ่าย
payer	ชำระ
payer	จ่าย
chaleur	ร้อน
ingénieurs	วิศวกร
indonésie	อินโดนีเซีย
chaussée	ทางเท้า
urgence	ภาวะฉุกเฉิน
urgence	ฉุกเฉิน
passent	ผ่าน
loisirs	สันทนาการ
loisirs	นันทนาการ
liquide	เหลว
liquide	ของเหลว
officiels	ทางการ
présidents	ประธานาธิบดี
femelle	หญิง
néerlandaise	ดัตช์
beauté	งาม
indépendants	เอกราช
indépendants	อิสระ
achat	ซื้อ
achat	เลี้ยง
camps	ค่าย
marques	ยี่ห้อ
marques	แบรนด์
marques	เครื่องหมาย
apparaître	ปรากฏ
traiter	เลี้ยง
traiter	ปฏิบัติ
graves	สาหัส
graves	รุนแรง
graves	จริงจัง
attaquer	โจมตี
prévue	วางแผน
décoration	ตกแต่ง
fermé	ปิด
développée	พัฒนา
supplémentaire	เสริม
supplémentaire	พิเศษ
schéma	แผนภาพ
dis	พูด
dis	กล่าว
solide	ของแข็ง
solide	ทึบ
solide	มั่นคง
solide	แข็ง
charges	โหลด
bureaux	ออฟฟิศ
bureaux	สำนักงาน
atmosphère	บรรยากาศ
réelle	จริง
ajout	เพิ่ม
mourir	ตาย
témoin	พยาน
règlement	ระเบียบ
pirates	แฮกเกอร์
occident	เวสต์
inclut	รวม
évènements	เหตุการณ์
évènements	กิจกรรม
clés	คีย์
clés	กุญแจ
revues	วารสาร
revues	นิตยสาร
morale	จริยธรรม
morale	คุณธรรม
adultes	ผู้ใหญ่
spectacles	แสดง
ours	แบก
ours	หมี
limité	จำกัด
chevaliers	อัศวิน
chevaliers	ไนท์
bla	ลาบ
normes	มาตรฐาน
récits	นิยาย
récits	นิทาน
pauvres	คนจน
pauvres	ยากจน
nourriture	อาหาร
facteurs	ปัจจัย
balle	ลูกบอล
balle	ลูกปืน
balle	กระสุน
balle	บอล
partenaire	คู่หู
consulter	ปรึกษา
zéro	ศูนย์
biais	อคติ
identique	เดียวกัน
clôture	รั้ว
cheveux	เส้นผม
cheveux	ขน
respecter	นับถือ
respecter	เคารพ
apparemment	เห็นๆ
communistes	คอมมิวนิสต์
lourd	หนักๆ
lourd	หนัก
sérieux	จริงจัง
fermée	ปิด
esclaves	ทาส
esclaves	บ่าว
désir	ราคะ
désir	ตัณหา
désir	ปรารถนา
physiques	กายภาพ
culturels	วัฒนธรรม
sec	แห้งๆ
sec	แล้ง
sec	แห้ง
divisé	หาร
indice	เงื่อนงำ
indice	ใบ้
indice	ดัชนี
paysans	ชาวนา
complexes	ปม
noyau	แกน
noyau	เคอร์เนล
noyau	หลัก
flux	ลำธาร
flux	ไหล
flux	กระแส
sportifs	นักกีฬา
forts	เข้ม
forts	แรง
forts	แข็งแกร่ง
familiale	ครอบครัว
familiale	ตระกูล
motifs	บริเวณ
lisbonne	ลิสบอน
fleur	ดอกไม้
dizaines	โหล
séance	เซสชัน
séance	เซสชั่น
turc	ตุรกี
tirer	ดึง
tirer	ถ่าย
tirer	ยิง
envoyer	ส่ง
définir	นิยาม
définir	ตั้ง
définir	กำหนด
micro	ไมโครโฟน
géant	ยักษ์
logiciels	ซอฟท์แวร์
logiciels	ซอฟแวร์
logiciels	ซอฟต์แวร์
paradis	สวรรค์
paradis	พาราไดส์
paradis	พาราไดซ์
édifices	ตึก
édifices	อาคาร
entendre	ยิน
entendre	ได้ยิน
tempête	พายุ
embouchure	ปาก
moine	บวช
efficacité	ประสิทธิ์
efficacité	ประสิทธิภาพ
cuivre	ทองแดง
cuivre	เหลือง
considérés	พิจารณา
grosse	บิ๊ก
grosse	ใหญ่
viande	เนื้อ
escalier	บันได
argentin	อาร์เจนตินา
récupérer	กู้
berne	เบิร์น
chante	สิงห์
chante	ร้อง
invités	แขก
natation	ว่าย
sols	ดิน
détruire	ทำลาย
client	ลูกค้า
restes	ซาก
alcool	แอลกอฮอล์
alcool	เหล้า
sombre	มืด
sombre	เข้ม
lourds	หนักๆ
lourds	หนัก
coordonnées	พิกัด
racine	ราก
racine	รากฐาน
racine	รูท
fidèle	ศรัทธา
fidèle	ซื่อสัตย์
fidèle	ภักดี
roux	ขิง
roux	เรด
roux	แดง
intégrer	ฝัง
écologie	นิเวศวิทยา
ajouté	เพิ่ม
pseudo	ฉายา
variations	แปรผัน
remplacée	แทนที่
magasin	ร้าน
sucre	น้ำตาล
manifestation	สาธิต
manifestation	ประท้วง
cite	อ้างอิง
cite	คำคม
vêtements	เสื้อผ้า
adulte	ผู้ใหญ่
vendus	ขาย
considérer	พิจารณา
variante	แปรผัน
tomber	หล่น
tomber	ตก
tomber	ล้ม
tomber	ร่วง
roches	หิน
aérien	แอร์
aérien	อากาศ
couvert	ปกคลุม
couvert	ครอบคลุม
délégué	ตัวแทน
logement	ที่พัก
tribus	เผ่า
vraie	ทรู
vraie	แท้
vraie	จริง
astronome	ดาราศาสตร์
régionaux	ภูมิภาค
battant	ฟลาย
battant	บิน
attentat	โจมตี
feuille	ใบไม้
difficiles	หนัก
difficiles	แรง
difficiles	ฮาร์ด
difficiles	ยาก
difficiles	โหม
difficiles	ลำบาก
coupes	ถ้วย
coupes	ตัด
douce	หวานๆ
douce	นุ่ม
douce	หวาน
douce	นิ่ม
douce	อ่อน
remarquables	ค้าง
contraint	บังคับ
quasiment	เกือบ
finlandais	ฟินแลนด์
enfer	นรก
déchets	เปลือง
comique	การ์ตูน
comique	ตลก
matières	วัสดุ
matières	วัตถุดิบ
essence	เบนซิน
essence	น้ำมัน
séminaire	สัมมนา
administratives	ธุรการ
orthographe	คาถา
orthographe	สะกด
biologie	ชีววิทยา
essayer	ลอง
essayer	พยายาม
marchés	ตลาด
cellule	เซลล์
fou	โมโห
fou	เพี้ยน
fou	บ้า
fou	โกรธ
fou	วิกลจริต
accepter	ยอมรับ
coréen	เกาหลี
humour	ขัน
banques	แบงค์
banques	ธนาคาร
banques	แบงก์
battre	ตี
battre	จังหวะ
battre	ชนะ
battre	เอาชนะ
norvégien	นอร์เวย์
positif	บวก
plume	ปากกา
plume	ขน
alimentaire	อาหาร
démarche	เข้าหา
marchandises	สินค้า
fichiers	แฟ้ม
pratiquement	เกือบ
dites	พูด
dites	กล่าว
promouvoir	โปรโมท
promouvoir	โปรโมต
observations	คอมเมนท์
observations	หมายเหตุ
récente	ล่าสุด
malade	ป่วย
évaluer	ประเมิน
voulu	ต้องการ
réduite	ลด
perspective	ฝึกงาน
garçons	หนุ่มๆ
tourner	พลิก
tourner	เลี้ยว
tourner	หมุน
tourner	หัน
tourner	ปั่น
tourner	เปิด
abandonne	ละทิ้ง
abandonne	สละ
liban	เลบานอน
routier	ถนน
sociologie	สังคมวิทยา
accusé	จำเลย
jette	พ่น
veulent	ต้องการ
veulent	อยาก
téléphone	โทรศัพท์
enregistre	บันทึก
enregistre	สถิติ
bouche	ปาก
blessure	แผล
blessure	บาดแผล
équateur	เส้นศูนย์สูตร
équateur	ศูนย์สูตร
anneau	วงแหวน
anneau	ริง
anneau	แหวน
chambres	ห้อง
profite	เพลิดเพลิน
profite	เพลิน
profite	สนุก
onde	เวฟ
onde	โบก
onde	โบกมือ
onde	คลื่น
retourner	กลับ
masque	หน้ากาก
combattre	ต่อสู้
combattre	สู้
gloire	รุ่งโรจน์
gloire	เกียรติยศ
basses	โลว์
basses	ต่ำ
monter	ภูเขา
apparait	ปรากฏ
fidèles	ศรัทธา
fidèles	ซื่อสัตย์
fidèles	ภักดี
papillon	ผีเสื้อ
papillon	เม่า
comparaison	เทียบ
préparer	เตรียม
pousse	เติบโต
pousse	เบ่ง
pousse	ผลัก
pousse	ดัน
pousse	เข็น
mondiaux	โกลบอล
procureur	โจทก์
procureur	อัยการ
caisse	ลัง
génétique	พันธุกรรม
génétique	กรรมพันธุ์
ballon	ลูกบอล
ballon	บอล
ballon	ลูกโป่ง
ballon	บอลลูน
choc	ช็อค
choc	ช๊อค
choc	ช็อก
choc	ช็อต
ondes	คลื่น
gérer	จัดการ
frappe	ฮิต
philippines	ฟิลิปปินส์
islamique	อิสลาม
entouré	ล้อม
assurance	ประกัน
espère	โฮป
espère	หวัง
littoral	ชายฝั่ง
enterré	ฝัง
bonus	โบนัส
théories	ทฤษฎี
résoudre	แก้
résoudre	ไข
résistant	ดื้อยา
sculptures	ประติมากรรม
investissement	ลงทุน
chêne	โอ๊ค
compagnon	สหาย
chroniques	เรื้อรัง
tue	สังหาร
tue	ฆ่า
cache	ซ่อน
égale	เท่ากับ
œufs	ไข่
blanches	ขาว
blanches	ไวท์
demandes	คำขอ
boxe	ชกมวย
boxe	มวย
industriels	อุตสาหกรรม
serpent	งู
chimiques	เคมี
chimiques	เคมีภัณฑ์
jeudi	พฤหัสบดี
jeudi	พฤหัส
jeudi	พฤหัสฯ
média	สื่อ
noires	ดำ
métropolitaine	นครหลวง
métropolitaine	มหานคร
foyer	เตาผิง
foyer	ผิง
comtes	จำนวนนับ
anges	เทวดา
anges	นางฟ้า
rencontrer	พบ
étang	บ่อ
étang	สระ
attente	รอ
restant	เหลือ
symboles	สัญลักษณ์
voûte	อาร์ช
méridionale	ใต้
racines	ราก
racines	รากฐาน
racines	รูท
fréquente	บ่อย
roumain	โรมาเนีย
repos	พัก
gardes	องครักษ์
gardes	ยาม
gardes	รักษ์
évolué	วิวัฒนาการ
évolué	พัฒนา
vents	ลม
vents	สายลม
circulaire	วงกลม
décennies	ทศวรรษ
assistance	สนับสนุน
assistance	รองรับ
permanente	ถาวร
spéciaux	พิเศษ
citation	อ้างอิง
citation	คำคม
indiens	อินเดีย
appliquer	สมัคร
âges	อายุ
âges	ยุค
âges	วัย
offrir	เสนอ
tests	ทดสอบ
neutralité	ฉนวน
bière	เบียร์
faibles	อ่อน
faibles	ต่ำ
faibles	โลว์
faibles	อ่อนแอ
destin	ชะตา
archéologiques	โบราณคดี
professeurs	ครู
professeurs	คณาจารย์
professeurs	คณะ
emplois	งาน
occupée	ยุ่งๆ
occupée	ยุ่ง
confusion	สับสน
mosquée	มัสยิด
étrange	แปลก
étrange	แปลกๆ
autrichienne	ออสเตรีย
vendre	ขาย
vallées	หุบเขา
indienne	อินเดีย
contrôler	ควบคุม
contrôler	คอนโทรล
brésilienne	บิท
brésilienne	บราซิล
brésilienne	บิ
brésilienne	บิว
spéciales	พิเศษ
récentes	ล่าสุด
policiers	ตำรวจ
armement	อาวุธ
ailier	วิง
ailier	ปีก
robe	ชุด
mystère	ลึกลับ
mystère	ปริศนา
mystère	ลี้ลับ
phénomènes	ปรากฏการณ์
similaires	คล้าย
sage	ฉลาด
vaisseaux	เส้นเลือด
béton	คอนกรีต
idéal	อุดมคติ
particules	อนุภาค
écurie	มั่นคง
écurie	เสถียรภาพ
refusé	ปฏิเสธ
extraits	คลาย
commis	เสมียน
physicien	แพทย์
immense	ใหญ่
dangereux	อันตราย
utilité	ประโยชน์
utilité	อรรถประโยชน์
utilité	สาธารณูปโภค
panneau	เซ็น
panneau	ป้าย
panneau	ลงชื่อ
pomme	แอปเปิล
reconnaître	จำ
volant	ฟลาย
volant	บิน
dents	ฟัน
australienne	ออสซี่
australienne	ออสเตรเลีย
richesse	ร่ำรวย
richesse	ทรัพย์
richesse	ทรัพย์สิน
indes	อินเดีย
mardi	อังคาร
travaillant	ทำงาน
cerveau	สมอง
fabrique	โรงงาน
voter	โหวต
diplomate	ฑูต
maternelle	อนุบาล
relatif	ญาติ
relatif	สัมพันธ์
journées	วัน
profondément	ลึก
sentiment	รู้สึก
architectes	สถาปนิก
habitude	นิสัย
modeste	เจียม
modeste	ถ่อม
fantôme	ผี
animé	การ์ตูน
animé	เคลื่อนไหว
dérivé	ดัดแปลง
imaginaire	จินตนาการ
bucarest	บูคาเรสต์
passée	อดีต
interventions	สุนทรพจน์
collectivités	ชุมชน
nage	ว่าย
nuls	ว่าง
commerciales	พาณิชย์
commerciales	โฆษณา
gratte	ตึกระฟ้า
gratte	คัน
déclin	ปฏิเสธ
thermique	ร้อน
énorme	ใหญ่
réformes	ปฏิรูป
pôles	ขั้ว
partenaires	คู่หู
tombeau	สุสาน
bruit	เสียง
devise	คำขวัญ
devise	คติพจน์
universel	สากล
finir	เสร็จ
mercredi	พุธ
limiter	จำกัด
limiter	วงเงิน
sons	เสียง
circuits	ทัวร์
clinique	คลินิก
équation	สมการ
tenté	พยายาม
gouvernements	รัฐบาล
gouvernements	ราชการ
remplaçant	ทดแทน
remplaçant	แทนที่
variantes	แปรผัน
variantes	ตัวแปร
aigle	อินทรี
aigle	อินทรีย์
salariés	พนักงาน
salariés	ลูกจ้าง
royaumes	อาณาจักร
corriger	แก้
rangs	แถว
nationalités	สัญชาติ
colonisation	นิคม
appeler	โทร
fameux	ดัง
officielles	ทางการ
volontaire	อาสา
chaud	ร้อนๆ
chaud	ร้อน
chaud	อุ่น
chaud	อบอุ่น
poètes	กวี
tri	เรียง
abandonner	สละ
abandonner	ยกเลิก
abandonner	ทิ้ง
abandonner	เลิก
abandonner	ละทิ้ง
colère	โกรธ
colère	โมโห
réactions	ปฏิกิริยา
symbolique	สัญลักษณ์
attendant	รอ
león	ออน
vertu	คุณธรรม
planches	กระดาน
planches	บอร์ด
divisée	หาร
messe	ก้อน
messe	มวล
abri	ที่พัก
chiens	สุนัข
chiens	หมา
chiens	หมาก
foule	มาเฟีย
suppose	เดา
froide	เย็นๆ
froide	เย็น
froide	หนาว
préciser	ระบุ
mécanisme	กลไก
bulgare	บัลแกเรีย
engager	จ้าง
avancée	ก้าวหน้า
miroir	กระจกเงา
miroir	กระจก
acheter	ซื้อ
acheter	เลี้ยง
lumières	ไฟ
lumières	แสง
primaires	หลัก
hongroise	ฮังการี
magie	มนตร์
magie	เวทมนตร์
fromage	ชีส
turque	เติร์ก
turque	ตุรกี
aussitôt	ทันที
traduire	แปล
identifier	ระบุ
tirage	วาด
éthiopie	เอธิโอเปีย
blessures	แผล
blessures	บาดแผล
batteur	กลอง
batteur	แรงๆ
roues	ล้อ
vidéos	วีดีโอ
vidéos	วิดีโอ
pauvre	คนจน
pauvre	ยากจน
confirmé	ยืนยัน
enseignants	ครู
copenhague	โคเปนเฮเกน
rayonnement	การแผ่รังสี
rayonnement	รังสี
ordinaire	ปกติ
ordinaire	ธรรมดา
ordinaire	สามัญ
ordinaire	ปรกติ
sergent	จ่า
retard	สาย
retard	ช้า
retard	ล่าช้า
retard	ดึก
maxime	แม็ก
maxime	แม็กซ์
maxime	ซีน
maxime	แม๊กซ์
suédoise	สวีเดน
rebelles	กบฏ
biologique	ชีวภาพ
inventeur	ประดิษฐ์
profonde	ลึก
coin	มุม
typique	ทั่วไป
bloquer	บล็อก
bloquer	บล็อค
socialistes	สังคมนิยม
nordique	เหนือ
aimé	รัก
aimé	ถูกใจ
arbitres	กรรมการ
courbe	โค้ง
mercure	ปรอท
plomb	นำ
plomb	ตะกั่ว
gymnastique	ยิมนาสติก
envie	อิจฉา
envie	ต้องการ
envie	อยาก
envie	ริษยา
déplacer	ขยับ
déplacer	ย้าย
déplacer	เลื่อน
gagnant	ชนะ
légendes	ตำนาน
africains	แอฟริกา
essaie	ลอง
bâton	ติด
cartons	กล่อง
sac	กระเป๋า
sac	แบ็ค
sac	ถุง
annexe	ไส้ติ่ง
annexe	ผนวก
désolé	ขออภัย
désolé	เสียใจ
désolé	ขอโทษ
géologie	ธรณีวิทยา
signer	เซ็น
signer	ป้าย
signer	ลงชื่อ
trou	หลุม
trou	รู
trou	โพรง
courrier	จดหมาย
nulle	ว่าง
matériau	วัสดุ
sondage	สำรวจ
sondage	โพล
sondage	โพลล์
légale	กฎหมาย
lutter	ปล้ำ
constitutionnel	รัฐธรรมนูญ
rapides	ด่วน
rapides	รวดเร็ว
rapides	ไว
rapides	รถไฟฟ้า
rapides	เร็ว
pourcentage	เปอร์เซ็นต์
pourcentage	เปอร์เซนต์
traditionnels	ดั้งเดิม
prête	พร้อม
patients	คนไข้
patients	อดทน
couramment	คล่อง
approximativement	ประมาณ
référendum	ประชามติ
référendum	มติ
turcs	เติร์ก
turcs	ตุรกี
calcaire	หินปูน
commerciaux	พาณิชย์
commerciaux	โฆษณา
civiles	ประชา
civiles	พลเรือน
civiles	แพ่ง
url	url
brut	ดิบ
brut	หยาบ
brut	ดิบๆ
pur	บริสุทธิ์
nœuds	ปม
nœuds	เงื่อน
foot	ฟุตบอล
nucléaires	นิวเคลียร์
propagande	โฆษณาชวนเชื่อ
témoins	คุกกี้
témoins	พยาน
législative	นิติบัญญัติ
thaïlande	ประเทศไทย
thaïlande	ไทย
soin	แคร์
soin	สน
soin	สนใจ
militants	อนุรักษ์
contacter	ติดต่อ
recettes	สูตร
recettes	รายรับ
clos	ปิด
clos	ล้อม
mexicain	เม็กซิโก
oublier	ลืม
caire	ไคโร
territoriales	หวง
territoriales	อาณาเขต
évoluer	พัฒนา
femelles	สตรี
femelles	หญิง
magasins	ร้าน
athlètes	นักกีฬา
traditionnelles	ดั้งเดิม
assuré	ประกัน
impulsion	ชีพจร
températures	อุณหภูมิ
dépression	หดหู่
générations	ยุค
générations	รุ่น
bordure	ชายแดน
bordure	กรอบ
bordure	ขอบ
bordure	พรมแดน
séquence	ลำดับ
séquence	อนุกรม
marge	ขอบ
apparitions	พบเห็น
bombe	ระเบิด
croate	โครเอเชีย
conduire	ไดรฟ์
conduire	ขับ
conduire	ไดร์ฟ
conduire	ขับขี่
cadres	กรอบ
cadres	เฟรม
magique	มนตร์
magique	ขลัง
magique	วิเศษ
magique	เวทมนตร์
timbres	แสตมป์
déesse	เทพธิดา
déesse	ธิดา
chapitres	บท
paragraphe	ย่อหน้า
adn	ดีเอ็นเอ
égal	เท่ากับ
joués	เล่น
perdue	หลง
perdue	แพ้
perdue	เสีย
géométrie	เรขาคณิต
semblable	คล้าย
forfait	แพ็คเกจ
possibilités	โอกาส
décennie	ทศวรรษ
fausse	แกล้ง
fausse	ปลอม
fausse	เท็จ
enquêtes	สอบถาม
enquêtes	คำถาม
suggère	แนะนำ
chypre	ไซปรัส
vitesses	ความเร็ว
vitesses	เกียร์
vigne	องุ่น
obligé	บังคับ
brouillon	ร่าง
vilaine	ดื้อ
vilaine	ซุกซน
vilaine	ซน
astronomie	ดาราศาสตร์
tombé	เผลอ
escadron	ทีม
escadron	หน่วย
escadron	ฝูงบิน
escadron	หมู่
terminer	เสร็จ
engagés	หมั้น
engagés	จ้าง
arrondissements	เขต
secrète	ลับๆ
secrète	ลับ
professionnelles	วิชาชีพ
absolue	ค่าสัมบูรณ์
absolue	สัมบูรณ์
prime	ค่าหัว
prime	โบนัส
prime	พรีเมียม
sonore	เสียง
polémique	แย้ง
sauvages	ดุดัน
tournées	ทัวร์
catastrophe	หายนะ
démonstration	สาธิต
réussite	สำเร็จ
citoyen	พลเมือง
bleus	บลูส์
bleus	สีน้ำเงิน
bleus	บลู
bleus	น้ำเงิน
creuse	ขุด
creuse	โพรง
nuits	คืน
nuits	ค่ำคืน
volcan	ภูเขาไฟ
grille	กริด
remarques	บันทึก
remarques	คอมเมนท์
remarques	หมายเหตุ
remarques	โน้ต
inhumé	ฝัง
variables	ตัวแปร
roue	ล้อ
autorisé	อนุญาต
navigateur	เบราว์เซอร์
organes	อวัยวะ
organes	ร่างกาย
compétence	ทักษะ
éliminer	ขจัด
démocrates	ประชาธิปไตย
bords	ขอบ
espérance	โฮป
espérance	หวัง
missiles	ขีปนาวุธ
ordonné	สั่ง
prépare	เตรียม
écrites	เขียน
jaunes	เหลือง
évènement	เหตุการณ์
évènement	กิจกรรม
chargés	โหลด
devraient	ควร
stable	คงที่
stable	นิ่ง
stable	มั่นคง
fonctionnaire	ทางการ
commandé	บัญชา
commandé	สั่ง
mémorial	อนุสรณ์
engagée	หมั้น
engagée	จ้าง
mythe	ตำนาน
manger	กิน
manger	ทาน
bouches	ปาก
degrés	ปริญญา
degrés	องศา
extérieure	ภายนอก
philosophique	ปรัชญา
nazis	นาซี
esprits	จิตใจ
caméra	กล้อง
régulier	ปกติ
régulier	ปรกติ
hôte	จัด
hôte	โฮสต์
calme	เงียบ
calme	สงบ
organe	ออร์แกน
organe	ร่าง
organe	อวัยวะ
organe	กาย
organe	ร่างกาย
épaisseur	หนา
heureux	สุขใจ
heureux	แฮปปี้
heureux	ดีใจ
perdues	หลง
perdues	แพ้
perdues	เสีย
bébé	ลูก
bébé	ทารก
bébé	เบบี้
bébé	ที่รัก
entré	ป้อน
perse	เปอร์เซีย
lópez	โลเปซ
comprennent	รวม
délai	ล่าช้า
solidarité	สามัคคี
chapeau	หมวก
vénus	วีนัส
comptant	แคช
comptant	เงิน
comptant	เงินสด
uniforme	ยูนิฟอร์ม
libéraux	เสรีนิยม
portugaise	โปรตุเกส
supérieurs	อธิการ
scandale	ฉาว
protestants	โปรเตสแตนต์
arrestation	จับกุม
cristal	ใส
combinaison	คอมโบ
taxe	ภาษี
jouée	เล่น
malaisie	มาเลเซีย
repas	มื้อ
repas	อาหาร
éthique	จริยธรรม
bâti	สร้าง
luxe	ฟุ่มเฟือย
luxe	หรูหรา
grenade	ทับทิม
mobilier	เฟอร์นิเจอร์
strictement	เคร่งครัด
ressort	สปริง
marquer	มาร์ค
marquer	เครื่องหมาย
marquer	สกอร์
marquer	แต้ม
marquer	คะแนน
humides	เปียก
humides	ชื้น
léo	สิงห์
conçue	ออกแบบ
mondes	โลก
salomon	โซโลมอน
barbe	เครา
allié	สัมพันธมิตร
allié	พันธมิตร
prouver	พิสูจน์
dette	หนี้
moyennes	กลาง
moyennes	เฉลี่ย
cru	ดิบ
cru	ดิบๆ
nationaliste	ชาตินิยม
lourde	หนักๆ
lourde	หนัก
esclavage	พันธนาการ
attire	ดึงดูด
graines	ธัญพืช
graines	เมล็ด
rébellion	กบฏ
isolées	แยก
isolées	ฉนวน
fixé	ตายตัว
fixé	ซ่อมแซม
envoyés	ส่ง
coûts	ต้นทุน
munitions	กระสุน
munitions	ยุทธภัณฑ์
bouddhisme	พระพุทธ
bouddhisme	พุทธ
harmonie	ปรองดอง
renseignements	ข้อมูล
blocs	บล็อก
acheté	ซื้อ
coupé	ตัด
coupé	กรีด
coupé	คัท
immeubles	ตึก
immeubles	อาคาร
cerf	กวาง
courtes	สั้น
courtes	เตี้ย
courtes	สั้นๆ
révolutionnaires	ปฏิวัติ
noces	แต่งงาน
noces	แต่ง
sylvie	เดวิด
sylvie	ซิลเวีย
bal	รอม
câble	เคเบิล
câble	เคเบิ้ล
câble	เบิ้ล
mers	ทะเล
canaux	ช่อง
canaux	คลอง
boucle	ลูป
