年	イヤー
事實	真理
巨人	ジャイアンツ
巨人	巨大
巨人	巨人
巨人	ジャイアント
梓	あずさ
無限	無制限
無限	無限
無限	無限大
無限	インフィニット
王后	クイーン
王后	女王
永遠	いつも
永遠	常に
永遠	フォーエバー
福岡	福岡
難	一生懸命
難	ハード
難	難しい
污染	公害
污染	汚染
戰術	戦術
宿舍	ホステル
宿舍	学寮
追求	追求
追求	追跡
追求	クエスト
衛生	衛生
符號	シンボル
符號	記号
郝	ハオ
議題	トピック
緬甸	ミャンマー
緬甸	ビルマ
昆明	昆明市
環球	グローブ
環球	ユニバーサル
燈	ランプ
燈	ライト
交換	交換
交換	スワップ
交易所	交換
印象	インプレッション
乳	牛乳
乳	ミルク
提前	早い
提前	アーリー
神奇	凄い
神奇	すごい
神奇	マジカル
神奇	魔法
神奇	マジック
神奇	素晴らしい
週刊	週刊
週刊	週間
週刊	毎週
週刊	ウィークリー
示威	デモ
示威	実演
示威	デモンストレーション
撞擊	衝突
撞擊	インパクト
撞擊	衝撃
日子	日数
種子	種子
種子	シード
樂園	楽園
樂園	パラダイス
排行	ランキング
標本	見本
標本	標本
呈現	提示
呈現	プレゼン
維護	整備
維護	メンテナンス
搜尋	検索
米蘭	ミラノ
德州	テキサス
威尼斯	ヴェネツィア
威尼斯	ベニス
威尼斯	ベネチア
答	答え
答	答弁
答	回答
鼓勵	激励
鼓勵	奨励
鼓勵	すすめる
氪	クリプトン
考試	試験
考試	取調べ
考試	審査
考試	検査
展覽	展示
柬埔寨	カンボジア
希特勒	ヒットラー
希特勒	ヒトラー
輸入	入力
處理器	プロセッサ
無效	無効
無效	ヌル
贊助	スポンサー
保守	保守
真人	雅人
幫忙	ヘルプ
金剛	金剛杵
金剛	ヴァジュラ
競賽	コンテスト
競賽	コンペティション
競賽	人種
競賽	レース
競賽	コンペ
競賽	競争
競賽	競走
競賽	競技
場地	会場
首歌	歌曲
首歌	ソング
神話	神話
超人	スーパーマン
股票	株式
股票	ストック
實現	換価
實現	実現
實現	気づき
出局	アウト
瑪麗	メアリ
瑪麗	メアリー
戰場	戦場
平等	イコール
平等	平等
平等	等しい
價	価格
價	値段
價	対価
價	プライス
聽	聴く
困難	困難
困難	難しい
機車	オートバイ
機車	機関車
機車	スクーター
機車	バイク
危險	危険
強大	パワフル
強大	濃い
強大	強い
技巧	テクニック
技巧	技法
技巧	トリック
技巧	スキル
外國	外国
瓦爾	ヴァル
帽	帽子
帽	キャップ
帽	ハット
公寓	フラット
公寓	アパート
公寓	マンション
公寓	コンドミニアム
接管	買収
一面	サイド
奧運會	オリンピック
聯絡	連絡
聯絡	コンタクト
漢語	中国人
漢語	中国語
下載	ダウンロード
獅子	獅子
獅子	ライオンズ
獅子	ライオン
裡面	インサイド
梯	梯子
梯	はしご
梯	ハシゴ
梯	ラダー
修道院	修道院
修道院	僧院
租借	賃貸
租借	賃貸借
租借	貸す
總監	警視
地中海	地中海
釋放	釈放
釋放	リリース
戰艦	戦艦
戰艦	軍艦
登記	登録
登記	レジスタ
登記	登記
登記	原簿
黃色	黄色
黃色	イエロー
提案	提案
提案	プロポーズ
學士	独身
批判	批評
批判	評論
批判	クリティカル
批判	批判
傀儡	パペット
馬力	マリック
馬力	馬力
熟悉	おなじみ
海水	海水
直徑	直径
聖經	聖書
村民	村人
村民	村民
威爾斯	ウェールズ
招生	入園
招生	入場
招生	入学
拱	アーチ
現有	既存
銀河	銀河系
銀河	銀河
寶貝	ベイビー
寶貝	赤ちゃん
創辦人	開祖
創辦人	創始者
公會	ギルド
實力	強度
實力	体力
多倫多	トロント
獎金	ボーナス
營業	オープン
營業	開館
營業	開く
閱讀	読書
閱讀	読み込み
閱讀	読み取り
閱讀	読む
閱讀	読み
檢查	チェック
增強	強化された
法拉	ファラー
神父	父親
沙漠	砂漠
沙漠	デザート
橫濱	横浜
障礙	障壁
炸彈	爆弾
空氣	空気
空氣	エア
空氣	航空
小孩	子供
小孩	キッズ
小孩	キッド
法令	布告
多種	複数
多種	倍数
鰻	ウナギ
鰻	うなぎ
保險	保険
遺址	廃墟
遺址	遺跡
沖繩	沖縄
煤	石炭
一旦	一度
慢	遅い
慢	スロー
姐姐	シスター
姐姐	姉妹
單打	シングルス
子彈	銃弾
子彈	弾丸
週期	サイクル
彩虹	レインボー
賽車	レーシング
賽車	レース
賽車	競走
模仿	真似
模仿	模倣
模仿	パロディ
一代	世代
一代	ジェネレーション
論壇	フォーラム
祖先	先祖
廣島	広島
複雜	複雑
複雜	コンプレックス
複雜	錯体
戰略	戦略
三星	サムスン
復興	ルネサンス
復興	リバイバル
復興	ルネッサンス
個性	人格
個性	人柄
個性	パーソナリティ
個性	性格
個性	個性
教室	教室
平行	並列
平行	パラレル
自主	自律
自主	自治
預定	予約
金星	ヴィーナス
金星	ウェヌス
金星	金星
寄生	寄生
寄生	寄生虫
歌詞	作詞
歌詞	歌詞
歌詞	抒情
拯救	レスキュー
拯救	救助
拯救	救済
型態	タイプ
型態	種類
病人	患者
消防	火災
消防	火事
消防	消防
消防	ファイア
優惠	申し出
優惠	オファー
優惠	ディスカウント
優惠	割引
優惠	クーポン
優惠	設定
公頃	ヘクタール
搖滾	ロッキング
搖滾	ロック
修訂	改正
修訂	改定
勞工	分娩
勞工	労働
前面	前面
前面	フロント
前面	表側
囊	カプセル
寺院	修道院
寺院	僧院
執政	裁定
執政	支配
執政	審判
織田	織田
織田	小田
專題	テーマ
專題	トピック
專題	話題
刊登	公開
未知	不明
氣候	気候
頻率	頻度
頻率	周波数
偵探	刑事
里昂	リヨン
提醒	アラート
提醒	お知らせ
片段	クリップ
片段	フラグメント
片段	断片
割	切り取り
割	カット
劇團	劇団
泡	バブル
政治局	政治局
諮詢	相談
諮詢	諮問
諮詢	協議
分離	分離
分離	別居
分離	セセッション
品質	品質
品質	クオリティ
品質	画質
品質	資質
可見	可視
液	液体
液	流体
詩人	歌人
詩人	詩人
辦法	方法
辦法	メソッド
資產	資産
資產	アセット
紀錄片	ドキュメンタリー
名詞	名詞
停車場	駐車
羅伯特	ロベルト
羅伯特	ロベール
羅伯特	ロバート
夢想	ドリーム
覆蓋	表紙
覆蓋	カバー
覆蓋	上書き
覆蓋	被覆
寫作	執筆
寫作	筆記
寫作	書き込む
寫作	書き込み
寫作	書く
弦	和音
弦	ストリング
青海	青海
青海	青海省
溝通	コミュニケーション
溝通	通信
日記	日記
日記	ジャーナル
大地	アース
大地	地球
醇	アルコール
苯	ベンゼン
即時	インスタント
即時	即時
即時	瞬間
世代	世代
世代	ジェネレーション
王室	王族
航空母艦	キャリア
移植	移植
四季	シーズン
四季	季節
決議	解像度
考古	考古学
姐妹	シスター
姐妹	姉妹
草原	サバンナ
發音	発音
高地	テラ
高地	高地
高地	ハイランド
咀	ツイ
王位	玉座
試驗	テスト
試驗	実験
習慣	習慣
忍	しのぶ
酮	ケトン
資金	資金
脫	ストリップ
神奈川	神奈川
忍者	忍者
忍者	ニンジャ
機制	メカニズム
機制	機構
禹	ウー
尤其	特に
紙	ペーパー
紙	用紙
降落	着陸
降落	上陸
鳳凰	フェニックス
五個	ファイブ
五個	五つ
肇	はじめ
喜愛	お気に入り
洪水	洪水
防衛	防御
防衛	ディフェンス
防衛	抗弁
防衛	防衛
相當於	同等
委託	嘱託
輸出	アウトプット
輸出	出力
首映	プレミア
首映	初演
藥	医学
思考	思考
思考	リフレクション
思考	考え
思考	反射
慶祝	祝賀会
慶祝	祝う
慶祝	お祝い
認證	認証
認證	署名
認證	認定
生長	栽培
生長	成長
情人	恋人
晴	サニー
晴	晴れ
性別	性別
性別	ジェンダー
性別	セックス
腔	虫歯
新生	新入生
雁	ガチョウ
夏威夷	ハワイアン
夏威夷	ハワイ
邊界	国境
邊界	境界
邊界	ボーダー
蛤	アサリ
蛤	ハマグリ
普及	ユニバーサル
差距	ギャップ
差距	隙間
盒	ボックス
豬	ブタ
牆	ウォール
北洋	北洋
貨幣	通貨
鶴	クレーン
鶴	ツル
隸屬	所属
添	ティム
企圖	試み
企圖	未遂
蝴蝶	チョウ
蝴蝶	バタフライ
台中市	台中市
社團	組合
鯨	クジラ
優勢	利点
優勢	長所
優勢	アドバンテージ
現實	現実
現實	リアリティ
形態	形態
真相	真実
真相	真理
步行	ウォーク
步行	歩行
步行	ウォーキング
步行	徒歩
步行	歩き
步行	歩く
車廂	コンパートメント
基督徒	キリスト教
基督徒	クリスチャン
基督徒	キリスト教徒
假設	就任
假設	想定
假設	仮説
搭配	混ぜる
搭配	ミックス
轉移	乗り換え
轉移	移転
轉移	転送
轉移	譲渡
周邊	周囲
繁忙	忙しい
繁忙	ビジー
清真寺	モスク
排除	除外
颶風	ハリケーン
塞爾維亞	セルビア
仿	模倣
曼谷	バンコク
嘉義	嘉義市
加利福尼亞	カリフォルニア
婦女	女性
改進	改良
改進	改善
改進	向上
正義	正義
艇	ボート
模擬	アナログ
模擬	シミュレーション
伊斯蘭	イスラム教
最強	最強
貨物	貨物
貨物	物品
貨物	商品
局部	地元
局部	ローカル
局部	一部
木星	ジュピター
木星	木星
天才	タレント
天才	天才
影響力	影響力
影響力	影響
影響力	インパクト
影響力	衝撃
附屬	アフィリエイト
婷	ティン
海峽	チャネル
海峽	チャンネル
海峽	海峡
保育	保全
筆	ペンシル
筆	ペン
筆	鉛筆
垃圾	ごみ
垃圾	ゴミ箱
垃圾	ゴミ
垃圾	ごみ箱
孔子	孔子
音樂會	コンサート
國籍	国籍
要塞	要塞
要塞	フォート
黎明	明け方
黎明	夜明け
黎明	ドーン
巴勒斯坦	パレスチナ
跨越	クロッシング
暖	暖かい
暖	温かい
暖	あったかい
刺激	刺激
道教	道教
借用	借用
借用	借りる
租	レント
租	家賃
租	借りる
租	レンタル
勇士	ウォリアーズ
勇士	戦士
因子	係数
因子	ファクター
因子	因子
儲存	備蓄
儲存	ストレージ
卡通	トゥーン
卡通	カートゥーン
成年	大人
成年	成人
職位	役職
職位	位置
職位	ポジション
供奉	供物
繁殖	布教
繁殖	模写
繁殖	繁殖
繁殖	生殖
繁殖	伝播
繁殖	品種
實驗室	研究室
實驗室	ラボ
敘述	ストーリー
敘述	物語
水晶	クリスタル
水晶	結晶
跟隨	フォロー
秘魯	ペルー
反射	リフレクション
反射	反射
訊號	信号
訊號	シグナル
訊號	合図
血液	血液
血液	ブラッド
日常	日常
日常	毎日
主人	マスター
審查	レビュー
審查	検閲
審查	審査
分解	分解
分解	腐敗
福音	ゴスペル
福音	福音書
最快	最速
馬德里	マドリード
馬德里	マドリッド
可能性	確率
可能性	可能性
標示	マルク
標示	マーキング
標示	マーク
草地	芝生
草地	草地
中午	正午
中午	昼間
減	減らす
減	マイナス
談判	交渉
談判	ネゴシエーション
流通	フロー
流通	流れ
流通	循環
費用	コスト
費用	費用
費用	原価
費用	経費
費用	料金
費用	手数料
購物	買い物
購物	ショッピング
購物	ショップ
購物	買物
重慶	重慶市
天氣	気象
天氣	天候
天氣	天気
加里	ゲイリー
加里	ゲーリー
加里	ギャリー
最少	最低限
最少	最低
最少	最小
撤銷	撤回
撤銷	否認
撤銷	取り消す
撤銷	取り消し
外觀	出演
外觀	外観
氣體	気体
氣體	ガス
喇嘛	ラマ
喇嘛	ラーマ
灰色	灰色
灰色	グレイ
灰色	グレー
累積	貯める
累積	蓄積
累積	集積
累積	累積
秩序	オーダー
秩序	注文
蘇丹	スーダン
侵略	侵略
侵略	侵攻
鋼琴	ピアノ
監獄	刑務所
監獄	監獄
徐州	徐州
區間	区間
區間	インターバル
區間	音程
區間	間隔
邊境	国境
邊境	ボーダー
邊境	フロンティア
獵	狩り
獵	ハント
獵	ハンティング
獵	狩猟
遺產	継承
遺產	遺産
遺產	相続
俄國	ロシア
獨特	ユニーク
獨特	独特
電氣	電気
電氣	エレクトリック
眉	まゆ
眉	眉毛
股權	持分
股權	エクイティ
為什麼	なぜ
評估	評定
評估	評価
評估	査定
記憶體	メモリ
記憶體	メモリー
記憶體	記憶
記憶體	ラム
擴展	延長
擴展	膨張
擴展	内線
擴展	拡張
飯店	ホテル
飯店	レストラン
飯店	飲食店
建國	創設
龐	ホウ
解放軍	プラ
下游	下流
泰山	ターザン
每月	月間
每月	毎月
每月	月刊
更換	置換
快樂	ハッピー
快樂	喜び
快樂	幸せ
快樂	ジョイ
守護	後見人
守護	ガード
守護	ガーディアン
法語	フレンチ
法語	フランス語
頭部	ヘッド
頭部	頭部
玩具	おもちゃ
玩具	オモチャ
玩具	玩具
盆地	盆地
增長	発育
增長	成長
粉絲	ファン
消除	除去
拖	ドラッグ
拖	けん引
畫家	画家
消滅	破壊
形狀	図形
形狀	シェイプ
形狀	形状
兵器	凶器
兵器	武器
兵器	兵器
迫害	迫害
報紙	新聞
報紙	新聞紙
硫	硫黄
腰	ウエスト
強化	強化された
強化	強化
地產	プロパティ
地產	財産
天堂	天国
天堂	楽園
天堂	パラダイス
代表性	表現
關鍵	キー
約克	ヨーク
設計師	デザイナー
框架	フレーム
槍管	バレル
抑制	縁石
室內	屋内
室內	室内
互動	相互作用
互動	婚約
互動	インタラクティブ
突擊	アサルト
突擊	暴行
西蒙	シモン
西蒙	サイモン
中等	ミディアム
中等	中道
中等	メディア
武士	サムライ
武士	武士
淡	ペール
淡	青白い
等於	等しい
巨星	スーパースター
國旗	フラグ
國旗	国旗
保加利亞	ブルガリア
酯	エステル
判決	評決
判決	判決
判決	審判
判決	判断
羅馬尼亞	ルーマニア
入境	エントリ
入境	エントリー
案例	ケース
案例	事例
提示	チップ
提示	ヒント
職員	事務員
職員	事務職
職員	書記官
原料	食材
原料	成分
原料	材料
服裝	衣装
服裝	装束
服裝	仮装
服裝	服飾
服裝	コスチューム
服裝	洋服
服裝	被服
雷達	レーダー
排球	バレーボール
狙擊	スナイパー
滅絕	絶滅
滅絕	消滅
勞動	分娩
勞動	労働
溫泉	温泉
溫泉	スパ
航行	ナビゲーション
航行	セーリング
航行	航法
航行	船出
流亡	亡命
流亡	流罪
吹	ブロー
吹	ブロウ
傾向	傾向
修復	維新
修復	フィックス
修復	復元
修復	修理
修復	修復
修復	修正
癌	癌腫
瓶	ボトル
領地	縄張り
飲食	料理
飲食	献立
飲食	食べる
飲食	国会
飲食	ダイエット
輻射	放射能
輻射	放射
輻射	放射線
驚	ショック
驚	衝撃
女友	ガールフレンド
奶	牛乳
奶	ミルク
壓	圧力
壓	気圧
季節	シーズン
季節	季節
生態	生態学
生態	エコロジー
資深	上級
資深	先輩
雞	ニワトリ
雞	チキン
雞	鶏肉
直升機	チョッパー
直升機	ヘリコプター
夥伴	パートナー
床	ベッド
信任	トラスト
信任	信頼
袋	かばん
袋	バッグ
踢	キック
重力	重力
重力	グラビティ
判斷	判決
判斷	審判
判斷	判断
散文	散文
秘書	秘書
棕	ブラウン
棕	褐色
棕	茶色
藥物	ドラッグ
藥物	医学
藥物	薬物
複製	模写
複製	重複
複製	コピー
複製	生殖
複製	複製
複製	複写
捐	寄付
捐	募金
江蘇	江蘇省
哈佛	ハーバード
指揮官	司令官
院校	カレッジ
院校	大学
提議	提案
提議	命題
提議	プロポーズ
交付	配達
交付	デリバリー
交付	届け
交付	配送
交付	配信
傷害	害する
吉爾	ジル
古蹟	モニュメント
古蹟	記念碑
類別	分類
類別	区分
類別	クラス
類別	階級
類別	カテゴリー
類別	カテゴリ
復活	復活
邊緣	エッジ
邊緣	フリンジ
酷	涼しい
酷	クール
辭職	辞職
辭職	辞任
辭職	辞表
視覺	ヴィジョン
視覺	ビジョン
視覺	ビジュアル
精英	エリート
虛構	フィクション
可惜	哀れみ
支線	フィーダー
假期	休暇
假期	バケーション
假期	祝日
假期	ホリデー
假期	バカンス
假期	休日
軍人	兵隊
軍人	兵士
樊	ファン
採訪	インタビュー
採訪	面接
加藤	加藤
芯	ハート
結局	エンディング
旋轉	回転
旋轉	ローテーション
旋轉	スピン
額外	エクストラ
平日	平日
美食	料理
札幌	札幌
軍官	役員
軍官	巡査
近期	最近
具體	特定
具體	コンクリート
黎巴嫩	レバノン
領導人	リーダー
比率	比率
作業	宿題
武力	フォース
醫師	医師
醫師	先生
醫師	ドクター
醫師	医者
三重	トリプル
器官	オルガン
器官	機関
器官	臓器
山谷	谷間
山谷	バレー
創意	創造力
創意	創造性
創意	クリエイティブ
牛津	オックスフォード
當代	現代
協定	合意
協定	協定
客機	旅客機
規格	仕様
規格	スペック
終止	終端
終止	解雇
波士頓	ボストン
雕	タカ
雕	ワシ
雕	イーグル
雕	ホーク
地獄	ヘル
地獄	地獄
混淆	紛らわしい
混淆	混同
混淆	混乱
混淆	ややこしい
參數	引数
參數	パラメータ
參數	論証
降雨量	降雨量
降雨量	降雨
火力	火力
共用	共有
共用	シェア
插曲	エピソード
樂器	道具
樂器	計器
樂器	楽器
清理	整理
清理	クリーンアップ
來賓	ゲスト
雕塑	彫像
雕塑	彫刻
藝術家	芸術家
藝術家	アーティスト
命運	運命
料理	料理
房子	ハウス
房子	家屋
崇拜	崇拝
崇拜	カルト
積分	ポイント
積分	積分
擔心	心配
例外	例外
布拉格	プラハ
指南	ガイド
插入	挿入
明珠	真珠
螺旋	渦巻
螺旋	スパイラル
螺旋	螺旋
螺旋	ヘリックス
珊瑚	サンゴ
財務	ファイナンス
財務	金融
財務	財政
財務	財務
預測	予報
預測	予言
預測	投影
預測	予測
期望	期待
準則	指針
準則	ガイドライン
呼籲	アピール
呼籲	抗告
呼籲	上告
公平	フェア
公平	持分
公平	エクイティ
電池	バッテリー
電池	電池
電池	バッテリ
尋求	シーク
窄	狭い
失蹤	失踪
獵人	狩人
獵人	ハンター
葡萄	ブドウ
葡萄	ぶどう
老闆	ボス
皇室	王族
皇室	ロイヤル
零售	小売
每小時	毎時
每小時	時給
富豪	ボルボ
靈魂	ソウル
靈魂	霊魂
杏	アプリコット
杏	あんず
殼	貝殻
殼	シェル
工程師	エンジニア
祖母	おばあさん
祖母	祖母
春天	スプリング
用法	使い方
吋	インチ
神戶	神戸
手術	オペレーション
手術	手術
手術	操作
手術	作戦
手術	運営
手術	運行
行李	荷物
旁白	語り手
司徒	ステュアート
司徒	スチュアート
練習	運動
練習	エクササイズ
練習	行使
練習	練習
機體	生物
分散	散逸
氮	窒素
同性戀	ゲイ
同性戀	同性愛
抱	ハグ
圖書	書籍
圖書	帳簿
圖書	ブック
圖書	書物
岡山	岡山
情感	感情
鴨	カモ
鴨	ダック
鴨	アヒル
妖	悪魔
妖	悪霊
桂林	桂林市
臉	フェイス
開啟	オープン
開啟	開館
開啟	開く
效應	エフェクト
效應	効果
交叉	十字
交叉	クロス
交叉	クロスオーバー
交叉	十字架
分數	得点
分數	分数
分數	スコア
遊客	ツーリスト
遊客	ビジター
遊客	観光
分行	ブランチ
分行	支部
分行	支店
分行	支社
騎兵	騎兵
騎兵	トルーパー
強制	強要
強制	強制
女生	女の子
女生	ガールズ
女生	少女
女生	ガール
蒸汽	スチーム
蒸汽	蒸気
鍵	結合
鍵	キー
鍵	ボンド
人事	人材
人事	職員
可汗	カーン
可汗	ハーン
氯	塩素
干涉	干渉
經理	マネージャー
經理	支配人
經理	店長
經理	マネージャ
雅各	ジャコブ
小提琴	バイオリン
小提琴	フィドル
小提琴	ヴァイオリン
射手	シューティング
假日	休日
假日	ホリデー
假日	祝日
到期	締切
到期	失効
到期	満期
物業	プロパティ
物業	財産
預算	予算
釜山	プサン
閃	フラッシュ
雕像	彫像
敘利亞	シリア
收回	引き出す
錄影帶	ビデオテープ
短期	短い
短期	ショート
貨	貨物
首頁	ホームページ
首頁	帰宅
首頁	ホーム
首頁	自宅
西貢	サイゴン
引力	重力
引力	グラビティ
德文	ドイツ語
市鎮	市町村
市鎮	自治体
免疫	免疫
編碼	コーディング
編碼	コード
編碼	符号
吸	吸う
啤酒	ビール
星期五	金曜日
星期五	フライデー
上訴	アピール
上訴	抗告
上訴	上告
老虎	トラ
老虎	タイガース
老虎	タイガー
敏感	感受性
敏感	感度
敏感	感性
向前	フォワード
向前	進む
向前	転送
時裝	ファッション
富有	金持ち
富有	リッチ
火炮	大砲
每周	週刊
每周	週間
每周	毎週
每周	ウィークリー
魔女	魔女
魔女	ウィッチ
擴張	膨張
斷	壊れた
甲基	メチル
腦	脳みそ
進步	プログレス
進步	進捗
進步	プログレッシブ
進步	経過
德語	ドイツ語
強度	強度
強度	光度
強度	体力
強度	輝度
白金	プラチナ
白金	白金
走廊	回廊
走廊	廊下
拆卸	解体
資料庫	データベース
金額	金額
金額	合計
表格	フォーム
表格	形式
表格	形態
創新	革新
創新	イノベーション
修正案	改正
辦事處	事務所
辦事處	事務局
辦事處	オフィス
佛山	仏山
叉	フォーク
海灣	ガルフ
希爾	ヒル
錄音	レコーディング
錄音	録音
錄音	記録
農民	農民
農民	百姓
農民	農家
赤道	赤道
回憶	メモリ
回憶	記憶
回憶	メモリー
回憶	思い出
有趣	興味深い
有趣	面白い
有趣	おもしろい
雕刻	刻む
雕刻	切り分け
雕刻	彫刻
金色	黄金
金色	ゴールデン
金色	ゴールド
理性	理性
理性	理由
外表	出演
外表	外側
外表	外観
承諾	コミットメント
承諾	収容
承諾	約束
吉田	吉田
稅	租税
稅	税金
缸	円柱
缸	シリンダー
催化	触媒
橘	立花
橘	オレンジ
總是	いつも
總是	常に
彩色	カラー
工會	ユニオン
蜘蛛	クモ
蜘蛛	スパイダー
離婚	離婚
享受	楽しみ
享受	楽しむ
鑽石	ダイアモンド
鑽石	ダイヤモンド
吉祥	吉祥
吉祥	幸先
週五	金曜日
週五	金曜
週五	フライデー
三菱	三菱
肌	マッスル
肌	筋肉
美女	美しい
美女	美容
美女	ビューティフル
美女	美女
美女	美人
神經	神経
助手	アシスタント
助手	助手
溫哥華	バンクーバー
地帶	ストリップ
混亂	混同
混亂	混沌
混亂	混乱
混亂	カオス
大堂	ロビー
裸	ヌード
校區	キャンパス
馬丁	マーチン
馬丁	マーティン
衝擊	ショック
衝擊	インパクト
衝擊	衝撃
廠商	製造業者
廠商	ベンダー
廠商	メーカー
光學	光学
卵	エッグ
氟	フッ素
出租	タクシー
欄	カラム
軍方	軍隊
軍方	軍事
真理	真実
真理	真理
街頭	ストリート
街頭	通り
伺服器	サーバー
伺服器	サーバ
背面	しっぽ
醫藥	医学
推理	推論
變更	編集
變更	バリエーション
變更	変化
變更	変更
變更	チェンジ
新手	ビギナー
新手	初心者
新手	ルーキー
燒	火傷
燒	燃える
燒	バーニング
燒	やけど
燒	焼き
膠	歯茎
膠	ゲル
膠	ガム
膠	ジェル
渡邊	ワタナベ
渡邊	渡辺
分歧	発散
分歧	不一致
分歧	差分
分歧	差異
分歧	違い
怪物	モンスター
怪物	怪獣
怪物	怪物
書寫	執筆
書寫	筆記
書寫	書き込み
色情	ポルノ
色情	ポルノグラフィ
色情	エロ
股東	株主
曝光	露出
曝光	被曝
曝光	照射
飛行員	パイロット
劫	強盗
鎖	錠前
鎖	ロック
人群	群衆
人群	人混み
人群	群集
土壤	土壌
再生	リバース
水中	水中
重組	更生
重組	再編
放映	スクリーニング
放映	選考
四方	カルテット
消費	消費
摩爾	ほくろ
摩爾	ムーア
摩爾	モグラ
洗	洗浄
洗	ウォッシュ
洗	洗う
洗	洗濯
磨	グラインド
磨	グラインドコア
隕石	流星群
隕石	メテオ
隕石	隕石
井上	井上
摧毀	破壊
船隻	ボート
船隻	艦船
船隻	船舶
否定	否定
否定	ネガ
否定	マイナス
否定	ネガティブ
個別	個別
個別	個人
個別	個別に
橙	オレンジ
嚴格	厳重
排序	ソート
漆	ワニス
漆	ラッカー
物體	オブジェクト
牙齒	歯科
薰	かおる
元件	元素
元件	要素
元件	エレメント
元件	コンポーネント
協調	調整
協調	連携
協調	座標
協調	コーディネート
新秀	ルーキー
尾巴	尾翼
尾巴	しっぽ
妖怪	モンスター
妖怪	怪獣
妖怪	怪物
度假	休暇
度假	バケーション
度假	ホリデー
度假	祝日
度假	バカンス
度假	休日
扣	バックル
客戶	顧客
客戶	カスタマー
客戶	クライアント
喙	くちばし
諾貝爾	ノーベル
治理	ガバナンス
選民	有権者
演技	演技
勇者	ブレイブ
勇者	勇敢
勇者	勇者
肌肉	マッスル
肌肉	筋肉
火車	列車
火車	トレイン
火車	電車
蛙	カエル
千年	ミレニアム
觀看	時計
觀看	腕時計
重型	重い
重型	ヘビー
水手	船員
答案	答え
答案	答弁
答案	回答
領先	リード
參議院	元老院
樟	樟脳
武田	竹田
武田	武田
鏡頭	カメラ
鏡頭	ショット
鏡頭	レンズ
頭銜	タイトル
頭銜	役職
頭銜	称号
時尚	オシャレ
時尚	ファッション
時尚	スタイリッシュ
時尚	おしゃれ
審判	審判
審判	試練
審判	裁判
審判	公判
審判	トライアル
軍艦	軍艦
三角形	三角形
三角形	トライアングル
民生	生計
透明	透明
透明	透明度
督察	検査官
同行	ピア
野生	野生
野生	ワイルド
大理	ダリ
混凝土	コンクリート
碘	ヨード
鈴	ベル
秋季	落下
秋季	落ちる
同事	同僚
裁定	裁定
裁定	支配
裁定	審判
封鎖	封鎖
珍珠	真珠
群眾	群衆
群眾	人混み
群眾	群集
人民幣	人民元
棉	木綿
棉	コットン
外交官	外交官
終極	アルティメット
安置	配置
旋律	メロディー
旋律	メロディ
召喚	召喚
奔	ベン
底部	ボトム
衣服	被服
衣服	洋服
認可	認定
終結	終了
終結	エンド
風險	リスク
象棋	チェス
剪	切り取り
剪	カット
標記	マークス
標記	マーカー
標記	マーク
標記	マルク
標記	マーキング
標記	タグ
鋼鐵	スチール
鋼鐵	アイロン
鋼鐵	鋼鉄
新教	プロテスタント
火焰	火災
火焰	火事
火焰	炎上
火焰	ファイア
雲南	雲南省
魁北克	ケベック
速率	レート
速率	評価
年級	グレード
年級	学年
聚會	パーティ
聚會	パーティー
夜間	夜間
轟炸	砲撃
轟炸	爆撃
捐款	寄付
捐款	募金
捐款	貢献
烈士	殉教
寵物	ペット
春季	スプリング
夫婦	カップル
亞美尼亞	アルメニア
科爾	コール
屍	死体
晶片	チップ
遷移	移転
遷移	移行
螢幕	画面
螢幕	スクリーン
真菌	菌類
號碼	ナンバー
號碼	番号
號碼	数値
馬其頓	マケドニア
俄亥俄州	オハイオ
羽毛	フェザー
羽毛	羽毛
羽毛	羽根
消耗	消費
期限	締切
期限	締め切り
期限	期限
期限	期間
肥	脂肪
總計	合計
社交	ソーシャル
害怕	怖い
害怕	怖がる
概率	確率
繪畫	図面
繪畫	ドローイング
繪畫	描画
繪畫	絵画
登山	クライミング
登山	登山
登山	ハイキング
溶液	溶液
溶液	ソリューション
吸血鬼	ヴァンパイア
吸血鬼	吸血鬼
被告	被告
被告	被告人
河谷	谷間
河谷	バレー
暱稱	ニックネーム
暱稱	愛称
美人	美容
血管	静脈
潛艇	潜水艦
人造	人工
貝克	ベーカー
彈藥	弾薬
中止	中止
中止	中断
決戰	決闘
殺手	キラー
偷	窃盗
偷	盗む
隱藏	隠し
隱藏	ヒデ
隱藏	隠す
暗示	ヒント
星星	スターズ
星星	恒星
星星	スター
多元	複数
多元	多元的
道具	小道具
合金	合金
矮	小人
矮	ドワーフ
矮	短い
矮	ショート
討伐	十字軍
酒吧	バー
酒吧	パブ
酒吧	バール
撤回	脱退
撤回	引き出す
撤回	撤退
撤回	離脱
石川	石川
延續	続き
延續	継続
延續	続行
盲	盲人
盲	ブラインド
民兵	民兵
制服	制服
制服	ユニフォーム
介面	インタフェース
介面	インターフェース
場景	現場
場景	シーン
場景	場面
炮兵	大砲
痛	疼痛
痛	痛み
痛	ペイン
證券	証券
星雲	星雲
包裹	パッケージ
包裹	折り返し
包裹	包む
包裹	ラッピング
包裹	小包
包裹	包み
配樂	サウンドトラック
山區	山脈
山區	山地
山區	マウンテン
進口	輸入
中型	ミディアム
中型	メディア
匿名	匿名
匿名	アノニマス
四名	フォー
