年	año
適合	apropiado
適合	adecuados
弟子	discípulo
弟子	discípulos
價格	precio
價格	precios
精選	destacadas
精選	destacado
精選	destacados
精選	destacada
銅	bronce
銅	cobre
單一	sencillo
單一	soltera
單一	soltero
象徵	símbolo
象徵	signatura
象徵	simbólico
象徵	simbólica
部署	despliegues
部署	desplegando
部署	desplegado
部署	desplegar
部署	despliegue
部署	desplegarse
精靈	elfo
精靈	duende
精靈	elfos
精靈	genio
百年	centenario
事實	hechos
事實	verdad
巨人	gigantes
巨人	gigante
無限	infinitas
無限	infinito
無限	ilimitado
無限	infinitos
無限	ilimitada
無限	ilimitados
無限	infinita
無限	ilimitadas
無限	infinidad
王后	reina
永遠	siempre
充分	completamente
充分	totalmente
充分	plenamente
難	duros
難	difíciles
難	dura
難	dificil
難	duro
難	difícil
污染	polución
污染	contaminación
更高	superior
戰術	táctico
戰術	tácticas
戰術	táctica
戰術	tácticos
宿舍	dormitorio
宿舍	hostal
宿舍	albergue
宿舍	dormitorios
追求	persecución
衛生	sanitarios
衛生	sanitario
衛生	saneamiento
衛生	higiene
衛生	sanitarias
衛生	higiénico
衛生	higiénicos
南斯拉夫	yugoslavia
南斯拉夫	yugoslava
南斯拉夫	yugoslavo
南斯拉夫	yugoslavos
符號	símbolo
符號	signatura
符號	símbolos
誕生	nacidos
誕生	nacido
議題	temáticas
議題	temas
議題	tópicos
緬甸	birmania
七十	setenta
規範	normativa
規範	norma
規範	normativas
規範	normativo
環球	globo
環球	universales
燈	lampara
燈	luces
燈	lámpara
交換	cambio
交換	intercambio
交換	intercambiar
交換	canje
交易所	intercambio
交易所	intercambios
交易所	cambio
交易所	canje
印象	impresión
印象	impresiones
乳	leche
提前	temprano
提前	primeros
神奇	magia
神奇	asombroso
神奇	sorprendente
神奇	magico
神奇	mágicos
神奇	mágico
神奇	mágica
神奇	increible
神奇	increíble
週刊	semanario
週刊	semanales
週刊	semanalmente
週刊	semanal
示威	demostraciones
示威	manifestaciones
示威	manifestación
示威	demostración
吐	escupe
吐	asador
吐	escupir
吐	saliva
撞擊	repercusión
撞擊	colisiones
撞擊	impacto
撞擊	colisión
傑出	pendiente
傑出	excepcional
外圍	periférico
外圍	periférica
外圍	periféricos
外圍	periféricas
外圍	periferia
日子	dias
日子	días
日子	jornadas
種子	semilla
種子	semillas
樂園	paraíso
樂園	paraiso
排行	clasificación
標本	especímenes
標本	ejemplares
標本	espécimen
瀑布	catarata
瀑布	cae
瀑布	cataratas
瀑布	cascadas
瀑布	caídas
瀑布	cascada
呈現	presentando
呈現	presentamos
維護	mantenimiento
維護	manutención
搜尋	busque
搜尋	busqueda
搜尋	buscar
搜尋	buscando
搜尋	buscador
搜尋	búsqueda
米蘭	milán
德州	tejas
威尼斯	venecia
答	contesta
答	responder
答	contestar
答	respuesta
折	pliegue
折	doblar
鼓勵	alentadora
鼓勵	estímulo
鼓勵	alentando
鼓勵	animar
鼓勵	aliento
鼓勵	alentador
鼓勵	animo
鼓勵	alentar
考試	exámen
考試	examen
考試	reconocimientos
考試	exámenes
展覽	exhibición
展覽	exhibiciones
展覽	exposición
展覽	exposiciones
展覽	exponer
柬埔寨	camboya
競選	campaña
輸入	entrada
輸入	aporte
輸入	ingresa
輸入	entra
輸入	aportación
輸入	ingresar
輸入	insumos
輸入	entrar
處理器	procesador
處理器	procesadores
處理器	transformador
無效	nulo
無效	inválidos
無效	nula
無效	inválido
無效	inválida
無效	nulos
無效	nulas
贊助	patrocinado
贊助	patrocinados
贊助	patrocinios
贊助	auspicio
贊助	patrocinador
贊助	auspiciado
贊助	patrocinada
贊助	patrocinio
保守	conservadoras
保守	conservadora
保守	conservador
保守	conservadores
幫忙	ayuda
幫忙	ayudar
競賽	competencias
競賽	concurso
競賽	competición
競賽	carrera
競賽	raza
競賽	certamen
競賽	competiciones
競賽	concursos
競賽	competencia
競賽	oposiciones
場地	sedes
場地	lugar
首歌	cancion
首歌	canción
首歌	canto
神話	mitos
神話	mito
神話	mitología
超人	supermán
股票	saldos
股票	poblaciones
股票	acciones
股票	existencias
股票	caldo
實現	realización
實現	lograr
實現	logrando
八十	ochenta
出局	afuera
出局	fuera
瑪麗	maría
瑪麗	maria
平等	igualdad
平等	igual
平等	iguales
價	precio
價	precios
聽	escucha
聽	escuchen
聽	escuche
聽	escuchar
困難	dificultad
困難	dificultades
困難	difíciles
困難	dificil
困難	difícil
機車	moto
機車	motos
機車	motocicleta
機車	locomotora
機車	locomotoras
危險	peligro
危險	peligroso
危險	peligrosa
危險	peligrosas
危險	peligrosos
強大	fuertes
強大	potente
強大	poderosa
強大	poderosas
強大	poderosos
強大	poderoso
強大	fuerte
技巧	habilidades
技巧	técnica
技巧	tecnica
技巧	habilidad
技巧	destreza
技巧	trucos
外國	extranjeras
外國	extranjera
外國	extranjeros
外國	extranjero
瓦爾	vicente
帽	gorros
帽	pac
帽	sombrero
帽	gorras
帽	gorro
帽	gorra
帽	capi
帽	tapa
公寓	plano
公寓	condominios
公寓	apartamento
公寓	plana
公寓	departamento
公寓	pisos
公寓	condominio
公寓	piso
公寓	apartamentos
接管	absorción
一面	costado
一面	lateral
一面	laterales
一面	lado
奧運會	olimpiadas
聯絡	contacta
聯絡	contactar
聯絡	contacto
聯絡	contactos
聯絡	enlace
漢語	chino
漢語	chinos
下載	descarga
下載	descargue
下載	bajar
下載	descargando
下載	descargar
下載	descargas
獅子	león
獅子	leones
裡面	dentro
裡面	adentro
梯	escalera
修道院	convento
修道院	abadía
修道院	monasterio
租借	arrendamiento
租借	arriendo
總監	superintendente
地中海	mediterránea
地中海	mediterráneo
釋放	excarcelación
釋放	liberación
釋放	lanzamiento
釋放	soltando
釋放	liberando
戰艦	acorazado
登記	matrícula
登記	registrarse
登記	inscribirse
登記	inscripciones
登記	inscripción
登記	registro
黃色	amarilla
黃色	amarillos
黃色	amarillas
黃色	amarillo
提案	proposición
提案	propuesta
學士	soltero
學士	bachiller
學士	licenciatura
批判	crítico
批判	críticos
批判	críticas
批判	crítica
批判	critica
批判	criticas
傀儡	títeres
傀儡	marioneta
傀儡	marionetas
傀儡	títere
馬力	potencia
熟悉	familiarizados
熟悉	familiarizado
直徑	diámetros
直徑	diámetro
聖經	biblia
聖經	bíblica
聖經	bíblico
聖經	bíblicos
村民	aldeano
村民	paisanos
村民	aldeanos
威爾斯	gales
招生	matrícula
招生	admisiones
招生	admisión
招生	matriculados
招生	matriculación
招生	inscripción
拱	arco
現有	existentes
現有	existente
銀河	galáctica
銀河	galaxia
銀河	galáctico
寶貝	bebé
寶貝	nena
寶貝	nene
寶貝	bebe
創辦人	fundadores
創辦人	fundadora
創辦人	fundador
公會	gremio
地質	geología
地質	geológica
地質	geológico
地質	geológicos
地質	geológicas
政委	comisario
實力	fortaleza
實力	fuerza
初步	preliminares
初步	preliminar
初步	anteproyecto
獎金	bono
獎金	extra
獎金	primas
獎金	bonificaciones
獎金	bonos
獎金	bonificación
營業	abrir
營業	abre
營業	abierta
營業	abra
營業	abierto
閱讀	leer
閱讀	leyendo
閱讀	lecturas
閱讀	lectura
閱讀	leído
閱讀	lea
檢查	comprobar
檢查	comprobando
檢查	comprobación
檢查	compruebe
檢查	cheque
增強	mejorada
增強	mejoras
增強	mejorado
聲稱	reclamó
聲稱	alegando
聲稱	reclamando
聲稱	reclamadas
聲稱	reclamada
聲稱	reclamado
聲稱	alegó
恐	terrorismo
神父	padre
沙漠	desierto
沙漠	desiertos
腿	patas
腿	piernas
腿	pierna
腿	pata
障礙	barreras
障礙	obstáculo
障礙	obstáculos
炸彈	bomba
炸彈	bombardear
炸彈	bombas
空氣	aire
外界	forasteros
小孩	niños
小孩	niño
小孩	ninos
小孩	chaval
小孩	chico
小孩	pibe
法令	decretos
法令	edicto
法令	decreto
多種	multiples
多種	múltiple
多種	múltiples
鰻	anguila
鰻	anguilas
保險	aseguradoras
保險	seguro
保險	seguros
保險	aseguradora
遺址	ruinas
煤	hulla
煤	carbón
慢	despacito
慢	lentitud
慢	lenta
慢	lentos
慢	lento
親自	personalmente
姐姐	hermana
姐姐	hermanita
單打	sencillos
單打	solteros
單打	individuales
子彈	balazo
子彈	bala
週期	ciclo
週期	periodicidad
週期	ciclos
彩虹	arcoíris
彩虹	arcoiris
千瓦	kilovatio
千瓦	kilovatios
賽車	carreras
賽車	regatas
模仿	imitación
模仿	imita
模仿	imitar
模仿	parodia
模仿	imitaciones
一代	generaciones
一代	generación
論壇	foro
論壇	foros
祖先	ancestrales
祖先	ancestros
祖先	antepasados
祖先	ancestro
祖先	antepasado
複雜	complicada
複雜	complejidad
複雜	complejas
複雜	complicado
複雜	complicados
複雜	complejos
複雜	compleja
複雜	complejo
複雜	complicadas
戰略	estrategias
復興	reactivación
復興	renacentista
復興	resurgimiento
復興	renacimiento
個性	individualidad
個性	personalidad
包圍	asedio
包圍	rodear
包圍	rodean
包圍	envolvente
包圍	sitio
教室	aulas
教室	aula
平行	paralelismo
平行	paralelo
平行	paralelos
平行	paralelas
平行	paralela
自主	autónomos
自主	autonomía
自主	autónomo
自主	autónomas
自主	autónoma
預定	reservas
預定	reservar
預定	reserva
寄生	parásito
寄生	parasitarias
寄生	parásitos
歌詞	letra
歌詞	letras
歌詞	lírica
拯救	salvamento
拯救	salvación
拯救	rescatar
拯救	rescate
型態	tipo
型態	escribe
型態	escriba
病人	pacientes
病人	paciente
消防	fuego
消防	incendio
優惠	ofrecimiento
優惠	ofertas
優惠	descuento
優惠	oferta
優惠	preferencias
優惠	ofrezcan
優惠	descuentos
優惠	ofrece
公頃	hectáreas
公頃	hectárea
搖滾	piedra
搖滾	rocas
搖滾	roca
搖滾	balanceo
修訂	revisión
勞工	parto
勞工	laborista
前面	frontal
前面	delantero
前面	fachada
前面	frente
囊	cápsulas
囊	cápsula
寺院	monasterios
寺院	monasterio
執政	gobernando
對外	externamente
織田	aod
專題	tópico
專題	tópicos
專題	temática
專題	tema
專題	temáticas
專題	temas
刊登	publique
刊登	publico
刊登	publicar
未知	desconocidos
未知	desconocido
未知	desconocida
未知	desconocidas
氣候	clima
氣候	climáticas
氣候	climática
頻率	frecuencias
頻率	frecuencia
頻率	periodicidad
里昂	lyon
提醒	recordatorio
提醒	alertas
提醒	recordarles
提醒	recordarle
提醒	recordatorios
提醒	alerta
友好	amigables
友好	amistosa
友好	amistosos
友好	amistoso
友好	amigable
片段	fragmento
片段	fragmentos
割	corten
割	cortar
割	corte
割	corta
泡	burbuja
泡	burbujas
政治局	politburó
諮詢	consultas
諮詢	consulta
諮詢	consultar
諮詢	consulte
分離	separado
分離	separada
分離	separar
分離	separación
分離	secesión
分離	separados
品質	calidad
品質	cualidades
品質	cualidad
品質	calidades
可見	visibles
液	liquido
液	fluidos
液	líquido
液	fluida
液	líquidos
液	fluido
液	líquida
詩人	poeta
詩人	poetisa
辦法	método
資產	activos
資產	activo
資產	bienes
紀錄片	documental
紀錄片	documentales
名詞	sustantivo
停車場	estacionamiento
停車場	aparcamiento
停車場	parqueo
羅伯特	roberto
孟加拉	bengala
夢想	soñar
夢想	sueña
夢想	sueños
夢想	sueño
夢想	ensueño
覆蓋	cubrir
覆蓋	anular
覆蓋	portada
覆蓋	tapa
覆蓋	cubierta
寫作	escribo
寫作	escritura
寫作	redacción
寫作	escribe
寫作	escribir
寫作	escribiendo
寫作	escriba
弦	cadena
弦	acorde
弦	cuerda
弦	acordes
溝通	comunicar
溝通	comunicarse
溝通	comunicación
溝通	comunicacion
溝通	comunicando
日記	revista
日記	agenda
日記	diario
大地	tierra
大地	terrestre
醇	alcoholes
苯	benceno
即時	inmediato
即時	inmediatas
即時	inmediata
即時	instantánea
即時	instante
即時	instantáneo
即時	instantáneas
即時	inmediatos
世代	generaciones
世代	generación
王室	regalías
王室	realeza
航空母艦	porteador
航空母艦	transportista
航空母艦	portaaviones
移植	trasplantes
移植	trasplante
四季	temporadas
四季	estaciones
決議	resolución
考古	arqueología
考古	arqueológico
考古	arqueológicos
考古	arqueológica
考古	arqueológicas
姐妹	hermana
姐妹	hermanas
草原	praderas
草原	estepa
草原	sabana
草原	pastizales
草原	prados
草原	sabanas
草原	pradera
發音	pronunciar
發音	pronunciación
發音	pronuncian
發音	pronuncia
發音	pronunciados
發音	pronunciada
發音	pronunciado
高地	alturas
高地	altiplano
王位	trono
省份	provincia
省份	provincias
試驗	ensayos
試驗	experimento
試驗	ensayo
試驗	experimentar
試驗	probando
試驗	prueba
試驗	experimentación
試驗	probar
試驗	pruebas
試驗	experimentos
習慣	costumbres
習慣	hábito
習慣	hábitos
酮	cetona
資金	fondos
脫	tiras
脫	tira
脫	striptease
脫	franja
忍者	ninjas
機制	mecanismos
機制	mecanismo
禹	cortejar
尤其	especialmente
紙	ponencia
紙	papel
降落	aterrizar
降落	desembarco
降落	aterrizaje
降落	desembarque
降落	aterrizando
鳳凰	fénix
五個	cinco
喜愛	favoritos
喜愛	favoritas
喜愛	favorita
喜愛	favorito
洪水	inundar
洪水	inundando
洪水	inundaciones
洪水	diluvio
洪水	inundación
防衛	defensa
防衛	defensas
相當於	equivalentes
相當於	equivalente
巢	nidos
巢	nido
委託	encargado
委託	encargo
輸出	salida
輸出	producción
首映	estrenos
首映	estreno
水利	hidráulicas
水利	hidráulica
水利	hidráulicos
水利	hidráulico
藥	medicinas
藥	medicina
藥	medicamento
思考	reflexiones
思考	reflejo
思考	pensamiento
思考	pensar
思考	reflexionar
思考	pensando
思考	reflejos
思考	reflexión
慶祝	celebraciones
慶祝	celebran
慶祝	celebrando
慶祝	festejo
慶祝	celebrar
慶祝	celebra
慶祝	celebración
慶祝	celebre
慶祝	festejando
認證	certificado
認證	certifica
認證	titulación
認證	certificada
認證	autenticación
認證	certificación
認證	certificar
認證	certificados
認證	certificaciones
認證	autentificación
認證	certificadas
生長	crecen
生長	creciente
生長	crece
生長	creciendo
生長	crecer
老人	ancianos
老人	anciana
老人	anciano
韻	rima
情人	enamorados
情人	enamorado
情人	amantes
情人	amante
移交	traspaso
晴	soleada
晴	soleado
性別	sexo
性別	genero
性別	sexuales
性別	sexos
性別	género
腔	caries
腔	cavidades
腔	cavidad
雁	gansos
雁	ganso
雁	oca
夏威夷	hawaiana
夏威夷	hawai
夏威夷	hawaiano
夏威夷	hawái
邊界	fronteriza
邊界	frontera
邊界	borde
邊界	limites
邊界	bordes
邊界	límites
邊界	fronterizo
邊界	límite
邊界	fronteras
蛤	almeja
蛤	almejas
普及	universales
差距	brecha
差距	vacíos
差距	brechas
差距	disparidad
差距	lagunas
差距	disparidades
差距	desigualdades
盒	casilla
盒	recuadro
盒	caja
豬	puerco
豬	cochinos
豬	porcino
豬	cerdos
豬	cerda
豬	cerdo
豬	cochino
牆	muro
牆	murallas
牆	pared
牆	muros
牆	paredes
牆	muralla
貨幣	moneda
貨幣	divisas
貨幣	monedas
貨幣	monetarias
貨幣	divisa
貨幣	monetaria
貨幣	monetario
貨幣	monetarios
鶴	grúa
鶴	grúas
鶴	grulla
隸屬	filiación
隸屬	afiliación
企圖	intentos
企圖	intentado
企圖	intento
企圖	tentativa
企圖	tentativas
蝴蝶	mariposas
蝴蝶	mariposa
廢止	derogada
廢止	derogado
廢止	derogación
廢止	revocar
廢止	revocación
廢止	revocado
社團	asociativo
社團	asociaciones
鯨	ballena
鯨	ballenas
優勢	ventaja
優勢	ventajas
優勢	superioridad
優勢	provecho
舌	lengua
現實	realidad
形態	morfología
真相	verdad
步行	paseando
步行	caminando
步行	paseo
步行	caminar
步行	camina
步行	pasear
車廂	compartimento
車廂	compartimiento
韓語	coreana
韓語	corea
韓語	coreanos
韓語	coreano
日圓	yenes
礁	arrecife
礁	arrecifes
基督徒	cristiano
基督徒	cristián
基督徒	cristiana
基督徒	cristian
基督徒	cristianos
假設	hipotética
假設	hipótesis
假設	hipotético
假設	suponiendo
假設	supuestos
假設	hipotéticamente
假設	asumiendo
假設	asunción
假設	suposiciones
假設	suposición
假設	presunciones
搭配	mezcle
搭配	mezcla
搭配	mezclar
轉移	traslados
轉移	traslado
轉移	transferencia
轉移	traspaso
周邊	circundantes
周邊	periférico
周邊	cercano
周邊	periférica
周邊	rodeando
周邊	periféricos
周邊	cercana
周邊	cerca
周邊	periféricas
周邊	periferia
周邊	perímetro
繁忙	ocupado
繁忙	ocupada
繁忙	ocupados
繁忙	ocupadas
清真寺	mezquita
清真寺	mezquitas
排除	excluye
排除	exclusión
排除	exclusiones
排除	excluir
排除	excluya
輔助	complemento
輔助	auxiliar
輔助	subsidiariedad
輔助	auxiliares
輔助	complementar
颶風	huracán
颶風	huracanes
塞爾維亞	serbio
錯	incorrecto
錯	equivocados
錯	mal
錯	equivocado
仿	imitación
仿	imitaciones
曼谷	tailandia
婦女	femenino
婦女	mujer
婦女	mujeres
改進	mejoró
改進	perfeccionamiento
改進	mejorada
改進	mejora
改進	mejorado
改進	mejore
改進	mejoría
改進	mejoras
改進	mejoramiento
改進	mejorando
改進	mejorar
正義	justos
正義	justicia
艇	embarcaciones
艇	lanchas
艇	embarcación
艇	barcos
艇	barca
艇	lancha
艇	botes
艇	bote
艇	barco
模擬	análogo
模擬	simulación
模擬	simulaciones
模擬	analógico
模擬	análoga
模擬	análogos
模擬	analógica
模擬	simulador
伊斯蘭	islámica
伊斯蘭	islamismo
伊斯蘭	islámicas
伊斯蘭	islámicos
伊斯蘭	islámico
貨物	cargamento
貨物	bienes
貨物	carga
貨物	mercancías
局部	parciales
局部	parcialmente
局部	locales
局部	parcial
木星	júpiter
天才	genios
天才	genialidad
天才	genio
天才	talento
天才	talentos
影響力	influenciar
影響力	influir
影響力	repercusión
影響力	impacto
影響力	influencia
影響力	influencias
附屬	afiliados
附屬	afiliado
附屬	afiliadas
海峽	estrecho
海峽	estrechos
海峽	canales
海峽	canalizar
海峽	canal
她們	ellas
她們	ellos
保育	conservación
爪	garra
爪	garras
爪	pata
筆	cercados
筆	lápiz
筆	bolígrafos
筆	pluma
筆	corrales
筆	boli
筆	bolígrafo
筆	plumas
垃圾	papelera
垃圾	basura
垃圾	basuras
孔子	confucio
音樂會	conciertos
音樂會	concierto
推進	avanzando
推進	propulsión
國籍	nacionalidad
轟炸機	bombardero
轟炸機	bombarderos
要塞	baluarte
要塞	fortaleza
要塞	fuerte
平定	pacificación
黎明	amanecer
黎明	alba
巴勒斯坦	palestino
巴勒斯坦	palestina
巴勒斯坦	palestinos
跨越	cruce
跨越	cruzando
跨越	travesía
跨越	cruzar
暖	caliente
暖	cálida
暖	cálido
暖	tibio
刺激	estimula
刺激	estímulo
刺激	estimulación
刺激	estimule
刺激	estimulante
刺激	estimulantes
刺激	estimulando
刺激	estimular
刺激	estímulos
道教	taoísta
道教	taoísmo
借用	endeudamiento
借用	préstamos
借用	empréstitos
借用	empréstito
租	alquiler
租	alquilar
租	renta
勇士	guerrero
勇士	guerrera
勇士	guerreros
姐	hermanita
儲存	almacén
儲存	almacenamiento
儲存	arsenales
儲存	almacenaje
卡通	caricatura
卡通	caricaturas
卡通	viñetas
成年	adultos
成年	adulta
成年	adulto
成年	adultez
職位	puestos
職位	posicion
職位	posiciones
職位	posturas
職位	posición
供奉	ofrendas
繁殖	cría
繁殖	reproducirse
繁殖	mestizo
繁殖	raza
繁殖	reproducción
繁殖	crianza
繁殖	reproductores
繁殖	razas
繁殖	propagación
實驗室	laboratorios
實驗室	laboratorio
敘述	descriptiva
敘述	narrativas
敘述	narrativa
敘述	descriptivo
敘述	descriptivos
敘述	narración
水晶	cristal
水晶	cristales
跟隨	siga
跟隨	seguir
跟隨	sigue
跟隨	sigan
秘魯	perú
反射	reflejo
反射	reflexiones
反射	reflectante
反射	reflexionar
反射	reflejos
反射	reflexión
那個	eso
那個	que
訊號	señal
訊號	señales
血液	sangre
後方	trasero
後方	traseros
後方	trasera
後方	retaguardia
日常	cotidiana
日常	cotidiano
依靠	confiando
主人	máster
主人	amo
主人	maestro
審查	revisión
審查	opiniones
審查	reseña
審查	reseñas
審查	críticas
審查	revisar
審查	censura
審查	examen
分解	descomposición
福音	evangelio
可能性	probabilidades
可能性	posibilidad
可能性	posibilidades
可能性	probabilidad
較高	superior
標示	marcación
標示	marca
標示	marcado
標示	marcos
標示	marcar
經濟學	económicas
經濟學	económico
經濟學	economía
草地	praderas
草地	hierba
草地	pasto
草地	césped
草地	pastizales
草地	prados
草地	prado
草地	pradera
中午	mediodía
減	menos
減	disminuye
減	disminuir
減	descenso
減	disminución
談判	negocia
談判	negociación
談判	negocian
談判	negociando
談判	negociaciones
談判	negociar
流通	fluir
流通	circulación
流通	flujo
流通	circulante
流通	caudal
流通	circule
流通	circula
流通	tirada
流通	circulando
流通	circulen
費用	costos
費用	coste
費用	honorarios
費用	tarifas
費用	cuota
費用	gastos
費用	tasa
費用	costo
費用	tasas
費用	costes
購物	tiendas
購物	compras
購物	tienda
天氣	clima
天氣	tiempo
天氣	meteorología
最少	mínimo
最少	mínima
最少	mínimos
最少	minimo
最少	mínimas
撤銷	evitar
撤銷	deshacer
撤銷	revocar
撤銷	revocación
撤銷	evitación
外觀	aspecto
外觀	apariencia
外觀	aparición
外觀	fachada
外觀	comparecencia
氣體	gasolina
氣體	gases
盟軍	aliadas
盟軍	aliado
盟軍	aliados
盟軍	aliada
灰色	grises
灰色	gris
灰色	canas
累積	acumular
累積	acumulado
累積	acumulada
累積	acumulativo
累積	acumulativos
累積	acumulan
累積	acumulados
累積	acumulación
累積	acumularse
累積	acumuladas
秩序	pedido
秩序	pedidos
秩序	ordenar
秩序	encargo
秩序	orden
蘇丹	sudán
侵略	agresión
侵略	invasión
侵略	agresiones
侵略	agresividad
侵略	invasiones
監獄	carcel
監獄	cárcel
監獄	cárceles
監獄	prisiones
監獄	prisión
促進	promocionar
促進	promoviendo
促進	promocionando
區間	intervalo
邊境	fronteriza
邊境	frontera
邊境	borde
邊境	bordes
邊境	fronterizo
邊境	fronteras
獵	cacería
獵	cazo
獵	caza
獵	cazar
獵	cazando
遺產	sucesión
遺產	legado
遺產	patrimonio
遺產	herencia
俄國	rusia
獨特	único
獨特	únicos
獨特	únicas
獨特	unica
獨特	única
電氣	eléctrica
電氣	electrica
電氣	eléctrico
電氣	electricidad
電氣	eléctricas
電氣	electrico
眉	cejas
眉	ceja
股權	equidad
為什麼	porqué
評估	evaluación
評估	valoración
評估	evaluaciones
記憶體	rama
記憶體	carnero
記憶體	recuerdos
記憶體	recuerdo
記憶體	memoria
擴展	expandir
擴展	prórroga
擴展	ampliada
擴展	extender
擴展	extendido
擴展	extensión
擴展	expansión
擴展	extendida
擴展	expandirse
擴展	extendidas
擴展	ampliación
擴展	ampliado
擴展	ampliar
飯店	restaurante
飯店	hoteles
飯店	restaurantes
建國	fundar
建國	fundadores
泰山	tarzán
每月	mensualmente
每月	mensuales
每月	mensual
更換	sustituya
更換	sustituir
更換	reemplazo
更換	reemplazar
更換	sustitución
快樂	contento
快樂	alegría
快樂	gozo
快樂	felices
快樂	feliz
快樂	contenta
快樂	alegria
守護	guardián
守護	guardia
守護	guardiana
守護	vigilado
守護	vigilada
守護	tutor
守護	guarda
法語	francesa
法語	franceses
法語	francés
頭部	cabezal
頭部	cabeza
玩具	juguete
玩具	juguetes
盆地	cuencas
盆地	cuenca
增長	crecimiento
粉絲	ventiladores
粉絲	abanico
粉絲	ventilador
粉絲	admiradores
粉絲	aficionados
粉絲	admirador
消除	eliminar
消除	eliminación
拖	remolque
拖	arrastrar
拖	arrastra
拖	grúa
拖	arrastre
畫家	pintor
畫家	pintores
畫家	pintora
消滅	destruye
消滅	destruyan
消滅	exterminio
消滅	destruyen
消滅	destruir
形狀	forma
形狀	formas
兵器	arma
兵器	armas
兵器	armamento
迫害	persecuciones
迫害	persecución
配偶	cónyuge
配偶	cónyuges
配偶	esposos
報紙	periodico
報紙	periódico
報紙	periódicos
天文學家	astrónomos
天文學家	astrónomo
硫	azufre
硫	sulfuro
腰	cintura
強化	refuerzos
強化	mejorada
強化	mejorado
強化	reforzamiento
強化	mejoras
強化	intensificación
強化	refuerzo
地產	inmueble
地產	propiedad
地產	propiedades
天堂	paraíso
天堂	paraiso
天堂	cielo
代表性	representados
代表性	representación
代表性	representaciones
關鍵	clave
關鍵	llave
關鍵	llaves
關鍵	claves
關鍵	tecla
設計師	diseñadores
設計師	diseñador
設計師	diseñadora
框架	marco
框架	marcos
框架	bastidor
框架	bastidores
槍管	cañón
槍管	barril
抑制	inhibición
抑制	represión
抑制	supresión
抑制	frenar
互動	interactivas
互動	interactúa
互動	compromiso
互動	interactivo
互動	interactuar
互動	interacción
互動	interactiva
互動	interactuando
互動	interacciones
互動	interactivos
突擊	agresión
突擊	asalto
西蒙	simón
中等	mediano
中等	moderada
中等	medio
中等	mediana
中等	moderado
中等	moderadas
中等	moderar
中等	médium
中等	moderados
中等	medianas
武士	samurái
淡	pálida
淡	pálido
淡	fundido
淡	desvanecerse
棚	derramada
棚	cobertizo
等於	equivale
等於	iguales
巨星	superestrella
國旗	bandera
充足	suficiencia
酯	éster
判決	juicio
判決	veredicto
判決	sentencia
羅馬尼亞	rumania
羅馬尼亞	rumanía
入境	entrante
入境	entrantes
入境	entrada
案例	casos
案例	estuches
案例	caso
案例	estuche
提示	sugerencia
提示	consejo
提示	pista
提示	indirecta
提示	punta
提示	consejos
提示	sugerencias
提示	propina
提示	propinas
提示	puntas
周圍	alrededor
短暫	transitorias
短暫	transitoria
短暫	transitorios
短暫	transitorio
職員	empleado
職員	escribano
原料	ingredientes
服裝	vestuario
服裝	confección
服裝	trajes
服裝	disfraces
服裝	vestimenta
服裝	indumentaria
服裝	ropa
服裝	traje
服裝	disfraz
服裝	ropas
雷達	radares
排球	voleibol
狙擊	francotirador
狙擊	tirador
狙擊	francotiradores
滅絕	extinción
滅絕	exterminio
滅絕	extinta
滅絕	extinguido
滅絕	extinto
納粹	nazis
納粹	nazismo
勞動	parto
勞動	laborista
溫泉	balnearios
溫泉	balneario
航行	navegar
航行	velero
航行	navegando
航行	navegación
航行	vela
券	comprobante
券	vales
流亡	exiliado
流亡	destierro
流亡	exiliados
流亡	exilio
吹	soplar
吹	sopla
傾向	tendencia
傾向	inclinaciones
傾向	propensión
傾向	inclinación
修復	restablecimiento
修復	reparación
修復	reparar
修復	restauración
修復	fijar
修復	arreglar
修復	reparaciones
九十	noventa
癌	cáncer
瓶	biberón
瓶	botella
瓶	frasco
領地	territorio
飲食	comiendo
飲食	dieta
飲食	comer
飲食	dietética
飲食	gastronomía
飲食	cocina
社會主義	socialismo
社會主義	socialista
社會主義	socialistas
輻射	radioactivo
輻射	radiactiva
輻射	radiactivo
輻射	radiaciones
輻射	radiactivos
輻射	irradiación
輻射	radiación
輻射	radiactividad
輻射	radioactividad
驚	conmoción
驚	choque
驚	sorprendida
驚	sorprendido
驚	sorprendidos
女友	novia
奶	leche
壓	presión
壓	presiones
壓	presion
季節	temporadas
季節	estaciones
季節	estacional
季節	temporada
季節	estacionales
生態	ecológicos
生態	ecológico
生態	ecología
生態	ecológicas
生態	ecológica
雞	pollos
雞	pollito
雞	gallina
雞	pollo
直升機	helicóptero
直升機	helicópteros
夥伴	socio
夥伴	pareja
夥伴	colaboradores
夥伴	socia
夥伴	socios
夥伴	asociados
夥伴	compañeros
夥伴	compañero
床	lechos
床	cama
床	camas
床	lecho
信任	fideicomiso
信任	confiable
信任	confía
信任	confiado
信任	confianza
信任	confiaba
袋	bolsa
袋	maletas
袋	bolso
袋	bolsas
袋	bolsos
各省	provincias
各省	gobernaciones
踢	patada
踢	patear
踢	patea
重力	gravedad
判斷	juicio
判斷	juzgar
判斷	sentencia
判斷	juzgando
驅逐艦	destructor
驅逐艦	destructores
散文	prosa
秘書	secretaría
秘書	secretario
秘書	secretaria
棕	marrones
棕	marrón
棕	moreno
藥物	droga
