ve	et
gösterdi	montré
klip	pince
akademik	académiques
akademik	universitaire
akademik	académique
akademik	universitaires
hepsi	tous
hepsi	tout
hepsi	toutes
hepsi	toute
istifa	démission
istifa	démissionner
istifa	abandonner
istifa	arrêter
istifa	quitter
istifa	résignation
ebu	abou
idam	exécuter
idam	exécution
idam	exécute
halka	bague
halka	anneau
halka	bagues
halka	anneaux
çek	vérifier
çek	tirer
çek	chèque
çek	tchèque
çek	tchèques
çek	vérifiez
çek	cocher
çek	tirez
şarkılar	chanson
şarkılar	chansons
üyeler	membres
üyeler	adhérents
aracı	outil
aracı	intermédiaire
aracı	intermédiaires
ihtiyaç	nécessaires
ihtiyaç	besoins
ihtiyaç	nécessité
ihtiyaç	besoin
ihtiyaç	nécessaire
ihtiyaç	requis
katılıyorum	acceptez
katılıyorum	convenir
test	tester
test	tests
test	test
test	épreuves
test	essais
test	essai
çoğunluğu	majorité
çoğunluğu	majoritaire
çoğunluğu	majoritaires
zamanlar	fois
akademi	académie
düz	plaine
düz	plats
düz	plat
düz	hétéro
uzunluk	longueurs
uzunluk	longueur
siyaset	politique
siyaset	politiques
tedavi	traitement
tedavi	guérir
tedavi	traitements
tedavi	thérapies
tedavi	remède
tedavi	thérapeutiques
tedavi	guérison
tedavi	soins
tedavi	thérapeutique
tedavi	thérapie
dvd	dvd
karmaşık	complique
karmaşık	compliqué
karmaşık	complexes
karmaşık	compliquées
karmaşık	compliquée
karmaşık	complexe
etrafında	autour
etrafında	alentour
ağ	filet
ağ	réseautage
ağ	reseau
ağ	enchaînement
ağ	réseaux
ağ	réseau
ağ	filets
balık	pêcher
balık	peche
balık	pêche
balık	louche
balık	poisson
balık	poissons
yaşlı	âgées
yaşlı	ancienne
yaşlı	ancien
yaşlı	vieille
yaşlı	vieux
yaşlı	anciens
yaşlı	aîné
alanları	domaines
alanları	zones
alanları	champs
geçersiz	invalide
geçersiz	nul
geçersiz	nuls
geçersiz	nulle
geçersiz	invalides
geçersiz	nulles
oluşturulan	crées
oluşturulan	créés
oluşturulan	créé
oluşturulan	généré
oluşturulan	créée
oluşturulan	générées
oluşturulan	générée
oluşturulan	générés
oluşturulan	crée
basın	presse
basın	média
basın	médias
basın	appuyez
sscb	urss
tarihsel	historique
tarihsel	historiquement
tarihsel	historiques
çelik	acier
karakteri	personnage
karakteri	caractère
cilt	peau
süresi	duree
süresi	durée
değerli	précieux
değerli	précieuses
değerli	valeur
değerli	digne
değerli	précieuse
değerli	dignes
tasarım	concepteur
tasarım	dessinateur
tasarım	dessin
tasarım	créateur
tasarım	conception
tasarım	styliste
tasarım	concevoir
maça	pique
maça	piques
haçlı	croisés
haçlı	croisades
haçlı	croisé
haçlı	croisade
dergi	revue
dergi	magasine
dergi	revues
makedonya	macédoniens
makedonya	macédonien
makedonya	macédoine
makedonya	macédonienne
kaleci	gardien
kaleci	goal
bosna	bosnie
milliyetçi	nationaliste
milliyetçi	nationalistes
esnasında	lors
esnasında	pendant
esnasında	durant
hücre	cellules
hücre	cellule
aslan	léo
aslan	lionne
aslan	léon
dahi	génie
dahi	prodige
dahi	génies
devletler	etats
devletler	états
voleybol	volley
açıldı	ouvert
papa	papes
papa	pape
davet	invitations
davet	invitation
davet	invite
davet	inviter
yerleri	endroits
yerleri	lieux
yerleri	localisations
derecesi	diplôme
derecesi	degré
olmaz	pas
olmaz	non
sabah	matinée
sabah	matinale
sabah	matin
kırım	crimée
emir	commande
emir	commander
emir	ordre
emir	émir
emir	commandes
emir	ordonnances
emir	ordres
gruplar	bandes
gruplar	groupes
ders	leçon
ders	enseignements
ders	leçons
ders	classe
ders	conférence
filmler	films
filmler	cinéma
filmler	ciné
kurt	loup
kurt	louve
kurt	loups
bölümleri	épisodes
bölümleri	chapitres
sistemleri	systèmes
ağaç	sapin
ağaç	bois
ağaç	arborescence
ağaç	arbres
ağaç	arbre
gürcistan	géorgie
gürcistan	georgie
hareketler	mouvement
hareketler	mouvements
hareketler	activité
birleşmiş	unis
birleşmiş	unifiés
birleşmiş	unifiées
birleşmiş	unifié
birleşmiş	unies
birleşmiş	unifiée
birleşmiş	unie
gelecek	avenir
gelecek	futures
gelecek	futurs
gelecek	futur
başkent	capitole
başkent	capitale
başkent	majuscule
başkent	capitaux
komitesi	comité
edebiyatı	littérature
kaydı	enregistrement
ödüller	distinctions
ödüller	récompenses
ödüller	récompense
ödüller	trophées
yazılı	ecrit
yazılı	écrites
yazılı	écrit
yazılı	écrite
yazılı	écrits
tepe	collines
tepe	colline
kelime	mot
kelime	vocabulaire
kelime	mots
miktarda	quantités
miktarda	montants
evet	ouai
evet	ouais
evet	oui
göl	lac
filistin	palestinien
filistin	palestiniens
filistin	palestinienne
sıcaklık	chaleur
sıcaklık	température
sıcaklık	chauffer
sıcaklık	thermique
sıcaklık	températures
ürünleri	produits
aracılığıyla	via
eleme	élimination
eleme	criblage
konuk	invités
konuk	hôtes
konuk	invité
konuk	invitée
geç	ignorer
geç	saut
geç	retard
geç	tardif
geç	tardive
geç	sauter
geç	tard
geç	saute
adım	étape
parlak	brillant
parlak	lumineux
parlak	brillants
ermenistan	arménienne
ermenistan	arménie
coğrafya	géographie
ulaştı	atteints
ulaştı	atteint
kimse	personne
kimse	quiconque
güncel	actuels
güncel	actuel
güncel	actuelle
güncel	courant
şeyh	cheik
şeyh	cheikh
toprakları	sols
toprakları	terres
getirdi	amené
getirdi	apporté
getirdi	amenés
yazılım	logiciels
yazılım	logiciel
topluluk	communaute
topluluk	société
topluluk	communauté
topluluk	communautaire
topluluk	collectivité
asyalı	asiatique
asyalı	asiatiques
geçerek	via
kesinlikle	complètement
kesinlikle	totalement
kesinlikle	définitivement
kesinlikle	absolument
kesinlikle	carrément
kesinlikle	assurément
kesinlikle	exactement
kesinlikle	certainement
tanınan	reconnue
tanınan	reconnu
tanınan	reconnues
tanınan	reconnus
karısı	epouse
karısı	femme
karısı	épouse
matematik	mathématique
matematik	mathématiques
matematik	maths
düşünce	réfléchi
düşünce	pensais
düşünce	pensant
düşünce	pensée
düşünce	penser
düşünce	pensé
düşünce	pensées
düşünce	réfléchir
düşünce	réflexions
kat	rabattre
kat	étage
kat	pli
kat	plié
kat	plancher
kat	etage
kat	pondeuses
kat	calques
kat	sol
kat	couches
kat	plier
iskoçya	ecosse
iskoçya	écosse
hızı	rapidité
hızı	vitesse
hızı	vitesses
politika	politique
politika	politiques
görsel	visuelles
görsel	visuelle
görsel	visuels
görsel	visuel
arazi	terre
arazi	terrain
arazi	terres
seçilen	choisie
seçilen	sélectionnés
seçilen	choisi
seçilen	sélectionnées
seçilen	sélectionné
seçilen	sélectionnée
seçilen	choisis
evlendi	mariées
evlendi	marié
evlendi	mariée
evlendi	mariés
anayasa	constitutionnels
anayasa	constitutionnelle
anayasa	constitutionnel
kariyer	carrière
kariyer	carrières
hedef	cibles
hedef	viser
hedef	cible
hedef	but
hedef	objectif
hedef	cibler
yaşadı	vécue
yaşadı	vécu
kalır	séjours
takımlar	combinaisons
takımlar	équipes
takımlar	costumes
takımlar	equipes
kılıç	sabre
kılıç	épée
kılıç	lame
kılıç	épées
kılıç	glaive
kılıç	sabres
am	chattes
am	minou
am	chatte
hariç	exclus
hariç	sauf
hariç	exclure
hariç	exclu
hariç	exclues
hariç	excluant
hariç	exclue
hariç	excepté
kuantum	quantique
venedik	venise
ağrı	souffrance
ağrı	douleurs
ağrı	douleur
ağrı	peine
teorisi	théorie
teorisi	théories
numara	astuce
numara	numéro
numara	nombre
kimya	chimiques
kimya	chimie
kimya	chimique
yarım	demi
yarım	moitié
harita	plan
harita	carte
harita	cartes
kuvvet	solidité
kuvvet	force
kuvvet	forcer
kuvvet	résistance
değişiklikler	modifications
değişiklikler	changements
türkler	turques
türkler	turcs
türkler	turque
kalma	ot
uzunluğu	longueurs
uzunluğu	longueur
çekilen	filmées
çekilen	filmé
çekilen	filmée
çekilen	filmés
çekilen	tourné
işler	emplois
işler	emploi
kanun	droit
kanun	loi
ayrılmıştır	réservée
ayrılmıştır	réservés
ayrılmıştır	réservé
reklam	publicités
reklam	commerciale
reklam	annonces
reklam	commerciales
reklam	annonce
reklam	publicité
reklam	publicitaire
reklam	commerciaux
şeyler	trucs
şeyler	choses
otomobil	automobile
otomobil	autos
otomobil	voiture
otomobil	voitures
otomobil	automatique
uçuş	vols
uçuş	vol
kutusu	boite
kutusu	boîte
kutusu	coffret
aşık	béguin
aşık	amant
aşık	broyer
aşık	écraser
aşık	amoureux
yarışma	concours
yarışma	compétition
yarışma	concurrence
sahipliği	propriété
sahipliği	appropriation
latince	latines
latince	latine
dönüş	tournez
dönüş	tourne
dönüş	revenir
dönüş	vrille
dönüş	tourner
dönüş	retourner
dönüş	retour
öncesinde	auparavant
öncesinde	avant
şahin	faucon
şahin	buse
sayfada	pages
pasifik	pacifique
işlem	processus
işlem	opération
işlem	procédé
işlem	fonctionnement
işlem	traitement
işlem	transformation
zafer	glorieux
zafer	triomphe
zafer	gloire
zafer	victoires
zafer	victoire
zafer	triompher
arama	appel
arama	appelez
arama	chercher
arama	recherches
arama	appelle
arama	recherchez
arama	appeler
arama	recherche
arama	rechercher
ufak	petits
ufak	petites
ufak	petite
ufak	petit
öncelikle	premier
öncelikle	première
öncelikle	premiers
öncelikle	principalement
öncelikle	premières
istiyorum	envie
istiyorum	veulent
istiyorum	veux
istiyorum	vouloir
istiyorum	voulez
kısım	partie
aktris	actrice
aktris	comédienne
hata	erreurs
hata	insecte
hata	bogue
hata	erreur
hata	punaise
kullanıldı	racheté
kullanıldı	rachetée
kullanıldı	utilisée
kullanıldı	utilisées
kullanıldı	utilisé
kullanıldı	utilisés
ilişkileri	relations
oylama	voter
oylama	vote
oylama	votez
oylama	votants
bina	immeuble
bina	batiment
bina	bâtiment
uzanan	étirement
uzanan	étirer
uzanan	étirements
satış	vente
satış	soldes
satış	ventes
satış	revente
küresel	mondiaux
küresel	globalement
küresel	sphériques
küresel	mondial
küresel	sphérique
küresel	mondiale
hız	rapidité
hız	vitesse
hız	vitesses
toplu	masse
toplu	messe
toplu	agrégée
toplu	agrégats
toplu	agrégé
toplu	agrégés
toplu	vrac
toplu	agrégat
toplu	lot
toplu	agrégées
arasına	mêler
arasına	entre
sekreteri	secrétaire
düştü	déchus
düştü	tomba
düştü	déchu
düştü	tombé
düştü	tombée
düştü	tombés
desteği	assistance
desteği	appui
desteği	soutien
yüksekliği	hauteur
yüksekliği	taille
komşu	voisine
komşu	voisins
komşu	voisines
komşu	voisin
işaret	marqueur
işaret	signe
işaret	marquer
işaret	marque
işaret	panneau
işaret	indice
işaret	clignotant
işaret	signer
işaret	signaux
işaret	signez
şeker	bonbons
şeker	sucre
şeker	sucres
şeker	sucrerie
şeker	bonbon
karanlık	obscurité
karanlık	foncé
karanlık	ténèbres
karanlık	noirceur
karanlık	pénombre
karanlık	noir
karanlık	sombre
başarısız	échouer
başarısız	échec
başarısız	infructueuses
başarısız	défaillance
başarısız	échoué
başarısız	raté
başarısız	échoue
hazırlık	préparatoire
hazırlık	préparation
dolu	chargées
dolu	complète
dolu	chargé
dolu	remplie
dolu	pleine
dolu	complet
dolu	chargée
dolu	rempli
dolu	plein
dolu	remplis
dolu	remplies
dolu	chargés
üstün	supérieurs
üstün	supérieur
üstün	superieure
üstün	superieur
üstün	supérieure
set	ensembles
başlangıç	début
başlangıç	démarrage
başlangıç	commencement
başlangıç	commencer
başlangıç	démarrer
arnavutluk	albanais
arnavutluk	albanie
arnavutluk	albanaise
meyve	fruitières
meyve	fruits
hanım	madame
hanım	mlle
hanım	mademoiselle
hanım	dame
hanım	melle
ilişki	relation
ilişki	relations
birim	unités
birim	unite
birim	unité
ürün	produit
ürün	produits
ürün	élément
hüküm	jugement
hüküm	peine
hüküm	phrase
imzaladı	signé
imzaladı	signés
imzaladı	signée
imzaladı	signées
isimleri	noms
cumhurbaşkanlığı	présidentielle
cumhurbaşkanlığı	présidence
cumhurbaşkanlığı	présidentiel
kaliteli	qualité
kaliteli	qualite
kitapları	ouvrages
kitapları	livres
kasaba	ville
öğrenim	apprentissage
öğrenim	apprendre
çıkardı	extrait
çıkardı	extraite
çıkardı	extraites
anlaşma	traité
anlaşma	accord
anlaşma	aubaine
zayıf	faible
zayıf	faiblesse
zayıf	faibles
zayıf	minces
zayıf	maigres
zayıf	maigre
zayıf	mince
öykü	récit
öykü	conte
kahraman	héros
kahraman	héro
kahraman	héroïne
öldürüldü	tués
öldürüldü	assassinée
öldürüldü	assassinés
öldürüldü	tué
öldürüldü	assassiné
öldürüldü	tuée
demek	moyens
demek	signifie
talep	demander
talep	demandés
talep	demandez
talep	demandée
talep	demande
talep	requête
talep	exiger
talep	demandé
talep	exigences
talep	sollicité
köprüsü	passerelle
köprüsü	pont
yılların	années
yılların	ans
bakan	ministre
bakan	secrétaire
er	privée
er	privés
er	privé
vali	gouverneure
vali	préfet
vali	gouverneur
ağırlık	haltères
ağırlık	poids
hırvatistan	croatie
doktora	doctorat
doktora	doctorants
doktora	doctorats
kurgu	éditer
kurgu	montage
kurgu	édition
kurgu	fictions
profesör	professeure
profesör	professeur
sınırlı	finies
sınırlı	finie
sınırlı	limités
sınırlı	limitées
sınırlı	limité
sınırlı	limitée
başkanlık	présidence
başkanlık	présidentielle
başkanlık	présidentiel
araştırmalar	recherches
araştırmalar	recherche
araştırmalar	enquêtes
seçilmiş	choisie
seçilmiş	sélectionnés
seçilmiş	élue
seçilmiş	choisi
seçilmiş	sélectionnées
seçilmiş	sélectionné
seçilmiş	élu
seçilmiş	élus
seçilmiş	élues
seçilmiş	sélectionnée
seçilmiş	choisis
demiryolu	ferroviaire
kütüphanesi	bibliothèque
kütüphanesi	librairie
barajı	barrage
barajı	digue
tabi	sûr
tabi	sûre
ters	inverser
ters	inversé
ters	inverse
kısmen	partiellement
kısmen	partiels
kısmen	partiel
kısmen	partie
kısmen	moyennement
kısmen	modérément
kısmen	partielle
kısmen	partielles
tipik	typiquement
tipik	typique
tipik	typiques
tipik	habituellement
tipik	généralement
bot	bottes
bot	canot
bot	bottines
bot	amorcer
bot	bateau
bot	botte
bot	démarrer
senaryo	scénario
dev	géante
dev	géant
dev	géants
sözleri	lyrique
sözleri	paroles
gül	riez
gül	rire
gül	rosiers
gül	rosé
gül	rigole
mağlup	perdant
mağlup	perdante
mağlup	défaite
mağlup	vaincus
mağlup	vaincu
mağlup	défaites
mağlup	vaincue
mağlup	vaincre
mağlup	battu
şam	damas
yarış	courses
yarış	course
kapağı	couvercle
şehristanı	comté
esir	détenu
esir	captives
esir	captifs
esir	captif
esir	prisonnier
esir	prisonnière
sanatsal	artistiques
sanatsal	artistique
aşağıda	dessous
musa	moïse
kütle	masse
kütle	messe
hat	calligraphie
hat	ligne
çeviri	traduire
çeviri	traduit
çeviri	traductions
çeviri	traduction
sırp	serbes
sırp	serbe
altıncı	sixième
sesi	son
sesi	voix
sesi	sonore
gösterilmiştir	montré
yolcu	passagers
yolcu	voyageur
yolcu	passagère
yolcu	voyageurs
yolcu	passager
yerler	endroits
yerler	sols
yerler	planchers
yerler	étages
yerler	localisations
yerler	lieux
yerler	destination
hali	tapis
hali	moquette
buğday	grains
buğday	froment
buğday	blé
tanınmış	renommée
tanınmış	renommés
tanınmış	renommé
düşman	ennemis
düşman	hostilité
düşman	hostiles
düşman	ennemies
düşman	ennemi
düşman	ennemie
mali	financière
mali	financier
hristiyan	chrétienne
hristiyan	chrétiens
hristiyan	chrétien
hristiyan	christianisme
tehdit	menacer
tehdit	menace
tehdit	menaces
tehdit	menaçante
tehdit	menaçant
tehdit	menaçants
tehdit	menacent
terim	terme
geliştirme	développer
geliştirme	amélioration
geliştirme	développement
geliştirme	améliorations
geliştirme	améliorer
geliştirme	developpement
pers	persique
pers	persan
pers	perse
pers	perses
teklif	enchère
teklif	offre
teklif	offrir
teklif	offres
teklif	proposition
teklif	enchères
milliyet	nationalités
milliyet	nationalité
ayak	pieds
ayak	pied
boyutlu	multidimensionnelle
boyutlu	dimensionnelle
boyutlu	multidimensionnel
mimari	architecturaux
teşekkür	remercier
lider	meneur
pakistan	pakistanais
pakistan	pakistanaise
pakistan	pakistanaises
vadisi	vallée
siz	toi
siz	tu
siz	vous
sıradan	occasionnel
sıradan	ordinaire
sıradan	décontractée
sıradan	occasionnelle
sıradan	ordinaires
sıradan	occasionnels
sıradan	décontracté
sıklıkla	fréquent
sıklıkla	souvent
sıklıkla	fréquemment
girer	pénètre
sizin	vôtre
sizin	vos
sizin	votre
hayatta	vivante
hayatta	vivantes
hayatta	vivants
hayatta	vivant
bağımsızlık	indépendance
düğün	mariages
düğün	mariage
düğün	noces
bulgar	bulgares
bulgar	bulgare
gençler	adolescents
gençler	jeunesse
gençler	ados
gençler	adolescentes
gençler	garçons
gençler	jeunes
fen	scientifique
fen	sciences
orkestra	orchestre
orkestra	orchestrale
kulesi	tour
atom	atomique
atom	atomiques
atom	atomes
ispanyolca	espagnole
ispanyolca	espagnol
ispanyolca	espagnols
yirmi	vingt
şampiyonluk	championnats
şampiyonluk	championnat
koç	entraîneur
koç	entraineur
istasyonu	gare
bayrak	drapeau
bayrak	drapeaux
bayrak	pavillons
bayrak	pavillon
dağlık	montagneuses
dağlık	montagneuse
dağlık	montagneux
josé	josé
mühendislik	génie
mühendislik	ingénierie
düşen	déchus
düşen	tombant
düşen	déchu
düşen	tombé
düşen	tomber
düşen	chute
düşen	tombée
düşen	tombés
oyunlar	joue
oyunlar	jeux
anlatan	détaillant
performansı	performances
performansı	rendement
bakü	bakou
dedi	disait
dedi	dit
organize	organiser
organize	organisées
organize	organisés
organize	organisatrice
organize	organisé
organize	organisée
çocuklar	enfant
çocuklar	gars
çocuklar	mecs
çocuklar	garçons
çocuklar	enfants
paralel	parallèle
paralel	parallèles
paralel	parallèlement
devrimci	révolutionnaire
devrimci	révolutionnaires
şili	chiliens
şili	chilien
şili	chilienne
şili	chili
zelanda	zélande
aylık	mensuels
aylık	mois
aylık	mensuellement
aylık	mensuelle
aylık	mensuel
erişim	portée
erişim	atteindre
erişim	accès
erişim	accéder
dönen	rotatives
dönen	manège
dönen	filature
dönen	tournant
dönen	carrousel
dönen	tournante
dönen	rotatif
dönen	rotation
zeki	malin
zeki	intelligents
zeki	astucieux
zeki	intelligent
zeki	habile
zeki	ingénieux
zeki	intelligente
zeki	intelligentes
zeki	futé
rıza	consentement
hazır	prête
hazır	pret
hazır	prêtes
hazır	prêt
hazır	prêts
yaşamış	vécue
yaşamış	vécu
kelimesi	mot
yasal	légale
yasal	légales
yasal	légal
yasal	juridique
yasal	légitime
mr	irm
köprü	passerelle
köprü	pont
istedi	demandé
vergi	fiscale
vergi	fiscalité
vergi	taxes
vergi	taxe
vergi	imposition
vergi	impôt
vergi	impôts
asist	assiste
dikey	verticaux
dikey	verticale
dikey	verticalement
dikey	verticales
nadir	rares
nadir	rareté
nadir	saignant
hastalık	maladie
hastalık	maladies
galerisi	gallerie
galerisi	galeries
galerisi	galerie
eşlik	accompagnée
eşlik	accompagné
eşlik	escorte
eşlik	accompagnateur
eşlik	accompagnées
eşlik	accompagnés
eşlik	accompagner
eşlik	accompagnant
eşlik	accompagnement
şekli	forme
hane	chiffre
hane	ménages
hane	ménage
adları	noms
içeriği	sommaire
içeriği	contenus
içeriği	contenu
seçmen	électeur
seçmen	électorat
seçmen	électeurs
devamı	plus
devamı	davantage
kilometre	kilométrage
kilometre	kilomètre
kilometre	kilomètres
etkileri	effets
etkileri	répercussions
ayrıntılı	détaillée
ayrıntılı	élaboré
ayrıntılı	détaillées
ayrıntılı	élaborer
ayrıntılı	détaillé
bayan	madame
bayan	mlle
bayan	mademoiselle
bayan	dame
bayan	melle
konuşma	parlez
konuşma	allocution
konuşma	discours
konuşma	parle
konuşma	parler
dar	étroit
dar	étroite
dar	serrée
dar	étroits
dar	serré
dar	serrés
dar	étroites
asit	acidité
asit	acide
asit	acides
dolar	dollars
ortodoks	orthodoxes
ortodoks	orthodoxie
ortodoks	orthodoxe
sıvı	fluides
sıvı	liquide
sıvı	liquides
sıvı	fluide
cümle	peine
cümle	phrases
cümle	phrase
güvenilir	confiance
güvenilir	fiables
güvenilir	fiable
getiren	apporte
darbe	coup
darbe	incidence
darbe	souffle
darbe	souffler
dikkate	considération
belirtti	indiqués
belirtti	indiqué
belirtti	indiquée
akşam	soirée
akşam	soir
eklendi	ajouté
eklendi	ajoutée
eklendi	ajout
eklendi	ajoutés
bayrağı	drapeau
bayrağı	drapeaux
bayrağı	pavillon
merkezli	centré
merkezli	centrés
merkezli	centrées
merkezli	centrer
merkezli	centrée
kuru	sèches
kuru	sèche
kuru	séchée
kuru	séchées
kuru	séché
kuru	secs
kuru	sec
kuru	séchés
kuru	sécher
akım	flux
akım	ruisseau
akım	courant
akım	actuels
akım	actuelle
akım	actuel
hoş	sympa
hoş	jolie
hoş	joli
hoş	gentil
yolları	itinéraires
yolları	façons
yolları	sentiers
yolları	chemins
gösterildi	montré
gösterildi	projeté
köyleri	bourgs
mal	marchandises
mal	coût
mal	coûts
mal	biens
mal	marchandise
geriye	arriéré
geriye	reculer
kartal	aigles
kartal	aigle
yük	marchandises
yük	bagages
yük	charge
yük	chargement
yük	fardeau
yük	bagage
yük	fret
yük	charger
tatlı	douce
tatlı	mignonne
tatlı	sucré
tatlı	mignon
tatlı	doux
tatlı	mignons
toplama	collecte
toplama	ramassage
toplama	collectionner
toplama	rassemblement
toplama	recueil
toplama	recouvrement
toplama	collecter
toplama	cueillette
tel	fils
tel	fil
temsilcisi	représentant
temsilcisi	représentante
temsilcisi	rép
gerekiyor	obligatoire
gerekiyor	exigé
gerekiyor	requise
gerekiyor	exigée
gerekiyor	nécessaire
gerekiyor	requis
ağırlıklı	pondérées
ağırlıklı	pondérée
ağırlıklı	pondéré
bulunması	trouver
çiçek	fleurs
çiçek	fleur
verilmiş	donné
verilmiş	donnés
döner	pivoter
döner	filature
döner	retourne
döner	retours
döner	pivotant
artan	croissant
artan	augmentation
artan	ascendante
artan	ascendant
artan	augmentées
artan	grandissant
artan	croissants
artan	augmenté
artan	croissante
artan	augmentée
maden	mines
maden	minière
maden	minier
maden	minéraux
maden	minérales
maden	minéral
maden	minerai
düzey	niveau
yazan	ecrit
yazan	écrites
yazan	écrit
yazan	écrite
yazan	écrits
verimli	productifs
verimli	productives
verimli	productif
verimli	efficace
verimli	efficaces
senarist	scénariste
görür	voit
vietnam	vietnamiens
vietnam	vietnamienne
vietnam	vietnamiennes
vietnam	vietnamien
süt	laitier
süt	fromagerie
süt	laitiers
süt	lait
süt	laiterie
özellikler	attributs
özellikler	caractéristiques
özellikler	fonctions
özellikler	spécifications
özellikler	propriétés
özellikler	fonctionnalités
taşındı	déplacé
taşındı	déménagé
taşındı	déplacée
taşındı	ému
kaptan	capitaine
kaptan	capuchon
kaptan	pac
kaptan	casquette
zorunlu	obligatoire
zorunlu	exigé
zorunlu	impérieux
zorunlu	exigée
zorunlu	obligatoires
zorunlu	obligatoirement
zorunlu	requise
zorunlu	impérative
zorunlu	nécessaire
zorunlu	impératif
zorunlu	impérieuse
zorunlu	requis
konumu	lieu
konumu	localité
konumu	localisation
konumu	emplacement
gösterilen	affichés
gösterilen	affichée
gösterilen	affiché
gösterilen	montré
gösterilen	affichées
genetik	génétique
genetik	génétiques
cezayir	algériens
cezayir	algérien
cezayir	alger
cezayir	algérienne
cezayir	algérie
başlangıçta	initialement
başlığı	entête
başlığı	titre
binlerce	milliers
yağmur	pluies
yağmur	pluie
meşhur	célèbres
meşhur	célèbre
meşhur	fameux
davul	tambour
davul	fût
davul	fûts
davul	tambours
davul	batterie
kanat	ailes
kanat	escadre
kanat	ailier
kanat	aile
kulüpler	discothèques
gerekçesiyle	motifs
iskender	alexandre
iskender	aleksandr
gıda	nourriture
gıda	aliments
gıda	alimentaire
gıda	nourritures
gıda	alimentation
işletme	entreprises
işletme	affaires
işletme	entreprise
dersleri	enseignements
dersleri	leçons
devrim	révolutionnaire
devrim	révolutionnaires
devrim	révolutions
devrim	révolution
sandık	poitrine
sandık	torse
sandık	commodes
sandık	coffres
sandık	thoracique
sandık	malle
sandık	coffre
sandık	caisse
sandık	tronc
yağ	pétrole
yağ	huile
yağ	huiles
yağ	grasse
yağ	gras
yağ	beurre
yağ	graisse
yağ	graisses
yağ	gros
yağ	graisser
güçleri	pouvoirs
çözüm	détermination
çözüm	résoudre
çözüm	résolution
italyanca	italiennes
italyanca	italiens
italyanca	italien
italyanca	italienne
isimler	noms
madalyası	médaille
madalyası	médailles
taraf	latéraux
taraf	côtés
taraf	latérale
taraf	entité
taraf	côté
taraf	latéral
gönderildi	expédiés
gönderildi	envoyées
gönderildi	soumises
gönderildi	envoyés
gönderildi	présenté
gönderildi	expédié
gönderildi	expédiée
gönderildi	envoyée
gönderildi	affiché
gönderildi	expédiées
gönderildi	publiée
gönderildi	posté
gönderildi	envoyé
gönderildi	soumise
gönderildi	soumis
gönderildi	publié
kolu	bras
tarihçi	historien
françois	françois
mutlu	heureuses
mutlu	heureuse
mutlu	joyeux
mutlu	joyeuse
mutlu	heureux
gök	cieux
gök	ciel
gök	ciels
nehir	rivière
nehir	fleuve
yükselen	naissants
yükselen	émergent
yükselen	émergents
yükselen	émergente
yükselen	hausse
yükselen	montante
deneme	tester
deneme	épreuve
deneme	tests
deneme	test
deneme	essais
deneme	essai
varlığını	présence
dede	papy
dede	pépé
dede	papi
saygı	respecter
saygı	respecte
kahverengi	marron
kahverengi	brune
kahverengi	brunes
kahverengi	brun
kahverengi	bruns
kişiye	personne
macar	hongroise
macar	hongroises
macar	hongrois
bölümler	épisodes
bölümler	départements
bölümler	chapitres
varlığı	présence
pozitif	positif
pozitif	positives
pozitif	positifs
eksik	incomplète
eksik	incomplètes
eksik	incomplets
eksik	disparu
eksik	incomplet
eksik	manque
eksik	inachevée
eksik	manquant
eksik	manquants
eksik	manquante
avcı	tueuse
avcı	sourcier
avcı	chasseur
oda	salles
oda	chambres
oda	chambre
oda	salle
çay	thé
çay	thés
kuran	coran
zırhlı	blindés
zırhlı	blindé
zırhlı	blindée
zırhlı	armure
zırhlı	blindage
zırhlı	cuirassé
zırhlı	armures
alınmış	prise
alınmış	pris
alınmış	prises
istihbarat	renseignement
okuma	lecture
okuma	lire
okuma	lis
okuma	lisez
grupları	groupes
arabistan	saoudite
arabistan	arabie
yöntemi	méthode
seçimi	sélection
seçimi	choix
seçimi	sélections
his	sentiment
his	sensation
belirgin	distincte
belirgin	distinctif
belirgin	distincts
belirgin	distinctes
diğerleri	autres
ayrılan	allouée
ayrılan	attribué
ayrılan	alloués
ayrılan	alloué
ilginç	intéressantes
ilginç	intéressant
ilginç	intéressants
ilginç	intéressante
çevresi	circonférence
çevresi	environs
çevresi	entourant
çevresi	alentours
bulur	trouve
bulur	trouvailles
karakterler	personnages
karakterler	caractères
holding	participations
holding	dotations
holding	exploitations
holding	conglomérat
küba	cubains
küba	cubaine
küba	cubaines
küba	cubain
süreli	expirant
alanlar	domaines
alanlar	zones
alanlar	champs
jüri	jurys
jüri	jurés
jüri	juré
kalın	reste
kalın	épaisses
kalın	épaisse
kalın	rester
kalın	épais
kalın	séjour
bayram	festin
bayram	fête
bayram	aïd
bayram	vacances
keskin	pointu
keskin	tranchant
oyunculuk	agir
oyunculuk	agissant
sorunları	problèmes
değişen	changer
değişen	changée
değişen	changé
değişen	changeant
gelişme	amélioration
gelişme	avancement
gelişme	développement
gelişme	améliorations
gelişme	progrès
gelişme	progresser
gelişme	developpement
gelişme	progression
eve	domicile
eve	maison
eve	accueil
demokrasi	démocratie
lübnan	liban
erdem	vertu
erdem	morale
erdem	moralité
erdem	vertus
uşak	valet
uşak	laquais
uşak	servante
uşak	voiturier
uşak	majordome
uşak	serviteur
