que	dat
tejido	geweven
tejido	breiwerk
tejido	weefsel
aprobado	goedgekeurde
aprobado	goedgekeurd
establecida	opgericht
establecida	gevestigd
establecida	gevestigde
apodo	roepnaam
apodo	bijnaam
emergencia	noodgevallen
emergencia	noodsituatie
emergencia	noodgeval
intérprete	vertaler
intérprete	tolk
canta	zing
canta	zingt
canta	zingen
constantemente	continu
constantemente	gestaag
constantemente	constant
constantemente	voortdurend
limitado	beperkte
limitado	gelimiteerd
limitado	beperkt
nombrada	genaamd
nombrada	genoemd
nombrada	benoemde
enviar	versturen
enviar	indienen
enviar	verzenden
enviar	sturen
enviar	stuur
intendente	bode
intendente	deurwaarder
intendente	kwartiermeester
intendente	burgemeester
preguntas	vragen
oscura	duister
oscura	donkere
oscura	donker
humanas	menselijke
humanas	mens
humanas	menselijk
estadios	stadions
vigilancia	toezicht
vigilancia	waakzaamheid
vigilancia	bewaking
planificación	plannen
bibliotecarios	bibliothecaris
bibliotecarios	bibliothecarissen
bibliotecarios	bibliothecaresse
barrera	versperring
barrera	barrière
aprender	leren
aprender	leer
actualización	bijwerken
actualización	bijgewerkt
actualización	opwaardering
actualización	geactualiseerd
actualización	upgraden
actualización	updaten
actualización	bijwerking
actualización	opwaarderen
estatura	lengte
estatura	hoogte
pakistán	pakistaanse
catalunya	catalonië
imprenta	drukken
imprenta	bedrukken
imprenta	printen
imprenta	afdrukken
imprenta	drukwerk
tesoro	schat
tesoro	schatkist
tesoro	schatten
olímpica	olympisch
macedonia	macedonië
facilitar	faciliteren
facilitar	vergemakkelijken
bits	beetje
patrona	hospita
patrona	beschermheer
aparecieron	verscheen
aparecieron	verschenen
presidenciales	presidentieel
presidenciales	presidentiële
maestra	leraar
maestra	onderwijzer
maestra	leerkracht
maestra	docent
maestra	lerares
continuo	voortgezet
continuo	continue
continuo	continu
continuo	doorlopend
continuo	ononderbroken
continuo	doorlopende
continuo	vervolg
continuo	continuüm
vecino	buurvrouw
vecino	buurland
vecino	buurman
vecino	buur
exploración	exploratie
exploración	verkennen
exploración	verkenning
consejos	advies
consejos	raden
consejos	adviezen
consejos	fooi
legado	nalatenschap
legado	erfenis
chicos	kerels
chicos	jongens
guitarras	gitaren
componente	kiezer
componente	bestanddeel
componente	onderdeel
corrupción	corrupte
corrupción	corruptie
externa	uitwendig
externa	extern
externa	externe
vegetales	groente
vegetales	groenten
vegetales	plantaardig
séptima	zevende
signo	onderteken
signo	teken
signo	ondertekenen
signo	tekenen
espejo	spiegeltje
espejo	spiegel
espejo	spiegelen
finalidad	doel
sinfonía	symfonie
virtud	deugd
teclado	toetsenborden
teclado	toetsenbord
matemático	wiskunde
matemático	wiskundig
matemático	wiskundige
matemático	mathematische
feliz	gelukkig
feliz	vrolijk
feliz	blij
feliz	tevreden
recoge	verzamelt
mapas	kaarten
mapas	plattegrond
mapas	kaart
cúpula	koepel
ciudadano	burger
concretamente	specifiek
existir	besta
existir	bestaan
malvinas	falklandeilanden
capturado	gevangengenomen
capturado	gevangen
cerrada	gesloten
cerrada	afgesloten
cerrada	opgesloten
cerrada	vergrendeld
célebre	vierden
célebre	gevierd
continuidad	continuïteit
hablando	spreken
hablando	praten
hablando	sprekend
hablando	pratende
asesor	consulent
asesor	adviseur
asesor	raadadviseur
informes	rapporteren
informes	rapportage
informes	verslaglegging
informes	rapporten
informes	verslagen
misterio	mysterie
expresa	uitdrukt
planetas	planeten
proteína	proteïnen
proteína	proteïne
proteína	eiwitten
proteína	eiwit
sexuales	seksueel
sexuales	seksuele
sexuales	geslacht
sexuales	seks
espalda	terug
espalda	rug
espalda	ruggen
postal	ansichtkaart
postal	kaartje
signos	bordjes
signos	tekens
signos	borden
signos	tekenen
administrador	beheerder
administrador	bedrijfsleider
administrador	administrateur
noches	avond
noches	avondje
noches	nachten
noches	nacht
noches	overnachtingen
estrecha	smalle
estrecha	smal
extraño	juffrouw
extraño	vreemde
extraño	oneven
extraño	mejuffrouw
extraño	vreemdeling
extraño	vreemd
extraño	missen
extraño	raar
tratando	proberen
determinada	vastbesloten
determinada	bepaald
determinada	vastberaden
escaños	stoelen
escaños	zitplaatsen
escaños	zetels
cirugía	opereren
cirugía	operatie
cirugía	chirurgische
cirugía	chirurgie
cirugía	chirurgisch
chinos	chinees
chinos	chinezen
destruido	vernield
destruido	vernietigde
destruido	verwoest
destruido	vernietigd
ayudante	hulpje
ayudante	plaatsvervanger
ayudante	hulpsheriff
ayudante	adjudant
ayudante	plaatsvervangend
ayudante	assistent
ayudante	assistente
portero	conciërge
portero	keeper
portero	portier
portero	doelman
característico	karakteristiek
característico	kenmerk
característico	kenmerkend
escasa	schaarse
escasa	schaars
escasa	karig
aplicar	toepassen
aplicar	solliciteren
perfectamente	perfect
diablo	duivel
diablo	duivels
viviendo	levende
transferencia	overdragen
transferencia	overdracht
transferencia	overplaatsing
quinteto	kwintet
reconocer	herken
reconocer	herkennen
reconocer	erken
reconocer	erkennen
intérpretes	tolken
intérpretes	vertaler
intérpretes	vertolking
intérpretes	tolk
intérpretes	artiesten
internos	stagiaires
internos	stagiaire
internos	stagiair
llena	vul
llena	volle
llena	volledige
llena	vol
llena	vult
llena	vullen
llena	opvullen
llena	volledig
jueces	rechters
jueces	magistraten
alcohol	alcoholist
alcohol	alcoholische
alcohol	drank
cubano	cubaans
cubano	cubaan
cubano	cubaanse
rodeado	omringt
rodeado	omgeven
rodeado	omringd
rodeado	omsingeld
beatriz	beatrix
destacadas	aanbevolen
destacadas	uitgelicht
destacadas	uitgelichte
destacadas	hoogtepunten
estable	stabiele
estable	stabiel
inspirado	geïnspireerd
inspirado	inspirerend
inspirado	geïnspireerde
inspirado	bezield
entera	hele
entera	geheel
subir	uploaden
subir	klim
subir	beklimmen
subir	klimmen
urbanos	stedelijk
urbanos	stedelijke
uci	ic
concesión	tegemoetkoming
concesión	concessie
arqueología	archeologie
iniciales	initialen
iniciales	initiële
alimento	levensmiddelen
alimento	voeden
alimento	voedsel
alimento	eten
alimento	voeder
corre	uitvoeren
corre	loopt
corre	ren
corre	rennen
praga	praag
tigre	tijger
protesta	protesten
protesta	protesteren
educativo	educatief
educativo	leerzaam
ochenta	tachtig
detener	stoppen
genética	genen
genética	genetica
genética	genetisch
genética	genetische
responde	reageert
responde	reageren
responde	reageer
lyon	lyon
celebran	vieren
palo	stok
varía	varieert
varía	variëren
ondas	golven
sufrido	leed
protestas	protest
protestas	protesten
protestas	protesteren
contratado	ingehuurd
contratado	aangenomen
contratado	gehuurd
contratado	gecontracteerd
contratado	opgelopen
manteniendo	houden
geográficos	geografisch
abundante	overvloedig
abundante	overvloedige
digitales	digitaal
conservatorio	serre
conservatorio	conservatorium
correcta	corrigeren
correcta	correcte
colonización	kolonisatie
islandia	ijsland
islandia	ijslandse
islandia	ijslands
controversia	controverse
controversia	polemiek
controversia	geschillen
controversia	geschil
controversia	betwisten
diseñador	ontwerper
anillos	ringen
leyendas	onderschriften
leyendas	legendes
leyendas	legenden
contribución	premies
contribución	bijdragen
contribución	bijdrage
banderas	vlaggen
voluntarios	vrijwilliger
voluntarios	vrijwillig
voluntarios	vrijwilligers
vegetal	groente
vegetal	groenten
vegetal	plantaardig
versos	verzen
indicar	aangeven
transportes	transporten
transportes	transport
transportes	vervoer
compró	gekocht
compró	kocht
sustitución	substitutie
sustitución	vervanging
sustitución	vervanger
distinciones	onderscheidingen
distinciones	onderscheid
distinciones	eert
literalmente	letterlijk
gráfica	grafiek
gráfica	grafische
gráfica	grafieken
gráfica	grafisch
emisiones	uitzendingen
emisiones	emissie
emisiones	emissies
emisiones	uitstoot
supuestamente	zogenaamd
supuestamente	vermoedelijk
supuestamente	vermeend
bosnia	bosnische
químico	chemicus
químico	chemisch
químico	scheikundige
destinos	bestemmingen
destinos	bestemming
partidarios	aanhangers
partidarios	voorstanders
reacciones	reacties
reacciones	reactie
queso	kaas
externo	uitwendig
externo	extern
externo	externe
silvestre	wilde
identificar	identificeren
concilio	raad
escuchar	hoor
escuchar	luister
escuchar	luisteren
escuchar	horen
escuchar	luisterend
catorce	veertien
legales	juridische
legales	wettelijk
legales	legaal
legales	wettig
legales	juridisch
pelota	bal
gráficos	grafische
gráficos	grafisch
gráficos	diagrammen
gráficos	grafieken
taiwán	taiwanese
natación	zwem
natación	zwemmen
frases	vonnissen
frases	citaten
frases	zinnen
frases	aanhalingstekens
frases	uitdrukkingen
entregó	geleverd
entregó	afgeleverd
entregó	bezorgd
entregó	geleverde
anuncio	aankondiging
anuncio	advertentie
anuncio	commercieel
anuncio	reclame
anuncio	commerciële
anuncio	mededeling
anuncio	bekendmaking
azules	blauwe
azules	blauw
tubo	pijp
tubo	buis
flamenco	vlaamse
flamenco	vlaams
refleja	reflecteert
refleja	weerspiegelt
cálculo	berekening
cálculo	berekenen
cálculo	berekeningen
cifras	cijfers
cifras	figuren
lorena	lotharingen
entrevistas	sollicitatie
entrevistas	sollicitatiegesprek
entrevistas	interviewen
futura	toekomst
futura	toekomstige
futura	toekomstig
conduce	rijd
conduce	rijden
conduce	rijdt
bibliotecas	bibliotheek
bibliotecas	bibliotheken
propietarios	baasje
propietarios	eigenaars
propietarios	huiseigenaren
propietarios	verhuurders
propietarios	baasjes
propietarios	eigenaar
propietarios	eigenaren
hierba	onkruid
hierba	wiet
hierba	kruid
hierba	kruiden
hierba	gras
responsables	verantwoord
responsables	verantwoordelijke
responsables	verantwoordelijk
convenciones	conventie
convenciones	conventies
convenciones	verdrag
convenciones	verdragen
extremadamente	extreem
toca	tik
toca	tikken
cubana	cubaans
cubana	cubaan
cubana	cubaanse
hablan	spreken
hablan	spreek
amarilla	geel
amarilla	gele
abad	abt
químicos	chemicaliën
químicos	chemisch
químicos	chemici
rechazó	weigerde
rechazó	geweigerd
rechazó	weigerden
publicadas	gepubliceerde
publicadas	uitgegeven
publicadas	gepubliceerd
publicadas	verschenen
iniciado	begonnen
iniciado	begon
iniciado	opgestart
iniciado	ingeleid
iniciado	gestart
iniciado	geïnitieerd
manifiesto	manifesteren
manifiesto	manifest
fantasma	spook
fantasma	fantoom
fantasma	geest
centímetros	inch
centímetros	centimeter
centímetros	centimeters
soluciones	oplossingen
revuelta	oproer
revuelta	opstand
revuelta	rellen
revuelta	rel
regulares	regelmatig
regulares	stamgasten
regulares	regulier
regulares	reguliere
regulares	regelmatige
especialidad	specialiteit
especialidad	specialisme
contraste	tegenstelling
suyo	uwe
generaciones	generaties
arreglos	regeling
arreglos	arrangementen
arreglos	regelingen
esencial	essentieel
esencial	onmisbaar
esencial	essentiële
nombramiento	afspraak
nombramiento	voordracht
nombramiento	benoeming
nombramiento	aanstelling
nombramiento	nomineren
nombramiento	nominatie
abreviado	ingekort
abreviado	afgekort
abreviado	verkorte
abreviado	verkort
esquema	schematische
esquema	regeling
esquema	contouren
esquema	schematisch
esquema	omtrek
piratas	piraten
piratas	piraat
sirven	dienen
sirven	opdienen
sirven	serveren
ecuación	vergelijking
permanecer	blijven
recibiendo	ontvangende
recibiendo	krijgen
recibiendo	ontvangen
dato	gegevens
faro	vuurtoren
almacenamiento	opslag
especializado	gespecialiseerd
enfrentarse	confronteren
asignado	toegewezen
producidos	produceerde
producidos	geproduceerde
producidos	geproduceerd
conversión	bekering
conversión	conversie
conversión	omschakeling
separados	aparte
separados	gescheiden
separados	apart
descanso	breken
descanso	uitrusten
descanso	rusten
descanso	pauze
descanso	rust
sinónimo	synoniemen
sinónimo	synoniem
violación	verkrachtingen
violación	koolzaad
violación	verkrachting
violación	verkrachten
violación	schending
violación	verkracht
violación	overtreding
presidenta	voorzitster
presidenta	voorzitter
desempeño	prestaties
desempeño	prestatie
presentador	presentator
presentador	presentatrice
platos	afwas
platos	platen
platos	nummerplaten
platos	borden
platos	kenteken
débil	zwakke
débil	slap
débil	zwakken
débil	zwak
vidrio	glazen
vidrio	glas
casarse	trouwen
casarse	trouw
reseña	beoordelingen
reseña	recensies
reseña	beoordeling
reseña	herziening
reseña	recensie
desarrollada	ontwikkelden
desarrollada	ontwikkeld
desarrollada	ontwikkelde
crímenes	misdaden
crímenes	misdrijven
derivados	afgeleid
derivados	afgeleide
derivados	derivaten
derivados	derivaat
contando	tellen
vasca	baskisch
vasca	baskische
vivos	levend
australiano	australische
australiano	australisch
australiano	australiër
ascendido	opgestegen
ascendido	gepromoveerd
ascendido	gepromoot
asteroide	asteroïde
superfamilia	superfamilie
dimensión	afmeting
dimensión	afmetingen
dimensión	dimensie
atentado	aanvallen
atentado	bombardementen
atentado	bombarderen
atentado	bomaanslag
atentado	aanval
atentado	bombardement
creía	geloofde
creía	geloofd
creía	geloofden
afganistán	afghaanse
comer	eten
comer	eet
heridas	verwondingen
heridas	letsels
heridas	letsel
heridas	wonden
heridas	blessures
heridas	gewonden
diagnóstico	diagnose
diagnóstico	diagnostiek
diagnóstico	diagnoses
diagnóstico	diagnostische
asedio	beleg
asedio	belegering
privados	particulier
privados	prive
privados	privé
modernas	moderne
celebrar	vieren
simultáneamente	gelijktijdige
simultáneamente	gelijktijdig
simultáneamente	tegelijk
simultáneamente	tegelijkertijd
intelectuales	intellectueel
intelectuales	intellectuelen
intelectuales	intellectuele
alcaldía	burgemeester
macho	mannetje
macho	mannelijk
macho	mannelijke
alumno	leerling
reemplazo	vervanger
reemplazo	vervanging
reemplazo	vervang
reemplazo	vervangen
décimo	tiende
setenta	zeventig
clasificaciones	ranglijst
clasificaciones	classificaties
clasificaciones	waarderingen
clasificaciones	beoordelingen
clasificaciones	klassement
clasificaciones	kijkcijfers
viña	wijnstokken
viña	wijngaard
viña	wijngaarden
capas	gelaagd
capas	lagen
capas	gelaagde
capas	laag
interacción	interacties
interacción	wisselwerking
interacción	betrokkenheid
interacción	samenspel
interacción	interactie
interacción	verloving
perfecto	perfecte
permitido	toegestane
permitido	toegelaten
permitido	toegestaan
jordi	joris
universitarios	universiteit
tiros	schoten
trigo	tarwe
persa	perzische
persa	perzisch
civilización	beschaving
complejos	complexen
complejos	complexe
complejos	ingewikkeld
turco	turken
turco	turkse
turco	turks
colegios	hogescholen
colegios	scholen
enfrentamientos	botsingen
enfrentamientos	confrontaties
iluminación	verlichting
iluminación	belichting
convocado	ontboden
convocado	bijeengeroepen
convocado	geroepen
convocado	opgeroepen
apartado	alinea
apartado	paragraaf
participando	deelnemende
mineral	erts
sustancias	substanties
sustancias	stoffen
entero	hele
entero	geheel
entero	gehele
impulso	impuls
impulso	promoten
lectores	lezer
lectores	lezers
catedrático	hoogleraar
elevación	hoogte
móviles	mobiel
integra	integreert
rotación	draaiend
rotación	draaien
rotación	rotatie
rotación	roteren
rotación	roterende
estabilidad	stabiliteit
dependiente	filiaal
dependiente	dochtermaatschappij
dependiente	dochteronderneming
dependiente	afhankelijke
dependiente	afhankelijk
curva	buig
curva	kromme
curva	gebogen
curva	buigen
centra	centra
centra	focust
hidrógeno	waterstof
tejidos	textiel
tejidos	stoffen
tejidos	textielindustrie
tejidos	geweven
tejidos	weefsels
tejidos	weefsel
fabricante	fabrikant
fabricante	producent
adquisición	aanbestedingen
adquisición	aanwinst
adquisición	inkoop
adquisición	aanschaf
adquisición	aankoop
adquisición	verwerving
adquisición	acquisitie
adquisición	overname
adquisición	aanbesteding
cuadrado	vierkant
cuadrado	plein
cuadrado	vierkante
israelí	israël
israelí	israëli
israelí	israëlische
israelí	israëlisch
israelí	israëliërs
existían	bestond
existían	bestonden
expulsado	uitgeworpen
expulsado	uitgezet
expulsado	uitgegooid
expulsado	verdreven
expulsado	weggestuurd
guerreros	strijders
guerreros	krijgers
positivo	positieve
positivo	positief
combatir	bestrijden
iguales	gelijk
iguales	gelijke
iguales	gelijken
impuesto	belastingen
impuesto	belasting
modificación	wijziging
modificación	modificatie
modificación	amendement
ginebra	genève
ginebra	geneve
ginebra	jenever
luces	verlichting
luces	lampen
luces	licht
luces	lichten
luces	lichtjes
interiores	binnenland
interiores	interieur
juveniles	jeugdige
historieta	strips
historieta	stripverhalen
historieta	komiek
historieta	stripverhaal
historieta	stripboeken
sindicato	syndicaat
sindicato	vakbond
sindicato	unie
períodos	periodes
períodos	perioden
períodos	tijdvakken
masculina	mannelijk
inclusión	insluiting
inclusión	inclusie
inclusión	opneming
suspensión	suspensie
suspensión	opschorting
suspensión	schorsing
suspensión	vering
desplazamiento	verplaatsing
reconocidos	herkend
reconocidos	herkende
reconocidos	erkend
reconocidos	erkende
reveló	onthuld
reveló	onthulde
pedido	bestelling
pedido	orde
pedido	bestellen
educativa	educatief
educativa	leerzaam
específica	specifiek
específica	specifieke
huelga	staking
centrocampista	middenvelder
distinta	anders
distinta	verschillend
distinta	verschillende
capitales	hoofdstad
capitales	hoofdletter
capitales	hoofdletters
capitales	hoofdsteden
capitales	kapitaal
adecuada	adequaat
adecuada	toereikend
adecuada	voldoende
huesos	botten
huesos	botje
huesos	beenderen
huesos	bot
vídeos	filmpjes
declarada	verklaarde
declarada	opgegeven
declarada	aangegeven
declarada	gedeclareerd
declarada	verklaard
salsa	saus
salsa	jus
salvaje	wilde
salvaje	woeste
salvaje	barbaars
alfabeto	alfabet
manuscrito	handschrift
visitó	bezochte
visitó	bezocht
visitó	bezochten
vestido	jurkje
vestido	jurk
vestido	aangekleed
vestido	aankleden
vestido	gekleed
especializada	gespecialiseerd
octavo	achtste
palestina	palestijnse
palestina	palestijns
palestina	palestina
ampliar	zoomen
ampliar	vergroot
ampliar	uitbreiden
ampliar	inzoomen
ampliar	vergroten
cartel	affiche
cartel	reclamebord
granja	boerderijen
granja	kwekerij
granja	boerderij
patas	beentjes
patas	pootjes
patas	poten
patas	benen
vanguardia	voorhoede
presentada	ingediende
presentada	aangeboden
presentada	ingezonden
presentada	gepresenteerd
presentada	gepresenteerde
presentada	ingediend
préstamo	lening
préstamo	uitlenen
estatuto	statuut
estatuto	statuten
liderazgo	leiderschap
célula	cel
lineal	lineaire
lineal	lineair
adquirir	aanschaf
adquirir	aankoop
adquirir	verwerven
adquirir	inkoop
expulsión	uitwijzing
expulsión	deportatie
expulsión	uitzetting
expulsión	verdrijving
linda	leuk
linda	lekker
linda	fijn
linda	schattig
linda	mooi
genes	gen
plana	plat
observaciones	opmerkingen
observaciones	observaties
observaciones	waarnemingen
observaciones	commentaar
observaciones	reacties
observaciones	commentaren
desembocadura	mond
pepe	japie
rivales	rivaal
rivales	rivalen
rayo	balk
rayo	bliksem
rayo	straal
rayo	donderslag
físicos	fysieke
físicos	lichamelijke
físicos	fysici
físicos	lichamelijk
físicos	natuurkundigen
físicos	fysiek
organiza	organiseer
organiza	organiseert
organiza	ordenen
organiza	regelt
organiza	organiseren
bombas	pompen
bombas	bommen
financieros	financieel
cecilia	cécile
retratos	portretten
loco	zot
loco	krankzinnig
loco	boos
loco	waanzinnig
loco	gek
exitoso	geslaagd
exitoso	succesvol
exitoso	geslaagde
exitoso	succesvolle
formalmente	formeel
formalmente	officieel
argelia	algerijnse
argelia	algerije
novio	vriendje
novio	bruidegom
rechazo	afwijzing
rechazo	afwijzen
rechazo	weigeren
rechazo	afwijzingen
rechazo	verwerping
rechazo	verwerpen
rechazo	weigering
eligió	koos
eligió	kozen
firmar	ondertekening
firmar	teken
firmar	ondertekenen
firmar	tekenen
firmar	onderteken
describir	beschrijf
describir	omschrijf
describir	beschrijven
expresiones	expressies
expresiones	expressie
expresiones	uitdrukkingen
ruptura	breuk
emisora	omroeporganisatie
filósofos	filosofen
previsto	geplande
previsto	gepland
adolescente	puber
adolescente	tiener
adolescente	adolescente
actualizado	geactualiseerd
actualizado	bijgewerkt
dinámica	dynamiek
dinámica	dynamisch
dinámica	dynamische
mencionada	vermeldde
mencionada	genoemd
mencionada	vermeld
variación	verandering
variación	veranderingen
variación	veranderen
variación	wijzigen
variación	wijziging
variación	variatie
variación	variaties
variación	varianten
variación	variantie
latitud	breedtegraad
trío	trio
óleo	olie
óleo	olieverf
óleo	aardolie
usted	jou
usted	jij
sabía	wisten
sabía	wist
alfa	alfa
antecedentes	achtergrond
antecedentes	achtergrondinformatie
antecedentes	achtergronden
grabada	gegraveerd
irlandés	iers
irlandés	ler
irlandés	ierse
irlandés	ier
irlandés	ieren
asiático	aziatisch
asiático	aziatische
guarda	bewaker
guarda	garde
anchura	breedte
utilidad	nut
utilidad	bruikbaarheid
utilidad	bruikbaar
utilidad	nuttig
utilidad	hulpprogramma
celebrada	vastgehouden
celebrada	vierden
celebrada	gevierd
celebrada	gehouden
receptor	ontvanger
receptor	begunstigde
receptor	geadresseerde
personalmente	persoonlijk
desapareció	verdwenen
desapareció	verdween
prólogo	proloog
prólogo	voorwoord
tramos	secties
tramos	rekt
tramos	afdelingen
tramos	strekt
contemporáneos	hedendaags
contemporáneos	eigentijdse
contemporáneos	hedendaagse
contemporáneos	eigentijds
contemporáneos	tijdgenoten
campeona	kampioen
automáticamente	automatisch
necesarias	nodig
necesarias	noodzakelijke
necesarias	noodzakelijk
colaboradores	bijdragers
caras	duur
caras	gezichten
caras	dure
turín	turijn
lesiones	verwondingen
lesiones	gewonden
lesiones	letsels
lesiones	letsel
lesiones	blessure
lesiones	laesies
lesiones	blessures
lesiones	verwonding
lesiones	schade
disminución	daling
disminución	afwijzen
disminución	achteruitgang
disminución	verminderen
disminución	afname
disminución	verval
disminución	vermindering
apoyó	ondersteunde
apoyó	gesteund
apoyó	ondersteund
apoyó	gesteunde
aceptación	acceptatie
aceptación	aanvaarding
aceptación	accepteren
aceptación	aanvaarden
facilidad	gemak
libras	ponden
libras	pond
modificar	aanpassen
modificar	amenderen
modificar	wijzigen
cedido	geleend
cedido	uitgeleend
cedido	afgestaan
definido	gedefinieerde
definido	omschreven
definido	gedefinieerd
contribuyó	bijgedragen
contribuyó	bijdroeg
terrestres	terrestrische
rara	zelden
rara	zeldzaam
rara	zeldzame
soviéticos	sovjets
soviéticos	sovjet
adquirido	gekochte
adquirido	gekocht
adquirido	aangeschaft
adquirido	verworven
adquirido	verkregen
adquirido	aangekocht
adquirido	ingekocht
pérdidas	verliezen
pérdidas	verlies
fantasía	fantasie
fenómenos	fenomenen
fenómenos	verschijnselen
fenómenos	fenomeen
conecta	verbind
conecta	verbindt
conecta	verbinden
africano	afrikaans
africano	afrikaanse
poética	poëtische
poética	poëtisch
otomano	ottomaanse
finanzas	financieren
finanzas	financien
finanzas	financiën
sinfónica	symfonische
sinfónica	symfonie
boxeo	boxen
boxeo	boksen
boxeo	boks
ocupada	bezig
ocupada	bezette
ocupada	bezet
ocupada	druk
comparte	delen
comparte	aandelen
comparte	deel
árbitro	arbiter
árbitro	scheidsrechter
antropología	antropologie
favorable	gunstig
favorable	gunstige
bizantino	byzantijnse
significativa	zinvol
significativa	zinvolle
significativa	betekenisvolle
significativa	betekenisvol
protegida	beschermd
protegida	beschermde
fiel	trouwe
fiel	getrouwe
fiel	trouw
derivado	afgeleid
derivado	afgeleide
derivado	derivaat
rodaje	filmen
rodaje	schoten
rodaje	schietpartij
rodaje	schieten
escalera	trap
escalera	trappenhuis
escalera	trappen
reglamento	regels
reglamento	verordeningen
reglamento	regelgeving
reglamento	regulering
reglamento	reglementen
reglamento	voorschriften
reglamento	verordening
gigantes	reuze
gigantes	reuzen
gigantes	reus
experimentos	proefnemingen
experimentos	experimenteren
experimentos	proeven
experimentos	experimenten
paisajes	landschap
paisajes	landschappen
mito	mythes
mito	mythe
dispuesto	gewillig
dispuesto	bereid
grabados	graveren
grabados	vingerafdrukken
grabados	genoteerd
grabados	gravures
grabados	gravure
grabados	geregistreerd
grabados	opgenomen
grabados	afdrukken
grabados	prenten
sra	mevrouw
cuota	quotum
cuota	honorarium
cuota	contingent
cuota	vergoeding
obreros	arbeiders
obreros	werkers
obreros	werknemers
obreros	werkenden
sagrada	geheiligd
sagrada	heilig
sagrada	heilige
primarias	primair
primarias	primaire
primarias	voorverkiezingen
interpretaciones	interpretaties
hembra	vrouwtje
hembra	vrouwelijk
hembra	vrouwelijke
hembra	vrouw
diseñada	ontworpen
añadió	toegevoegde
añadió	toegevoegd
dominante	overheersende
dominante	domineren
dominante	dominante
dominante	dominant
luchador	strijder
luchador	worstelaar
luchador	vechter
ligera	lichte
ligera	licht
ligera	lichtgewicht
facultades	faculteiten
tocando	spelen
tocando	aanraken
tocando	ontroerend
tocando	roerend
recuerdos	geheugen
recuerdos	herinnering
recuerdos	herinneringen
mantenido	onderhouden
mantenido	gehouden
específicos	specifiek
específicos	specifieke
falla	mislukken
falla	mislukkingen
falla	falen
falla	mislukkeling
falla	mist
falla	mislukking
llano	effen
llano	vlakte
romper	breken
romper	pauze
huerta	boomgaard
seguimiento	toezicht
seguimiento	traceren
difíciles	moeilijk
difíciles	lastig
difíciles	moeilijke
cerveza	biertje
cerveza	bier
cerveza	bieren
proyección	projectie
neerlandés	nederlands
neerlandés	nederlandse
neerlandés	nederlanders
compuestas	composiet
compuestas	samengestelde
compuestas	samengesteld
bloqueado	geblokkeerde
bloqueado	vergrendeld
bloqueado	gesloten
bloqueado	geblokkeerd
bloqueado	opgesloten
maneras	manieren
tocó	ontroerd
tocó	aangeraakt
tocó	geroerd
infierno	hel
gastos	uitgaven
gastos	onkosten
africana	afrikaans
africana	afrikaanse
depósito	deposito
depósito	storten
depósito	storting
avanzada	geavanceerde
avanzada	gevorderden
avanzada	gevorderd
avanzada	geavanceerd
nucleares	nucleaire
nucleares	nucleair
jornadas	dagen
situados	gesitueerd
lobos	wolven
especialista	gespecialiseerd
octava	achtste
octava	octaaf
pendiente	uitstaande
pendiente	afwachting
pendiente	oorbel
pendiente	helling
pendiente	uitmuntend
pendiente	hangende
realista	realistisch
realista	realistische
definitivo	definitief
definitivo	finale
definitivo	definitieve
recordar	herinneren
recordar	onthoud
recordar	terugroepen
comenzando	beginnend
comenzando	begin
paraíso	paradijs
autora	schrijver
autora	auteur
testimonio	getuigenis
testimonio	getuigen
testimonio	getuigenissen
testimonio	getuige
malta	mout
aerolíneas	luchtvaartmaatschappijen
aerolíneas	luchtvaartmaatschappij
balonmano	handbal
bloques	blokken
positiva	positieve
positiva	positief
separa	scheidt
polvo	kruit
polvo	stof
polvo	poeder
tomada	genomen
tomada	meegenomen
balón	bal
declara	verklaar
declara	verklaren
declara	uitroepen
declara	verklaart
alegría	juichen
alegría	blijdschap
alegría	vreugde
luxemburgo	luxemburg
luxemburgo	luxemburgse
luxemburgo	luxemburgs
prusia	pruisen
prusia	pruisische
declaraciones	verklaringen
declaraciones	aangiften
reconoció	erkend
reconoció	erkende
cronología	chronologie
cronología	tijdlijn
cronología	tijdslijn
cría	fokken
cría	fokkerij
cría	fok
ilustraciones	illustraties
comenzado	begonnen
comenzado	gestart
comenzado	begon
comenzado	opgestart
varsovia	warschau
masacre	slacht
masacre	massamoord
masacre	slachten
masacre	slachting
masacre	bloedbad
masacre	slachtpartij
vinos	wijn
vinos	wijnen
nominada	voorgedragen
nominada	genomineerd
denuncia	rapporteren
denuncia	verslag
denuncia	klacht
denuncia	klachten
denuncia	rapport
denuncia	opzegging
decidir	beslis
decidir	beslissen
decidir	besluiten
frutas	vruchten
frutas	fruit
frutas	vrucht
periodos	periodes
periodos	perioden
periodos	tijdvakken
obtenidos	verkregen
duquesa	hertogin
delito	misdrijf
delito	misdaad
delito	criminaliteit
preocupación	bezorgdheid
metales	metaal
metales	metalen
sufrir	lijden
sufrir	lijd
asistencias	helpt
asistencias	assisteert
creencias	overtuigingen
creencias	overtuiging
creencias	geloof
reputación	reputatie
participante	deelnemer
conexiones	aansluitingen
conexiones	verbindingen
conexiones	connecties
cumplimiento	naleving
cumplimiento	naleven
cumplimiento	vervulling
cumplimiento	voldoening
quedarse	blijven
condujo	gereden
australiana	australische
australiana	australisch
australiana	australiër
ilustración	verlichting
ilustración	illustratie
efectiva	doeltreffend
efectiva	effectief
efectiva	effectieve
