மற்றும்	ve
அரங்கம்	tiyatro
அரங்கம்	stadyum
அரங்கம்	stadyumu
சூழலில்	çevre
சூழலில்	ortam
காணப்பட்டது	benekli
காணப்பட்டது	görüldü
காணப்பட்டது	fark
மரங்கள்	ağaç
மரங்கள்	ağaçlar
எடுத்துக்காட்டு	örneğin
எடுத்துக்காட்டு	örneği
எடுத்துக்காட்டு	örnek
மாதங்கள்	aylarca
மாதங்கள்	aylar
மாதங்கள்	aylardır
மாதங்கள்	ay
வடக்கே	kuzeye
வடக்கே	kuzey
வடக்கே	kuzeyde
தூரம்	mesafeler
தூரம்	mesafe
தூரம்	uzaklık
அவசியம்	zorunlu
அவசியம்	gerekli
அவசியம்	gerekiyor
அவசியம்	gereklidir
மாநாடு	kongre
மாநாடு	konferans
மாநாடு	zirvede
மாநாடு	zirvesi
மாநாடு	zirve
சொல்லும்	anlatıyor
சொல்லும்	de
சொல்லும்	söyle
சொல்லும்	söyleyin
விலங்கு	hayvan
தயாரிப்பாளர்	üretici
தயாரிப்பாளர்	yapımcı
தயாரிப்பாளர்	üreticisi
படுகொலை	katliam
படுகொலை	suikast
படுகொலை	katliamı
அல்லாத	olmayan
பூ	çiçek
பூ	çiçeği
பூ	çiçeğim
யானை	filim
யானை	fil
யானை	fili
யானை	file
வணிகம்	iş
வணிகம்	işletme
வணிகம்	ticaret
வணிகம்	takas
வணிகம்	ticari
வணிகம்	reklam
கல்	taş
கல்	tas
அமைந்திருக்கும்	bulunan
மண்டபம்	salon
மண்டபம்	salonu
நூறு	yüzlük
பாலம்	briç
பாலம்	köprüsü
பாலம்	köprü
சார்	paşam
சார்	efendim
சுற்றுச்சூழல்	çevresel
சுற்றுச்சூழல்	çevre
சுற்றுச்சூழல்	ortam
தாயார்	annesi
தாயார்	anne
தாயார்	ana
அதிகாரி	subay
அதிகாரி	memur
அதிகாரி	resmi
அதிகாரி	resmî
புள்ளிகள்	skor
புள்ளிகள்	sayı
புள்ளிகள்	noktalar
புள்ளிகள்	puanlar
புள்ளிகள்	puan
புத்தகம்	kitap
கட்டிடங்கள்	binalar
கட்டிடங்கள்	binaların
மதம்	din
மதம்	dinin
மதம்	dini
ஈடுபாடு	etkileşim
ஈடுபாடு	nişan
பள்ளிகள்	okullar
பள்ளிகள்	okulları
வீடியோ	görüntülü
வெளியில்	dışarı
விவரங்கள்	detay
விவரங்கள்	ayrıntılar
விவரங்கள்	ayrıntı
விவரங்கள்	detayları
விவரங்கள்	detaylar
பறவை	kuş
பறவை	kus
எடுக்கப்பட்ட	aldı
எடுக்கப்பட்ட	alınan
எடுக்கப்பட்ட	alınır
எடுக்கப்பட்ட	alınmış
எடுக்கப்பட்ட	alındı
பகுப்பாய்வு	analizi
பகுப்பாய்வு	analiz
பகுப்பாய்வு	analizler
உடனடியாக	anında
வரையறை	tanımlama
வரையறை	tanımı
வரையறை	tanım
கடும்	ağır
கடும்	agir
எளிதாக	kolay
எளிதாக	yavaş
விசை	anahtar
அழகிய	güzel
அழகிய	guzel
அழகிய	güzelim
நாட்டை	sürgün
நாட்டை	sürgüne
அழைக்கப்பட்டது	davetli
பொதுமக்கள்	sivil
பொதுமக்கள்	siviller
பொதுமக்கள்	sivillere
வேகமாக	hizli
வேகமாக	hızlı
மாற்றப்பட்டது	değişen
மாற்றப்பட்டது	modifiye
மாற்றப்பட்டது	değişti
மாற்றப்பட்டது	değişmiş
மாற்றப்பட்டது	değiştim
மாற்றப்பட்டது	değiştirildi
மாற்றப்பட்டது	değiştirilmiş
அட்டவணை	masa
அட்டவணை	program
அட்டவணை	zamanlama
அட்டவணை	plan
அட்டவணை	programı
அட்டவணை	tablo
அட்டவணை	sofra
அட்டவணை	planla
தீர்வு	çözüm
தீர்வு	çözümü
மதிப்பீடு	derecelendirme
மதிப்பீடு	reyting
மதிப்பீடு	puan
மதிப்பீடு	beğeni
அருகிலுள்ள	yakınında
அருகிலுள்ள	yakındaki
அருகிலுள்ள	yakınlardaki
அருகிலுள்ள	yakınlarda
அருகிலுள்ள	yakın
அட்டை	asalak
அட்டை	kartı
அட்டை	sülük
அட்டை	kart
முன்பே	zaten
முன்பே	şimdiden
முன்பே	çoktan
ராக்	kaya
ராக்	taş
செல்கிறது	gitmek
செல்கிறது	gider
செல்கிறது	gidiyor
செல்கிறது	gidiyorum
கட்டுப்பாடு	kumanda
கட்டுப்பாடு	kontrol
கட்டுப்பாடு	denetim
தவிர்த்து	hariç
சிக்கல்	mesele
சிக்கல்	sorun
பழங்குடி	kabile
யூத	musevi
யூத	yahudi
பொறுப்பு	sorumluluk
பொறுப்பு	sorumlusu
பொறுப்பு	mesuliyet
பொறுப்பு	sorumlu
பொறுப்பு	yükümlülük
பொறுப்பு	sorumluluğu
நேர்	pozitif
நேர்	olumlu
நேர்	rehberlik
நேர்	hidayet
நேர்	düz
ஷா	şah
நடுவில்	ortası
நடுவில்	orta
ஜெர்மன்	alman
ஜெர்மன்	almanca
ஜெர்மன்	dilbilgisi
முகமது	muhammed
நபர்	kisi
நபர்	kişiye
நபர்	şahıs
நபர்	insan
நபர்	kişi
ஐந்தாவது	beşinci
வெப்பம்	isı
வெப்பம்	sıcaklık
பெருமை	gururlu
பெருமை	gururu
பெருமை	gurur
பாடசாலை	okulumuz
பாடசாலை	okulu
பாடசாலை	okula
பாடசாலை	okul
சா	ça
சா	şah
தங்க	altınlar
தங்க	altin
தங்க	altın
ஜோசப்	yusuf
நாடாளுமன்றம்	parlamentosu
நாடாளுமன்றம்	parlamento
நாடாளுமன்றம்	meclis
கூட்டம்	toplama
கூட்டம்	toplanıyor
கூட்டம்	kalabalık
கூட்டம்	buluşma
கூட்டம்	buluşmak
கூட்டம்	toplanma
கூட்டம்	toplantı
அலை	dalga
அலை	dalgalar
இந்தியன்	kızılderili
இந்தியன்	hint
இந்தியன்	hintli
இந்தியன்	yerli
ஆசிரியர்கள்	öğretmen
ஆசிரியர்கள்	yazarlar
ஆசிரியர்கள்	öğretmenleri
ஆசிரியர்கள்	öğretmenler
இலண்டன்	londra
பந்து	top
பந்து	balo
சாதி	kast
ஆறுகள்	nehirler
ஆறுகள்	nehirleri
வென்றது	kazanılan
வென்றது	kazandı
சன்	günes
சன்	güneş
சன்	güneşi
சன்	güneşe
கலிபோர்னியா	kaliforniya
தத்துவம்	felsefe
தத்துவம்	ilke
தத்துவம்	atasözü
தத்துவம்	felsefesi
தத்துவம்	ilkesi
தத்துவம்	prensip
அதிகாரிகள்	memurların
அதிகாரிகள்	görevliler
அதிகாரிகள்	subaylar
அதிகாரிகள்	memurlar
அதிகாரிகள்	subay
அதிகாரிகள்	yetkililer
அனைவருக்கும்	herkes
அனைவருக்கும்	herkez
அனைவருக்கும்	herkeze
அனைவருக்கும்	herkese
மருந்துகள்	uyuşturucu
மருந்துகள்	uyuşturucular
சிக்கலான	kritik
சிக்கலான	eleştirel
சாதனை	kayıt
சாதனை	başarı
சாதனை	başarım
சாதனை	rekor
சாதனை	plak
அடுக்கு	katmanı
அடுக்கு	tabaka
அடுக்கு	katman
பின்னாளில்	sonra
பின்னாளில்	sonradan
மேரி	meryem
சோடியம்	sodyum
பல்	dişler
பல்	diş
ஓவியங்கள்	tablolar
ஓவியங்கள்	resimler
விரைவாக	çabucak
விரைவாக	cabuk
விரைவாக	hızlı
விரைவாக	çabuk
விரைவாக	hizli
பண்புகள்	özellikleri
பண்புகள்	özellikler
பண்புகள்	emlak
கலந்த	karışık
பருவம்	sezonu
பருவம்	mevsim
பருவம்	sezon
பொருள்கள்	ürünler
பொருள்கள்	eşyalar
பொருள்கள்	nesne
பொருள்கள்	seyler
பொருள்கள்	şeyler
பொருள்கள்	nesneleri
பொருள்கள்	temalar
பொருள்கள்	nesneler
அடைந்து	ulaştı
பரப்பு	yüzey
பரப்பு	alanı
பரப்பு	bölge
பரப்பு	alan
பரப்பு	yüzeyi
ஆய்வாளர்கள்	analistler
ஏதாவது	birşey
ஏதாவது	birşeyler
ஏதாவது	herhangi
ஏற்று	ihracat
ஏற்று	dağı
ஏற்று	ihraç
ஏற்று	yük
ஏற்று	yükle
ஏற்று	yükleyin
சுதந்திரம்	özgür
சுதந்திரம்	özgürlük
சுதந்திரம்	özgürlüğü
சுதந்திரம்	hürriyet
தலைமையகம்	karargah
தலைமையகம்	merkez
சர்	paşam
சர்	efendim
முனிவர்	bilge
கட்டிடம்	inşaat
கட்டிடம்	inşa
கட்டிடம்	bina
அணை	kapalı
அணை	izin
அணை	baraj
அணை	barajı
நல்லது	güzel
நல்லது	olumlu
நல்லது	pozitif
நல்லது	iyi
சுற்று	döndürme
சுற்று	çevir
கருத்தை	yoruma
கருத்தை	yorum
கருத்தை	yorumu
கருத்தை	yorumda
வேறுபாடுகள்	farklar
வேறுபாடுகள்	farklılıklar
வேறுபாடுகள்	farklılıkları
அழற்சி	kolit
அழற்சி	kışkırtıcı
அழற்சி	iltihap
சேர	katıl
சேர	katılmak
சேர	katılın
தொன்மவியல்	mitoloji
மையமாக	medyum
மையமாக	orta
மையமாக	ortam
ஆஸ்திரேலிய	avustralyalı
வடிவங்கள்	şekiller
வடிவங்கள்	desenleri
வடிவங்கள்	şekil
வடிவங்கள்	şekilleri
வடிவங்கள்	formatları
குருதி	kan
படைப்புகள்	yarattıklarını
படைப்புகள்	yazılar
படைப்புகள்	yazıları
குதிரை	at
குதிரை	midilli
குதிரை	şövalye
குறைந்து	aşağıya
குறைந்து	aşağı
மத	dinsel
மத	dini
மத	dindar
வெளிநாட்டு	yabancı
வண்டி	kamyonet
வண்டி	kamyon
வண்டி	sepet
வண்டி	arabası
வண்டி	otomobil
வண்டி	araba
வண்டி	otomotiv
வண்டி	araç
ஊர்கள்	kasabalar
ஊர்கள்	şehirler
பங்களிப்பு	katkıları
அணிகள்	takımlar
அணிகள்	ekipler
பசிபிக்	pasifik
விதிகள்	kuralları
விதிகள்	kural
விதிகள்	şartlar
விதிகள்	koşullar
விதிகள்	koşul
விதிகள்	koşulları
விதிகள்	şartları
விதிகள்	kurallar
உப்பு	tuz
உப்பு	tuzu
கட்சிகள்	partiler
கொள்கைகள்	ilke
கொள்கைகள்	ilkeleri
கொள்கைகள்	politikalar
கொள்கைகள்	ilkesi
கொள்கைகள்	politikaları
கொள்கைகள்	prensip
அடைய	başarmak
அடைய	elde
விழுக்காடு	yüzdesi
விழுக்காடு	yüzde
வலி	acı
வலி	acılı
வலி	aci
வலி	ağrı
குறைவு	alçak
குறைவு	düşük
குறைவு	az
நடைமுறையில்	pratikte
நிரல்	programı
பிரேசில்	brezilya
வருகை	ziyareti
வருகை	katılımı
வருகை	varıyor
வருகை	katılım
வருகை	ziyaret
அரிய	nadir
அரிய	seyrek
அரிய	ender
பிரிந்து	ayrıldı
பிரிந்து	ayrı
பிரிந்து	ayrılmış
தீவிர	ciddi
கொழுப்பு	yağ
கொழுப்பு	şişko
கொழுப்பு	şişman
குழாய்	boru
குழாய்	tüp
குழாய்	pipo
கொடுக்கும்	verir
கொடுக்கும்	veriyor
தனியாக	yalnız
யாரும்	kimse
தடுப்பு	cezaya
தடுப்பு	ceza
தடுப்பு	gözaltı
தற்பொழுது	simdi
தற்பொழுது	şimdi
மைசூர்	maisur
வீச்சு	mesafe
வீச்சு	menzil
உயிரினங்கள்	yaratıklar
உயிரினங்கள்	organizmalar
உயிரினங்கள்	canlılar
இறந்தார்	öldü
இறந்தார்	öldüm
கூடுதலான	ek
கூடுதலான	ilave
நீல	mavi
கப்பல்கள்	gemiler
கப்பல்கள்	gemileri
பரந்த	engin
வெளிப்புற	harici
தெளிவாக	açıkça
அரை	yarı
அரை	yarim
அரை	eziyet
அரை	yarısı
அரை	yarım
தெரியும்	görülebilir
தெரியும்	bilin
தெரியும்	bil
தெரியும்	bilir
தெரியும்	biliyor
தெரியும்	görünür
நடை	biçim
நடை	yürüyüş
நடை	stil
நடை	yürü
நடை	tarz
நடை	tarzı
திருமண	nikah
திருமண	evlilik
திருமண	düğün
நெல்	pirinç
நெல்	pilav
டச்சு	hollandalı
காட்டு	gösterin
காட்டு	gör
காட்டு	gösteri
காட்டு	göster
காட்டு	görünüm
காட்டு	teşhir
காட்டு	manzara
காட்டு	görünümü
காட்டு	ekran
காட்டு	şov
ஏறக்குறைய	nerdeyse
ஏறக்குறைய	neredeyse
முறையான	geçerliliği
முறையான	geçerli
முறையான	geçerlidir
மார்க்	işaretle
மார்க்	işaret
பேரரசர்	imparator
வளர்ந்த	büyümüş
வளர்ந்த	büyüdü
வளர்ந்த	yetişkin
கோல்	hedef
கோல்	amaç
கோல்	hedefi
கோல்	gol
தோன்றியது	göründü
போதுமான	yeter
கருத்துக்கள்	yorum
கருத்துக்கள்	yorumlar
கருத்துக்கள்	yorumları
அருள்	iyilik
வெறும்	apaçık
வெறும்	sade
வெறும்	düz
வெறும்	sadece
வெறும்	yalın
முயற்சிகள்	denemeler
முயற்சிகள்	girişimleri
முயற்சிகள்	çabaları
முயற்சிகள்	çabalar
கோபுரம்	kule
கோபுரம்	kulesi
அரண்மனை	sarayı
அரண்மனை	saray
வெற்றிகரமாக	başarılı
வெற்றிகரமாக	başarıyla
ஆகஸ்டு	ağustos
அறை	hücre
அறை	oda
அறை	cep
மணம்	kokulu
மணம்	koku
மணம்	kokusu
நிறை	toplu
நிறை	ayin
நிறை	kütle
நிறை	kitle
மோசமான	iğrenç
மோசமான	edepsiz
மோசமான	terbiyesiz
மோசமான	kötü
மோசமான	pis
மை	mürekkep
எரிபொருள்	benzin
எரிபொருள்	yakıt
இறந்து	geber
இறந்து	öl
இறந்து	ölü
இறந்து	öldü
இறந்து	öldüm
இறந்து	ölüler
வலை	internet
வலை	ağ
நுரையீரல்	akciğer
நுரையீரல்	akciğerleri
நுரையீரல்	ciğer
பிறந்து	doğan
பிறந்து	doğdum
பிறந்து	doğmuş
பிறந்து	doğuştan
பிறந்து	doğdu
கொரியா	kore
காடு	orman
சீக்கிய	sih
மண்டல	bölgesel
கங்கை	ganj
கணிதம்	matematik
கணிதம்	hesap
பூமி	dünya
பூமி	toprak
பூமி	yeryüzü
கணக்கு	hesap
ஒழுங்கு	hizaya
ஏர்	hava
அறிகுறிகள்	belirtiler
அறிகுறிகள்	ayetlerini
அறிகுறிகள்	semptomlar
அறிகுறிகள்	semptomları
அறிகுறிகள்	işaretler
அறிகுறிகள்	belirtileri
அனுப்பி	gönderildi
அனுப்பி	gönderilen
அனுப்பி	gönderilmiş
அனுப்பி	gönderdi
அதிகரிக்கும்	artırma
அதிகரிக்கும்	artış
நீதிபதி	hakim
நீதிபதி	hâkim
நீதிபதி	yargıç
உணர்வு	hissetmek
உணர்வு	his
உணர்வு	hissediyorum
உணர்வு	duygu
உணர்வு	hissediyor
சூப்பர்	süper
பொன்	altin
பொன்	altın
பல்கலைக்கழகங்கள்	üniversiteler
பல்கலைக்கழகங்கள்	üniversite
ஆக்சைடு	oksit
அறிவியலாளர்கள்	aydınlar
எழுதும்	yanma
எழுதும்	yanıyor
எழுதும்	yakmak
எழுதும்	yanan
மாநிலங்கள்	eyaletler
மாநிலங்கள்	devletler
உருவாகிறது	oluşum
உருவாகிறது	kurma
மனிதர்	insan
மனிதர்	insani
தளபதி	kumandan
தளபதி	komutan
எடுத்த	aldı
ராணி	kraliçe
ராணி	vezir
நெதர்லாந்து	hollanda
உரையாடல்	etkileşimi
உரையாடல்	etkileşim
உரையாடல்	muhabbet
உரையாடல்	sohbet
உரையாடல்	diyalog
திரும்ப	iade
திரும்ப	dönüş
வீடுகள்	evleri
வீடுகள்	villalar
வீடுகள்	evler
திரை	ekran
திரை	ekranı
சுற்றியுள்ள	çevreleyen
சுற்றியுள்ள	çevresi
நடனம்	dans
கிளை	ağaç
கிளை	dal
கிளை	dalın
கிளை	şube
அகராதி	sözlük
அகராதி	sözlüğü
முன்னால்	cephe
முன்னால்	öne
முன்னால்	ön
கண்ணாடி	bardak
கண்ணாடி	bardaklar
கண்ணாடி	camlar
கண்ணாடி	gözlük
கண்ணாடி	gözlükler
கண்ணாடி	gözlüklü
கண்ணாடி	cam
கண்ணாடி	ayna
பட்டியல்கள்	listeler
பட்டியல்கள்	listeleri
பட்டியல்கள்	liste
குறியீடுகள்	etiketleri
குறியீடுகள்	kodları
குறியீடுகள்	etiketler
குறியீடுகள்	şifreler
குறியீடுகள்	kodlar
துறைகள்	bölümler
அம்சங்கள்	özellikleri
அம்சங்கள்	özellikler
செயல்திறன்	gösteri
செயல்திறன்	performansı
செயல்திறன்	performans
மேற்கோள்	gönderme
மேற்கோள்	alıntı
மேற்கோள்	referans
ஓரளவு	kısmen
பூக்கும்	açan
பூமியின்	dünya
பூமியின்	toprak
பூமியின்	yeryüzü
வாயில்	kapısı
வாயில்	kapı
வாயில்	geçit
குறை	azaltmak
குறை	doğuştan
குறை	azalma
குறை	düşüş
தொடர்ச்சியான	sürekli
தொடர்ச்சியான	devamlı
மரணம்	olum
மரணம்	ölüm
விளக்க	açıklayın
பெருங்கடல்	okyanuslar
பெருங்கடல்	okyanus
மொழியியல்	dilbilim
மாநிலங்களில்	eyaletler
மாநிலங்களில்	devletler
சம	eşittir
சம	eşit
செயல்பாடு	fonksiyon
செயல்பாடு	operasyonu
செயல்பாடு	hareketler
செயல்பாடு	etkinlik
செயல்பாடு	fonksiyonu
செயல்பாடு	işlevi
செயல்பாடு	ameliyat
செயல்பாடு	işlev
செயல்பாடு	operasyon
செயல்பாடு	faaliyet
செயல்பாடு	aktivite
செயல்பாடு	aktiviteler
செயல்பாடு	işlem
செயல்பாடுகள்	operasyonlar
செயல்பாடுகள்	operasyon
செயல்பாடுகள்	işlemler
கார்	araç
கார்	araba
கார்	otomobil
தாய்லாந்து	tayland
விளக்கும்	işık
விளக்கும்	işıklar
விளக்கும்	işıkları
பக்தி	bağlılık
உலோக	metal
உலோக	metalik
பெறுகிறது	gittikçe
பெறுகிறது	alınıyor
ஊடாக	aracılığıyla
ஊடாக	yoluyla
ஊடாக	geçerek
இப்பொழுது	simdi
இப்பொழுது	şimdi
கோப்பு	dosyası
கோப்பு	dosya
கோப்பு	dosyaları
கோப்பு	dosyalar
கண்டுபிடிக்கப்பட்டது	keşfetti
கண்டுபிடிக்கப்பட்டது	keşfedildi
கண்டுபிடிக்கப்பட்டது	keşfetmiş
அண்மைய	yakınlardaki
அண்மைய	yakınlarda
சட்டங்கள்	kanunlar
சட்டங்கள்	çerçeve
சட்டங்கள்	çerçeveleri
சட்டங்கள்	yasalar
சட்டங்கள்	yasaları
குண்டு	bomba
கோவிலில்	tapınak
கோவிலில்	tapınağı
வால்	kuyruk
மின்சார	elektrik
மின்சார	elektrikli
மலைகள்	dağlar
மலைகள்	dağ
மலைகள்	dağlara
மலைகள்	dağları
தேர்தல்கள்	seçim
தேர்தல்கள்	seçimler
நிற்கும்	ayakta
நிற்கும்	ayağa
புத்தர்	buda
காரணங்கள்	nedenler
காரணங்கள்	nedenleri
காரணங்கள்	sebepleri
காரணங்கள்	sebepler
நரம்பு	damarı
நரம்பு	sinirli
நரம்பு	damar
நரம்பு	gergin
பாதிக்கப்பட்ட	etkilenmiş
பாதிக்கப்பட்ட	mağdur
பாதிக்கப்பட்ட	etkilenen
பாதிக்கப்பட்ட	etkilendi
பாதிக்கப்பட்ட	kurban
பாதிக்கப்பட்ட	enfekte
தென்கிழக்கு	güneydoğu
பை	hoşçakalın
பை	börek
பை	poşet
பை	çanta
பை	hoşçakal
பை	torba
பை	turta
காட்டி	izleyici
காட்டி	gösterici
காட்டி	görüntüleyici
அடிகள்	adımları
அடிகள்	adımlar
அடிகள்	basamak
பாறை	kaya
பாறை	taş
பாறை	resif
அடைந்தது	ulaştı
விவரம்	ediniz
விவரம்	detaylı
விவரம்	detay
விவரம்	tarif
விவரம்	ayrıntı
விவரம்	tanım
விவரம்	tanımlama
விவரம்	açıklaması
விவரம்	açıklama
உள்ளடக்கியது	içeriyor
உள்ளடக்கியது	içerir
உள்ளடக்கியது	içerdiği
வட்டங்கள்	daireler
வட்டங்கள்	halkalar
முதல்வர்	müdire
முதல்வர்	müdür
தலைப்பு	ünvan
தலைப்பு	açıklama
தலைப்பு	başlığı
தலைப்பு	manşet
தலைப்பு	unvan
தலைப்பு	başlık
புலி	kaplan
முதலீடு	yatırım
வசித்து	yaşamış
வசித்து	yaşardı
வசித்து	yaşadı
ஏழாம்	yedinci
சிறை	hapis
சிறை	hapse
சிறை	cezaevi
சிறை	hapishane
கிங்	kral
டாலர்	dolar
வரிகள்	hatlar
வரிகள்	satır
வரிகள்	çizgiler
வரிகள்	hatları
வரிகள்	vergiler
வரிகள்	sıra
வரிகள்	vergi
வரிகள்	vergileri
வளம்	servet
வளம்	kaynakları
வளம்	esnek
வளம்	esneklik
வளம்	kaynak
வளம்	zenginlik
வளம்	kaynaklar
வளம்	doğurganlık
ஒருங்கிணைந்த	entegre
எருசலேம்	kudüs
பார்	gör
பார்	görmek
பார்	bak
பார்	görün
பார்	çubuk
கடற்படை	donanma
துறைமுகம்	liman
துறைமுகம்	iskele
வணக்கம்	selam
வணக்கம்	merhaba
தினம்	gündüz
தினம்	gün
தினம்	gun
தனிநபர்	bireysel
தனிநபர்	birey
இதய	kardiyak
இடைவெளி	mola
இடைவெளி	uzay
இடைவெளி	kırma
இடைவெளி	uzayı
இடைவெளி	kır
இடைவெளி	boşluk
மருத்துவமனை	hastane
மருத்துவமனை	klinik
மருத்துவமனை	hastahane
அடக்கம்	defin
பௌத்தம்	budizm
தலைமுறை	nesli
தலைமுறை	kuşak
தலைமுறை	nesil
வசிக்கும்	yaşayan
வசிக்கும்	yaşıyorum
வசிக்கும்	yaşamak
நிலைகள்	eyaletler
நிலைகள்	devletler
நிலைகள்	aşama
நிலைகள்	seviyeleri
நிலைகள்	seviye
இயங்குகிறது	koşarak
இயங்குகிறது	koşuyor
இயங்குகிறது	koşu
இயங்குகிறது	koşmak
இயங்குகிறது	koşarken
இயங்குகிறது	koşan
காடுகள்	ormancılık
காடுகள்	orman
காடுகள்	ormanlar
காடுகள்	ormanları
கோவில்கள்	tapınakları
ஸ்டார்	yıldız
ஸ்டார்	yıldızlı
இரயில்வே	demiryolları
இரயில்வே	demiryolu
இராணுவம்	askeri
இராணுவம்	ordu
இராணுவம்	asker
இராணுவம்	askerlik
இராணுவம்	askeriye
வாழ்நாள்	toplam
இரவில்	gece
இரவில்	geceler
உருவம்	resim
உருவம்	görüntü
உருவம்	görsel
உருவம்	imaj
பட்டு	ipek
வங்கிகள்	bankaların
வங்கிகள்	bankaları
வங்கிகள்	bankalar
வங்கிகள்	banka
பாணி	tarzı
பாணி	biçim
பாணி	stil
பாணி	tarz
எகிப்து	mısır
பறக்கும்	uçuyor
பறக்கும்	uçmak
பறக்கும்	uçan
நடத்தப்பட்ட	yürütülen
தெளிவான	temiz
தெளிவான	net
தெளிவான	temizle
தெளிவான	açık
தெளிவான	berrak
திறந்து	açıldı
திறந்து	açtı
திறந்து	açılmış
திறந்து	açılan
ஆல்பம்	albüm
அன்பு	sevgiler
அன்பு	sevda
அன்பு	aşk
அன்பு	ask
அன்பு	sevgi
வலையமைப்பு	ağ
ஆதாரங்கள்	kaynakları
ஆதாரங்கள்	kanıt
ஆதாரங்கள்	kanıtlar
ஆதாரங்கள்	delil
ஆதாரங்கள்	kaynak
ஆதாரங்கள்	kaynaklar
ஆதாரங்கள்	deliller
முகம்	yüzün
முகம்	yüz
முகம்	yüzünü
முகம்	yüzü
மின்சாரம்	elektrik
திங்கள்	pazartesi
பருவத்தில்	sezonu
பருவத்தில்	mevsim
பருவத்தில்	sezon
குளம்	havuzu
குளம்	bilardo
குளம்	havuz
அமெரிக்கன்	amerikan
அமெரிக்கன்	amerikalı
கனிம	inorganik
பத்திரிகை	basın
பத்திரிகை	bas
பத்திரிகை	dergi
பத்திரிகை	basında
பத்திரிகை	magazin
பத்திரிகை	basin
பரிசுகள்	hediye
பரிசுகள்	hediyeler
காப்புரிமை	telif
கேள்வி	sorgulama
கேள்வி	soru
கேள்வி	sorgu
கேள்வி	sorum
பாதையில்	nedeni
பாதையில்	sebebi
பாதையில்	çünkü
குடும்பங்கள்	aileler
குடும்பங்கள்	aileleri
கொரிய	kore
கொரிய	korece
கொரிய	koreli
அறக்கட்டளை	temel
அறக்கட்டளை	vakfı
அறக்கட்டளை	vakıf
திரைக்கதை	senaryo
விளக்கு	nur
விளக்கு	işık
விளக்கு	işıklar
விளக்கு	lamba
விளக்கு	işıkları
விளக்கு	kandil
விளக்கு	aydınlık
விளக்கு	hafif
ஜோன்	jeanne
விரும்பும்	istiyorum
காவல்துறை	polis
கேட்டு	dinliyor
கேட்டு	dinlemek
கேட்டு	dinleme
கேட்டு	dinliyorum
காஷ்மீர்	kaşmir
பனி	sis
பனி	kar
பனி	karlı
பனி	pamuk
பனி	karlar
பனி	buz
ஆறாவது	altıncı
சிக்கல்கள்	sorunlar
சிக்கல்கள்	sorunları
சிக்கல்கள்	meseleler
ஜப்பானிய	japonca
ஜப்பானிய	japonlar
ஜப்பானிய	japon
தானியங்கி	otomotiv
தானியங்கி	oto
தானியங்கி	otomatik
தானியங்கி	otomobil
ஆட்டத்தில்	oyun
ஆட்டத்தில்	maç
கோடு	hattı
கோடு	hat
கோடு	satır
கோடு	çizgi
தோராயமாக	yaklaşık
தன்னாட்சி	özerk
இலக்கு	hedef
இலக்கு	amaç
இலக்கு	hedefi
இலக்கு	varış
இலக்கு	hedefleme
இலக்கு	gol
இலக்கு	istikamet
ஆளுநர்	valilik
ஆளுநர்	vali
சமுதாய	topluluk
சமுதாய	cemaat
சமுதாய	ümmet
சமுதாய	toplum
சொத்து	özellik
சொத்து	mülk
சொத்து	gayrimenkul
சொத்து	emlak
சொத்து	mülkiyet
சொத்து	varlık
கொடுக்க	verin
கொடுக்க	ver
சகோதரர்	kardes
சகோதரர்	abi
சகோதரர்	kardeş
சகோதரர்	birader
சகோதரர்	kardeşim
காரணிகள்	faktörler
எக்ஸ்பிரஸ்	ekspres
எக்ஸ்பிரஸ்	ekspresi
எக்ஸ்பிரஸ்	ifade
இருவர்	iki
ஒன்றிய	birliği
ஒன்றிய	sendika
ஒன்றிய	birlik
ஆப்பிரிக்கா	afrika
விசாரணை	sorgulama
விசாரணை	araştırma
விசாரணை	sonda
விசாரணை	sorgu
விசாரணை	soruşturma
மேற்கொண்டு	devamı
இயந்திரம்	motor
இயந்திரம்	makine
இயந்திரம்	makina
இயந்திரம்	motoru
பிற்பகுதியில்	sonra
பிற்பகுதியில்	sonradan
மெல்லிய	zayıf
மெல்லிய	ince
வடகிழக்கு	kuzeydoğu
வடகிழக்கு	kuzeybatı
விவசாய	tarımsal
விவசாய	tarım
கொடுத்தார்	verdi
கொடுத்தார்	vermiş
இளைய	genç
செல்வம்	servet
செல்வம்	zenginlik
எலும்பு	kemik
நற்செய்தி	incili
நற்செய்தி	incil
கடிதம்	harf
கடிதம்	mektup
ஓவியர்	sanatçı
ஓவியர்	ressam
நினைக்கிறேன்	düşünün
நினைக்கிறேன்	düşün
நினைக்கிறேன்	varsayalım
உன்	senin
உன்	sizin
குடிமக்கள்	vatandaşlar
குடிமக்கள்	vatandaş
இடம்பெறும்	sahip
கிலோமீட்டர்கள்	kilometre
ஏற்றுமதி	ihraç
ஏற்றுமதி	ihracat
குடியிருப்பு	ikamet
குடியிருப்பு	konut
வருமானம்	gelir
பின்னால்	arkasında
பின்னால்	arkası
விவசாயம்	tarımsal
விவசாயம்	tarım
குறிப்பிட்டுள்ளார்	bahsedilen
கிரிக்கெட்	kriket
கிரிக்கெட்	çekirge
அலகுகள்	birlikler
அலகுகள்	ekipler
அலகுகள்	birim
அலகுகள்	birimler
சேமிப்பு	tasarruf
சேமிப்பு	saklama
சேமிப்பு	kurtarmak
