से	از
इलाज	درمان
अवधारणा	مفهومی
अवधारणा	مفهوم
अभ्यास	تمرین
शाही	رویال
शाही	شاهانه
शाही	سلطنتی
शाही	شاهی
पाकिस्तानी	پاکستانی
पाकिस्तानी	پاکستان
ब्लैक	سیاه
ब्लैक	سیاهی
ब्लैक	بلک
ब्लैक	مشکی
भेजा	ارسالی
संसाधन	منابع
संसाधन	منبع
जीन	ژنی
जीन	ژنها
जीन	ژن
मजबूत	قوی
प्रोग्राम	برنامه
प्रोग्राम	پروگرام
प्रोग्राम	برنامۀ
मिश्रित	مخلوط
मिश्रित	مختلط
निरंतर	ثابت
निरंतर	پیوسته
निरंतर	مستمر
निरंतर	مداوم
निरंतर	دائم
निरंतर	پاینده
प्रबंध	مدیریت
पदक	مدال
व्यंजन	آشپزی
परिस्थितियों	وضعیتهای
जमा	سپرده
स्त्री	نسوان
स्त्री	مؤنث
स्त्री	زنی
स्त्री	ماده
स्त्री	مونث
स्त्री	زن
चित्रण	تصویرسازی
चित्रण	ترسیم
यातायात	ایرویز
यातायात	ترابری
यातायात	ترافیکی
यातायात	انتقال
यातायात	ترافیک
सूक्ष्म	میکرو
सूक्ष्म	لطیف
हेनरी	هنری
हेनरी	آنری
डाला	واردشده
समीक्षा	مرور
समीक्षा	بازبینی
समीक्षा	نقدهای
समीक्षा	بازدید
मोटर	موتور
मोटर	موتوری
कर्मचारियों	کارمندان
कर्मचारियों	کارکنان
कर्मचारियों	کارمند
हमले	حملات
हमले	حمله
अक्षर	حرف
अक्षर	شخصیت
अक्षर	نویسه
अक्षर	حروف
अक्षर	نامهای
अक्षर	نامه
कारक	عامل
कारक	عوامل
कारक	فاکتور
किंगडम	فرمانروایی
किंगडम	پادشاهی
हिन्द	ساسانیان
हिन्द	هیند
बीज	بذر
बीज	نسل
बीज	دانه
जल्दी	بسرعت
जल्दी	پگاه
जल्दी	سریع
जल्दी	اوایل
घाट	پلکان
घाट	فورد
यंत्र	دستگاهها
यंत्र	دستگاهی
यंत्र	ماشین
यंत्र	ماشینی
यंत्र	ساز
यंत्र	دستگاه
यंत्र	آلات
यंत्र	وسیله
कर्म	کارما
कदम	گام
कदम	قدم
कदम	گامهای
कदम	مرحله
साथी	همدم
साथी	همدست
साथी	همنشین
साथी	شریک
साथी	همکار
साथी	همنشینی
ऊपरी	بالایی
ऊपरी	آپر
ऊपरी	فوقانی
पुस्तकों	کتاب
पुस्तकों	کتابها
पुस्तकों	کتابهای
आशा	امید
आशा	امیدوارم
आशा	هوپ
आशा	امیدی
रचित	متشکل
रचित	سروده
शिक्षण	تدریس
शिक्षण	آموزش
ऊँचाई	ارتفاعی
ऊँचाई	ارتفاع
ऊँचाई	بلندی
ऊँचाई	قد
आकर्षण	جذبه
आकर्षण	جذابیت
आकर्षण	طلسم
आकर्षण	جاذبه
आकर्षण	دلربایی
आकर्षण	جذب
आकर्षण	افسون
सर्वेक्षण	سروی
सर्वेक्षण	نظرسنجی
हद	محدودیتها
हद	محدودیت
मुहम्मद	محمد
स्टूडियो	استودیو
स्टूडियो	استدیو
राज्यपाल	حاکم
राज्यपाल	فرماندار
रोगियों	بیماران
रोगियों	بیمارها
गेंद	توپ
गेंद	بال
राजाओं	کینگز
राजाओं	پادشاهان
राजाओं	سلاطین
राजाओं	شاهان
पुस्तकालय	کتابخانه
बॉलीवुड	بالیوود
सिनेमा	سینمای
सिनेमा	سینما
प्राणी	جانوران
प्राणी	جانوری
प्राणी	مخلوق
प्राणी	حیوان
प्राणी	موجودی
प्राणी	حیوانات
प्राणी	حیوانی
अंग्रेजों	بریتانیایی
अंग्रेजों	بریتانیا
कर्मचारी	کارمند
कर्मचारी	کارمندان
कर्मचारी	کارکنان
कर्मचारी	کارگر
कर्मचारी	کارگری
काले	سیاه
काले	سیاهی
काले	بلک
काले	مشکی
मंच	سکو
मंच	سکوی
मंच	فورم
प्रेरणा	انگیزه
प्रेरणा	انگیزش
प्रेरणा	الهام
मारे	کشته
तीसरा	سوم
तीसरा	سومین
तीसरा	سومی
चलती	حرکت
तुरंत	فوراً
तुरंत	بلافاصله
तुरंत	فورا
अकबर	اکبر
शुरूआत	ابتدای
शुरूआत	آغاز
कृत्रिम	مصنوعی
फिल्में	فیلمها
फिल्में	فیلمهایی
फिल्में	فیلم
फिल्में	سینما
यात्री	مسافرین
यात्री	سرنشین
यात्री	رهگذران
यात्री	مسافری
यात्री	مسافر
यात्री	مسافران
चार्ल्स	شارل
चार्ल्स	چارلز
अड्डा	آدا
रामायण	رامایانا
प्रगति	پیشرفتی
प्रगति	پیشرفت
विद्वान	ادیب
विद्वान	پژوهشگر
जहाज	سفینه
जहाज	کشتیها
जहाज	کشتی
बचपन	بچگی
बचपन	کودکی
बातचीत	تعامل
बातचीत	مکالمات
केंद्रित	متمرکز
केंद्रित	مرکزی
केंद्रित	تمرکز
तारीख़	تاریخ
नर	مذکر
नर	نر
संकट	بحرانی
संकट	بحران
असम	آسام
रोगों	بیماریها
रोगों	بیماریهای
फ्रेंच	فرانسه
फ्रेंच	فرنچ
फ्रेंच	فرانسوی
पंजाबी	پنجابی
वीर	شجاع
वीर	ویر
वीर	شجاعی
वीर	دلاوری
वीर	قهرمانانه
वीर	دلیر
उपयोगकर्ता	کاربران
उपयोगकर्ता	کاربر
बिल	بیل
ग्रैंड	گرند
ग्रैंड	گراند
निर्देशित	کارگردانی
प्रोटीन	پروتئینهای
प्रोटीन	پروتئینها
प्रोटीन	پروتئینی
प्रोटीन	پروتئین
हास्य	خوشمزگی
हास्य	کمدین
हास्य	شوخی
हास्य	کمدی
हास्य	طنز
हास्य	مزاح
ग्राहक	مشتری
ग्राहक	مشتریان
ग्राहक	موکل
ग्राहक	کارخواه
तृतीय	سوم
तृतीय	سومین
तृतीय	سومی
हैदराबाद	حیدرآباد
तिथि	تاریخ
खाते	حسابهای
देवताओं	خدایان
नवीन	مبتکرانه
नवीन	ناوین
खाड़ी	خلیج
खाड़ी	بای
अर्जुन	آرجون
अर्जुन	ارجن
तरल	مایع
तरल	سیال
तरल	شاره
संबद्ध	همتای
संबद्ध	مرتبط
संबद्ध	وابسته
संबद्ध	وابستگی
दौरे	تور
संयोजन	یکپارچگی
संयोजन	همراه
संयोजन	عطف
संयोजन	ترکیبی
संयोजन	انشاء
संयोजन	ترکیب
निदेशक	کارگردان
सामान	مادۀ
सामान	چمدان
किला	کستل
किला	قصر
किला	فورت
किला	قلعه
किला	کسل
किला	دژ
किला	کاستل
मंगल	مارس
मंगल	مریخ
अन्तर्राष्ट्रीय	اینترنشنال
अन्तर्राष्ट्रीय	جهانی
अन्तर्राष्ट्रीय	بینالمللی
शुल्क	شهریه
शुल्क	اجرت
शुल्क	مزد
शुल्क	دستمزد
लोगो	لوگو
माह	ماههای
माह	ماهه
माह	ماهها
माह	ماه
काशी	کاشی
सलाह	پند
सलाह	صلاح
सलाह	نصیحت
आहार	رژیم
आहार	رژیمی
स्वामित्व	مالکیت
स्वामित्व	اختصاصی
गिरजाघर	چرچ
गिरजाघर	کلیسای
गिरजाघर	کلیسا
पीढ़ी	نسل
गृह	آغازه
गृह	وطن
गृह	خونه
गृह	خانه
छवि	تصویر
छवि	نگاره
छवि	تصاویر
पुष्टि	تأیید
पुष्टि	تصدیق
पुष्टि	تاییدیه
कलाकारों	هنرمندان
यूनिवर्सिटी	qom
यूनिवर्सिटी	دانشگاه
औपचारिक	رسمی
औपचारिक	صوری
जातियों	نژادها
वित्त	مالی
तीर्थ	زیارت
तीर्थ	حج
मध्यम	اعتدالی
मध्यम	نسبتاً
मध्यम	متوسط
द्रव	مایع
द्रव	سیال
द्रव	شاره
अनुरोध	درخواستها
अनुरोध	درخواست
जोर	تأکید
जोर	بلند
जोर	تاکید
संभावित	ممکن
संभावित	بالقوه
संभावित	پتانسیل
संभावित	امکان
हमारी	ما
विपणन	بازاریابی
मूल्यांकन	ارزیابی
वाक्य	جمله
वाक्य	جملات
वाक्य	حکم
अनुरूप	متناسب
अनुरूप	همخوان
अनुरूप	فیت
अनुरूप	تناسب
ध्वज	لوکزامبورگ
ध्वज	پرچم
ध्वज	بیرق
ध्वज	پرچمها
ध्वज	پرچمهای
ध्वज	بنر
पुल	پلها
पुल	پلی
पुल	پل
विद्या	ویدیا
डाल	گچ
डाल	بیندازید
देखकर	دیدن
फीट	پایی
फीट	پاهای
पुस्तकें	کتاب
पुस्तकें	کتابها
पुस्तकें	کتابهای
बहन	خواهری
बहन	آبجی
बहन	خواهرش
बहन	سیس
बहन	خواهر
हल	هال
हल	شخم
हल	بدنه
हल	محلول
हल	خیش
हल	حل
हल	چاره
मास	ماس
मास	جرم
मास	توده
पॉल	پال
पॉल	پل
पॉल	پاول
पॉल	پائول
तारों	استار
तारों	ستاره
तारों	ستارگان
करेगा	ویل
अधिकारों	حقوق
साक्षात्कार	مصاحبه
सेवाएं	خدمات
काउंटी	کانتی
काउंटी	شهرستانهای
काउंटी	شهرستان
काउंटी	کابوی
बीमा	بیمه
सुबह	صبح
सुबह	بامداد
मानचित्र	نقشه
मानचित्र	نگاشت
संस्थाओं	نهادهای
संस्थाओं	مؤسسات
संस्थाओं	موسسات
खर्च	صرف
जातियाँ	امت
जातियाँ	جامعه
जातियाँ	انجمن
जातियाँ	اجتماع
जातियाँ	ملتی
हाई	رفیع
हाई	بلند
हाई	والا
मालिक	صاحب
मालिक	مالکش
मालिक	صاحبش
मालिक	مالک
फैला	گسترده
फैला	پخش
जंगल	جنگل
जंगल	جنگلی
जंगल	فارست
पैर	پاهایش
पैर	پای
पैर	پیاده
पैर	پا
पैर	پاها
पैर	پاهای
पैर	فوت
पैर	نوازش
पैर	ساق
पैर	پایی
पैर	پاش
कोरिया	کره
बालक	کودکان
बालक	کودک
बालक	فرزند
बालक	جوانک
बालक	بچه
चुनावों	انتخابات
सैनिकों	سربازان
सैनिकों	سربازها
मुगल	مغول
मौलिक	اصلی
मौलिक	اوریجینال
मौलिक	بیسیک
मौलिक	اصیل
मौलिक	پکیج
मौलिक	پایه
अमरीकी	امریکایی
अमरीकी	آمریکایی
अमरीकी	آمریکن
अमरीकी	امریکن
बेटे	پسران
बेटे	فرزندان
बेटे	پسر
कोर्ट	دادگاه
कोर्ट	دربار
निर्देश	جهت
निर्देश	مسیرها
निर्देश	دستورالعمل
निर्देश	دستورالعملها
ओपन	باز
आवाज	صدای
आवाज	صدا
रोम	رم
रोम	روم
रोम	رُم
मनोरंजन	پذیرایی
मनोरंजन	تفریح
मनोरंजन	تفریحات
मनोरंजन	سرگرمی
मनोरंजन	پذیرائی
विलय	ادغام
विलय	تلفیق
दीवार	دیوار
दीवार	وال
दीवार	دیواری
उत्कृष्ट	برجسته
उत्कृष्ट	عالی
सकारात्मक	مثبت
काली	کالی
संभवतः	شاید
संभवतः	احتمالاً
संभवतः	احتمالا
संभवतः	شایدم
महात्मा	ماهاتما
महात्मा	مهایانه
संशोधन	بازبینی
संशोधन	اصلاحات
कैलिफोर्निया	کالیفرنیا
चिकित्सक	روانشناس
चिकित्सक	پزشکان
चिकित्सक	درمان
चिकित्सक	درمانگر
चिकित्सक	درمانی
चिकित्सक	پزشک
चिकित्सक	معالجه
सरस्वती	ساراسواتی
रॉबर्ट	روبرت
रॉबर्ट	رابرت
रॉबर्ट	روبر
वर्ण	نویسه
वर्ण	وارما
वर्ण	شخصیت
किताब	کتاب
किताब	کتابی
आपकी	شما
जय	جیجاق
जय	جی
जय	جایا
वनस्पति	گیاهشناسی
नायक	قهرمان
नायक	پهلوان
नायक	قهرمانان
प्रतिनिधि	نمایندگان
प्रतिनिधि	واگذاری
प्रतिनिधि	نماینده
आपका	شما
शब्दावली	عبارات
शब्दावली	اصطلاحات
शब्दावली	واژگان
रास्ते	راه
फैसला	تصمیم
फैसला	فیصله
फैसला	داوری
फैसला	قاضی
कीमत	بهایی
कीमत	قیمت
कीमत	قیمتش
कीमत	قیمتی
कीमत	پرایس
कीमत	بهای
संघीय	فدرال
निदान	تشخیصی
निदान	تشخیصش
निदान	تشخیص
प्रतिमा	تندیس
प्रतिमा	مجسمه
बेटी	دختر
मुश्किल	سخت
मुश्किल	دشوار
मुश्किल	عالیست
मुश्किल	سختی
परस्पर	متقابل
परस्पर	دوطرفه
पंडित	پاندیت
ईंधन	سوخت
तनाव	استرس
तनाव	تنش
योग्यता	صلاحیت
बैठक	دیدار
बैठक	جلسات
बैठक	ملاقات
बैठक	جلسه
कम्प्यूटर	رایانه
कम्प्यूटर	کامپیوتر
जल्द	بزودی
मुम्बई	بمبئی
हॉल	تالار
हॉल	هال
हॉल	اجدادش
किंग	کینگ
किंग	پادشاه
किंग	شاه
पेरिस	پاریسی
पेरिस	پاریس
टाइम्स	دفعات
टाइम्स	تایمز
टाइम्स	زمانهای
जवाब	پاسخ
जवाब	جوابهای
जवाब	جوابها
जवाब	واکنش
जवाब	پاسخها
जवाब	جواب
जवाब	پاسخگویی
जवाब	پاسخهای
संपादक	تدوینگران
संपादक	ویرایشگر
बंदरगाह	بندر
बंदरगाह	درگاه
ग्रुप	گروه
ग्रुप	گروهبندی
ग्रुप	گروپ
शून्य	زیرو
शून्य	صفر
जैविक	ارگانیک
जैविक	آلی
कौशल	مهارتهای
कौशल	مهارتش
कौशल	مهارت
कौशल	مهارتی
कौशल	ظرافت
भक्ति	صمیمیت
गहराई	عمق
आश्रम	آشرام
आश्रम	آسایشگاه
हानि	هلاکت
आरंभिक	مبتدی
आरंभिक	آغازی
आरंभिक	آغازین
कण	ذرات
कण	ذره
वाणिज्यिक	الاهلی
वाणिज्यिक	تجاری
नैतिक	اخلاق
नैतिक	اخلاقی
रॉयल	رویال
रॉयल	شاهانه
रॉयल	سلطنتی
पुरी	پوری
शिखर	اوج
शिखर	قله
धरती	زمین
नेहरू	نهرو
पेशेवर	حرفهای
लैटिन	لاتین
परंपरागत	سنتی
परंपरागत	ارتدوکس
समीकरण	بلندی
समीकरण	معادله
जाँच	آزمایش
जाँच	تست
जाँच	آزمون
जाँच	آزمونهای
जाँच	بررسی
सुन्दर	خوشگله
सुन्दर	خوشگل
सुन्दर	خیلی
प्रथा	تمرین
दोनो	هردو
देखी	دید
देखी	دیده
देखी	ندیده
देर	دیر
आंशिक	متناسب
आंशिक	جزئی
परम्परा	رسم
परम्परा	سنت
एसोसिएशन	انجمنهای
एसोसिएशन	انجمن
आध्यात्मिक	معنوی
आध्यात्मिक	روحانی
साइट	یونسکو
साइट	سایت
यहूदी	یهودی
यहूदी	یدی
यहूदी	یهودیان
यहूदी	عبری
यहूदी	یهود
विशेषकर	مخصوصا
विशेषकर	بخصوص
महाद्वीप	قاره
तरीका	راه
मुक्ति	رستگاری
मुक्ति	آزادسازی
प्रजनन	پرورش
प्रजनन	باروری
प्रजनन	شکوفا
बॉक्स	جعبه
बॉक्स	باکس
श्रेय	اعتباری
श्रेय	اعتبار
श्रेय	تیتراژ
श्रेय	اعتبارنامه
स्टेट	ایالت
स्टेट	حالت
स्टेट	دولت
स्टेट	وضعیت
स्टेट	استیت
ठाकुर	تاکور
वेल्स	ولز
वेल्स	ویلز
समकालीन	معاصر
प्रारूप	قالب
प्रारूप	پیشنویس
प्रारूप	درفت
प्रारूप	قالبی
प्रारूप	حواله
एक्सप्रेस	اکسپرس
वजन	وزن
वजन	وزنه
वजन	وزنش
प्रक्रियाओं	روشها
प्रक्रियाओं	فرایندهای
अभिव्यक्ति	تجلّی
अभिव्यक्ति	عبارت
मंदिरों	معابد
चोट	آزار
चोट	صدمه
चोट	آزاری
चोट	زخمی
चोट	زخم
चोट	جراحت
मौजूदा	حاضر
मौजूदा	جاری
मौजूदा	هدیه
मौजूदा	جریان
मौजूदा	موجود
हरा	سبز
हरा	گرانادا
हरा	گرین
संगीतकार	موسیقیدان
संगीतकार	نوازنده
संगीतकार	نوازندگان
प्रवृत्ति	ترند
प्रवृत्ति	روند
प्रवृत्ति	گرایش
रुचि	علاقمندی
रुचि	ربا
रुचि	علاقمند
रुचि	علاقه
रुचि	بهره
आर्य	آرین
आर्य	آریان
आर्य	آریایی
पर्यटक	توریستی
पर्यटक	گردشگر
पर्यटक	جهانگرد
पर्यटक	توریست
पर्यटक	توریستهای
पर्यटक	گردشگری
मछली	فیش
मछली	ماهیان
मछली	ماهی
मछली	الیاف
मछली	ماهیها
वैज्ञानिकों	دانشمندان
आविष्कार	ابداع
आविष्कार	اختراعش
आविष्कार	اختراع
आसान	ساده
आसान	راحت
आसान	آسان
यान	یان
कक्ष	اتاقی
कक्ष	سلولها
कक्ष	سلولهای
कक्ष	دالان
कक्ष	اتاقهای
कक्ष	سلول
कक्ष	تالار
कक्ष	اتاق
कक्ष	اطاق
कक्ष	اتاقها
कक्ष	یاخته
यौन	جنسی
मशहूर	مشهور
मशहूर	مشهوره
मशहूर	معروف
अनुबंध	موافقتنامه
अनुबंध	توافق
अनुबंध	قرارداد
अनुबंध	توافقنامه
अनुबंध	قراردادهای
अनुबंध	قرارداده
अनुबंध	عهد
अनुबंध	قراردادها
अनुबंध	عهدی
राव	رائو
पाठ्यक्रम	دوره
वेस्ट	باختر
वेस्ट	غرب
वेस्ट	غربی
वेस्ट	وست
प्रतिष्ठित	نوبل
प्रतिष्ठित	بزرگوار
प्रतिष्ठित	نجیب
प्रतिष्ठित	اصیل
प्रतिष्ठित	گرامی
गवर्नर	حاکم
गवर्नर	فرماندار
न्यूनतम	مین
न्यूनतम	کمینه
न्यूनतम	پایینترین
न्यूनतम	کمترین
प्रतिभा	ذکاوت
प्रतिभा	نبوغ
प्रतिभा	استعداد
प्रतिभा	استعدادها
प्रतिभा	نابغه
प्रशंसा	ستایش
प्रशंसा	حمد
प्रशंसा	سپاس
सीट	صندلی
व्यावहारिक	روشنگری
व्यावहारिक	عملی
उत्सव	عیدی
उत्सव	تجلیل
उत्सव	جشن
उत्सव	جشنواره
कपड़े	لباسها
कपड़े	پوشاک
कपड़े	لباس
कपड़े	لباسهای
पुणे	پون
सालों	سالها
सालों	سالهای
सालों	سال
हजारों	هزارها
हजारों	هزاران
खनिज	معدنی
खनिज	فسیلی
खनिज	فسیل
लम्बी	طولانی
लम्बी	دراز
लम्बी	لانگ
बुद्धि	هوش
बुद्धि	هوشی
विषाणु	ویروس
फ्रांसीसी	فرانسه
फ्रांसीसी	فرنچ
फ्रांसीसी	فرانسوی
कठोर	دشوار
कठोर	سخت
कठोर	شدید
प्रणालियों	سیستمها
विकार	خودشیفته
विकार	اختلال
विकार	بیماری
विकार	اختلالات
घटक	کامپوزیت
घटक	مرکب
ऑस्ट्रेलियाई	استرالیایی
ऑस्ट्रेलियाई	آزی
ऑस्ट्रेलियाई	استرالیا
घनत्व	چگالی
घनत्व	تراکم
वर्गों	بخشهای
वर्गों	بخشها
दुर्ग	دورگ
संहिता	کد
काल्पनिक	خیالی
काल्पनिक	فانتزی
काल्पनिक	فرضی
काल्पनिक	وهم
काल्पनिक	موهومی
प्रयत्न	تلاش
प्रयत्न	تلاشها
प्रयत्न	کوشش
प्रयत्न	تلاشهای
प्रजाति	گونه
प्रजाति	گونههای
विविधता	همیاری
विविधता	تنوع
विविधता	گوناگونی
इस्लामी	اسلامی
इस्लामी	اسلامگرایی
इस्लामी	مسلمانها
शहरी	اوربان
शहरी	شهری
बातें	اوضاع
बातें	چیزها
बातें	چیز
नदियाँ	ریورز
नदियाँ	رودها
नदियाँ	رودهای
मानवीय	مهربانانه
शास्त्रीय	کلاسیک
कृति	شاهکار
सैन	سن
सैन	سان
अग्नि	آگنی
अग्नि	آتش
अग्नि	آتشسوزی
अग्नि	آتیش
ग्रेट	عالی
ग्रेट	عالیه
श्रम	زایمان
श्रम	کارگری
श्रम	کارگر
आयरलैंड	ایسلند
आयरलैंड	ایرلند
निकटतम	نزدیکترین
उसको	او
दर्जा	رتبه
दर्जा	درجه
दर्जा	ارزیابی
असफल	نارسایی
असफल	مردود
असफल	خرابی
असफल	شکست
चन्द्र	قمر
चन्द्र	چاندرا
चन्द्र	ماه
गाँधी	گاندی
अनुप्रयोग	کاربرد
अनुप्रयोग	کاربردها
अनुप्रयोग	کاربردی
सोने	طلا
सोने	گلد
सोने	زرین
सोने	طلایی
सोने	طلای
सचिव	دبیر
सचिव	منشی
ब्रांड	برند
ब्रांड	براند
डिज़ाइन	طراحی
डिज़ाइन	دیزاین
डिज़ाइन	طرح
आवास	زیستگاه
आवास	پذیرایی
आवास	سازش
आवास	قرارگاه
आवास	لژ
आवास	مسکن
आवास	اقامت
आवास	جایگاه
आवास	اقامتگاه
ज़िला	بخش
ज़िला	منطقه
ज़िला	ناحیه
यांत्रिक	مکانیک
यांत्रिक	مکانیکی
धारणा	لقاح
खड़े	قیام
खड़े	ایستاده
खड़े	ایستادن
द्रव्यमान	جرم
द्रव्यमान	توده
न्यायाधीश	داوری
न्यायाधीश	قاضی
कवियों	شاعران
आकृति	شکل
कल्याण	کالیان
प्रभावशाली	ابهت
प्रभावशाली	موثر
स्थितियों	وضعیتهای
करेंगे	ویل
मुंगेर	مانگر
हालाँकि	هرچند
हालाँकि	گرچه
हालाँकि	اگرچه
पीटर	پطرس
पीटर	پتر
पीटर	پیتر
खराब	بد
एलबम	آلبوم
एलबम	آلبومهای
संवाद	محاوره
संवाद	گفتگوها
प्रीमियर	پریمیر
प्रीमियर	افتتاحیه
पेट	شکم
पेट	معده
पेट	شکمش
पेट	بلی
मोहम्मद	محمد
फसल	برش
दोस्त	بادی
दोस्त	رفیق
दोस्त	دوستی
दोस्त	دوست
वापसी	بازگشت
प्रोत्साहित	تشویق
प्रोत्साहित	دلگرم
सूरज	سون
सूरज	خورشید
सूरज	سان
सूरज	آفتاب
लाइसेंस	مجوز
लाइसेंस	جواز
लाइसेंस	گواهینامه
सेन	سن
छः	شیش
छः	سیکس
छः	شش
मिशन	مأموریت
मिशन	ماموریت
लंबा	طولانی
लंबा	تل
लंबा	لانگ
लंबा	قد
लंबा	دراز
विशेषज्ञ	متخصصان
विशेषज्ञ	کارشناس
विशेषज्ञ	متخصصین
विशेषज्ञ	کارشناسان
विशेषज्ञ	متخصص
नौकरी	کار
नौकरी	شغل
नौकरी	ایوب
आकाश	آسمان
आकाश	اسکای
शासकों	فرمانروایان
शासकों	حاکمان
तिब्बत	تبت
बचाव	پرچین
बचाव	نجات
बचाव	پیشگیری
देखभाल	خونگرم
देखभाल	مراقبت
देखभाल	وقتِ
पर्यटकों	توریست
पर्यटकों	توریستهای
ईरानी	سوادکوه
ईरानी	ایرانی
ईरानी	ایرانیان
ईरानी	ایران
सिंगापुर	سنگاپور
मादा	نسوان
मादा	مؤنث
मादा	ماده
मादा	مونث
मादा	زن
खरीद	خریدار
खरीद	خرید
खरीद	خریداری
उत्सर्जन	نشر
उत्सर्जन	گسیل
उत्सर्जन	سرگین
निवासियों	ساکنین
निवासियों	یاران
क्षति	صدمه
क्षति	آسیب
दोष	کاستی
दोष	عیب
दोष	ملامت
दोष	مقصر
दोष	خلل
दोष	سرزنش
अवतार	آواتار
अवतार	حلول
हाथी	فیله
हाथी	فیلی
हाथी	فیل
शैक्षिक	آکادمیک
शैक्षिक	آموزنده
शैक्षिक	دانشگاهی
शैक्षिक	آموزشی
शैक्षिक	تحصیلی
युगल	زوجهای
युगल	دونفره
युगल	زوج
युगल	زوجی
ग्रीक	یونانی
ग्रीक	یونان
टीका	واکسن
टीका	تفاسیر
पोषण	تغذیه
रिलीज	نشر
अदालत	دادگاه
अदालत	دربار
इस्पात	استیل
इस्पात	فولادی
इस्पात	فولاد
अकार्बनिक	معدنی
सुपर	سوپر
दाब	فشار
दाब	فشاری
समझौता	توافق
समझौता	سازش
समझौता	مصالحه
समझौता	عهد
समझौता	عهدی
आवासीय	مسکونی
जंगली	وحشی
जंगली	وایلد
जरूरी	نیاز
जरूरी	لازم
आर्ट	آرت
आर्ट	هنر
शनि	نشسته
शनि	زحل
शनि	بلندای
शनि	نشست
शनि	نشستند
शनि	نشستم
श्वेत	سفید
श्वेत	وایت
श्वेत	سپید
नमक	نمکی
नमक	نمک
नमक	سالت
बातों	اوضاع
बातों	چیزها
बातों	چیز
बिलियन	بیلیون
बिलियन	میلیارد
एकीकृत	یکپارچه
एकीकृत	مجتمع
पत्रकार	خبرنگاران
पत्रकार	خبرنگار
वस्त्र	پارچه
वस्त्र	لباس
वस्त्र	پوشاک
जानवरों	حیوانات
जानवरों	جانوران
आगमन	ظهور
आगमन	ورود
शास्त्री	شاستری
मनुष्यों	بشر
मनुष्यों	انسانها
पर्व	عیدی
पर्व	جشنواره
निष्कर्ष	نتیجه
निष्कर्ष	عاقبت
साफ	تمیز
साफ	پاک
साफ	روشن
साफ	پاکم
गरम	گرم
उच्चतम	بالاترین
आवश्यकताओं	نیازها
आवश्यकताओं	نیازهای
प्रतिरोध	مخالفان
प्रतिरोध	مقاومتی
प्रतिरोध	مقاومت
सदा	همیشه
डिस्क	دیسک
खड़ा	قیام
खड़ा	ایستاده
खड़ा	عمودی
खड़ा	ایستادن
पोस्ट	پستها
पोस्ट	پست
पोस्ट	پستی
मेला	منصفانه
मेला	انصاف
मेला	عادلانه
मेला	منصف
मेला	فر
लिंग	جنسیت
लिंग	جنسیتی
वायरस	ویروس
रिचर्ड	ریچارد
सिख	سیک
सिख	سیخ
मगर	ولی
मगर	اما
महीनों	ماههای
महीनों	ماهه
महीनों	ماهها
महीनों	ماه
सेल	یاخته
सेल	سلول
मुख	دهن
मुख	دهان
मुख	دهانت
सीज़न	فصلها
सीज़न	فصول
पाठक	خواننده
पाठक	ریدر
पाठक	خوانندگان
अग्रणी	رهبری
आनन्द	مسرت
आनन्द	مسرور
आनन्द	شادان
आनन्द	خوشی
आनन्द	شادمان
आनन्द	شادمانی
आनन्द	شادی
आनन्द	جوی
उन्नत	پیشرفته
सर्वर	سرور
सर्वर	ناظر
सर्वर	سرورهای
सर्वर	کارساز
सर्वर	کارگزار
विचारधारा	ایدئولوژی
पीड़ित	رنج
पीड़ित	قربانیان
पीड़ित	قربانی
श्रेणियों	صنف
राजकुमार	شاهزاده
राजकुमार	پرینس
राजकुमार	راجکومار
राजकुमार	پرنس
उम्मीद	امید
उम्मीद	امیدوار
उम्मीद	امیدوارم
उम्मीद	هوپ
उम्मीद	امیدی
कार्यकारी	اجرایی
मास्टर्स	استادان
मास्टर्स	اربابان
मास्टर्स	مسترز
मास्टर्स	اساتید
वरिष्ठ	ارشد
शिष्य	مرید
प्रोफेसर	پرفسور
प्रोफेसर	پروفسور
स्कॉटलैंड	اسکاتلند
फारसी	ایرانیان
फारसी	فارسی
फारसी	ایرانی
फारसी	پرشین
फारसी	فاروئی
संरक्षित	محفوظ
सहज	راحتی
सहज	راحت
बदला	جایگزین
बदला	انتقام
बदला	جایگزینی
बदला	پاداش
बदला	اجر
कलकत्ता	کلکته
काला	سیاه
काला	سیاهی
काला	بلک
काला	مشکی
पंक्ति	سطر
पंक्ति	صف
पंक्ति	سطرها
पंक्ति	خط
लोकप्रियता	محبوبیت
गतिविधि	فعالیتها
गतिविधि	فعالیت
ओलंपिक	المپیک
अनुनाद	تشدید
बर्फ	اسنو
बर्फ	یخی
बर्फ	برف
बर्फ	یخ
बर्फ	آیس
बर्फ	یخبندان
बर्फ	برفی
कार्रवाई	کنش
कार्रवाई	اکشن
कार्रवाई	عمل
कार्रवाई	اقدام
शिशु	نوزاد
शिशु	نوزادان
साक्षरता	سواد
साक्षरता	سوادی
मार्क	مارک
ब्रह्म	برهمن
ट्रैक	شیار
मनोवैज्ञानिक	روانشناسی
मनोवैज्ञानिक	روانشناس
मनोवैज्ञानिक	روانشناختی
गर्मी	حرارت
गर्मी	سامر
गर्मी	تابستون
गर्मी	گرما
गर्मी	تابستان
गर्मी	گرمای
गर्मी	تابستانی
मैन	مَرد
मैन	مرد
मैन	انسان
