から	از
四郎	شیرو
ショット	شات
ショット	شلیک
ショット	نماها
黄色	زرد
ヴィルヘルム	ویلهلم
若者	جوانان
若者	جوانی
ラヴ	عاشق
ラヴ	عشق
ラヴ	عشقی
ラヴ	دوست
兵隊	سرباز
兵隊	سربازی
入場	پذیرش
間隔	فاصله
間隔	فواصل
ヤマト	یاماتو
二重	دابل
全般	جنرال
全般	عمومی
全般	ژنرال
リスク	ریسک
リスク	خطر
リスク	خطرات
割合	درصد
割合	تناسب
割合	درصدی
赤坂	آکاساکا
プリンセス	شاهدخت
プリンセス	پرنسس
チェス	چس
チェス	شطرنج
ナポレオン	ناپلئون
気持ち	احساساتی
気持ち	احساسات
気持ち	احساس
軍隊	سپاه
軍隊	ارتشی
軍隊	لشکر
軍隊	لشگر
軍隊	نظامی
軍隊	ارتش
みなみ	مینامی
無効	تهی
無効	باطل
無効	خلأ
無効	غیرفعال
無効	نامعتبر
行事	رخداد
行事	حوادث
行事	رویدادها
行事	اتفاقات
行事	رویداد
行事	رویدادهای
行事	واقعه
薩摩	ساتسوما
前者	پیشین
前者	سابق
シドニー	سیدنی
競争	رقابتها
競争	رقابتهای
競争	رقابت
競争	مسابقه
医薬品	داروئی
医薬品	داروسازی
双子	دوقلوها
双子	دوقلو
ビジョン	بصیرت
ビジョン	بینایی
ビジョン	ویژن
ビジョン	دید
疾患	بیماری
疾患	اختلالات
パーツ	عورت
パーツ	قطعات
ローン	قرض
ローン	وام
損傷	صدمه
損傷	آسیب
トイレ	توالت
トイレ	دستشویی
トイレ	حمام
グッド	خوب
グッド	خوبش
グッド	خوبی
バルセロナ	بارسلونا
バルセロナ	بارسلون
リスナー	شنوندگان
リスナー	شنونده
グラウンド	زمینی
ブルガリア	بلغارستان
ブルガリア	بلغاری
トレーニング	تعلیم
トレーニング	تمرینات
トレーニング	آموزشی
トレーニング	اموزش
トレーニング	تمرین
トレーニング	آموزش
反発	جبران
アンナ	آنا
アンナ	انا
レンタル	اقساط
レンタル	اجارهٔ
レンタル	اجاره
レンタル	کرایه
厳しい	خشن
厳しい	سختگیر
厳しい	عالیست
厳しい	زننده
コマンド	فرمان
コマンド	فرمانها
コマンド	فرمانهای
質量	جرم
質量	توده
照明	روشنایی
照明	نورپردازی
暴力	خشونت
ミル	میل
ミル	آسیاب
プロイセン	پروس
ペット	پت
ペット	خانگی
エンド	پایان
フラ	هولا
フラ	فرا
ピエール	پییر
ピエール	پیر
住所	آدرس
住所	نشانی
ラップ	رپ
亡命	تبعید
天文学	نجوم
天文学	اخترشناسی
不適切	نامناسب
限界	محدودیتها
限界	محدود
限界	حد
限界	محدودیت
視点	منظر
チベット	تبت
チェーン	زنجیری
チェーン	زنجیرهای
チェーン	زنجیر
チェーン	زنجیره
朝倉	آساکورا
飛行機	طیاره
飛行機	هواگرد
飛行機	هواپیمایی
飛行機	هواپیمای
飛行機	هواپیما
キロメートル	کیلومتر
アーケード	آرکید
宮殿	قصرها
宮殿	قصر
宮殿	کاخ
毎月	ماهیانه
毎月	ماهانه
毎月	ماهنامه
需要	مطالبه
需要	تقاضا
ルーマニア	رومانی
キス	بوسیدن
キス	بوسه
キス	ماچ
キス	ببوس
キス	بوس
圧力	فشار
圧力	فشاری
急速	ضرورت
急速	اضطرار
急速	فوریت
ロマン	رومان
ロマン	رومن
ロマン	روم
ロマン	رومی
衣装	همسفر
ウィリアムズ	ویلیامز
伝承	فولکلور
伝承	اجدادی
別れ	جدائی
別れ	وداع
別れ	بدرود
別れ	جدایی
近隣	همسایه
近隣	محله
近隣	همسایگی
必要性	ضرورت
大山	دایسن
大山	اویاما
努力	تلاش
努力	تلاشها
努力	کوشش
努力	تلاشهای
再会	گردهمایی
プレーオフ	حذفی
室内	سالنی
コーヒー	قهوه
スパイ	جاسوس
スパイ	جاسوسان
スパイ	جاسوسی
出雲	ایزومو
素材	مواد
素材	مصالح
ライナー	راینر
登山	صعود
ログ	گزارشها
ログ	ثبت
捕虜	زندانی
捕虜	اسیر
怒り	خشم
怒り	عصبانیت
怒り	عصبانی
怒り	غضب
怒り	خشمگین
怒り	خشمناک
ブー	بو
ブー	بوو
女の子	دختر
女の子	دختری
トレード	تجارت
回路	مدار
神田	کاندا
商人	بازرگانان
商人	تاجران
商人	بازرگانی
商人	بازرگان
商人	تاجر
商人	تجار
外観	ظاهر
外観	نگاهی
外観	ببین
マネージャー	مربیان
マネージャー	مدیر
エイト	هشت
向き	جهت
奨励	دلگرمی
通勤	مسافری
セラ	سرا
パンチ	پانچ
パンチ	منگنه
パンチ	مشت
コメディ	کمدی
シャルル	شارل
シャルル	چارلز
シルバー	نقره
シルバー	سیلور
シルバー	سیمین
救助	نجات
やす	سهولت
やす	آسانی
やす	گشایش
ジョージア	گرجستان
ジョージア	جورجیا
水曜日	چهارشنبه
グレイ	خاکستری
グレイ	گری
チェンジ	تغییر
デル	دِل
デル	دل
働く	کار
アドベンチャー	ماجراجویی
アドベンチャー	ماجرای
アドレス	آدرس
アドレス	نشانی
アルバ	البا
アルバ	آلبا
アルバ	آروبا
論争	مجادله
論争	جدال
論争	جنجال
加賀	کاگا
売り上げ	فروش
ニーズ	نیاز
ニーズ	نیازمند
ゲイ	همجنسگرا
ゲイ	سرخوش
ゲイ	گی
ゲイ	همجنسگرایی
同級生	همکلاسی
森林	جنگل
森林	فارست
森林	جنگلی
森林	جنگلهای
森林	جنگلها
症状	علائم
マンション	عمارت
グレート	عالی
グレート	عالیه
混合	مخلوط
混合	مختلط
告白	اقرار
告白	اعترافات
所持	مالکیت
所持	تصرف
所持	تملک
所持	تسخیر
山陽	سانیو
セカンド	دومی
セカンド	ثانیه
セカンド	دوم
不能	ناممکن
ブーム	بوم
マドリード	مادرید
和泉	ایزومی
後ろ	عقب
後ろ	باز
後ろ	برگشت
後ろ	پشت
パーティー	جشن
パーティー	مهمونی
パーティー	حزب
パーティー	احزاب
パーティー	پارتی
パーティー	مهمانی
修行	تعلیم
修行	تمرینات
修行	آموزشی
修行	اموزش
修行	تمرین
修行	آموزش
マップ	نقشه
マップ	نگاشت
ミュンヘン	مونیخ
ニック	نیک
ブラッド	خونی
ブラッド	براد
ブラッド	خون
ギャラリー	نگارخانه
ギャラリー	گالری
動員	بسیج
立川	تاچیکاوا
繁殖	پرورش
繁殖	شکوفا
ガード	نگهبانی
ガード	گارد
十二	دوازده
ターン	نوبت
ターン	رویت
ショウ	شاو
ショウ	شا
結論	نتیجه
秘書	دبیر
秘書	منشی
ブライアン	برایان
ブライアン	براین
ウォーター	آب
牧野	ماکینو
ダニエル	دنیل
ダニエル	دانیل
ダニエル	دانیال
土佐	توسا
ソナタ	سوناتا
下関	شیمونوسکی
表彰	جایزه
表彰	جوایز
陽子	پروتون
出産	زایمان
出産	زاییدن
不満	ناراضی
不満	نارضایتی
ラテン語	لاتین
属性	ویژگیها
属性	صفت
属性	خصیصه
属性	ویژگیهای
シル	سیل
アントニオ	آنتونیو
アーカイブ	بایگانی
アーカイブ	آرشیو
変動	نوسانات
騎兵	سواران
騎兵	سواره
衝撃	شوکه
衝撃	اصابت
衝撃	ضربه
衝撃	برخوردی
衝撃	شوک
衝撃	برخورد
手続き	روشها
手続き	روند
手続き	رویه
ユニオン	اتحاد
ユニオン	یونیون
ユニオン	اتحادیه
カロライナ	کارولینا
カロライナ	شمالی
前面	جبهه
前面	جلو
瞬間	فوری
瞬間	گشتاور
瞬間	لحظه
中断	وقفه
中断	معلق
中断	ساقط
ホンダ	هوندا
ストップ	توقف
歯科	دندانپزشکی
歯科	دندانی
招待	دعوت
招待	دعوتنامه
川越	کاواگوئه
エクスプレス	اکسپرس
スタンド	استند
スタンド	ایستادن
浅草	آساکوسا
田辺	تانابه
怪我	مصدوم
怪我	آزاری
怪我	مجروح
怪我	زخمی
怪我	زخم
怪我	جراحت
松尾	ماتسوئو
プレゼント	میزند
プレゼント	هدایای
プレゼント	حاضر
プレゼント	کادو
プレゼント	هدیه
スロバキア	اسلواکی
オーナー	صاحب
オーナー	مالکش
オーナー	صاحبان
オーナー	مالک
オーナー	صاحبش
グラフ	گراف
健一	کنیچی
アリーナ	آرنا
回収	ریکاوری
回収	بهبودی
回収	ترمیمی
回収	بازیابی
そば	سوبا
認証	تأیید
認証	تصدیق
認証	وارسی
妨害	پارازیت
復讐	کینه
復讐	انتقام
本当に	واقعا
本当に	واقعآ
講義	سخنرانی
絶滅	انقراض
婦人	بانوان
婦人	خانمها
婦人	خانما
チャンス	شانس
チャンス	فرصت
マーティン	مارتن
マーティン	مارتین
制服	یونیفورم
制服	یونیفرم
リアル	حقیقی
リアル	واقعی
リアル	رئال
リアル	ریال
ギタリスト	گیتاریست
アーサー	آرتور
学位	زینه
学位	درجه
カム	کم
カム	کَم
ラッシュ	شاداب
ラッシュ	راش
コントロール	کنترلهای
コントロール	کنترل
コントロール	مهار
コントロール	کنترول
アルト	آلتو
アルト	التو
メイド	خدمتکاری
西川	نیشیکاوا
毎回	هربار
階段	پله
階段	پلکان
ナン	نان
ナン	نن
条例	احکام
ステレオ	استریو
リゾート	جایگاه
リゾート	استراحتگاه
ヘリコプター	بالگرد
ヘリコプター	هلیکوپتر
フォーク	انشعاب
フォーク	دوراهی
フォーク	چنگال
フォーク	فورک
ブリッジ	پل
ブリッジ	پلی
ルーム	اتاقی
ルーム	اتاقهای
ルーム	اتاق
ルーム	اطاق
ルーム	اتاقها
反映	منعکس
反映	اندیشه
思い出	خاطرات
思い出	حافظه
思い出	خاطره
ピアニスト	پیانیست
原理	اصول
原理	اصل
キューバ	کوبا
キューバ	کوبایی
予約	رزرو
送る	ارسال
バーン	انبار
バーン	طویله
戦術	تاکتیک
戦術	رزم
戦術	تاکتیکهای
スピン	دوار
スピン	چرخیدن
スピン	اسپین
スピン	چرخش
ホイール	فرمون
ホイール	چرخ
カラ	کارا
レーザー	لیزری
レーザー	لیزر
アキ	آکی
ライオンズ	شیرها
ライオンズ	شیرهای
間違い	اشتباهات
間違い	اشتباهاتی
間違い	اشتباه
つくば	تسوکوبا
ヒトラー	هیتلر
フィラデルフィア	فیلادلفیا
フィラデルフィア	فیلی
走り	اجرا
忍者	نینجاها
忍者	نینجا
忍者	نینجای
サスペンス	مشیت
サスペンス	تعلیق
ユーザ	کاربران
ユーザ	کاربر
海峡	تنگه
海峡	مجرا
海峡	مجرای
海峡	چنل
海峡	استریتس
海峡	کانال
氏名	نام
ムーン	قمر
ムーン	ماه
永井	ناگای
ラーメン	رامن
バッハ	باخ
バッハ	بچ
立花	تاچیبانا
スポット	جای
スポット	نقطه
スポット	مکانی
スポット	محل
スポット	مکان
スポット	مکانهایی
スポット	جایی
スポット	مکانها
スポット	مساجد
酸素	اکسیژن
マサチューセッツ	ماساچوست
浅野	آسانو
ハリー	هری
要件	نیازی
要件	نیازها
要件	نیازهای
ビーチ	بیچ
ビーチ	ساحل
ビーチ	سواحل
チャンピオンシップ	قهرمانی
めぐみ	مگومی
プロセス	مراحل
プロセス	فرایند
プロセス	فرآیند
プロセス	فرایندهای
プロセス	پروسه
プロセス	روند
カルロス	کارلوس
カルロス	اوس
友達	دوستی
友達	دوستان
友達	دوست
充実	برآورده
ガイドライン	دستورالعملهای
ガイドライン	راهبرد
ガイドライン	رهنمودهای
ガイドライン	دستورالعملها
リポーター	خبرنگارها
リポーター	خبرنگاران
リポーター	گزارشگر
ゴジラ	گودزیلا
箱根	هاکونه
レディ	بانو
レディ	بانوی
リカ	ریکا
ついに	بلاخره
ついに	سرانجام
ついに	بالاخره
哲也	تتسویا
着陸	فرود
損害	صدمه
損害	آسیب
河野	کونو
キース	کیث
ボート	رویینگ
ボート	قایقها
ボート	قایق
ボート	قایقهای
ボート	کشتی
説得	ترغیب
サーキット	مدار
行列	ماتریکس
行列	ماتریس
日常	هروز
独占	انحصاری
独占	انحصار
独占	خالص
ベリー	شقایق
道具	تجهیزات
道具	ابزار
道具	ابزارهای
道具	ساز
道具	وسایل
道具	ابزارها
天気	هوای
天気	هوا
粒子	ذرات
粒子	ذره
謝罪	عذرخواهی
認知	شناختی
比率	تناسب
比率	نسبت
牧場	رنچ
エリ	ایلای
エリ	الای
ビール	آبجو
ビール	بیر
ビール	آبجوی
美人	خوشگلا
美人	زیبایی
クリスタル	بلوری
クリスタル	بلور
クリスタル	کریستال
クリスタル	آبگینه
リレー	بازپخش
リレー	رله
中田	ناکاتا
バイク	موتور
バイク	دوچرخه
バイク	موتورسیکلت
ボクサー	باکسر
ボクサー	بوکسر
ボクサー	بوکسور
チャンピオンズ	قهرمانان
ドクター	داکتر
ドクター	دکتر
ドクター	دکتری
あゆみ	آیومی
マレーシア	مالزیایی
マレーシア	مالزی
マレーシア	iran
山内	یامائوچی
告知	حدیث
告知	اعلان
告知	اطلاعیه
符号	کد
古川	فوروکاوا
無限	نامتناهی
無限	بینهایت
当局	مسئولین
当局	مقامات
当局	مسئولان
ハロー	سلام
ハロー	الو
コーポレーション	کورپوریشن
付与	گرانت
付与	گرنت
付与	اعطای
研究員	محقق
研究員	پژوهشگر
ハーフ	نصف
ハーフ	نیمی
ハーフ	نیم
定理	قضیه
ジェン	جن
ネオ	نئو
ネオ	نیو
幸せ	شاد
幸せ	مبارک
幸せ	خوشی
幸せ	خوشحال
幸せ	خوشبختی
幸せ	خوش
幸せ	خوشبخت
幸せ	شادی
人種	نژاد
人種	مسابقه
運河	مجرا
運河	مجرای
運河	کانال
運河	کانالها
同等	معادل
リトアニア	لیتوانی
グローバル	گلوبال
グローバル	سراسری
グローバル	جهانی
安倍	ایب
安倍	آبه
パラダイス	بهشت
小沢	اوزاوا
農民	روستایی
農民	دهقان
農民	رعیت
台詞	محاوره
候補者	کاندیداهای
候補者	کاندید
候補者	کاندیدای
候補者	نامزد
スプリング	بهار
スプリング	اسپرینگ
スプリング	بهاری
アナウンス	اعلام
アナウンス	حدیث
アナウンス	اعلان
アナウンス	اطلاعیه
心臓	قلب
心臓	دل
心臓	قلبی
日光	آفتاب
ウエスト	غربی
ウエスト	غرب
ウエスト	کمر
ウエスト	وست
ウエスト	باختر
ゆり	یوری
大使館	سفارت
大使館	سفارتخانه
肉体	گوشتی
肉体	گوشت
肉体	جسم
食事	غذای
食事	غذایی
豊富	فراوان
豊富	فراوانی
バイト	بایت
ジェフ	جف
避難	تخلیه
避難	پناه
避難	پناهی
三河	میکاوا
君主	مونارچ
境内	حوزه
装飾	تزئین
装飾	زیور
装飾	تزئینات
ドラゴンズ	اژدهایان
あや	ایا
アテネ	آتن
モンテ	مونته
テーブル	میز
テーブル	سفره
テーブル	جدول
テーブル	میزهای
リボン	نواری
リボン	روبان
シード	بذر
シード	نسل
シード	دانه
チリ	چیلی
チリ	شیلی
サマー	تابستان
サマー	سامر
サマー	تابستون
サマー	تابستانی
併合	تحکیم
有馬	آریما
処刑	اعدام
処刑	اجرای
処刑	اعدامش
処刑	اجرا
処刑	اعدامی
武士	سامورایی
感覚	حواس
感覚	عقل
感覚	حس
警告	هشدار
警告	اخطار
警告	هشدارها
白鳥	سوان
白鳥	قو
白鳥	قویی
頻繁	اغلب
頻繁	غالبا
頻繁	مکرر
公爵	دیوک
公爵	دوک
差分	تفاوت
差分	تفاوتهای
差分	تفاوتها
差分	اختلاف
差分	فرق
ネコ	گربه
才能	استعداد
山頂	اوج
山頂	قله
グラフィック	نگارهای
グラフィック	نگاره
グラフィック	گرافیکی
グラフィック	گرافیک
ハイム	هایم
マスク	ماسک
マスク	نقاب
圧倒的	فراگیر
麻生	آسو
バレー	دره
緑色	سبز
緑色	گرین
川島	کاواشیما
強調	تأکید
強調	تاکید
金額	مقدار
金額	مبلغ
チップ	تراشه
チップ	نکته
チップ	چیپس
チップ	نوک
チップ	انعام
チップ	چیپ
辞職	استعفا
辞職	استعفاء
辞職	استعفای
チョウ	پروانه
アルコール	الکل
釧路	کوشیرو
同志	همدم
同志	همنشین
同志	همنشینی
会津	آیزو
平田	هیراتا
北村	کیتامورا
尾崎	اوزاکی
テープ	نوار
テープ	نوارها
テープ	نوارهای
要因	عوامل
直樹	ناوکی
大森	اوموری
マネジメント	مدیریت
サーバ	سرور
サーバ	کارگزار
サーバ	سرورهای
サーバ	کارساز
化合物	ترکیب
化合物	مرکب
所有者	صاحب
所有者	مالکش
所有者	صاحبان
所有者	مالک
所有者	صاحبش
大介	دایسوکه
ルカ	لوکا
ルカ	لوقا
ルカ	لوک
弱い	ضعیف
弱い	ناتوان
弱い	سست
弱い	ضعیفتر
弱い	ضعیفی
祝日	اعیاد
祝日	تعطیلات
マーケット	مارکیت
マーケット	مارکت
マーケット	بازارهای
マーケット	بازاری
マーケット	بازارها
マーケット	بازار
デッキ	ورق
デッキ	عرشه
偶然	انطباق
偶然	تصادفی
年金	بازنشستگی
芸能人	مربیان
三人	سه
バランス	متوازن
バランス	توازن
バランス	موازنه
バランス	میزان
バランス	تعادل
液体	مایع
液体	مایعات
石橋	ایشیباشی
ウェールズ	ولز
ウェールズ	ویلز
審判	حکم
審判	حاکمیت
審判	حکمرانی
審判	قضاوت
審判	دادرسی
審判	محاکمه
審判	داوری
タンパク質	پروتئینهای
タンパク質	پروتئینی
タンパク質	پروتئین
バット	چماق
バット	خفاش
ルパン	لوپن
メカ	مکا
予測	پیشبینی
暗号	رمز
暗号	رمزگذاری
暗号	رمزنگاری
メアリー	مریم
メアリー	مری
メアリー	ماری
栄養	تغذیه
不安	دلواپس
不安	اضطراب
不安	دلواپسی
食べる	بخورم
食べる	بخورید
食べる	خوری
食べる	بخور
食べる	خوردن
トマス	توماس
トマス	تامس
トマス	توما
藤本	فوجیموتو
メタ	متا
検事	دادستان
検事	پیگرد
ひろし	هیروشی
たけし	تاکشی
たけし	تاکاشی
遊び	بازی
遊び	پخش
水道	آبرسانی
水道	آبرسان
ハリウッド	هالیوودی
ハリウッド	هالیوود
信濃	شینانو
ショック	شوکه
ショック	شوک
フェイス	صورت
フェイス	ایمانی
フェイス	ایمان
フェイス	چهره
フェイス	ایمانش
行使	تمرین
行使	مشق
行使	ورزش
京王	کیئو
伏見	فوشیمی
炭素	کربن
炭素	کربنیک
炭素	کربنی
体操	ژیمناست
体操	ژیمناستیک
ワーク	کار
ワーク	کاری
プライバシー	خلوت
美濃	مینو
濃度	غلظت
セーブ	ذخیره
看板	بیلبورد
エンジェル	آنجل
エンジェル	انجل
エンジェル	فرشته
大西洋	آتلانتیک
大西洋	اطلس
大西洋	اطلسی
ダース	دوجین
単語	سخن
単語	واژه
単語	کلام
単語	کلمات
単語	کلمه
懸念	نگرانیهای
テキスト	متن
品質	کیفیتی
品質	کیفیت
ジア	جیا
ジア	ضیا
ジア	ضیاء
主婦	دارش
倉庫	انبار
日本橋	نیهونباشی
ワイルド	وحشی
ワイルド	وایلد
内側	درونی
珍しい	غیرعادی
誰か	یکی
誰か	کسی
寄付	عضو
寄付	اهداء
寄付	صدقه
寄付	اهدا
艦船	کشتیها
艦船	کشتی
学問	یادگیری
武蔵野	موساشینو
復元	بازیابی
復元	بازگردانی
復元	ترمیم
復元	بازگرداندن
復元	مرمت
復元	برگرداندن
死ぬ	بمیر
死ぬ	بمیرم
死ぬ	بمیرد
オハイオ	اوهایو
フランツ	فرانتس
個別	فرد
個別	شخصی
ベクトル	بردار
古河	فوروکاوا
津波	سونامی
美女	خوشگلا
美女	زیبایی
テック	متخصصین
テック	تکنولوژی
テック	فناوری
プラットフォーム	سکو
プラットフォーム	سکوی
プラットフォーム	سکوهای
水泳	شنای
水泳	شنا
水泳	شناگر
大村	اومورا
ダンサー	رقاص
ダンサー	رقصنده
ダンサー	رقاصه
考古学	باستانشناسی
外側	بیرونی
外側	ظاهری
外側	خارجی
三条	سانجو
征服	غلبه
征服	فتح
征服	تسخیر
監査	حسابرسی
早い	پگاه
早い	اوایل
通路	راهروی
港湾	بندر
港湾	درگاه
集会	محفل
集会	مجلس
集会	مجمع
ミラノ	میلان
ミラノ	میلانو
封印	مهر
封印	مُهر
封印	مهری
切り替え	سوئیچ
切り替え	سویچ
切り替え	تعویض
切り替え	ضامن
嫌い	متنفرم
嫌い	نفرت
嫌い	ناخوش
嫌い	تنفر
嫌い	متنفر
サイン	علامت
サイン	امضاء
サイン	امضا
人材	کارکنان
人材	پرسنل
遭遇	دیدار
遭遇	رویارویی
スティック	چوب
密度	چگالی
密度	تراکم
同僚	همکار
同僚	همکاران
建築物	ساختمانها
建築物	ساختمانهای
方程式	معادله
方程式	معادلات
スイッチ	سوئیچ
スイッチ	سویچ
スイッチ	تعویض
レスリング	کشتی
壊滅	نابودی
知的	هوشمند
知的	باهوش
知的	خردمند
花火	آتشبازی
豊臣	تویوتومی
フラッシュ	فلش
フラッシュ	سیفون
フラッシュ	فلاش
ボイス	صدای
ボイス	صدا
修復	بازگردانی
修復	مرمت
修復	ترمیم
闘争	کشمکش
闘争	جهاد
久保	کوبو
宿泊	پذیرایی
宿泊	قرارگاه
宿泊	سازش
洪水	سیل
ナス	بادمجان
ナス	بادنجان
くま	کوما
保証	گارانتی
保証	تضمین
保証	تضمینی
保証	ضمانت
保証	حجت
保証	ضامن
三田	ساندا
想い	افکارش
想い	افکار
ホラー	وحشت
ホラー	ترسناک
ダグラス	داگلاس
城主	دژبان
ラウ	لائو
維新	بازگردانی
維新	مرمت
維新	ترمیم
コイン	سکه
踊り	رقصیدن
踊り	رقص
踊り	رقصهای
刑務所	زندانهای
刑務所	زندان
刑務所	زندانها
重力	جاذبه
重力	گرانش
重力	گرانشی
瀬戸	ستو
ドメイン	دامنه
パーティ	جشن
パーティ	مهمونی
パーティ	حزب
パーティ	احزاب
パーティ	پارتی
パーティ	مهمانی
スーツ	برازنده
クラーク	کلارک
ジャージー	جرسی
ジャージー	جرزی
ジャージー	نیوجرسی
漁業	شیلات
松下	ماتسوشیتا
追跡	تعقیب
彫刻	حکاکی
彫刻	مجسمه
彫刻	حک
彫刻	تندیس
無関係	نامربوط
砂漠	اعراب
砂漠	بیابان
砂漠	کویر
砂漠	بیابانی
砂漠	صحرا
セミ	زنجره
マーガレット	مارگرت
マーガレット	مارگارت
砲撃	بمباران
ひかり	هیکاری
新井	آرای
スロー	آهسته
曲線	منحنی
恐竜	دایناسور
恐竜	دایناسورها
レビュー	مرور
レビュー	بازبینی
レビュー	نقدهای
レビュー	بازدید
セックス	جنسیت
セックス	جنسی
セックス	سکس
追記	الحاق
追記	پیوستن
ピア	همتا
ピア	پیا
ピア	همسالان
ピア	نظیر
パレード	رژه
ゴム	لاستیک
ゴム	لاستیکی
コラボレーション	همکاری
フィン	فین
レオン	لیون
レオン	لئون
警察官	پلیس
警察官	پولیس
部族	قبیله
メロディ	آهنگ
メロディ	ملودی
プレート	پلاک
プレート	بشقاب
結晶	بلوری
結晶	بلور
結晶	کریستال
結晶	آبگینه
ハンド	دست
見出し	تیتر
真田	سانادا
カレー	نان
昆虫	حشره
昆虫	حشرات
墓地	قبرستان
墓地	گورستان
妊娠	باردار
妊娠	آبستن
妊娠	بارداری
妊娠	حامله
妊娠	حاملگی
野菜	سبزیجات
叔父	عمو
叔父	عموی
叔父	دایی
コンクリート	بتن
コンクリート	بتون
河口	مصب
足立	آداچی
エントリー	ورودی
エントリー	مدخل
エントリー	ورود
釣り	ماهیگیری
ストア	فروشگاه
ストア	ذخیره
フロー	جریان
南極	جنوبگان
ハッピー	مبارک
ハッピー	شاد
ハッピー	خوشحال
ハッピー	خوش
ハッピー	خوشبخت
ノーベル	نوبل
センチメートル	سانتیمتر
スクリーン	پرده
シェル	پوسته
シェル	شل
シェル	صدف
グラス	شیشه
グラス	لیوان
グラス	گلاس
グラス	گلس
雰囲気	اتمسفر
化粧	آرایش
化粧	گریم
化粧	آرایشی
恒星	اختری
恒星	استار
恒星	ستاره
ビス	بیس
シュート	شوت
シュート	شلیک
介護	مراقبت
ハンス	هانس
西田	نیشیدا
水平	افقی
野口	نوگوچی
本多	هوندا
スカウト	پیشاهنگ
じゅん	ژون
職人	صنعتگران
職人	صنعتگر
改定	بازبینی
調理	پختن
調理	پخت
調理	آشپزی
秀樹	هیدکی
エロ	شهوانی
ホセ	جوز
ホセ	ژوزه
ホセ	خسه
ホセ	خوزه
コーン	حبوبات
コーン	میخچه
コーン	مخروطی
コーン	ذرت
コーン	مخروط
コーン	قیف
スキル	مهارت
スキル	مهارتهای
スキル	مهارتی
スキル	مهارتش
サイクル	چرخه
サイクル	سیکل
志村	شیمورا
名作	شاهکار
マット	مَت
マット	پادری
マット	تشک
ツイン	دوقلو
最小	کمینه
最小	کمترین
フォーラム	فورم
書き込み	بنویسید
書き込み	نویسند
書き込み	بنویسد
書き込み	نوشت
書き込み	نوشتن
書き込み	نویسندگی
地中海	مدیترانه
勇者	شجاعی
勇者	شجاع
勇者	دلیر
勇者	دلاوری
シェア	اشتراک
シェア	سهام
シェア	سهم
大洋	اقیانوس
大洋	اقیانوسی
大洋	اقیانوسها
ハインリヒ	هاینریش
俳句	هایکو
悲劇	تراژدی
マルクス	مارکوس
マルクス	مارکس
ヴァン	وَن
ヴァン	فان
ヴァン	ون
ヴァン	وان
改変	دگرگونی
分散	واریانس
ビリー	بیلی
垂直	عمود
乾燥	خشکیده
乾燥	خشک
落下	پاییز
落下	افتادن
落下	سقوط
マリン	مارین
マリン	دریایی
スタンダード	استاندارد
繊維	الیاف
繊維	فایبر
繊維	پارچه
繊維	فیبر
待ち	منتظریم
待ち	منتظر
待ち	انتظار
待ち	منتظرم
スパ	چشمه
スパ	اسپا
エンターテイメント	سرگرمی
エンターテイメント	پذیرایی
エンターテイメント	تفریحات
検出	آشکارسازی
検出	تشخیص
配列	آرایه
体力	قوت
体力	استحکام
体力	نیرو
体力	قدرت
コンテナ	کانتینر
コンテナ	محتوی
ライアン	رایان
ライアン	راین
ペルー	پرو
ケンタッキー	کنتاکی
荒木	اراکی
ルシア	لوسیا
アンテナ	انتن
アンテナ	آنتن
ヒロ	هیرو
ラマ	لاما
フェニックス	فینیکس
フェニックス	سیمرغ
フェニックス	فونیکس
フェニックス	فینکس
フェニックス	ققنوس
船体	هال
船体	بدنه
狩り	شکار
キッド	کید
エコ	اکو
クリスチャン	کریستین
クリスチャン	کریستیان
クリスチャン	مسیحی
クリスチャン	کریستن
チケット	بلیت
チケット	بلیط
吉村	یوشیمورا
幻想	توهم
幻想	وهم
淡路	آواجی
イリノイ	ایلینوی
フォト	عکس
フォト	فتو
石炭	زغال
石炭	ذغال
ウィルソン	ویلسون
ボウ	کمان
ボウ	سجده
ボウ	تعظیم
ボウ	باو
ループ	حلقه
書き換え	بازنویسی
せつ	دمل
せつ	جوش
せつ	جوشش
開く	باز
開く	افتتاح
開く	افتتاحیه
電圧	ولتاژ
流し	روشویی
流し	سینک
ジェリー	جری
和解	توافق
和解	سازش
和解	اسکان
和解	قرارگاه
和解	مصالحه
喜劇	کمدی
光学	نوری
光学	اپتیک
トミー	تامی
ライター	نویسنده
ライター	سبکتر
ライター	فندک
ライター	روشنتر
信用	اعتباری
信用	اعتبار
タイガー	تایگر
タイガー	ببری
タイガー	ببر
タイガー	پلنگ
ビジュアル	بصری
ビジュアル	دیداری
ビジュアル	تصویری
増田	ماسودا
デヴィッド	دیوید
デヴィッド	داوود
デヴィッド	داود
デヴィッド	داوید
割引	تخفیف
カナ	کانا
クレイ	کلی
クレイ	گلی
クレイ	کرای
変数	متغیر
変数	متغیرها
影響力	تاثیر
影響力	نفوذ
影響力	تأثیر
カテゴリー	دسته
カテゴリー	مقوله
ストレート	تفحص
ストレート	تمیزی
ストレート	شسته
牧師	پاستور
ウルフ	گرگ
ウルフ	ولف
ウルフ	گرگه
ウルフ	وولف
フロンティア	مرزی
純粋	پاک
純粋	ناب
純粋	خالص
役職	موقعیت
役職	موضع
役職	عناوین
支払	پرداختی
支払	اجری
支払	پرداخت
