年	год
晴	солнечная
晴	солнечно
性別	секс
性別	пол
腔	полость
腔	полости
雁	гусь
雁	гуси
夏威夷	гавайский
夏威夷	гавайи
邊界	границу
邊界	границы
邊界	границ
邊界	граница
蛤	моллюсков
普及	универсальное
普及	универсальные
普及	универсальная
普及	всеобщего
普及	универсальный
差距	разрыв
差距	пробел
差距	пробелы
盒	коробка
盒	шкатулка
盒	ящик
盒	коробку
豬	свиньи
豬	свиней
豬	свинья
牆	стене
牆	стены
牆	стенки
牆	стена
牆	стен
牆	уолл
貨幣	валют
貨幣	валюта
貨幣	денежная
貨幣	валюты
鶴	краны
鶴	кран
鶴	крейн
隸屬	принадлежность
添	тима
添	тим
企圖	попытки
企圖	попытка
企圖	покушение
蝴蝶	бабочка
蝴蝶	бабочек
蝴蝶	бабочки
社團	ассоциации
社團	ассоциаций
鯨	кита
鯨	китов
鯨	кит
優勢	превосходства
優勢	преимущество
優勢	преимущества
優勢	превосходство
舌	язык
現實	реальность
現實	реальности
形態	морфология
真相	правда
真相	истина
真相	правду
步行	прогулка
步行	ходить
步行	прогулки
步行	пройтись
步行	пешком
車廂	купе
車廂	отсек
韓語	корейская
韓語	корейском
韓語	корейский
日圓	иен
日圓	йена
日圓	йен
礁	рифов
基督徒	христиан
基督徒	кристиан
基督徒	христианин
基督徒	христианство
基督徒	христиане
假設	предположение
假設	допущение
假設	гипотеза
假設	предполагая
假設	предположения
假設	допущения
假設	гипотетически
搭配	смешать
搭配	микс
轉移	передача
轉移	перенос
轉移	трансфер
周邊	неподалеку
周邊	рядом
周邊	окружающие
周邊	периметр
周邊	поблизости
周邊	периферийных
繁忙	занят
繁忙	занята
繁忙	занято
繁忙	заняты
清真寺	мечети
清真寺	мечетей
清真寺	мечеть
排除	исключить
排除	исключение
排除	отчуждение
排除	исключения
輔助	вспомогательные
輔助	вспомогательная
輔助	дополнить
輔助	вспомогательных
輔助	дополнять
輔助	вспомогательное
颶風	ураган
颶風	ураганов
颶風	ураганы
塞爾維亞	сербии
塞爾維亞	сербия
錯	неправильный
錯	неправильно
錯	неверно
仿	имитация
曼谷	бангкок
曼谷	бангкоке
加利福尼亞	калифорния
加利福尼亞	калифорнии
婦女	женщины
婦女	женщин
改進	улучшить
改進	улучшилось
改進	совершенствование
改進	улучшения
改進	усовершенствования
改進	улучшилась
改進	улучшение
改進	улучшать
正義	праведники
正義	правосудия
正義	праведный
正義	праведные
正義	справедливость
正義	правосудие
艇	лодка
艇	яхта
艇	катера
艇	лодки
艇	лодку
艇	лодке
模擬	моделирования
模擬	аналоговых
模擬	аналоговые
模擬	аналог
模擬	моделирование
伊斯蘭	исламская
伊斯蘭	исламское
伊斯蘭	исламский
伊斯蘭	ислам
伊斯蘭	исламские
最強	сильнейший
貨物	грузов
貨物	груз
貨物	товаров
貨物	товары
貨物	грузы
局部	местное
局部	местные
局部	частичный
局部	частично
局部	местных
局部	локальные
局部	частичная
局部	частичное
局部	местный
局部	отчасти
局部	местная
木星	юпитер
天才	таланты
天才	гений
天才	гениально
天才	гении
天才	талант
影響力	воздействие
影響力	влияние
影響力	результативность
影響力	последствия
影響力	эффект
附屬	филиал
婷	тинг
海峽	пролива
海峽	канал
海峽	пролив
海峽	проливах
海峽	каналы
她們	они
保育	сохранение
爪	коготь
爪	лапу
爪	когти
筆	ручка
筆	карандаш
筆	пен
筆	перо
筆	ручку
筆	ручки
垃圾	корзина
垃圾	мусор
垃圾	мусора
孔子	конфуций
音樂會	концерты
音樂會	концерт
音樂會	концертов
國籍	национальность
國籍	гражданства
國籍	гражданство
鵬	пэн
轟炸機	бомбардировщики
轟炸機	бомбардировщик
要塞	крепость
要塞	форт
黎明	дон
黎明	рассвете
黎明	рассвет
巴勒斯坦	палестину
巴勒斯坦	палестина
巴勒斯坦	палестины
跨越	пересечение
跨越	пересечения
暖	тепло
暖	тёплый
暖	теплая
暖	теплый
暖	теплые
刺激	стимулирование
刺激	стимулирования
刺激	стимулы
刺激	стимуляции
刺激	стимул
刺激	стимулировать
刺激	стимулов
彪	бяо
道教	даосизм
道教	даосские
借用	заимствования
租	прокат
租	аренда
租	аренду
勇士	воинов
勇士	воины
勇士	воин
因子	фактор
因子	фактором
因子	коэффициент
儲存	хранение
儲存	запасы
儲存	хранения
儲存	склад
儲存	накопление
儲存	хранилище
卡通	мультики
卡通	мультик
成年	взрослые
成年	взрослый
成年	взрослая
成年	взрослых
職位	положение
職位	должность
職位	должности
職位	позиции
職位	позиция
供奉	подношения
繁殖	разведения
繁殖	размножения
繁殖	породы
繁殖	порода
實驗室	лабораторий
實驗室	лаборатории
實驗室	лаборатория
敘述	рассказ
敘述	описательный
敘述	повествование
水晶	кристаллы
水晶	кристалл
水晶	кристал
跟隨	подписаться
秘魯	перу
反射	отражения
反射	рефлекс
反射	размышления
反射	отражает
反射	отражающие
反射	отражение
反射	отражающая
反射	соображения
那個	это
訊號	сигналы
訊號	сигнал
血液	крови
血液	кровь
後方	тыл
後方	сзади
後方	задняя
後方	задних
日常	повседневной
依靠	полагаясь
主人	хозяин
主人	мастер
審查	обзоров
審查	рассмотрение
審查	обзора
審查	пересмотреть
審查	цензуры
審查	обзоры
審查	обзор
審查	отзывы
分解	разложение
分解	разлагается
分解	разложения
福音	евангелие
馬德里	мадрид
馬德里	мадриде
可能性	возможности
可能性	вероятность
可能性	возможность
較高	выше
標示	метка
標示	маркировки
標示	отметить
標示	марк
標示	марка
標示	маркировка
經濟學	экономика
草地	трава
草地	травы
草地	луг
草地	траве
草地	траву
草地	лужайке
草地	газон
中午	полдень
減	уменьшить
減	уменьшение
減	минус
談判	переговоров
談判	переговоры
流通	поток
流通	тираж
流通	потока
費用	плата
費用	плату
費用	гонорар
費用	сборы
費用	расходы
費用	издержки
費用	цена
費用	стоимость
費用	затраты
購物	покупки
購物	магазин
重慶	чунцин
天氣	погода
加里	гэри
加里	гари
最少	минимум
最少	минимальный
最少	минимальная
最少	минимальное
撤銷	избежание
撤銷	расторжение
撤銷	отозвать
撤銷	отмена
撤銷	отменить
外觀	появление
外觀	фасад
外觀	внешность
氣體	газа
氣體	газ
氣體	газы
氣體	бензин
氣體	газов
喇嘛	лама
盟軍	союзников
盟軍	союзники
灰色	серого
灰色	грей
灰色	серые
灰色	серая
灰色	серый
妍	ён
累積	накапливаться
累積	накопления
累積	накопленный
累積	накопленные
累積	совокупное
累積	совокупный
累積	накопление
秩序	приказ
秩序	заказать
秩序	заказ
秩序	орден
秩序	порядок
蘇丹	судане
蘇丹	судан
侵略	агрессии
侵略	вторжение
侵略	агрессия
侵略	вторжения
鋼琴	рояль
鋼琴	пианино
鋼琴	фортепиано
監獄	тюрьма
監獄	тюрьмах
監獄	тюрьмы
監獄	тюрьме
徐州	сюйчжоу
區間	промежуток
區間	интервал
邊境	границы
邊境	границ
邊境	границу
邊境	рубеж
邊境	граница
獵	охоты
獵	охота
獵	хант
遺產	наследования
遺產	наследство
遺產	наследия
遺產	наследие
遺產	наследование
俄國	россия
獨特	уникальная
獨特	уникальное
獨特	уникальные
獨特	уникальный
電氣	электрическая
電氣	электрические
電氣	электрических
電氣	электрический
電氣	электрик
眉	брови
眉	бровь
股權	справедливость
股權	равенство
股權	равноправие
為什麼	почему
為什麼	зачем
評估	оценка
記憶體	рам
記憶體	памяти
記憶體	память
記憶體	рама
記憶體	воспоминание
擴展	расширенный
擴展	расширение
擴展	развернуть
擴展	продлен
擴展	продлить
擴展	продление
擴展	расширенное
擴展	расширенная
擴展	расширять
擴展	расширить
擴展	расширения
飯店	ресторан
飯店	гостиница
飯店	рестораны
飯店	отель
建國	государственности
建國	основание
較大	крупнее
泰山	тарзан
每月	ежемесячно
每月	ежемесячные
每月	месячные
每月	ежемесячный
更換	заменять
更換	заменить
更換	замены
更換	замена
更換	замену
快樂	радость
快樂	счастливая
快樂	джой
快樂	радости
快樂	счастливые
快樂	счастлива
快樂	счастливый
快樂	счастлив
守護	хранитель
守護	охрана
守護	гвардия
守護	охраняется
守護	опекун
守護	охранник
守護	страж
法語	французская
法語	французы
法語	французский
法語	французское
頭部	голова
頭部	голову
頭部	головка
玩具	игрушка
玩具	игрушки
玩具	игрушку
盆地	бассейны
盆地	бассейнов
盆地	бассейна
盆地	бассейн
增長	рост
增長	роста
粉絲	фанат
粉絲	вентилятор
粉絲	фанаты
粉絲	поклонник
粉絲	фан
粉絲	поклонники
消除	ликвидации
消除	устранить
消除	ликвидация
消除	ликвидировать
畫家	художник
畫家	художники
消滅	истребление
消滅	уничтожать
消滅	уничтожить
消滅	уничтожение
消滅	разрушить
形狀	формы
形狀	форме
形狀	форма
形狀	фигуры
兵器	оружие
迫害	преследования
迫害	преследование
配偶	супруги
配偶	супруг
配偶	супруга
報紙	газету
報紙	газета
報紙	газеты
天文學家	астроном
天文學家	астрономы
硫	серы
硫	сере
腰	талия
腰	талии
強化	усиление
強化	укрепление
強化	усовершенствования
地產	недвижимость
地產	собственность
地產	имущество
地產	собственности
地產	свойство
天堂	рай
天堂	небо
天堂	небеса
代表性	представительство
關鍵	ключ
關鍵	ключевых
約克	йорк
約克	йорке
設計師	дизайнеров
設計師	дизайнеры
設計師	дизайнер
框架	рамки
框架	кадр
框架	рамку
槍管	ствол
抑制	подавление
抑制	пресечение
室內	крытый
互動	взаимодействие
互動	взаимодействовать
互動	вовлечение
互動	интерактивный
互動	взаимодействия
互動	интерактивные
互動	интерактивного
突擊	штурм
突擊	нападение
突擊	атака
西蒙	саймон
西蒙	симон
中等	средних
中等	среднее
中等	средняя
中等	средние
中等	средний
中等	умеренные
中等	умеренных
武士	самурай
淡	бледный
棚	сарай
棚	сарае
等於	равных
等於	равно
等於	равен
巨星	суперзвезда
國旗	флаг
國旗	флажок
保加利亞	болгария
保加利亞	болгарии
充足	достаточности
酯	эстер
判決	вердикт
判決	суждение
判決	приговор
羅馬尼亞	румынии
羅馬尼亞	румыния
入境	въезд
入境	въезда
案例	кейс
案例	дела
案例	случай
案例	случаи
案例	дело
案例	случае
提示	намёк
提示	реплика
提示	подсказки
提示	подсказку
提示	подсказка
提示	намек
提示	советы
周圍	вокруг
職員	клерк
原料	ингредиенты
服裝	костюм
服裝	одежду
服裝	одежды
服裝	костюмы
服裝	одежда
雷達	радар
排球	волейбол
狙擊	снайпера
狙擊	снайпер
滅絕	истребление
滅絕	вымерли
滅絕	вымирания
滅絕	уничтожение
納粹	нацистской
納粹	нацисты
勞動	труда
勞動	труд
確保	обеспечить
溫泉	спа
航行	судоходство
航行	паруса
航行	плавания
航行	навигации
航行	парус
航行	судоходства
流亡	изгнании
流亡	изгнание
吹	удар
傾向	склонность
傾向	наклона
傾向	тенденция
修復	починить
修復	исправить
修復	восстановления
修復	ремонт
修復	восстановление
九十	девяносто
癌	карцинома
癌	рак
瓶	бутылка
瓶	бутылку
領地	территория
飲食	диеты
飲食	диета
飲食	кухня
飲食	ем
飲食	рацион
社會主義	социалистическая
社會主義	социалистической
社會主義	социализм
輻射	излучение
輻射	радиоактивный
輻射	радиоактивности
輻射	радиация
輻射	радиации
輻射	радиоактивные
輻射	радиоактивных
驚	удивлен
驚	удивлён
驚	шок
驚	удивлена
驚	удивил
驚	шоке
女友	девушка
女友	подружка
女友	подружки
女友	подруга
奶	молочный
奶	молока
奶	молоко
壓	давление
季節	сезонов
季節	сезон
季節	сезонных
生態	экологическая
生態	экологии
生態	экологическое
生態	экологические
生態	экологический
生態	экологических
資深	старший
資深	старшие
資深	старших
雞	куриные
雞	курица
直升機	вертолетов
直升機	вертолеты
直升機	вертолет
直升機	вертолёт
夥伴	партнер
夥伴	партнёр
夥伴	партнеры
夥伴	партнеров
夥伴	партнёры
夥伴	напарник
床	кровать
床	кровати
床	постель
床	постели
信任	доверие
信任	доверяли
信任	довериться
信任	доверять
信任	доверял
袋	мешок
袋	мешки
袋	пакеты
袋	сумку
袋	сумки
袋	сумка
袋	пакет
各省	провинции
各省	провинций
踢	удар
重力	гравитация
判斷	суждение
判斷	осуждаю
驅逐艦	эсминцев
散文	проза
秘書	секретарша
秘書	секретарь
棕	браун
棕	коричневые
棕	коричневый
藥物	наркотики
藥物	лекарство
藥物	наркотиками
藥物	медицины
藥物	препарат
藥物	медицина
藥物	лекарства
藥物	наркотик
藥物	медикаменты
複製	репликации
複製	дублировать
複製	копировать
複製	размножения
複製	копия
複製	скопировать
複製	копирование
捐	пожертвования
捐	пожертвовать
捐	пожертвование
江蘇	цзянсу
哈佛	гарвард
指揮官	коммандер
指揮官	командир
指揮官	командор
指揮官	командующий
院校	колледжи
院校	колледжей
提議	предложение
提議	предложения
交付	поставка
交付	поставки
交付	доставка
交付	доставить
傷害	вред
傷害	вреда
傷害	больно
吉爾	джилл
吉爾	джил
不利	неблагоприятных
不利	неблагоприятные
不利	неблагоприятное
死者	пострадавший
死者	жертва
死者	потерпевший
古蹟	памятников
古蹟	памятники
有利	благоприятное
有利	благоприятная
有利	благоприятные
有利	благоприятный
類別	класс
類別	классы
類別	категорий
類別	категории
類別	занятия
類別	категория
復活	воскресение
復活	воскрешение
復活	воскрешения
邊緣	края
邊緣	краю
邊緣	край
邊緣	грань
邊緣	пограничная
酷	круто
酷	крутые
酷	крутая
酷	классные
辭職	отставку
視覺	визуальный
視覺	видение
視覺	зрение
精英	элиты
精英	элита
虛構	фиктивные
虛構	вымышленный
可惜	жалко
可惜	жалость
可惜	жаль
假期	праздники
假期	отдых
假期	праздником
假期	отпуск
假期	каникулы
假期	праздник
軍人	солдат
言論	риторики
樊	фан
樊	фанат
樊	вентилятор
樊	поклонник
採訪	собеседования
採訪	интервью
採訪	беседы
採訪	беседа
採訪	собеседование
加藤	като
芯	харт
陰	инь
結局	окончание
結局	конец
旋轉	повернуть
旋轉	вращение
旋轉	поворот
旋轉	ротации
旋轉	вращения
額外	дополнительное
額外	дополнительные
額外	дополнительная
平日	будни
美食	кухня
札幌	саппоро
軍官	офицер
近期	недавние
近期	последние
近期	недавно
近期	недавнее
物理學	физики
物理學	физика
具體	бетон
具體	конкретная
具體	конкретный
具體	конкретные
具體	конкретных
具體	конкретное
黎巴嫩	ливана
黎巴嫩	ливане
黎巴嫩	ливанские
黎巴嫩	ливан
領導人	лидеров
領導人	лидеры
領導人	лидер
領導人	руководители
領導人	руководитель
比率	соотношение
比率	коэффициенты
比率	соотношения
武力	сила
武力	силу
武力	силы
武力	усилие
醫師	доктор
醫師	врач
三重	тройной
器官	орган
器官	органов
器官	органы
山谷	долины
山谷	долина
山谷	долине
創意	творчество
創意	творческих
創意	творческая
創意	оформление
創意	творческий
牛津	оксфорд
當代	современная
當代	современное
當代	современные
當代	современный
當代	современных
協定	соглашение
協定	соглашения
行人	пешеходов
規格	спецификация
規格	спецификации
終止	прекращения
終止	увольнение
終止	прервать
終止	прекращение
波士頓	бостон
雕	ястреб
雕	игл
雕	орел
雕	орёл
地獄	ад
混淆	путаницы
混淆	запутать
混淆	путаница
混淆	замешательство
混淆	запутался
參數	доводы
參數	аргументы
參數	параметр
藏族	тибетский
藏族	тибетцев
降雨量	осадки
降雨量	осадков
區劃	зонирования
共用	обмена
共用	поделитесь
共用	поделилась
共用	разделяет
共用	доля
共用	разделить
共用	поделился
共用	поделиться
共用	поделились
插曲	эпизод
插曲	серия
樂器	приборы
樂器	инструменты
樂器	инструмент
清理	очистки
清理	очистка
來賓	гостей
來賓	гости
來賓	гость
耶路撒冷	иерусалим
雕塑	статуя
雕塑	скульптуры
雕塑	скульптура
藝術家	исполнитель
藝術家	исполнители
藝術家	артист
藝術家	художников
藝術家	артисты
藝術家	художник
藝術家	художники
廣西	гуанси
命運	судьба
命運	судьбы
命運	судьбу
料理	кухня
房子	дом
房子	хауз
房子	хаус
房子	дома
崇拜	поклонение
崇拜	поклоняться
崇拜	культ
積分	очков
積分	точек
積分	точки
積分	очки
擔心	обеспокоен
擔心	волнуется
擔心	волноваться
例外	изъятия
例外	исключением
例外	исключение
例外	исключения
布拉格	праге
布拉格	прага
指南	руководство
指南	проводник
指南	руководства
指南	гид
指南	ведет
插入	вставить
插入	включить
插入	вставка
明珠	жемчуг
明珠	перл
明珠	жемчужина
螺旋	спираль
螺旋	спирали
珊瑚	кораллы
珊瑚	коралловых
遼	ляо
財務	финансовые
財務	финансы
財務	финансовая
財務	финансирование
財務	финансовых
預測	прогноз
預測	прогнозирования
預測	проекция
預測	предсказания
預測	прогнозы
預測	предсказание
期望	ожидание
期望	ожидания
呼籲	призыв
呼籲	обжалование
呼籲	обжаловать
呼籲	апелляции
呼籲	апелляций
呼籲	призывы
呼籲	апелляция
公平	справедливо
公平	ярмарка
公平	справедливых
公平	справедливая
公平	равенство
公平	равноправие
公平	справедливый
公平	справедливость
電池	аккумулятор
電池	батарейки
電池	батарей
電池	батареи
電池	батарея
窄	узкие
窄	сузить
窄	узкий
窄	узких
失蹤	отсутствует
失蹤	исчезновения
失蹤	исчезновение
獵人	охотник
獵人	охотники
獵人	хантер
獵人	охотников
葡萄	виноград
老闆	босс
介入	вмешаться
皇室	королевские
皇室	роялти
皇室	королевский
皇室	королевская
皇室	королевской
零售	розничной
富豪	миллиардер
靈魂	души
靈魂	душу
靈魂	соул
靈魂	душа
杏	абрикос
殼	оболочка
殼	снаряды
殼	снарядов
工程師	инженеры
工程師	инженеров
工程師	инженер
祖母	бабушка
春天	весенний
春天	весна
用法	использования
用法	использование
用法	употребление
吋	дюйм
神戶	кобе
省級	провинциальных
省級	провинциальные
手術	хирургия
手術	эксплуатация
手術	операция
行李	багаж
行李	багажа
旁白	рассказчик
穿著	ношение
司徒	стюарта
司徒	стюарт
癌症	рак
練習	упражнение
練習	упражнения
練習	практика
練習	практике
練習	тренироваться
機體	организм
機體	организма
分散	разбросаны
奇怪	странная
奇怪	странный
奇怪	странно
奇怪	странные
奇怪	странное
氮	азот
氮	азота
同性戀	гей
同性戀	гомосексуализм
同性戀	геи
抱	объятия
抱	обнять
圖書	книга
圖書	книгу
圖書	книги
圖書	книг
岡山	окаяма
情感	эмоциональные
情感	эмоциональный
情感	эмоциональной
情感	эмоциональная
情感	эмоции
鴨	уток
鴨	дак
鴨	утка
鴨	утки
鴨	утку
妖	демон
臉	лицом
臉	лица
臉	лицо
開啟	открыто
開啟	открытая
開啟	открытый
開啟	открыть
效應	последствия
效應	эффекты
效應	эффект
交叉	кроссовер
交叉	крест
交叉	креста
交叉	кросс
分數	баллы
分數	фракции
分數	счёт
分數	счет
分數	очко
分數	дроби
分數	дробный
遊客	туристы
遊客	туристов
遊客	туристических
遊客	турист
遊客	гости
遊客	посетителей
遊客	туристический
遊客	посетители
分行	ветки
分行	ветвь
分行	сектор
分行	филиал
分行	отрасли
分行	отделений
分行	филиалы
分行	ветви
騎兵	кавалерии
強制	обязательна
強制	обязательный
強制	обязательная
強制	принуждения
強制	обязательные
強制	обязательное
強制	принуждение
強制	обязательных
女生	девушки
女生	девочек
女生	девочки
女生	девчонка
女生	девчонки
女生	девушка
女生	девочка
蒸汽	пар
蒸汽	паров
鍵	бонд
鍵	ключи
鍵	клавиши
鍵	ключ
鍵	ключевых
人事	персонал
可汗	хан
氯	хлора
干涉	вмешательства
干涉	помехи
干涉	интервенции
干涉	вмешательство
干涉	вмешаться
經理	управляющий
經理	менеджер
雅各	джейкоб
雅各	якоб
雅各	яков
雅各	иакова
小提琴	скрипка
射手	стрелки
射手	стрелков
射手	стрелок
射手	стрелка
假日	праздником
假日	отдых
假日	праздник
假日	праздники
到期	истекает
到期	зрелость
到期	истечении
到期	зрелости
敵	враг
敵	враги
物業	недвижимость
物業	собственность
物業	имущество
物業	собственности
物業	свойство
預算	бюджет
預算	бюджеты
釜山	пусане
閃	вспышка
閃	флеш
閃	флэш
雕像	статуи
雕像	статуя
敘利亞	сирии
敘利亞	сирию
敘利亞	сирийские
敘利亞	сирийской
敘利亞	сирия
敘利亞	сирийская
收回	отозвать
收回	снять
錄影帶	видеозапись
短期	короткая
短期	коротко
短期	короткие
短期	короткое
短期	короткий
貨	грузов
貨	грузы
貨	груз
首頁	дом
首頁	домой
首頁	дома
首頁	домашний
西貢	сайгон
引力	гравитация
德文	германии
德文	немецкое
德文	немецкие
德文	немец
德文	немецкий
德文	немецкая
霧	туман
市鎮	муниципалитеты
市鎮	коммун
市鎮	общины
市鎮	коммуны
市鎮	муниципалитетов
免疫	иммунитет
免疫	иммунной
免疫	иммунизации
免疫	неприкосновенность
編碼	кодирование
編碼	кодирования
編碼	код
吸	отстой
啤酒	пива
啤酒	пиво
星期五	пятницу
星期五	пятница
星期五	пт
里程	пробег
上訴	призыв
上訴	обжалование
上訴	обжаловать
上訴	апелляции
上訴	апелляций
上訴	призывы
上訴	апелляция
老虎	тигр
老虎	тигры
敏感	чувствительные
敏感	чувствительный
敏感	чувствительности
敏感	чувствительность
敏感	чувствительных
向前	вперёд
向前	вперед
時裝	моды
時裝	мода
時裝	модные
時裝	модный
富有	богатые
富有	богатых
富有	богатый
富有	богат
富有	рич
富有	богатая
火炮	артиллерийский
火炮	артиллерийские
火炮	артиллерия
每周	еженедельно
任何人	любой
簡體	упростить
簡體	упрощение
魔女	ведьма
擴張	расширение
擴張	развернуть
擴張	расширяется
擴張	расширены
擴張	расширить
擴張	расширять
擴張	расширенные
擴張	расширения
斷	сломан
斷	сломана
腦	мозги
腦	мозг
腦	мозгов
進步	прогрессивного
進步	прогрессивное
進步	прогресс
德語	германии
德語	немецкое
德語	немецкие
德語	немец
德語	немецкий
德語	немецкая
強度	сила
強度	интенсивности
強度	прочность
強度	интенсивность
走廊	коридор
走廊	коридоре
拆卸	демонтаж
拆卸	демонтажа
金額	суммы
金額	сумма
表格	формах
表格	формы
表格	формуляр
表格	бланки
表格	форма
表格	бланк
表格	форму
表格	форме
表格	форм
創新	новшества
創新	новаторских
創新	инновационные
創新	новаторский
創新	инноваций
創新	инновации
創新	новаторские
創新	нововведения
修正案	поправки
修正案	поправка
辦事處	канцелярия
辦事處	кабинет
辦事處	офис
叉	вилку
海灣	бей
海灣	залива
海灣	залив
海灣	бэй
希爾	хилл
希爾	холм
錄音	запись
農民	фермеры
農民	крестьяне
農民	фермер
農民	фермеров
農民	крестьян
赤道	экваториальная
赤道	экваториальной
赤道	экватора
回憶	воспоминание
回憶	воспоминания
回憶	памяти
回憶	память
有趣	интересно
有趣	интересные
有趣	интересная
有趣	интересный
有趣	интересное
雕刻	скульптуры
雕刻	скульптура
雕刻	резьбой
雕刻	гравировка
除外	кроме
金色	золотой
金色	золото
金色	золотая
金色	золотые
理性	причина
理性	рационально
理性	рациональность
理性	рациональное
理性	рационального
外表	появление
外表	внешние
外表	внешняя
外表	внешность
承諾	обещает
承諾	обязательство
承諾	обещания
承諾	приверженность
承諾	обязательства
承諾	обещание
承諾	обещаю
稅	налоговая
稅	налоговых
稅	налог
稅	налоги
缸	баллон
缸	цилиндр
童年	детства
童年	детство
催化	катализатора
百科全書	энциклопедия
橘	оранжевое
橘	оранжевый
橘	апельсин
建築師	архитекторов
建築師	архитектор
總是	всегда
彩色	цветные
彩色	цветной
彩色	цвета
彩色	цвет
工會	профсоюз
工會	союзы
工會	союза
工會	юнион
工會	союз
工會	профсоюзов
工會	профсоюзы
蜘蛛	паук
蜘蛛	пауки
離婚	развод
離婚	развелась
離婚	развелись
享受	наслаждался
享受	наслаждаться
享受	приятного
享受	пользуются
享受	наслаждается
享受	наслаждение
鑽石	алмазы
鑽石	бриллианты
鑽石	алмазов
鑽石	алмаз
鑽石	бриллиант
吉祥	благоприятный
週五	пт
週五	пятница
週五	пятницы
週五	пятницам
週五	пятницу
肌	мышцы
肌	мышца
肌	мускулы
美女	красивая
美女	красотки
美女	красавицы
美女	красота
美女	красавица
美女	красивые
美女	красиво
神經	нерв
神經	нервы
助手	ассистент
助手	помощник
溫哥華	ванкувере
窩	гнезда
窩	гнездо
地帶	полоса
地帶	стрип
混亂	путаница
混亂	замешательство
混亂	хаос
混亂	путаницы
大堂	фойе
大堂	лобби
裸	голые
裸	голой
裸	голая
裸	голый
校區	кампус
校區	кампуса
馬丁	мартен
馬丁	мартин
衝擊	потрясения
衝擊	воздействие
衝擊	влияние
衝擊	потрясений
衝擊	результативность
衝擊	шок
衝擊	последствия
衝擊	эффект
衝擊	шоке
廠商	поставщик
廠商	продавец
廠商	изготовителем
廠商	производитель
廠商	изготовитель
光學	оптика
光學	оптических
卵	яйца
氟	фторид
氟	фтора
出租	такси
欄	колонке
欄	столбец
欄	колонка
欄	колонна
欄	колонны
欄	колонки
欄	столбцы
意志	завещания
軍方	военный
軍方	военная
軍方	военных
軍方	военные
真理	истины
真理	правда
真理	истина
真理	правду
過度	чрезмерные
過度	чрезмерная
過度	чрезмерного
過度	чрезмерное
過度	чрезмерно
街頭	улица
伺服器	серверов
伺服器	сервера
伺服器	сервер
伺服器	серверы
清晰	ясности
清晰	ясность
背面	хвосты
醫藥	лекарство
醫藥	медицины
醫藥	медицина
醫藥	лекарства
醫藥	медикаменты
推理	вывод
推理	рассуждения
變更	перемены
變更	изменение
變更	изменения
變更	сменить
變更	вариации
變更	изменить
新手	новичок
新手	начинающий
燒	сжигание
燒	ожог
燒	горит
燒	гореть
燒	сжечь
膠	гель
膠	клей
渡邊	ватанабэ
猶太人	иудеи
猶太人	еврей
猶太人	еврейских
猶太人	евреи
猶太人	еврейские
猶太人	еврейская
猶太人	евреев
猶太人	еврейский
分歧	расхождения
分歧	различия
分歧	отличия
分歧	разногласия
分歧	несогласие
分歧	расхождение
怪物	монстр
怪物	чудовище
書寫	написано
書寫	пишу
書寫	писать
書寫	письменные
書寫	письменное
書寫	письменный
書寫	написание
色情	порнография
色情	эротические
色情	порнографических
色情	порно
色情	порнографию
色情	порнографии
股東	акционеры
股東	акционеров
曝光	воздействию
曝光	воздействия
曝光	разоблачить
飛行員	экспериментальных
飛行員	пилот
劫	ограбление
劫	грабеж
鎖	замки
鎖	замок
鎖	заблокировать
鎖	блокировка
人群	толпы
人群	толпа
簡化	упорядочение
簡化	упрощения
簡化	упростить
簡化	упрощение
從未	никогда
土壤	почва
土壤	почв
土壤	почвы
再生	возрождение
再生	регенерации
水中	подводная
水中	подводного
水中	подводные
重組	реструктуризация
重組	реорганизация
重組	реструктуризации
重組	перестройка
示威者	протестующих
示威者	протестующие
示威者	демонстрантов
濤	тао
四方	квартет
四方	четверка
消費	потребление
消費	потребления
摩爾	мур
摩爾	крот
洗	мытья
洗	мыть
隕石	метеор
隕石	метеорит
井上	иноуэ
摧毀	уничтожать
摧毀	уничтожить
摧毀	разрушить
船隻	судна
船隻	лодка
船隻	корабли
船隻	сосуд
船隻	яхта
船隻	кораблей
船隻	катера
船隻	лодку
船隻	суда
船隻	лодки
船隻	сосуды
船隻	корабль
船隻	судно
船隻	лодке
船隻	судов
否定	отрицательный
否定	отрицательно
否定	отрицательное
否定	негативные
否定	отказ
否定	негативных
否定	отрицание
否定	отрицательные
個別	индивидуальное
個別	индивидуальная
個別	индивидуальный
個別	индивидуально
個別	индивидуальные
個別	отдельных
橙	апельсины
橙	оранжевое
橙	оранжевый
橙	апельсин
嚴格	строгое
嚴格	строго
嚴格	строгие
嚴格	строгая
嚴格	строгий
嚴格	строгого
排序	сортировки
排序	сортировка
漆	лак
物體	объекты
物體	предметы
物體	объектов
牙齒	стоматологические
牙齒	зуб
牙齒	зуба
牙齒	зубов
牙齒	зубы
薰	каору
元件	компонент
元件	компоненты
元件	элемент
元件	компонентов
協調	координации
協調	координация
協調	координировать
新秀	новичок
尾巴	хвост
妖怪	монстр
妖怪	чудовище
度假	отдых
度假	праздником
度假	отпуск
度假	каникулы
度假	праздник
扣	пряжки
客戶	клиента
客戶	покупатель
客戶	клиент
客戶	клиентов
客戶	посетитель
客戶	посетители
客戶	заказчик
客戶	клиенты
客戶	покупатели
喙	клюв
