மற்றும்	और
கொல்லப்பட்டனர்	मारे
க்கு	लिये
கத்தோலிக்க	कैथोलिक
மூன்றாவது	तृतीय
மூன்றாவது	तीसरा
மூன்றாவது	तीसरे
முந்தைய	पिछला
முந்தைய	पिछली
முந்தைய	पिछले
முந்தைய	पहले
இருந்தாலும்	हालांकि
இருந்தாலும்	यद्यपि
கடலூர்	कडलूर
இயக்கம்	ऑपरेशन
இயக்கம்	संचालन
இயக்கம்	आंदोलन
இயக்கம்	आपरेशन
இயக்கம்	आन्दोलन
இயக்கம்	गति
முனைவர்	पीएचडी
ஆண்டுகளுக்கு	सिकुड़े
நடிகர்கள்	अभिनेता
நடிகர்கள்	अभिनेताओं
உரை	टेक्स्ट
உரை	पाठ
குறிப்பு	व्याख्या
குறிப்பு	सन्दर्भ
குறிப்பு	नोट
குறிப்பு	संदर्भ
விருதுகள்	पुरस्कार
குறைவான	निम्न
குறைவான	कम
கடந்த	पिछला
கடந்த	आखिरी
கடந்த	अतीत
கடந்த	अंतिम
கடந்த	पास्ट
கடந்த	आखरी
ஆண்	मेन
ஆண்	पुरुषों
ஆண்	पुरुष
ஆண்	पुरूष
ஆண்	नर
ஆண்	मर्द
பிரதேச	डिवीजनल
திறன்	निपुणता
திறன்	क्षमता
திறன்	कौशल
கொள்கை	पॉलिसी
கொள்கை	नीति
உங்கள்	आपके
உங்கள்	आपकी
உங்கள்	अपने
உங்கள்	आपका
உங்கள்	अपना
உரிமை	अधिकार
உரிமை	अधिकारों
உரிமை	स्वामित्व
இல்லாத	फ़्री
இல்லாத	मुक्त
இல்லாத	बगैर
இல்லாத	फ्री
இல்லாத	मुफ्त
இல்லாத	निशुल्क
இல்லாத	आजाद
இல்லாத	बिना
இலக்கியம்	साहित्य
அடங்கும்	शामिल
வடிவம்	फार्मेट
வடிவம்	स्वरूप
வடிவம்	आकार
வடிவம்	फॉर्मेट
வடிவம்	फ़ॉर्मेट
வடிவம்	प्रारूप
வடிவம்	आकृति
நாடாளுமன்ற	संसदीय
நாடாளுமன்ற	लोकसभा
நாடாளுமன்ற	संसद
நாடாளுமன்ற	पार्लियामेंट
வாழ்ந்த	जिया
ஒன்றை	एक
பயிற்சி	प्रशिक्षण
பயிற்சி	प्रथा
பயிற்சி	ट्यूटोरियल
பயிற்சி	अभ्यास
கோட்டை	किला
கோட்டை	फोर्ट
உயிர்	जिन्दगी
உயிர்	जीवन
உயிர்	स्वर
உயிர்	ज़िन्दगी
உயிர்	जिंदगी
உயிர்	ज़िंदगी
சேர்த்து	शामिल
தீவுகள்	द्वीपसमूह
தீவுகள்	आइलैंड्स
காந்தி	गांधी
காந்தி	गाँधी
எழுத்து	वर्ण
எழுத்து	लिखकर
எழுத்து	कैरेक्टर
எழுத்து	लेखन
எழுத்து	अक्षर
எழுத்து	स्क्रिप्ट
எழுத்து	लिपि
எழுத்து	स्पेलिंग
எழுத்து	लिखना
எழுத்து	लिखने
எழுத்து	वर्तनी
விளக்கம்	विवरण
விளக்கம்	वर्णन
வேலூர்	वेल्लोर
சூரிய	सौर
எழுதி	बर्नर
எதிரான	विरुद्ध
எதிரான	विरूद्ध
எதிரான	खिलाफ
எட்டு	आठ
உலகம்	विश्व
உலகம்	ग्लोब
உலகம்	भूगोल
உலகம்	विश्वव्यापी
உலகம்	जग
உலகம்	दुनिया
உலகம்	संसार
உலகம்	वैश्विक
ஏனெனில்	क्युकी
ஏனெனில்	क्योंकि
ஏனெனில்	क्योकि
சேலம்	सलेम
சாதாரண	सादा
சாதாரண	मैदान
சாதாரண	सामान्य
அரசியல்வாதிகள்	राजनेता
கூடுதல்	अतिरिक्त
இந்தி	हिन्दी
இந்தி	हिंदी
வெளியிடப்பட்டது	प्रकाशित
தாய்	maa
தாய்	माँ
தாய்	ताई
தாய்	थाई
பண்டைய	प्राचीन
தடை	अवरोधित
தடை	छोड़ें
தடை	इंटरप्ट
தடை	बैन
தடை	प्रतिबंधित
தடை	इन्टरनेट
தடை	प्रविष्ट
தடை	व्यवधान
விமான	विमानन
விமான	विमान
விமான	विमानों
இப்போது	अभी
இப்போது	अब
தெலுங்கு	तेलुगु
தெலுங்கு	तेलुगू
குழந்தை	संतति
குழந்தை	बच्चा
குழந்தை	किड
குழந்தை	शिशु
குழந்தை	चाइल्ड
குழந்தை	बच्चे
குழந்தை	बालक
கண்டு	पाये
கண்டு	पाया
கண்டு	ढूँढें
கண்டு	मिले
கண்டு	mile
கண்டு	ढूंढें
கண்டு	मिली
கண்டு	मिला
விக்கி	विकिपीडिया
விக்கி	विक्की
விக்கி	विक
விக்கி	विकि
விக்கி	विकी
சிங்கப்பூர்	सिंगापुर
கடவுள்	भगवान
கடவுள்	अल्लाह
கடவுள்	ईश्वर
கடவுள்	देवता
கடவுள்	परमेश्वर
மையம்	बिन्दुपथ
மையம்	बीच
மையம்	मध्य
மையம்	केंद्र
மையம்	केन्द्र
சட்ட	कानूनी
சட்ட	विधिक
சட்ட	लीगल
காட்சி	प्रदर्शक
காட்சி	दिखाओ
காட்சி	सीन
காட்சி	देखें
காட்சி	शो
காட்சி	झाँकी
காட்சி	प्रदर्शन
காட்சி	दिखाएं
காட்சி	दृश्य
காட்சி	दिखाएँ
காட்சி	प्रदर्शित
வங்கி	बैंको
வங்கி	बैंकिंग
வங்கி	बैंक
வங்கி	बैंकर
நடிகை	अदाकारा
நடிகை	अभिनेत्री
சங்கம்	सम्बद्धता
சங்கம்	संगम
சங்கம்	एसोसिएशन
சங்கம்	संघ
பயணம்	यात्रा
பயணம்	सफर
பயணம்	सफ़र
பயணம்	ट्रिप
தீவு	द्वीप
தீவு	आइलैंड
தில்லி	दिल्ली
நிர்வாக	प्रशासनिक
ஒளி	हल्का
ஒளி	प्रकाश
ஒளி	लाइट
ஒளி	रोशनी
ஆசிய	एशियाई
விகிதம்	प्रतिशत
விகிதம்	अनुपात
விகிதம்	रेट
விகிதம்	दर
சாலை	रोड
சாலை	सड़क
கொழும்பு	कोलंबो
கொழும்பு	कोलोन
கொழும்பு	कोला
குடியரசு	गणराज्य
குடியரசு	गणतंत्र
நகரங்கள்	शहर
நகரங்கள்	शहरों
பிள்ளை	पिल्लै
அனைத்தும்	सब
அனைத்தும்	सभी
அனைத்தும்	सबकुछ
மேலாண்மை	प्रबन्धन
மேலாண்மை	प्रबंधन
சிவகங்கை	शिवगंगा
இங்கே	यहा
இங்கே	यहां
இங்கே	यहाँ
இயற்பியல்	भौतिकी
இதழ்	पत्रिका
கலைஞர்	कलाकार
குறிப்பிடத்தக்கது	उल्लेखनीय
ஒலிம்பிக்	ओलम्पिक
ஒலிம்பிக்	ओलंपिक
ஒலிம்பிக்	ओलंपिक्स
மலேசிய	मलेशियाई
தேனி	थेनी
மாவட்டங்கள்	जिले
உருவாக்கப்பட்டது	निर्मित
உருவாக்கப்பட்டது	बनाए
உருவாக்கப்பட்டது	बनाया
எவ்வாறு	कैसे
எவ்வாறு	केसे
எவ்வாறு	कैसा
தொடங்கியது	प्रारंभ
தொடங்கியது	शुरू
வெள்ளை	श्वेत
வெள்ளை	सफेद
வெள்ளை	सफ़ेद
இருப்பது	होने
எப்படி	कैसे
எப்படி	केसे
எப்படி	कैसा
பில்லியன்	अरब
பில்லியன்	अरबों
பில்லியன்	बिलियन
பேரரசு	साम्राज्य
நீளம்	लम्बाई
நீளம்	लंबाई
ஆராய்ச்சி	शोध
ஆராய்ச்சி	अनुसंधान
தளம்	साइटें
தளம்	डोमेन
தளம்	आधार
தளம்	मंच
தளம்	बेस
தளம்	साईट
தளம்	प्लेटफ़ॉर्म
தளம்	प्लेटफॉर्म
தளம்	साइट
விழா	फ़ेस्टिवल
விழா	त्योहार
விழா	रस्म
விழா	पर्व
விழா	उत्सव
விழா	त्यौहार
விழா	समारोह
பக்கத்தில்	पेज
பக்கத்தில்	पृष्ठ
சங்க	सांगा
சங்க	संगम
சங்க	सांग
புற	दूरस्थ
புற	रिमोट
முன்னணி	सामने
முன்னணி	अग्र
முன்னணி	अग्रभूमि
முன்னணி	समक्ष
புவியியல்	भूगोल
அடையாளம்	पहचान
அடையாளம்	टैग
அடையாளம்	चिह्न
குறியீடு	कोड
குறியீடு	प्रतीक
குறியீடு	चिह्न
குறியீடு	संकेत
குறியீடு	एनकोडिंग
குறியீடு	एन्कोडिंग
குறியீடு	संहिता
செயல்	कार्रवाई
செயல்	फंक्शन
செயல்	ऑपरेशन
செயல்	संचालन
செயல்	क्रिया
செயல்	एक्शन
செயல்	प्रकार्य
செயல்	फलन
செயல்	आपरेशन
செயல்	फ़ंक्शन
மன்னன்	राजा
மன்னன்	मनन
மன்னன்	बादशाह
மன்னன்	किंग
பயன்பாடு	उपयोग
பயன்பாடு	अनुप्रयोग
பயன்பாடு	एप्लिकेशन
பயன்பாடு	आवेदन
பயன்பாடு	ऐप
பயன்பாடு	प्रयोग
முறைகள்	विधियां
முறைகள்	विधियाँ
முறைகள்	विधि
சொந்த	स्वयं
சொந்த	निजी
சொந்த	पर्सनल
சொந்த	अपना
சொந்த	अपने
சொந்த	अपनी
சொந்த	खुद
சொந்த	व्यक्तिगत
வார்ப்புரு	टेम्प्लेट
வார்ப்புரு	टेम्पलेट
கிரேக்க	यूनानी
கிரேக்க	ग्रीक
காதல்	प्यार
காதல்	प्रेम
காதல்	रोमांटिक
காதல்	मोहब्बत
இவன்	इवान
இருவரும்	दोनों
இருவரும்	दोनो
பதிலாக	बजाय
வகைப்பாடு	वर्गीकरण
எடுத்துக்	लो
எடுத்துக்	ले
எடுத்துக்	लिया
எடுத்துக்	लें
கனடா	कनाडा
குழந்தைகள்	बच्चे
குழந்தைகள்	बच्चों
குழந்தைகள்	किड्स
அனைவரும்	सब
அனைவரும்	सभी
தகவல்கள்	एनोटेशन
தகவல்கள்	सूचना
தகவல்கள்	सुचना
தகவல்கள்	जानकारी
வில்லியம்	विलियम
அணு	अणु
அணு	परमाणु
பின்பு	फिर
பின்பு	तब
மாணவர்கள்	छात्रों
மாணவர்கள்	विद्यार्थी
சரியான	सही
சரியான	परिपूर्ण
சரியான	पूर्ण
சரியான	परफेक्ट
உருவாக்கப்பட்ட	निर्मित
உருவாக்கப்பட்ட	बनाए
உருவாக்கப்பட்ட	बनाया
சபை	मंत्रिपरिषद
சபை	सभा
சபை	काउंसिल
சபை	परिषद
சபை	असेम्बली
சபை	विधानसभा
தொடர்புடைய	संबद्ध
மருத்துவம்	मेडिकल
மருத்துவம்	औषधि
மருத்துவம்	दवा
மருத்துவம்	दवाई
மருத்துவம்	चिकित्सीय
மருத்துவம்	चिकित्सा
மருத்துவம்	आयुर्विज्ञान
கிராமம்	गाँव
கிராமம்	गांव
தாக்குதல்	हमला
தாக்குதல்	आपत्तिजनक
தாக்குதல்	उत्पीड़न
தாக்குதல்	हमले
தாக்குதல்	आक्रमण
தாக்குதல்	अप्रिय
கேரள	केरल
கேரள	केरला
மதிப்பு	मूल्य
மதிப்பு	मान
கருவிகள்	टूल
கருவிகள்	टूल्स
கருவிகள்	औज़ार
கருவிகள்	उपकरण
படை	बल
படை	फ़ोर्स
மனைவி	बीवी
மனைவி	पत्नी
பதவி	भूमिका
பதவி	पद
பதவி	स्थिति
அஞ்சல்	ज़िप
அஞ்சல்	डाक
அஞ்சல்	जिप
அஞ்சல்	मेल
உதவும்	मदद
உதவும்	सहायता
சொற்கள்	लफ़्ज़ों
சொற்கள்	शब्द
சொற்கள்	शब्दों
வெளியீடு	प्रकाशन
வெளியீடு	रिलीज़
வெளியீடு	आउटपुट
வெளியீடு	रिलीज
எதிர்	विपरीत
மிக்க	रहमान
தொழில்நுட்ப	तकनीकी
வெளியே	आउट
வெளியே	बाहर
வானொலி	रेडियो
கிராமங்கள்	गावों
கிராமங்கள்	गांवों
முக்கியத்துவம்	महत्ता
முக்கியத்துவம்	अहमियत
முக்கியத்துவம்	महत्व
மீன்	फिश
மீன்	रेशे
மீன்	मछली
போதும்	काफी
போதும்	पर्याप्त
மஞ்சள்	पीला
வருவாய்	आय
வருவாய்	राजस्व
வருவாய்	इनकम
வருவாய்	आमदनी
மலேசியா	मलेशिया
மலேசியா	मलेशियाई
மலேசியா	मलय
கிலோமீட்டர்	किलोमीटर
உள்ளூர்	लोकल
உள்ளூர்	स्थानीय
கிட்டத்தட்ட	लगभग
கடைசி	अंतिम
கடைசி	पिछला
கடைசி	आखरी
கடைசி	आखिरी
குரு	गुरु
குரு	गुरू
ஆனாலும்	परन्तु
ஆனாலும்	लेकीन
ஆனாலும்	लेकिन
ஆனாலும்	लकिन
ஆனாலும்	मगर
படத்தில்	फोटो
படத்தில்	फ़ोटो
எதிர்ப்பு	विरोध
எதிர்ப்பு	प्रतिरोध
எதிர்ப்பு	विपक्ष
ஒன்பது	नौ
ஒன்பது	नहला
வான்	वान
வான்	वैन
சிறப்பாக	बेहतरीन
சிறப்பாக	बड़ा
சிறப்பாக	महान
சிறப்பாக	बेस्ट
சிறப்பாக	सर्वश्रेष्ठ
சிறப்பாக	ग्रेट
சிறப்பாக	बेहतर
நன்கு	कुआँ
நன்கு	खूब
நன்கு	खैर
தொடங்கினார்	प्रारंभ
தொடங்கினார்	शुरू
பேராசிரியர்	प्रोफेसर
பேராசிரியர்	प्रोफ़ेसर
பேராசிரியர்	प्रो
பேராசிரியர்	प्राध्यापक
பதிப்பகம்	प्रकाशन
தனியார்	निजी
தனியார்	प्राइवेट
தரவு	आंकड़ा
தரவு	डेटा
தரவு	डाटा
தரவு	आँकड़ा
பஞ்சாப்	पंजाब
நம்பிக்கை	विश्वास
நம்பிக்கை	आस्था
நம்பிக்கை	होप
நம்பிக்கை	वफादार
நம்பிக்கை	ईमानवालों
நம்பிக்கை	ट्रस्ट
நம்பிக்கை	उम्मीद
நம்பிக்கை	आशा
நம்பிக்கை	मान्यता
நம்பிக்கை	भरोसा
நம்பிக்கை	ईमान
நம்பிக்கை	आत्मविश्वास
இடங்கள்	स्थितियाँ
இடங்கள்	स्थान
இடங்கள்	अवस्थिति
மரபு	विरासत
மரபு	मुहावरे
மரபு	आनुवंशिकता
மும்பை	मुम्बई
மும்பை	मुंबई
விற்பனை	विक्रय
விற்பனை	विपणन
விற்பனை	बिक्री
விற்பனை	मार्केटिंग
விற்பனை	बेचें
வருடம்	वर्ष
வருடம்	साल
மேலே	टॉप
மேலே	शीर्ष
மேலே	उपर
மேலே	ऊपर
மேலே	अरदास
அம்மன்	अम्मान
என்றாலும்	हालांकि
என்றாலும்	यद्यपि
கடன்	श्रेय
கடன்	ऋण
கடன்	कर्ज़
கடன்	कर्ज
கடன்	लोन
கடன்	क्रेडिट
விலை	दाम
விலை	कीमत
விலை	मूल्य
செய்திகள்	संदेश
செய்திகள்	न्यूज़
செய்திகள்	खबर
செய்திகள்	समाचार
செய்திகள்	न्यूज
சோதனை	परीक्षण
சோதனை	जाँच
சோதனை	परीक्षा
சோதனை	जांच
திண்டுக்கல்	डिंडीगुल
பிபிசி	बीबीसी
யாழ்ப்பாணம்	जाफना
அவர்களுக்கு	उनको
அவர்களுக்கு	उन्हें
அவர்களுக்கு	उनके
அவர்களுக்கு	उनसे
அரசன்	राजा
அரசன்	बादशाह
அரசன்	किंग
போட்டிகள்	प्रतियोगिताओं
கை	हाथ
அரசியல்வாதி	राजनीतिज्ञ
அரசியல்வாதி	राजनेता
பறவைகள்	पंछी
பறவைகள்	परिंदे
பறவைகள்	पक्षियों
ஒலி	आडियो
ஒலி	ऑडियो
ஒலி	ध्वनि
குறிப்புகள்	युक्तियाँ
குறிப்புகள்	नुस्ख़े
குறிப்புகள்	टिप्पणी
குறிப்புகள்	नोट्स
குறிப்புகள்	सुझाव
குறிப்புகள்	टिप्स
குறிப்புகள்	नोट
குறிப்புகள்	टीप
பெண்களின்	लड़कियां
பெண்களின்	लड़कियाँ
பெண்களின்	लड़कियों
ஜே	जय
இயக்குனர்	निर्देशक
இயக்குனர்	निदेशक
நாகப்பட்டினம்	नागपट्टनम
உயிரியல்	जीवविज्ञान
திருச்சிராப்பள்ளி	तिरुचिरापल्ली
தொடக்கம்	स्टार्टअप
தொடக்கம்	शुरूआत
தொடக்கம்	दीक्षा
தொடக்கம்	प्रारंभ
தொடக்கம்	शुरुआत
தொடக்கம்	आरम्भ
தொடக்கம்	आरंभ
பூங்கா	उद्यान
பூங்கா	पार्क
இளம்	यंग
இளம்	युवा
இளம்	जवान
அருகே	निकट
உயர்ந்த	उच्चतम
உயர்ந்த	आलीशान
உயர்ந்த	हाई
உயர்ந்த	सर्वोच्च
உயர்ந்த	ऊँची
உயர்ந்த	उच्च
காவல்	पुलिस
குடும்பம்	फैमिली
குடும்பம்	परिवार
ஆதரவு	सहायता
ஆதரவு	समर्थन
கைது	गिरफ़्तार
கைது	गिरफ्तारी
கைது	गिरफ़्तारी
கைது	गिरफ्तार
திருவள்ளூர்	तिरूवल्लुर
எழுதினார்	लिखा
வலது	सही
தன்னை	खुद
இராகம்	राग
மாலை	सायंकाल
மாலை	संध्या
மாலை	शाम
ஆய்வுகள்	निदान
ஆய்வுகள்	नैदानिक
ஆய்வுகள்	अध्ययन
குறிக்கிறது	स्टैंड
எடுத்து	लो
எடுத்து	ले
எடுத்து	लें
எடுத்து	लेने
சிவப்பு	रेड
சிவப்பு	लाल
நடைபெற்றது	आयोजित
முஸ்லிம்	मुस्लिम
முஸ்லிம்	मुसलमान
முஸ்லிம்	मुस्लमान
இன்றும்	आज
தலைவர்கள்	नेताओ
தலைவர்கள்	नेताओं
தலைவர்கள்	नेता
இரத்த	रक्त
இரத்த	खून
இரத்த	लहू
இருந்தனர்	यहूद
சிவன்	शिव
சிவன்	सिवान
சிவன்	शिवरात्रि
ஜார்ஜ்	जॉर्ज
ஜார்ஜ்	जार्ज
முழுமையான	पूर्ण
முழுமையான	पूरा
இரண்டும்	दोनों
இரண்டும்	दोनो
காங்கிரஸ்	कांग्रेस
காங்கிரஸ்	कॉंग्रेस
அவள்	वो
சுவாமி	स्वामी
வரிசை	सीरियल
வரிசை	पंक्ति
வரிசை	अनुक्रम
வரிசை	धारावाहिक
வரிசை	क्रम
வரிசை	ऑर्डर
வரிசை	आदेश
காற்று	पवन
காற்று	हवा
காற்று	वायु
காற்று	विंड
மாத	मासिक
பயனர்கள்	उपयोक्ता
பயனர்கள்	प्रयोगकर्ता
பயனர்கள்	उपयोगकर्ताओं
பயனர்கள்	उपयोगकर्ता
கான்	खां
கான்	ख़ान
கான்	खान
இரவு	रात्रि
இரவு	रात
நடவடிக்கை	कार्रवाई
நடவடிக்கை	सक्रियता
நடவடிக்கை	क्रियाएँ
நடவடிக்கை	क्रिया
நடவடிக்கை	एक्शन
நடவடிக்கை	कार्यकलाप
நடவடிக்கை	गतिविधि
அவரின்	उसके
அவரின்	उसका
அவரின்	उसकी
நேரங்களில்	बार
நேரங்களில்	टाइम्स
தாம்	धाम
வழக்கு	मामला
வழக்கு	केस
அகாதமி	अकादमी
சேவைகள்	सेवाएं
சேவைகள்	सेवाएँ
தளத்தில்	साइटें
தளத்தில்	साईट
தளத்தில்	साइट
மக்கள்தொகை	जनसंख्या
மக்கள்தொகை	आबादी
மக்கள்தொகை	जनसांख्यिकी
கவிதை	काव्य
கவிதை	शायरी
கவிதை	कविता
இதுவரை	दूर
நேரடியாக	सीधे
அறிக்கை	कथन
அறிக்கை	वक्तव्य
அறிக்கை	रपट
அறிக்கை	बयान
அறிக்கை	रिपोर्ट
அறிக்கை	स्टेटमेंट
விருதுநகர்	विरुधुनगर
பணம்	करेंसी
பணம்	नकद
பணம்	पैसे
பணம்	पैसा
பணம்	मुद्रा
பணம்	नकदी
பணம்	मनी
பணம்	धन
உண்மையான	सही
உண்மையான	रीयल
உண்மையான	सच्चा
உண்மையான	असली
உண்மையான	रियल
உண்மையான	सच
உண்மையான	वास्तविक
உண்மையான	यथार्थ
பிரிவுகள்	श्रेणियाँ
பிரிவுகள்	अनुभाग
பிரிவுகள்	खण्ड
பிரிவுகள்	वर्गों
பிரிவுகள்	श्रेणी
பிரிவுகள்	भाग
அடிக்கடி	अक्सर
அடிக்கடி	प्रायः
அடிக்கடி	अकसर
அடிக்கடி	बारंबार
மரம்	पेड़
மரம்	लकड़ी
மரம்	वुड
மரம்	ट्री
மரம்	लकडी
மரம்	वृक्ष
இராணுவ	सैनिक
இராணுவ	मिलिट्री
இராணுவ	फौजी
இராணுவ	सैन्य
இதர	विविध
சீனா	चीन
உண்மையில்	दरअसल
உண்மையில்	सचमुच
உண்மையில்	वाकई
ரயில்	ट्रैन
ரயில்	ट्रेन
ரயில்	रेलगाड़ी
கவிஞர்	कवि
சுதந்திர	आज़ादी
சுதந்திர	आजादी
சுதந்திர	स्वतंत्र
சுதந்திர	स्वतंत्रता
சுதந்திர	स्वतन्त्रता
செய்தல்	बनाना
செய்தல்	बनाने
வெளியிட்டார்	निर्गत
வெளியிட்டார்	जारी
வடிவமைப்பு	फार्मेट
வடிவமைப்பு	विन्यास
வடிவமைப்பு	कॉन्फ़िगर
வடிவமைப்பு	कॉन्फ़िगरेशन
வடிவமைப்பு	स्वरूप
வடிவமைப்பு	डिज़ाइन
வடிவமைப்பு	फॉर्मेट
வடிவமைப்பு	फ़ॉर्मेट
வடிவமைப்பு	प्रारूप
வடிவமைப்பு	डिजाइन
திராவிட	द्रविड़
வெப்பநிலை	तापमान
நிலையை	प्रस्थिति
நிலையை	औकात
நிலையை	स्टेटस
நிலையை	स्थिति
கப்பல்	जलयान
கப்பல்	जहाज
கப்பல்	शिप
அறிமுகம்	प्रस्तावना
அறிமுகம்	परिचय
அறிமுகம்	भूमिका
காங்கிரசு	कांग्रेस
காங்கிரசு	कॉंग्रेस
கோயம்புத்தூர்	कोयंबटूर
வரி	कर
வரி	पंक्ति
வரி	लकीर
வரி	रेखा
வரி	लाइन
காட்டும்	बताएगा
காட்டும்	रिटर्न
மாறாக	बल्कि
மாறாக	बजाय
குரல்	वॉइस
குரல்	आवाज
குரல்	आवाज़
இயக்குநர்	निर्देशक
இயக்குநர்	निदेशक
ஜேம்ஸ்	जेम्स
தயாரிப்பு	तैयारी
தயாரிப்பு	उत्पादन
தயாரிப்பு	उत्पाद
புள்ளி	पॉइंट
புள்ளி	बिन्दु
புள்ளி	बिंदु
புள்ளி	पाइंट
இணைப்புக்கள்	कनेक्शन
இணைப்புக்கள்	कनेक्शन्स
இணைப்புக்கள்	कड़ियाँ
இணைப்புக்கள்	लिंक्स
இணைப்புக்கள்	कड़ी
இணைப்புக்கள்	लिंक
கருவி	टूल्स
கருவி	उपकरण
கருவி	यंत्र
கருவி	पैमाना
கருவி	युक्ति
கருவி	डिवाइस
கருவி	स्कोप
கருவி	कार्यक्षेत्र
கருவி	औज़ार
கருவி	औजार
கருவி	गुंजाइश
டேவிட்	डेविड
டேவிட்	दाउद
இயங்கும்	सक्रिय
இயங்கும்	कार्यशील
இயங்கும்	क्रियाशील
இயங்கும்	दौड़ना
புராணம்	किंवदंती
புராணம்	पुराण
புராணம்	पुराणों
புராணம்	लेजेंड
புராணம்	लीजेंड
நிகழ்ச்சி	दिखाएं
நிகழ்ச்சி	शो
நிகழ்ச்சி	दिखाएँ
நிகழ்ச்சி	दिखाओ
பௌத்த	बौद्ध
எழுதப்பட்ட	लिखा
எழுதப்பட்ட	लिखी
கொலை	हत्या
கொலை	कत्ल
கொலை	मर्डर
வண்ணம்	रंग
நிலையங்கள்	सैलून
நிலையங்கள்	स्टेशन
பரப்பளவு	क्षेत्र
பரப்பளவு	क्षेत्रफल
உறுதி	पुष्टि
வழக்கம்	अनुकूलित
வழக்கம்	मनपसंद
வழக்கம்	नियमित
வழக்கம்	रेगुलर
வழக்கம்	कस्टम
குறைவாக	निम्न
குறைவாக	कम
கலைஞர்கள்	कलाकार
கலைஞர்கள்	कलाकारों
செ	बहरे
செ	बहरा
பாகிஸ்தான்	पाकिस्तान
பாகிஸ்தான்	पाकिस्तानी
சற்று	थोड़ा
சற்று	थोड़े
அங்கே	वहाँ
அங்கே	वहीँ
அங்கே	वहां
அங்கே	वहा
இன	जातीय
இன	जातिगत
இன	जातियों
இன	दौड़
வசதி	सुकून
வசதி	सहज
வசதி	विशेषता
வசதி	सुविधा
வசதி	आरामदायक
வசதி	आराम
முயற்சி	प्रयास
முயற்சி	कोशिश
முயற்சி	प्रयत्न
கதைகள்	कहानियाँ
கதைகள்	कहानियां
அரபு	अरबी
அரபு	अरब
இவற்றை	ये
பிரான்சு	फ़्रांस
பிரான்சு	फ्रांस
ஈரோடு	इरोड
விண்வெளி	समष्टि
விண்வெளி	जगह
விண்வெளி	स्पेस
விண்வெளி	अंतरिक्ष
மாற்றங்கள்	परिवर्तन
அடர்த்தி	घनत्व
படங்கள்	छवि
படங்கள்	छवियां
படங்கள்	फ़ोटो
படங்கள்	तस्वीरें
படங்கள்	छवियाँ
படங்கள்	पिक्चर्स
படங்கள்	चित्र
படங்கள்	बिंब
படங்கள்	फोटो
ஆயிரம்	हज़ार
ஆயிரம்	हजार
வார்ப்புருக்கள்	टेम्प्लेट
வார்ப்புருக்கள்	टेम्पलेट
வார்ப்புருக்கள்	टेम्पलेट्स
இனம்	जाति
இனம்	रेस
இனம்	दौड़
இனம்	नस्ल
புரிந்து	समझ
புரிந்து	समझो
புரிந்து	समझे
வாக்குகள்	वोट
வாக்குகள்	वोटों
வாக்குகள்	मत
ரூபாய்	रुपया
ரூபாய்	रुपए
ரூபாய்	रुपिया
ரூபாய்	रूपया
அமைச்சர்	मंत्री
கூட்டு	सम्बद्धता
கூட்டு	एसोसिएशन
கூட்டு	जोड़ें
கூட்டு	योग
கூட்டு	संघ
கூட்டு	यूनियन
திட்டங்கள்	परियोजनाएं
திட்டங்கள்	परियोजनाएँ
திட்டங்கள்	योजनाएँ
திட்டங்கள்	प्रोजेक्ट
அண்ணா	अन्ना
அண்ணா	अण्णा
அண்ணா	ऐना
உயரம்	ऊंचाई
உயரம்	ऊँचाई
தரம்	गुणवत्ता
தரம்	क्वालिटी
தரம்	ग्रेड
தரம்	विशेषता
வரையில்	जबतक
வரையில்	तक
எளிய	सिंपल
எளிய	साधारण
எளிய	सरल
ஒப்பந்தம்	समझौता
ஒப்பந்தம்	संधि
ஒப்பந்தம்	गठबंधन
ஒப்பந்தம்	संविदा
ஒப்பந்தம்	अनुबंध
பணிகள்	जॉब
பணிகள்	नौकरियां
பணிகள்	नौकरियाँ
பணிகள்	कार्य
தேவி	देवी
நிலம்	लैंड
நிலம்	जमीन
நிலம்	भूमि
யார்	जो
யார்	जिसने
யார்	कौन
மண்டலம்	प्रदेश
மண்டலம்	क्षेत्र
மண்டலம்	मण्डल
குற்றம்	अपराधी
குற்றம்	गुनाहगार
குற்றம்	जुर्म
குற்றம்	क्राइम
குற்றம்	अपराधों
குற்றம்	दोषी
குற்றம்	अपराध
கிருஷ்ணகிரி	कृष्णगिरि
அன்னை	maa
அன்னை	माँ
இரட்டை	दोगुना
இரட்டை	दोहरा
இரட்டை	डबल
இரட்டை	डुअल
இரட்டை	जुड़वा
இரட்டை	जुड़वां
அலுவலகம்	आफिस
அலுவலகம்	दफ्तर
அலுவலகம்	ऑफ़िस
அலுவலகம்	कार्यालय
அலுவலகம்	ऑफिस
வீடு	आवास
வீடு	घर
வீடு	मुखपृष्ठ
வீடு	निवास
வீடு	मकान
வீடு	हाउस
வீடு	होम
வீடு	गृह
சந்தை	बाज़ार
சந்தை	मार्केट
சந்தை	मार्केटप्लेस
சந்தை	बाजार
தலை	दिमाग़
தலை	सिर
அனைத்துலக	अन्तर्राष्ट्रीय
அனைத்துலக	अंतर्राष्ट्रीय
அனைத்துலக	अंतरराष्ट्रीय
உரிமைகள்	अधिकार
உரிமைகள்	अधिकारों
நீ	आप
நீ	तुम
நீ	आपको
கிராம	गाँव
கிராம	गांव
