और	وال
आयात	الواردات
आधा	نصف
आधा	النصف
धन्यवाद	شكر
धन्यवाद	شكرا
धन्यवाद	اشكرك
बेल	جرس
बेल	حسناء
बेल	بيل
बेल	الجرس
सेंट्रल	سنترال
सेंट्रल	وسط
सेंट्रल	مركزي
सेंट्रल	مركزية
सेंट्रल	الوسطى
घातक	مميت
मास्टर	المعلم
मास्टर	ماجستير
मास्टर	معلمي
मास्टर	ماستر
मास्टर	معلم
तस्वीर	الصوره
तस्वीर	الصورة
तस्वीर	صوره
तस्वीर	صورة
पहल	المبادرة
पहल	مبادرة
वाहनों	العربات
वाहनों	مركبات
वाहनों	عربات
वाहनों	المركبات
राजपूत	راجبوت
सच	الحقيقة
सच	صحيح
सच	حقيقي
पाउंड	رطل
पाउंड	جنيه
इण्डिया	بالهند
इण्डिया	انديا
इण्डिया	الهند
प्राधिकरण	تصريح
प्राधिकरण	الترخيص
प्राधिकरण	السلطات
प्राधिकरण	تفويض
प्राधिकरण	السلطة
प्राधिकरण	سلطات
कीट	الحشرات
कीट	الحشرة
कीट	حشرة
गाना	تغني
गाना	اغنية
गाना	الاغنيه
गाना	الاغنية
गाना	اغنيه
गाना	الغناء
गाना	اغني
गाना	يغني
गाना	سونغ
गाना	غناء
धातुओं	المعادن
धातुओं	الفلزات
धातुओं	معادن
अतीत	الماضى
अतीत	ماضي
अतीत	ماض
अतीत	الماضي
समाजवादी	الاشتراكي
समाजवादी	الاشتراكية
समाजवादी	للاشتراكية
वेतन	مرتب
वेतन	المرتب
वेतन	مرتبات
वेतन	الراتب
वेतन	راتب
वाणिज्य	تجارة
वाणिज्य	التجارة
उन्नति	النهوض
आखिरी	الاخير
आखिरी	اخير
आखिरी	اخر
आखिरी	تدوم
आखिरी	الاخيرة
धूम्रपान	التدخين
धूम्रपान	تدخن
धूम्रपान	يدخن
धूम्रपान	تدخين
ब्याज	المصلحة
ब्याज	الاهتمام
ब्याज	اهتمام
ब्याज	الفائدة
ब्याज	مصلحة
घोड़े	الحصان
घोड़े	حصان
घोड़े	خيول
घोड़े	الخيول
घोड़े	الخيل
घोड़े	خيل
माला	مالا
लेखा	المحاسبة
लेखा	محاسبة
दीवारों	اسوار
दीवारों	الحيطان
दीवारों	الحوائط
दीवारों	جدران
दीवारों	الجدران
ऊतक	الانسجة
ऊतक	انسجة
ऊतक	نسيج
रात्रि	ليلا
रात्रि	ليل
रात्रि	الليل
रात्रि	ليلة
बेस	القاعدة
बेस	قاعدة
बेस	بيس
बेस	الباس
बेस	باس
फलन	وظيفة
फलन	الدالة
फलन	دالة
फलन	الوظيفة
मानता	يؤمن
सफलतापूर्वक	بنجاح
सतत	متواصل
सतत	مستمرة
सतत	متسق
सतत	مستمر
सतत	متواصلة
सतत	متسقة
ऊष्मा	الحرارة
ऊष्मा	الحراره
ऊष्मा	حرارة
ऊष्मा	الدفء
ऊष्मा	هيت
कारों	السيارات
कारों	سيارات
रेस	السباق
रेस	سباق
रेस	العرق
रेस	عرق
तालाब	البركة
तालाब	بركة
बृहस्पति	جوبيتر
बृहस्पति	المشتري
प्रोत्साहन	تشجيع
प्रोत्साहन	الحافز
प्रोत्साहन	التشجيع
प्रोत्साहन	حافز
प्रोत्साहन	حوافز
प्रोत्साहन	الحوافز
टीमों	فرق
टीमों	الفرق
मामला	حالة
मामला	الحالة
मामला	كايس
मामला	القضية
मामला	قضية
इंदिरा	انديرا
निष्क्रिय	عطل
निष्क्रिय	معطل
निष्क्रिय	عاطل
निष्क्रिय	عاطلة
निष्क्रिय	تعطيل
निष्क्रिय	الخاملة
निष्क्रिय	المعوقين
लौह	حديدي
लौह	الحديد
लौह	حديد
सोनी	سوني
रॉय	روى
रॉय	روي
बनावट	قوام
बनावट	النسيج
बनावट	نسيج
बनावट	القوام
गायन	تغني
गायन	الغناء
गायन	اغني
गायन	يغني
गायन	غناء
आवेदन	الطلب
आवेदन	التطبيقات
आवेदन	الطلبات
आवेदन	تطبيق
आवेदन	تطبيقات
आवेदन	التطبيق
सकल	اجمالي
सकल	الاجمالي
कमाई	ارباح
कमाई	الكسب
कमाई	الارباح
कमाई	كسب
विश्वविद्यालयों	جامعات
विश्वविद्यालयों	الجامعة
विश्वविद्यालयों	جامعة
विश्वविद्यालयों	الجامعات
साहिब	صاحب
साहिब	شهاب
उठाने	تربية
उठाने	الرفع
उठाने	رفع
साउथ	جنوبا
साउथ	جنوب
साउथ	جنوبي
साउथ	ساوث
साउथ	الجنوب
गहन	عمق
गहन	عميقا
गहन	عميق
गहन	عميقة
बाघ	النمر
बाघ	تايجر
बाघ	نمر
टिकट	تذاكر
टिकट	التذاكر
टिकट	التذكرة
टिकट	تذكرة
राजशाही	ملكية
राजशाही	الملكية
पैरों	القدمين
पैरों	القدم
पैरों	ارجل
पैरों	سيقان
पैरों	قدم
पैरों	اقدام
पैरों	الساقين
पैरों	السيقان
पैरों	الارجل
पैरों	الاقدام
ब्लॉग	بلوق
ब्लॉग	المدونة
ब्लॉग	المدونات
ब्लॉग	مدونة
ब्लॉग	مدونات
सड़कों	الطرق
सड़कों	طرق
सड़कों	الطرقات
उद्देश्यों	مقاول
जाल	صافي
जाल	الشبكة
जाल	الصافي
मिलान	مباراة
मिलान	المباراة
मिलान	مطابقة
मिलान	المباريات
मिलान	ميلانو
मिलान	المطابقة
मिलान	مباريات
मिलान	مطابق
मिलान	ميلان
मिलान	ماتش
प्रावधान	الاحكام
प्रावधान	احكام
सदस्यता	عضوية
सदस्यता	الاشتراك
सदस्यता	اشتراك
सदस्यता	العضوية
रिकार्ड	سجل
रिकार्ड	السجل
रिकार्ड	تسجيل
साझा	مشترك
साझा	مشاركات
साझा	تقاسم
साझा	المشتركة
साझा	المشاركات
स्वतन्त्रता	استقلالية
स्वतन्त्रता	الاستقلالية
स्वतन्त्रता	استقلال
स्वतन्त्रता	الاستقلال
सापेक्ष	نسبية
सापेक्ष	النسبي
सापेक्ष	نسبي
सापेक्ष	نسبيا
विफल	فشلت
विफल	فشل
संदेह	الشك
संदेह	الشكوك
संदेह	اشك
संदेह	شك
संदेह	شكوك
आग्रह	طلب
आग्रह	الطلب
किरण	كيران
कारोबार	عمل
कारोबार	الاعمال
कारोबार	العمل
रिंग	خاتم
रिंग	الخاتم
ऑपरेशन	العمليات
ऑपरेशन	عملية
ऑपरेशन	العملية
आपसी	متبادلة
आपसी	المتبادل
आपसी	متبادل
पवन	الرياح
पवन	الريح
पवन	رياح
पवन	ريح
छूट	خصم
छूट	التخفيض
छूट	خصومات
छूट	تخفيضات
छूट	الخصم
छूट	تخفيض
बाधा	العقبة
बाधा	عقبة
बाधा	عائق
अमीर	ثريا
अमीर	ريتش
अमीर	غنية
अमीर	امارة
अमीर	الغنية
अमीर	ثري
अमीर	الامارة
अमीर	غني
समतल	مسطحة
समतल	الطائرة
समतल	طائرة
समतल	شقة
समतल	مسطح
बस्ती	بلدة
बस्ती	البلدة
बस्ती	تاون
बस्ती	المدينة
कठिनाई	صعوبة
कठिनाई	الصعوبة
कठिनाई	الصعوبات
पुर्तगाली	البرتغالي
पुर्तगाली	البرتغالية
पुर्तगाली	بالبرتغالية
जड़	الجذر
जड़	روت
जड़	جذر
जड़	الجذور
जड़	جذور
बौद्धिक	الفكرية
बौद्धिक	فكرية
निकलता	ضلوع
निकलता	الاضلاع
निकलता	اضلاع
स्वर्ग	جنة
स्वर्ग	الجنة
स्वर्ग	السماء
स्वर्ग	الفردوس
स्वर्ग	النعيم
शासित	حكمت
प्रोटोकॉल	بروتوكول
प्रोटोकॉल	البروتوكول
प्रोटोकॉल	البروتوكولات
प्रोटोकॉल	بروتوكولات
व्यय	النفقات
व्यय	نفقات
व्यय	تنفق
व्यय	الانفاق
व्यय	المصروفات
गणतंत्र	جمهورية
गणतंत्र	الجمهورية
माया	مايا
माया	المايا
तिब्बती	التبت
आत्महत्या	الانتحار
आत्महत्या	انتحار
आत्महत्या	انتحر
संजय	سانجاي
मतभेद	الخلافات
मतभेद	الاختلافات
मतभेद	اختلافات
मतभेद	الفروق
मतभेद	فروق
अतिथि	ضيفة
अतिथि	ضيف
अतिथि	الضيوف
अतिथि	الضيف
अतिथि	ضيوف
लें	اخذ
लें	خذ
डाक	البريد
डाक	بريد
डाक	البريدي
प्रतिद्वंद्वी	خصم
प्रतिद्वंद्वी	الخصم
प्रतिद्वंद्वी	منافس
प्रतिद्वंद्वी	المعارضين
प्रतिद्वंद्वी	الخصوم
प्रतिद्वंद्वी	خصوم
प्रतिद्वंद्वी	المعارضون
मनु	مانو
संयोग	مصادفة
संयोग	صدفة
संयोग	الصدفة
कविताओं	القصائد
कविताओं	قصائد
वेदों	الفيدا
तरंग	لوح
तरंग	الموجة
तरंग	موجي
तरंग	موجة
उठाया	رفعت
उठाया	اثير
क्रिस	كريس
क्रिस	كرس
परिचित	معرفة
परिचित	المعارف
परिचित	معارف
परिचित	التعارف
इंडोनेशिया	اندونيسيا
विश्वसनीय	موثوقة
विश्वसनीय	وثقت
विश्वसनीय	موثوق
अब्दुल	عبد
तत्काल	فورا
तत्काल	فوري
तत्काल	الفورية
तत्काल	عاجل
तत्काल	فورية
तत्काल	الفوري
तत्काल	مستعجل
चित्रकला	الرسم
चित्रकला	لوحة
चित्रकला	اللوحة
पहलुओं	النواحي
पहलुओं	جوانب
पहलुओं	الجوانب
गेट	البوابه
गेट	البوابة
गेट	بوابة
चैंपियनशिप	البطولة
चैंपियनशिप	بطولة
चैंपियनशिप	بطوله
पैदल	الرصيف
पैदल	دواسة
पैदल	رصيف
राधा	رادا
राधा	رادها
संतान	نسل
संतान	الذرية
संतान	ذرية
जर्नल	اليوميات
जर्नल	يوميات
गुप्ता	غوبتا
गुप्ता	جوبتا
लाखों	ملايين
लाखों	الملايين
शैक्षणिक	تربوية
शैक्षणिक	التعليمية
शैक्षणिक	تعليمية
खोला	فتحت
भाप	البخار
भाप	بخار
बेस्ट	ضل
बेस्ट	اطيب
बेस्ट	الافضل
बेस्ट	افضل
गलती	الخطا
गलती	غلطة
गलती	خطا
भ्रूण	الجنين
भ्रूण	جنين
चेक	صك
चेक	التشيكية
चेक	التشيك
ब्राजील	بريكس
ब्राजील	البرازيل
ब्राजील	البريكس
राग	لحن
राग	ميلودي
तटीय	ساحلية
तटीय	الساحلي
तटीय	الساحلية
सम्प्रदाय	طائفة
सम्प्रदाय	الطائفة
ख्याति	الشهرة
ख्याति	شهرة
सिन्हा	سينها
पंजीकृत	مسجل
पंजीकृत	مسجلة
सिंध	السند
वैध	الصلاحية
वैध	صلاحية
वैध	صالح
वैध	سارية
वैध	صالحة
वैध	صحة
टॉम	توم
संकल्प	قرارات
संकल्प	القرارات
जूनियर	جونيور
चुम्बकीय	المغناطيسية
बादशाह	ملك
बादशाह	كينغ
बादशाह	الملك
बादशाह	كينج
रचनात्मक	ابداع
रचनात्मक	الابداعية
रचनात्मक	مبدع
रचनात्मक	مبدعة
मुखपृष्ठ	الوطن
मुखपृष्ठ	منزل
मुखपृष्ठ	المنزل
मुखपृष्ठ	البيت
ट्रस्ट	الثقة
ट्रस्ट	ثقة
प्रस्तुति	العرض
प्रस्तुति	التقديم
प्रस्तुति	عرض
उपर	قمة
उपर	الاعلى
उपर	القمة
उपर	توب
धरोहर	التراث
धरोहर	تراث
अद्वितीय	فريدون
अद्वितीय	فريد
अद्वितीय	فريدة
सरकारों	الحكومات
सरकारों	حكومات
खतरनाक	خطير
खतरनाक	خطيرة
खतरनाक	خطر
खतरनाक	خطرة
त्यौहार	المهرجانات
त्यौहार	احتفالية
त्यौहार	مهرجان
त्यौहार	المهرجان
परिमाण	ضخامة
परिमाण	البارامترات
देखना	مشاهدة
देखना	راقب
देखना	المشاهدة
देखना	ساعة
देखना	شاهد
ख़ास	مميز
ख़ास	الخاص
ख़ास	خاص
ख़ास	خاصة
माँग	مطلب
माँग	المطلب
माँग	الطلب
स्पेनिश	اسباني
स्पेनिश	الاسبانية
स्पेनिश	اسبانيا
स्पेनिश	اسبانية
महारानी	ملكة
महारानी	الملكة
निरीक्षण	الفحص
निरीक्षण	تفتيش
निरीक्षण	التفتيش
जिम्मेदारी	مسؤولية
जिम्मेदारी	المسؤولية
रंगमंच	مسرح
रंगमंच	المسرح
भारतीयों	هنود
भारतीयों	الهنود
त्रुटि	اخطاء
त्रुटि	الاخطاء
त्रुटि	الخطا
त्रुटि	خطا
ऊँची	مرتفع
ऊँची	عال
ऊँची	عالية
ऊँची	عالي
ऊँची	عاليا
ज्यामिति	هندسة
ज्यामिति	الهندسة
आराम	ارتاح
आराम	استراحة
आराम	راحة
आराम	الراحة
रवि	رافي
रवि	صن
रवि	الشمس
रवि	شمس
रवि	السودان
तलाश	تسعى
बेटा	ابن
बेटा	الابن
बेटा	بيتا
बेटा	بني
टुकड़े	القطع
टुकड़े	قطع
क्रिस्टल	بلورة
क्रिस्टल	الكريستال
क्रिस्टल	كريستال
चौथा	رابعة
चौथा	رابع
चौथा	الرابعة
चौथा	الرابع
चौथा	رابعا
प्रसन्न	سعيده
प्रसन्न	مسرور
प्रसन्न	هابي
प्रसन्न	يسعد
प्रसन्न	سعيد
प्रसन्न	سعيدة
प्रसन्न	يسر
सार	خلاصة
सार	الخلاصة
सार	مجردة
पड़ोसी	جار
पड़ोसी	جارة
पड़ोसी	جيران
पड़ोसी	الجيران
पड़ोसी	الجار
गाया	سانغ
गाया	سانج
भ्रम	الخلط
भ्रम	الوهم
भ्रम	التشويش
भ्रम	الارتباك
भ्रम	وهم
राजनेता	سياسية
राजनेता	الساسة
राजनेता	السياسي
राजनेता	السياسيون
राजनेता	سياسيين
राजनेता	السياسيين
राजनेता	سياسي
गोल्ड	ذهبي
गोल्ड	ذهب
गोल्ड	الذهب
गोल्ड	جولد
गोल्ड	غولد
भिन्नता	اختلاف
भिन्नता	الاختلاف
भिन्नता	الفرق
भिन्नता	فرق
रविवार	الاحد
सारणी	الجدول
सारणी	جدول
सारणी	الطاولة
नाभिकीय	نووي
नाभिकीय	النووية
नाभिकीय	نووية
अपवाद	استثناءات
अपवाद	الاستثناء
अपवाद	الاستثناءات
अपवाद	استثناء
लिखना	الكتابه
लिखना	الكتابة
लिखना	الطباعة
लिखना	كتابة
लिखना	اكتب
पाप	خطيئة
पाप	الخطيئة
गले	العناق
गले	احضان
स्वचालित	اليا
स्वचालित	تلقائيا
स्वचालित	تلقائية
स्वचालित	تلقائي
स्वचालित	اوتو
खेत	مزرعة
खेत	المزرعة
सेमी	شبه
असाधारण	استثنائية
अपील	الاستئناف
अपील	الطعن
अपील	استئناف
अपील	النداء
अपील	نداء
दर्शक	الجمهور
दर्शक	المشاهد
दर्शक	المشاهدين
दर्शक	عارض
दर्शक	جمهور
इनपुट	مساهمة
इनपुट	المدخلات
इनपुट	مدخلات
इनपुट	ادخال
सैकड़ों	مئات
सैकड़ों	المئات
पार्वती	بارفاتي
क्लास	صف
क्लास	الفئة
क्लास	الفصل
क्लास	الصف
क्लास	الطبقة
कलात्मक	فنية
मंगोल	منغوليا
मंगोल	المغول
शुभ	خير
शुभ	طيب
शुभ	الخير
शुभ	جيد
शुभ	بخير
स्वीकृत	المعتمدة
स्वीकृत	قبلت
स्वीकृत	مقبولة
स्वीकृत	يتقبل
स्वीकृत	معتمدة
स्वीकृत	يقبل
बैटरी	البطارية
बैटरी	البطاريات
बैटरी	بطارية
बैटरी	بطاريات
कहानियाँ	احداث
कहानियाँ	القصص
कहानियाँ	حكايات
कहानियाँ	قصص
असमर्थ	عاجز
पुष्प	الزهرة
पुष्प	ازهار
पुष्प	الزهور
पुष्प	زهور
पुष्प	وردة
पुष्प	الازهار
पुष्प	زهرة
सुविधाएं	المرافق
सुविधाएं	مرافق
सुविधाएं	التسهيلات
मियामी	ميامي
सम्पर्क	للاتصال
सम्पर्क	اتصالات
सम्पर्क	اتصال
सम्पर्क	الاتصالات
सम्पर्क	التواصل
सम्पर्क	الاتصال
दृश्यों	الكواليس
दृश्यों	المشاهد
दृश्यों	مشاهد
कार्यवाही	الاجراءات
आतंकवाद	الارهاب
आतंकवाद	ارهاب
परिस्थिति	الموقف
परिस्थिति	الظروف
परिस्थिति	الحالة
परिस्थिति	الوضع
लोकतंत्र	ديمقراطية
लोकतंत्र	الديمقراطية
उपलब्धि	الانجاز
उपलब्धि	انجاز
कुश्ती	المصارعة
कुश्ती	مصارعة
क्लिक	انقر
क्लिक	النقرات
क्लिक	نقر
क्लिक	اضغط
क्लिक	النقر
क्लिक	نقرة
क्लिक	نقرات
लेबल	التسميات
लेबल	تسمية
लेबल	التسمية
अकाल	المجاعات
अकाल	المجاعة
फैशन	الموضة
फैशन	ازياء
फैशन	موضة
फैशन	الازياء
पैलेस	قصر
पैलेस	القصر
नीला	الزرقاء
नीला	زرقاء
नीला	الازرق
नीला	بلو
नीला	ازرق
पोर्ट	الموانئ
पोर्ट	بورت
पोर्ट	المنفذ
पोर्ट	ميناء
पोर्ट	منفذ
पोर्ट	موانئ
पोर्ट	الميناء
विधेयक	الفاتورة
विधेयक	فاتورة
विधेयक	بيل
स्टील	ستيل
स्टील	الفولاذ
स्टील	الصلب
रोशन	روشان
यूनान	يونان
यूनान	اليونان
ऑस्टिन	اوستن
एकड़	فدان
सेकंड	ثوان
सेकंड	ثاني
सेकंड	الثاني
सेकंड	الثانيه
सेकंड	ثانيا
सेकंड	الثواني
सेकंड	تاني
सेकंड	الثانية
सेकंड	ثواني
अवयव	عنصر
अवयव	مكون
अवयव	المكون
अवयव	العنصر
आलेख	المقالات
आलेख	مقال
आलेख	مقالة
आलेख	المقالة
आलेख	المادة
आलेख	مقالات
दिव्य	الالهي
दिव्य	الالهية
फ्लोरिडा	فلوريدا
नली	الخرطوم
नली	خرطوم
साक्ष्य	الادلة
साक्ष्य	دليل
साक्ष्य	ادلة
साक्ष्य	الدليل
कहाँ	اين
कहाँ	حيث
आवरण	غطاء
आवरण	تغطية
आवरण	غلاف
आवरण	الغطاء
आवरण	الغلاف
आवरण	ظرف
आवरण	الظرف
निकला	المستمدة
आंकड़े	الاحصاء
आंकड़े	احصائيات
आंकड़े	الاشكال
आंकड़े	ارقام
आंकड़े	احصاءات
आंकड़े	الاحصاءات
आंकड़े	الارقام
आंकड़े	الاحصائيات
उपदेश	الوعظ
एकीकरण	الاندماج
एकीकरण	تكامل
एकीकरण	الدمج
एकीकरण	التكامل
फोटो	صور
फोटो	الصورة
फोटो	الصور
फोटो	صورة
चोरी	المسروقة
चोरी	السرقة
चोरी	يسرق
चोरी	سرقة
चोरी	سرقت
चोरी	مسروق
चोरी	مسروقة
चोरी	سرق
सिंहासन	عرش
सिंहासन	العرش
आचरण	سلوك
आचरण	السلوك
क्लोराइड	كلور
क्लोराइड	الكلور
हरी	خضر
हरी	الاخضر
हरी	خضراء
हरी	اخضر
परिकल्पना	الفرضية
परिकल्पना	فرضية
बयान	بيان
बयान	البيان
मुंह	الفم
मुंह	فم
विनाश	الدمار
विनाश	التدمير
विनाश	تدمير
विनाश	دمار
पाक	باق
एजेंट	وكيل
एजेंट	عميل
एजेंट	عميلة
एजेंट	العميل
एजेंट	الوكيل
बेल्जियम	بلجيكا
वितरित	سلمت
वितरित	توزع
वितरित	يوزع
वितरित	توزيع
श्रेणियाँ	النقابة
श्रेणियाँ	الفئات
श्रेणियाँ	نقابة
श्रेणियाँ	الاصناف
श्रेणियाँ	فئات
शाब्दिक	حرفي
शाब्दिक	حرفية
खूब	حسنا
आतंकवादी	ارهابي
आतंकवादी	ارهابية
आतंकवादी	الارهابيين
आतंकवादी	ارهابيين
आतंकवादी	الارهابي
प्रतिबंधित	مقيد
प्रतिबंधित	مقيدة
साथियों	الزملاء
साथियों	زملاء
न्यूटन	نيوتن
पारस्परिक	متبادلة
पारस्परिक	المتبادل
पारस्परिक	متبادل
अद्यतन	التحديث
अद्यतन	تحديثات
अद्यतन	التحديثات
अद्यतन	تحديث
बैठे	قاعد
बैठे	الجلوس
बैठे	جالسة
बैठे	جالس
पारम्परिक	تقليدي
पारम्परिक	تقليدية
पारम्परिक	التقليدية
पारम्परिक	التقليدي
विलुप्त	انقرضت
नवाब	نواب
सैद्धांतिक	نظري
स्पेनी	اسباني
स्पेनी	الاسبانية
स्पेनी	اسبانيا
स्पेनी	اسبانية
पौधा	ازرع
पौधा	نبتة
पौधा	النبات
पौधा	زرع
पौधा	نبات
माई	الماي
माई	ماي
संलग्न	المتاخمة
होम	البيوت
होम	المنزل
होम	بيوت
होम	المنازل
होम	منزل
होम	الوطن
होम	البيت
होम	منازل
सिक्के	عملات
सिक्के	العملات
काउंसिल	مجلس
काउंसिल	المجلس
ट्यूब	انبوب
ट्यूब	الانبوب
अवलोकन	ملاحظة
अवलोकन	الملاحظة
नमूने	عينات
नमूने	العينات
बन्द	مقرب
बन्द	الوثيق
बन्द	قبالة
बन्द	مغلقة
बन्द	قريب
बन्द	اغلق
बन्द	مغلق
बन्द	اغلاق
कब	متى
कब	عندما
कब	حين
तारीख	موعد
तारीख	الموعد
तारीख	تاريخ
तारीख	التاريخ
समावेश	ادراج
समावेश	تضمين
समावेश	الشمول
खुदाई	الحفر
खुदाई	التنقيب
खुदाई	حفر
भरत	بهارات
फलों	الثمار
फलों	الفواكه
फलों	ثمار
फलों	فواكه
वस्तुएँ	الاجسام
वस्तुएँ	البنود
वस्तुएँ	بنود
वस्तुएँ	العناصر
वस्तुएँ	الاصناف
वस्तुएँ	عناصر
वस्तुएँ	اجسام
हमलों	الاضرابات
हमलों	الاعتداءات
हमलों	الهجمات
हमलों	هجمات
हमलों	اعتداءات
बीस	عشرون
बीस	عشرين
शिकायत	الشكوى
शिकायत	الشكاوى
शिकायत	شكوى
शिकायत	شكاوى
सफाई	التنظيف
सफाई	النظافة
सफाई	تنظيف
सफाई	نظافة
टेलीविज़न	تلفاز
टेलीविज़न	تلفزيون
टेलीविज़न	التليفزيون
टेलीविज़न	التلفاز
टेलीविज़न	التلفزيون
अन्ना	انا
विन्यास	اعدادات
विन्यास	التشكيلة
विन्यास	تشكيل
विन्यास	التشكيل
ध्रुवीय	القطبية
पार्श्व	جنب
पार्श्व	جانب
पार्श्व	الجانب
घड़ी	ساعة
घड़ी	الساعة
घड़ी	الساعه
रोशनी	الانوار
रोशनी	نور
रोशनी	انوار
रोशनी	خفيف
रोशनी	اضاءة
रोशनी	فاتح
रोशनी	ضوء
रोशनी	الاضواء
रोशनी	الخفيفة
रोशनी	اضواء
रोशनी	النور
आलोचक	ناقد
रखरखाव	النفقة
रखरखाव	صيانة
रखरखाव	الصيانة
नाना	نانا
स्पर्श	لمس
स्पर्श	تلمس
स्पर्श	المس
स्पर्श	لمسة
स्पर्श	اللمس
वनों	غابات
वनों	الغابة
वनों	الغابات
वनों	غابة
कृतियाँ	كتابات
कृतियाँ	الكتابات
जीते	وون
जीते	فاز
कबीर	كبير
हानिकारक	ضارة
हानिकारक	الضارة
हानिकारक	ضار
आमंत्रित	دعا
आमंत्रित	مدعو
आमंत्रित	دعيت
शिल्प	الحرفية
पीला	الاصفر
पीला	اصفر
पीला	صفراء
सीधी	مستقيم
सीधी	مباشرة
श्लोक	الاية
किलो	كيلو
बादल	الغيوم
बादल	سحب
बादल	غيمة
बादल	سحابة
बादल	السحب
बादल	السحاب
बादल	غيوم
बादल	سحاب
चंद्रमा	قمر
चंद्रमा	القمر
कोयला	الفحم
कोयला	فحم
संवैधानिक	دستوري
संवैधानिक	دستورية
संवैधानिक	الدستورية
पादप	ازرع
पादप	نبتة
पादप	النبات
पादप	زرع
पादप	نبات
चौड़ाई	العرض
उपयोगिता	المنفعة
उपयोगिता	الفائدة
संवेदनशील	حساسة
संवेदनशील	الحساس
संवेदनशील	حساس
संवेदनशील	الحساسة
मान्य	صالح
मान्य	سارية
मान्य	صالحة
सम्पन्न	منتهي
सम्पन्न	فعلت
सम्पन्न	معمول
सम्पन्न	انتهت
सम्पन्न	انتهى
सम्पन्न	تم
सम्पन्न	انتهيت
सम्पन्न	تمت
हॉलीवुड	هوليود
हॉलीवुड	هوليوود
शहीद	الشهيدة
शहीद	شهيد
शहीद	شهيدا
शहीद	الشهيد
तेज़	سريع
तेज़	سريعة
पीछा	تشيس
पीछा	مطاردة
पीछा	المطاردة
अर्ध	شبه
विकासशील	تطوير
विकासशील	نامية
अल्प	طفيفة
अल्प	طفيف
न्यायिक	قضائية
फंड	صندوق
फंड	الصندوق
नाक	الانف
नाक	انف
राणा	رانا
निवेदन	طلبات
निवेदन	طلب
निवेदन	الطلب
निवेदन	الطلبات
ब्रायन	براين
ब्रायन	بريان
अनुभाग	الاقسام
अनुभाग	الفرع
अनुभाग	اقسام
अनुभाग	القسم
अनुभाग	قسم
बीसवीं	العشرين
बीसवीं	العشرون
रंगीन	الملونة
रंगीन	ملون
रंगीन	ملونة
अपेक्षित	المتوقعة
अपेक्षित	المتوقع
अपेक्षित	متوقع
अपेक्षित	المنتظر
मूलभूत	تقصير
मूलभूत	اساسية
मूलभूत	جوهرية
मूलभूत	افتراضي
मूलभूत	التقصير
मूलभूत	الاساسية
मूलभूत	التخلف
मूलभूत	الجوهرية
मूलभूत	اساسي
मूलभूत	الافتراضي
विभागों	الاقسام
विभागों	ادارات
विभागों	الادارات
अदा	الاجر
अदा	ادفع
अदा	دفع
अदा	الدفع
जिम	جيم
एटा	ايتا
पूछा	سالت
कहानियां	السرد
कहानियां	القصص
कहानियां	احداث
कहानियां	قصص
कहानियां	حكايات
उत्पादित	انتج
दोषी	مذنب
ज्वर	حمى
ज्वर	حمي
ज्वर	الحمى
क्रिसमस	كريسماس
क्रिसमस	الكريسماس
राहत	اغاثة
राहत	الاغاثة
रखें	احتفظ
भंडार	تخزين
भंडार	مخزن
भंडार	التخزين
भंडार	المخزن
गार्डन	الحديقة
गार्डन	حديقة
कार्टून	كرتون
फ़्रांस	وفرنسا
फ़्रांस	فرنسا
फ़्रांस	فرانس
व्यंग्य	هجاء
छंद	قافية
ठंडा	البرد
ठंडा	برد
ठंडा	بارد
ठंडा	الباردة
ठंडा	باردة
नाडु	نادو
पत्थरों	احجار
पत्थरों	حجارة
पत्थरों	الحجارة
पत्थरों	الاحجار
अक्ष	المحور
अक्ष	المحاور
अक्ष	محاور
अक्ष	محور
इमारतें	البنايات
इमारतें	مباني
इमारतें	المباني
इमारतें	مبان
पन्ने	الصفحات
पन्ने	صفحات
मोदी	مودي
एपिसोड	حلقة
एपिसोड	الحلقات
एपिसोड	الحلقة
एपिसोड	حلقات
डोमेन	الميادين
डोमेन	مجالات
डोमेन	النطاقات
डोमेन	المجالات
डोमेन	مجال
डोमेन	النطاق
डोमेन	المجال
मैक	ماك
वचन	عهد
वचन	العهد
आकलन	التقييمات
पर्यावरणीय	بيئية
पसंदीदा	المفضلة
पसंदीदा	مفضلة
पसंदीदा	مفضل
पसंदीदा	المفضل
अनुयायी	اتباع
अनुयायी	المتابعين
अनुयायी	متابعين
अनुयायी	متابع
मुकदमा	المحاكمات
मुकदमा	محاكمة
मुकदमा	المحاكمة
मुकदमा	سو
कार्ल	كارل
वियतनाम	فيتنام
तलवार	السيف
तलवार	سيفا
तलवार	سيف
तुलनात्मक	المقارنة
तुलनात्मक	مقارن
तुलनात्मक	المقارن
तुलनात्मक	مقارنة
उत्पादक	الصانع
उत्पादक	مصنع
उत्पादक	المنتج
उत्पादक	المنتجة
उत्पादक	المصنع
उत्पादक	منتجة
उत्पादक	منتج
उत्पादक	انتاجية
आयरिश	الايرلندية
अभिलेख	الارشيف
अभिलेख	المحفوظات
अभिलेख	محفوظات
अभिलेख	ارشيف
राजकुमारी	الاميره
राजकुमारी	الاميرة
राजकुमारी	اميرة
अनुचित	ظالم
कल	غدا
कल	بكرا
कल	الغد
कल	البارحة
कल	بكرة
कल	الامس
कल	البارحه
कल	بكره
