மற்றும்	и
எழுத்து	символ
எழுத்து	пишу
எழுத்து	характер
எழுத்து	персонаж
எழுத்து	писать
எழுத்து	сценарий
எழுத்து	написание
விளக்கம்	описание
சூரிய	солнечная
சூரிய	солнечные
சூரிய	солнечное
சூரிய	солнечной
எழுதி	горелка
எதிரான	против
எட்டு	восемь
எட்டு	восьмой
உலகம்	глобальные
உலகம்	глобальная
உலகம்	глобус
உலகம்	глобальный
உலகம்	мир
உலகம்	глобальное
சேலம்	салем
சாதாரண	нормально
சாதாரண	нормальная
சாதாரண	нормальный
சாதாரண	нормальное
சாதாரண	обычный
அரசியல்வாதிகள்	политики
அரசியல்வாதிகள்	политиков
கூடுதல்	дополнительный
கூடுதல்	дополнительная
கூடுதல்	дополнительное
கூடுதல்	дополнительные
கூடுதல்	дополнительно
வழங்கப்பட்டது	предоставлено
வழங்கப்பட்டது	предоставлен
இந்தி	хинди
வெளியிடப்பட்டது	выпущен
வெளியிடப்பட்டது	выпущено
வெளியிடப்பட்டது	опубликовано
வெளியிடப்பட்டது	опубликованные
வெளியிடப்பட்டது	опубликована
வெளியிடப்பட்டது	опубликован
வெளியிடப்பட்டது	выпустила
வெளியிடப்பட்டது	освобождены
வெளியிடப்பட்டது	опубликованный
வெளியிடப்பட்டது	выпущена
தாய்	мать
தாய்	тай
தாய்	матерь
தாய்	таиланда
தாய்	матушка
தாய்	мама
பண்டைய	древние
பண்டைய	древний
பண்டைய	древняя
பண்டைய	древних
தடை	прерывание
தடை	заблокирован
தடை	запрет
தடை	запрещен
தடை	заблокированы
தடை	запретить
தடை	запрещено
தடை	прерывать
தடை	запрещена
தடை	бан
தடை	прервать
தடை	заблокирована
தடை	отмена
தடை	запрещены
விமான	авиации
விமான	авиация
இப்போது	теперь
இப்போது	сейчас
தெலுங்கு	телугу
குழந்தை	малышка
குழந்தை	дитя
குழந்தை	детка
குழந்தை	парень
குழந்தை	ребенка
குழந்தை	малыш
குழந்தை	ребёнок
குழந்தை	детский
குழந்தை	младенец
குழந்தை	младенческой
குழந்தை	ребенок
கண்டு	найдено
கண்டு	найдена
கண்டு	найдены
கண்டு	нашла
கண்டு	найдите
கண்டு	найти
கண்டு	найди
கண்டு	найден
விக்கி	вики
பணியாற்றினார்	работал
பணியாற்றினார்	работали
பணியாற்றினார்	сработало
பணியாற்றினார்	работала
சிங்கப்பூர்	сингапура
சிங்கப்பூர்	сингапур
சிங்கப்பூர்	сингапуре
கடவுள்	божество
கடவுள்	бог
கடவுள்	боже
மையம்	центр
மையம்	локус
சட்ட	юридическая
சட்ட	правовой
சட்ட	правовая
சட்ட	юридический
காட்சி	показ
காட்சி	показать
காட்சி	шоу
காட்சி	сцена
காட்சி	отображение
காட்சி	просмотр
காட்சி	отображения
காட்சி	просмотреть
காட்சி	посмотреть
காட்சி	показывать
காட்சி	вид
வங்கி	банковской
வங்கி	банка
வங்கி	банк
நடிகை	актриса
சங்கம்	ассоциации
சங்கம்	ассоциация
பயணம்	путешествие
பயணம்	путешествия
பயணம்	поездки
பயணம்	поездка
பயணம்	проезд
பயணம்	трип
தீவு	островных
தீவு	остров
தீவு	острова
தில்லி	дели
நிர்வாக	административные
நிர்வாக	административная
ஒளி	света
ஒளி	свет
ஒளி	светло
ஆசிய	азиатский
ஆசிய	азиатские
ஆசிய	азиатская
ஆசிய	азии
விகிதம்	ставка
விகிதம்	соотношение
விகிதம்	оцените
சாலை	дорожной
சாலை	роуд
சாலை	дорога
கொழும்பு	коломбо
குடியரசு	республики
குடியரசு	республика
நகரங்கள்	города
நகரங்கள்	городов
அனைத்தும்	всё
அனைத்தும்	всех
அனைத்தும்	все
அனைத்தும்	всем
மேலாண்மை	менеджмент
மேலாண்மை	руководство
மேலாண்மை	управление
இங்கே	вот
இங்கே	здесь
இயற்பியல்	физики
இயற்பியல்	физика
இதழ்	журнал
கலைஞர்	артист
கலைஞர்	художник
கலைஞர்	исполнитель
குறிப்பிடத்தக்கது	существенное
குறிப்பிடத்தக்கது	значительный
குறிப்பிடத்தக்கது	замечательный
குறிப்பிடத்தக்கது	значительное
குறிப்பிடத்தக்கது	значительные
குறிப்பிடத்தக்கது	существенные
ஒலிம்பிக்	олимпийский
ஒலிம்பிக்	олимпийские
மலேசிய	малайзии
மாவட்டங்கள்	округов
மாவட்டங்கள்	районы
மாவட்டங்கள்	округа
மாவட்டங்கள்	районах
உருவாக்கப்பட்டது	создан
உருவாக்கப்பட்டது	создана
உருவாக்கப்பட்டது	созданный
உருவாக்கப்பட்டது	создано
உருவாக்கப்பட்டது	созданные
எவ்வாறு	как
தொடங்கியது	началось
தொடங்கியது	начал
தொடங்கியது	начато
தொடங்கியது	начали
வெள்ளை	белое
வெள்ளை	уайт
வெள்ளை	белые
வெள்ளை	белый
சுற்றி	вокруг
எப்படி	как
பில்லியன்	миллиарда
பில்லியன்	млрд
பில்லியன்	миллиардов
பில்லியன்	миллиард
பில்லியன்	миллиарды
பேரரசு	империя
பேரரசு	империи
நீளம்	длину
நீளம்	протяженность
நீளம்	длина
நீளம்	продолжительность
ஆராய்ச்சி	исследований
ஆராய்ச்சி	исследования
ஆராய்ச்சி	исследование
தளம்	платформу
தளம்	база
தளம்	домена
தளம்	домен
தளம்	платформа
தளம்	сайт
தளம்	платформы
தளம்	основание
விழா	фестиваль
விழா	церемония
விழா	церемонии
பக்கத்தில்	страница
பக்கத்தில்	страницы
பக்கத்தில்	страницу
புற	дистанционное
புற	дистанционного
புற	пульт
முன்னணி	передние
முன்னணி	фронт
முன்னணி	передняя
புவியியல்	географии
புவியியல்	география
அடையாளம்	метка
அடையாளம்	самобытность
அடையாளம்	идентификации
அடையாளம்	знак
அடையாளம்	метки
அடையாளம்	личность
அடையாளம்	отметить
அடையாளம்	идентификация
அடையாளம்	подписать
அடையாளம்	выявление
அடையாளம்	идентичность
குறியீடு	символ
குறியீடு	код
குறியீடு	кодирование
செயல்	функция
செயல்	действий
செயல்	действие
செயல்	акция
செயல்	эксплуатация
செயல்	операция
செயல்	меры
செயல்	действия
செயல்	функции
மன்னன்	кинг
மன்னன்	король
மன்னன்	царь
பயன்பாடு	применения
பயன்பாடு	заявка
பயன்பாடு	использование
பயன்பாடு	употребление
பயன்பாடு	использования
பயன்பாடு	применение
முறைகள்	методы
சொந்த	собственный
சொந்த	личные
சொந்த	собственное
சொந்த	личного
சொந்த	личный
சொந்த	собственная
சொந்த	личное
சொந்த	собственные
சொந்த	собственных
சொந்த	личная
வார்ப்புரு	шаблон
கிரேக்க	греков
கிரேக்க	греки
கிரேக்க	греческий
கிரேக்க	греческая
காதல்	любим
காதல்	романтик
காதல்	романтика
காதல்	романтическая
காதல்	любить
காதல்	романтический
காதல்	любовь
காதல்	люблю
இவன்	иван
இருவரும்	оба
இருவரும்	обе
பதிலாக	вместо
வகைப்பாடு	классификации
வகைப்பாடு	классификация
எடுத்துக்	возьмите
எடுத்துக்	бери
எடுத்துக்	принять
எடுத்துக்	берите
எடுத்துக்	принятых
எடுத்துக்	взяты
எடுத்துக்	взять
எடுத்துக்	возьми
எடுத்துக்	принято
கனடா	канаду
கனடா	канада
குழந்தைகள்	детки
குழந்தைகள்	детей
குழந்தைகள்	дети
அனைவரும்	все
அனைவரும்	каждый
அனைவரும்	всех
அனைவரும்	всем
ஆரம்ப	начало
ஆரம்ப	начиная
ஆரம்ப	начинаю
தகவல்கள்	информация
வில்லியம்	вильгельм
வில்லியம்	вильям
வில்லியம்	уильям
பெயர்கள்	названия
பெயர்கள்	имена
அணு	атом
பின்பு	затем
பின்பு	тогда
பின்பு	потом
மாணவர்கள்	студентов
மாணவர்கள்	учащиеся
மாணவர்கள்	студенты
மாணவர்கள்	ученики
சரியான	исправить
சரியான	идеальный
சரியான	правильно
சரியான	идеально
சரியான	правильное
சரியான	правильный
சரியான	идеальная
உருவாக்கப்பட்ட	создан
உருவாக்கப்பட்ட	создана
உருவாக்கப்பட்ட	созданный
உருவாக்கப்பட்ட	создано
உருவாக்கப்பட்ட	созданные
சபை	собрание
சபை	сборка
சபை	совет
சபை	совета
சபை	ассамблеи
சபை	ассамблея
தொடர்புடைய	ассоциированные
மருத்துவம்	медицинских
மருத்துவம்	лекарство
மருத்துவம்	медицины
மருத்துவம்	медицина
மருத்துவம்	медицинский
மருத்துவம்	медицинская
மருத்துவம்	медицинское
கிராமம்	деревня
கிராமம்	деревне
கிராமம்	село
தாக்குதல்	атаковать
தாக்குதல்	атакует
தாக்குதல்	нападение
தாக்குதல்	атака
தாக்குதல்	атакуют
தாக்குதல்	наступательных
தாக்குதல்	наступление
தாக்குதல்	штурм
தாக்குதல்	атаку
தாக்குதல்	оскорбительно
கேரள	керала
மதிப்பு	величина
மதிப்பு	стоимость
மதிப்பு	ценность
மதிப்பு	значение
கருவிகள்	инструменты
கருவிகள்	сервис
படை	сила
படை	силу
படை	силы
படை	усилие
மனைவி	жене
மனைவி	жены
மனைவி	жена
பதவி	положение
பதவி	должность
பதவி	роль
பதவி	позиция
பதவி	роли
அஞ்சல்	почте
அஞ்சல்	почта
உதவும்	справка
உதவும்	помогите
உதவும்	помочь
உதவும்	помощь
சொற்கள்	слов
சொற்கள்	слова
வெளியீடு	освобождения
வெளியீடு	релиз
வெளியீடு	освободить
வெளியீடு	вывод
வெளியீடு	издание
வெளியீடு	освобождение
வெளியீடு	опубликование
வெளியீடு	публикация
வெளியீடு	выпуск
எதிர்	противоположное
எதிர்	напротив
மிக்க	милостивый
தொழில்நுட்ப	технический
தொழில்நுட்ப	технические
தொழில்நுட்ப	техническое
வெளியே	аут
வானொலி	радио
கிராமங்கள்	деревни
கிராமங்கள்	деревень
முக்கியத்துவம்	важность
மீன்	волокна
மீன்	рыба
மீன்	рыбка
மீன்	рыбы
போதும்	хватит
போதும்	достаточно
மஞ்சள்	желтые
மஞ்சள்	желтая
மஞ்சள்	желтый
மஞ்சள்	жёлтый
வருவாய்	выручка
வருவாய்	доход
வருவாய்	поступления
வருவாய்	поступлений
வருவாய்	доходы
மலேசியா	малайзии
மலேசியா	малайзия
கிலோமீட்டர்	километров
கிலோமீட்டர்	километр
கொள்ளும்	вражда
உள்ளூர்	местное
உள்ளூர்	местные
உள்ளூர்	местных
உள்ளூர்	локальные
உள்ளூர்	местный
உள்ளூர்	местная
கிட்டத்தட்ட	практически
கிட்டத்தட்ட	почти
கடைசி	последние
கடைசி	последнее
கடைசி	последняя
கடைசி	последний
குரு	гуру
ஆனாலும்	но
படத்தில்	фото
படத்தில்	фотография
எதிர்ப்பு	оппозиции
எதிர்ப்பு	оппозиция
எதிர்ப்பு	сопротивления
எதிர்ப்பு	сопротивление
எதிர்ப்பு	противодействие
எதிர்ப்பு	противостояние
ஒன்பது	девять
வான்	фургон
வான்	ван
சிறப்பாக	лучшие
சிறப்பாக	здорово
சிறப்பாக	лучшая
சிறப்பாக	лучший
சிறப்பாக	лучше
சிறப்பாக	великолепно
சிறப்பாக	лучшее
சிறப்பாக	получше
சிறப்பாக	отлично
நன்கு	ну
தொடங்கினார்	началось
தொடங்கினார்	начал
தொடங்கினார்	начато
தொடங்கினார்	начали
பேராசிரியர்	проф
பேராசிரியர்	профессор
பேராசிரியர்	преподаватель
பதிப்பகம்	издательство
பதிப்பகம்	публикация
தனியார்	личное
தனியார்	частного
தனியார்	частные
தனியார்	частная
தனியார்	частное
தனியார்	частный
தரவு	данных
தரவு	данные
பஞ்சாப்	пенджаб
நம்பிக்கை	веру
நம்பிக்கை	верная
நம்பிக்கை	надеемся
நம்பிக்கை	доверие
நம்பிக்கை	довериться
நம்பிக்கை	надежда
நம்பிக்கை	верующие
நம்பிக்கை	доверять
நம்பிக்கை	надеюсь
நம்பிக்கை	вере
நம்பிக்கை	верующих
நம்பிக்கை	верные
நம்பிக்கை	хоуп
நம்பிக்கை	уверенность
நம்பிக்கை	вера
இடங்கள்	местах
இடங்கள்	места
இடங்கள்	местоположения
இடங்கள்	местами
பரவலாக	широко
பரவலாக	поклонялись
மரபு	наследие
மரபு	наследство
மரபு	наследственности
மரபு	идиомы
மும்பை	мумбаи
விற்பனை	маркетинг
விற்பனை	сбыт
விற்பனை	распродажа
விற்பனை	продать
விற்பனை	продажа
விற்பனை	продажи
விற்பனை	продавать
விற்பனை	продаж
விற்பனை	маркетинга
வருடம்	год
மேலே	топ
மேலே	выше
மேலே	сверху
மேலே	верх
ஏற்கனவே	уже
அம்மன்	аммане
என்றாலும்	хотя
கடன்	кредита
கடன்	задолженности
கடன்	задолженность
கடன்	займов
கடன்	займы
கடன்	долги
கடன்	кредиты
கடன்	долг
கடன்	кредитная
கடன்	заем
கடன்	кредит
கடன்	ссуды
விலை	прайс
விலை	цена
விலை	ценообразования
செய்திகள்	новости
செய்திகள்	сообщений
செய்திகள்	новость
செய்திகள்	сообщения
செய்திகள்	послания
சோதனை	проверка
சோதனை	тест
சோதனை	испытание
சோதனை	тестирование
சோதனை	испытания
யாழ்ப்பாணம்	джафна
உருவாக்க	генерировать
அவர்களுக்கு	их
அரசன்	монарх
அரசன்	кинг
அரசன்	король
அரசன்	царь
போட்டிகள்	конкурсы
போட்டிகள்	соревнования
கை	рука
கை	руку
அரசியல்வாதி	политик
பறவைகள்	птиц
பறவைகள்	птицы
பறவைகள்	птички
ஒலி	аудио
ஒலி	звуки
ஒலி	звук
குறிப்புகள்	примечания
குறிப்புகள்	подсказки
குறிப்புகள்	заметки
குறிப்புகள்	отмечает
குறிப்புகள்	записки
குறிப்புகள்	ноты
குறிப்புகள்	советы
பெண்களின்	девушки
பெண்களின்	девчонки
பெண்களின்	девочек
பெண்களின்	девочки
ஜே	джей
இயக்குனர்	режиссёр
இயக்குனர்	директор
இயக்குனர்	режиссер
உயிரியல்	биологии
உயிரியல்	биология
தொடக்கம்	начало
தொடக்கம்	начинайте
தொடக்கம்	посвящение
தொடக்கம்	начинаю
தொடக்கம்	стартап
தொடக்கம்	начать
தொடக்கம்	начиная
தொடக்கம்	старт
பூங்கா	пак
பூங்கா	парк
இளம்	молодых
இளம்	молодые
இளம்	янг
இளம்	молодая
இளம்	молодой
அருகே	близко
அருகே	рядом
அருகே	вблизи
உயர்ந்த	повышен
உயர்ந்த	повышенная
உயர்ந்த	высокая
உயர்ந்த	повышенные
உயர்ந்த	высокого
உயர்ந்த	высокий
உயர்ந்த	наивысший
உயர்ந்த	высоко
காவல்	полицейские
காவல்	полиции
காவல்	полицейский
காவல்	полиция
குடும்பம்	родные
குடும்பம்	семейное
குடும்பம்	семья
குடும்பம்	семьи
குடும்பம்	семейство
ஆதரவு	поддержки
ஆதரவு	поддержка
ஆதரவு	одобрение
ஆதரவு	поддержку
ஆதரவு	поддерживаю
கைது	арестованных
கைது	арест
கைது	арестован
கைது	арестованы
கைது	арестовать
கைது	задержан
கைது	арестована
எழுதினார்	написала
எழுதினார்	писал
எழுதினார்	написали
எழுதினார்	написал
வலது	вправо
வலது	верно
வலது	правильно
இராகம்	рага
மாலை	вечерний
மாலை	ева
மாலை	вечер
மாலை	ив
ஆய்வுகள்	исследований
ஆய்வுகள்	исследования
ஆய்வுகள்	диагностика
குறிக்கிறது	стоящая
எடுத்து	возьмите
எடுத்து	бери
எடுத்து	принять
எடுத்து	взяв
எடுத்து	принимая
எடுத்து	беру
எடுத்து	берите
எடுத்து	взять
எடுத்து	возьми
சிவப்பு	красного
சிவப்பு	красное
சிவப்பு	красная
சிவப்பு	повторить
சிவப்பு	красные
சிவப்பு	переделать
சிவப்பு	красный
நடைபெற்றது	провел
எதுவும்	ничего
எதுவும்	ничто
முஸ்லிம்	мусульманских
முஸ்லிம்	мусульманин
முஸ்லிம்	мусульмане
முஸ்லிம்	мусульманские
இன்றும்	сегодня
தலைவர்கள்	вождей
தலைவர்கள்	лидеров
தலைவர்கள்	лидеры
தலைவர்கள்	руководители
தலைவர்கள்	начальники
தலைவர்கள்	вожди
இரத்த	крови
இரத்த	кровь
இருந்தனர்	были
சிவன்	шива
ஜார்ஜ்	джордж
ஜார்ஜ்	георг
ஜார்ஜ்	георгий
முழுமையான	полный
முழுமையான	полная
முழுமையான	завершить
இரண்டும்	оба
இரண்டும்	обе
காங்கிரஸ்	конгресс
காங்கிரஸ்	съезд
அவள்	она
சுவாமி	свами
வரிசை	ряд
வரிசை	приказ
வரிசை	последовательный
வரிசை	заказать
வரிசை	заказ
வரிசை	орден
வரிசை	порядок
வரிசை	строка
வரிசை	серийный
காற்று	ветра
காற்று	ветер
மாத	ежемесячно
மாத	ежемесячные
மாத	месячные
மாத	ежемесячный
பயனர்கள்	пользователи
பயனர்கள்	пользователей
கான்	хан
இரவு	ночь
இரவு	ночи
இரவு	ночное
நடவடிக்கை	действий
நடவடிக்கை	действие
நடவடிக்கை	акция
நடவடிக்கை	деятельность
நடவடிக்கை	меры
நடவடிக்கை	действия
நடவடிக்கை	активность
அவரின்	его
நேரங்களில்	времена
நேரங்களில்	таймс
தாம்	ухаживал
வழக்கு	кейс
வழக்கு	случае
வழக்கு	случай
வழக்கு	дело
அகாதமி	академии
அகாதமி	академия
சேவைகள்	обслуживание
சேவைகள்	службы
சேவைகள்	услуг
சேவைகள்	услуги
தளத்தில்	сайт
மக்கள்தொகை	населения
மக்கள்தொகை	население
கவிதை	стихотворение
கவிதை	поэзия
கவிதை	стихи
கவிதை	стих
இதுவரை	далеко
நேரடியாக	непосредственно
நேரடியாக	напрямую
அறிக்கை	отчет
அறிக்கை	ведомость
அறிக்கை	отчёт
அறிக்கை	доклад
அறிக்கை	заявление
அறிக்கை	пожаловаться
பணம்	наличные
பணம்	валюта
பணம்	кэш
பணம்	деньги
பணம்	наличными
உண்மையான	подлинного
உண்மையான	правда
உண்மையான	настоящий
உண்மையான	настоящая
உண்மையான	подлинные
உண்மையான	реальные
உண்மையான	подлинный
உண்மையான	настоящие
பிரிவுகள்	секции
பிரிவுகள்	разделы
பிரிவுகள்	категорий
பிரிவுகள்	категории
அடிக்கடி	часто
அடிக்கடி	частое
அடிக்கடி	зачастую
அடிக்கடி	частые
அடிக்கடி	нередко
மரம்	дрова
மரம்	дерево
மரம்	вуд
மரம்	древесины
மரம்	древесина
இராணுவ	военный
இராணுவ	военная
இராணுவ	военных
இராணுவ	военные
இதர	разное
சீனா	китай
உண்மையில்	реально
உண்மையில்	действительно
ரயில்	поезд
கவிஞர்	поэта
கவிஞர்	поэт
சுதந்திர	независимые
சுதந்திர	независимая
சுதந்திர	независимый
சுதந்திர	свобода
சுதந்திர	независимое
சுதந்திர	свободу
சுதந்திர	независимости
சுதந்திர	свободы
சுதந்திர	независимость
செய்தல்	изготовление
வெளியிட்டார்	выпущено
வெளியிட்டார்	изданы
வெளியிட்டார்	издан
வெளியிட்டார்	выдано
வடிவமைப்பு	конструкция
வடிவமைப்பு	проектирование
வடிவமைப்பு	формат
வடிவமைப்பு	дизайн
வடிவமைப்பு	конфигурации
வடிவமைப்பு	настроить
வடிவமைப்பு	конфигурация
வடிவமைப்பு	настройка
வெப்பநிலை	температуру
வெப்பநிலை	температура
வெப்பநிலை	температуры
இன்னொரு	другой
இன்னொரு	другая
நிலையை	статус
நிலையை	состояние
கப்பல்	судно
கப்பல்	корабль
அறிமுகம்	о
அறிமுகம்	введение
காங்கிரசு	конгресс
காங்கிரசு	съезд
வரி	линия
வரி	налоговых
வரி	налоги
வரி	налог
வரி	налоговая
வரி	линии
வரி	строка
காட்டும்	возвращения
காட்டும்	возвращение
காட்டும்	возвращает
காட்டும்	возвращается
மாறாக	поочередно
குரல்	голос
இயக்குநர்	режиссёр
இயக்குநர்	директор
இயக்குநர்	режиссер
ஜேம்ஸ்	джеймс
தயாரிப்பு	производства
தயாரிப்பு	произведение
தயாரிப்பு	приготовление
தயாரிப்பு	подготовка
தயாரிப்பு	производство
தயாரிப்பு	товар
தயாரிப்பு	продукт
தயாரிப்பு	продукта
தயாரிப்பு	изделие
புள்ளி	очко
புள்ளி	точка
இணைப்புக்கள்	соединения
இணைப்புக்கள்	связи
இணைப்புக்கள்	придает
இணைப்புக்கள்	ссылки
கருவி	устройства
கருவி	охват
கருவி	инструмент
கருவி	устройство
டேவிட்	дэвид
டேவிட்	давид
இயங்கும்	активные
இயங்கும்	активное
இயங்கும்	бегать
இயங்கும்	активны
இயங்கும்	бег
இயங்கும்	активная
இயங்கும்	активный
புராணம்	легенда
புராணம்	пураны
புராணம்	легенды
நிகழ்ச்சி	показ
நிகழ்ச்சி	показать
நிகழ்ச்சி	шоу
நிகழ்ச்சி	показывать
பௌத்த	буддийских
எழுதப்பட்ட	написано
எழுதப்பட்ட	письменный
எழுதப்பட்ட	письменные
எழுதப்பட்ட	письменное
கொலை	убийства
கொலை	убийство
வண்ணம்	цвета
வண்ணம்	цвет
நிலையங்கள்	станций
நிலையங்கள்	салоны
நிலையங்கள்	станции
பரப்பளவு	площадь
பரப்பளவு	район
பரப்பளவு	область
உறுதி	подтверждено
உறுதி	подтверждена
உறுதி	подтверждаю
வழக்கம்	регулярная
வழக்கம்	обычай
வழக்கம்	регулярный
வழக்கம்	индивидуально
வழக்கம்	регулярные
வழக்கம்	регулярного
வழக்கம்	регулярное
குறைவாக	низкое
குறைவாக	низко
குறைவாக	низкая
குறைவாக	низким
குறைவாக	меньше
குறைவாக	низкий
குறைவாக	менее
கலைஞர்கள்	исполнители
கலைஞர்கள்	художники
கலைஞர்கள்	художников
கலைஞர்கள்	артисты
செ	глухая
செ	глухой
செ	глухие
பாகிஸ்தான்	пакистана
பாகிஸ்தான்	пакистан
சற்று	слегка
சற்று	незначительно
சற்று	немного
அங்கே	там
இன	этнических
இன	этническая
இன	этнический
இன	расовые
இன	гонки
இன	расовая
வசதி	комфортно
வசதி	удобная
வசதி	особенность
வசதி	удобные
வசதி	комфорт
வசதி	удобный
வசதி	утешение
வசதி	удобно
வழங்கப்படும்	предложил
முயற்சி	попытка
முயற்சி	усилия
முயற்சி	попробуй
முயற்சி	попробуйте
முயற்சி	усилие
முயற்சி	попробовать
கதைகள்	рассказы
கதைகள்	истории
அரபு	арабское
அரபு	арабская
அரபு	арабские
அரபு	арабский
அரபு	араб
இவற்றை	эти
பிரான்சு	франс
பிரான்சு	франция
பிரான்சு	франции
விண்வெளி	пространство
விண்வெளி	космической
விண்வெளி	космос
மாற்றங்கள்	изменения
அடர்த்தி	плотность
படங்கள்	фото
படங்கள்	изображения
படங்கள்	рисунки
படங்கள்	образы
படங்கள்	фотографии
படங்கள்	картинки
ஆயிரம்	тысячи
ஆயிரம்	тысяча
ஆயிரம்	тысяч
வார்ப்புருக்கள்	шаблоны
இனம்	раса
இனம்	порода
இனம்	породы
இனம்	расы
இனம்	гонка
இனம்	гонки
புரிந்து	понимаю
புரிந்து	пойми
புரிந்து	понять
செய்கிறது	оттепель
வாக்குகள்	голоса
வாக்குகள்	голосов
ரூபாய்	рупий
ரூபாய்	рупия
அமைச்சர்	министр
அமைச்சர்	министра
கூட்டு	профсоюз
கூட்டு	добавить
கூட்டு	союза
கூட்டு	добавьте
கூட்டு	юнион
கூட்டு	сумма
கூட்டு	союз
கூட்டு	ассоциаций
கூட்டு	ассоциации
திட்டங்கள்	проекты
திட்டங்கள்	проектов
திட்டங்கள்	планы
அண்ணா	анна
உயரம்	рост
உயரம்	высота
தரம்	классе
தரம்	качество
வரையில்	до
எளிய	простой
எளிய	простая
எளிய	простое
எளிய	простые
தமிழர்கள்	тамилов
ஒப்பந்தம்	пакта
ஒப்பந்தம்	пакт
ஒப்பந்தம்	контракт
பணிகள்	вакансии
பணிகள்	задачи
தேவி	деви
நிலம்	земельный
நிலம்	земли
நிலம்	земля
யார்	кто
யார்	воз
மண்டலம்	зона
மண்டலம்	регион
மண்டலம்	область
மண்டலம்	зоны
குற்றம்	преступность
குற்றம்	виновен
குற்றம்	преступления
குற்றம்	виновны
குற்றம்	преступление
அன்னை	матушка
அன்னை	мать
அன்னை	матерь
அன்னை	мама
இரட்டை	двойное
இரட்டை	двойной
இரட்டை	двойные
இரட்டை	близнец
இரட்டை	двойного
இரட்டை	двойная
அலுவலகம்	канцелярия
அலுவலகம்	кабинет
அலுவலகம்	офис
வீடு	домой
வீடு	домашний
வீடு	дома
வீடு	резиденция
வீடு	хаус
வீடு	проживание
வீடு	дом
வீடு	хауз
சந்தை	рынок
சந்தை	рынка
சந்தை	рынке
தலை	голова
தலை	голову
தலை	головка
அனைத்துலக	международные
அனைத்துலக	международный
உரிமைகள்	прав
உரிமைகள்	права
நீ	вы
நீ	тебя
நீ	ты
கிராம	деревня
கிராம	деревне
கிராம	село
திறந்த	открыто
திறந்த	открытая
திறந்த	открытый
திறந்த	открыть
முழுமையாக	полностью
முழுமையாக	совершенно
நெடுஞ்சாலை	шоссе
கோட்பாடு	теория
மாதிரி	образец
மாதிரி	модель
மாதிரி	модели
மாதிரி	выборка
நடிகைகள்	актрисы
தெரிவு	выбор
குமார்	кумар
கட்டி	опухоль
கட்டி	опухоли
பிரதான	основных
பிரதான	основная
பிரதான	майор
பிரதான	основные
பிரதான	главная
அறிவு	знания
அறிவு	знание
தெரியவில்லை	нейтральным
தெரியவில்லை	нейтральной
தெரியவில்லை	нейтральный
தெரியவில்லை	нейтралитет
வழங்கி	сервера
வழங்கி	сервер
பண்பாடு	культура
ராஜா	кинг
ராஜா	царь
ராஜா	король
ராஜா	раджа
சூழல்	контекста
சூழல்	окружение
சூழல்	контексте
சூழல்	контекст
கடுமையான	жестко
கடுமையான	крутой
கடுமையான	жесткий
கடுமையான	суровое
கடுமையான	суровые
கடுமையான	жесткая
கடுமையான	серьезные
எண்ணெய்	масло
எண்ணெய்	нефть
எண்ணெய்	нефти
பொருட்களை	вещи
வானியல்	астрономии
மாற்று	заменять
மாற்று	перемены
மாற்று	преобразовать
மாற்று	заменить
மாற்று	изменение
மாற்று	изменения
மாற்று	сменить
மாற்று	переключатель
மாற்று	изменить
மாற்று	переключение
மாற்று	замена
மாற்று	переключить
இராச்சியம்	царство
இணையதளம்	вебсайт
இணையதளம்	сайт
வாழ்ந்து	живое
வாழ்ந்து	живые
வாழ்ந்து	живущие
மழை	дождь
மழை	дожди
மழை	дождей
தெரிகிறது	кажется
தெரிகிறது	смотрится
தெரிகிறது	выглядит
கார்பன்	углерода
கார்பன்	углерод
உலகளாவிய	глобальное
உலகளாவிய	глобальные
உலகளாவிய	глобальный
உலகளாவிய	глобальная
தோன்றும்	всплеск
ஏற்றுக்	приняты
ஏற்றுக்	принято
ஏற்றுக்	принят
ஏற்றுக்	принята
நான்காவது	четвертая
நான்காவது	четвертый
நான்காவது	четвертой
நான்காவது	четвертое
நான்காவது	четвёртый
நான்காவது	четвёртая
பேருந்து	автобус
வழக்கமாக	обычно
வழக்கமாக	регулярно
விதி	судьба
விதி	судьбы
விதி	правило
விதி	судьбу
தெரு	улица
இறைவன்	лорд
இறைவன்	господь
யூ	ю
கண்	глаз
கண்	око
மகள்	дочка
மகள்	дочь
தேசியக்	национальная
தேசியக்	национальный
தேசியக்	национальные
தேசியக்	национальных
மூல	оригинал
மூல	оригинальная
மூல	оригинальные
மூல	оригинально
மூல	первоначального
மூல	оригинальный
இடது	осталось
இடது	левой
இடது	налево
இடது	слева
இடது	оставил
எல்லாம்	всё
எல்லாம்	всех
