ve	そして
direniş	抵抗
direniş	足袋
yanıt	答え
yanıt	答弁
yanıt	応答
yanıt	返信
yanıt	回答
yanıt	レスポンス
kızlar	ガールズ
filosu	フリート
filosu	艦隊
kilo	ポンド
kilo	キログラム
kilo	重量
kilo	体重
sahnesi	現場
sahnesi	シーン
sahnesi	場面
gereklidir	必須
bahçe	ガーデニング
bahçe	庭園
bahçe	園芸
fonksiyon	関数
fonksiyon	機能
yener	ビーツ
çeşitleri	品種
çeşitleri	種類
başlangıcı	発症
kök	ルート
kök	ルーツ
üssü	塩基
üssü	ベース
nesne	オブジェクト
noel	クリスマス
oluşturuldu	作成
sözler	単語
sözler	歌詞
sözler	言葉
sözler	作詞
marka	銘柄
marka	ブランド
marka	商標
marka	焼印
marka	ブランディング
filipinler	フィリピン
yaylası	高原
yaylası	台地
değerlendirme	レビュー
değerlendirme	対価
değerlendirme	査定
değerlendirme	審査
değerlendirme	評定
değerlendirme	評価
burun	鼻音
kıta	キタ
kıta	大陸
kıta	コンチネンタル
girişi	ログイン
girişi	玄関
girişi	入口
girişi	入り口
girişi	入学
gözlem	監視
gözlem	モニタリング
gözlem	傍聴
gözlem	観測
gözlem	観察
tahran	テヘラン
sancak	バナー
sancak	横断幕
veriler	データ
kurşun	銃弾
kurşun	リード
kurşun	弾丸
yatay	横向き
yatay	風景
yatay	横長
yatay	水平
aileler	両親
aileler	保護者
yöntemleri	メソッド
salon	ラウンジ
salon	ホール
salon	サルーン
üzeri	上記
üzeri	上の
üzeri	オーバー
pratik	練習
varşova	ワルシャワ
tersine	リバース
aksiyon	アクション
mobil	モバイル
çam	マツ
çam	パイン
ejderha	ドラゴンズ
ejderha	ドラゴン
nefret	憎しみ
nefret	嫌い
nefret	憎悪
nefret	嫌悪
göçmen	移民
göçmen	入国
göçmen	出稼ぎ
ülkelere	国々
cenaze	葬式
cenaze	葬儀
roket	ロケット
prenses	プリンセス
prenses	王女
beden	ボディ
beden	身体
beden	サイズ
beden	本体
beden	本文
leyla	レイラ
bellek	メモリ
bellek	記憶
bellek	メモリー
torunu	孫娘
avusturyalı	オーストリア
başkanları	社長
mızrak	ランス
mızrak	スピアーズ
buzul	氷河
turkish	英語
turkish	イングリッシュ
verici	ドナー
verici	トランスポンダ
dernek	友愛
dernek	協会
dernek	社団
dernek	アソシエーション
muhalefet	野党
olasılık	確率
olasılık	可能性
koro	合唱
koro	コーラス
denge	平衡
denge	バランス
denge	均衡
denge	残高
risk	リスク
bağlantıları	つながり
bağlantıları	接続
bağlantıları	リンク
tehlike	危険
antlaşma	条約
balkanlar	バルカン
tutar	金額
seçme	セレクション
seçme	選択
seçme	選考
seçme	注目
kristal	クリスタル
kristal	結晶
nispeten	比較的
manastır	修道院
manastır	僧院
müzikleri	サウンドトラック
yüzme	競泳
yüzme	泳ぐ
yüzme	泳ぎ
yüzme	水泳
yüzme	スイミング
sofya	ソフィア
yahya	ジョン
yılan	ヘビ
yılan	サーペント
dersler	レッスン
dersler	講演
dersler	コース
dersler	クラス
dersler	講義
dersler	レクチャー
dersler	授業
güneye	サウス
kocası	主人
kocası	旦那
kocası	ダンナ
çarşamba	水曜
çarşamba	水曜日
şirketleri	会社
satranç	チェス
vahşi	激しい
vahşi	激戦
vahşi	ワイルド
vahşi	サベージ
vahşi	野生
iniş	着陸
iniş	上陸
iniş	降下
yakup	ジャコブ
kanıt	証明
kanıt	プルーフ
kanıt	証拠
korunması	保護
slovakya	スロバキア
düşünür	思想
evrim	進化
düzensiz	不定期
düzensiz	不規則
alfa	アルファ
tedavisi	トリートメント
tedavisi	治療
tedavisi	待遇
bükreş	ブカレスト
yuvarlak	丸い
yuvarlak	ラウンド
yuvarlak	円形
cisim	オブジェクト
kullanıcıları	ユーザ
kullanıcıları	ユーザー
tütün	たばこ
tütün	タバコ
bateri	太鼓
bateri	ドラム
oksijen	酸素
ceylan	ガゼル
meryem	マリアム
meryem	メアリー
meryem	メアリ
meryem	マドンナ
malezya	マレーシア
savaşlar	合戦
savaşlar	ウォーズ
savaşlar	戦争
geliştirmek	改善
geliştirmek	向上
yiğit	ヒーロー
yiğit	ヴァリアント
yiğit	男らしい
lüksemburg	ルクセンブルク
çeşme	噴水
muhafaza	保存
muhafaza	保全
atış	ピッチ
atış	射撃
atış	ショット
tura	ツアー
tura	ヘッズ
tura	ヘッド
erik	プラム
erik	スモモ
kiraz	さくらんぼ
kiraz	サクランボ
kiraz	チェリー
yargı	判決
yargı	審判
yargı	判断
yargı	司法
adalar	諸島
misafir	ゲスト
kule	タワー
astronomi	天文学
kesme	裁断
kesme	切り取り
skor	得点
skor	スコア
şimşek	ライトニング
şimşek	サンダー
burda	ここ
turistik	ツーリスト
turistik	観光
adem	アダム
ayaklanma	暴動
ayaklanma	蜂起
ayaklanma	反乱
katılmak	参加
mekke	メッカ
venezuela	ベネズエラ
birincil	プライマリ
birincil	メイン
kartaca	カルタゴ
yetişkin	大人
yetişkin	成人
ağız	口頭
meşe	オークス
meşe	オーク
hükümdar	定規
hükümdar	モナーク
hükümdar	主権
hükümdar	ルーラー
hükümdar	君主
hediye	贈り物
hediye	プレゼント
hediye	ギフト
hediye	景品
hediye	現在
koşulları	用語
koşulları	条件
koşulları	規約
izleme	監視
izleme	トラッキング
izleme	モニタリング
sembolü	シンボル
sembolü	記号
tekstil	織物
tekstil	繊維
tekstil	テキスタイル
eyüp	ジョブ
eyüp	仕事
eyüp	職業
planlama	計画
planlama	企画
planlama	スケジュール
planlama	プランニング
planlama	スケジューリング
prodüksiyon	製作
prodüksiyon	プロダクション
prodüksiyon	生産
renkleri	カラー
oran	レート
oran	比率
oran	評価
mesajı	伝言
mesajı	メッセージ
mermer	大理石
öldürür	kill
hassas	柔らかい
hassas	テンダー
hassas	精度
frekans	頻度
frekans	周波数
modelleri	モデル
bavyera	バイエルン
mayın	地雷
kuyruklu	彗星
kuzeydoğu	北東
ilçeleri	ディストリクト
tercüme	翻訳
bale	バレエ
versiyon	バージョン
yazık	哀れみ
boğaz	海峡
boğaz	咽喉
tüfek	小銃
tüfek	ライフル
birlikler	ユニット
birlikler	単位
toz	ほこり
toz	砂塵
toz	パウダー
toz	ダスト
toz	粉末
derleme	コンパイル
derleme	編纂
radyasyon	放射
radyasyon	放射線
sözlüğü	辞典
sözlüğü	辞書
miras	継承
miras	遺産
miras	相続
tatil	休暇
tatil	バケーション
tatil	ホリデー
tatil	祝日
tatil	バカンス
tatil	休日
intikam	報復
intikam	リベンジ
intikam	復讐
elle	マニュアル
elle	手動
dk	ミン
çaba	努力
çaba	エンデバー
evler	住宅
evler	家屋
hücum	充電
hücum	チャージ
hücum	課金
hücum	違反
büyüme	栽培
büyüme	発育
büyüme	成長
yaratıcı	クリエーター
yaratıcı	メーカー
yaratıcı	クリエイティブ
çavuş	軍曹
çanak	ディッシュ
kutup	北極
farklılık	差異
farklılık	差分
farklılık	違い
zorla	フォース
sıcaklığı	気温
sıcaklığı	温度
hacmi	音量
hacmi	体積
hacmi	ボリューム
oluşumu	フォーメーション
boyun	ネック
oblastı	オーブラスチ
yazmak	執筆
yazmak	筆記
yazmak	書き込み
çıkışı	出口
çıkışı	終了
soy	ロブ
avustralyalı	オーストラリア
çıkmaya	交際
çıkmaya	出会い
çıkmaya	デート
boru	パイプ
boru	チューブ
form	フォーム
form	形態
bitti	終了
bitti	オーバー
yemekler	料理
yemekler	食品
yemekler	食べ物
yemekler	食事
körfez	ガルフ
kazı	掘削
kazı	掘る
kazı	ディグ
kazı	発掘
durumlar	状況
durumlar	情勢
durumlar	近況
atlet	アスリート
elverişli	便利
seyit	サイイド
banka	バンクス
banka	バンク
banka	銀行
daima	いつも
daima	常に
lizbon	リスボン
tamamlandı	完備
tamamlandı	終了
tamamlandı	コンプリート
çağrı	呼出
çağrı	召喚
çağrı	通話
çağrı	コーリング
çağrı	コール
irlandalı	アイリッシュ
bağlar	ネクタイ
bağlar	つながり
bağlar	接続
bağlar	リンク
dinamik	ダイナミック
şarap	ワイン
hedefi	ゴール
vektör	ベクター
vektör	ベクトル
ender	レア
soylu	尊い
ateşi	発熱
dua	祈り
dua	祈る
dua	礼拝
dua	祈祷
berabere	引き分け
berabere	ネクタイ
ortaçağ	中世
bodrum	地下
bodrum	地下室
yazıldı	筆記
mimarisi	アーキテクチャ
mimarisi	建築
kazananlar	勝者
partiler	パーティー
partiler	パーティ
partiler	当事者
kabile	部族
semt	近所
semt	ディストリクト
semt	近隣
semt	地区
dayanışma	連帯
kurumları	機関
kahve	コーヒー
hamur	生地
gizlice	こっそり
taç	クラウン
taç	ティアラ
tanım	定義
tanım	説明
tanım	解説
kurul	ボード
kaba	乱暴
kaba	ラフ
kaba	無礼
tartışmalı	申し立て
bomba	爆弾
batıya	ウェスト
batıya	ウエスト
batıya	西部
adaylığı	立候補
adaylığı	指名
görme	ヴィジョン
görme	ビジョン
yönü	方向
yönü	アスペクト
yönü	側面
göçebe	遊牧民
üretici	製造業者
üretici	プロデューサー
üretici	メーカー
yüzbaşı	隊長
yüzbaşı	キャプテン
balıklar	魚類
balıklar	フィッシュ
fırsat	好機
fırsat	機会
çevirisi	翻訳
direk	直接
direk	ダイレクト
direk	マスト
letonya	ラトビア
kazak	カザフ
kazak	コサック
kazak	セーター
cenevre	ジュネーヴ
cenevre	ジュネーブ
kurtarmak	保存
alkol	アルコール
çatı	屋上
çatı	ペントハウス
çatı	屋根
başvuru	アプリケーション
başvuru	出願
mutfağı	料理
boz	グリズリー
kategorisi	区分
kategorisi	カテゴリ
kategorisi	分類
kategorisi	カテゴリー
demirci	鍛冶屋
demirci	スミス
atilla	アッティラ
lazer	レーザー
seçimler	選択肢
seçimler	選挙
seçimler	選任
seçimler	選択
saç	ヘアー
saç	髪の毛
saç	毛髪
saç	ヘア
saç	ヘアスタイル
saç	髪型
saç	髪形
dost	友だち
dost	友達
dost	友人
dost	フレンド
şeref	名誉
şeref	グローリー
görevler	ジョブ
görevler	役割
görevler	タスク
görevler	ミッション
görevler	求人
görevler	クエスト
afyon	ポピー
afyon	アヘン
yüksel	上昇
yüksel	登る
sattı	落札
silahlar	武器
silahlar	アームス
silahlar	拳銃
silahlar	兵器
daimi	パーマネント
açılır	開く
lefkoşa	ニコシア
eşittir	イコール
eşittir	等しい
reform	改革
mareşal	元帥
mareşal	マーシャル
saygılar	リスペクト
saygılar	尊重
saygılar	宜しく
saygılar	敬意
saygılar	尊敬
estetik	美学
iznik	ニカイア
mesleki	プロフェッショナル
yakası	首輪
suçlu	有罪
görüşler	意見
görüşler	フィードバック
toplantı	会議
toplantı	ミーティング
mantık	論理
mantık	推論
macera	アドベンチャー
macera	冒険
macera	クエスト
tarif	作り方
tarif	解説
tarif	方向
tarif	道順
tarif	説明
tarif	レシピ
sidney	シドニー
ölmüş	故人
şartları	用語
şartları	規約
cumartesi	土曜日
sözlü	口頭
pas	サビ
pas	パス
evleri	家屋
dram	ドラマ
sürgüne	亡命
sürgüne	流罪
gelenekleri	伝統
adresi	アドレス
adresi	住所
eki	差押え
eki	添付
eki	愛着
fakir	かわいそう
af	許し
af	許す
af	恩赦
senfoni	交響曲
senfoni	シンフォニー
özür	謝罪
koruyucu	後見人
koruyucu	ディフェンダー
koruyucu	プロテクター
koruyucu	ガーディアン
tema	テーマ
kuveyt	クウェート
cinsiyet	性別
cinsiyet	ジェンダー
silahı	ガン
taht	玉座
gazetecilik	ジャーナリズム
gazetecilik	報道
haberler	ストーリー
haberler	記事
haberler	ニュース
çinli	中国人
çinli	中国語
memur	事務員
memur	役員
memur	事務職
memur	巡査
memur	書記官
kuyruk	尾翼
kuyruk	キュー
kuyruk	しっぽ
şirketler	会社
programlar	演目
programlar	プログラム
işlevi	関数
işlevi	機能
moğolistan	モンゴル
füze	ミサイル
belirsiz	曖昧
gazze	ガザ
arz	供給
arz	サプライ
sade	シンプル
sade	平野
sade	簡単
sade	無地
sade	単純
okur	読み込み
okur	リーダー
okur	読者
beraberlik	引き分け
beraberlik	ネクタイ
beraberlik	体感
federasyon	連邦
özet	抽象
özet	まとめ
özet	消化器
özet	概要
özet	要約
özet	概説
özet	ダイジェスト
özet	概略
katar	カタール
tutum	態度
tutum	姿勢
çapı	直径
geçerlidir	有効
kopenhag	コペンハーゲン
donanım	機器
donanım	金物
donanım	ハードウェア
donanım	機材
donanım	道具
donanım	装備
sahili	海岸
icat	発明
organı	オルガン
organı	臓器
kurumsal	エンタープライズ
kurumsal	企業
fabrika	工場
sinyal	信号
sinyal	シグナル
sinyal	合図
araştırmacı	研究員
araştırmacı	研究者
gama	ガンマ
cinayet	殺人
fan	ファンクラブ
farklılıklar	差異
farklılıklar	差分
farklılıklar	違い
düzenlenmiş	規制
yürütme	エグゼクティブ
etiyopya	エチオピア
muhafız	後見人
muhafız	ガード
muhafız	ガーディアン
reddetti	拒否された
reddetti	不参加
reddetti	却下
reddetti	辞退
göğüs	乳房
göğüs	母乳
fildişi	象牙
düşmanı	憎悪
denetim	監査
denetim	監督
denetim	コントロール
denetim	検査
denetim	検問
mesleği	占領
mesleği	職業
sürü	群れ
üreticisi	製造業者
üreticisi	メーカー
vadi	ヴェイル
vadi	谷間
vadi	バレー
engelleme	ブロック
engelleme	ブロッキング
kaldırılması	廃止
kaldırılması	除去
kaldırılması	撤去
vezir	クイーン
vezir	女王
sevilen	最愛
sevilen	ポピュラー
sevilen	人気
yönlendirme	紹介
yönlendirme	ルーティング
atlantik	アトランティック
atlantik	大西洋
kör	盲人
kör	ブラインド
olağan	普通
rekor	記録
rekor	レコード
yayınlar	出版物
dağıtım	配当
dağıtım	分布
dağıtım	流通
danışmanı	アドバイザー
danışmanı	コンサルタント
danışmanı	顧問
yorumları	コメント
dizileri	シーケンス
bitkiler	植物
bitkiler	ハーブ
kaplan	トラ
kaplan	タイガー
rönesans	ルネサンス
rönesans	ルネッサンス
platin	プラチナ
platin	白金
konservatuvarı	温室
galaksi	銀河系
galaksi	銀河
benzerlik	アフィニティ
heykeltıraş	彫刻家
heykeltıraş	彫刻
kimliği	アイデンティティー
kimliği	アイデンティティ
ömür	ライフ
ömür	生命
ömür	生活
ömür	人生
mermi	銃弾
mermi	弾丸
masa	テーブル
masa	デスク
suları	ジュース
suları	ウォーターズ
gelenler	到着
budapeşte	ブダペスト
toplamı	合計
toplamı	総和
giyim	被服
giyim	衣類
nefes	ブレス
nefes	呼吸
hakaret	侮蔑
hakaret	侮辱
kurtlar	ウジ
kurtlar	ウルフ
kurtlar	オオカミ
pirinç	ライス
pirinç	真鍮
pirinç	ご飯
alakalı	関連
azami	最大
azami	マックス
özgürlüğü	自由
seks	性別
seks	セックス
bilinmiyor	不明
sivri	シャープ
sivri	鋭い
izler	マークス
izler	トラック
kuzeye	ノース
kalkan	シールド
yeğeni	めい
burnu	ケープ
manastırı	修道院
manastırı	僧院
yetkili	認可
yetkili	職権
yetkili	権限
yetkili	権威
sunar	プレゼント
kırgızistan	キルギス
kurtarma	レスキュー
kurtarma	回復
kurtarma	救助
kurtarma	回収
kurtarma	リカバリ
ceviz	ナッツ
ceviz	くるみ
ceviz	クルミ
ceviz	ナット
renkler	カラー
aslı	オリジナル
ordular	軍隊
bant	バンド
bant	テープ
tiflis	トビリシ
silme	削除
sendromu	症候群
projeleri	プロジェクト
medrese	マドラサ
burhan	証明
burhan	プルーフ
burhan	証拠
planlanan	予定
planlanan	計画
zürih	チューリッヒ
geçmek	クロッシング
batılı	ウエスタン
batılı	ウェスタン
muhtemel	可能性
bekleyen	待ち
sakin	寒気
sakin	チル
kamp	キャンプ
yetenekli	才能
basım	印刷
şahıs	人物
şahıs	件名
şahıs	主体
etkileşim	相互作用
etkileşim	婚約
sel	洪水
tayvan	台湾
tayvan	中華民国
operasyon	オペレーション
operasyon	操作
operasyon	作戦
operasyon	演算
operasyon	運営
operasyon	運行
sigorta	布施
sigorta	保険
sigorta	ヒューズ
efsane	神話
efsane	伝説
buhar	スチーム
buhar	蒸気
uçan	フライング
uçan	飛ぶ
çubuk	バー
çubuk	ロッド
çubuk	スティック
çubuk	バール
metrik	メートル法
ikiz	双子
ikiz	双生児
ikiz	ツイン
torino	トリノ
müslümanlar	イスラム教
müslümanlar	ムスリム
büyüyen	栽培
büyüyen	成長
gözleri	アイズ
konserler	コンサート
çöl	砂漠
çöl	デザート
kas	マッスル
kas	筋肉
binalar	建物
binalar	建築物
sıkıntı	退屈
sıkıntı	トラブル
sıkıntı	困難
biyografi	伝記
biyografi	バイオ
namlu	バレル
namlu	マズル
şirin	可愛い
şirin	キュート
şirin	かわいい
kararlı	安定
kararlı	確固たる
kerim	カリム
geceleri	ナイツ
çabuk	クイック
çabuk	急ぐ
avukatlık	弁護士
anlamak	理解
cennet	天国
cennet	楽園
cennet	パラダイス
samanyolu	ミルキー
yıllarca	年数
dövüş	ファイティング
dövüş	ファイト
efsanevi	伝説
böcek	ビートル
böcek	不具合
böcek	昆虫
böcek	バグ
deney	実験
doğuya	イースト
doğuya	東部
memnun	満足
teknikleri	テクニック
yorumu	コメント
pist	トラック
yıllardır	年数
kartı	カード
özeti	まとめ
özeti	概要
özeti	要約
özeti	概説
özeti	概略
kavga	ファイティング
kavga	ファイト
bolivya	ボリビア
komedyen	コメディアン
platformu	プラットホーム
platformu	プラットフォーム
cerrahi	手術
mağara	グロット
mağara	洞窟
finans	財務
finans	金融
finans	財政
finans	ファイナンス
finans	融資
pazarlama	マーケティング
yerçekimi	重力
yerçekimi	グラビテーション
yerçekimi	グラビティ
manevi	スピリチュアル
işkence	拷問
sorumluluk	責任
sorumluluk	責務
alıcı	宛先
alıcı	バイヤー
alıcı	買い手
özen	ケア
özen	介護
medine	マディーナ
aralığı	区間
aralığı	インターバル
aralığı	音程
aralığı	間隔
konut	住宅地
konut	居所
konut	住居
konut	住宅
kazanılan	後天性
kazanılan	ウォン
ekstra	エクストラ
ekstra	オマケ
yaşı	年齢
kelimeler	単語
kelimeler	言葉
ulaştırma	輸送
ulaştırma	交通
doku	テクスチャ
doku	テクスチャー
doku	ティッシュ
dönüşüm	変換
dönüşüm	変形
hazine	財宝
hazine	国庫
hazine	宝物
güreşçi	レスラー
isviçreli	スイス
dramatik	ドラマチック
harun	アロン
harun	アーロン
denizaltı	潜水艦
denizaltı	サブ
takdir	鑑賞
operasyonu	オペレーション
operasyonu	操作
operasyonu	作戦
operasyonu	運営
operasyonu	運行
şafak	明け方
şafak	夜明け
şafak	ドーン
katil	キラー
katil	人殺し
katil	殺人犯
kalıp	カビ
öğrenme	ラーニング
öğrenme	学習
öğrenme	学問
çoğunluk	過半数
çoğunluk	定足数
birleşme	合併
birleşme	同窓会
birleşme	統一
birleşme	再会
yoğunluk	密度
yoğunluk	光度
yoğunluk	輝度
kolaylıkla	楽々
soyut	抽象
anlar	モーメント
eğitmen	インストラクター
eğitmen	講師
eğitmen	チュートリアル
eğitmen	トレーナー
teoremi	定理
zehirli	毒性
paket	パッケージ
paket	包み
paket	小包
beslenme	栄養
beslenme	栄養士
teknolojileri	テクノロジー
korkunç	怖い
korkunç	恐ろしい
korkunç	ひどい
once	ファースト
once	最初
ücret	給料
ücret	コスト
ücret	費用
ücret	原価
ücret	給与
ücret	料金
ücret	俸給
ücret	手数料
moldova	モルドバ
mezopotamya	メソポタミア
kırık	壊れた
kırık	骨折
kırık	破壊
buda	ブッダ
buda	仏陀
gelirler	歳入
gelirler	収益
gelirler	収入
beton	コンクリート
beton	セメント
onay	検証
onay	承認
onay	確認
jose	ホセ
kağıt	ペーパー
kağıt	用紙
bombardıman	砲撃
bombardıman	爆撃
gana	ガーナ
antarktika	南極大陸
antarktika	南極
üretilmiş	製造
türkmenistan	トルクメニスタン
elektrikli	電気
elektrikli	エレクトリック
yarattı	作成
etkinlikler	アクティビティ
etkinlikler	活動
etkinlikler	イベント
etkinlikler	行事
ifadeler	ステートメント
ifadeler	フレーズ
ifadeler	リアクション
güçler	パワーズ
hücreleri	セル
komik	面白い
ayrım	差別
ayrım	区別
bitiş	エンド
bitiş	エンディング
bitiş	終了
bitiş	フィニッシュ
eksikliği	欠如
eksikliği	不足
hayran	ファン
çan	ベル
ölçekli	縮尺
ölçekli	目盛
ölçekli	スケール
puanlar	ポイント
puanlar	スコア
puanlar	評価
mekanizması	機構
mekanizması	メカニズム
hekim	医師
hekim	ハキム
bel	ウエスト
tümü	すべて
hepsini	すべて
seramik	陶磁器
seramik	セラミック
dick	デック
güzellik	美容
neyse	とにかく
itiraz	アピール
itiraz	オブジェクト
itiraz	申し立て
itiraz	異議
itiraz	抗告
itiraz	上告
pahalı	高額
pahalı	高い
röportaj	インタビュー
röportaj	面接
müşteri	顧客
müşteri	カスタマー
müşteri	クライアント
ilkesi	原理
tahıl	穀物
tahıl	シリアル
keçi	ヤギ
fırsatı	好機
fırsatı	機会
savaşçı	ウォリアーズ
savaşçı	戦士
savaşçı	ファイター
singapur	シンガポール
tesis	設備
tesis	施設
kentsel	アーバン
istek	請求
istek	リクエスト
turist	ツーリスト
turist	観光
adres	アドレス
adres	住所
saldırılar	攻撃
okulları	学校
okulları	流派
kolları	ハンドル
kolları	スリーブ
kolları	アームス
boşluk	無効
boşluk	間隔
boşluk	空間
boşluk	ボイド
boşluk	ギャップ
boşluk	スペース
kazanmak	勝つ
kazanmak	優勝
kazanmak	勝ち
kazanmak	勝利
itiraf	告白
itiraf	自白
itiraf	懺悔
ruhu	ソウル
ruhu	霊魂
savunması	防御
savunması	ディフェンス
arşiv	書庫
arşiv	アーカイブ
ucuz	安い
oluşturma	創造
oluşturma	作成
nilüfer	ロータス
nilüfer	ハス
kalem	ペンシル
kalem	ペン
kalem	鉛筆
zorlu	厳しい
zorlu	タフ
tahliye	退院
tahliye	除隊
tahliye	分泌物
tahliye	避難
anında	インスタント
anında	瞬間
biber	コショウ
biber	ペッパー
biber	胡椒
protestan	プロテスタント
pasaport	パスポート
pasaport	旅券
kuşak	世代
kuşak	ベルト
kuşak	ジェネレーション
rüya	ドリーム
kenya	ケニア
eşitlik	パリティ
eşitlik	方程式
eşitlik	パリティビット
eşitlik	平等
kampı	キャンプ
taburu	大隊
yasemin	ジャスミン
muhalif	野党
öğrendi	学習
penaltı	ペナルティ
finalleri	ファイナル
atlama	ジャンプ
atlama	スキップ
parmak	親指
parmak	フィンガー
nihayet	やっと
nihayet	遂に
nihayet	ついに
şart	要件
şart	状態
şart	条件
kalitesi	品質
kalitesi	クオリティ
kalitesi	画質
zordur	難しい
jüpiter	ジュピター
jüpiter	木星
projeler	プロジェクト
mason	フリーメーソン
mantıklı	論理
sermaye	資本
sermaye	エクイティ
sermaye	キャピタル
sermaye	持分
sermaye	首都
patates	じゃがいも
patates	ポテト
patates	ジャガイモ
büyükelçiliği	大使館
yürüyüş	ウォーク
yürüyüş	歩行
yürüyüş	ウォーキング
yürüyüş	マーチ
yürüyüş	徒歩
yürüyüş	行進曲
yürüyüş	歩き
yürüyüş	歩く
yürüyüş	ハイキング
sergey	セルゲイ
etiketi	ラベル
anlama	理解
ayna	ミラー
oluşum	フォーメーション
yaşamak	リビング
hastalıklar	疾病
hastalıklar	病気
çiftlik	農場
çiftlik	牧場
çiftlik	ファーム
yüzyıllar	世紀
delik	ホール
dairesel	円形
arzu	欲望
düzenlemeler	編集
çifte	ダブル
çifte	二重
gemiler	ボート
gemiler	艦船
gemiler	船舶
anlatım	ストーリー
anlatım	物語
klinik	クリニック
klinik	診療所
partizan	パルチザン
listeleri	リスト
iskenderiye	アレクサンドリア
yavru	パピー
yavru	子犬
kâğıt	ペーパー
kâğıt	用紙
depolama	ストレージ
silahları	武器
silahları	兵器
takvimi	カレンダー
indirme	ダウンロード
iyon	イオン
kararlar	解像度
kararlar	決定
tezi	論文
tezi	テーゼ
meta	メタデータ
meta	商品
kaz	掘る
kaz	ディグ
kaz	ガチョウ
fırlatma	打ち上げ
fırlatma	取り出し
fırlatma	起動
fayda	給付
fayda	福利
fayda	利益
faz	フェーズ
faz	位相
sınıflandırma	分類
ötesi	ビヨンド
ilyas	エリアス
ilyas	エリヤ
ilyas	イライアス
gizemli	ミステリー
yağı	石油
yağı	オイル
ruhsal	スピリチュアル
elmas	ダイアモンド
elmas	ダイヤモンド
giderler	支出
giderler	費用
giderler	経費
duman	スモーク
sigara	喫煙
sigara	スモーク
sigara	タバコ
takviye	援軍
takviye	補強
takviye	強化
akış	渓流
akış	フィード
akış	フロー
akış	流れ
akış	ストリーム
atlı	ライダー
hastane	病院
robot	ロボット
robot	ボット
vampir	ヴァンパイア
vampir	吸血鬼
nemli	湿度
nemli	しっとり
nemli	湿気
işlemci	プロセッサ
kont	カウント
azınlık	少数
üçgen	三角形
üçgen	トライアングル
normalde	通常
kutu	ボックス
fakülte	教職員
fakülte	学部
çıkmak	交際
çıkmak	出会い
çıkmak	デート
konfederasyonu	連盟
uygulanması	実施
uygulanması	実装
şekilleri	シェイプ
şekilleri	形状
eleştirmenler	評論家
makaleler	エセー
makaleler	冠詞
makaleler	随筆
makaleler	記事
makaleler	エッセイ
bağımlı	依存
bağımlı	中毒
cezaevi	刑務所
cezaevi	監獄
danışma	諮問
danışma	カウンセリング
danışma	勧告
danışma	相談
danışma	協議
danışma	コンサルティング
bağışıklık	免疫
servet	フォーチュン
düşünen	思想
çözümü	溶液
çözümü	ソリューション
akışı	フロー
akışı	流れ
gölge	シェイド
gölge	シャドー
gölge	シャドウズ
gölge	日陰
gölge	シャドウ
gölge	シェード
istila	侵略
istila	侵攻
ilerleme	プログレス
ilerleme	進捗
ilerleme	経過
uzakta	遠く
uzakta	遠い
uzakta	アウェイ
demet	ブーケ
sorular	問い合わせ
sorular	質問
sürücü	ドライバー
sürücü	ライダー
sürücü	ドライバ
sürücü	運転手
erivan	エレバン
üs	塩基
üs	ベース
soruşturma	照会
soruşturma	捜査
soruşturma	探究
soruşturma	調査
soruşturma	問い合わせ
elektro	エレクトロ
fasulye	ビーン
koleksiyonu	コレクション
engelli	無効
engelli	ハンディ
inan	信じる
inan	信ずる
çiçeği	フラワー
karşıt	反対
bolşevik	ボリシェヴィキ
zırh	装甲
zırh	アーマー
düzenleyen	主催
ilkel	プライミーバル
ilkel	プライマル
ilkel	プリミティブ
birimler	ユニット
birimler	単位
mizah	ユーモア
yurtdışında	海外
pencere	ウィンドウ
gözler	アイズ
ödeme	支払う
ödeme	決済
ödeme	支払
ödeme	支払い
elden	オーバーホール
musul	モースル
yöntemler	メソッド
yeter	十分
denizcilik	海事
denizcilik	マリン
balıkçılık	漁業
balıkçılık	釣り
balıkçılık	魚釣り
taraftar	ファン
kapatıldı	閉店
sahra	サハラ
tamir	フィックス
tamir	修理
tamir	固定された
tamir	修正
tamir	固定
öldürmek	キリング
bağlama	バインディング
bağlama	拘束
bağlama	接続
bağlama	製本
bağlama	コンテクスト
bağlama	コンテキスト
yıldızları	スターズ
formu	フォーム
formu	形式
üniversiteler	カレッジ
üniversiteler	大学
kelebek	チョウ
kelebek	バタフライ
araştırmacılar	研究者
refah	繁栄
refah	福祉
yetenek	能力
yetenek	タレント
yetenek	スキル
çiftler	ダブルス
çiftler	カップル
çiftler	ペア
malzemeler	食材
malzemeler	成分
malzemeler	素材
malzemeler	材料
listeler	リスト
yaratan	クリエーター
manga	分隊
sesleri	サウンド
ölçüm	測定
ölçüm	計測
ölçüm	メートル法
çapraz	対角線
çapraz	クロス
çapraz	十字
çapraz	十字架
çapraz	クロスオーバー
ateşkes	停戦
gönderme	参照
gönderme	参考
gönderme	リファレンス
artist	女優
artist	俳優
iletken	車掌
akar	フロー
akar	流れ
akar	流れる
tutulan	開催
strateji	戦略
fare	ラット
fare	ネズミ
fare	ねずみ
fare	マウス
açlık	飢饉
açlık	飢餓
açlık	飢え
açlık	空腹
kuruluşlar	機関
kuruluşlar	団体
kadınları	女性
