और	и
सामान	вещи
किला	касл
किला	замок
किला	крепость
किला	форт
मंगल	вт
मंगल	марс
अन्तर्राष्ट्रीय	международные
अन्तर्राष्ट्रीय	международный
थोड़ा	слегка
थोड़ा	незначительно
थोड़ा	немного
शुल्क	плата
शुल्क	плату
शुल्क	сборы
शुल्क	гонорар
लोगो	логотипы
लोगो	логотип
माह	месяц
माह	месяцев
माह	месяца
माह	месяцы
सलाह	салах
सलाह	консультировать
सलाह	советы
आहार	диеты
आहार	диета
आहार	рацион
स्वामित्व	владение
स्वामित्व	собственность
गिरजाघर	собор
गिरजाघर	церкви
गिरजाघर	церковь
पीढ़ी	поколения
पीढ़ी	поколение
गृह	дом
गृह	домой
गृह	дома
गृह	домашний
छवि	картинка
छवि	изображения
छवि	изображение
छवि	образы
छवि	имидж
छवि	образ
छवि	картинки
पुष्टि	подтверждено
पुष्टि	подтверждена
पुष्टि	подтверждение
पुष्टि	подтверждаю
कलाकारों	исполнители
कलाकारों	художники
कलाकारों	художников
कलाकारों	артисты
यूनिवर्सिटी	университет
औपचारिक	формальный
औपचारिक	формальные
जातियों	гонки
वित्त	финансирование
वित्त	финансы
तीर्थ	паломничество
मध्यम	средних
मध्यम	среднее
मध्यम	средняя
मध्यम	средние
मध्यम	умеренно
मध्यम	средний
द्रव	жидкости
द्रव	жидкость
द्रव	жидкий
अनुरोध	просьбе
अनुरोध	запросы
अनुरोध	просьба
अनुरोध	просьбы
अनुरोध	запрос
अनुरोध	запросить
जोर	упор
जोर	громко
जोर	громкий
जोर	акцент
संभावित	вероятно
संभावित	возможная
संभावित	возможно
संभावित	возможен
संभावित	потенциальная
संभावित	потенциал
संभावित	возможна
हमारी	наше
हमारी	наши
हमारी	наш
हमारी	наша
विपणन	маркетинг
विपणन	сбыт
विपणन	маркетинга
मनाया	праздновали
मनाया	отмечали
मूल्यांकन	измерения
मूल्यांकन	измерение
मूल्यांकन	оценка
वाक्य	предложение
वाक्य	приговоры
वाक्य	приговор
डाटा	данных
डाटा	данные
अनुरूप	подходит
अनुरूप	согласные
ध्वज	баннер
ध्वज	люксембурга
ध्वज	флаги
ध्वज	флажок
ध्वज	знамя
ध्वज	люксембург
ध्वज	флаг
ध्वज	баннеры
पुल	мост
पुल	мосты
पुल	мостов
पुल	бридж
पुल	мостик
मोहन	мохан
डाल	бросили
निकाल	изгнать
देखकर	видеть
फीट	ступни
फीट	ноги
फीट	стопы
पुस्तकें	книги
पुस्तकें	книг
बहन	сестра
हल	решены
हल	корпус
हल	раствор
हल	плуг
हल	решение
हल	решена
हल	решен
हल	халл
मास	мас
मास	масса
मास	массового
मास	массе
पॉल	павел
पॉल	пол
पॉल	поль
पॉल	пауль
तारों	стар
तारों	звёзды
तारों	звезда
तारों	звезды
करेगा	будет
करेगा	уилл
करेगा	воля
अधिकारों	прав
अधिकारों	права
साक्षात्कार	собеседования
साक्षात्कार	интервью
साक्षात्कार	беседы
साक्षात्कार	беседа
साक्षात्कार	собеседование
सेवाएं	обслуживание
सेवाएं	службы
सेवाएं	услуг
सेवाएं	услуги
काउंटी	округа
काउंटी	графство
काउंटी	округе
काउंटी	ковбой
काउंटी	графства
काउंटी	графствах
काउंटी	округ
बीमा	страхование
बीमा	страхования
बीमा	страховка
सुबह	утро
मानचित्र	карты
मानचित्र	карту
मानचित्र	карт
मानचित्र	карта
संस्थाओं	учреждения
संस्थाओं	институты
खर्च	тратит
खर्च	потратил
खर्च	тратить
खर्च	провел
खर्च	расходы
खर्च	расходует
खर्च	провести
खर्च	потратить
जातियाँ	община
जातियाँ	сообщества
जातियाँ	общины
जातियाँ	сообщество
हाई	высокий
हाई	высокая
हाई	высоко
हाई	высокого
विख्यात	отметила
विख्यात	отметило
मालिक	владелец
मालिक	хозяин
मालिक	владельца
जंगल	джунгли
जंगल	леса
जंगल	лесных
जंगल	джунглях
जंगल	лес
पैर	лапки
पैर	гэн
पैर	ноги
पैर	ступни
पैर	фут
पैर	нога
पैर	ножки
पैर	ногу
पैर	стопы
कोरिया	корее
कोरिया	корея
बालक	дитя
बालक	ребенка
बालक	ребёнок
बालक	детский
बालक	ребенок
चुनावों	выборы
सैनिकों	солдат
सैनिकों	войска
सैनिकों	солдаты
मौलिक	оригинал
मौलिक	оригинальная
मौलिक	базовые
मौलिक	базовая
मौलिक	оригинальные
मौलिक	базовый
मौलिक	основные
मौलिक	оригинально
मौलिक	первоначального
मौलिक	оригинальный
अमरीकी	американских
अमरीकी	американские
अमरीकी	американская
अमरीकी	американский
अमरीकी	американец
बेटे	сыны
बेटे	сыновей
बेटे	сынок
बेटे	сын
बेटे	сыновья
कोर्ट	суд
कोर्ट	корт
निर्देश	инструкции
निर्देश	инструкция
निर्देश	направления
ओपन	открыто
ओपन	открытая
ओपन	открытый
ओपन	открыть
आवाज	объём
आवाज	голос
आवाज	громкость
आवाज	объем
रोम	рим
मनोरंजन	развлечения
मनोरंजन	отдых
मनोरंजन	развлечение
मनोरंजन	досуг
विलय	слияния
विलय	объединение
विलय	слияние
विलय	объединить
दीवार	стене
दीवार	стена
दीवार	уолл
उत्कृष्ट	выдающиеся
उत्कृष्ट	превосходно
उत्कृष्ट	выдающийся
सकारात्मक	положительные
सकारात्मक	положительно
सकारात्मक	позитивная
सकारात्मक	положительный
सकारात्मक	позитивные
काली	кали
संभवतः	возможно
संभवतः	может
संभवतः	вероятно
महात्मा	махаяна
महात्मा	махатма
संशोधन	пересмотра
संशोधन	изменения
संशोधन	модификация
संशोधन	модификации
संशोधन	пересмотр
कैलिफोर्निया	калифорния
कैलिफोर्निया	калифорнии
चिकित्सक	терапевты
चिकित्सक	терапии
चिकित्सक	врач
चिकित्सक	терапевт
चिकित्सक	психотерапевт
चिकित्सक	терапия
सरस्वती	сарасвати
रॉबर्ट	роберт
रॉबर्ट	робер
वर्ण	персонажи
वर्ण	символов
वर्ण	символ
वर्ण	характер
वर्ण	персонаж
वर्ण	варма
वर्ण	символы
वर्ण	оттенок
वर्ण	персонажей
किताब	книгу
किताब	книга
आपकी	ваша
आपकी	твой
आपकी	твоя
आपकी	ваше
आपकी	ваш
आपकी	ваши
रचनाओं	творения
जय	джая
जय	джей
वनस्पति	растительность
वनस्पति	ботанический
वनस्पति	растительности
नायक	герои
नायक	герой
नायक	героев
प्रतिनिधि	представители
प्रतिनिधि	представителям
प्रतिनिधि	представителей
प्रतिनिधि	представителю
प्रतिनिधि	делегат
प्रतिनिधि	представителя
प्रतिनिधि	представитель
आपका	ваша
आपका	твой
आपका	твоя
आपका	ваше
आपका	ваш
आपका	ваши
शब्दावली	словарь
शब्दावली	терминология
शब्दावली	терминологии
शब्दावली	глоссарий
रास्ते	способ
रास्ते	путь
लेखकों	писателей
लेखकों	писатели
फैसला	судья
फैसला	решение
कीमत	прайс
कीमत	цена
संघीय	федеральное
संघीय	федеральная
संघीय	федеральный
संघीय	федеральные
संघीय	федерального
निदान	диагноз
निदान	диагностических
निदान	диагностика
प्रतिमा	статуя
बेटी	дочка
बेटी	дочь
ज्योतिष	астрология
मुश्किल	жестко
मुश्किल	жёсткий
मुश्किल	трудный
मुश्किल	еле
मुश्किल	крутой
मुश्किल	жесткий
मुश्किल	тяжело
मुश्किल	сложно
मुश्किल	трудное
मुश्किल	жесткая
मुश्किल	едва
मुश्किल	трудно
परस्पर	взаимной
परस्पर	взаимная
परस्पर	взаимные
परस्पर	взаимный
परस्पर	взаимно
अनुकूल	благоприятное
अनुकूल	благоприятная
अनुकूल	благоприятные
अनुकूल	благоприятный
पंडित	пандит
ईंधन	топлива
ईंधन	горючее
ईंधन	топливо
तनाव	напряженности
तनाव	напряженность
तनाव	стресс
योग्यता	квалификация
योग्यता	квалификации
बैठक	собрание
बैठक	заседание
बैठक	совещания
बैठक	встречи
बैठक	совещание
बैठक	заседания
बैठक	собрания
बैठक	встреча
कम्प्यूटर	компьютер
वाराणसी	варанаси
जल्द	скоро
जल्द	вскоре
मुम्बई	мумбаи
हॉल	залы
हॉल	залах
हॉल	холл
हॉल	зал
किंग	кинг
किंग	король
किंग	царь
पेरिस	париже
पेरिस	париж
पेरिस	парижский
टाइम्स	времена
टाइम्स	таймс
जवाब	ответить
जवाब	ответы
जवाब	отвечайте
जवाब	реакция
जवाब	реагирование
जवाब	ответ
संपादक	редакторов
संपादक	редактор
संपादक	редактора
बंदरगाह	порт
बंदरगाह	порту
ग्रुप	группы
ग्रुप	группа
शून्य	зеро
शून्य	нулевой
शून्य	ноль
जैविक	органический
जैविक	органических
जैविक	органические
कौशल	умение
कौशल	мастерство
कौशल	навыки
कौशल	навыков
कौशल	изяществом
भक्ति	преданность
भक्ति	бхакти
गहराई	глубины
गहराई	глубину
गहराई	глубина
आश्रम	хоспис
आश्रम	ашрам
हानि	погибели
आरंभिक	начальный
आरंभिक	первоначальный
आरंभिक	первоначальная
आरंभिक	первоначальные
आरंभिक	начинающий
आरंभिक	первоначального
आरंभिक	начальная
कण	частицы
कण	частица
कण	частиц
वाणिज्यिक	коммерческие
वाणिज्यिक	коммерческий
वाणिज्यिक	коммерческая
नैतिक	мораль
नैतिक	моральная
नैतिक	этических
नैतिक	моральный
रॉयल	королевской
रॉयल	королевские
रॉयल	королевский
रॉयल	королевская
पुरी	пури
शिखर	пик
धरती	земля
नेहरू	неру
पेशेवर	профессиональное
पेशेवर	профессионалы
पेशेवर	профессиональная
पेशेवर	специалисты
पेशेवर	специалистов
पेशेवर	профессионал
लैटिन	латинской
लैटिन	латинская
परंपरागत	традиционная
परंपरागत	традиционное
परंपरागत	традиционные
परंपरागत	традиционный
परंपरागत	православной
समीकरण	уравнения
समीकरण	уравнение
जाँच	проверьте
जाँच	проверить
जाँच	чек
जाँच	проверка
जाँच	тест
जाँच	испытание
जाँच	испытания
जाँच	тесты
जीवों	организмов
जीवों	организмы
मापन	измерения
मापन	измерение
सुन्दर	довольно
सुन्दर	красивая
प्रथा	практике
प्रथा	претор
प्रथा	практика
दोनो	оба
दोनो	обе
देखी	посмотрели
देखी	смотрели
देखी	видела
देखी	видел
देखी	посмотрел
देखी	пила
देखी	смотрела
देखी	увидел
देखी	видели
देखी	смотрел
देखी	увидела
देखी	посмотрела
देर	опаздывает
देर	поздний
देर	опоздал
देर	поздно
आंशिक	частичный
आंशिक	частично
आंशिक	пропорционально
आंशिक	частичная
आंशिक	частичное
आंशिक	пропорционального
परम्परा	традиция
परम्परा	традиции
एसोसिएशन	ассоциации
एसोसिएशन	ассоциация
एसोसिएशन	ассоциаций
आध्यात्मिक	духовного
आध्यात्मिक	духовное
आध्यात्मिक	духовные
आध्यात्मिक	духовный
साइट	сайт
साइट	сайтов
साइट	сайты
यहूदी	иврит
यहूदी	иудеи
यहूदी	еврей
यहूदी	еврейских
यहूदी	евреи
यहूदी	еврейские
यहूदी	еврейская
यहूदी	идиш
यहूदी	евреев
यहूदी	еврейский
विशेषकर	особенно
विशेषकर	специально
महाद्वीप	континентов
महाद्वीप	континенте
महाद्वीप	континент
महाद्वीप	континентах
तरीका	способ
तरीका	путь
मुक्ति	освобождение
मुक्ति	спасение
मुक्ति	освобождения
प्रजनन	разведения
प्रजनन	рождаемости
बॉक्स	коробку
बॉक्स	шкатулка
बॉक्स	ящики
बॉक्स	коробки
बॉक्स	коробка
बॉक्स	ящик
श्रेय	полномочия
श्रेय	кредита
श्रेय	баллы
श्रेय	кредиты
श्रेय	кредитов
श्रेय	кредитная
श्रेय	кредит
स्टेट	государство
स्टेट	стат
स्टेट	штат
स्टेट	состояние
ठाकुर	тхакур
वेल्स	уэльса
वेल्स	уэльс
समकालीन	современная
समकालीन	современное
समकालीन	современные
समकालीन	современный
समकालीन	современных
निभाई	играли
निभाई	играла
निभाई	играл
प्रारूप	проект
प्रारूप	драфт
प्रारूप	черновик
प्रारूप	формат
एक्सप्रेस	экспресс
एक्सप्रेस	выразить
वजन	вес
प्रक्रियाओं	процессы
प्रक्रियाओं	процедуры
अभिव्यक्ति	выражение
मंदिरों	храмы
चोट	вред
चोट	ранение
चोट	травма
चोट	больно
चोट	травмы
मौजूदा	существующее
मौजूदा	существующая
मौजूदा	нынешней
मौजूदा	подарок
मौजूदा	текущее
मौजूदा	текущий
मौजूदा	настоящее
मौजूदा	текущая
मौजूदा	существующие
मौजूदा	существующий
मौजूदा	текущие
हरा	зелёные
हरा	зелёная
हरा	зелень
हरा	зелёный
हरा	зеленый
हरा	гренада
संगीतकार	музыкантов
संगीतकार	музыкант
संगीतकार	музыканты
प्रवृत्ति	тенденция
रुचि	интересно
रुचि	интересует
रुचि	заинтересованная
रुचि	заинтересованным
रुचि	заинтересованные
रुचि	интересы
रुचि	интерес
रुचि	проценты
रुचि	заинтересованность
रुचि	заинтересованных
आर्य	арийской
परत	слой
परत	слоя
पर्यटक	туристы
पर्यटक	туристов
पर्यटक	туристических
पर्यटक	турист
पर्यटक	туристический
मछली	волокна
मछली	рыб
मछली	рыба
मछली	волокон
मछली	рыбы
मछली	рыбка
उपभोक्ता	потребительские
उपभोक्ता	потребителей
उपभोक्ता	потребителя
उपभोक्ता	потребители
वैज्ञानिकों	ученые
वैज्ञानिकों	учёные
आविष्कार	изобретение
आसान	полегче
आसान	легче
आसान	легко
यान	янь
कक्ष	ячейки
कक्ष	камере
कक्ष	палата
कक्ष	комнаты
कक्ष	клетка
कक्ष	комната
कक्ष	ячейка
कक्ष	номера
कक्ष	клетки
कक्ष	камера
यौन	сексуальные
यौन	сексуальное
यौन	сексуальная
यौन	сексуальный
यौन	сексуального
मशहूर	знаменитая
मशहूर	известная
मशहूर	известный
मशहूर	знаменитость
मशहूर	знаменитый
अनुबंध	контракт
अनुबंध	пакта
अनुबंध	контракты
अनुबंध	соглашение
अनुबंध	пакт
अनुबंध	договоры
राव	рао
पाठ्यक्रम	курсы
पाठ्यक्रम	курс
वेस्ट	запад
वेस्ट	вест
वेस्ट	западная
वेस्ट	западный
वेस्ट	уэст
प्रतिष्ठित	благородных
प्रतिष्ठित	благородный
प्रतिष्ठित	благородная
प्रतिष्ठित	заслуженный
प्रतिष्ठित	благородные
प्रतिष्ठित	благородно
प्रतिष्ठित	честь
गवर्नर	губернатор
न्यूनतम	минимальный
न्यूनतम	минимизации
न्यूनतम	минимум
न्यूनतम	минимизировать
न्यूनतम	минимальная
न्यूनतम	свернуть
न्यूनतम	минимальное
न्यूनतम	мин
प्रतिभा	таланты
प्रतिभा	гений
प्रतिभा	гениально
प्रतिभा	гении
प्रतिभा	талант
प्रशंसा	хвалит
प्रशंसा	хвала
सीट	сиденье
सीट	сиденья
व्यावहारिक	практические
व्यावहारिक	практических
व्यावहारिक	практическая
उत्सव	торжество
उत्सव	празднование
उत्सव	фестиваль
उत्सव	праздник
कपड़े	одежду
कपड़े	одежда
कपड़े	одежды
पुणे	пуне
सालों	годы
सालों	лет
हजारों	тысячи
खनिज	ископаемые
खनिज	минеральных
खनिज	ископаемых
खनिज	ископаемого
खनिज	минералов
लम्बी	длинный
लम्बी	долго
लम्बी	лонг
लम्बी	длинные
लम्बी	длинная
बुद्धि	разведка
बुद्धि	разведки
बुद्धि	интеллект
विषाणु	вирус
विषाणु	вирусы
फ्रांसीसी	французская
फ्रांसीसी	французы
फ्रांसीसी	французский
फ्रांसीसी	французское
कठोर	жестко
कठोर	жёсткий
कठोर	тяжело
कठोर	суровое
कठोर	сложно
कठोर	суровые
कठोर	трудно
कठोर	строгого
कठोर	серьезные
प्रणालियों	системы
प्रणालियों	систем
विकार	заболевания
विकार	расстройств
विकार	болезнь
विकार	болезни
विकार	расстройства
विकार	расстройство
विकार	заболевание
घटक	компонент
घटक	составные
घटक	составных
ऑस्ट्रेलियाई	австралийский
ऑस्ट्रेलियाई	австралии
ऑस्ट्रेलियाई	австралийская
ऑस्ट्रेलियाई	оззи
घनत्व	плотность
वर्गों	секции
वर्गों	разделы
वर्गों	квадраты
संहिता	код
काल्पनिक	воображаемый
काल्पनिक	фантазия
काल्पनिक	нереально
काल्पनिक	фантазии
काल्पनिक	гипотетически
प्रयत्न	усилия
प्रयत्न	усилие
तारामंडल	созвездии
प्रजाति	видов
प्रजाति	виды
प्रजाति	вид
विविधता	многообразие
विविधता	разнообразие
विविधता	разнообразия
इस्लामी	исламизм
इस्लामी	исламская
इस्लामी	исламское
इस्लामी	исламский
इस्लामी	исламские
शहरी	городские
शहरी	урбанизация
शहरी	городских
शहरी	урбанизации
शहरी	городское
बातें	вещи
नदियाँ	рек
नदियाँ	реки
शास्त्रीय	классический
शास्त्रीय	классическая
शास्त्रीय	классика
शास्त्रीय	классической
शास्त्रीय	классические
कृति	шедевр
सैन	сан
अग्नि	агни
अग्नि	огонь
अग्नि	пожар
ग्रेट	великолепно
ग्रेट	здорово
ग्रेट	отлично
कोश	кош
श्रम	труда
श्रम	труд
आयरलैंड	ирландию
आयरलैंड	исландии
आयरलैंड	исландия
आयरलैंड	ирландия
आयरलैंड	ирландии
निकटतम	ближайшие
निकटतम	ближайшее
निकटतम	ближайший
निकटतम	ближайшей
उसको	его
उसको	ему
दर्जा	ранга
दर्जा	ранг
दर्जा	звание
दर्जा	рейтинг
दर्जा	оценка
असफल	провал
असफल	неудачи
असफल	неудача
चन्द्र	чандра
चन्द्र	мун
चन्द्र	луну
चन्द्र	луна
गाँधी	ганди
अनुप्रयोग	заявки
अनुप्रयोग	применения
अनुप्रयोग	приложения
अनुप्रयोग	заявка
अनुप्रयोग	синдикации
अनुप्रयोग	применение
बचने	избежать
बचने	избежание
बचने	избегая
बचने	избегать
सोने	золотой
सोने	золото
सोने	золотая
सोने	золотые
बेहद	крайне
बेहद	чрезвычайно
सचिव	секретарша
सचिव	секретарь
ब्रांड	брендов
ब्रांड	бренда
ब्रांड	бренд
डिज़ाइन	конструкция
डिज़ाइन	проектирование
डिज़ाइन	дизайн
आवास	жилье
आवास	лодж
आवास	резиденция
आवास	проживание
आवास	ложа
आवास	размещение
ज़िला	район
ज़िला	округ
यांत्रिक	механических
यांत्रिक	механические
धारणा	зачатия
खड़े	стоя
खड़े	стою
द्रव्यमान	масса
द्रव्यमान	массового
द्रव्यमान	массе
न्यायाधीश	судья
लाइव	живу
लाइव	жить
लाइव	живите
लाइव	живи
कवियों	поэтов
आकृति	цифра
आकृति	рисунок
आकृति	форма
आकृति	фигура
आकृति	форме
आकृति	диаграмма
प्रभावशाली	впечатляет
प्रभावशाली	впечатляющий
स्थितियों	ситуации
करेंगे	будет
करेंगे	уилл
करेंगे	воля
मलयालम	малаялам
जाय	мускат
हालाँकि	хотя
पीटर	петр
पीटर	пётр
पीटर	питер
पीटर	петер
खराब	плохая
खराब	плохой
खराब	плохо
एलबम	альбомы
एलबम	альбом
संवाद	диалог
संवाद	диалоги
प्रीमियर	премьера
प्रीमियर	премьеру
प्रीमियर	премьер
चित्रित	изображен
चित्रित	нарисовал
पेट	живот
पेट	желудок
मोहम्मद	мухаммед
मोहम्मद	мохамед
मोहम्मद	мохаммед
फसल	урожай
दोस्त	подруга
दोस्त	друг
दोस्त	приятель
दोस्त	друга
दोस्त	бадди
वापसी	возврат
वापसी	возвращения
वापसी	вернуть
वापसी	вывод
वापसी	снятие
वापसी	вернуться
वापसी	возвращение
प्रोत्साहित	поощряется
प्रोत्साहित	поощряли
प्रोत्साहित	поощрения
प्रोत्साहित	поощрять
प्रोत्साहित	поощрение
सूरज	вс
सूरज	солнце
सूरज	сунь
सूरज	сун
लाइसेंस	лицензий
लाइसेंस	лицензия
लाइसेंस	лицензии
सेन	сен
छः	шестеро
छः	шесть
छः	шестой
मिशन	миссий
मिशन	миссии
मिशन	миссия
लंबा	длинный
लंबा	долго
लंबा	высокие
लंबा	высокая
लंबा	длинные
लंबा	лонг
लंबा	высокий
लंबा	длинная
विशेषज्ञ	экспертов
विशेषज्ञ	эксперты
विशेषज्ञ	специалиста
विशेषज्ञ	эксперт
विशेषज्ञ	специалист
विशेषज्ञ	эксперта
नौकरी	работа
उपाय	меры
आकाश	небо
आकाश	неба
आकाश	скай
आकाश	небеса
शासकों	правители
तिब्बत	тибет
स्थानांतरित	переехал
स्थानांतरित	перенесено
बचाव	защитить
बचाव	спасти
बचाव	профилактика
बचाव	спасение
बचाव	спасатели
बचाव	предотвращение
बचाव	предупреждение
बचाव	защищать
देखभाल	уход
देखभाल	забота
देखभाल	уходу
देखभाल	заботливый
पर्यटकों	туристы
पर्यटकों	туристов
ईरानी	иран
ईरानी	ирана
ईरानी	иранский
ईरानी	иранские
सिंगापुर	сингапура
सिंगापुर	сингапур
सिंगापुर	сингапуре
मादा	женщина
मादा	женская
मादा	женщины
मादा	женское
मादा	женский
खरीद	покупка
खरीद	покупки
खरीद	закупок
खरीद	закупка
खरीद	приобрести
खरीद	закупки
उत्सर्जन	выбросы
निवासियों	резиденты
निवासियों	жителей
निवासियों	жители
निवासियों	обитатели
क्षति	повреждение
क्षति	вред
क्षति	повреждения
क्षति	ущерб
दोष	вини
दोष	винить
अवतार	аватар
अवतार	воплощение
हाथी	слона
हाथी	слон
शैक्षिक	академических
युगल	парочку
युगल	пар
युगल	парочка
युगल	парам
युगल	пара
युगल	пары
युगल	пару
युगल	двойники
ग्रीक	греков
ग्रीक	греки
ग्रीक	греческий
ग्रीक	греческая
टीका	вакцина
टीका	вакцины
टीका	вакцину
सुविधाओं	удобства
पोषण	питание
पोषण	питания
रिलीज	освобождения
रिलीज	релизы
रिलीज	релиз
रिलीज	освободить
रिलीज	освобождение
अदालत	суд
अदालत	корт
इस्पात	сталь
इस्पात	стальной
इस्पात	стальные
इस्पात	стали
अकार्बनिक	неорганических
झारखंड	джаркханд
सुपर	супер
दाब	давление
समझौता	пакта
समझौता	пакт
समझौता	компромисс
समझौता	компромисса
आवासीय	жилых
आवासीय	жилой
जंगली	дикая
जंगली	хаггард
जंगली	дикий
जंगली	дикарь
जंगली	дикие
जरूरी	требуются
जरूरी	требуемое
जरूरी	требуется
आर्ट	искусство
आर्ट	арт
शनि	сатурн
शनि	села
शनि	сел
शनि	сидел
शनि	сб
श्वेत	белое
श्वेत	уайт
श्वेत	белые
श्वेत	белый
नमक	соль
नमक	соли
बातों	вещи
बिलियन	миллиарда
बिलियन	млрд
बिलियन	миллиард
एकीकृत	единого
एकीकृत	объединенная
एकीकृत	комплексная
एकीकृत	комплексное
एकीकृत	комплексные
एकीकृत	единое
एकीकृत	единая
एकीकृत	комплексной
पत्रकार	журналистов
पत्रकार	журналистка
पत्रकार	журналисты
पत्रकार	журналист
वस्त्र	текстильной
वस्त्र	одежду
वस्त्र	одежды
वस्त्र	одежда
वस्त्र	текстиль
जानवरों	животные
जानवरों	животных
जानवरों	звери
आपस	узурпировать
आगमन	прибывает
आगमन	прибытия
आगमन	прибытие
कन्या	дева
कन्या	девы
मनुष्यों	люди
पर्व	фестиваль
निष्कर्ष	итог
निष्कर्ष	заключение
निष्कर्ष	итоги
निष्कर्ष	вывод
साफ	чистые
साफ	чистой
साफ	чисто
साफ	ясно
साफ	очистил
साफ	очистить
साफ	чистый
साफ	чистая
गरम	тепло
गरम	тёплый
गरम	теплая
गरम	теплый
गरम	теплые
उच्चतम	наивысший
आवश्यकताओं	потребности
आवश्यकताओं	требования
प्रतिरोध	сопротивления
प्रतिरोध	сопротивление
सदा	всегда
डिस्क	диск
डिस्क	диски
डिस्क	диска
खड़ा	стоя
खड़ा	стою
खड़ा	вертикальной
खड़ा	вертикальные
खड़ा	вертикали
खड़ा	вертикально
पोस्ट	пост
पोस्ट	посты
पोस्ट	должности
पोस्ट	опубликовать
पोस्ट	публикации
पोस्ट	публикация
मेला	справедливо
मेला	ярмарка
मेला	справедливых
मेला	справедливая
मेला	справедливый
लिंग	пол
वायरस	вирус
वायरस	вирусы
रिचर्ड	ричард
सिख	сикхов
मगर	кроме
मगर	но
महीनों	месяцев
महीनों	месяца
महीनों	месяцы
सेल	ячейки
सेल	ячейка
सेल	камере
सेल	клетка
मुख	рот
सीज़न	сезонов
पाठक	читатель
पाठक	читатели
पाठक	читателей
अग्रणी	ведущий
अग्रणी	ведущие
अग्रणी	ведущая
अग्रणी	ведущее
अग्रणी	ведущих
आनन्द	радости
आनन्द	радость
आनन्द	радостная
आनन्द	джой
उन्नत	расширенный
उन्नत	передовых
उन्नत	передовые
सर्वर	сервера
सर्वर	серверов
सर्वर	наблюдателя
सर्वर	сервер
सर्वर	наблюдатель
सर्वर	серверы
विचारधारा	идеология
विचारधारा	идеологии
पीड़ित	пострадавшие
पीड़ित	жертвы
पीड़ित	страдает
पीड़ित	пострадавший
पीड़ित	страдание
पीड़ित	жертва
पीड़ित	страдания
पीड़ित	потерпевший
पीड़ित	потерпевшие
श्रेणियों	гильдии
राजकुमार	принс
राजकुमार	князь
राजकुमार	принц
उम्मीद	надеюсь
उम्मीद	надеемся
उम्मीद	хоуп
उम्मीद	надежда
कार्यकारी	исполнительная
मास्टर्स	хозяева
मास्टर्स	мастера
मास्टर्स	мастерс
वरिष्ठ	старший
वरिष्ठ	выпускники
वरिष्ठ	старшие
वरिष्ठ	старших
शिष्य	ученик
प्रोफेसर	профессор
प्रोफेसर	преподаватель
स्कॉटलैंड	шотландии
स्कॉटलैंड	шотландия
विकिरण	излучение
विकिरण	радиации
विकिरण	радиация
फारसी	фарерских
फारसी	персидского
करवाया	вырос
संरक्षित	защищена
संरक्षित	охраняемых
संरक्षित	защищен
संरक्षित	защищены
सहज	комфортно
सहज	удобная
सहज	удобные
सहज	интуитивно
सहज	удобный
सहज	удобно
बदला	замены
बदला	вознаграждение
बदला	изменил
बदला	изменилась
बदला	изменились
बदला	изменилось
बदला	месть
बदला	награда
बदला	изменено
बदला	замена
बदला	изменился
बदला	замену
कलकत्ता	калькутте
काला	чёрные
काला	чёрное
काला	черный
काला	чёрный
पंक्ति	ряды
पंक्ति	ряд
पंक्ति	линия
पंक्ति	строк
पंक्ति	линии
पंक्ति	строка
पंक्ति	строки
लोकप्रियता	популярность
लोकप्रियता	популярности
गतिविधि	действия
गतिविधि	деятельность
गतिविधि	активность
अनुनाद	резонанс
बर्फ	снега
बर्फ	лёд
बर्फ	снег
बर्फ	лед
बर्फ	льда
बर्फ	сноу
कार्रवाई	действий
कार्रवाई	действие
कार्रवाई	акция
कार्रवाई	меры
कार्रवाई	действия
शिशु	дети
शिशु	младенец
शिशु	младенческой
शिशु	детки
शिशु	малыши
साक्षरता	грамотность
साक्षरता	грамотности
मार्क	отметить
मार्क	метка
मार्क	марка
मार्क	марк
ब्रह्म	брахма
ब्रह्म	брахман
ट्रैक	трек
ट्रैक	треки
ट्रैक	следы
ट्रैक	дорожка
ट्रैक	трека
ट्रैक	дорожки
मनोवैज्ञानिक	психологическое
मनोवैज्ञानिक	психолога
मनोवैज्ञानिक	психологической
मनोवैज्ञानिक	психологические
मनोवैज्ञानिक	психологическая
मनोवैज्ञानिक	психолог
मनोवैज्ञानिक	психологический
गर्मी	тепло
गर्मी	тепла
गर्मी	саммер
गर्मी	летний
गर्मी	жара
गर्मी	лето
मैन	человек
मैन	мужчина
मैन	чел
मैन	мужик
जिम्मेदार	ответственное
जिम्मेदार	ответственные
जिम्मेदार	ответственная
जिम्मेदार	ответственный
