から	จาก
ブルース	บลูส์
ブルース	บลู
承認	อนุมัติ
承認	ยอมรับ
フライ	ฟลาย
フライ	ทอด
フライ	บิน
スピード	ความเร็ว
プレス	สื่อ
プレス	กด
半分	ครึ่ง
答え	ตอบ
イカ	ปลาหมึก
財政	ไฟแนนซ์
ケーブル	เคเบิล
ケーブル	เคเบิ้ล
ケーブル	เบิ้ล
トランス	ภวังค์
十字	กางเขน
十字	ข้าม
ハード	หนัก
ハード	แรง
ハード	ฮาร์ด
ハード	ยาก
ハード	โหม
ハード	ลำบาก
教皇	โป๊ป
任命	นัด
ドラム	กลอง
ガラス	แก้ว
ガラス	กระจก
悪い	ร้าย
悪い	แย่
悪い	เลว
ヤード	ลาน
ヤード	หลาว
ヤード	หลาบ
ヤード	หลา
ヤード	สนาม
教員	ครู
教員	คุณครู
教員	อาจารย์
キャリア	อาชีพ
キャリア	พาหะ
月曜日	จันทร์
マラソン	มาราธอน
恐れ	กลัว
自宅	บาน
自宅	บ้าน
単純	ง่าย
単純	ง่ายๆ
インターナショナル	นานาชาติ
インターナショナル	สากล
パック	ฝูง
パック	แพ็ค
パック	แพค
パック	แพ็คเกจ
脱出	หนี
サウス	ใต้
ウェスト	เวสต์
体育館	ยิม
体育館	พละ
ガイド	แนวทาง
ガイド	คู่มือ
混乱	ยุ่งเหยิง
混乱	เลอะเทอะ
混乱	งง
混乱	สับสน
ファースト	ก่อน
ファースト	แรก
タワー	หอคอย
タワー	ทาวเวอร์
タワー	หอ
聖書	ไบเบิล
聖書	ไบเบิ้ล
絵画	จิตรกรรม
予算	งบ
ジョー	โจ
ボクシング	ชกมวย
ボクシング	มวย
スコットランド	สกอตแลนด์
フィリピン	ฟิลิปปินส์
コート	ตรา
コート	ศาล
コート	โค้ท
コート	สำนัก
両方	ทั้ง
災害	หายนะ
イヤー	ปี
経歴	อาชีพ
プール	สระ
プール	พูล
社団	สมาคม
ショップ	ร้าน
仮面	หน้ากาก
タクシー	แท็กซี่
楽章	ขบวนการ
ヒロイン	นางเอก
モンゴル	มองโกเลีย
ウッド	ไม้
ウッド	วูด
離婚	หย่า
スミス	สมิธ
スミス	สมิทธ์
デンマーク	เดนมาร์ก
ペン	ปากกา
ボーナス	โบนัส
オフィス	ออฟฟิศ
オフィス	สำนักงาน
キャンペーン	แคมเปญ
弟子	สาวก
弟子	ศิษย์
走る	วิ่ง
走る	หนี
走る	รัน
最低	ห่วย
権限	อำนาจ
権限	สิทธิ์
クリスマス	คริสต์มาส
マックス	แม็ก
マックス	แม็กซ์
マックス	แม๊กซ์
退職	เกษียน
退職	เกษียณ
署名	เซ็น
署名	ป้าย
署名	ลงชื่อ
ナンバー	จำนวน
ナンバー	หมายเลข
黒い	ดำ
印刷	พิมพ์
クレジット	เครดิต
上部	ท็อป
ショッピング	ชอปปิ้ง
戻る	กลับ
送信	ส่ง
パートナー	คู่หู
ポスト	โพสต์
ポスト	โพส
保障	รับรอง
回答	โต้ตอบ
回答	ตอบ
ダイヤモンド	เพชร
ダイヤモンド	ไดมอนด์
デモ	สาธิต
主体	หัวข้อ
小さい	จิ๋ว
小さい	เล็ก
ユーロ	ยูโร
コール	โทร
コール	โคล
ヘル	นรก
平野	ธรรมดา
同期	ซิงค์
司法	ตุลาการ
文明	อารยธรรม
屋根	ดาดฟ้า
屋根	หลังคา
ファンタジー	จินตนาการ
本文	ร่าง
本文	ร่างกาย
本文	กาย
クイーン	ควีน
クイーン	ราชินี
信仰	ศรัทธา
車庫	อู่
車庫	โรงรถ
難しい	หนัก
難しい	แรง
難しい	ฮาร์ด
難しい	ยาก
難しい	โหม
難しい	ลำบาก
アルゼンチン	อาร์เจนตินา
シンガポール	สิงคโปร์
コンテスト	ประกวด
コンテスト	แข่งขัน
ジェット	เจ็ต
故障	ขัดข้อง
旅団	กองพล
研修	ฝึกหัด
研修	อบรม
起源	ที่มา
起源	ต้นทาง
起源	กำเนิด
法学	กฎหมาย
法学	นิติศาสตร์
法学	กฎ
りん	ริน
パッケージ	แพ็คเกจ
明日	พรุ่ง
マイク	ไมค์
火災	ไฟ
火災	เพลิง
測定	วัด
測定	สัดส่วน
フェスティバル	เทศกาล
人工	เทียม
人工	ประดิษฐ์
ファッション	แฟชั่น
滞在	อยู่
セブン	เจ็ด
フィンランド	ฟินแลนด์
酵素	เอนไซม์
ノルウェー	นอร์เวย์
温度	อุณหภูมิ
サム	แซม
搭乗	ประจำ
台風	ไต้ฝุ่น
保守	อนุรักษนิยม
カレッジ	มหาวิทยาลัย
カレッジ	วิทยาลัย
レオ	สิงห์
読む	อ่าน
閉店	ปิด
奴隷	ทาส
奴隷	บ่าว
トーマス	โธมัส
モール	ห้าง
モール	มอลล์
ワークス	ทำงาน
事例	กรณี
マイクロ	ไมโคร
評論	วิจารณ์
ハワイ	ฮาวาย
祖父	ปู่
ラスト	สุดท้าย
ラスト	ล่าสุด
ヒル	เนิน
プレミア	ปฐมทัศน์
プレミア	พรีเมียร์
ネス	เนส
負担	ภาระ
分子	โมเลกุล
開館	เปิด
進化	วิวัฒนาการ
イラン	อิหร่าน
構築	สร้าง
プロモーション	โปรโมชัน
プロモーション	โปรโมท
受け入れ	ยอมรับ
ヴァイオリン	ไวโอลิน
モーニング	เช้า
もっと	มากกว่า
もっと	อื่นๆ
木造	ไม้
時計	ชม
時計	ดู
時計	นาฬิกา
メイク	ทำให้
それでも	ยัง
成人	ผู้ใหญ่
少佐	เมเจอร์
複雑	ปม
チャレンジ	ท้า
チャレンジ	ท้าทาย
レーダー	เรดาร์
ボストン	บอสตัน
部品	อะไหล่
フィート	ฟุต
フィート	เท้า
フィート	ฟิต
フィート	ตีน
キャスト	โยน
キャスト	เฝือก
風景	บรรยากาศ
風景	ทัศนียภาพ
風景	ทิวทัศน์
ペア	คู่
深い	ลึก
いつも	ตลอด
いつも	เสมอ
いつも	มัก
遺伝子	จีน
遺伝子	ยีน
簡単	ง่าย
簡単	ง่ายๆ
簡単	ง่ายดาย
来る	ที่มา
ボーイ	บอย
資源	ทรัพยากร
材料	วัตถุดิบ
材料	วัสดุ
感情	อารมณ์
ベルト	เข็มขัด
ベルト	สายพาน
藤井	ฟูจิ
ポンド	ปอน
ポンド	ปอนด์
相続	มรดก
相続	ทายาท
タンク	ถัง
タンク	แท็งค์
態度	ทัศนคติ
態度	ท่าที
コンテンツ	เนื้อหา
なぜ	ทำไม
ジャイアンツ	ยักษ์
発明	คิดค้น
頭部	เฮด
頭部	หัว
病気	โรค
病気	ป่วย
再現	แพร่
栽培	โต
感謝	กตัญญู
住居	ที่พัก
ヘビー	หนักๆ
ヘビー	หนัก
隠し	ซ่อน
手術	ศัลยกรรม
手術	ผ่าตัด
魔女	แม่มด
ディズニー	ดิสนีย์
格闘	ดิ้นรน
費用	ต้นทุน
ソース	น้ำปลา
ソース	ต้นทาง
ソース	แหล่ง
ソース	ซอส
フレーム	กรอบ
フレーム	เฟรม
ディーゼル	ดีเซล
解析	วิเคราะห์
ゲル	เจล
青い	สีน้ำเงิน
青い	บลู
青い	น้ำเงิน
表紙	ปก
表紙	ปกปิด
タイガース	เสือ
王朝	ราชวงศ์
タイヤ	ยาง
プラザ	พลาซ่า
イラク	อิรัก
ゾーン	เขต
ゾーン	โซน
鉱山	เหมือง
ラム	รัม
ラム	พระราม
ラム	ลำ
ラム	ราม
激しい	ดุร้าย
激しい	ดุดัน
サル	ลิง
サル	แซล
収集	สะสม
郊外	ชานเมือง
修理	ซ่อมแซม
修理	ซ่อม
相対	ญาติ
相対	สัมพันธ์
オート	อัตโนมัติ
先輩	อาวุโส
相撲	ซูโม่
太字	หนา
イブ	อีฟ
いつ	เมื่อ
いつ	เมื่อไร
いつ	ตอน
ビート	ตี
ビート	จังหวะ
ビート	ชนะ
ビート	เอาชนะ
効率	ประสิทธิภาพ
会計	บัญชี
オレンジ	ส้ม
半島	คาบสมุทร
無視	ละเว้น
テッド	เท็ด
テッド	เทด
ウイルス	ไวรัส
歌う	สิงห์
歌う	ร้อง
原子	อะตอม
原子	ปรมาณู
修道院	วัด
修道院	อาราม
スマート	ฉลาด
カトリック	คาทอลิก
推測	เดา
天才	อัจฉริยะ
パイ	พาย
フロリダ	ฟลอริดา
ロイヤル	ราชวงศ์
ロイヤル	รอยัล
課題	ท้าทาย
高原	ที่ราบสูง
ショート	สั้น
ショート	เตี้ย
ショート	สั้นๆ
ポップ	ป๊อป
ポップ	ป็อป
コンセプト	แนวคิด
中華民国	ไต้หวัน
抗議	ประท้วง
ワイン	สุรา
ワイン	ไวน์
キャンプ	ค่าย
バージニア	เวอร์จิเนีย
講演	บรรยาย
天国	สวรรค์
応用	ประยุกต์
タグ	แท็ก
直線	บรรทัด
直線	เส้น
ダーク	มืด
ダーク	เข้ม
権力	อำนาจ
権力	พลัง
権力	พลังงาน
ダウンロード	ดาวน์โหลด
論理	ตรรกศาสตร์
論理	ตรรก
論理	เหตุผล
打者	แรงๆ
水素	ไฮโดรเจน
男爵	บารอน
共有	แชร์
タカ	เหยี่ยว
女神	เทพธิดา
女神	ธิดา
季節	ฤดูกาล
ウェア	แวร์
ギア	เฟือง
ギア	เกียร์
衛生	อนามัย
請求	ขอ
請求	คำขอ
請求	ร้องขอ
要約	สรุป
ドキュメンタリー	สารคดี
恐怖	กลัว
マジック	มนตร์
マジック	เวทมนตร์
気温	อุณหภูมิ
フェア	ยุติธรรม
フェア	แฟร์
船団	ขบวน
要塞	ป้อม
要塞	ปราการ
バカ	โง่
コミュニケーション	สื่อสาร
ステップ	ขั้น
ステップ	ก้าว
インドネシア	อินโดนีเซีย
義務	หน้าที่
周波数	ความถี่
ユナイテッド	ยูไนเต็ด
ユナイテッド	สามัคคี
レンズ	เลนส์
一日	วัน
一日	เดย์
船舶	เรือ
船舶	ภาชนะ
船舶	ยาน
キャッチ	จับ
コロンビア	โคลอมเบีย
コロンビア	โคลัมเบีย
メガ	เมกะ
数値	จำนวน
数値	ตัวเลข
数値	หมายเลข
山脈	ภูเขา
カフェ	คาเฟ่
北方	เหนือ
ママ	แม่
木曜日	พฤหัสบดี
木曜日	พฤหัส
木曜日	พฤหัสฯ
上級	ก้าวหน้า
上級	อาวุโส
マルチ	มัลติ
マルチ	หลาย
プラン	แผน
プラン	แพ็คเกจ
プラン	วางแผน
トラブル	ปัญหา
出口	ทางออก
火山	ภูเขาไฟ
チェック	ตรวจ
チェック	เช็ค
ヒト	มนุษย์
灯台	ประภาคาร
グレード	เกรด
アラブ	อาหรับ
ライオン	ราชสีห์
ライオン	สิงโต
探検	สำรวจ
突然	ทันใด
定数	คงที่
ビーム	คาน
ビーム	ลำแสง
ビーム	บีม
アプリ	แอป
アプリ	แอพ
ピンク	สีชมพู
ピンク	ชมพู
ジャクソン	แจ็กสัน
中国語	จีน
運命	ชะตา
タッチ	แตะ
タッチ	สัมผัส
タッチ	ทัช
概要	สรุป
ソル	โซล
サンタ	ต้า
キャプテン	กัปตัน
初演	ปฐมทัศน์
ユニバーサル	สากล
リズム	จังหวะ
シャン	อาทิ
美しい	งดงาม
美しい	สวยงาม
美しい	สวยๆ
美しい	สวย
ポリス	ตำรวจ
フットボール	ฟุตบอล
ベースボール	เบสบอล
地形	ภูมิประเทศ
財産	คุณสมบัติ
財産	ทรัพย์
財産	ทรัพย์สิน
広報	ประชาสัมพันธ์
スー	ซู
コスト	ต้นทุน
シリア	ซีเรีย
ミドル	กลาง
特性	ลักษณะ
特性	คุณลักษณะ
本田	ฮอนด้า
財務	ไฟแนนซ์
トニー	โท
スコット	สกอต
スコット	สก็อต
スコット	สก็อตต์
スコット	สก๊อต
診断	วินิจฉัย
想定	สมมุติฐาน
想定	สันนิษฐาน
想定	สมมติฐาน
馬場	บา
キャップ	หมวก
キック	ถีบ
キック	เตะ
キック	คิก
庭園	สวน
モーター	มอเตอร์
月間	เดือน
夕方	เย็น
キム	คิม
セントラル	เซ็นทรัล
勉強	ศึกษา
勉強	เรียน
式典	พิธี
式典	พิธีการ
演技	ทำตัว
バード	เบิร์ด
バード	นก
ストーン	หิน
ストーン	ศิลา
事務局	ออฟฟิศ
事務局	สำนักงาน
ムービー	ภาพยนตร์
ムービー	ภาพยนต์
ムービー	หนัง
アプリケーション	แอพพลิเคชัน
ミラー	กระจกเงา
ミラー	กระจก
広い	กว้าง
モノ	สิ่งของ
モノ	โมโน
それから	งั้น
支社	สาขา
省略	ละเว้น
サークル	วงกลม
犠牲	บวงสรวง
パフォーマンス	ประสิทธิภาพ
ファイト	ต่อสู้
ファイト	สู้
奉行	ข้าหลวง
ショット	นัด
ショット	ยิง
黄色	เหลือง
ラヴ	ชอบ
ラヴ	รัก
兵隊	ทหาร
生きる	สด
二重	ดับเบิ้ล
二重	ดับเบิล
全般	ทั่วไป
全般	แม่ทัพ
応募	สมัคร
リスク	เสี่ยง
割合	เปอร์เซ็นต์
割合	เปอร์เซนต์
軍隊	กองทัพ
軍隊	ทหาร
軍隊	ทัพ
無効	โมฆะ
行事	เหตุการณ์
行事	กิจกรรม
前者	อดีต
シドニー	ซิดนีย์
双子	แฝด
双子	ฝาแฝด
ビジョン	นิมิตร
パーツ	อะไหล่
トイレ	ห้องน้ำ
トイレ	ส้วม
グッド	ดี
グッド	เก่ง
グラウンド	พื้น
ブルガリア	บัลแกเรีย
レンタル	เช่า
厳しい	โหด
質量	ก้อน
質量	มวล
エンド	จบ
エンド	ยุติ
独特	เอกลักษณ์
ピエール	ปิแอร์
戦場	สนามรบ
ラップ	แร็พ
亡命	เนรเทศ
天文学	ดาราศาสตร์
認める	ยอมรับ
不適切	ทารุณ
限界	จำกัด
限界	วงเงิน
チェーン	โซ่
チェーン	ลูกโซ่
飛行機	อากาศยาน
キロメートル	กิโล
キロメートル	กิโลเมตร
宮殿	พระราชวัง
宮殿	วัง
宮殿	ราชวัง
需要	อุปสงค์
需要	อุปทาน
ルーマニア	โรมาเนีย
キス	จุ๊บ
キス	จูบ
圧力	กดดัน
ロマン	โรมัน
衣装	ชุด
別れ	อำลา
コーヒー	กาแฟ
スパイ	สปาย
素材	วัตถุดิบ
素材	วัสดุ
登山	ปีน
捕虜	นักโทษ
捕虜	เชลย
怒り	โกรธ
怒り	โมโห
ブー	บู้
ブー	บู
女の子	สาว
トレード	เทรด
トレード	ค้า
トレード	แลก
回路	วงจร
商人	พ่อค้า
外観	ลักษณะ
外観	ดู
外観	มอง
エイト	แปด
向き	ปฐมนิเทศ
パンチ	ชก
パンチ	ต่อย
パンチ	หมัด
コメディ	ตลก
シャルル	ชารลส์
シャルル	ชาร์ล
シャルル	ชาร์ลส์
シルバー	เงิน
シルバー	ซิลเวอร์
救助	กู้ภัย
ジョージア	จอร์เจีย
水曜日	วิวาห์
水曜日	พุธ
グレイ	เทา
チェンジ	เปลี่ยน
チェンジ	เปลี่ยนแปลง
デル	เดลล์
働く	ทำงาน
火曜日	อังคาร
ニーズ	ต้องการ
ゲイ	เกย์
森林	ป่า
森林	ฟอเรส
森林	ฟอเรสต์
症状	อาการ
マンション	แมนชั่น
マンション	คฤหาสน์
グレート	ยอด
グレート	เยี่ยม
混合	ผสม
ノット	ปม
ノット	เงื่อน
セカンド	วินาที
ブーム	ตูม
ブーム	บูม
マドリード	มาดริด
後ろ	กลับ
パーティー	ปาร์ตี้
パーティー	พรรค
マップ	แผนที่
ニック	นิค
ニック	นิก
ブラッド	โลหิต
ブラッド	เลือด
ガード	องครักษ์
ターン	เลี้ยว
ターン	หัน
ターン	เปิด
ターン	พลิก
結論	สรุป
秘書	เลขานุการ
秘書	เลขาฯ
秘書	เลขาธิการ
秘書	รัฐมนตรี
秘書	เลขา
ウォーター	นํ้า
ウォーター	น้ำ
詰め	ยัด
クロアチア	โครเอเชีย
表彰	รางวัล
属性	คุณสมบัติ
属性	คุณลักษณะ
属性	ทรัพย์สิน
衝撃	ตกใจ
衝撃	ช็อค
衝撃	ช็อก
衝撃	ช๊อค
衝撃	ช็อต
手続き	กระบวนการ
ユニオン	สหพันธ์
ユニオン	สหภาพแรงงาน
ユニオン	สหภาพ
前面	หน้า
瞬間	ทันใจ
中断	ระงับ
中断	ยกเลิก
ホンダ	ฮอนด้า
ストップ	หยุด
歯科	ฟัน
招待	เชิญ
招待	ชวน
スタンド	ยืน
スタンド	ทน
プレゼント	ปัจจุบัน
オーナー	เจ้าของ
グラフ	ชาร์ต
グラフ	กราฟ
グラフ	แผนภูมิ
縮小	จิตแพทย์
縮小	หด
馬力	แรงม้า
アリーナ	สังเวียน
認証	ยืนยัน
本当に	จริงๆ
本当に	จริง
講義	บรรยาย
ボブ	บ็อบ
チャンス	กาศ
チャンス	โอกาส
制服	ยูนิฟอร์ม
リアル	จริง
ギタリスト	กีตาร์
学位	ปริญญา
カム	แคป
カム	แคม
ラッシュ	รัช
ラッシュ	รัส
ラッシュ	สดชื่น
コントロール	ควบคุม
コントロール	คอนโทรล
メイド	คนใช้
階段	บันได
ナン	แนน
ナン	น่าน
リゾート	รีสอร์ท
ヘリコプター	เฮลิคอปเตอร์
フォーク	ส้อม
ブリッジ	บริดจ์
ブリッジ	สะพาน
ルーム	ห้อง
反映	ไตร่ตรอง
反映	ใคร่ครวญ
キューバ	คิวบา
予約	นัด
予約	สังกัด
予約	จอง
送る	ส่ง
バーン	โรงนา
バーン	ยุ้ง
ふじ	ฟูจิ
戦術	ยุทธวิธี
戦術	กลยุทธ์
スピン	ปั่น
スピン	หมุน
ホイール	ล้อ
カラ	คาร
カラ	คารา
レーザー	เลเซอร์
アキ	อะกิ
アキ	อากิ
ライオンズ	สิงโต
走り	วิ่ง
走り	หนี
走り	รัน
忍者	นินจา
海峡	ช่อง
海峡	ช่องแคบ
氏名	ชื่อ
ムーン	เพ็ญ
ムーン	มูน
ムーン	พระจันทร์
ワイ	หวาย
スポット	จุด
酸素	ออกซิเจน
ビーチ	หาด
ビーチ	ชายหาด
プロセス	กระบวนการ
カルロス	คาร์ลอส
友達	เพื่อนๆ
友達	เพื่อน
レディ	เลดี้
ついに	สุดท้าย
キース	คีธ
キース	คี
キース	คีท
ボート	เรือ
サーキット	วงจร
独占	พิเศษ
独占	เศรษฐี
道具	อุปกรณ์
天気	อากาศ
粒子	อนุภาค
避ける	เลี่ยง
比率	อัตราส่วน
比率	สัดส่วน
エリ	ไล
エリ	อีไล
ビール	เบียร์
クリスタル	ใส
リレー	ผลัด
リレー	ถ่ายทอด
バイク	จักรยาน
バイク	มอเตอร์ไซค์
チャンピオンズ	แชมเปี้ยน
ドクター	หมอ
ドクター	ดอกเตอร์
ドクター	แพทย์
マレーシア	มาเลเซีย
マジ	จริงจัง
考え方	วาบ
告知	ประกาศ
告知	สังเกตุ
告知	สังเกต
符号	โค้ด
符号	รหัส
無限	อนันต์
当局	ทางการ
バイオ	ประวัติ
ハロー	สวัสดี
コーポレーション	คอร์ปอเรชั่น
ハーフ	ครึ่ง
定理	ทฤษฎีบท
幸せ	สุขใจ
幸せ	แฮปปี้
幸せ	ดีใจ
人種	แข่ง
運河	คลอง
グローバル	โกลบอล
パラダイス	สวรรค์
パラダイス	พาราไดส์
パラダイス	พาราไดซ์
農民	ชาวนา
農民	ชาวไร่
彗星	ดาวหาง
スプリング	สปริง
アナウンス	ประกาศ
心臓	หัวใจ
心臓	ใจ
日光	แดด
日光	แสงแดด
ウエスト	เอว
ウエスト	เวสต์
肉体	เนื้อ
食事	มื้อ
食事	อาหาร
バイト	ไบต์
ジェフ	เจฟ
ジェフ	เจฟฟ์
避難	อพยพ
テーブル	ตาราง
テーブル	โต๊ะ
リボン	ริบบิ้น
リボン	โบว์
シード	ธัญพืช
シード	เมล็ด
チリ	ชิลี
チリ	พริก
サマー	ซัมเมอร์
処刑	ประหาร
武士	ซามูไร
警告	เตือน
頻繁	มัก
頻繁	บ่อยๆ
頻繁	บ่อย
公爵	ดุก
公爵	ดุ๊ค
公爵	ดุ๊ก
公爵	ดุค
ネコ	แคท
ネコ	แมว
山頂	พีค
グラフィック	กราฟิก
マスク	หน้ากาก
圧倒的	ท่วมท้น
圧倒的	ล้นหลาม
バレー	หุบเขา
緑色	เขียว
金額	จำนวน
チップ	ชิพ
チップ	ชิป
チップ	ทิป
チョウ	ผีเสื้อ
アルコール	แอลกอฮอล์
アルコール	เหล้า
テープ	เทป
要因	ปัจจัย
予報	พยากรณ์
化合物	สารประกอบ
所有者	เจ้าของ
ルカ	ลุค
ルカ	ลูค
弱い	อ่อน
弱い	อ่อนแอ
マーケット	ตลาด
偶然	บังเอิญ
商標	เครื่องหมายการค้า
年金	บำนาญ
三人	สาม
バランス	สมดุล
液体	เหลว
液体	ของเหลว
審判	ตัดสิน
タンパク質	โปรตีน
バット	ค้างคาว
予測	ทำนาย
予測	พยากรณ์
メアリー	แมรี่
メアリー	แมรี
欲しい	ต้องการ
欲しい	อยาก
栄養	โภชนาการ
不安	วิตก
不安	กระวนกระวาย
食べる	กิน
食べる	ทาน
トマス	โธมัส
検事	โจทก์
検事	อัยการ
理想	อุดมคติ
遊び	เล่น
ハリウッド	ฮอลลีวู้ด
ショック	ตกใจ
ショック	ช็อค
ショック	ช็อก
ショック	ช๊อค
ショック	ช็อต
フェイス	ศรัทธา
フェイス	หน้า
フェイス	หน้าตา
フェイス	ใบหน้า
ピット	หลุม
ピット	บ่อ
炭素	คาร์บอน
体操	ยิมนาสติก
ワーク	งาน
ワーク	ทำงาน
セーブ	ประหยัด
セーブ	บันทึก
エンジェル	เทวดา
エンジェル	นางฟ้า
大西洋	แอตแลนติก
ダース	โหล
単語	คำ
単語	ลมปาก
テキスト	ข้อความ
品質	คุณภาพ
倉庫	โกดัง
ワイルド	ดุดัน
チーフ	หัวหน้า
内側	ภายใน
寄付	บริจาค
復元	ซ่อมแซม
復元	ฟื้นฟู
死ぬ	ตาย
軍艦	เรือรบ
テック	เทค
テック	เทคโนโลยี
プラットフォーム	แพลตฟอร์ม
水泳	ว่าย
考古学	โบราณคดี
外側	ภายนอก
レム	เล็ม
レム	เลม
征服	พิชิต
征服	ชัยชนะ
征服	เอาชนะ
早い	ต้น
港湾	ท่าเรือ
港湾	พอร์ต
集会	สมัชชา
封印	ผนึก
切り替え	สลับ
嫌い	เกลียด
教科書	ตำรา
サイン	เซ็น
サイン	ป้าย
サイン	ลงชื่อ
人材	บุคลากร
スティック	ไม้
スティック	ติด
建築物	ตึก
建築物	อาคาร
方程式	สมการ
スイッチ	สลับ
レスリング	ปล้ำ
花火	พลุ
フラッシュ	แฟลช
ボイス	เสียง
修復	ซ่อมแซม
修復	ฟื้นฟู
トライ	ลอง
闘争	ดิ้นรน
宿泊	ที่พัก
洪水	อุทกภัย
保証	รับรอง
保証	ประกัน
ダグラス	ดักลาส
ラウ	เหลา
維新	ซ่อมแซม
維新	ฟื้นฟู
コナ	โคน
コイン	เหรียญ
コイン	คลัง
踊り	เต้น
踊り	เต้นรำ
刑務所	คุก
ドメイン	โดเมน
パーティ	ปาร์ตี้
パーティ	พรรค
スーツ	สูท
クラーク	คล๊าก
漁業	ประมง
彫刻	ประติมากรรม
フィル	ฟิล
フィル	ฟิลล์
セミ	จักจั่น
科目	วิชา
スロー	ช้า
スロー	ช้าๆ
スロー	ชะลอ
曲線	โค้ง
恐竜	ไดโนเสาร์
レビュー	รีวิว
レビュー	วิจารณ์
セックス	เพศ
セックス	เซ็กซ์
ピア	เพียร์
パレード	พาเหรด
パレード	แห่
ゴム	ยาง
フィン	ฟินน์
フィン	ฟิน
レオン	ออน
警察官	ตำรวจ
部族	เผ่า
プレート	ทะเบียน
プレート	จาน
結晶	ใส
ハンド	มือ
ハンド	มือขวา
ハンド	หัตถ์
見出し	หัวข้อ
カレー	กะหรี่
カレー	แกง
墓地	สุสาน
墓地	ป่าช้า
妊娠	ครรภ์
妊娠	ท้อง
野菜	ผัก
叔父	ลุง
コンクリート	คอนกรีต
エントリー	รายการ
釣り	ประมง
フロー	ไหล
フロー	กระแส
南極	แอนตาร์กติกา
パシフィック	แปซิฟิค
パシフィック	แปซิฟิก
ハッピー	สุขใจ
ハッピー	แฮปปี้
ハッピー	ดีใจ
センチメートル	เซนติเมตร
シェル	เชลล์
シェル	เปลือก
グラス	แก้ว
グラス	กระจก
雰囲気	บรรยากาศ
恒星	ดาว
恒星	ดวงดาว
恒星	ดาวฤกษ์
恒星	ดารา
シュート	ถ่าย
シュート	ยิง
介護	แคร์
介護	สน
介護	สนใจ
ハンス	ฮันส์
主流	กระแส
ヒュー	ฮิว
本多	ฮอนด้า
じゅん	จุน
コーン	ข้าวโพด
コーン	กรวย
コーン	โคน
スキル	ทักษะ
サイクル	รอบ
サイクル	วงจร
サイクル	วัฏจักร
マット	แม็ท
マット	แมท
マット	แมตต์
マット	แมต
マット	แมทท์
マット	พรม
マット	แม็ต
吹き替え	ฉายา
ツイン	แฝด
ツイン	ฝาแฝด
書き込み	เขียน
勇者	กล้า
シェア	หุ้น
シェア	แชร์
大洋	มหาสมุทร
大洋	ทะเล
悲劇	โศกนาฏกรรม
マルクス	มาร์คัส
ヴァン	แวน
エール	ตะโกน
分散	แปรผัน
乾燥	แห้งๆ
乾燥	แล้ง
乾燥	แห้ง
落下	หล่น
落下	ตก
落下	ล้ม
落下	ร่วง
告示	สังเกตุ
告示	สังเกต
マリン	นาวิก
スタンダード	มาตรฐาน
繊維	ไฟเบอร์
繊維	เส้นใย
待ち	รอ
スパ	ปาส
スパ	สปา
スパ	ปา
エンターテイメント	บันเทิง
配列	อาร์เรย์
ペルー	เปรู
ペルー	เปเป
ペルー	เป
フェニックス	ฟีนิกซ์
狩り	ล่า
狩り	ฮันท์
クリスチャン	คริสเตียน
チケット	ตั๋ว
チケット	บัตร
チケット	ใบสั่ง
幻想	ภาพลวงตา
フォト	รูปภาพ
フォト	รูป
フォト	ภาพถ่าย
石炭	ถ่านหิน
石炭	ถ่าน
グラム	กรัม
ボウ	โบว์
ボウ	นู๋
ボウ	ธนู
ボウ	กราบ
ループ	ลูป
ループ	วน
ラジ	ราจ
せつ	ต้ม
せつ	เดือด
せつ	ฝี
開く	เปิด
流し	จม
流し	อ่างล้างหน้า
喜劇	ตลก
ライター	ไฟแช็ก
信用	เครดิต
タイガー	เสือ
タイガー	เสือก
キット	คิต
キット	คิ
キット	คิคิ
キット	คิท
歩行	เดิน
デヴィッド	เดวิด
割引	ส่วนลด
クレイ	เคลย์
クレイ	ดิน
変数	ตัวแปร
影響力	อิทธิพล
ストレート	ตรง
ストレート	ประณีต
牧師	หลวง
ウルフ	หมาป่า
純粋	บริสุทธิ์
役職	จุดยืน
役職	ตำแหน่ง
薬物	ยา
侵略	ก้าวร้าว
化石	ฟอสซิล
化石	ดึกดำบรรพ์
化石	ซากดึกดำบรรพ์
踊る	เต้น
踊る	เต้นรำ
渓谷	หุบเขา
推奨	แนะนำ
デッド	ตาย
ドット	จุด
ドット	ดอท
魅力	เสน่ห์
広がる	แพร่
大気	บรรยากาศ
インディアナ	อินเดียนา
エンターテインメント	บันเทิง
ソニック	โซนิค
クライ	ร้องไห้
ディーン	คณบดี
ディーン	ดีน
ボルト	โบลท์
カーブ	โค้ง
荷物	สัมภาระ
アイデア	แนวคิด
弾薬	กระสุน
弾薬	ยุทธภัณฑ์
グレー	เทา
抽選	ลอตเตอรี่
品種	พันธุ์
角度	มุม
エレベーター	ลิฟท์
エレベーター	ยก
召喚	เรียก
マウント	ภูเขา
ダート	ลูกรัง
ダート	สกปรก
ダート	ดิน
訂正	แก้
ソックス	ถุงเท้า
幽霊	ผี
難波	นัมบะ
友情	มิตรภาพ
機材	อุปกรณ์
ブッシュ	บุช
小売	ปลีก
後で	ทีหลัง
アルファベット	อักษร
フォーマット	ฟอร์แมต
ケア	แคร์
ケア	สน
ケア	สนใจ
アース	ธรณี
アース	โลก
バルブ	วาล์ว
