और	ve
स्वीकृति	onayla
स्वीकृति	kabulü
पीने	içmek
पीने	içme
पीने	içiyor
पीने	içki
असली	orijinal
असली	orjinal
असली	aslı
असली	gercek
असली	reel
असली	özgün
असली	gerçek
पैसे	para
उद्यम	girişim
उद्यम	girişimcilik
उद्यम	kurumsal
उद्यम	atılgan
शुष्क	kuru
शुरुआती	acemi
गर्मियों	yaz
गर्मियों	yaza
प्रकाशक	yayıncılar
प्रकाशक	yayıncı
स्वीडन	isveç
गाय	inek
प्रशांत	pasifik
खाली	bos
खाली	bomboş
खाली	boş
वर्तनी	yazım
वर्तनी	büyü
वर्तनी	heceleme
किसानों	çiftçilerin
किसानों	çiftçiler
किसानों	çiftçi
प्रतिष्ठा	itibar
प्रतिष्ठा	itibarını
प्रतिष्ठा	şöhret
प्रतिष्ठा	prestij
मुद्दे	sorunlar
मुद्दे	sorunları
मुद्दे	meseleler
चाय	çay
चाय	cay
छत	tavan
छत	teras
छत	çatı
अनुमानित	tahmin
अनुमानित	tahmini
गिरफ्तार	tutuklanan
गिरफ्तार	tutuklanmış
गिरफ्तार	tutuklanma
गिरफ्तार	tutuklama
गिरफ्तार	tutuklandı
प्रवासी	gurbetçilerin
आवाज़	hacim
आवाज़	cilt
आवाज़	ses
आवाज़	sesli
आवाज़	hacmi
आवाज़	sesi
चाल	hareketler
चाल	hile
चाल	taşı
चाल	numara
चाल	taşınır
चाल	hareket
कोलंबिया	kolombiya
देशी	yerli
प्रायद्वीप	yarımadası
नक्षत्र	takımyıldızları
नक्षत्र	takımyıldız
मौखिक	sözlü
मौखिक	ağız
चलाया	infaz
गर्भ	rahim
रहें	kal
रहें	kalın
ध्रुव	kutup
ध्रुव	direk
ध्रुव	kutbu
विनिमय	takas
विनिमय	döviz
बहस	tartışma
बहस	müzakere
बहस	münazara
कथित	sözde
ड्राइव	sür
ड्राइव	sürücüler
ड्राइव	sürücüleri
ड्राइव	kullanıyor
कोर	korosu
कोर	kaldırım
कोर	çekirdek
कोर	koro
कोर	çekirdeği
नियुक्ति	randevu
नियुक्ति	istihdam
बहती	akan
बहती	akıyor
बहती	akar
विटामिन	vitamini
विटामिन	vitamin
खून	kan
उपयोगकर्ताओं	kullanıcılar
उपयोगकर्ताओं	kullanıcıları
उपयोगकर्ताओं	kullanıcı
बाग	bahçesi
बाग	bahçe
डच	hollandalı
चौथी	dördüncüsü
चौथी	dördüncü
वंशज	soyundan
गठबंधन	ittifak
गठबंधन	antlaşma
उम्मीदवार	aday
उम्मीदवार	adayları
उम्मीदवार	adaylar
प्रभावों	empresyonizm
बिलकुल	kesinlikle
ग्रहों	gezegen
ग्रहों	gezegenler
ग्रहों	gezegenleri
रूपांतरण	dönüşümü
रूपांतरण	dönüşün
रूपांतरण	dönüşüm
रूपांतरण	dönüştürme
रूपांतरण	dönüşümleri
रूपांतरण	dönüştür
रूपांतरण	dönüşümler
भ्रष्टाचार	yolsuzluk
मैसूर	maisur
सलाहकार	danışmanı
सलाहकार	danışmanlık
सलाहकार	danışma
सलाहकार	danışman
जनजाति	kabile
जनजाति	kabilesi
पठार	eşiği
पठार	yaylası
चलचित्र	film
चलचित्र	sinema
बहुमत	çoğunluk
बहुमत	çoğunluğu
चमक	parlayan
हिल	tepe
नैदानिक	teşhis
नैदानिक	klinik
अद्भुत	şaşırtıcı
अद्भुत	inanılmaz
अद्भुत	şahane
अद्भुत	harika
अद्भुत	muhteşem
एकत्रित	toplanan
एकत्रित	toplandı
एकत्रित	topla
इकाइयों	birlikler
इकाइयों	ekipler
इकाइयों	birim
इकाइयों	birimler
शाखाओं	dallar
शाखाओं	dalları
दशकों	onlarca
खतरे	tehditleri
खतरे	tehdit
खतरे	tehditler
खतरे	tehlike
टूर	turne
टूर	tura
टूर	tur
हमारा	bizim
पाल	yelkenli
पाल	yelken
निर्दिष्ट	belirtilmiş
निर्दिष्ट	belirtildi
निर्दिष्ट	belirtilen
जोड़े	çiftlere
जोड़े	çiftler
निर्माताओं	üretici
निर्माताओं	üreticileri
बजट	bütçe
बजट	bütçeyi
मौका	şans
समर्थक	destekçi
समर्थक	destekçileri
खबर	haberler
खबर	haber
खबर	haberleri
स्कूलों	okullar
स्कूलों	okulları
मासिक	aylık
कणों	parçacıkların
कणों	parçacıklar
कणों	parçacıkları
प्रबल	baskın
आलोचकों	eleştirmenler
आलोचकों	eleştiriler
तकनीकों	teknikleri
तकनीकों	teknikler
विभक्त	bölündü
विभक्त	bölünmüş
उत्तराधिकारी	varisi
उत्तराधिकारी	mirasçı
उत्तराधिकारी	vâris
उत्तराधिकारी	varis
उत्तराधिकारी	soyundan
एयरलाइंस	havayolları
एयरलाइंस	havayolu
अवैध	geçersiz
अवैध	yasadışı
अवैध	kanunsuz
अवैध	haydut
जीवाणु	bakteriler
जीवाणु	bakteri
हाँ	evet
शिकागो	şikago
इंग्लैण्ड	ingiltere
दौड़	yönetiyor
दौड़	koşar
दौड़	yarışmak
दौड़	yarış
दौड़	irklar
दौड़	irk
जातीय	etnik
छाया	gölgelerin
छाया	gölgelendirme
छाया	gölge
छाया	gölgeler
छाया	gölgeleri
मैरी	meryem
मैरी	neşeli
तैयारी	hazırlanıyor
तैयारी	hazırlık
शासनकाल	saltanatı
शासनकाल	saltanat
शासनकाल	hükümdarlık
फाउंडेशन	temel
फाउंडेशन	vakfı
फाउंडेशन	vakıf
कार्यकर्ता	emekçilerin
कार्यकर्ता	işçi
सिंचाई	sulama
पहलू	yanları
पहलू	yönü
पहलू	taraf
पहलू	taraflar
रोजगार	istihdam
निबंध	kompozisyon
पब्लिक	halk
पब्लिक	kamu
कान	kulakların
कान	kulak
कान	kulakları
कान	kulaklar
बनवाया	inşa
परिवारों	aileler
परिवारों	aileleri
फैल	yay
फैल	yayıldı
मेले	fuar
मेले	adil
शांत	sakin
शांत	ayık
शांत	sessiz
शांत	sessizlik
उद्घाटन	açılışlar
सौंदर्य	güzellik
चीज़	peynir
चीज़	peynirli
प्रोग्रामिंग	programlama
प्रिय	canım
प्रिय	sevgili
रेड	baskın
रेड	kirmizi
रेड	kırmızı
रेड	kızıl
सृजन	yaratıcılık
सृजन	yaratılış
सृजन	yaratma
सृजन	oluşturma
वकील	avukatları
वकील	avukatlık
वकील	avukat
वकील	avukatlar
अनाज	tahıl
अनाज	buğday
यूनियन	birliği
यूनियन	sendika
यूनियन	birlik
भावनाओं	duygular
भावनाओं	duygu
भावनाओं	duyguları
उर्जा	enerji
उर्जा	enerjisi
सोसायटी	topluluk
सोसायटी	sosyete
सोसायटी	toplum
छोड़ने	düşüyor
यौगिकों	bileşikler
सेनानी	savaşçılar
सेनानी	savaşçı
सेनानी	dövüşçü
सेनानी	savaşçıları
रणनीति	stratejileri
रणनीति	strateji
रणनीति	stratejisi
लेन	şerit
बुलाया	aradı
वध	katliam
वध	kıyım
बाढ़	selin
बाढ़	sel
बाढ़	tufan
शत्रु	düşman
शत्रु	düşmanlar
शत्रु	saldırgan
शत्रु	düşmanca
एक्शन	eylem
एक्शन	motor
एक्शन	aksiyon
अनुच्छेद	paragraf
आयात	ithalat
आधा	yarısı
आधा	yarım
आधा	yarı
आधा	yarim
धन्यवाद	teşekkürler
धन्यवाद	tesekkurler
धन्यवाद	sağol
बेल	can
बेल	sarmaşık
बेल	asma
बेल	çan
बेल	zil
सेंट्रल	merkezi
सेंट्रल	merkez
घातक	öldürücü
घातक	ölümcül
मास्टर	üstad
मास्टर	usta
मास्टर	hocam
तस्वीर	resim
तस्वीर	resmi
तस्वीर	fotoğraf
पहल	girişim
पहल	girişimi
परे	ötesinde
परे	ötesine
परे	ötesi
वाहनों	araçlar
सच	dogru
सच	gerçekler
सच	hakikat
सच	gerçek
सच	doğruluk
सच	doğru
पाउंड	kilo
पाउंड	pound
पाउंड	sterlin
इण्डिया	hindistan
इण्डिया	hint
नींव	kaide
प्राधिकरण	makamlar
प्राधिकरण	yetkililere
प्राधिकरण	yetkili
प्राधिकरण	yetki
प्राधिकरण	otorite
प्राधिकरण	yetkililer
कीट	böcekleri
कीट	böcekler
कीट	böcek
गाना	şarkı
गाना	sarki
धातुओं	metal
धातुओं	metaller
अतीत	geçmiş
समाजवादी	sosyalizm
समाजवादी	sosyalist
वेतन	ücret
वेतन	maaşı
वेतन	maaş
वाणिज्य	ticaret
आखिरी	son
आखिरी	sonuncu
आखिरी	sonuncusu
धूम्रपान	sigara
ब्याज	faiz
ब्याज	ilgi
ब्याज	faizi
घोड़े	atlar
घोड़े	atlara
घोड़े	at
माला	maldivler
लेखा	muhasebe
दीवारों	grafiti
दीवारों	duvarları
दीवारों	duvarlar
दीवारों	duvar
ऊतक	mendil
ऊतक	doku
रात्रि	gece
रात्रि	geceler
बेस	baz
बेस	bas
बेस	taban
बेस	üs
बेस	levrek
बेस	üssü
फलन	fonksiyon
फलन	işlevi
फलन	işlev
फलन	fonksiyonu
मानता	inanıyor
सफलतापूर्वक	başarılı
सफलतापूर्वक	başarıyla
सतत	sürekli
सतत	devamlı
सतत	istikrarlı
सतत	tutarlı
ऊष्मा	isı
ऊष्मा	sıcaklık
ऊष्मा	sıcaklığı
कारों	arabalar
कारों	araba
रेस	yarış
रेस	irk
बृहस्पति	jüpiter
प्रोत्साहन	teşvik
प्रोत्साहन	teşvikler
टीमों	takımlar
टीमों	ekipler
मामला	dava
मामला	vaka
निष्क्रिय	etkisiz
निष्क्रिय	boşta
निष्क्रिय	kapatılmış
निष्क्रिय	sakat
निष्क्रिय	aylak
निष्क्रिय	pasif
निष्क्रिय	engelli
लौह	demir
लौह	ütü
बनावट	doku
बनावट	dokular
बनावट	dokusu
गायन	şarkı
गायन	vokal
आवेदन	uygulamaları
आवेदन	uygulamalar
आवेदन	uygulama
आवेदन	başvuru
सकल	iğrenç
कमाई	kazançlar
कमाई	kazanç
विश्वविद्यालयों	üniversiteler
विश्वविद्यालयों	üniversite
विश्वविद्यालयों	üniversitesi
साहिब	şihab
साहिब	sahip
उठाने	kaldırmak
उठाने	büyütmek
उठाने	kaldırma
उठाने	yetiştirmek
साउथ	güney
साउथ	güneye
गहन	derin
गहन	derine
गहन	derinden
बाघ	kaplan
टिकट	biletler
टिकट	bilet
टिकट	biletleri
राजशाही	monarşi
पैरों	bacak
पैरों	bacakları
पैरों	ayakları
पैरों	ayak
पैरों	ayaklar
पैरों	bacaklar
ब्लॉग	bloglar
सड़कों	yollar
उद्देश्यों	girişimci
जाल	ağ
मिलान	eşleşme
मिलान	karşılaşma
मिलान	eşleşen
मिलान	maç
मिलान	maçlar
मिलान	eşleştirme
मिलान	milano
मिलान	kibrit
प्रावधान	hükümler
प्रावधान	rızık
प्रावधान	erzak
सदस्यता	üye
सदस्यता	üyelik
सदस्यता	abone
सदस्यता	abonelik
रिकार्ड	kayıt
रिकार्ड	rekor
रिकार्ड	plak
साझा	paylaştım
साझा	paylaşımlar
साझा	paylaşıldı
साझा	paylaşılan
साझा	paylaştı
साझा	hisseler
स्वतन्त्रता	bağımsızlık
स्वतन्त्रता	bağımsızlığı
अधिकृत	yetkili
अधिकृत	yetki
सापेक्ष	akraba
सापेक्ष	akrabası
सापेक्ष	akrabalar
सापेक्ष	göreceli
विफल	başarısız
संदेह	kuşku
संदेह	şüphe
संदेह	şüpheler
आग्रह	istek
आग्रह	rica
आग्रह	talep
कारोबार	iş
कारोबार	ticaret
कारोबार	işletme
रिंग	yüzük
रिंग	halka
ऑपरेशन	operasyonu
ऑपरेशन	ameliyat
ऑपरेशन	operasyon
ऑपरेशन	işlem
आपसी	karşılıklı
पवन	rüzgar
पवन	rüzgâr
छूट	indirimler
छूट	indirimli
छूट	indirimi
छूट	indirim
बाधा	engel
अमीर	zengin
अमीर	zenginler
समतल	uçak
समतल	düz
समतल	yassı
समतल	daire
बस्ती	şehir
बस्ती	kasaba
कठिनाई	güçlük
कठिनाई	zorluklar
कठिनाई	sıkıntı
कठिनाई	zorluk
पुर्तगाली	portekizce
जड़	kökleri
जड़	kök
बौद्धिक	entellektüel
बौद्धिक	entelektüel
निकलता	kaburga
स्वर्ग	cennet
प्रोटोकॉल	protokol
प्रोटोकॉल	protokolleri
प्रोटोकॉल	protokolü
व्यय	masraf
व्यय	harcamalar
व्यय	giderler
व्यय	masraflar
गणतंत्र	cumhuriyet
माया	mayalar
तिब्बती	tibet
आत्महत्या	intiharı
आत्महत्या	intihar
मतभेद	farklar
मतभेद	farklılıklar
मतभेद	farklılıkları
अतिथि	misafirler
अतिथि	misafir
अतिथि	konuk
अतिथि	konuklar
लें	alın
लें	al
शानदार	süper
शानदार	şahane
डाक	postalar
डाक	posta
प्रतिद्वंद्वी	rakipleri
प्रतिद्वंद्वी	rakip
प्रतिद्वंद्वी	rakibi
संयोग	rastlantı
संयोग	tesadüf
कविताओं	şiir
कविताओं	şiirler
तरंग	dalga
तरंग	dalgalanma
उठाया	büyüttü
अंतराल	aralığı
अंतराल	aralıklı
अंतराल	aralık
परिचित	tanıdık
परिचित	aşina
इंडोनेशिया	endonezya
विश्वसनीय	güvenilir
तत्काल	anında
तत्काल	anlık
तत्काल	acilen
तत्काल	acil
चित्रकला	resim
चित्रकला	boyama
चित्रकला	tablo
पहलुओं	yönleri
गेट	kapısı
गेट	kapı
गेट	geçit
चैंपियनशिप	şampiyona
चैंपियनशिप	şampiyonası
चैंपियनशिप	şampiyonluk
बाबू	baba
बाबू	babacığım
पैदल	kaldırım
पैदल	yaya
रहकर	kalıyor
रहकर	kalmak
रहकर	kalıyoruz
रहकर	kalıyorum
जर्नल	günlüğü
जर्नल	günlük
लाखों	milyonlar
लाखों	milyonlarca
लाखों	milyon
शैक्षणिक	eğitici
शैक्षणिक	eğitim
खोला	açıldı
खोला	açtı
खोला	açılmış
खोला	açılan
भाप	buhar
गलती	yanlışlık
गलती	hata
भ्रूण	fetüs
भ्रूण	cenin
भ्रूण	embriyo
चेक	çek
ब्राजील	brezilya
राग	melodi
तटीय	kıyı
ख्याति	şöhret
ख्याति	ün
पंजीकृत	kayıtlı
वैध	geçerliliği
वैध	geçerli
वैध	geçerlidir
संकल्प	kararlar
संकल्प	kararları
जूनियर	ufaklık
चुम्बकीय	manyetik
चुम्बकीय	mıknatıs
बादशाह	kral
रचनात्मक	yaratıcılık
रचनात्मक	yaratıcı
रचनात्मक	kreatif
मुखपृष्ठ	evde
मुखपृष्ठ	eve
मुखपृष्ठ	yuva
मुखपृष्ठ	evim
मुखपृष्ठ	ev
ट्रस्ट	güven
प्रस्तुति	tanıtım
प्रस्तुति	sunum
प्रस्तुति	sunumu
उपर	üstü
उपर	üstte
उपर	üst
धरोहर	miras
धरोहर	mirası
अद्वितीय	eşsiz
अद्वितीय	tekil
अद्वितीय	benzersiz
सरकारों	hükümetler
खतरनाक	tehlikeli
खतरनाक	tehlikelidir
त्यौहार	festivali
त्यौहार	senlik
त्यौहार	festivalde
त्यौहार	festivaller
परिमाण	parametreleri
परिमाण	büyüklük
संक्रमित	enfekte
देखना	görme
देखना	görüntüleme
देखना	izleyin
देखना	izleme
देखना	izle
ख़ास	özeldir
ख़ास	ozel
ख़ास	özel
माँग	talep
स्पेनिश	ispanyolca
स्पेनिश	ispanyol
स्पेनिश	ispanyollar
महारानी	kraliçe
महारानी	vezir
निरीक्षण	denetleme
निरीक्षण	teftiş
निरीक्षण	inceleme
निरीक्षण	denetim
जिम्मेदारी	sorumluluk
जिम्मेदारी	sorumluluğu
रंगमंच	tiyatro
भारतीयों	kızılderililer
भारतीयों	yerliler
भारतीयों	kızılderilileri
त्रुटि	hataları
त्रुटि	hatalar
त्रुटि	hata
ऊँची	yüksek
ऊँची	yükseğe
ऊँची	çak
ऊँची	yükseklerde
ज्यामिति	geometri
आराम	istirahat
आराम	dinlenme
आराम	rahatlamış
आराम	konfor
आराम	teselli
आराम	rahatlık
आराम	rahat
आराम	dinlenmek
रवि	güneş
रवि	buluşması
रवि	güneşi
रवि	günes
रवि	birleşme
रवि	kavuşma
रवि	güneşe
पिछली	önceki
बेटा	oğul
बेटा	oğlum
बेटा	evlat
टुकड़े	parçaları
क्रिस्टल	kristal
चौथा	dördüncüsü
चौथा	dördüncü
प्रसन्न	neşeli
प्रसन्न	memnun
प्रसन्न	mutluluklar
प्रसन्न	mutlu
सार	soyut
सार	özet
पड़ोसी	komşum
पड़ोसी	komşuları
पड़ोसी	komşu
पड़ोसी	komşusu
पड़ोसी	komşular
भ्रम	yanılsama
भ्रम	karışıklık
भ्रम	illüzyon
भ्रम	karmaşa
भ्रम	kargaşa
राजनेता	siyasetçi
राजनेता	politikacı
राजनेता	siyasiler
राजनेता	politikacılar
गोल्ड	altınlar
गोल्ड	altin
गोल्ड	altın
भिन्नता	farklılık
भिन्नता	farkı
भिन्नता	fark
रविवार	pazar
सारणी	masa
सारणी	sofra
सारणी	tablo
नाभिकीय	nükleer
अपवाद	istisna
लिखना	yazma
लिखना	yazarlık
लिखना	yazı
लिखना	yazmak
लिखना	yazmaya
लिखना	daktilo
पाप	günah
गले	sarılma
गले	sarılmak
गले	kucak
जनक	ebeveynler
जनक	veli
जनक	ebeveyn
स्वचालित	oto
स्वचालित	otomatik
स्वचालित	otomobil
खेत	çiftlik
सेमी	yari
सेमी	yarı
असाधारण	sıradışı
असाधारण	olağanüstü
असाधारण	olağandışı
अपील	temyize
अपील	itiraz
अपील	temyiz
दर्शक	görüntüleyici
दर्शक	izleyenler
दर्शक	görenler
दर्शक	izleyiciler
दर्शक	gösterici
दर्शक	izleyici
दर्शक	seyirci
दर्शक	izleyicilerin
इनपुट	girdi
इनपुट	giriş
सैकड़ों	yüzlercesi
सैकड़ों	yüzlük
सैकड़ों	yüzlerce
क्लास	sınıf
क्लास	klas
क्लास	ders
लीला	leyla
कलात्मक	artistik
कलात्मक	sanatsal
मंगोल	moğollar
मंगोल	moğolistan
उपनिषद	upanişad
शुभ	güzel
शुभ	iyi
स्वीकृत	kabul
स्वीकृत	onaylanmış
स्वीकृत	onaylı
स्वीकृत	onaylandı
स्वीकृत	onayladı
बैटरी	akü
बैटरी	batarya
बैटरी	pil
बैटरी	piller
कहानियाँ	haberler
कहानियाँ	hikayeler
कहानियाँ	öyküler
कहानियाँ	hikâyeler
पुष्प	çiçek
पुष्प	çiçekler
पुष्प	çiçeği
पुष्प	çiçeğim
सुविधाएं	tesisler
सुविधाएं	olanaklar
सुविधाएं	tesis
सुविधाएं	tesisleri
सुविधाएं	imkanlar
अक्षांश	enlem
सम्पर्क	irtibat
सम्पर्क	iletişim
सम्पर्क	bağlantı
सम्पर्क	bağlantılar
सम्पर्क	kişiler
सम्पर्क	iletisim
सम्पर्क	kişileri
दृश्यों	sahneler
श्वसन	solunum
आतंकवाद	terörizm
आतंकवाद	terör
परिस्थिति	durum
लोकतंत्र	demokrasi
उपलब्धि	başarı
उपलब्धि	başarım
कुश्ती	güreş
क्लिक	tıklama
क्लिक	tıklayın
क्लिक	tıkla
लेबल	etiket
लेबल	etiketler
लेबल	etiketi
लेबल	etiketleri
अकाल	açlık
अकाल	kıtlık
फैशन	moda
पैलेस	sarayı
पैलेस	saray
नीला	mavi
पोर्ट	liman
पोर्ट	iskele
पोर्ट	limanlar
विधेयक	fatura
बलों	kuvvetleri
बलों	kuvvetler
बलों	güçler
स्टील	çelik
यूनान	yunanistan
थोड़े	hafifçe
सेकंड	saniyeler
सेकंड	ikinci
सेकंड	ikincisi
सेकंड	saniye
अवयव	eleman
अवयव	bileşen
अवयव	bileşeni
अवयव	öğe
आलेख	makale
आलेख	grafik
आलेख	yazı
आलेख	makaleler
आलेख	yazılar
आलेख	madde
दिव्य	ilahi
नली	hortum
पूर्वोत्तर	kuzeydoğu
साक्ष्य	deliller
साक्ष्य	kanıtlar
साक्ष्य	delil
साक्ष्य	kanıt
कहाँ	nereye
कहाँ	nerde
कहाँ	nere
कहाँ	nerede
आवरण	kapak
आवरण	zarf
आवरण	koru
आंकड़े	sayılar
आंकड़े	şekiller
आंकड़े	rakamlar
आंकड़े	istatistik
आंकड़े	istatistikler
आंकड़े	istatistikleri
उपदेश	vaaz
उपदेश	öğüt
उपदेश	tavsiyeler
एकीकरण	entegrasyonu
एकीकरण	entegrasyon
एकीकरण	bütünleşme
फोटो	foto
फोटो	resimler
फोटो	fotoğraf
फोटो	fotoğraflar
फोटो	fotograf
फोटो	fotoğrafları
चोरी	çalındı
चोरी	çal
चोरी	çalınan
चोरी	çalmak
चोरी	çalıntı
चोरी	çalınmış
चोरी	hırsızlığı
चोरी	hırsızlık
चोरी	çalma
सिंहासन	taht
आचरण	davranış
आचरण	davranışlar
क्लोराइड	klor
हरी	yeşile
हरी	yeşillik
हरी	yeşil
हरी	yeşili
परिकल्पना	varsayım
परिकल्पना	hipotez
बयान	ifade
बयान	beyan
मुंह	ağzı
मुंह	ağzını
मुंह	ağızdan
मुंह	ağız
विनाश	imha
विनाश	yıkım
एजेंट	menajer
एजेंट	ajan
एजेंट	temsilci
बेल्जियम	belçika
वितरित	dağıtmak
वितरित	dağıtma
वितरित	dağıtılan
वितरित	teslim
श्रेणियाँ	kategorileri
आतंकवादी	terörist
आतंकवादी	teröristler
आतंकवादी	terör
प्रतिबंधित	kısıtlamak
प्रतिबंधित	yasaklandı
प्रतिबंधित	kısıtlı
प्रतिबंधित	yasaklanmış
प्रतिबंधित	yasaklı
साथियों	meslektaş
पारस्परिक	karşılıklı
अद्यतन	güncelleme
अद्यतन	güncelle
अद्यतन	güncellemeler
अद्यतन	güncellemeleri
बैठे	oturmak
बैठे	oturup
बैठे	oturan
बैठे	oturuyorum
बैठे	oturarak
पारम्परिक	geleneksel
प्रशिक्षित	eğitimli
प्रशिक्षित	eğitilmiş
पारिस्थितिकी	ekoloji
सैद्धांतिक	teorik
स्पेनी	ispanyolca
स्पेनी	ispanyol
स्पेनी	ispanyollar
पौधा	bitki
संलग्न	bağlanmış
संलग्न	ekle
संलग्न	bağlandı
संलग्न	bağlı
संलग्न	bitişik
होम	evde
होम	eve
होम	yuva
होम	evim
होम	ev
होम	evler
सिक्के	para
काउंसिल	konseyi
काउंसिल	konsey
ट्यूब	boru
ट्यूब	tüp
अवलोकन	bakış
अवलोकन	gözlem
नमूने	numune
नमूने	örnekler
नमूने	örnekleri
बन्द	kapat
बन्द	kapandı
बन्द	izin
बन्द	kapatılmış
बन्द	kapali
बन्द	yakına
बन्द	yakın
बन्द	kapatıldı
बन्द	kapalı
बन्द	yakin
तारीख	randevu
तारीख	flört
तारीख	buluşma
तारीख	tarihi
तारीख	tarih
एकदम	kesinlikle
खुदाई	kaz
खुदाई	sondaj
खुदाई	kazın
खुदाई	kazma
खुदाई	delme
खुदाई	kazı
फलों	meyve
फलों	meyva
फलों	meyveler
वस्तुएँ	ürünler
वस्तुएँ	eşyalar
वस्तुएँ	nesne
वस्तुएँ	nesneler
वस्तुएँ	nesneleri
हमलों	saldırıları
हमलों	saldırı
हमलों	grev
हमलों	saldırılar
बीस	yirmi
शिकायत	şikayetleri
शिकायत	şikayetler
शिकायत	şikayet
शिकायत	şikâyet
सफाई	temizlik
सफाई	temizleme
टेलीविज़न	televizyon
टेलीविज़न	tv
विन्यास	yapılandırma
विन्यास	ayarları
विन्यास	ayarlar
ध्रुवीय	kutup
पार्श्व	yana
पार्श्व	yan
पार्श्व	taraf
घड़ी	saate
घड़ी	saat
रोशनी	nur
रोशनी	işık
रोशनी	işıklar
रोशनी	işıkları
रोशनी	aydınlık
रोशनी	hafif
आलोचक	eleştirmen
आलोचक	eleştirmeni
आलोचक	eleştiri
रखरखाव	bakım
रखरखाव	bakımı
नाना	nine
स्पर्श	dokunma
स्पर्श	dokunuş
स्पर्श	dokun
गणितज्ञ	matematikçi
वनों	orman
वनों	ormanlar
वनों	ormanları
कृतियाँ	yazılar
कृतियाँ	yazıları
जीते	kazanılan
जीते	kazandı
हानिकारक	zararlı
आमंत्रित	davetli
पीला	sarı
पीला	sari
सीधी	düz
श्लोक	ayet
श्लोक	dize
बादल	bulutların
बादल	bulutlara
बादल	bulut
बादल	bulutlar
चंद्रमा	ay
कोयला	kömür
संवैधानिक	anayasa
संवैधानिक	anayasal
पादप	bitki
चौड़ाई	genişliği
चौड़ाई	genişlik
उपयोगिता	kullanılabilirlik
प्रमेय	teoremi
संवेदनशील	duyarlı
संवेदनशील	hassas
मान्य	geçerli
मान्य	geçerlidir
अनुसूचित	planlı
अनुसूचित	planlanmış
अनुसूचित	planlanan
अनुसूचित	planlandı
सम्पन्न	yapıldı
सम्पन्न	bitirdim
सम्पन्न	tamamlandı
सम्पन्न	bitmiş
सम्पन्न	bitti
शहीद	şehit
तेज़	hizli
तेज़	hızlı
पीछा	takip
पीछा	kovalamaca
अर्ध	yari
अर्ध	yarı
विकासशील	geliştirme
विकासशील	geliştirmek
विकासशील	gelişmekte
न्यायिक	yargı
फंड	fon
फंड	fonu
नाक	burnunu
नाक	burnu
नाक	burnun
नाक	burun
निवेदन	talepler
निवेदन	talep
निवेदन	rica
निवेदन	istekler
निवेदन	istek
निवेदन	istekleri
ब्रायन	brain
अनुभाग	kısım
अनुभाग	bölümleri
अनुभाग	bölümler
अनुभाग	kısımlar
अनुभाग	bölümü
अनुभाग	bölüm
बीसवीं	yirminci
रंगीन	rengarenk
रंगीन	renkli
अपेक्षित	beklenen
अपेक्षित	bekleniyor
मूलभूत	temel
मूलभूत	öntanımlı
मूलभूत	varsayılan
विभागों	bölümler
अदा	öde
अदा	ödeme
अनिल	anıl
पूछा	istedi
पूछा	sormuş
पूछा	sordu
पूछा	soran
पूछा	sordum
कहानियां	haberler
कहानियां	hikayeler
कहानियां	öyküler
कहानियां	hikâyeler
उत्पादित	üretildi
उत्पादित	üretilmiş
उत्पादित	üretilen
दोषी	suçlu
दोषी	suçluyum
ज्वर	ates
ज्वर	ateşi
ज्वर	ateş
क्रिसमस	noel
क्रिसमस	yılbaşı
राहत	rahatlık
राहत	rahatlama
रखें	devam
भंडार	depolama
भंडार	saklama
भंडार	depo
भंडार	muhafazası
गार्डन	bahçesi
गार्डन	bahçe
कार्टून	karikatür
कार्टून	çizgi
फ़्रांस	fransa
व्यंग्य	parodi
व्यंग्य	hiciv
छंद	kafiye
छंद	kafiyeli
ठंडा	soğuk
ठंडा	soguk
पत्थरों	taş
पत्थरों	taşlar
अक्ष	ekseni
अक्ष	balta
इमारतें	binalar
इमारतें	binaların
पन्ने	sayfaları
पन्ने	sayfalar
एपिसोड	bolum
एपिसोड	bölümleri
एपिसोड	bölümler
एपिसोड	bölüm
डोमेन	alan
मैक	maç
वचन	mutabakat
आकलन	varsayım
आकलन	değerlendirmeler
मध्यकालीन	ortaçağ
पर्यावरणीय	çevresel
पर्यावरणीय	çevre
पसंदीदा	en
पसंदीदा	imleri
पसंदीदा	favori
पसंदीदा	gözde
अनुयायी	takipçi
अनुयायी	takipçileri
मुकदमा	duruşma
मुकदमा	dava
तलवार	kılıç
तलवार	mızrak
तुलनात्मक	karşılaştırmalı
उत्पादक	üretici
उत्पादक	yapımcı
उत्पादक	üreticisi
उत्पादक	üretken
उत्पादक	verimli
आयरिश	irlandalı
अभिलेख	arşivi
अभिलेख	arşiv
राजकुमारी	prenses
अनुचित	yakışıksız
अनुचित	saygısız
अनुचित	saygısızca
अनुचित	adaletsiz
अनुचित	uygunsuz
अनुचित	haksızlık
अनुचित	haksız
अनुचित	saygısızlık
कल	dün
कल	dun
कल	yarin
कल	yarın
कल	dünkü
इनकार	küfür
इनकार	inkâr
इनकार	inkar
प्रतिकूल	düşman
प्रतिकूल	saldırgan
प्रतिकूल	düşmanca
नींद	uyku
नींद	uyumak
नींद	uyu
कार्यान्वयन	uygulama
कार्यान्वयन	uygulanması
नाइट	gece
बाँध	baraj
बाँध	barajı
विवादास्पद	tartışmalı
कथानक	senaryo
बल्लेबाज	vurucu
