ve	и
bakım	ведение
bakım	уход
bakım	ухода
bakım	забота
otel	гостиницы
otel	мотель
otel	отели
otel	отель
otel	гостиница
tanımı	определение
anıt	памятник
anıt	мемориал
rekabet	конкуренции
rekabet	конкуренция
rekabet	конкурсных
rekabet	конкурентоспособности
rekabet	соперничество
rekabet	конкурс
rekabet	соревнования
rekabet	конкурентоспособность
rekabet	соревнование
harika	чудесные
harika	здорово
harika	классная
harika	поразительно
harika	изумительно
harika	удивительно
harika	потрясающе
harika	чудесная
harika	классные
harika	круто
harika	классно
harika	великолепно
harika	отлично
harika	замечательно
harika	потрясающая
balina	кита
balina	китов
balina	кит
bürokrat	бюрократ
askerlik	военный
askerlik	военная
askerlik	военных
askerlik	военные
sahipleri	владельцам
sahipleri	владельцев
sahipleri	владельцы
çıplak	голые
çıplak	голая
çıplak	голый
sağlıklı	здоровое
sağlıklı	здорового
sağlıklı	здоровый
sağlıklı	здоровые
sağlıklı	здоровая
çıkarma	извлечение
çıkarma	добычи
çıkarma	вычитание
bilge	мудро
bilge	мудрый
bilge	мудрые
bilge	мудрое
damat	жениха
damat	жених
rüzgar	ветра
rüzgar	ветер
rüzgar	ветры
motorlu	моторное
dağlar	хиллз
dağlar	холмы
dağlar	горы
örümcek	паук
örümcek	пауки
eylem	действий
eylem	действие
eylem	акция
eylem	меры
eylem	действия
akademisyen	академик
kırk	сорок
kırk	сорока
davranış	поведение
davranış	настрой
davranış	позиция
davranış	отношение
davranış	поведенческих
akıllı	мудро
akıllı	смарт
akıllı	мудрое
akıllı	умная
akıllı	умно
akıllı	мудрые
akıllı	умный
akıllı	остроумие
akıllı	мудрый
akıllı	умные
kuvvetli	сильное
kuvvetli	сильна
kuvvetli	сильный
kuvvetli	сильная
kuvvetli	сильные
kazanır	выигрывает
kazanır	побеждает
ibranice	иврит
ibranice	еврейский
akımı	ручей
akımı	поток
kütüphane	библиотеки
kütüphane	библиотек
kütüphane	библиотека
konak	принимающих
konak	принимающая
konak	особняк
akan	вытекающих
kayıtlı	зарегистрировано
kayıtlı	зарегистрированный
kayıtlı	зарегистрированные
kayıtlı	зарегистрированных
kayıtlı	зарегистрирована
romalı	римляне
romalı	римлян
romalı	римская
romalı	роман
hastalıkları	болезни
hastalıkları	заболевания
hastalıkları	заболеваний
kafa	голова
kafa	голову
kafa	головка
ihlal	брешь
ihlal	нарушения
ihlal	нарушили
ihlal	нарушают
ihlal	нарушено
ihlal	нарушены
ihlal	нарушение
karakterleri	персонажи
karakterleri	символы
karakterleri	персонажей
karakterleri	символов
sürüldü	изгнании
sürüldü	изгнан
etkiler	влияет
etkiler	воздействие
etkiler	эффекты
etkiler	затрагивает
etkiler	последствия
hazırlanmış	подготовленный
hazırlanmış	разработан
hazırlanmış	подготовленные
hazırlanmış	подготовлен
hazırlanmış	подготовлена
hazırlanmış	подготовлено
görevden	отклонить
görevden	уволен
görevden	отклонил
ihraç	высылки
ihraç	экспортировать
ihraç	высылка
ihraç	экспорт
ihraç	изгнание
tutuklandı	арестованных
tutuklandı	арестован
tutuklandı	арестованы
tutuklandı	задержан
tutuklandı	арестована
romalılar	римляне
romalılar	римлян
organizasyon	организаций
organizasyon	организация
organizasyon	организационные
organizasyon	организации
organizasyon	организационный
rastgele	случайная
rastgele	случайный
rastgele	случайные
rastgele	случайное
rastgele	случайных
idman	тренировку
idman	тренировки
idman	тренировка
nazım	назим
ajansı	агенство
ajansı	агентство
ajansı	агентства
ajansı	учреждение
kaybı	потеря
kaybı	потери
kaybı	утрата
düzen	приказ
düzen	заказать
düzen	заказ
düzen	орден
düzen	порядок
düzen	формирования
düzen	формирование
düzen	макет
yükseklik	высоты
yükseklik	рост
yükseklik	высота
yükseklik	хайтс
anıtı	памятник
kemer	ремень
kemer	ремни
kemer	пояс
kemer	пояса
kuşatma	осада
kuşatma	осады
istenen	запросили
istenen	желаемое
istenen	просила
istenen	желаемых
istenen	запросил
istenen	запросила
üreme	разведения
üreme	репродуктивного
üreme	размножения
okula	школа
okula	школе
okula	школы
geçirmek	потратить
geçirmek	тратить
geçirmek	провести
moleküler	молекулярной
pamuk	снег
pamuk	снега
pamuk	хлопок
pamuk	сноу
yaklaşım	приближение
yaklaşım	подход
cep	ячейки
cep	камере
cep	клетка
cep	карман
cep	кармане
cep	ячейка
etkinlik	мероприятия
etkinlik	активность
etkinlik	деятельность
etkinlik	события
etkinlik	действия
etkinlik	мероприятие
etkinlik	событие
merak	любопытно
merak	чудо
merak	любопытный
merak	любопытство
kaybeden	неудачник
sunuldu	представил
tarık	тарик
plastik	пластик
plastik	пластиковый
plastik	пластика
plastik	пластмасс
plastik	пластиковые
cc	уху
sayfayı	страница
sayfayı	страницы
sayfayı	страницу
çeker	тянет
devriye	патрульный
devriye	патрульные
devriye	патруль
devriye	патрулирование
pekin	пекинской
pekin	пекин
patlama	взрыва
patlama	детонации
patlama	подрыв
patlama	взрыв
patlama	извержение
açısı	угол
sesli	подъёма
sesli	громко
sesli	громкий
sesli	голос
günlüğü	дневник
günlüğü	журнал
sunulan	представил
saldırıları	нападения
saldırıları	нападений
saldırıları	нападки
saldırıları	атаки
yasak	запрещенные
yasak	запрещено
yasak	запрещена
yasak	запрещается
yasak	запретный
yalan	лгать
yalan	ложь
yalan	лежа
yalan	вру
yalan	лгу
yalan	врут
suikast	убийство
sunucusu	ведущая
sunucusu	ведущий
sunucusu	сервер
sunucusu	сервера
iktidar	постановление
ayaklanması	восстание
endüstriyel	промышленные
endüstriyel	промышленный
endüstriyel	промышленных
açıklaması	описание
alışveriş	покупка
alışveriş	покупки
alışveriş	закупка
alışveriş	магазин
alışveriş	приобрести
alışveriş	закупки
sahte	ложь
sahte	ложный
sahte	ложное
sahte	поддельных
sahte	подделок
sahte	фальшивка
sahte	ложные
sahte	подделки
sahte	фальшивые
sahte	фальшивый
sahte	подделка
uygulamalar	заявки
uygulamalar	приложения
mor	фиолетовый
işlemleri	сделки
işlemleri	операции
işlemleri	сделок
uç	муха
uç	лети
uç	летать
arkeoloji	археологических
arkeoloji	археологии
babil	вавилон
babil	вавилонский
sistemler	системы
sistemler	систем
güvenliği	безопасность
tapınak	скиния
tapınak	храм
topraklar	земель
topraklar	почва
topraklar	земли
topraklar	почвы
topraklar	почв
umarım	надеюсь
umarım	надеемся
romantik	романтик
romantik	романтика
romantik	романтическая
romantik	романтики
romantik	романтический
bahçesi	сад
bahçesi	гарден
öncü	пионер
merkezleri	центры
merkezleri	узлы
merkezleri	центров
tahrip	снос
tahrip	разрушение
ürdün	иордания
ürdün	иорданию
ürdün	джордан
ürdün	иордании
ürdün	иордан
bakanlar	министрами
bakanlar	министров
bakanlar	министры
şans	счастливая
şans	шанс
şans	повезло
şans	лаки
şans	удача
şans	счастливчик
otobüs	автобусы
otobüs	автобусов
otobüs	автобус
tartışmalar	споры
tartışmalar	обсуждения
tartışmalar	доводы
tartışmalar	дискуссии
tartışmalar	дебаты
tartışmalar	аргументы
tartışmalar	прения
oluşturulmuş	сформирована
oluşturulmuş	сформированных
oluşturulmuş	сформированные
oluşturulmuş	сформирован
oluşturulmuş	сформировали
yüce	верховный
yüce	возвышенный
yüce	высшая
yüce	высший
yayınladığı	публикует
psikoloji	психологии
psikoloji	психология
atıldı	исключили
atıldı	высланы
yiyecek	питание
yiyecek	еды
yiyecek	продовольствие
yiyecek	продовольственной
yiyecek	пища
yiyecek	еда
yeteneği	умение
yeteneği	способность
çatışmalar	стычек
çatışmalar	столкновений
çatışmalar	конфликты
çatışmalar	столкновения
kürdistan	курдистана
yatırım	инвестиции
yatırım	капиталовложения
yatırım	инвестирование
pembe	розовая
pembe	розовое
pembe	розовый
pembe	розовые
uygur	уйгурский
kurallar	правила
kurallar	правил
bal	мед
bal	родная
bal	дорогая
analizi	анализа
analizi	анализ
hamilton	гамильтонова
karabağ	карабаха
taksim	такси
tekniği	технику
tekniği	техника
soyundan	потомок
fırtına	шторм
fırtına	гроза
fırtına	буря
duygusal	эмоциональные
duygusal	эмоциональный
duygusal	эмоциональной
duygusal	душевно
duygusal	эмоциональная
duygusal	эмоции
başa	справиться
haberleri	новости
haberleri	новость
kritik	критический
kritik	критические
kritik	критическое
kritik	критическая
girişimi	инициатива
girişimi	попытка
girişimi	покушение
kaçan	бегство
hareketli	мобильных
hareketli	мобильные
hareketli	мобильный
dostluk	дружба
dostluk	дружбы
sil	исключить
sil	удалить
sil	стереть
sil	удаление
yörünge	траектории
yörünge	орбиту
yörünge	орбиты
yöresel	местное
yöresel	местные
yöresel	местных
yöresel	локальные
yöresel	местный
yöresel	местная
çatışma	коллизия
çatışma	перестрелка
çatışma	конфликты
çatışma	конфликт
süresiz	бесконечно
süresiz	бессрочное
peygamber	пророка
peygamber	пророк
yapıları	структур
yapıları	структуры
akustik	акустический
akustik	акустика
ian	лан
beklenen	ожидалось
beklenen	ожидаемые
beklenen	ожидаемое
beklenen	ожидается
beklenen	ожидаемый
tayland	таиланд
tayland	тайвань
tayland	таиланда
teori	теория
avrupalı	европейского
avrupalı	европейский
avrupalı	европейское
avrupalı	европейская
zeytin	оливковое
zeytin	оливки
zeytin	олив
otuz	тридцать
aynen	аналогично
aynen	точно
aynen	именно
direniş	сопротивления
direniş	сопротивление
fahri	почетный
yanıt	ответить
yanıt	ответы
yanıt	отвечайте
yanıt	реакция
yanıt	реагирование
yanıt	ответ
kızlar	девушки
kızlar	девчонки
kızlar	девочек
kızlar	девочки
filosu	флот
filosu	флота
fotoğrafları	фотографии
fotoğrafları	фото
kilo	вес
kilo	фунтов
kilo	килограммов
kilo	килограмма
sahnesi	сцена
gereklidir	необходимое
gereklidir	требуются
gereklidir	необходимо
gereklidir	необходимые
gereklidir	необходимая
gereklidir	требуемое
gereklidir	требуется
gereklidir	необходимый
bahçe	садоводство
bahçe	гарден
bahçe	сад
dokuzuncu	девятой
dokuzuncu	девятая
dokuzuncu	девятый
dokuzuncu	девятое
fonksiyon	функции
fonksiyon	функция
yener	бьется
yener	бьет
çeşitleri	сорта
çeşitleri	разновидности
çeşitleri	типы
çeşitleri	виды
çeşitleri	разновидностей
çeşitleri	типов
çeşitleri	сортов
başlangıcı	начало
kök	рут
kök	корень
kök	корни
üssü	база
üssü	основание
nesne	предмет
nesne	объект
nesne	предметы
nesne	объекта
nesne	объекты
nesne	объектов
tanımlanan	определена
tanımlanan	определены
tanımlanan	определено
tanımlanan	определен
noel	рождественская
noel	рождество
noel	рождественский
noel	рождества
oluşturuldu	создан
oluşturuldu	создана
oluşturuldu	созданный
oluşturuldu	создано
oluşturuldu	созданные
sözler	обещает
sözler	слов
sözler	обещания
sözler	слова
sözler	цитаты
finansal	финансовых
finansal	финансы
finansal	финансовая
finansal	финансовые
marka	брендинг
marka	бренда
marka	бренд
filipinler	филиппины
filipinler	филиппин
çocukluk	детства
çocukluk	детство
yaylası	плато
değerlendirme	обзоров
değerlendirme	рассмотрение
değerlendirme	обзора
değerlendirme	пересмотреть
değerlendirme	обзоры
değerlendirme	обзор
değerlendirme	отзывы
değerlendirme	оценка
burun	носовой
burun	морда
burun	носом
burun	нос
kıta	кита
kıta	континентах
kıta	континентальный
kıta	континент
kıta	континентов
kıta	континенте
kıta	континентального
girişi	входа
girişi	войти
girişi	вход
girişi	логин
gözlem	мониторинг
gözlem	контроль
gözlem	наблюдаю
gözlem	наблюдение
gözlem	замечание
gözlem	мониторинга
gözlem	наблюдения
tahran	тегеране
sancak	баннер
sancak	знамя
veriler	данных
veriler	данные
kurşun	пулю
kurşun	ведущие
kurşun	патроны
kurşun	маркеры
kurşun	пуля
kurşun	пули
kurşun	свинца
kurşun	свинец
kurşun	ведущая
yatay	горизонтальной
yatay	пейзаж
yatay	ландшафта
yatay	горизонтальные
yatay	горизонтально
yatay	ландшафт
yatay	горизонтали
ribaund	подборов
aileler	родители
aileler	родителям
aileler	семей
aileler	родителей
aileler	семьи
yöntemleri	методы
salon	холл
salon	зал
üzeri	над
üzeri	выше
pratik	практические
pratik	практика
pratik	практике
pratik	практических
pratik	практическая
pratik	тренироваться
varşova	варшава
varşova	варшаве
tersine	вспять
tersine	обратная
tersine	обратный
tersine	обратное
aksiyon	действий
aksiyon	действие
aksiyon	акция
aksiyon	меры
aksiyon	действия
felsefi	философские
mobil	мобильных
mobil	мобильные
mobil	мобильный
çam	пайн
ejderha	драконы
ejderha	драконов
ejderha	дракон
ejderha	дракона
lyon	лайонс
destekleyen	поддерживающие
destekleyen	поддержка
nefret	ненависть
nefret	ненавидел
nefret	неприязнь
nefret	ненавидела
nefret	ненавижу
nefret	ненавидеть
nefret	ненавистью
nefret	ненависти
nefret	ненавидели
yöneten	направленный
yöneten	направлены
yöneten	направленное
göçmen	иммиграции
göçmen	иммиграция
göçmen	мигранты
göçmen	иммигрантов
göçmen	мигрантов
ülkelere	стран
ülkelere	страны
cenaze	похороны
roket	ракета
roket	ракеты
prenses	принцессы
prenses	принцесса
beden	тело
beden	тела
beden	размер
beden	размеры
leyla	лайла
leyla	лейла
bellek	воспоминание
bellek	памяти
bellek	память
torunu	внучка
torunu	внук
torunu	внука
avusturyalı	австрийская
avusturyalı	австрийский
avusturyalı	австрии
fin	финляндии
başkanları	председатели
başkanları	президенты
başkanları	президентов
mızrak	спирс
mızrak	копье
mızrak	копья
mızrak	лэнс
buzul	ледникового
buzul	ледник
turkish	английский
turkish	английская
edebi	литературных
edebi	литературный
verici	передатчик
verici	донор
verici	донора
#şablon	#шаблон
dernek	ассоциации
dernek	братство
dernek	ассоциация
muhalefet	оппозиции
muhalefet	оппозиция
muhalefet	противодействие
muhalefet	противостояние
muhalefet	инакомыслие
muhalefet	несогласие
olasılık	возможности
olasılık	вероятность
olasılık	возможность
koro	хором
koro	хорового
koro	хор
denge	остаток
denge	баланс
denge	равновесия
denge	равновесие
risk	риски
bağlantıları	соединения
bağlantıları	связи
bağlantıları	ссылки
tehlike	опасности
tehlike	опасный
tehlike	опасность
antlaşma	договора
antlaşma	пакта
antlaşma	пакт
antlaşma	договор
balkanlar	балканах
balkanlar	балканского
balkanlar	балкан
tutar	держит
tutar	сумма
seçme	избранные
seçme	выделение
seçme	выбирая
seçme	выбираем
seçme	выбор
seçme	выбрать
seçme	выделенные
seçme	рекомендуемые
seçme	выберите
seçme	отбор
seçme	подборка
seçme	подбор
seçme	актуальное
seçme	отбора
kristal	кристаллы
kristal	кристалл
kristal	кристаллическая
kristal	кристал
nispeten	сравнительно
nispeten	относительно
manastır	эбби
manastır	аббатство
manastır	монастыри
manastır	монастырь
yüzme	плавание
yüzme	плавать
sofya	софии
sofya	софия
yahya	иоанн
yahya	джон
yılan	змеи
yılan	змей
yılan	змея
yayılan	излучает
dersler	уроки
dersler	классы
dersler	лекции
dersler	занятия
dersler	курсы
gittikçe	получаем
gittikçe	получение
gittikçe	получаю
güneye	южный
güneye	южной
güneye	южная
güneye	юг
kocası	муж
çarşamba	среда
çarşamba	среду
çarşamba	среды
şirketleri	компаний
şirketleri	компаниям
şirketleri	компании
yapıyor	делаю
yapıyor	делаешь
satranç	шахматы
vahşi	жестокой
vahşi	дикая
vahşi	дикий
vahşi	дикарь
vahşi	дикие
iniş	посадка
iniş	посадки
iniş	посадку
iniş	спуск
yakup	джейкоб
yakup	якоб
yakup	яков
yakup	иакова
katedrali	собор
kanıt	доказательство
kanıt	улика
kanıt	улики
kanıt	доказательства
kanıt	доказательств
korunması	защита
slovakya	словакия
slovakya	словакии
düşünür	мыслитель
evrim	эволюции
evrim	эволюционировали
evrim	эволюция
evrim	развиваться
düzensiz	незаконных
alfa	альфа
tedavisi	лечение
tedavisi	обращение
bükreş	бухаресте
yuvarlak	круглые
yuvarlak	круглая
yuvarlak	циркуляр
yuvarlak	раунд
cisim	объект
cisim	объекта
cisim	предмет
kullanıcıları	пользователи
kullanıcıları	пользователей
tütün	табак
bateri	бочки
bateri	барабаны
bateri	барабан
oksijen	кислород
oksijen	кислорода
ceylan	газель
eklenen	добавлены
eklenen	добавил
eklenen	добавлена
eklenen	добавлен
eklenen	добавлено
meryem	мария
meryem	мери
meryem	мариам
meryem	мадонна
meryem	маша
meryem	мэри
malezya	малайзии
malezya	малайзия
savaşlar	сражения
savaşlar	битв
savaşlar	войн
savaşlar	войны
savaşlar	битвы
geliştirmek	усилить
geliştirmek	улучшить
geliştirmek	развивающихся
geliştirmek	развивающиеся
geliştirmek	развивающаяся
geliştirmek	улучшать
yiğit	мужественный
yiğit	герой
yiğit	доблестный
lüksemburg	люксембург
lüksemburg	люксембурга
çeşme	фонтан
muhafaza	сохранение
muhafaza	сохранения
muhafaza	сохранять
matematikçi	математик
atış	съемка
atış	застрелил
atış	застрелен
atış	стрельба
atış	выстрелы
atış	выстрел
atış	подача
atış	кадр
atış	съёмки
adli	криминалисты
adli	экспертиза
tura	головы
tura	гастроли
tura	тур
tura	орёл
erik	сливы
western	вестерны
ölür	умирает
ölür	умрет
kiraz	вишни
kiraz	черри
yargı	суждение
adalar	островов
adalar	острова
misafir	гостей
misafir	гости
misafir	гость
kule	тауэр
kule	башня
astronomi	астрономии
skor	очко
skor	счет
skor	счёт
şimşek	гром
şimşek	молния
şimşek	молнии
genişliği	ширина
genişliği	ширину
burda	вот
burda	здесь
turistik	туристических
turistik	туристический
turistik	турист
adem	адама
adem	адам
kanser	рак
ayaklanma	бунт
ayaklanma	восстание
ayaklanma	мятеж
katılmak	участвовать
katılmak	присоединиться
katılmak	присоединение
katılmak	присоединяйтесь
tibet	тибетский
mekke	мекки
mekke	мекке
venezuela	венесуэлы
birincil	начального
birincil	первичные
birincil	начальное
kartaca	карфаген
yetişkin	взрослых
yetişkin	вырос
yetişkin	взрослая
yetişkin	взрослые
yetişkin	взрослый
ağız	рот
ağız	устно
ağız	устный
ağız	уста
ağız	устное
ağız	устные
meşe	дуба
meşe	оукс
meşe	дуб
hükümdar	монарх
hükümdar	суверенное
hükümdar	правитель
hükümdar	суверенного
hükümdar	суверенные
hediye	подарки
hediye	дары
hediye	подарок
hediye	настоящее
hediye	розыгрыш
hediye	дар
koşulları	условия
koşulları	термины
doğmuş	родился
doğmuş	родилась
izleme	отслеживание
izleme	мониторинг
izleme	контроль
izleme	наблюдение
izleme	отслеживания
izleme	просмотра
izleme	просмотр
izleme	мониторинга
sembolü	символ
tekstil	текстиль
tekstil	текстильной
eyüp	работа
şiirler	поэзия
şiirler	стихи
sayısız	бесчисленные
planlama	планирование
cumhuriyetçi	республиканский
cumhuriyetçi	республиканцы
cumhuriyetçi	республиканской
prodüksiyon	производство
prodüksiyon	производства
renkleri	цвета
oran	коэффициенты
oran	соотношение
oran	соотношения
oran	ставка
oran	оцените
hayali	вымышленный
hayali	воображаемый
mesajı	послание
mesajı	сообщение
mermer	мрамор
öldürür	убивает
hassas	чувствительные
hassas	чувствительный
hassas	точность
hassas	нежная
hassas	нежный
hassas	чувствительных
hassas	точности
hassas	нежные
frekans	частотность
frekans	периодичность
frekans	частота
modelleri	моделей
modelleri	модели
bavyera	баварский
bavyera	баварии
mayın	мины
mayın	шахты
mayın	мин
iz	отпечаток
kullanma	используя
kullanma	использование
girit	критская
girit	крит
kuyruklu	комета
kuyruklu	кометы
ilçeleri	округов
ilçeleri	районы
ilçeleri	округа
ilçeleri	районах
tercüme	перевести
tercüme	перевод
tercüme	переводить
bale	балет
versiyon	версия
versiyon	версии
yazık	жалко
yazık	позор
yazık	стыдно
yazık	стыд
yazık	жалость
yazık	жаль
boğaz	горло
boğaz	пролива
boğaz	горла
boğaz	пролив
boğaz	босфор
boğaz	босфора
tüfek	винтовка
tüfek	дробовик
tüfek	винтовку
tüfek	ружья
tüfek	винтовки
tüfek	ружье
birlikler	подразделения
birlikler	подразделений
birlikler	единицы
birlikler	войска
toz	пыль
toz	порошок
toz	порох
toz	порошки
toz	пыли
derleme	компиляция
derleme	компиляции
derleme	подборка
radyasyon	излучение
radyasyon	радиации
radyasyon	радиация
sözlüğü	словарь
miras	наследования
miras	наследство
miras	наследия
miras	наследие
miras	наследование
tatil	праздники
tatil	отдых
tatil	праздником
tatil	отпуск
tatil	каникулы
tatil	праздник
intikam	мести
intikam	расплата
intikam	месть
tasarlanmış	разработан
tasarlanmış	предназначенные
tasarlanmış	разработано
elle	руководство
elle	вручную
dk	мин
çaba	усилия
çaba	усилие
çaba	стремиться
çaba	стремление
haydar	гейдара
polonyalı	польский
polonyalı	польши
polonyalı	польская
evler	дома
hücum	обвинение
hücum	наступательных
hücum	наступление
hücum	оскорбительно
hücum	заряд
büyüme	растущей
büyüme	рост
büyüme	растущая
büyüme	растет
büyüme	растущий
büyüme	роста
yaratıcı	оформление
yaratıcı	создатель
yaratıcı	творческих
yaratıcı	творческая
yaratıcı	творец
yaratıcı	творческий
çavuş	сержант
çanak	блюдо
kutup	полярных
kutup	полярности
kutup	арктике
kutup	столб
kutup	полюс
farklılık	отличие
farklılık	различия
farklılık	разница
farklılık	разнообразия
farklılık	различие
farklılık	многообразие
farklılık	разнообразие
kazım	казим
zorla	сила
zorla	силу
zorla	принудительные
zorla	принудительного
zorla	принудительный
zorla	силы
zorla	усилие
sıcaklığı	тепло
sıcaklığı	тепла
sıcaklığı	температуру
sıcaklığı	температуры
sıcaklığı	температура
hacmi	объём
hacmi	громкость
hacmi	объем
oluşumu	формирования
oluşumu	формирование
boyun	шею
boyun	шея
oblastı	область
yazmak	пишу
yazmak	писать
yazmak	написание
çıkışı	выезд
çıkışı	выход
soy	роб
soy	ограбить
avustralyalı	австралийский
avustralyalı	австралии
avustralyalı	австралийская
avustralyalı	оззи
artistik	художественные
artistik	художественный
artistik	художественная
artistik	художественных
çıkmaya	свидания
çıkmaya	свидание
çıkmaya	знакомства
boru	трубка
boru	трубку
boru	трубы
boru	труба
form	форм
form	бланки
form	формах
form	формы
başak	дева
başak	девы
bitti	над
bitti	завершена
bitti	сделано
bitti	закончили
bitti	завершено
bitti	закончил
yemekler	питание
yemekler	еды
yemekler	блюда
yemekler	посуду
yemekler	продовольствие
yemekler	продовольственной
yemekler	пища
yemekler	посуда
yemekler	еда
körfez	бей
körfez	залива
körfez	залив
körfez	бэй
kazı	копать
kazı	раскопки
durumlar	ситуации
durumlar	статусы
atlet	спортсмен
elverişli	удобная
elverişli	благоприятная
elverişli	удобное
elverişli	удобный
elverişli	удобно
elverişli	благоприятные
elverişli	благоприятный
seyit	саид
seyit	сайед
banka	банки
banka	банка
banka	банк
banka	бэнкс
fazlası	излишков
fazlası	излишки
fazlası	избыток
daima	всегда
marşı	гимн
biyoloji	биологии
biyoloji	биология
lizbon	лиссабон
tamamlandı	завершил
tamamlandı	завершена
tamamlandı	полная
tamamlandı	закончили
tamamlandı	завершен
tamamlandı	завершено
tamamlandı	полный
tamamlandı	завершить
tamamlandı	закончил
çağrı	позвонить
çağrı	звонок
çağrı	звонить
çağrı	призвание
çağrı	повестка
çağrı	звоните
oynuyor	играет
oynuyor	играю
oynuyor	пьесы
irlandalı	ирландии
irlandalı	ирландец
irlandalı	ирландский
bağlar	облигации
bağlar	связи
bağlar	ссылки
bağlar	соединения
dinamik	динамично
dinamik	динамики
dinamik	динамические
dinamik	динамика
dinamik	динамических
şarap	вино
şarap	вина
şarap	вин
uygundur	подходящие
uygundur	подходит
uygundur	подходящих
uygundur	подходящее
uygundur	подходящий
hedefi	цель
hedefi	гол
vektör	вектор
ender	редко
ender	редкие
ender	редкий
ender	редкая
ender	редкость
soylu	благородных
soylu	благородный
soylu	благородная
soylu	благородные
soylu	благородно
bilişim	информатики
ateşi	лихорадка
ateşi	жар
pay	порция
dua	молитву
dua	молится
dua	помолиться
dua	молитва
dua	молитвы
dua	молись
dua	молиться
brüksel	брюссель
brüksel	брюсселе
berabere	галстук
berabere	привязана
berabere	ничья
ortaçağ	средневековой
çekimleri	спряжения
bodrum	подвал
bodrum	подвале
yazıldı	написано
yazıldı	письменный
yazıldı	письменные
yazıldı	письменное
mimarisi	архитектуры
mimarisi	архитектура
kazananlar	победители
kazananlar	победителей
partiler	стороны
partiler	вечеринки
partiler	партии
seksen	восемьдесят
kabile	племя
kabile	племени
kabile	племен
semt	окрестности
semt	район
semt	районе
semt	округ
dayanışma	солидарности
dayanışma	солидарность
kurumları	учреждения
kurumları	институты
kahve	кофе
hamur	тесто
gizlice	тайно
gizlice	тайком
gizlice	втайне
taç	корону
taç	тиара
taç	короны
taç	тадж
taç	крон
taç	корона
tanım	описание
tanım	определение
kurul	правление
kurul	доска
kurul	комитета
kurul	комитет
kaba	грубый
kaba	грубая
kaba	грубо
kaba	жесть
tartışmalı	спорные
tartışmalı	спорных
tartışmalı	спорный
bomba	бомбы
bomba	бомба
endülüs	андалусии
görünüyor	смотрю
görünüyor	выглядит
görünüyor	ищу
görünüyor	смотрится
görünüyor	появляется
batıya	запад
batıya	вест
batıya	западная
batıya	западный
batıya	уэст
adaylığı	номинации
adaylığı	назначение
adaylığı	выдвижение
adaylığı	кандидатура
adaylığı	кандидатуру
kemik	кость
kemik	костей
kemik	кости
görme	просмотр
görme	видение
görme	просмотра
görme	зрение
yönü	направление
yönü	аспект
diyor	говорит
göçebe	странник
göçebe	кочевников
üretici	производители
üretici	изготовителем
üretici	производителей
üretici	производитель
üretici	продюсер
üretici	изготовитель
yüzbaşı	капитан
balıklar	рыб
balıklar	рыба
balıklar	рыбка
balıklar	рыбы
fırsat	возможность
fırsat	возможности
sparta	спарты
temin	заверить
çevirisi	перевод
direk	прямая
direk	прямые
direk	директ
direk	непосредственно
direk	столб
direk	полюс
direk	напрямую
letonya	латвии
letonya	латвия
kazak	казак
kazak	свитер
gel	приходите
gel	приходи
cenevre	женева
cenevre	женевская
kurtarmak	экономия
kurtarmak	спасение
kurtarmak	сохранение
alkol	алкоголь
alkol	спирт
koalisyon	коалиция
koalisyon	коалиции
koalisyon	коалицию
koalisyon	коалиций
çatı	кровли
çatı	крыши
çatı	крыша
çatı	крышу
çatı	крыше
başvuru	заявка
başvuru	применения
başvuru	применение
dinler	религий
dinler	слушает
dinler	религии
katılımcı	участвующие
katılımcı	участница
katılımcı	участников
katılımcı	участвовавшие
katılımcı	участвующих
katılımcı	участником
katılımcı	участника
katılımcı	участник
mutfağı	кухня
boz	гризли
kategorisi	категории
kategorisi	категория
demirci	смит
demirci	кузнец
demirci	смита
yönlü	разносторонний
yönlü	направленная
yönlü	направленный
yönlü	направленное
ingilizler	англичан
ingilizler	британские
ingilizler	британцы
ingilizler	великобритании
ingilizler	британское
ingilizler	британская
ingilizler	британский
salvador	сальвадора
atilla	аттила
lazer	лазер
lazer	лазеры
arnavut	албанцев
seçimler	избрание
seçimler	выборы
saç	волосы
saç	волос
saç	прическа
saç	причёска
dost	дружеские
dost	подруга
dost	дружественных
dost	друг
dost	друга
dost	дружелюбный
şeref	слава
şeref	славу
şeref	честь
görevler	ролях
görevler	вакансии
görevler	миссии
görevler	миссий
görevler	задания
görevler	квесты
görevler	роли
görevler	задачи
aslen	изначально
aslen	первоначально
afyon	мака
afyon	поппи
yüksel	возникнуть
yüksel	подъем
yüksel	восхождение
sattı	продал
sattı	продан
sattı	продано
sattı	продается
sattı	продана
silahlar	пушки
silahlar	вооружений
silahlar	руки
silahlar	оружие
silahlar	пистолеты
dönüm	переходя
daimi	постоянное
daimi	постоянный
daimi	постоянные
daimi	постоянная
itü	мсэ
kanuni	юридическая
kanuni	правовой
kanuni	правовая
kanuni	юридический
açılır	открывает
açılır	открывается
açılır	откроется
lefkoşa	никосии
eşittir	равные
eşittir	равный
eşittir	равных
eşittir	равное
eşittir	равно
eşittir	равен
eşittir	равная
reform	реформы
reform	реформации
reform	реформирование
reform	реформа
reform	реформирования
cüneyt	рамиз
mareşal	маршалл
mareşal	маршал
saygılar	уважать
saygılar	респект
saygılar	уважает
saygılar	уважаю
saygılar	уважение
estetik	эстетических
