در	ドア
آقا	サー
موفقیت	サクセス
موفقیت	成功
قالب	書式
قالب	フォーマット
امضا	調印
امضا	サイン
امضا	署名
امضا	記号
ارومیه	オルーミーイェ
عمده	卸売
عمده	メジャー
عمده	少佐
عمده	バルク
عمده	専攻
امارات	エミレーツ
توکیو	東京
دعوت	招聘
دعوت	招待
نامزدهای	ノミネート
لقب	ニックネーム
لقب	愛称
فرار	エスケープ
فرار	脱出
صفحات	ページ
آوردن	持ち込み
آوردن	ブリング
سود	営利
سود	給付
سود	利益
سود	収益
باد	バド
سقوط	落下
سقوط	落ちる
سقوط	クラッシュ
اصطلاح	用語
اصطلاح	熟語
الگوریتم	アルゴリズム
طبیعت	自然
طبیعت	ネイチャー
ایندیانا	インディアナ
گشت	斥候
گشت	パトロール
نوازندگان	ミュージシャン
نوازندگان	オーケストラ
حقیقت	真実
حقیقت	真理
مسلمان	イスラム教
مسلمان	ムスリム
صفر	ゼロ
تجهیزات	機材
تجهیزات	道具
تجهیزات	機器
تجهیزات	装備
یزد	ヤズド
خطر	危険
خطر	リスク
فرض	就任
فرض	想定
هواپیما	飛行機
معاون	バイス
فرمان	注文
فرمان	指揮
فرمان	コマンド
فرمان	入札
فرمان	オーダー
فرمان	命令
فدراسیون	連邦
تجربه	エクスペリエンス
تجربه	経験
تجربه	体験
آزمایش	テスト
آزمایش	実験
مسیحی	キリスト教
مسیحی	クリスチャン
مسیحی	キリスト教徒
متصل	コネクト
متصل	接続
غذایی	料理
غذایی	食べ物
غذایی	ディッシュ
غذایی	食事
غذایی	食品
امید	期待
امید	ホープ
امید	希望
کالج	カレッジ
کالج	大学
ساحل	ビーチ
ساحل	砂浜
خبری	ニュース
اندونزی	インドネシア
عزیز	アジズ
عزیز	アズィーズ
عزیز	ディア
بلغارستان	ブルガリア
مطلب	冠詞
مطلب	記事
مطلب	イシス
مطلب	ハガー
زرد	黄色
زرد	イエロー
تجارت	商業
تجارت	トレード
تجارت	コマース
تجارت	ビジネス
تجارت	取引
تجارت	貿易
تجارت	事業
تجارت	営業
ذخیره	店舗
ذخیره	セーブ
ذخیره	ストレージ
ذخیره	リザーブ
ذخیره	ストア
ذخیره	保存
دودمان	王朝
پوست	スキン
پوست	皮膚
برچسب	タグ
برچسب	ラベル
کلرادو	コロラド
رقص	ダンス
رقص	ダンシング
رقص	踊り
رقص	踊る
فی	フェイ
فی	ファイ
دانشگاهی	アカデミック
دانشگاهی	カレッジ
دانشگاهی	大学
روسی	ロシア
روسی	ロッシ
جرج	ジョージ
علاقه	利息
علاقه	利子
آشنا	おなじみ
آشنا	コンタクト
فنلاند	フィンランド
جلو	フォワード
جلو	転送
جلو	前面
جلو	表側
جلو	フロント
جلو	進む
عضویت	会員
جبهه	前面
جبهه	フロント
جبهه	表側
تابستان	サマー
معدنی	鉱物
سد	ダム
مدرک	証明
مدرک	プルーフ
مدرک	証拠
اختصاص	シングルス
نفوذ	影響
نفوذ	潜入
نفوذ	影響力
نفوذ	ハッキング
عقب	戻る
عقب	背中
عقب	後ろ
عقب	裏側
سرباز	非公開
سرباز	兵隊
سرباز	兵士
سرباز	プライベート
خشک	ドライ
خشک	乾燥
خشک	辛口
فراوان	豊富
تاثیر	影響
تاثیر	影響力
اگرچه	だけれども
احساس	気持ち
احساس	感情
احساس	フェルト
احساس	フィール
احساس	感じる
احساس	気分
احساس	フィーリング
ادوارد	エドワード
برنز	ブロンズ
برنز	バーンズ
برنز	青銅
برنز	やけど
خرید	買う
خرید	ショッピング
خرید	買物
خرید	購入
خرید	買い物
خرید	ショップ
قاره	大陸
شاخه	ブランチ
شاخه	支部
شاخه	支店
شاخه	支社
قطعه	線分
قطعه	ピース
قطعه	セグメント
دیوار	ウォール
مترجم	インタプリタ
مترجم	翻訳
مترجم	通訳
روایت	ストーリー
روایت	物語
اعدام	処刑
اعدام	執行
اعدام	実行
روح	幽霊
روح	スピリット
روح	ゴースト
روح	精神
روح	お化け
درگاه	港湾
درگاه	ポート
امتیاز	得点
امتیاز	ポイント
امتیاز	スコア
پیشرفت	振興
پیشرفت	プログレス
پیشرفت	進捗
پیشرفت	経過
روحانی	スピリチュアル
مخصوص	スペシャル
منفی	ネガ
منفی	マイナス
منفی	ネガティブ
نکته	メモ
نکته	ヒント
نکته	ノート
نکته	チップ
نکته	ポイント
گیاهی	植物
گیاهی	プラント
سهام	株式
سهام	シェア
سهام	ストック
پرنده	バード
پرنده	鳥類
برلین	ベルリン
تفسیر	解釈
تفسیر	通訳
تفسیر	解説
درود	祝福
درود	あいさつ
درود	挨拶
ولز	ウェールズ
ولز	ウェルシュ
ولز	ウェルズ
کانال	運河
کانال	チャネル
کانال	チャンネル
کانال	海峡
هرچند	しかしながら
هرچند	だけれども
اسناد	文書
اسناد	ドキュメント
اسناد	書類
داریوش	ダリウス
داریوش	ダレイオス
توضیحات	コメント
دقت	解像度
دقت	正確性
دقت	精度
روزهای	日数
چارلز	シャルル
دامنه	ドメイン
دامنه	振幅
دامنه	範囲
دامنه	スコープ
نجات	レスキュー
نجات	救助
نجات	保存
مفید	役に立つ
مفید	有益
مفید	役立つ
مارتین	マーチン
مارتین	マーティン
میسیسیپی	ミシシッピ
مهاجم	ストライカー
رکوردز	レコード
نماد	シンボル
نماد	記法
نماد	記号
نماد	表記
تصویری	ビジュアル
تکمیل	竣工
تکمیل	コンプリート
تکمیل	完備
تکمیل	補完
تکمیل	修了
تکمیل	完成
قهرمانان	チャンピオン
قهرمانان	ヒーローズ
قهرمانان	チャンピオンズ
نبراسکا	ネブラスカ
وظیفه	義務
زادروز	バースデー
زادروز	生年月日
آکادمی	アカデミー
ارسال	送信
ارسال	送る
دیدار	出会い
دیدار	会う
دیدار	会議
دیدار	ミーティング
دیدار	遭遇
فضا	空間
فضا	スペース
عکاسی	撮影
عکاسی	写真
توماس	トーマス
توماس	トマス
صادق	正直
انگلیس	イギリス
پیوست	取り付ける
پیوست	付録
پیوست	愛着
پیوست	差押え
پیوست	添付
موسی	ムサ
موسی	モーゼ
موسی	モーゼス
پای	パイ
پای	フィート
مثبت	陽性
مثبت	ポジティブ
ارتباطات	コミュニケーション
ارتباطات	つながり
ارتباطات	通信
ارتباطات	接続
فراوانی	豊富
جراحی	手術
سابقه	前例
سابقه	判例
سابقه	先例
مدافع	ディフェンダー
مس	真鍮
قرارداد	議定書
قرارداد	契約
قرارداد	合意
قرارداد	プロトコル
قرارداد	協定
قلب	心臓
قلب	ハート
دارایی	資産
دارایی	プロパティ
دارایی	財産
دارایی	アセット
بهداشت	衛生
بهداشت	健康
بابل	バビロン
بابل	バベル
شبه	疑似
نشست	セッション
ظرفیت	定員
ظرفیت	容量
درک	デレク
درک	デレック
آلن	アレン
آلن	アラン
مسیحیت	キリスト教
تاجیکستان	タジキスタン
پیتر	ピーター
پیتر	ペーター
متال	メタル
متال	金属
مسکو	モスクワ
رومی	瑠美
رومی	ローマン
رومی	ロマン
رومی	ローマ
رومی	るみ
سرویس	サービス
شاهزاده	プリンス
ملک	不動産
ملک	プロパティ
ملک	財産
سرمایه	資本
سرمایه	キャピタル
سرمایه	首都
احترام	敬意
احترام	尊敬
احترام	リスペクト
احترام	尊重
الکترونیک	エレクトロニクス
الکترونیک	エレクトロニック
رقابت	コンテスト
رقابت	コンペティション
رقابت	コンペ
رقابت	競争
رقابت	競技
کلید	キー
کهن	古代
نیم	半分
نیم	ニム
نیم	ハーフ
شیرین	スウィート
شیرین	甘い
بد	バッド
بد	悪い
بوشهر	ブーシェフル
سان	太陽
سان	サン
شاخص	インデックス
شاخص	インジケータ
شاخص	索引
خواندن	読書
خواندن	読み込み
خواندن	読み取り
خواندن	読む
خواندن	読み
اسب	ウマ
زیبایی	美容
زیبایی	美女
زیبایی	美人
هافبک	ミッドフィールダー
حذفی	プレイオフ
حذفی	プレーオフ
حافظه	メモリ
حافظه	記憶
حافظه	メモリー
حافظه	思い出
مقیاس	縮尺
مقیاس	目盛
مقیاس	スケール
مکتب	スクール
مکتب	学校
مارک	マルク
مارک	マーク
معمولی	ノーマル
معمولی	共通
معمولی	普通
اهداف	ゴール
اهداف	目標
اهداف	ターゲット
درد	疼痛
درد	痛み
درد	ペイン
کارکنان	社員
کارکنان	人材
کارکنان	職員
فتح	征服
فتح	勝利
لوئیزیانا	ルイジアナ
هواپیمای	飛行機
هواپیمای	航空機
اعتماد	トラスト
اعتماد	信頼
الان	ナウ
ریز	ちび
ریز	ちっちゃい
ریز	小さい
ریز	タイニー
ماند	滞在
درمانی	セラピー
درمانی	ヒーリング
درمانی	治療
حالا	ナウ
خودکار	オートマチック
خودکار	自動
خودکار	オート
اطلاع	通知
نشریه	日記
نشریه	ジャーナル
ظاهری	外側
خانم	ミス
کتابی	ブック
کتابی	書物
خارجه	外国
سنگی	ストーン
سنگی	ロック
پیمان	条約
سلیمان	スレイマン
سلیمان	スライマーン
سلیمان	ソロモン
اهواز	アフヴァーズ
انتظار	待ち
آلاسکا	アラスカ
پیر	オールド
پیر	古い
پیر	ピエール
کمپانی	会社
ناصر	ナーセル
بتن	コンクリート
پستی	ポスト
پستی	投稿
پستی	ポスタル
تاج	クラウン
افتخار	名誉
افتخار	誇らしい
افتخار	自慢
افتخار	誇り
فلسطین	パレスチナ
بازسازی	リニューアル
بازسازی	リフォーム
بازسازی	再建
غار	洞窟
تخریب	破壊
تخریب	解体
فیزیکی	物理
فیزیکی	フィジカル
موسسه	機関
موسسه	研究所
موسسه	制度
موسسه	設立
موسسه	施設
موافقت	賛成
موافقت	合意
موافقت	同意
گرجستان	ジョージア
گرجستان	グルジア
پاک	純粋
پاک	きれい
پاک	クリーン
پاک	ピュア
نیروگاه	植物
نیروگاه	プラント
آمدن	来る
آمدن	カミング
پردازش	加工
پردازش	処理
اعتقاد	信仰
اعتقاد	信念
کامپیوتر	コンピュータ
کامپیوتر	コンピューター
ویژگی	特徴
ویژگی	機能
ویژگی	財産
ویژگی	フィーチャー
ویژگی	プロパティ
وسایل	機材
وسایل	道具
وسایل	機器
وسایل	装備
کارخانه	工場
قرضی	債務
منچستر	マンチェスター
ساختن	建物
ساختن	メイキング
ساختن	構築
غیره	その他
قوی	濃い
قوی	強い
خالی	空欄
خالی	ブランク
خالی	空っぽ
گنبد	ドーム
فرانک	フランク
اعتراض	異議
اعتراض	抗議
رسانه	メディア
میلان	ミラノ
صربستان	セルビア
تکرار	反復
تکرار	繰り返し
تکرار	繰り返す
پرو	ペルー
پرو	プロ
رشت	ラシュト
اعتبار	クレジット
اعتبار	評判
اعتبار	信用
خودکشی	自殺
امروزی	モダン
اکشن	アクション
مرغ	ニワトリ
مرغ	チキン
مرغ	鶏肉
خوش	ハッピー
خوش	幸せ
امنیتی	セキュリティー
امنیتی	セキュリティ
میزوری	ミズーリ
بخار	スチーム
بخار	蒸気
برداشت	収穫
شناسه	識別子
سنی	年齢
مصطفی	ムスタファ
پژوهش	リサーチ
پژوهش	研究
مین	ミン
مین	メイン
محاسبه	算定
محاسبه	計算
ویتنام	ベトナム
سپاس	賛美
سپاس	感謝
سپاس	賞賛
بازداشت	留置
بازداشت	勾留
بازداشت	逮捕
بازداشت	拘禁
بازداشت	収容
بایرن	バイエルン
آسمان	天国
آسمان	スカイ
جنگل	フォレスト
جنگل	森林
جنگل	ジャングル
عادی	ノーマル
عادی	普通
منتقدان	評論家
برادران	ブラザーズ
برادران	兄弟
حاوی	含む
انبار	倉庫
انبار	納屋
انبار	ストレージ
انبار	バーン
وین	ウェイン
استونی	エストニア
تأیید	検証
تأیید	認証
تأیید	確認
گری	灰色
گری	グレイ
گری	グレー
جکسون	ジャクソン
جواب	答え
جواب	答弁
جواب	回答
خودم	自分
توپ	ボール
احداث	シナリオ
دیدن	見る
دیدن	訪問
آریزونا	アリゾナ
دوربین	カメラ
آشنایی	導入
آشنایی	紹介
کلیه	腎臓
میر	メイヤー
میر	マイヤー
میر	ミール
فیلیپین	フィリピン
کیلوگرم	キログラム
مردمان	ピープル
محکوم	受刑者
خالص	純粋
خالص	独占
خالص	ピュア
میزبان	主催
میزبان	ホスト
هنگ	連隊
هنگ	ホン
وسط	ミドル
وسط	真ん中
متغیر	可変
متغیر	変数
مدرس	教師
مدرس	教員
مدرس	マドラス
مدرس	講師
مدرس	インストラクター
مراکش	マラケシュ
مراکش	モロッコ
خواهر	シスター
خواهر	姉妹
جستجوی	検索
آهنگساز	作曲家
بودجه	予算
شنای	競泳
شنای	泳ぐ
شنای	泳ぎ
شنای	水泳
شنای	スイミング
گذشت	合格
پرتاب	打ち上げ
پرتاب	起動
پرتاب	投げる
دستگیر	キャプチャー
دستگیر	キャプチャ
دستگیر	逮捕
دستگیر	攻略
قلبی	心臓
قلبی	ハート
مؤثر	実効
تشکر	鑑賞
نیو	新規
نیو	新しい
نیو	ネオ
خروجی	アウトプット
خروجی	出力
جدی	深刻
الکساندر	アレクサンダー
الکساندر	アレクサンドロス
الکساندر	アレキサンダー
ترکیبی	コンビネーション
ترکیبی	組み合わせ
مولی	モリー
غذا	料理
غذا	食品
غذا	食べ物
آیین	信条
آیین	教義
آیین	儀式
موشک	ミサイル
موشک	ロケット
جستجو	検索
تماس	通話
تماس	コール
تماس	コンタクト
پنجمین	フィフス
نقض	違反
اتصال	コネクト
اتصال	つながり
اتصال	接続
سنگین	重い
سنگین	ヘビー
اشغال	忙しい
اشغال	占領
اشغال	職業
اشغال	ビジー
رودهای	河川
پروانه	チョウ
پروانه	バタフライ
واژگان	語彙
موضوعات	トピック
ریاضیات	数学
جزء	部分
جزء	パート
عنصر	元素
عنصر	要素
عنصر	エレメント
گینه	ギニア
امکانات	設備
امکانات	施設
امکانات	可能性
اجماع	合意
تصرف	占有
تصرف	所持
سالن	サロン
ترسناک	怖い
ترسناک	ホラー
تمدن	文明
تمدن	文化
تمدن	カルチャー
رییس	ボス
سفارت	大使館
بهشت	庭園
بهشت	パラダイス
بهشت	楽園
جک	ジャッキ
جک	ジャック
سناتور	議員
دیجیتال	デジタル
بیمار	病気
بیمار	患者
هسته	原子核
هسته	コア
هسته	カーネル
هسته	原子力
نمایشگاه	展示
نمایشگاه	ショールーム
یوسف	ヨセフ
حمام	入浴
حمام	浴室
حمام	トイレ
حمام	風呂
عصبی	緊張
عصبی	ヒステリック
عصبی	神経質
حیوانات	動物
حیوانات	アニマル
مایع	液体
مایع	流体
اشکال	バグ
اشکال	不具合
میز	テーブル
میز	デスク
مکانیک	力学
مکانیک	メカニック
خواست	求む
بالغ	大人
بالغ	成人
جالب	興味深い
جالب	面白い
جالب	おもしろい
چوب	スティック
چوب	木製
چوب	ウッド
چوب	木材
مالزی	マレーシア
مجمع	組み立て
مجمع	アセンブリ
مجمع	集会
تکثیر	複製
تکثیر	乗算
تکثیر	重複
میانگین	意地悪
میانگین	平均
ظهور	アドベント
ظهور	出現
قطعات	パーツ
قطعات	部品
قطعات	コンポーネント
تابلوی	パネル
حملات	攻撃
نرخ	レート
نرخ	評価
رمانتیک	ロマンス
رمانتیک	ロマンチック
قول	約束
اتمی	アトミック
اتمی	原子
گرایش	トレンド
گرایش	姿勢
گرایش	傾向
گرایش	態度
گرایش	流行
حداکثر	最大
حداکثر	トップス
پادشاهان	キングス
گویش	方言
سوخت	火傷
سوخت	燃料
سوخت	やけど
سوخت	焼き
حلقه	ループ
حلقه	リング
حلقه	指輪
یوتا	ユタ
یوتا	イオタ
سیمرغ	フェニックス
مربی	コーチング
مربی	コーチ
مربی	トレーナー
هری	ハリー
پیوسته	連続
اندکی	リトル
اندکی	小さい
حادثه	アクシデント
حادثه	事故
حادثه	災害
الیور	オリヴァー
الیور	オリバー
مراحل	ステージ
مراحل	プロセス
مراحل	舞台
مراحل	過程
حاجی	土師
حاجی	ハジ
اطلس	アトランティック
اطلس	大西洋
اطلس	アトラス
سوره	チャプター
نامگذاری	命名
نامگذاری	呼称
ابتدایی	メイン
ابتدایی	プライマリ
ابتدایی	小学校
پیامبر	メッセンジャー
مهندس	エンジニア
مجوز	許諾
مجوز	免許
مجوز	許可
مجوز	ライセンス
محتوای	内容
محتوای	コンテンツ
ستون	カラム
درگیری	紛争
درگیری	競合
درگیری	コンフリクト
درگیری	関与
درگیری	対立
مایل	マイル
مادرید	マドリード
مادرید	マドリッド
جورج	ジョージ
اختلال	無秩序
قضیه	定理
اردبیل	アルダビール
مسیحیان	キリスト教徒
طراح	デザイナー
طراح	プランナー
خروج	出口
خروج	終了
سربازان	兵士
آشپزی	料理
آشپزی	クッキング
آشپزی	調理
آشپزی	クック
آشپزی	コック
خواجه	宦官
رفع	フィックス
رفع	解消
رفع	修正
رفع	解決
سوپر	スーパー
مقامات	当局
جوانی	ユース
جوانی	青春
جوانی	若者
جوانی	青年
الکترونیکی	エレクトロニック
مصاحبه	インタビュー
مصاحبه	面接
لوله	パイプ
لوله	チューブ
روزی	ロージー
روزی	一日
پایدار	安定
پایدار	パーマネント
گرچه	だけれども
حوادث	災害
حوادث	イベント
حوادث	事故
حوادث	行事
ادعا	主張
ادعا	取得
ادعا	債権
دربار	コート
دربار	法廷
دربار	裁判所
ارزیابی	格付
ارزیابی	評定
ارزیابی	評価
ارزیابی	査定
زنی	女性
مسئولیت	責任
مسئولیت	責務
خواب	睡眠
خواب	ドリーム
خواب	スリープ
خواب	眠る
وزیران	公使
وزیران	大臣
قلم	ペン
قلم	フォント
مشاهیر	有名人
قاضی	ジャッジ
قاضی	裁判官
زاهدان	ザーヘダーン
دم	尾翼
دم	ダム
دم	しっぽ
روغن	石油
روغن	オイル
نر	男性
نر	オス
برگ	葉っぱ
برگ	ベルク
ملکه	クイーン
ملکه	女王
ملت	国民
ملت	ネーション
کابل	カブール
کابل	針金
کابل	電線
کابل	ケーブル
کابل	ワイヤ
کابل	ワイヤー
پذیرش	入園
پذیرش	入場
پذیرش	受付
پذیرش	受け入れる
پذیرش	承諾
پذیرش	受入れ
پذیرش	承認
پذیرش	レセプション
پذیرش	披露宴
پذیرش	受け入れ
پذیرش	入学
مد	ファッション
فینال	ファイナル
رویداد	イベント
رویداد	行事
کریم	カリム
لینک	リンク
آرتور	アーサー
پایانی	エンディング
پایانی	ファイナル
پایانی	決勝
پایانی	最終
چهره	テーマ
چهره	フェイス
یادبود	モニュメント
یادبود	追悼
یادبود	記念碑
تکنولوژی	技術
تکنولوژی	テック
تکنولوژی	テクノロジー
جمعه	金曜日
جمعه	フライデー
درگیر	交戦
وسطی	ミドル
وسطی	真ん中
نامی	ナミ
دارو	ドラッグ
دارو	医学
دارو	薬物
کوچکی	スモール
کوچکی	小さい
کوچکی	小さな
کوچکی	マイナー
مدارس	学校
مدارس	流派
ایوان	イヴァン
ایوان	エヴァン
ایوان	イワン
ایوان	エバン
نوار	テープ
سخنرانی	スピーチ
سخنرانی	教本
سخنرانی	講演
سخنرانی	講義
سخنرانی	音声
کربن	炭素
نقاش	画家
نمای	表示
نمای	見る
نمای	ビュー
مک	マック
ذهن	マインド
گلستان	ロザリオ
ماری	メアリ
ماری	メアリー
کوچه	裏通り
کوچه	路地
دروازه	ゲート
بازرگانی	商業
بازرگانی	商人
بازرگانی	コマース
بازرگانی	マーチャント
نادر	レア
تجزیه	分解
تجزیه	腐敗
تهدید	脅迫
تهدید	威嚇
تهدید	脅威
مونتانا	モンタナ
انتقاد	批評
انتقاد	評論
انتقاد	批判
کپی	コピー
سلامت	平和
سلامت	ピース
سلامت	健康
سلامت	安全
سلامت	セーフティ
طایفه	氏族
ابزارهای	ツール
ابزارهای	道具
صبح	モーニング
ذرات	パーティクル
ذرات	粒子
خداوند	ゴッド
حروف	手紙
شاهد	証人
تور	トール
تور	ネット
تور	トゥール
تور	ツアー
کشتار	虐殺
کشتار	屠殺
خانوادگی	家族
سیاستمدار	政治家
تلفظ	発音
گذر	トランジット
گذر	パス
گذر	合格
نهادهای	機関
مالکیت	占有
مالکیت	プロパティ
مالکیت	財産
مالکیت	所持
معین	固定された
معین	固定
تایلند	タイ
صدر	宰相
شکار	狩り
شکار	ハンティング
شکار	狩猟
راهنمایی	ヒント
بایگانی	ファイリング
بایگانی	書庫
بایگانی	アーカイブ
گره	引き分け
گره	ネクタイ
گره	ノード
گره	結び目
سختی	困難
سختی	難しい
تغذیه	栄養
تغذیه	フィード
هویت	アイデンティティー
هویت	アイデンティティ
هویت	ホイト
منصور	マンスール
شورش	暴動
شورش	反乱
اراک	アラック
عمدتاً	主に
خاطرات	思い出
جانشین	後継
سالانه	年次
مشکلی	問題
شغل	ジョブ
شغل	キャリア
شغل	経歴
شغل	仕事
شغل	職業
لشکر	軍隊
لشکر	アーミー
لشکر	陸軍
اکثریت	過半数
اساطیر	神話
ابعاد	サイズ
ابعاد	寸法
منطقی	論理
متهم	被告
متهم	被告人
میل	欲望
میل	ミル
زلزله	地震
اندیشه	反映
گراف	グラフ
پیوندهای	リンク
صامت	無音
صامت	サイレント
فولاد	スチール
فولاد	鋼鉄
پویانمایی	アニメーション
پویانمایی	アニメイト
ارتباطی	コミュニケーション
ارتباطی	通信
کلمات	単語
کلمات	言葉
زندانی	囚人
زندانی	捕虜
پنهان	隠し
پنهان	ヒデ
پنهان	隠す
تایید	確認
استخراج	エキス
استخراج	吸い出し
استودیو	スタジオ
رژیم	政権
رژیم	ダイエット
رژیم	国会
رژیم	献立
سند	文書
سند	ドキュメント
سند	砂塵
سند	書類
هتل	ホテル
کانون	焦点
کانون	フォーカス
بیرونی	外側
شیکاگو	シカゴ
رها	離れる
کمیسیون	コミッション
کمیسیون	委嘱
کمیسیون	手数料
مرجع	参照
مرجع	参考
مرجع	リファレンス
نیازی	要件
بازیگری	演技
ارجاع	参照
ارجاع	参考
ارجاع	リファレンス
نسبتاً	そこそこ
سلول	セル
پلی	ブリッジ
پلی	ポリ
دکتری	医師
دکتری	先生
دکتری	ドクター
دکتری	医者
ناوبری	ナビゲーション
ناوبری	航法
موزیکال	ミュージカル
دختران	ガールズ
ضعیف	弱い
حاشیه	余白
حاشیه	マージン
حاشیه	リム
کویت	クウェート
روانی	サイコ
فن	ファン
درس	レッスン
درس	教訓
درس	授業
کنگ	コング
کنگ	カン
تمشک	ラズベリー
تامین	供給
تامین	サプライ
اعراب	ベドウィン
اعراب	砂漠
اعراب	デザート
فیلیپ	フィリップ
حرارت	ヒート
ممنوع	禁止
ممنوع	制限
انتاریو	オンタリオ
تقویت	強化
کوهستانی	マウンテン
مشاور	アドバイザー
مشاور	カウンセラー
مشاور	コンサルタント
مشاور	顧問
نوازنده	ミュージシャン
نوازنده	音楽家
معیار	条件
معیار	基準
نرم	ソフト
نرم	滑らか
نرم	スムーズ
نرم	スムース
نرم	柔らかい
نرم	やわらかい
نرم	優しい
نرم	穏やか
سقف	天井
سقف	屋上
سقف	屋根
قبرس	キプロス
مصنوعی	人工
مصنوعی	遺物
مصنوعی	合成
فکری	知識人
توصیه	薦める
توصیه	すすめる
توصیه	おすすめ
کلیسا	教会堂
کلیسا	教会
کلیسا	チャーチ
لیبی	リビア
هوانوردی	航空
دوازده	十二
بزرگراه	ハイウェイ
بزرگراه	公道
اخبار	ニュース
کنفرانس	会議
کنفرانس	カンファレンス
آلی	有機
هاروارد	ハーバード
جمینای	ジェミニ
سو	スー
ترور	トレバー
ترور	トレヴァー
ترور	暗殺
معدن	鉱業
شکایت	クレーム
شکایت	苦情
خشونت	暴力
افتتاح	オープニング
افتتاح	開く
طلای	ゴールド
میانی	中間
میانی	ミドル
میانی	中級
میانی	真ん中
دارا	ダラ
لو	ルー
پزشک	医師
توهین	侮蔑
توهین	侮辱
سازنده	製造業者
سازنده	クリエーター
سازنده	メーカー
آزمون	試験
آزمون	テスト
آزمون	クイズ
تبلیغات	プロモーション
تبلیغات	広告
تبلیغات	プロパガンダ
آیداهو	アイダホ
ضرب	プロダクト
ضرب	製品
ضرب	テンポ
ضرب	乗算
ضرب	乗法
کوتاهی	短い
کوتاهی	ショート
ملاقات	会議
ملاقات	ミーティング
ملاقات	訪問
ملاقات	会う
برسد	訪問
افزودن	加算
افزودن	追加
کمال	カマル
کمال	完璧
وان	ヴァン
وان	バン
مجازی	バーチャル
مجازی	仮想
اقامت	居所
اقامت	住居
اقامت	住民
چمن	芝生
پیاده	フィート
نیجریه	ナイジェリア
علامت	信号
علامت	サイン
علامت	記号
علامت	シグナル
علامت	署名
تونس	チュニス
توافق	決済
توافق	配置
توافق	合意
توافق	編曲
توافق	妥協
توافق	集落
توافق	和解
توافق	協定
توافق	同意
صعود	クライミング
صعود	登山
صعود	アセンション
مریم	マルヤム
مریم	ミリアム
مریم	メアリ
مریم	メアリー
کوروش	キュロス
رادیویی	ラジオ
متروی	地下鉄
متروی	メトロ
شاهان	キングス
بیل	ビル
معبد	神殿
معبد	神社
معبد	テンプル
معبد	寺院
استانبول	イスタンブール
ارکستر	オーケストラ
بنی	ベニ
بنی	ベニー
ون	ヴァン
ون	バン
کانادایی	カナディアン
کانادایی	カナダ
مخالفان	レジスタンス
مخالفان	抵抗
پیانو	ピアノ
مانع	バリア
مانع	障壁
عمان	オマーン
سلاح	凶器
سلاح	武器
سلاح	兵器
مدنی	シビック
رئال	リアル
رئال	本物
سیاره	惑星
فاکس	キツネ
رنگی	カラフル
راحتی	快適
ساختمانی	建物
شریف	シャリフ
دبیر	秘書
آگاهی	知識
آگاهی	意識
مقابله	戦闘
اتفاقات	イベント
اتفاقات	行事
اسمیت	スミス
مفاهیم	概念
مفاهیم	コンセプト
مصالح	材料
مصالح	マテリアル
مصالح	素材
تأکید	強調
تأکید	一貫性
شرط	状態
شرط	条件
بزرگان	長老
روزانه	デイリー
واقعیت	リアリティ
واقعیت	真実
واقعیت	現実
واقعیت	真理
تمرکز	焦点
تمرکز	フォーカス
گوشت	食肉
گوشت	肉体
حقیقی	リアル
حقیقی	トゥルー
حقیقی	本物
حقیقی	本当
تئوری	理論
تئوری	セオリー
اردن	ジョーダン
اردن	ヨルダン
فاز	フェーズ
فاز	位相
الف	エルフ
پیچیده	複雑
پیچیده	ツイスト
پیچیده	コンプレックス
پیچیده	錯体
بیماران	患者
ایمنی	安全
ایمنی	セーフティ
گیر	ギア
گیر	歯車
جسم	ボディ
جسم	身体
جسم	コーパス
جسم	肉体
جسم	本体
جسم	本文
پرانتز	括弧
پرانتز	かっこ
ماریا	マリア
ماریا	マリヤ
سوال	疑問
سوال	質問
احزاب	パーティー
احزاب	会社
احزاب	パーティ
احزاب	当事者
زاویه	角度
زاویه	アングル
روس	ロシア
فرستاده	メッセンジャー
عام	ジェネリック
آفتاب	日差し
آفتاب	太陽
آفتاب	サンシャイン
آفتاب	日光
اتهام	告発
اتهام	充電
اتهام	チャージ
اتهام	課金
پدیده	現象
ارمنیان	アルメニア
کوبا	キューバ
فرصت	チャンス
فرصت	好機
فرصت	機会
مربیگری	コーチング
مربیگری	コーチ
کندی	キャンディ
کندی	キャンディー
کندی	ケネディ
زیبای	美容
بعداً	後で
نگاهی	外観
نگاهی	ルック
فاطمه	ファティマ
قدمت	オールド
قدمت	古い
اخلاقی	道徳
نماز	祈り
نماز	礼拝
نماز	祈祷
اخلاق	道徳
اخلاق	気性
اینها	これら
اینها	これらの
تبلیغ	プロモーション
تبلیغ	宣伝
تبلیغ	広告
منطق	論理
امین	信頼
امین	正直
امین	忠実
مونیخ	ミュンヘン
بحران	危機
شناگر	水泳
شناگر	競泳
تولیدی	製造業
پارلمان	国会
پارلمان	議会
ریو	リョウ
ریو	リュウ
ریو	リオ
سپرده	デポジット
سپرده	預金
خاکستری	灰色
خاکستری	グレイ
خاکستری	グレー
فورد	フォード
ستاد	スタッフ
تخمین	見積もり
مخفی	隠し
مخفی	秘密
انقلابی	レボリューション
انقلابی	革命
کس	キャス
کس	カス
بال	ボール
بال	ウイング
میوه	果実
میوه	フルーツ
میوه	果物
کارت	カード
تراکم	密度
