日本	japonya
貴族	soylular
貴族	asalet
向上	geliştirmek
バトル	savas
バトル	savaş
バトル	muharebe
日曜	pazarları
日曜	pazarlar
日曜	pazar
ダンス	dans
資格	elemeleri
プロデュース	üretme
実現	idrak
実現	fark
ミサイル	füzeler
ミサイル	füzeleri
ミサイル	füze
セント	sent
セント	cent
文章	hüküm
文章	cümle
文章	ceza
ルート	rota
ルート	yol
ルート	kök
ルート	yolları
到着	gelişi
到着	varış
到着	gelenler
到着	geliş
トラ	kaplan
平和	huzur
平和	barış
平和	barışçıl
平和	huzurlu
注意	dikkat
ドラゴン	ejderhalar
ドラゴン	ejderha
ドラゴン	ejder
今日	bugün
今日	bügün
今日	bugünde
今日	bugun
集合	set
集合	setleri
集合	ayarlar
集合	seti
コンサート	konser
コンサート	konserler
回転	dönüşümlü
回転	rotasyon
回転	çevir
回転	döndürme
回転	dönen
回転	dönüş
ロボット	robot
ロボット	robotlar
歩兵	piyade
青年	genç
青年	gençlik
青年	gençler
小惑星	göktaşları
小惑星	asteroit
小惑星	göktaşı
用語	şartlar
用語	koşullar
用語	koşul
用語	vade
用語	terminoloji
用語	koşulları
用語	dönem
用語	şartları
用語	terimi
用語	terim
姉妹	abla
姉妹	kardeş
姉妹	bacım
姉妹	rahibe
姉妹	kardeşler
姉妹	kız
姉妹	rahibeler
小さな	kucuk
小さな	küçük
小さな	ufak
テン	on
秘密	gizli
秘密	sır
秘密	sırları
秘密	sırlar
操作	operasyonlar
操作	operasyonu
操作	işlemler
操作	ameliyat
操作	operasyon
操作	işlem
残り	kalan
残り	kaldı
一致	eşleşme
一致	karşılaşma
一致	maç
一致	maçlar
一致	kibrit
適用	geçerli
適用	uygula
適用	uygulayın
オーストリア	avusturyalı
オーストリア	avusturya
イオン	iyon
イオン	iyonları
仲間	yoldaş
ジャック	vale
フィールド	tarla
フィールド	alanı
フィールド	saha
フィールド	tarlaları
フィールド	alanlar
フィールド	alanları
フィールド	alan
キロ	kilometre
論文	tezi
論文	tez
諸島	adalar
諸島	adaları
休止	durdur
休止	uzaklaştırma
メキシコ	meksika
メキシコ	meksikalı
福祉	refah
属する	ait
レポート	raporlama
レポート	rapor
レポート	raporlar
レポート	raporları
レポート	şikayet
要素	eleman
要素	element
要素	elemanlar
要素	öğe
要素	unsurlar
要素	elementler
表明	iddia
市町村	belediyeye
市町村	belediyeler
市町村	belediyesi
市町村	belediye
平日	haftaiçi
ブラ	sütyen
地図	haritası
地図	harita
地図	haritaları
地図	haritalar
違反	gedik
違反	hücum
違反	ihlal
違反	ihlali
衛星	uydu
性能	gösteri
性能	performansı
性能	performans
カメラ	kameralar
カメラ	kamera
役割	rolleri
役割	rolün
役割	roller
役割	rol
役割	görevler
役割	görevleri
十分	yeter
改良	gelişmiş
改良	geliştirilmiş
改良	gelişmeler
ワイド	geniş
講師	eğitmenleri
講師	eğitmen
講師	okutman
曖昧	belirsizlik
曖昧	belirsiz
録音	kaydı
録音	kayıt
サブ	denizaltı
サブ	alt
読み	okuma
読み	okuyun
読み	okumak
読み	oku
指名	adaylığı
冒険	maceralar
冒険	maceraları
冒険	macera
コレクション	toplama
コレクション	koleksiyonlar
コレクション	koleksiyonu
コレクション	koleksiyon
犯罪	suç
犯罪	suçlar
大陸	kıta
バイパス	baypas
画面	ekran
画面	ekranı
医師	hekim
医師	doktorları
医師	doktorlar
医師	doktor
国会	parlamento
国会	meclis
国会	parlamentosu
国会	rejim
国会	diyet
インタビュー	röportaj
インタビュー	görüşme
インタビュー	mülakat
インタビュー	görüşmeler
インタビュー	söyleşi
マガジン	dergi
マガジン	magazin
生命	yaşam
生命	ömür
生命	hayat
執行	infaz
執行	idam
コミュニティ	topluluklar
コミュニティ	toplum
コミュニティ	topluluk
コミュニティ	ümmet
コミュニティ	cemaat
弁護士	avukatları
弁護士	avukatlık
弁護士	avukat
弁護士	avukatlar
危険	tehlikeli
危険	tehlikelidir
危険	tehlike
健康	sağlıkla
健康	saglik
健康	sağlık
健康	sağlıklı
健康	saglikli
設備	tesisler
設備	olanaklar
設備	tesis
設備	tesisleri
設備	imkanlar
設備	konfor
価格	fiyatları
価格	fiyatlar
価格	bedel
価格	fiyatı
価格	ücretlendirme
価格	fiyat
価格	fiyatlara
アニメーション	canlandırma
アニメーション	animasyonlar
アニメーション	animasyon
対立	çekişme
対立	çelişki
対立	çatışma
対立	anlaşmazlık
対立	ihtilaf
参考	gönderme
参考	referans
工学	mühendisliği
工学	mühendislik
母親	annesi
母親	anneler
母親	anne
母親	ana
専攻	binbaşı
ドア	kapılar
ドア	kapı
ドア	kapi
ドア	kapıları
順位	sıralamaları
数学	matematik
数学	hesap
信号	işaretler
信号	sinyaller
信号	işaret
信号	sinyal
ダイレクト	doğrudan
ダイレクト	direkt
ダイレクト	direk
あまり	hafifçe
ゴール	amaçlar
ゴール	hedef
ゴール	hedefler
ゴール	amaç
ゴール	hedefi
ゴール	hedefleri
ゴール	gol
金融	finansman
金融	finans
金融	maliye
金融	finanse
スウェーデン	isveç
ミス	özledim
ミス	hanım
ミス	hanımefendi
ミス	bayan
動画	videoları
動画	video
動画	videografisi
動画	görüntülü
動画	videolar
わら	saman
わら	kamış
わら	hasır
広告	reklamları
広告	ilanlar
広告	reklamcılık
広告	ilan
広告	reklamlar
広告	reklam
幕府	shogun
実行	infaz
実行	idam
実行	uygula
実行	çalıştır
始める	başlangıç
始める	başlayın
始める	başlasın
始める	başla
始める	başlat
入口	girişi
チャンピオン	şampiyonlar
チャンピオン	şampiyonları
チャンピオン	şampiyon
日記	günlüğü
日記	günlük
日記	günlükler
日記	günlükleri
セル	hücre
セル	hücreler
セル	hücreleri
セル	cep
有効	etkin
有効	geçerli
有効	geçerlidir
フラン	frangı
歌詞	sözleri
歌詞	sözler
サイ	gergedanlar
サイ	gergedan
パワー	güç
アーティスト	sanatçılar
アーティスト	sanatçı
アーティスト	ressam
食品	yiyecek
食品	yemek
食品	gıda
食品	yemekler
サポート	desteği
サポート	destek
サポート	destekle
午後	öğlen
午後	öğleden
ステーション	istasyonu
ステーション	istasyon
ステーション	karakol
戦艦	zırhlı
騎士	şövalyeler
騎士	şövalye
音声	konusma
音声	ses
音声	sesli
音声	konuşma
音声	sesi
遺産	miras
遺産	mirası
権利	haklar
権利	hakları
権利	hak
学習	öğrenmek
学習	öğrendi
学習	öğreniyor
学習	öğrenim
学習	öğrenin
学習	öğrenme
学習	öğren
学習	öğrenmiş
学習	öğrendim
バンク	banka
スコア	skor
スコア	puanlar
スコア	puan
スコア	sayı
スペース	boşluk
スペース	uzayı
スペース	uzay
スペース	boşluklar
潜水艦	denizaltılar
潜水艦	denizaltı
人生	yaşam
人生	ömür
人生	hayat
ウェブサイト	siteler
ウェブサイト	site
ウェブサイト	siteleri
コピー	kopyası
コピー	kopyala
コピー	kopyalar
コピー	kopya
コピー	kopyalama
コピー	kopyaları
ステークス	kazıklar
ステークス	kazık
エピソード	bolum
エピソード	bölümleri
エピソード	bölümler
エピソード	bölüm
イラスト	çizimler
イラスト	illüstrasyon
すでに	zaten
すでに	şimdiden
すでに	çoktan
収容	taahhüt
収容	kararlılık
収容	gözaltı
収容	cezaya
収容	ceza
収容	bağlılık
希望	umutları
希望	ümit
希望	umutlar
希望	umut
航空機	uçak
航空機	uçaklar
マシン	makine
マシン	makina
練習	alıştırma
練習	pratik
練習	antrenman
ソフトウェア	yazılım
燃料	benzin
燃料	yakıt
燃料	yakıtlar
再生	rehabilitasyon
再生	islah
再生	çalma
再生	oynatma
古い	eski
古い	yaşlı
古い	ihtiyar
撤退	çekilmesi
撤退	çekilme
領域	bölge
領域	alanı
領域	alan
司令官	kumandan
司令官	komutan
防御	savunması
防御	defans
防御	savunma
歴代	ardışık
天使	meleğim
天使	melekler
天使	melek
無料	ücretsiz
無料	özgür
無料	serbest
無料	bedava
教室	sınıf
教室	sınıfları
教室	sınıfı
教室	sınıflar
ビジネス	iş
ビジネス	ticaret
ビジネス	işletme
ビジネス	işletmeler
ジャンプ	atla
ジャンプ	atlama
友人	arkadaşım
友人	arkadaş
友人	dost
ソウル	ruh
ソウル	ruhu
ソウル	seul
期待	beklenen
期待	umutlar
期待	beklentileri
期待	beklentiler
期待	bekleniyor
期待	beklentim
期待	beklenti
傾向	eğilim
自転車	motosiklet
自転車	motor
自転車	bisiklet
動き	hareketler
銀河	galaksi
困難	güçlük
困難	zorluklar
困難	sıkıntı
困難	zorluk
モンスター	canavar
供給	tedarik
供給	levazım
供給	arz
アカウント	hesapları
アカウント	hesap
アカウント	hesaplar
記憶	bellek
記憶	hatıra
記憶	hafıza
記憶	hatıralar
記憶	anılar
フィルム	filim
ロケット	roket
ロケット	roketi
低い	alçak
低い	düşük
まとめ	özet
まとめ	özeti
解決	çözüm
兵器	silah
兵器	silahlar
兵器	silahları
ウェイ	şekilde
ウェイ	yol
はい	evet
北京	pekin
引用	alıntı
引用	tırnak
引用	alıntılar
サイド	yana
サイド	yan
サイド	taraf
原則	ilke
原則	ilkeleri
ラブ	sevgiler
ラブ	sevda
ラブ	aşk
ラブ	ask
ラブ	sevgi
株式	paylaşımlar
株式	stok
株式	hisse
株式	hisseler
信頼	güvenmek
信頼	özgüven
信頼	güven
信頼	güvenilir
分析	analizi
分析	analiz
分析	analizler
収入	gelir
収入	gelirleri
収入	gelirler
流れる	akan
流れる	akıyor
流れる	akar
惑星	gezegen
惑星	gezegenler
惑星	gezegenleri
同時	eşzamanlı
目標	amaçlar
目標	hedefler
目標	hedefleri
目標	gol
しばしば	sıklıkla
しばしば	sıkça
裁判所	mahkemeler
裁判所	saray
裁判所	mahkeme
計算	hesapla
計算	hesaplama
計算	hesap
自治	özerklik
バイ	hoşçakal
バイ	hoşçakalın
テスト	test
テスト	deneme
テスト	sınav
テスト	testler
意識	bilincin
意識	bilinç
意識	bilinçli
意識	bilinci
物質	madde
許可	izni
許可	izin
許可	izinler
許可	izinleri
回復	iyileşme
回復	kurtarma
画家	ressamlar
画家	ressam
中止	iptal
拡張	uzamış
拡張	uzun
拡張	eklentileri
書籍	kitapları
書籍	kitap
書籍	kitaplar
大きい	geniş
大きい	büyük
大きい	buyuk
大きい	kocaman
ハート	yürek
ハート	kalp
ハート	gönül
ハート	kalbi
メン	erkek
メン	adamlar
メン	erkekler
治療	terapi
治療	muamele
治療	tedavisi
治療	tedavi
固定	sabit
固定	saplantısı
固定	tamir
観客	izleyenler
観客	izleyiciler
観客	seyirciler
観客	izleyici
観客	seyirci
免許	lisans
免許	ehliyet
装甲	zırh
装甲	zırhlı
寺院	tapınakları
寺院	tapınak
寺院	tapınağı
占領	meslek
占領	işgal
占領	mesleği
青春	genç
青春	gençlik
青春	gençler
背景	geçmişler
背景	geçmişi
背景	geçmişleri
背景	arkaplan
比較的	nispeten
準備	hazırlanıyor
準備	hazırlık
アート	sanat
規格	standartlar
規格	standartları
規格	standartlara
スイス	isviçre
スイス	isviçreli
除去	kaldırılması
除去	eleme
除去	kaldırma
形状	şekli
形状	biçim
形状	şekiller
形状	şekil
形状	şekilleri
シアター	tiyatro
知事	vali
知事	valilik
知事	valiler
崩壊	çöküş
崩壊	çökme
崩壊	çürük
崩壊	çürüme
キリスト教	hıristiyan
キリスト教	hristiyan
キリスト教	hıristiyanlık
交渉	arabulucu
交渉	müzakere
交渉	müzakereler
交渉	pazarlık
交渉	müzakerelerin
普及	yayılmasını
マスター	üstad
マスター	usta
マスター	hocam
最近	yakınlardaki
最近	geçenlerde
最近	yakınlarda
無期限	süresiz
整理	temizle
整理	temizlik
整理	temizleme
アウト	dışarı
協定	anlaşma
協定	sözleşme
協定	anlaşmalar
スクール	okulumuz
スクール	okulu
スクール	okula
スクール	okul
推定	tahmin
推定	sanılıyor
推定	tahmini
協議	danışma
吸収	emilim
吸収	emme
ダウン	aşağıya
ダウン	aşağı
大佐	albay
大佐	yarbay
ブック	kitap
軍団	kolordu
遺跡	kalıntılar
遺跡	harabe
アクション	eylem
アクション	hareketler
アクション	aksiyon
アクション	eylemler
アクション	motor
アクション	eylemleri
検証	onaylama
検証	doğrulama
検証	onay
検証	doğrulaması
検証	doğrula
認識	tanıma
逮捕	tutuklamalar
逮捕	tutuklanan
逮捕	tutuklanmış
逮捕	tutuklanma
逮捕	tutuklama
逮捕	tutuklandı
オフ	kapalı
オフ	izin
金属	metal
金属	metaller
古墳	tümülüs
トーク	konuşmak
トーク	konuşma
トーク	konuş
バラ	gülü
バラ	gülüm
バラ	gül
バラ	güller
拒否	reddetmesi
拒否	reddetmek
拒否	inkar
拒否	düşüş
拒否	reddetme
拒否	inkâr
ボス	patron
戦略	stratejileri
戦略	strateji
戦略	stratejisi
ゴールデン	altin
ゴールデン	altın
クロス	çapraz
クロス	haç
クロス	karşıya
クロス	hacı
興行	gösteri
興行	performansı
興行	şovmen
興行	performans
スケート	kaykay
スケート	paten
解除	iptali
解除	iptal
関数	fonksiyon
関数	fonksiyonu
関数	işlevi
関数	işlev
関数	işlevleri
負傷	yaralandı
負傷	yaralılar
負傷	yaralı
ソビエト	sovyetler
ソビエト	sovyet
ガール	kızım
ガール	kiz
ガール	kız
ハンガリー	macaristan
職員	işçi
職員	personel
職員	personelin
職員	resmî
職員	çalışan
職員	resmi
ポート	liman
ポート	iskele
ポート	limanlar
検査	teftiş
検査	denetleme
検査	denetim
検査	sınav
検査	muayene
検査	inceleme
ホワイト	beyaz
ミックス	karışık
ミックス	karıştırın
資金	fon
資金	fonlar
質問	sorum
質問	sorularınız
質問	soru
質問	soruları
質問	sorular
閉鎖	kapatma
閉鎖	kapatılması
閉鎖	kapanış
演劇	tiyatro
言及	bahsetmek
言及	bahsedilen
ギリシャ	yunanistan
金曜日	cuma
ライフ	yaşam
ライフ	ömür
ライフ	hayat
否定	inkâr
否定	inkar
大使	elçi
大使	elçiler
大使	büyükelçileri
大使	büyükelçi
大使	elçileri
広場	karesi
広場	kare
広場	meydan
ビッグ	büyük
ビッグ	buyuk
ビッグ	kocaman
ヤング	genç
常に	hep
常に	daima
常に	herzaman
爆発	patlama
爆発	patlamalar
売上	satış
売上	satışlar
モスクワ	moskova
重複	mükerrer
重複	çakışma
概念	konsepti
概念	konsept
概念	kavramları
概念	kavram
パート	kısmen
パート	kısım
パート	parçası
パート	bölüm
危機	kriz
ドライバー	şoför
ドライバー	sürücüler
ドライバー	şöför
ドライバー	sürücüsü
ドライバー	sürücü
ドライバー	sürücüleri
裁判	duruşma
巨人	dev
巨人	devler
トーナメント	turnuvası
トーナメント	turnuva
北東	kuzeydoğu
エース	as
アクセス	erişim
安定	sabit
安定	kararlılık
安定	istikrarlı
安定	stabil
安定	durağan
安定	istikrar
安定	kararlı
調整	ayarlama
調整	ayar
調整	koordinasyon
調整	ayarlamalar
中世	ortaçağ
不足	eksikliği
不足	sıkıntısı
不足	kıtlık
不足	eksiklik
解釈	yoruma
根拠	gerekçesiyle
買収	edinme
ホームページ	anasayfa
プレイ	oyna
プレイ	oyun
プレイ	oynayın
プレイ	çal
ビット	parçaları
日曜日	pazarları
日曜日	pazarlar
日曜日	pazar
注目	seçme
注目	dikkat
国王	kral
分布	dağıtımı
分布	dağılımı
分布	dağıtım
パス	yolu
パス	yollar
パス	pas
パス	patika
パス	geçiş
パス	yol
パス	yolları
ミュージシャン	müzisyen
ミュージシャン	müzisyenler
リーダー	okuyucu
リーダー	lideri
リーダー	okur
リーダー	okuyucular
リーダー	okurlar
リーダー	lider
リーダー	önder
与える	verin
与える	ver
ファイナル	finalleri
ファイナル	final
ファイナル	finaller
ポルトガル	portekiz
高度	irtifa
高度	yükseklik
テニス	tenis
結合	senet
結合	bağ
結合	tahvil
知識	ilim
知識	bilgi
ライセンス	lisans
ライセンス	lisansları
ライセンス	ehliyet
ライセンス	lisanslı
メール	postalar
メール	posta
生涯	toplam
赤い	kırmızı
赤い	kirmizi
赤い	kızıl
クリア	temiz
クリア	net
クリア	temizle
クリア	açık
クリア	berrak
実績	başarı
実績	başarılar
実績	başarım
アリ	karınca
アリ	karıncalar
アリ	arı
バスケットボール	basketbol
バスケットボール	basket
繰り返し	tekrar
繰り返し	tekrarlanan
繰り返し	tekrarı
新規	yeni
閲覧	göz
閲覧	gezin
閲覧	tarama
土曜日	cumartesileri
土曜日	cumartesi
端末	terminalleri
端末	terminal
下り	yönlendiren
ヤン	ocak
上昇	yükseliş
上昇	yüksel
上昇	kalkın
都道府県	devlet
都道府県	eyalet
隊長	yüzbaşı
隊長	kaptan
悪魔	şeytan
悪魔	iblis
規制	düzenlenmiş
オペラ	opera
みんな	herkeze
みんな	herkese
みんな	herkes
みんな	millet
みんな	herkez
みんな	beyler
みんな	çocuklar
みんな	erkekler
ディレクター	yönetici
ディレクター	yönetmen
ディレクター	direktör
ディレクター	müdür
判決	hüküm
判決	yargılama
判決	yargı
判決	muhakeme
駐車	park
駐車	otopark
女王	kraliçe
女王	vezir
木曜	perşembe
修了	tamamlanması
修了	tamamlama
合成	yapay
合成	kompozisyon
合成	sentetik
合成	sentez
ミン	dk
ローズ	gülüm
ローズ	gül
ローズ	gülü
数字	sayılar
数字	numaralar
数字	rakamlar
数字	numaraları
提示	sunuldu
提示	sunmak
提示	sundu
提示	sunulan
上海	şangay
上海	şanghay
侵攻	işgal
侵攻	istila
国旗	bayraklar
国旗	bayrakları
国旗	bayrak
国旗	bayrağı
人類	insanlık
人類	insanlığı
現象	olgu
現象	fenomen
二つ	iki
にもかかわらず	rağmen
証明	kanıtı
証明	kanıt
証明	delil
証明	ispat
証明	burhan
祭り	festivali
祭り	festivalde
祭り	festivaller
応援	tezahürat
ゴールド	altınlar
ゴールド	altin
ゴールド	altın
社員	işçi
社員	işçiler
社員	çalışanlar
社員	çalışan
社員	çalışanları
エア	hava
原子力	nükleer
アイルランド	irlanda
ボタン	düğmeler
ボタン	düğmeleri
ボタン	düğmesi
ボタン	düğme
プロフィール	profil
プロフィール	profilleri
プロフィール	profili
仏教	budist
仏教	budizm
ストリート	cadde
ストリート	sokakları
ストリート	sokak
ストリート	sokaklar
ストリート	sokaklarda
強制	zorunlu
強制	mecburi
サウンド	sesleri
サウンド	sesler
サウンド	ses
サウンド	sesi
世帯	hane
衝突	çarpışma
生成	oluştur
ローカル	yerel
ローカル	yöresel
ローカル	yerli
ローカル	lokal
境界	sınırları
境界	sınırlama
境界	sınır
境界	sınırlar
続ける	devam
蒸気	buhar
巡洋艦	kruvazörü
インチ	cm
インチ	inç
インチ	santim
体験	deneyim
体験	deneyimi
体験	tecrübe
区別	ayrım
アメリカン	amerikan
アメリカン	amerikalı
ブレーキ	fren
ブレーキ	frenleri
ブレーキ	frenler
兵士	askerler
兵士	asker
解放	kurtuluş
石油	yağ
石油	yağı
石油	petrol
バレーボール	voleybol
リード	kurşun
リード	kamış
シート	levhalar
シート	çarşaf
シート	levha
シート	yaprak
ミッション	misyon
ミッション	görevler
ミッション	görev
組み合わせ	kombinasyon
組み合わせ	birleştirme
組み合わせ	kombine
組み合わせ	birleştir
人形	bebek
人形	bebekler
人形	bebekleri
ミュージカル	müzikalleri
ミュージカル	müzikal
スリー	üç
現場	sahne
現場	sahnesi
エジプト	mısır
趣味	hobi
将来	geleceğin
将来	gelecek
将来	gelecekteki
授業	dersleri
授業	ders
授業	dersler
料金	ücret
料金	ücreti
身体	beden
身体	vücut
身体	ceset
作者	yazar
作者	yazarlar
作者	yazarı
推薦	tavsiye
推薦	öneri
地理	coğrafya
地理	coğrafi
ダブルス	çiftler
百万	milyon
表面	yüzey
表面	yüzeyi
訪問	ziyaret
訪問	ziyaretler
訪問	ziyaretleri
訪問	ziyareti
合格	geçiyor
合格	geçen
合格	geçtim
合格	geçmiş
合格	geçti
フランス語	fransızlar
フランス語	fransızca
フランス語	fransız
パイロット	kılavuz
パイロット	pilotlar
トルコ	türkiye
トルコ	turkiye
マス	alabalık
ウクライナ	ukrayna
ディスク	disk
続き	devamı
次元	boyut
シカゴ	şikago
パーソナリティ	kişilik
パーソナリティ	kişiliği
国籍	milliyet
国籍	milletlerden
称号	ünvan
称号	başlığı
称号	başlıklar
称号	unvan
称号	unvanlar
称号	başlık
敗北	mağlup
敗北	yenilgi
規則	kuralları
規則	kurallar
規則	kural
クラシック	klasik
車線	şerit
機会	fırsatı
機会	fırsat
機会	fırsatlar
大隊	tabur
大隊	taburu
スカイ	gökyüzü
スカイ	gök
ドリーム	hayal
ドリーム	düş
ドリーム	rüya
ロゴ	logosu
ロゴ	logolar
ロゴ	logo
コア	çekirdek
コア	çekirdeği
学期	sömestr
学期	dönem
古典	klasik
大人	yetişkinler
大人	büyükler
大人	yetişkinlere
大人	yetişkin
海岸	sahil
海岸	kıyı
海岸	sahili
ボックス	kutu
ボックス	kutular
ボックス	kutusu
神話	efsaneler
神話	mitoloji
神話	efsane
神話	mit
フィギュア	sayılar
フィギュア	şekiller
フィギュア	rakamlar
フィギュア	figür
フィギュア	heykelcik
移住	göç
柔道	judocu
支部	dal
支部	şube
支部	dalın
どこ	nereye
どこ	nerde
どこ	nere
どこ	nerede
貿易	ticaret
貿易	takas
挿入	ekleme
挿入	ekle
敷地	sitede
マッチ	eşleşme
マッチ	karşılaşma
マッチ	maç
マッチ	maçlar
マッチ	kibrit
空気	hava
譲渡	görev
譲渡	havale
譲渡	atama
譲渡	aktarım
ピン	iğneler
ピン	iğne
両親	aileler
両親	ebeveynler
両親	ebeveyn
セイ	de
セイ	söyle
セイ	söyleyin
投資	yatırımları
投資	yatırım
投資	yatırımlar
ミステリー	gizem
ミステリー	gizemli
経過	geçen
経過	gelişme
経過	gelişim
経過	ilerleme
疑問	sorum
疑問	soru
キャンパス	kampüs
キャンパス	kampüsleri
ゲート	kapısı
ゲート	kapı
ゲート	geçit
恋人	sevenler
恋人	aşıklar
恋人	sevgili
恋人	sevgililer
恋人	birtanem
恋人	aşık
ノース	kuzeye
ノース	kuzey
ノース	kuzeyde
ロング	uzun
ナショナル	millî
ナショナル	milli
ナショナル	ulusal
それら	bunlar
それら	şunlar
話題	konu
水曜	çarşamba
本体	beden
本体	vücut
本体	ceset
怪獣	canavar
テキサス	teksas
反乱	isyanı
反乱	ayaklanma
反乱	isyan
消費	tüketim
消費	tüketimi
不可能	imkansız
不可能	imkânsız
ジャズ	caz
利益	kazanç
利益	fayda
利益	kar
利益	kâr
爆弾	bomba
抵抗	direniş
抵抗	direnç
文芸	edebiyat
文芸	edebiyatı
側面	yönleri
側面	yönü
患者	hastalar
患者	hasta
患者	sabırlı
患者	hastalara
カット	kes
カット	kestik
カット	kesim
離脱	çekilmesi
離脱	çekilme
プラス	artı
相互	karşılıklı
業界	sektör
業界	sanayii
業界	endüstri
業界	sanayi
白い	beyaz
株主	hissedar
場面	sahne
場面	sahneler
場面	sahnesi
書く	yazın
書く	yazma
書く	yaz
警視	müfettiş
警視	başkomiser
メッセージ	ileti
メッセージ	mesajları
メッセージ	mesaj
メッセージ	mesajınız
メッセージ	mesajlar
メッセージ	mesajı
詩人	şairler
詩人	şair
顧問	danışmanı
顧問	danışman
ランク	rütbe
ランク	sıralama
オンライン	çevrimiçi
オンライン	internette
脱退	çekilmesi
脱退	çekilme
記号	imzalayın
記号	semboller
記号	sembolü
記号	tabela
記号	simgeler
記号	işaret
記号	sembol
記号	imza
記号	simge
記号	sembolleri
変換	dönüşümleri
変換	dönüşümü
変換	değişim
変換	dönüşün
変換	dönüştürme
変換	dönüşüm
変換	dönüştür
変換	dönüşümler
過程	süreç
過程	işlem
オーバー	palto
オーバー	üzeri
オーバー	bitti
襲撃	saldırıya
襲撃	saldırdı
襲撃	saldırdılar
ヘッド	kafalar
ヘッド	kafası
ヘッド	tura
ヘッド	baş
ヘッド	kafa
資産	varlıklar
資産	varlık
資産	varlıkları
手紙	harfler
手紙	harf
手紙	mektup
手紙	mektuplar
アイテム	eşyalar
アイテム	ürünler
アイテム	ürün
アイテム	öğe
爆撃	bombardıman
爆撃	bombalama
単に	basitçe
ジン	cin
ダブル	çift
ダブル	duble
ダブル	ikili
ダブル	çifte
交響曲	senfoni
入力	girdi
入力	giriş
入力	girdiler
公表	yayınlama
公表	duyuru
公表	anons
公表	yayın
公表	yayıncılık
任意	keyfi
任意	gönüllü
黄金	altin
黄金	altın
短い	kısa
短い	kisa
ハム	jambon
発達	geliştirme
発達	gelişim
発達	gelişme
発達	kalkınma
ボード	tahtaları
ボード	tahta
ボード	kurul
ボード	kurulu
姿勢	tavır
姿勢	duruş
姿勢	davranış
姿勢	duruşu
姿勢	tutum
議長	konuşmacı
議長	hoparlör
議長	başkan
議長	baskan
スポンサー	sponsoru
スポンサー	sponsorluk
スポンサー	sponsor
スポンサー	sponsorlu
ドイツ語	alman
ドイツ語	almanca
気象	hava
有限	sonlu
有限	sınırlı
ボディ	beden
ボディ	vücut
ボディ	ceset
ポケット	cebe
ポケット	cep
ポケット	cepte
ヒーロー	kahramanlık
ヒーロー	kahraman
ヒーロー	yiğit
フロント	cephe
フロント	öne
フロント	ön
再建	yeniden
ドーム	kubbe
ブラウン	esmer
ブラウン	kahverengi
ブラウン	kumral
オス	erkek
オス	erkekler
国境	sınır
リニューアル	yenileme
ドライブ	sür
ドライブ	sürücüler
ドライブ	sürücüleri
ドライブ	kullanıyor
不動産	gayrimenkul
不動産	emlak
イスラエル	israil
暗殺	suikast
暗殺	suikastçi
暗殺	suikastçı
立候補	adaylığını
立候補	adaylığı
手段	demek
手段	anlamı
措置	tedbirler
措置	önlemler
措置	tedbir
クール	süper
クール	serin
クール	havalı
約束	soz
約束	söz
ラウンド	yuvarlak
リス	sincap
リス	sincaplar
ベルギー	belçikalı
ベルギー	belçika
循環	dolaşımı
循環	dolaşım
上陸	iniş
感染	enfeksiyon
地獄	cehennem
現実	gerçeklik
現実	gerçekler
現実	hakikat
幼稚園	anaokulu
若い	genç
承認	kabul
承認	onaylamak
承認	onaylama
承認	onay
承認	onayla
承認	kabulü
フライ	uç
フライ	uçmak
フライ	sinek
フライ	kızartma
学ぶ	öğrenin
学ぶ	öğren
学ぶ	öğrenmek
スピード	sürat
スピード	hız
スピード	hızı
スピード	hızlı
プレス	basin
プレス	basın
プレス	bas
プレス	basında
アシスタント	yardımcı
アシスタント	asistan
アシスタント	asistanı
アシスタント	yardımcısı
半分	yarısı
半分	yarım
半分	yarı
半分	yarim
指示	talimatları
指示	öğretim
指示	talimatlar
指示	talimat
予想	varsayım
答え	cevapla
答え	cevap
答え	yanıt
イカ	kalamar
定員	kapasitesi
定員	kapasite
財政	finansman
財政	finans
財政	maliye
財政	finanse
研究者	araştırmacı
研究者	araştırmacılar
意図	niyetleri
意図	niyet
ケーブル	kablolu
ケーブル	kablo
ケーブル	kabloları
ケーブル	kablolar
トランス	trans
十字	çapraz
十字	haç
十字	karşıya
十字	hacı
ハード	sert
ハード	zor
ハード	zoru
教皇	papa
任命	randevu
ドラム	davul
ドラム	bateri
ドラム	davullar
ガラス	camlar
ガラス	cam
ガラス	bardak
悪い	kötü
ヤード	yard
ヤード	yarda
ヤード	avlu
教員	hocam
教員	öğretmenleri
教員	öğretmenler
教員	öğretmenim
教員	öğretmen
教員	hoca
キャリア	kariyeri
キャリア	taşıyıcı
キャリア	kariyer
キャリア	operatör
月曜日	pazartesi
マラソン	maraton
マラソン	maratonu
恐れ	korkmak
恐れ	korku
自宅	evde
自宅	eve
自宅	yuva
自宅	evim
自宅	ev
出発	ayrılıyor
出発	kalkış
出発	gidiş
単純	sade
単純	basit
インターナショナル	uluslararası
インターナショナル	yurtdışı
合唱	korosu
合唱	koro
進む	öne
進む	ileri
進む	ileriye
パック	paketle
パック	paketler
脱出	kaçmak
脱出	kaçış
脱出	firar
サウス	güney
サウス	güneye
ウェスト	batıda
ウェスト	batı
ウェスト	batıya
輸入	ithal
輸入	ithalat
ガイド	kılavuzu
