категория	類別
кол	山口
монастыри	寺院
захват	捕捉
захват	擷取
захват	癲癇
захват	捕獲
захват	扣押
массового	質量
массового	彌撒
ежедневно	每日
хвост	尾巴
хвост	尾
преимущество	優點
преимущество	優勢
видимости	能見度
видимости	知名度
вручную	手冊
вручную	手動
природа	大自然
природа	自然
природа	性質
постоянный	常數
постоянный	永久
аренды	租借
аренды	租約
аренды	租賃
зрители	觀眾
зрители	旁觀者
ребёнок	嬰兒
ребёнок	兒童
ребёнок	寶寶
ребёнок	孩子
ребёнок	寶貝
вторжения	侵略
вторжения	侵入
вторжения	入侵
исключение	例外
исключение	排斥
исключение	排除
хор	合唱團
хор	合唱
хор	唱詩班
квартиры	公寓
пациентов	病患
пациентов	病人
пациентов	患者
избирателей	選民
внешняя	外部
внешняя	外表
сэм	山姆
сэм	薩姆
корма	飼料
корма	動態
преобразования	轉變
преобразования	變形
преобразования	轉型
преобразования	轉化
преобразования	變換
преобразования	轉換
календарь	曆法
календарь	日曆
календарь	曆
употребление	使用
употребление	用量
употребление	用法
археологии	考古
археологии	考古學
освещения	照明
графики	繪圖
графики	圖表
графики	圖形
микрорайон	街道
карточки	卡
карточки	牌
карточки	紙牌
карточки	卡片
ветвь	分支
ветвь	分行
многократно	反復
пианист	鋼琴家
национальность	國籍
листьев	葉子
листьев	樹葉
замена	替代
замена	置換
замена	更換
замена	取代
замена	代替
замена	替代品
замена	替換
возможна	可能
коммун	市鎮
коммун	公社
штаты	國家
советника	顧問
ответить	答
ответить	答案
ответить	回答
ответить	回覆
ядро	核
ядро	核心
стене	牆
стене	圍牆
стене	壁
стене	牆壁
редактирования	編輯
редактирования	剪輯
газет	報章
газет	報刊
собственность	擁有權
собственность	所有權
собственность	財產
собственность	屬性
собственность	物業
собственность	地產
разрушения	毀壞
разрушения	破壞
разрушения	銷毀
разрушения	毀滅
автоматический	自動
симон	西門
симон	西蒙
образцы	樣品
образцы	標本
образцы	樣本
перспективы	前景
перспективы	視角
перспективы	觀點
перспективы	透視
перспективы	展望
небо	天國
небо	天堂
небо	天空
квартире	公寓
молодежи	青少年
молодежи	青春
молодежи	青年
имущество	財產
имущество	屬性
имущество	物業
имущество	地產
завтра	明天
завтра	明日
соотношение	比值
соотношение	比例
соотношение	比率
соотношение	比
расстояния	距離
чешский	捷克
закрыть	關閉
встретил	遇見
доклад	報告
доклад	檢舉
пенсию	退休金
пенсию	養老金
математика	數學
католическая	天主教
католическая	天主教徒
корни	根
выиграть	勝利
выиграть	贏
выиграть	贏了
восточные	東方
восточные	東部
двойной	雙倍
двойной	雙
двойной	加倍
двойной	雙重
площадка	遊樂場
площадка	操場
площадка	運動場
сетей	網路
слой	層
расследование	查詢
расследование	調查
мечети	清真寺
плавание	游泳
плавание	游
хроника	紀事
маленькая	小
маленькая	小型
независимый	獨立
вена	維也納
вена	血管
вена	靜脈
пистолет	手槍
пистолет	槍
пистолет	槍支
пистолет	炮
стихотворение	詩
кислота	酸性
кислота	酸
указывается	指定
нападение	突擊
нападение	襲擊
нападение	侵
нападение	進攻
нападение	攻擊
нападение	毆打
внутренняя	內
внутренняя	內在
внутренняя	內部
внутренняя	內心
психология	心理
психология	心理學
цена	費用
цена	價
цена	成本
цена	價錢
цена	價格
широкого	廣
широкого	寬
пожар	火災
пожар	消防
пожар	火焰
пожар	火
бор	硼
сомнений	疑問
сомнений	疑慮
сомнений	懷疑
оригинальный	原
оригинальный	原文
оригинальный	原件
оригинальный	原創
оригинальный	原始
химия	化學
бедности	貧窮
бедности	貧困
размещение	安置
размещение	住宿
итальянская	義大利
итальянская	義大利文
прогресс	進度
прогресс	進步
наказание	罰
наказание	處罰
наказание	懲罰
наказание	刑罰
строить	建立
строить	建
учиться	學習
учиться	學
полей	田地
полей	欄位
полей	田間
полей	田野
фигура	圖
веса	加權
веса	重量
локомотив	機車
локомотив	火車頭
начальной	初等
черногории	黑山
предприниматель	創業者
опасность	危害
опасность	危險性
опасность	危險
местоположение	地點
местоположение	位置
местоположение	所在地
сомнение	疑問
сомнение	疑慮
сомнение	懷疑
статуя	塑像
статуя	雕塑
статуя	雕像
территориях	領土
прямые	直接
поэзия	詩歌
поэзия	詩
навсегда	永遠
навсегда	永久
такси	計程車
такси	出租
производителей	製造商
производителей	製片人
перенесено	改期
перенесено	感動
аналогичные	相似
аналогичные	類似
напряжения	電壓
риск	風險
специальная	特別
лоб	額頭
управлять	管理
достичь	實現
привлечь	吸引
привлечь	抽籤
привлечь	畫
привлечь	繪製
обзоры	評語
обзоры	審查
уругвая	烏拉圭
уничтожение	滅絕
уничтожение	銷毀
уничтожение	毀滅
уничтожение	毀壞
уничтожение	破壞
уничтожение	消滅
учителей	教師
активный	活躍
активный	積極
охватывает	封面
значимые	有意義
общественности	公眾
общественности	公開
философы	哲學家
последовательность	連貫性
последовательность	序列
последовательность	一貫性
последовательность	順序
последовательность	一致性
последовательность	數列
сочинение	論文
сочинение	作文
присутствие	存在
объем	音量
объем	體積
постоянное	常數
постоянное	永久
ячейки	牢房
ячейки	細胞
отлично	棒
отлично	偉大
терапии	治療
терапии	療法
интерфейс	介面
массив	陣列
блокировать	區塊
аспекты	尺寸
понимания	理解
понимания	諒解
доступен	可用
кодекс	法典
упоминает	提及
миль	英里
миль	萬里
адреса	地址
адреса	住址
вращения	自轉
вращения	輪值
вращения	旋轉
вращения	輪換
производит	製成品
задания	指派
задания	轉讓
поздно	遲到
поздно	遲
поздно	晚
уточнить	指明
уточнить	精煉
уточнить	指定
добыча	採礦業
добыча	獵物
добыча	戰利品
добыча	礦業
добыча	採礦
мыс	角
желания	祝願
желания	慾望
желания	願望
ветра	風
дуэт	二重唱
ревизии	審計
стремление	力爭
пропаганды	宣傳
вызвать	召喚
сравнения	比較
сравнения	對比
зачёте	排名
роза	玫瑰
потока	流程
потока	流量
потока	流動
потока	流通
потока	流
обычный	正常
обычный	常態
обычный	平凡
обычный	普通
корее	朝鮮
корее	韓國
частный	私人
частный	隱私
частный	私營
уравнения	方程式
уравнения	方程
выполнить	執行
духовного	靈性
духовного	精神
аналог	對口
аналог	模擬
аналог	類比
гей	同性戀
очереди	佇列
очереди	排隊
падает	瀑布
падает	墜落
слухи	謠傳
слухи	八卦
слухи	緋聞
слухи	傳聞
слухи	閒話
слухи	謠言
слухи	傳言
слухи	流言蜚語
слухи	流言
почтовой	郵政
югославия	南斯拉夫
площадки	場地
эпоха	紀元
огайо	俄亥俄
огайо	俄亥俄州
драфт	草稿
достоинства	尊嚴
стратегии	戰略
дона	唐
регионы	區域
сектор	分支
сектор	分行
сектор	部門
равен	等於
компонентов	元件
легче	容易
легче	輕鬆
легче	打火機
легче	簡單
легче	輕
разряд	單打
разряд	單曲
прага	布拉格
подтверждение	證實
подтверждение	確認
раненых	負傷
праге	布拉格
сантьяго	聖地牙哥
сантьяго	聖地亞哥
конфедерации	邦聯
конфедерации	聯邦
вступила	加入
модуль	單元
модуль	模組
традиционные	傳統
питание	糧食
питание	食品
питание	營養
питание	食物
волна	浪
волна	浪潮
волна	波浪
волна	波
волна	揮手
владельца	所有者
владельца	業主
саша	沙沙
расследования	調查
трудности	難度
трудности	困難
обнаружения	偵測
обнаружения	探測
обнаружения	檢測
мосты	橋梁
мосты	橋
ночной	夜行
холм	希爾
холм	山
включен	啟用
существующие	現存
существующие	現有
марш	沼澤
марш	三月
офис	辦公
офис	辦公室
офис	辦事處
минуту	分鐘
повстанцев	叛軍
повстанцев	反叛
повстанцев	叛亂分子
повстанцев	叛亂份子
приговор	量刑
приговор	句子
приговор	判決
приговор	判刑
приговор	裁決
приговор	刑期
менеджер	管理者
менеджер	經理
менеджер	經理人
сквозь	通過
сквозь	透過
бар	酒吧
масла	油
седьмой	第七
начальная	初等
начальная	初始
осады	圍困
осады	圍攻
осады	圍城
осады	包圍
расширить	擴展
расширить	擴大
расширить	擴張
расширить	加寬
расширить	拓寬
расширить	拓展
кабинета	內閣
шахты	地雷
модификация	修改
еврейских	猶太
еврейских	猶太人
еврейских	猶太教
окрестности	鄰里
мама	母親
мама	母后
посетителей	訪客
посетителей	遊客
афины	雅典
пророка	先知
полные	完整
полные	滿
полные	飽
замечание	觀測
замечание	觀察
тест	測驗
тест	試驗
тест	測試
эффекты	影響
эффекты	效應
эффекты	效果
эффекты	特效
японские	日本人
японские	日文
рыба	魚類
рыба	魚
рыба	魚兒
адвокат	主張
адвокат	律師
адвокат	鼓吹
адвокат	倡導
вьетнама	越南
традиций	傳統
оставшихся	剩餘
подписи	簽署
подписи	簽名
подписи	簽字
разложения	分解
мастерская	研討會
чжан	張
еврейский	希伯來文
еврейский	猶太
еврейский	猶太人
еврейский	猶太教
еврейский	希伯來
моменты	時刻
моменты	瞬間
дар	禮物
дар	禮品
дар	天賦
частоты	頻率
ист	東方
ист	東部
ист	東
ист	東區
гостей	客人
гостей	賓客
гостей	來賓
удары	罷工
сухой	乾
сухой	乾燥
экономическая	經濟
ленты	絲帶
обязанностей	職責
ученые	學者
ученые	科學家
турниры	錦標賽
автобусы	巴士
автобусы	公車
вечер	晚間
вечер	晚上
вечер	傍晚
суммы	金額
суммы	數額
суммы	款額
эксплуатация	手術
эксплуатация	行動
эксплуатация	操作
эксплуатация	運算
эксплуатация	剝削
крыло	翼
крыло	永
полуостров	半島
градусов	度
градусов	學位
индейцев	印地安人
ждать	等待
ждать	等候
трансформации	轉變
трансформации	轉型
трансформации	變形
трансформации	轉化
трансформации	變換
трансформации	轉換
племянник	外甥
племянник	侄子
орёл	鷹
орёл	雕
орёл	鵰
орёл	老鷹
смело	勇者
смело	勇敢
франк	法郎
весна	彈簧
весна	春天
весна	春秋
весна	春
весна	春季
короны	冠
короны	皇冠
короны	王冠
помещение	房地
помещение	房舍
переводчики	口譯
переводчики	翻譯
переводчики	口譯員
химического	化學品
химического	化學
запасы	儲存
запасы	股票
запасы	儲備
запасы	準備金
запасы	庫存
отправить	送出
миллер	米勒
цены	價格
цены	物價
субъектов	演員
большевиков	布爾什維克
зима	冬季
зима	冬
зима	冬天
цивилизации	文明
вал	瓦爾
сознание	良知
сознание	知覺
сознание	良心
сознание	意識
внутрь	內在
внутрь	裡面
внутрь	內心
внутрь	內部
внутрь	內向
логика	邏輯
думал	思想
добычи	提取
добычи	抽取
добычи	萃取
добычи	採礦
добычи	礦業
добычи	採礦業
варшава	華沙
смену	輪班
приборов	用具
приборов	電器
колонны	欄
недостаток	劣勢
недостаток	缺點
теорема	定理
соли	鹽
соли	食鹽
соли	鹽類
носить	戴
носить	穿
носить	磨損
астероид	小行星
вещество	物質
вещество	實質
графика	繪圖
графика	圖形
лишения	剝奪
смесь	混合
смесь	混合物
явлений	現象
подробности	細節
подробности	詳情
куба	古巴
преподавателей	教師
дополнения	補充
дополнения	補
собаки	狗
собаки	犬
охота	獵
охота	打獵
охота	狩獵
укрепление	強化
укрепление	增援
укрепление	加固
укрепление	加強
величина	數值
величина	價值
величина	值
беженцев	難民
торговой	貿易
торговой	交易
торговой	買賣
гимн	國歌
гимн	聖歌
шанс	機會
снимать	拍攝
снимать	拍戲
ареста	癲癇
ареста	扣押
норм	規範
переходы	過渡
принцессы	公主
принцессы	小公主
принцессы	王妃
специальное	特別
найден	發現
найден	找到
гарсия	加西亞
мифология	神話
авиакомпания	航空公司
авиакомпания	航空
профессиональная	專業
синонимы	同義詞
синонимы	同義字
рассмотреть	考慮
задание	指派
задание	任務
задание	轉讓
задание	委派
воздействие	影響
воздействие	影響力
воздействие	撞擊
воздействие	衝擊
заявка	申請
заявка	申請書
уэльс	威爾斯
бумаги	論文
бумаги	紙張
бумаги	紙
положительные	陽性
положительные	積極
положительные	正面
положительно	陽性
положительно	積極
положительно	正面
исландии	冰島
плавания	航海
плавания	帆船
плавания	航行
рассмотрение	審議
рассмотрение	審查
короткое	短
короткое	矮
короткое	簡短
короткое	短期
читатель	讀者
снято	削減
снято	割
снято	切
снято	剪
мое	礦山
распределения	分布
распределения	分銷
распределения	分配
пушка	砲
пушка	槍支
пушка	槍
пушка	大炮
пушка	大砲
пушка	炮
уэльса	威爾斯
производитель	製片
производитель	廠商
производитель	製造廠商
производитель	製造商
производитель	製片人
гвардия	衛兵
гвардия	警衛
гвардия	守衛
гвардия	守護
греков	希臘
греков	希臘文
джаз	爵士樂
джаз	爵士
механика	技工
механика	力學
ветер	風
артура	阿瑟
люксембург	盧森堡
сорта	品種
маленькие	小
маленькие	小型
завоевания	征服
переписать	改寫
лёгкая	輕量級
защитника	後衛
гонка	種族
гонка	比賽
гонка	競賽
гонка	賽跑
обработка	加工
обработка	處理
туризм	旅遊
сочетании	組合
сочетании	結合
родственников	親屬
родственников	親戚
итого	共計
итого	總計
кухня	料理
кухня	美食
кухня	飲食
кухня	廚房
кухня	菜
ограничение	限
ограничение	極限
ограничение	限制
ограничение	上限
ограничение	限額
натрия	鈉
найдено	發現
найдено	找到
гарнизон	駐軍
афинах	雅典
протест	抗議
плоды	水果
плоды	果實
плоды	果
оскорбления	侮辱
хип	臀
хип	髖
хип	臀部
популярный	熱門
популярный	流行
популярный	受歡迎
популярный	人氣
подтвердить	證實
подтвердить	驗證
подтвердить	確認
пользователь	使用者
миссис	太太
частицы	顆粒
частицы	微粒
частицы	粒子
механизма	機械
механизма	機制
модернизации	現代化
электронный	電子
волн	浪
волн	波浪
волн	海浪
математике	數學
контакт	聯絡
контакт	接觸
работники	工人
работники	勞動者
работники	僱員
работники	員工
кеннеди	肯尼迪
возрождение	重生
возрождение	振興
возрождение	復興
возрождение	復蘇
возрождение	再生
возрождение	文藝復興
фактор	因數
фактор	因子
астрономии	天文
мюнхен	慕尼黑
вещания	放送
вещания	廣播
концентрации	濃度
ведение	維護
ведение	保養
ведение	維持
ведение	維修
смена	輪班
механизмы	機制
попробовать	嘗試
попробовать	試試
эвакуации	疏散
эвакуации	撤離
аудитории	觀眾
окно	視窗
окно	窗
окно	窗戶
ключевых	鑰匙
ключевых	關鍵
ключевых	鍵
умирает	垂死
демократии	民主
демократии	民主政體
точности	精確度
точности	精度
точности	準確性
точности	準確度
точности	精准
точности	精確
точности	精密
след	足跡
след	軌跡
след	蹤跡
след	小徑
след	腳印
экспертов	專家
набережной	海濱
конструкций	設計
конструкций	建構
трубы	管子
трубы	管管
трубы	水管
трубы	管
трубы	管道
рука	手
рука	臂
рука	胳膊
рука	手臂
парад	閱兵
парад	巡遊
парад	遊行
показ	展示
показ	顯示器
показ	顯示
ривер	河流
ривер	江河
ривер	河
ривер	江
вещание	直播
вещание	播出
вещание	放送
вещание	廣播
вещание	播放
согласны	同意
каналы	渠道
каналы	運河
каналы	頻道
каналы	海峽
каналы	通道
основателя	創始人
основателя	創辦人
камни	岩
камни	岩石
зависимость	依賴
зависимость	依賴性
зависимость	扶養
зависимость	上癮
зависимость	毒癮
зависимость	癮
монографий	專論
арене	競技場
арене	舞台
арене	體育館
танцы	舞
танцы	舞動
танцы	舞蹈
танцы	跳舞
трагедии	悲劇
трагедии	慘案
трагедии	慘劇
справка	幫助
справка	幫忙
справка	憑證
справка	證書
звуки	聲音
звуки	音效
руины	遺跡
руины	遺址
руины	廢墟
бульвар	大道
обвинение	控告
обвинение	收費
обвинение	充電
обвинение	公訴
обвинение	電荷
обвинение	起訴
завершить	完整
завершить	完成
нуля	刮
контакты	聯絡
контакты	接觸
сочетание	組合
вперед	向前
здравствуйте	你好
копии	副本
копии	拷貝
зная	明知
хроники	編年史
снарядов	殼
снарядов	貝殼
реализация	實現
боевая	作戰
ощущение	感受
ощущение	感覺
частота	頻率
наследство	繼承
наследство	傳承
наследство	遺產
наследство	遺留
наследство	遺贈
наследство	繼承權
близости	親暱
близости	親近
близости	親密關係
набережная	堤岸
пишите	寫信
пишите	撰寫
пишите	寫作
пишите	寫入
пишите	寫
режиссер	導演
режиссер	司長
режиссер	主任
монако	摩納哥
преследование	追求
преследование	追逐
преследование	跟蹤
преследование	迫害
преследование	追擊
преследование	騷擾
венеция	威尼斯
траве	草地
траве	草叢
траве	草
напряжение	張力
напряжение	電壓
лейк	湖
лейк	湖泊
таджикистана	塔吉克
выступающий	議長
выступающий	揚聲器
строк	線
строк	線條
преимущества	優點
преимущества	優勢
преимущества	福利
преимущества	長處
следствием	後果
активные	活躍
активные	積極
луна	月亮
луна	月
луна	月球
коренных	土著
вагон	車
вагон	汽車
известное	已知
рубеж	前沿
рубеж	邊疆
рубеж	邊境
пакистана	巴基斯坦
воины	勇士
метрах	公尺
авеню	大道
авеню	大街
камера	攝影機
камера	相機
камера	照相機
камера	鏡頭
боюсь	怕
собака	狗
собака	犬
собака	竇
ассистент	助理
ассистент	助手
рукопись	稿子
рукопись	手稿
подводная	水中
подводная	水底
подводная	水下
диалог	對話
инспектор	督察
секунды	秒
секунды	秒數
лошади	馬匹
лошади	馬
саундтрек	配樂
ориентации	方向
ориентации	定向
бад	芽
предыдущие	先前
мухаммед	穆罕默德
классический	古典
классический	經典
коммунистов	共產黨
дверь	門
вред	損害
вред	損傷
вред	傷害
вред	損壞
вред	危害
голосовать	投票
голосовать	表決
деревянный	木制
деревянный	木質
деревянный	木
гитлера	希特勒
помещений	房地
помещений	房舍
терри	特里
включение	包容性
включение	包容
мотивы	動力
мотивы	動因
мотивы	動機
уравнение	方程式
уравнение	方程
экран	螢幕
дно	底
дно	底下
дно	底部
дно	下方
кривой	曲線
захоронения	埋葬
захоронения	喪葬
захоронения	葬
водах	水域
коммерческий	商業
коммерческий	商用
коммерческий	商事
железы	腺
телефон	手機
телефон	電話
афганистане	阿富汗
квартал	季度
подводные	水中
подводные	水底
подводные	水下
семена	種子
семена	籽
архитекторов	建築師
принятии	接受
принятии	驗收
демонстрации	演示
демонстрации	示威
демонстрации	示範
весом	權衡
синтез	綜合
синтез	融合
синтез	合成
ливии	利比亞
дисциплины	紀律
дисциплины	紀律處分
товары	貨物
товары	產品
товары	商品
воскресенье	星期天
воскресенье	星期日
воскресенье	周日
воскресенье	週日
приглашение	邀請
тайны	神秘
тайны	謎
тайны	謎團
сборы	收費
сборы	費用
сборы	手續費
социологии	社會學
четверо	四
четверо	四名
четверо	四個
медицина	藥品
медицина	藥物
медицина	醫藥
медицина	醫學
медицина	藥
экспресс	特快
экспресс	明示
экспресс	快車
составлен	編譯
предложено	推薦
продукта	產物
продукта	產品
продукта	商品
европейская	歐洲
цезарь	凱撒
финансовые	金融
финансовые	財務
ангел	天使
иерусалим	耶路撒冷
тим	添
атомной	原子
притока	流入
жанна	貞德
парки	公園
этапах	階段
среда	週三
среда	星期三
скончалась	已故
скончалась	逝者
посадку	落地
посадку	著陸
посадку	登陸
посадку	降落
доли	股份
доли	分享
доли	共享
километр	公里
смены	輪班
регби	橄欖球
сов	貓頭鷹
смеси	混合物
манга	漫畫
сходство	相似
дипломатические	外交
нигерии	奈及利亞
регулярные	經常
регулярные	定期
разделены	分居
республиканской	共和
боеприпасов	彈藥
фасад	外觀
литва	立陶宛
пусто	空
пусто	空白
товарищ	同伴
товарищ	同志
товарищ	伴侶
кофе	咖啡
гипотеза	假設
гипотеза	假說
гипотеза	猜想
крик	尖叫
крик	溪
белка	松鼠
белка	蛋白質
белка	蛋白
смотрите	觀看
смотрите	手錶
постоянные	常數
постоянные	永久
монета	硬幣
монета	錢幣
святая	聖
святая	聖人
святая	神聖
набрав	打字
осада	圍困
осада	圍攻
осада	圍城
осада	包圍
сенатор	議員
сенатор	參議員
пролив	海峽
пен	筆
пен	鋼筆
алиса	愛麗絲
автобусов	巴士
автобусов	公車
оставляет	葉子
оставляет	樹葉
неверно	錯
неверно	錯誤
обычные	平凡
обычные	普通
библиография	書目
прочитать	讀取
прочитать	閱讀
прочитать	讀
заблокировать	鎖
заблокировать	區塊
заблокировать	鎖定
вторжение	侵略
вторжение	入侵
рэй	雷
тайна	神秘
тайна	秘密
тайна	謎
тайна	謎團
бомбы	炸彈
торгового	商家
торгового	商人
авторитет	信譽
авторитет	公信力
авторитет	權威
авторитет	可信度
продан	賣
продан	售出
железный	鐵
железный	鋼鐵
штурм	突擊
штурм	侵
штурм	攻擊
штурм	毆打
старшая	年長
старшая	最年長
старшая	長輩
старшая	前輩
старшая	老年
старшая	長老
вьетнам	越南
пакет	封包
пакет	包包
пакет	包裹
пакет	袋子
пакет	包
пакет	袋
пакет	包裝
доказательство	證據
доказательство	證明
мясо	肉類
мясо	肉
мясо	肉食
победила	元
супруг	配偶
майами	邁阿密
видны	可見
недовольство	不滿
марсель	馬賽
благодарность	感恩
продвижение	促銷
продвижение	晉升
продвижение	推廣
блоков	積木
блоков	區塊
дневник	日刊
дневник	日記
дневник	期刊
дневник	日誌
трасса	路線
коммунисты	共產黨
вчера	昨天
вчера	昨日
бостон	波士頓
описать	形容
описать	描述
пещеры	山洞
пещеры	洞穴
пещеры	岩洞
посредника	中介
посредника	主持人
расходы	成本
расходы	開支
расходы	支出
расходы	費用
добровольно	心甘情願
родина	故鄉
родина	家園
родина	祖國
родина	國土
основа	依據
основа	基礎
основа	基金會
французы	法文
французы	法語
магазины	商店
магазины	店鋪
жене	妻子
бит	bit
бит	節拍
прямая	直
прямая	直接
прямая	直直
эксперимент	實驗
эксперимент	試驗
преломления	折射
деревянные	木制
деревянные	木質
деревянные	木
двенадцать	十二
люк	孵化
люк	路加
люк	艙門
единства	團結
единства	統一
цифр	位數
наполеон	拿破崙
кале	甘藍
договоры	合同
договоры	條約
договоры	合約
нашла	發現
нашла	找到
дальний	遙遠
дальний	遠方
прикладной	套用
лео	獅子座
тридцать	三十
посещения	來訪
посещения	探訪
посещения	探視
посещения	造訪
посещения	訪問
посещения	拜訪
алфавит	字母
смешанных	混合
меди	銅礦
меди	銅
компоненты	元件
газов	氣體
преступление	犯罪
пользуются	享受
склонах	斜坡
склонах	山坡
популярные	熱門
популярные	流行
популярные	受歡迎
популярные	人氣
реестр	登記
реестр	名冊
реестр	註冊
реестр	登記處
печени	肝
печени	肝臟
инструкции	指示
инструкции	指令
кпк	中共
кпк	手持
фан	樊
фан	方
фан	風扇
фан	芳
фан	範
фан	粉絲
вызов	挑戰
стена	牆
стена	圍牆
стена	壁
стена	牆壁
создают	姿勢
лицензия	執照
лицензия	駕照
лицензия	許可
лицензия	許可證
маркиз	侯爵
подвиг	壯舉
плохой	壞
гражданский	民事
гражданский	公民
датский	丹麥
тени	影
тени	暗影
тени	陰影
тени	影子
построенные	內建
построенные	建
построили	內建
построили	建
орбиту	軌道
существа	生物
кремля	克里姆林宮
широкие	廣
широкие	寬
широкие	廣義
воспитание	培養
воспитание	養育
воспитание	教養
воспитание	撫養
воспитание	育兒
воспитание	撫育
обсерватория	天文台
стандарты	標準
климата	氣候
ранняя	及早
ранняя	提前
ранняя	早期
ранняя	提早
стрелки	箭頭
стрелки	射手
стрелки	箭號
стрелки	槍手
стрелки	箭
особенность	特徵
особенность	功能
особенность	特色
пауль	保羅
одежду	衣服
одежду	服裝
одежду	衣物
ветеран	獸醫
ветеран	老兵
эффективно	有效率
эффективно	有效
эффективно	高效
веру	信心
веру	信仰
веру	信念
боксёр	拳手
боксёр	拳擊手
охрана	守護
охрана	保護
охрана	警衛
охрана	衛兵
охрана	守衛
императрица	皇后
огромные	巨大
франков	法郎
украину	烏克蘭
нормальный	正常
нормальный	常態
пассажирских	乘客
пассажирских	旅客
ходить	行走
ходить	步行
ходить	走路
ходить	散步
детектив	警探
детектив	偵探
духовенства	神職人員
волк	狼
талант	人才
талант	天賦
талант	天才
талант	才幹
талант	才華
утро	上午
утро	早上
утро	早晨
боль	疼痛
боль	痛苦
боль	痛
боль	傷痛
бей	灣
бей	海灣
отель	賓館
отель	飯店
отель	旅館
отель	酒店
точное	精確
убийцы	刺客
физиологии	生理
установок	設施
установок	裝置
газету	報
газету	報紙
газету	報章
афганистана	阿富汗
победить	敗
победить	贏了
победить	贏
победить	節拍
победить	勝利
парень	男朋友
парень	男孩
парень	小孩
парень	男友
чтение	讀書
чтение	閱讀
чтение	讀取
чтение	讀
формулировка	措辭
формулировка	措詞
захвачен	被俘
резонанс	共振
обход	繞道
обход	規避
мур	荒原
мур	穆爾
мур	摩爾
осень	秋
осень	跌倒
осень	秋天
осень	秋季
радиус	半徑
сел	週六
предотвратить	防止
апостольский	使徒
сервис	服務
сервис	工具
электронные	電子
сенат	元老院
сенат	參議院
еврейская	猶太
еврейская	猶太人
еврейская	猶太教
убийца	殺手
убийца	刺客
арабский	阿拉伯
арабский	阿拉伯語
арабский	阿拉伯文
предков	祖先
ведущая	領先
ведущая	主持人
ведущая	鉛
ведущая	帶頭
ведущая	領導
пропустил	錯過
свидетельство	證言
свидетельство	證詞
свидетельство	憑證
свидетельство	證書
сервер	伺服器
австралийский	澳洲
супер	超
супер	超級
пишу	撰寫
пишу	寫作
пишу	寫入
пишу	寫
пишу	書寫
дальнейшая	進一步
полицейский	警察
полицейский	警方
полицейский	警務
кан	康
кан	姜
атаковать	襲擊
атаковать	進攻
атаковать	攻擊
присоединились	加入
эксперт	專家
розыгрыш	抽獎
розыгрыш	贈品
розыгрыш	惡作劇
дружба	友情
дружба	友誼
древняя	古老
древняя	古代
ссылаться	援引
ископаемых	化石
фотограф	攝影師
кислорода	氧
кислорода	氧氣
мэн	緬因州
мэн	孟
позади	背後
позади	後面
позади	身後
формировании	塑造
поправки	修正案
поправки	修正
астроном	天文學家
экологии	生態
экологии	生態學
жозеф	約瑟夫
жозеф	約瑟
госпиталь	醫院
простое	簡單
электроэнергии	供電
электроэнергии	電
электроэнергии	電力
кубы	古巴
задняя	後方
возражения	反對
возражения	異議
старших	資深
бесплатно	自由
бесплатно	免費
стекла	玻璃
показания	證詞
показания	證言
янг	楊
янг	年輕
кинотеатр	戲劇
кинотеатр	電影院
кинотеатр	電影
кинотеатр	戲院
кинотеатр	劇院
кинотеатр	劇場
центральное	中央
важность	重要
важность	重要性
подробное	詳細
разновидности	品種
венесуэлы	委內瑞拉
настоящая	真實
гостиница	賓館
гостиница	飯店
гостиница	旅館
гостиница	酒店
навигации	導航
навигации	航行
развиваться	進化
развиваться	演化
хозяин	師父
хозяин	所有者
хозяин	主人
хозяин	大師
хозяин	師傅
хозяин	業主
ранг	排名
дополнительное	額外
дополнительное	附加
дополнительное	多餘
колония	殖民地
обложка	封面
обложка	覆蓋
обложка	掩護
классическая	古典
классическая	經典
картинки	圖畫
картинки	像片
картинки	圖片
картинки	照片
картинки	影像
нынешней	電流
нынешней	現任
нынешней	目前
перепись	普查
перепись	人口普查
принадлежали	屬於
объяснения	解釋
зубов	牙
зубов	牙齒
барабаны	鼓聲
барабаны	鼓
студент	學生
историографии	史學
водорода	氫氣
водорода	氫
охоты	獵
охоты	打獵
охоты	狩獵
образы	影像
образы	圖片
домашние	自制
дэн	登
дэн	鄧
дэн	丹
приборы	儀器
приборы	文書
приборы	樂器
приборы	儀表
квартиру	平
квартиру	公寓
квартиру	平面
арест	逮捕
арест	被捕
арест	拘捕
рисунки	圖畫
рисунки	像片
рисунки	繪圖
рисунки	圖片
рисунки	照片
рисунки	圖紙
заказ	秩序
заказ	訂單
заказ	順序
заказ	訂購
заказ	命令
социальный	社會
социальный	社交
реальность	現實
хасан	哈桑
намерения	意向
намерения	意圖
арбитр	裁判
свадьба	婚禮
вреда	傷害
вреда	危害
преобразование	轉變
преобразование	轉型
преобразование	變形
преобразование	轉化
преобразование	變換
преобразование	轉換
ученый	學者
ученый	狀元
ученый	學人
ученый	科學家
театры	戲院
театры	劇院
гитары	吉他
крейсеров	巡洋艦
неба	天空
политехнический	理工
политехнический	理工學院
мельница	風車
механик	技工
склад	倉庫
склад	倉儲
склад	貯存
склад	儲存
чрезвычайный	非凡
критическое	危急
критическое	臨界
критическое	批判
используемые	使用
прощения	寬恕
райан	瑞安
хлеб	麵包
избрана	當選
сады	果園
сады	花園
слоя	層
