年	jaar
創建	schepping
牙	tand
牙	tandjes
牙	gebit
牙	tanden
吃	eten
吃	eet
首席	chef
首席	opperhoofd
可靠	betrouwbaar
可靠	betrouwbare
強烈	sterk
強烈	sterke
強烈	sterken
運作	functioneert
運作	functioneren
運作	functionerend
女人	vrouw
華人	chinees
華人	chinezen
繼承	erfenis
繼承	erven
繼承	opvolging
繼承	erfdeel
淡水	zoetwater
資源	informatiebronnen
資源	hulpbronnen
資源	middelen
資源	bronnen
資源	hulpbron
平面	vliegtuig
平面	plat
重量	gewicht
重量	gewichten
依然	nog
化學	chemie
化學	scheikunde
化學	chemisch
乾	droge
乾	droog
乾	drogen
房屋	huis
房屋	huizen
基金會	funderingen
基金會	stichting
基金會	stichtingen
基金會	fundamenten
基金會	grondslagen
基金會	fundering
老師	leraar
老師	onderwijzer
老師	leerkracht
老師	docent
老師	lerares
經紀	makelaars
經紀	makelaar
五十	vijftig
刻	gegraveerd
刻	snijden
合約	contracten
平原	vlaktes
平原	effen
平原	vlakte
平原	vlakten
證明	bewijzen
證明	bewijs
佔領	beroep
佔領	bezetting
佔領	bezigheid
佔領	bezetten
領導	leiderschap
領導	leidend
領導	leidende
幸福	gelukkig
幸福	blij
幸福	vrolijk
幸福	geluk
幸福	blijdschap
幸福	tevreden
幸福	blijheid
弟弟	broer
弟弟	broertje
弟弟	broeder
引入	introduceren
城堡	kasteel
奧運	olympische
奧運	olympisch
歡迎	welkom
歡迎	welkome
影像	imago
影像	beeldvorming
影像	beeld
影像	afbeeldingen
影像	beelden
影像	afbeelding
凌	rammen
凌	leng
吻	zoen
吻	kusje
吻	kus
吻	kussen
火山	vulkanische
火山	vulkanisch
火山	vulkaan
火山	vulkanen
廟	tempel
阿拉伯	arabier
阿拉伯	arabië
阿拉伯	arabisch
腳	voetjes
腳	voet
腳	voeten
產業	industrieën
產業	landgoed
產業	bedrijfstakken
產業	bedrijfstak
產業	industrie
一致	unanimiteit
一致	eenstemmigheid
一致	eenparigheid
生存	overleving
生存	overleven
生存	voortbestaan
棒	fantastisch
棒	geweldig
棒	groot
裝置	apparaat
裝置	installaties
裝置	apparaten
裝置	toestel
現象	fenomenen
現象	verschijnselen
現象	verschijnsel
現象	fenomeen
基於	gebaseerd
女孩	meis
女孩	meisjes
女孩	meisje
女孩	meiden
女孩	meid
年輕	jonge
年輕	jong
藤	wijnstokken
藤	rotan
早上	ochtend
早上	goedemorgen
早上	morgen
早上	goeiemorgen
商品	produkt
商品	goederen
商品	koopwaar
商品	produkten
商品	handelswaar
商品	producten
商品	grondstoffen
受傷	gewond
受傷	geblesseerd
受傷	gewonden
評論	opmerkingen
評論	reactie
評論	opmerking
評論	commentaar
評論	reacties
評論	commentaren
狀況	toestand
狀況	voorwaarde
狀況	aandoening
狀況	conditie
放棄	weggooien
小組	paneel
承認	erkenning
承認	herkenning
年齡	leeftijden
年齡	leeftijd
年齡	ouderdom
廣泛	wijdverbreide
廣泛	uitgebreide
廣泛	wijdverspreide
廣泛	uitgebreid
廣泛	wijdverbreid
地名	toponiemen
地名	toponymie
嶺	bergkam
嶺	richel
更改	wijzigingen
更改	verandering
更改	veranderingen
更改	veranderen
更改	wijzigen
更改	wijziging
更改	aanpassen
序	proloog
派遣	verzending
泥	klei
泥	modder
研究生	afgestudeerd
研究生	postdoctorale
研究生	afgestudeerde
研究生	afstuderen
提及	noemt
提及	vermeldingen
訪問	bezoeken
訪問	bezoek
儘管	hoewel
儘管	alhoewel
拳	vuisten
拳	vuist
利益	belangen
利益	interesses
伊拉克	irak
奧林匹克	olympisch
最低	laagst
最低	laagste
衛星	satelliet
衛星	manen
衛星	satellieten
純	zuivere
純	zuiver
純	puur
海上	zee
正面	positieve
正面	positief
愛情	liefde
愛情	liefs
島嶼	eilanden
島嶼	eiland
粗	ruig
粗	ruw
粗	ruwe
生日	jarig
生日	verjaardagen
生日	verjaardag
蟹	krab
蟹	krabben
邨	landgoed
放送	uitzenden
放送	uitzending
放送	omroep
理想	ideaal
理想	idealen
桃	perzik
忽略	genegeerd
忽略	negeren
忽略	negeer
忽略	verwaarlozing
忽略	verwaarlozen
農業	landbouw
活	leven
活	leef
舞蹈	dans
舞蹈	dansen
舞蹈	dansje
民主黨	democraten
丸	pillen
衝突	conflict
衝突	botsingen
衝突	botsing
衝突	conflicten
湖泊	meer
湖泊	meren
確認	bevestigde
確認	bevestigen
確認	bevestiging
確認	bevestigd
確認	bevestig
簡	janneke
調整	herschikking
調整	aanpassingen
調整	afstelling
調整	aanpassing
調整	aanpassen
崖	bluffen
崖	rots
崖	kliffen
崖	bluf
崖	klip
崖	klif
崖	klippen
崖	rotsen
犬	hond
犬	hondje
犬	honden
編劇	scenarioschrijver
編劇	schrijfster
編劇	scenario
編劇	schrijver
版權	auteursrechten
版權	auteursrecht
冷	koude
冷	koud
冷	kou
粒子	deeltjes
粒子	partikels
粒子	deeltje
婚姻	trouwen
婚姻	huwelijken
婚姻	huwelijk
最新	laatste
最新	nieuwste
成本	kosten
成本	kostprijs
接收	ontvangst
接收	receptie
接收	ontvangende
接收	ontvangen
接收	ontvang
數字	getal
數字	aantal
數字	nummers
數字	figuren
數字	cijfers
數字	nummer
數字	getallen
數字	aantallen
常見	vaak
常見	gemeenschappelijk
愛爾蘭	iers
愛爾蘭	ieren
愛爾蘭	ierse
愛爾蘭	ierland
第九	negende
冰川	gletsjer
冰川	gletsjers
通知	kennisgeving
通知	meldingen
通知	melding
通知	notificatie
通知	aanmelding
通知	aanmeldingen
鼓	drumstel
鼓	trommels
鼓	trommel
鼓	trom
鼓	vaten
裝甲	gepantserde
裝甲	pantser
裝甲	harnas
惡	kwaad
惡	slechtheid
拉丁	latijnse
拉丁	latijns
拉丁	latijn
政治家	politici
政治家	politica
政治家	politicus
上升	stijgend
上升	rijzende
上升	stijgen
上升	stijgende
丈夫	echtgenoot
布朗	bruin
布朗	bruine
重要性	belangrijkheid
重要性	belang
黃金	goud
黃金	gulden
黃金	gouden
醫學	geneesmiddel
醫學	medisch
醫學	geneeskunde
醫學	medische
醫學	medicijnen
到達	aankomst
到達	gearriveerd
到達	aankomen
到達	aangekomen
山口	kol
紅色	rode
紅色	rood
商人	koopman
商人	zakenmensen
商人	handelaren
商人	zakenman
商人	zakenlui
商人	zakenmannen
商人	zakenlieden
商人	handelaar
商人	kooplieden
成就	verwezenlijkingen
成就	prestaties
成就	prestatie
十月	oktober
十月	lgo
金屬	metaal
金屬	metalen
改編	aangepast
改編	aanpassingen
收購	acquisitie
收購	overnames
收購	overname
安裝	installatie
安裝	installeren
安裝	installaties
安裝	inbouw
安裝	geïnstalleerde
安裝	geinstalleerd
安裝	geïnstalleerd
安裝	installeer
大街	laan
糖	suikers
糖	suiker
糖	snoepje
糖	snoepgoed
糖	snoep
動作	actie
動作	beweegt
動作	optreden
動作	aktie
匯	zinkt
半島	schiereiland
分裂	verdelen
分裂	verdeeld
分裂	verdeelde
分裂	splitsen
分裂	verdeel
代替	vervang
代替	vervangen
隊伍	ploegen
收藏	inzameling
收藏	collectie
收藏	verzamelen
收藏	verzameling
收藏	verzamelingen
收藏	collecties
措施	maatregelen
能源	energie
大多	meesten
大多	meestal
大多	meest
大多	hoofdzakelijk
大多	voornamelijk
大多	vooral
大多	meeste
機動	manoeuvreren
機動	manoeuvre
暴力	gewelddadige
暴力	geweld
暴力	gewelddadig
人們	mensen
人們	personen
觀測	waarneming
觀測	observatie
觀測	observaties
觀測	observeren
實際上	eigenlijk
暗	duister
暗	donkere
暗	donker
划	roei
划	roeien
划	rij
壁	prikbord
壁	muur
壁	wand
知識	kennis
粉	roze
粉	kruit
粉	poeder
預計	verwachtte
預計	verwachte
預計	verwacht
預計	geprojecteerd
顏色	kleuren
顏色	kleur
補	aanvulling
補	toeslag
譚	kleurtje
控股	vasthouden
團隊	ploegen
碳	koolstof
分支	bijkantoor
分支	tak
分支	takken
分支	bijkantoren
分支	filiaal
分支	filialen
拆除	ontmantelen
拆除	slopen
拆除	afbraak
拆除	demonteren
拆除	ontmanteling
拆除	sloop
女神	godin
律師	advocate
律師	juristen
律師	advocaten
律師	advocaat
律師	jurist
年份	jaar
年份	jaren
免費	vrij
免費	gratis
物質	substanties
物質	stoffen
物質	substantie
自我	zelf
家人	familie
家人	gezin
永久	blijvend
永久	blijvende
永久	permanent
永久	definitief
永久	permanente
分配	verdeling
分配	toewijzing
分配	allocatie
分配	distributie
幻想	fantasieën
幻想	illusie
幻想	fantasie
幻想	illusies
購買	koop
購買	aanschaffen
購買	gekochte
購買	inkoop
購買	gekocht
購買	aanschaf
購買	aankoop
購買	aangeschaft
購買	ingekocht
購買	aangekocht
購買	kopen
購買	aankopen
經驗	ervaring
經驗	ervaringen
經驗	ervaren
經驗	ervaar
航空公司	luchtvaartmaatschappijen
航空公司	luchtvaartmaatschappij
物種	soorten
物種	soort
物種	diersoort
物種	diersoorten
治療	therapie
治療	therapeutisch
治療	behandeling
在一起	samen
玻璃	glazen
玻璃	glas
學術	academisch
學術	academische
三角	triangulatie
三角	driehoek
三角	driehoekige
結合	combineren
結合	gecombineerde
結合	gecombineerd
推動	duwen
推動	persen
港口	poorten
港口	haven
港口	poort
港口	havens
港口	bakboord
穩定	stabilisatie
穩定	stabiliteit
穩定	stabilisering
穩定	stabiel
穩定	stabiele
穩定	gestaag
法官	rechter
法官	oordelen
法官	rechters
法官	magistraten
古典	klassieker
古典	klassieke
古典	klassiek
喬治	joris
市區	binnenstad
共和	republikein
共和	republikeinen
共和	republiek
共和	republikeinse
作曲家	componist
作曲家	componisten
教宗	paus
角度	hoeken
角度	hoek
地址	adressen
地址	adres
身分	identiteit
碼	wetboek
引發	geactiveerd
慕尼黑	münchen
感染	geïnfecteerd
感染	besmet
感染	infecties
感染	infectie
感染	geïnfecteerde
感染	ontstoken
感染	besmetting
薄	dun
薄	mager
保障	waarborgen
保障	garanties
保障	garantie
原則	beginselen
原則	principe
原則	beginsel
原則	principes
收集	verzameld
收集	inzameling
收集	collectie
收集	ingezameld
收集	verzamelen
收集	verzameling
收集	verzamelde
收集	verzamel
簡單	makkelijk
簡單	eenvoudig
簡單	gemakkelijk
簡單	eenvoudige
簡單	simpel
簡單	rustig
男人	mannen
規則	regels
規則	voorschriften
化合物	verbindingen
八月	augustus
法庭	tribunaal
法庭	rechtbanken
法庭	tribunalen
法庭	hof
貴	duur
貴	dure
榮譽	eer
榮譽	eren
榮譽	eert
聞	reuk
聞	ruiken
聞	geur
聞	ruik
四個	vier
出售	verkopen
出售	uitverkoop
出售	verkoop
想要	wil
想要	willen
想要	wilt
共產黨	communisten
防止	voorkomen
防止	voorkom
妹妹	zusje
妹妹	zus
妹妹	zuster
三月	marcheren
三月	maart
表達	uitdrukking
表達	expressie
無線	draadloos
吸收	geabsorbeerde
吸收	absorptie
吸收	geabsorbeerd
吸收	absorberen
奧地利	oostenrijk
誰	wie
成人	volwassene
成人	volwassenen
成人	volwassen
整合	geïntegreerd
整合	codificatie
整合	geïntegreerde
整合	integreren
整合	consolideren
整合	integratie
整合	consolidatie
跑	uitvoeren
跑	ren
跑	rennen
威爾	zal
威爾	zullen
供應	leveringen
供應	voorraad
供應	benodigdheden
供應	voorraden
供應	bevoorrading
岸	wal
岸	oever
祖父	grootvader
祖父	opa
哥哥	broer
哥哥	broertje
哥哥	broeder
終於	eindelijk
終於	uiteindelijk
龜	schildpad
結	knopen
結	knoop
二月	februari
醫生	dokter
醫生	doktor
醫生	arts
教師	leraars
教師	onderwijzers
教師	leraar
教師	onderwijzer
教師	leerkracht
教師	leerkrachten
教師	docenten
教師	docent
教師	leraren
教師	lerares
不滿	ontstemd
不滿	ontevredenheid
不滿	ontevreden
不滿	onvrede
不滿	ongenoegen
涉嫌	verdacht
涉嫌	vermoedelijke
涉嫌	vermoede
涉嫌	vermoedde
伯爵	graaf
伯爵	telling
伯爵	tel
伯爵	tellen
親王	prins
特徵	karakteristiek
特徵	karakteristieken
特徵	kenmerken
特徵	kenmerk
特徵	kenmerkend
特徵	functie
特徵	functies
特徵	eigenschappen
航天	ruimtevaart
進一步	verder
進一步	verdere
穿	dragen
穿	draag
穿	dragend
穿	slijtage
傷	gewond
傷	geblesseerd
傷	gewonden
政黨	partij
政黨	feest
政黨	feestje
相對	relatief
相對	relatieve
入口	ingang
入口	entree
一半	helft
七月	juli
同上	idem
路口	kruising
路口	kruispunt
危機	crisissen
指示	instructie
指示	instructies
東南	zuidoost
東南	zuidoosten
軍團	legioen
軍團	legioenen
憲法	grondwet
憲法	constitutie
憲法	grondwetten
天然	natuurlijk
天然	natuurlijke
打破	breken
打破	pauze
駕駛	autorijden
駕駛	stuurprogramma
駕駛	rijden
駕駛	rijdend
駕駛	bestuurder
駕駛	chauffeur
駕駛	rijd
恐龍	dinosaurus
恐龍	dinosauriërs
恐龍	dinosaurussen
特性	karakteristiek
特性	karakteristieken
特性	kenmerken
特性	kenmerk
特性	kenmerkend
特性	eigenschappen
名人	beroemdheden
名人	bekendheid
名人	beroemdheid
氧化	oxidatie
腹	buik
腹	onderbuik
移除	verwijder
移除	verwijderen
戰車	strijdwagens
笑	glimlachen
笑	lach
笑	lachen
笑	glimlach
總督	gouverneur
通訊	nieuwsbrief
通訊	communicatie
通訊	mededeling
通訊	mededelingen
商店	winkel
商店	bewaren
延長	uitgebreid
延長	verlengd
延長	verlengen
延長	uitbreiding
延長	verlenging
延長	extensie
裝備	uitrusting
裝備	materiaal
裝備	versnelling
裝備	apparatuur
裝備	materieel
裝備	vistuig
顧問	consulent
顧問	adviseur
顧問	adviseurs
顧問	raadadviseur
醫療	medische
醫療	medisch
細胞	cel
細胞	cellen
患者	patiënten
患者	patiënt
患者	patienten
患者	geduldig
勤	ijverig
劇情	perceel
劇情	complot
站台	perron
依據	grondslag
抗議	protesten
抗議	protesteren
急	spoed
急	dringend
急	urgentie
男主角	acteur
典型	typische
典型	typisch
中間	midden
中間	intermediaire
中間	middelste
中間	intermediair
中間	tussentijdse
文獻	literatuur
蜥	hagedissen
蜥	hagedis
多數	meerderheid
多數	meest
多數	meesten
多數	meeste
暫停	schorsen
暫停	pauzeren
暫停	vering
暫停	pauze
暫停	opschorten
暫停	suspensie
暫停	opschorting
暫停	schorsing
百萬	miljoen
百萬	miljoenen
聲音	geluid
聲音	stem
測量	meting
測量	maatstaf
測量	meet
測量	meten
測量	metingen
測量	opmeten
測量	maatregel
買	kopen
買	koop
近代	moderne
噸	ton
噸	tonnen
論文	proefschrift
論文	scriptie
論文	opstel
論文	papieren
論文	papier
直播	leven
直播	uitzenden
直播	uitzending
直播	uitgezonden
直播	leef
游泳	zwem
游泳	zwemmen
反映	weerspiegelen
反映	reflecteren
反映	reflecterende
常常	regelmatig
常常	frequent
常常	veelvuldig
常常	vaak
常常	dikwijls
創造	creatie
創造	schepping
同步	synchroniseren
同步	synchronisatie
同步	synchrone
同步	synchroon
經典	klassiekers
經典	klassieke
經典	klassieker
經典	klassiek
教學	lesgeven
教學	onderwijzen
教學	instructie
教學	instructies
權力	krachten
權力	vermogen
權力	kracht
權力	bevoegdheden
權力	macht
六月	juni
公眾	publiek
公眾	openbaar
工廠	fabrieken
工廠	fabriek
書院	hogeschool
書院	universiteit
澳大利亞	australië
暫時	tijdelijk
領袖	leider
軟	zacht
軟	zachte
標誌	bordjes
標誌	tekens
標誌	borden
標誌	tekenen
邁	moi
電話	bellen
電話	telefoon
電話	oproep
電話	bel
那麼	daarna
那麼	dan
堆	opstapelen
堆	stapel
堆	stapelen
蘋果	appel
蘋果	appels
蘋果	appelen
戰鬥機	strijders
戰鬥機	vechters
戰鬥機	boksers
市長	burgemeester
肉	vlees
規模	schalen
規模	schaal
大師	meester
抵達	aankomst
抵達	gearriveerd
抵達	aankomen
抵達	aangekomen
會員	lid
抵抗	verzet
抵抗	tegenstand
抵抗	resistentie
抵抗	weerstand
公車	bussen
附加	aanvullende
附加	bijkomende
附加	bijkomend
附加	extra
附加	aanvullend
附加	bijvoegen
春秋	voorjaar
春秋	lente
丹麥	denemarken
丹麥	deense
丹麥	deens
毒	vergif
毒	gif
沿海	kust
月刊	maandelijkse
月刊	maandelijks
公式	formules
公式	formule
註冊	geregistreerde
註冊	registratie
註冊	registreren
註冊	geregistreerd
註冊	ingeschreven
註冊	inschrijving
註冊	inschrijven
定居	nederzetting
定居	schikking
定居	afwikkeling
定居	vereffening
違反	schenden
違反	schending
違反	inbreuk
違反	overtreding
違反	bres
非法	onrechtmatige
非法	illegale
非法	illegaal
非法	onwettig
非法	onrechtmatig
積極	positieve
積極	positief
積極	actief
積極	actieve
性質	natuur
弱	zwakte
弱	zwakheid
弱	slap
弱	zwakke
弱	zwakkere
弱	zwakker
弱	zwak
弱	zwakken
沿岸	kust
衍生	afgeleid
衍生	afgeleide
衍生	derivaat
天體	voorwerpen
天體	objecten
天體	voorwerp
歌唱	zing
歌唱	zang
歌唱	gezang
歌唱	zingen
當局	autoriteiten
合唱	refrein
合唱	koor
行走	lopend
行走	wandelen
行走	lopen
登陸	aanlanding
登陸	aanvoer
回答	antwoord
回答	beantwoorden
強調	benadrukken
指令	richtlijn
指令	instructie
指令	instructies
指令	richtlijnen
封面	omslag
封面	omvat
封面	dekken
封面	dekt
封面	dekking
封面	omslagen
數學	wiskunde
數學	wiskundig
數學	wiskundige
數學	mathematische
指控	aantijgingen
指控	bewering
指控	beweringen
指控	beschuldigingen
指控	beschuldiging
人才	talenten
專家	experten
專家	gespecialiseerd
專家	deskundige
專家	deskundigen
玩	spelen
玩	afspelen
玩	speel
相互	wederzijdse
相互	wederzijds
埠	haven
埠	bakboord
埠	poort
攝影	fotograferen
攝影	cinematografie
攝影	fotografie
權利	rechten
幫	bende
商場	winkelcentrum
武裝	bewapenen
武裝	gewapende
武裝	gewapend
武裝	bewapend
性格	persoonlijkheid
性格	karakter
性格	personage
成長	toenemend
成長	teelt
成長	groeien
成長	groeiende
成長	groeiend
成長	groei
最小	minimaal
最小	jongsten
最小	jongste
星期六	zaterdag
工作室	atelier
印刷	drukken
印刷	bedrukt
印刷	afgedrukt
印刷	geprint
印刷	bedrukken
印刷	printen
印刷	afdrukken
印刷	afdruk
印刷	drukwerk
印刷	gedrukt
電力	electriciteit
電力	elektriciteit
電力	vermogen
電力	kracht
電力	macht
起源	herkomst
起源	oorsprong
情報	inlichtingen
情報	inlichtingendienst
情報	intelligentie
賣	verkopen
賣	verkocht
賣	verkochte
賣	verkoop
體重	gewicht
救援	redding
救援	reddingsteam
救援	redden
大多數	meest
大多數	meesten
大多數	meeste
已知	gekende
已知	bekend
已知	gekend
已知	bekende
磅	ponden
磅	pond
高原	hoogland
青少年	tieners
青少年	tiener
青少年	adolescente
青少年	pubers
青少年	puber
青少年	jongeren
青少年	jeugd
青少年	adolescenten
流浪	ronddwalen
流浪	verdwaalde
流浪	dwalen
流浪	afdwalen
授權	toegestane
授權	machtiging
授權	toestemming
授權	vergunning
授權	autorisatie
授權	geautoriseerd
授權	toegelaten
授權	toegestaan
策略	tactiek
策略	tactieken
鷹	arend
鷹	adelaar
鷹	havik
鷹	adelaars
最好	beste
探測	sonde
探測	opsporing
探測	detectie
鋼	staal
鋼	stalen
開幕	openen
籃球	basketbal
領土	grondgebied
領土	gebiedsdelen
領土	gebieden
領土	territoriaal
領土	territorium
領土	territoriale
替代	vervanging
替代	plaatsvervanger
替代	substituut
替代	substitutie
替代	vervangen
替代	vervang
替代	vervanger
型號	modellen
天空	hemel
天空	lucht
天空	luchten
手機	telefoon
燃料	brandstof
燃料	splijtstof
青春	jongeren
青春	jeugd
青春	jeugdige
投手	kruiken
投手	werpen
投手	werper
黑暗	duisternis
黑暗	duister
黑暗	donkere
黑暗	donker
競爭	concurrerend
競爭	competitieve
競爭	competitief
競爭	rivaliteit
競爭	wedijver
競爭	concurrerende
競爭	concurrentie
競爭	competitie
競爭	mededinging
競爭	concurreren
運行	uitvoeren
運行	hardlopen
運行	ren
運行	rennen
呼	oef
內閣	kabinet
尋找	zoek
尋找	vinden
尋找	vind
尋找	kijken
智利	chili
證實	bevestigen
證實	bevestiging
證實	bevestig
壓力	druk
豆	boontje
豆	bonen
豆	boon
形容	beschrijf
形容	omschrijf
形容	beschrijven
鄰	buren
校園	campussen
平衡	saldo
平衡	uitgebalanceerd
平衡	evenwichtige
平衡	evenwicht
平衡	balans
平衡	balanceren
平衡	uitgebalanceerde
平衡	evenwichtig
平衡	afweging
動力	vermogen
動力	kracht
動力	macht
動力	motivatie
候選人	kandidaat
候選人	kandidaten
候選人	sollicitanten
值得	waard
值得	waardige
值得	waardig
跳	springen
跳	spring
跳	sprong
密度	dichtheid
密度	intensiteit
成果	uitkomst
成果	resultaten
成果	uitslagen
成果	resultaat
對應	overeenkomstige
對應	corresponderende
對應	corresponderen
對應	correspondeert
標題	rubrieken
標題	onderschrift
標題	titels
標題	kop
標題	titel
標題	koptekst
侵犯	schending
侵犯	overtreding
侵犯	inbreuk
侵犯	inbreuken
偏	vooringenomenheid
偏	vooroordeel
偏	vooroordelen
偏	vooringenomen
想法	gedachtes
想法	ideeen
想法	ideeën
想法	ideetjes
想法	gedachten
一生	looptijd
一生	levensduur
戀愛	liefde
戀愛	liefs
戀愛	relatie
亞歷山大	alexandrië
亞歷山大	aleksandr
傳播	verspreiden
傳播	vermeerdering
傳播	verspreiding
傳播	voortplanting
傳播	verspreid
等級	niveau
等級	hiërarchie
等級	graad
等級	cijfers
等級	rangen
英尺	voetjes
英尺	voet
英尺	voeten
市政府	gemeenten
興趣	interesse
興趣	belangen
興趣	geïnteresseerd
興趣	rente
興趣	belang
興趣	belangstelling
興趣	interesses
允許	toegestane
允許	toestemming
允許	toestaan
允許	permissie
允許	toegelaten
允許	toegestaan
理念	filosofie
理念	concepten
理念	begrippen
鼻	neus
怪	vreemd
怪	oneven
怪	raar
對抗	confrontaties
對抗	confrontatie
差異	discrepanties
差異	verschillen
差異	verschil
差異	variantie
路易斯	lodewijk
員工	medewerkers
員工	werknemer
員工	werknemers
員工	medewerker
格林	groen
格林	groene
綠色	groen
綠色	groene
車隊	colonne
車隊	stoet
車隊	wagenpark
車隊	konvooi
車隊	vloot
單元	eenheid
單元	eenheden
英吋	inch
英吋	centimeter
英吋	centimeters
神秘	geheimzinnige
神秘	mysterieus
神秘	mysterie
神秘	geheimzinnig
神秘	mysterieuze
槽	groef
槽	trog
槽	gleuf
尊重	respecteer
尊重	respecteren
溫度	uitzendkracht
溫度	temperaturen
溫度	temperatuur
基督	christus
砲	kanon
砲	kanonnen
頒獎	onderscheidingen
頒獎	prijsuitreiking
真實	echt
真實	waar
真實	echte
真實	klopt
真實	reëel
援助	steun
援助	assistentie
援助	hulp
援助	bijstand
蜀	sjoe
意識	bewustzijn
穆斯林	moslim
穆斯林	moslims
每週	weekoverzicht
每週	wekelijks
每週	wekelijkse
苗	zaailingen
觀點	vooruitzichten
觀點	perspectieven
色彩	kleuren
色彩	kleur
加強	versterkt
加強	versteviging
加強	verbeterd
加強	verbetering
加強	versterken
加強	versterking
加強	verbeteringen
威脅	bedreigingen
威脅	dreigingen
威脅	bedreiging
威脅	dreiging
威脅	dreigement
威脅	dreigementen
襲擊	aanvallen
襲擊	aanslagen
襲擊	aanval
撤退	terugtrekken
撤退	terugtocht
撤退	aftocht
冒險	avontuur
冒險	avontuurlijk
冒險	avontuurlijke
冒險	avonturen
辦公室	kantoor
辦公室	bureau
公告	afkondiging
公告	aankondiging
公告	proclamatie
公告	mededeling
公告	bekendmaking
立法院	wetgever
儀式	plechtigheid
儀式	rituele
儀式	ceremonie
儀式	rituelen
儀式	ritueel
成熟	volwassen
成熟	rijp
成熟	volwassenheid
成熟	looptijd
成熟	rijpe
成熟	rijpheid
容量	capaciteit
證據	bewijzen
證據	bewijsmateriaal
證據	bewijs
廢除	ingetrokken
廢除	afschaffing
廢除	intrekking
馬克	markeren
馬克	markeer
馬克	merkteken
發明	uitvinden
發明	verzonnen
發明	uitvindingen
發明	uitgevonden
發明	uitvinding
傳奇	legende
傳奇	legenden
傳奇	legendarisch
傳奇	legendarische
傳奇	legendes
苦	bitterheid
苦	bittere
苦	verbitterd
平民	burgers
市政	gemeentelijke
市政	gemeentelijk
岩石	rotsen
岩石	rots
岩石	steen
岩石	stenen
觀察	waarneming
觀察	observatie
觀察	observaties
觀察	observeren
碟	schijf
碟	diskette
更好	beter
原文	originele
原文	oorspronkelijke
原文	origineel
好友	vriendin
好友	vrienden
好友	vriend
殖民	koloniaal
殖民	koloniale
殖民	kolonisatie
殖民	gekoloniseerd
殖民	koloniseren
序列	volgorde
序列	opeenvolging
序列	sequentie
支付	betaling
支付	betalen
支付	betaal
支付	betalingen
被捕	aangehouden
被捕	arresteren
被捕	opgepakt
被捕	aanhouding
被捕	gearresteerd
被捕	arrestatie
道德	morele
道德	moraliteit
道德	moreel
道德	moraal
分割	splitsen
史密斯	smid
福利	welzijn
福利	voordelen
福利	uitkeringen
指導	oriëntatie
指導	leidraad
指導	begeleiding
豹	luipaard
豹	panter
翻	omdraaien
翻	spiegelen
慈善	liefdadige
慈善	liefdadigheidsinstelling
慈善	liefdadigheid
星期日	zondags
星期日	zondag
星期日	zondagen
網球	tennissen
建築物	bouwen
建築物	gebouwen
河口	estuarium
姊妹	zusje
姊妹	zus
姊妹	zusters
姊妹	zusjes
姊妹	zussen
姊妹	zuster
哲學	filosofie
方程	vergelijking
方程	vergelijkingen
味	smaak
合法	geoorloofd
合法	rechtmatig
合法	legaal
合法	wettig
合法	legitiem
完善	perfectioneren
完善	perfectie
完善	verfijning
地形	topografie
地形	terrein
藍色	blauwe
藍色	blauw
維修	reparaties
維修	repareren
維修	reparatie
維修	herstelling
維修	herstellingen
維修	onderhoud
詳細	gedetailleerd
詳細	gedetailleerde
詳細	details
兔	konijnen
兔	konijntje
兔	konijn
兔	haas
書店	boekhandel
書店	boekenwinkel
書店	boekwinkel
書店	boekwinkels
接觸	contactpersoon
很好	leuk
很好	fijn
很好	mooi
很好	lekker
懷疑	achterdocht
懷疑	verdenking
懷疑	twijfel
懷疑	twijfelen
懷疑	vermoeden
量子	kwantum
推薦	aanbevolen
推薦	voorgestelde
推薦	aanbevelen
推薦	voorgesteld
推薦	aanrader
推薦	gesuggereerd
推薦	aanraden
推薦	aangeraden
吉他	gitaren
吉他	gitaar
淺	oppervlakkig
淺	oppervlakkige
淺	ondiep
矛盾	paradoxaal
矛盾	tegenstrijdigheid
矛盾	tegenstrijdig
矛盾	tegenspraak
矛盾	contradictie
矛盾	tegenstelling
矛盾	tegenstrijdigheden
矛盾	tegenstellingen
矛盾	tegenstrijdige
激烈	felle
激烈	intensief
激烈	fel
激烈	woest
激烈	heftig
激烈	intens
方程式	vergelijking
方程式	vergelijkingen
方程式	formule
課	lesje
課	les
膜	membraan
演化	ontwikkeling
演化	evolutionaire
演化	evolueren
演化	evoluerende
演化	evolueert
演化	evolutie
雙打	dubbelspel
雙打	verdubbelt
鏈	kettingen
鏈	keten
鏈	ketting
鏈	ketens
鏈	ketenen
神社	altaar
神社	heiligdom
磁	magnetisch
磁	magnetische
磁	magnetisme
迷你	miniatuur
美麗	prachtig
美麗	mooi
美麗	mooie
鄰近	aangrenzende
鄰近	naburige
鄰近	dichtbij
鄰近	nabijgelegen
構造	construeren
射擊	schoten
射擊	schietpartij
射擊	schieten
滑	schuiven
滑	glad
滑	glibberig
滑	glijden
滑	glippen
滑	schuif
滑	dia
融合	integratie
融合	fusie
融合	kernfusie
更大	grotere
更大	groter
姓名	naam
姓名	namen
跑道	catwalk
跑道	landingsbaan
跑道	startbaan
原理	principe
原理	beginsel
條例	verordeningen
條例	regelgeving
條例	regulering
條例	reglementen
條例	verordening
主管	opzichter
主管	leidinggevende
主管	toezichthouder
補充	aanvulling
